蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
Edge Computing Network,5G,1 Gbps,最长1公里,高,智能制造、实时传输,国家计算机网络应急技术处理协调中心,https://www.cncert.gov.cn,2024-09-11,,,,,,,,,,,
WiMAX,4G,70 Mbps,最长50公里,中,无线宽带接入、城市互联网,国际电信联盟,https://www.itu.int/en/ITU-T/wimax,2024-09-11,,,,,,,,,,,
DCS,2G,64 kbps,最长15公里,低,短信服务、基本通话,中国电信,https://www.chinatelecom-h.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,144 kbps - 3.1 Mbps,最长50公里,中,无线宽带、智能手机,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动视频、数据服务,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
埃及5G,5G,1 Gbps - 10 Gbps,最长1公里,高,智慧医疗、物联网,埃及通信部,https://www.mcit.gov.eg,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,5 kbps - 50 kbps,最长15公里,低,农业监控、城市管理,LoRa联盟,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,600 Mbps - 1 Gbps,最长80公里,高,高清视频、AR应用,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
未来6G,6G,超过100 Gbps,预计可达2公里,极高,超高清视频、全沉浸式体验,科技前沿,https://www.technologyfrontier.com,2024-09-11,,,,,,,,,,,
TD-SCDMA,3G,2 Mbps,最长20公里,中,移动数据、视频通话,国家通信管理局,https://www.miit.gov.cn,2024-09-11,,,,,,,,,,,
Satcom,卫星通信,1 Mbps - 400 Mbps,无限制,高,远程地区、海上通信,全球移动卫星通信组织,https://www.gmsc.org,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,100 bps - 600 bps,最长50公里,低,智能环境监测、资产追踪,Sigfox官网,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
Edge Computing Networks,边缘计算,高达10 Gbps,取决于网络架构,高,实时分析、工业自动化,Gartner,https://www.gartner.com,2024-09-11,,,,,,,,,,,
CDMA,2G,64 kbps,最长30公里,低,语音通信、数据传输,中国信息通信研究院,http://www.caict.ac.cn,2024-09-11,,,,,,,,,,,
HSPA+,3G,42 Mbps,最长50公里,中,移动互联网、视频会议,国际电信联盟,https://www.itu.int/en/ITU-T/Statistics,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,150 Mbps,最长90公里,中,高质量视频通话、在线游戏,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,200 Mbps,最长80公里,中,大数据通信、云计算,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Gbps,最长50公里,高,城市宽带接入、无线回传,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
LPWA,LPWA,100 kbps,最长20公里,低,智能城市、环境监测,Zigbee Alliance,https://zigbeealliance.org,2024-09-11,,,,,,,,,,,
6G,6G,高速提升至100 Gbps,预计可达10公里,高,全息通信、超高速数据传输,ITU,https://www.itu.int/en/ITU-T/futureoftechnologynetworks,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长15公里,低,智能家居、车联网,3GPP,https://www.3gpp.org,2024-09-11,,,,,,,,,,,
VHF/UHF,无线电,8 kbps,超过50公里,低,应急通信、无人机遥控,Radio Society of Great Britain,https://rsgb.org,2024-09-11,,,,,,,,,,,
Satelite 5G,卫星通信,25 Mbps,全球覆盖,高,偏远地区网络接入、航空通信,SpaceX Starlink,https://www.starlink.com,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,3.6 Mbps,最长30公里,中,移动互联网、视频通话,中国移动通信集团,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长50公里,中,高速度移动数据服务,华为官网,https://www.huawei.com,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,1 Gbps,最长80公里,高,高清视频、边缘计算,Strategy Analytics,https://www.strategyanalytics.com,2024-09-11,,,,,,,,,,,
6G,未来技术,100 Gbps,无限制,高,全息通信、智能交通系统,IEEE Spectrum,https://spectrum.ieee.org,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长20公里,低,智能穿戴、物联网设备,物联网网,https://www.iotinfo.com.cn,2024-09-11,,,,,,,,,,,
CDMA2000,3G,153 kbps,最长40公里,中,移动电话、数据通信,Sprint Corporation,https://www.sprint.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,农业监测、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,2 Gbps,全球覆盖,高,偏远地区通信、紧急救援,SpaceX,https://www.spacex.com,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,150 Mbps,最长70公里,中,移动广告、流媒体,GSM Association,https://www.gsma.com,2024-09-11,,,,,,,,,,,
V2X,5G,高达1 Gbps,最长500米,中,车联网、智慧交通,汽车工程师协会,https://www.sae.org,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据传输,中国信息通信研究院,https://www.caiw.gov.cn/,2024-09-11,,,,,,,,,,,
CDMA2000,3G,153 kbps - 3.1 Mbps,最长25公里,中,移动电话、视频通话,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,,,
LTE-A,4.5G,1 Gbps,最长90公里,高,高速互联网接入、智能城市,OpenSignal,https://www.opensignal.com/,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,物联网、工业自动化,高通公司,https://www.qualcomm.com/,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,0.3 - 50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org/,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,100 bps,最长30公里,低,智能家居、资产追踪,Sigfox公司,https://www.sigfox.com/,2024-09-11,,,,,,,,,,,
4G LTE,4G,100 Mbps,最长80公里,中,视频会议、云计算,Strategy Analytics,https://www.strategyanalytics.com/,2024-09-11,,,,,,,,,,,
5G SA,5G,10 Gbps,最长1.5公里,高,增强现实、虚拟现实,GSM Association,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
GPRS,2.5G,50 - 114 kbps,最长35公里,低,移动互联网、短消息服务,中国通信学会,https://www.cac.gov.cn/,2024-09-11,,,,,,,,,,,
卫星蜂窝网络,中等速率,最大2 Mbps,全球覆盖,高,偏远地区通信、应急服务,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动互联网、视频通话,中国通信研究院,https://www.ctr.com.cn,2024-09-11,,,,,,,,,,,
CDMA2000,3G,300 kbps - 3 Mbps,最长40公里,中,语音电话、数据服务,中国工业和信息化部,https://zh.wikipedia.org/wiki/CDMA2000,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,物联网、资产追踪,IoT Analytics,https://iot-analytics.com,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,1 Gbps,最长150公里,高,高清视频、云计算,3GPP,https://www.3gpp.org,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,智能制造、智慧城市,Gartner,https://www.gartner.com,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,100 Mbps,最长80公里,中,移动宽带、家庭网络,ZDNet,https://www.zdnet.com,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,0.1 kbps - 100 kbps,最长50公里,低,智能家居、环境监测,Sigfox,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
Multi-G,5G,5 Gbps,最长500米,高,虚拟现实、增强现实,Qualcomm,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
VHF Radio,卫星,取决于地点,最长500公里,高,航空通信、海上通信,国际民航组织,https://www.icao.int,2024-09-11,,,,,,,,,,,
6G,未来,100 Gbps,尚未确定,非常高,全息通信、深度学习,NIST,https://www.nist.gov,2024-09-11,,,,,,,,,,,
CDMA,2G,153 kbps,最长20公里,低,语音通话、短信服务,中国信息通信研究院,https://www.caid.gov.cn/,2024-09-11,,,,,,,,,,,
HSPA+,3G,42 Mbps,最长50公里,中,移动宽带、视频通话,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
WiMAX,4G,70 Mbps,最长15公里,中,无线宽带、企业网络,IEEE,https://www.ieee.org/,2024-09-11,,,,,,,,,,,
6G,6G,上行达到 1 Tbps,预计为 500 米,高,全息通信、智能交通,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,,,
TETRA,专业集群,少于 20 kbps,最远30公里,低,公共安全、紧急服务,网络与通信科学杂志,https://www.journalofcommunications.com/,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,物联网、农业监控,LoRa Alliance,https://lora-alliance.org/,2024-09-11,,,,,,,,,,,
UWB,超宽带,数百 Mbps,通常10-30米,中,室内定位、智能家居,IEEE Spectrum,https://spectrum.ieee.org/,2024-09-11,,,,,,,,,,,
IMT-2020,5G,20 Gbps,最长500米,高,AR/VR、智能制造,全球移动通信系统协会,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
NB-Internet,LPWAN,20 kbps,最长5公里,低,智慧农业、智能城市,中国科技部,https://www.most.gov.cn/,2024-09-11,,,,,,,,,,,
5G NR,5G,下载速度高达 10 Gbps,最长1公里,高,远程医疗、智慧物流,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,,,
CDMA,3G,200 kbps - 3.1 Mbps,最长50公里,中,手机通信、数据服务,国家邮政局,https://www.spb.gov.cn,2024-09-11,,,,,,,,,,,
6G,6G,100 Gbps,最长500米,高,远程医疗、智能制造,中国科学院,https://www.cas.cn,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,21 Mbps,最长30公里,中,移动视频、社交媒体,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,智能农业、物联网,物联网世界,https://www.iotworld.com,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,150 Mbps,最长75公里,中,家庭宽带、移动办公,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,300 Mbps,最长100公里,中,高清视频会议、在线教育,移动互联网研究中心,https://www.mircr.org,2024-09-11,,,,,,,,,,,
UMTS,3G,384 kbps - 2 Mbps,最长40公里,中,视频通话、移动游戏,中国科学院通信研究所,https://www.crl.ac.cn,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长20公里,低,工业监控、智能电表,中国无线通信协会,https://www.cwca.org.cn,2024-09-11,,,,,,,,,,,
Satellite Communication,卫星通信,1 Mbps - 10 Mbps,不限,高,全球连接、偏远地区通信,卫星通信技术研究院,https://www.thu.edu.cn,2024-09-11,,,,,,,,,,,
WiMAX,无线宽带,70 Mbps,最长30公里,中,城市无线互联网接入、企业网络,国家无线宽带委员会,https://www.wirelessbroadband.org,2024-09-11,,,,,,,,,,,
卫星通信,中高频段,1 Mbps,最长2000公里,高,远程监控、灾难通信,中国科学院,https://www.cas.cn,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长30公里,中,移动互联网、在线视频,爱立信技术文档,https://www.ericsson.com,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,1 Mbps,最长15公里,低,物联网设备、智能家居,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
6G,6G,100 Gbps,最长500米,非常高,全息通信、极致虚拟现实,MIT科技评论,https://www.technologyreview.com,2024-09-11,,,,,,,,,,,
CDMA,2G,153 kbps,最长25公里,低,移动电话、数据服务,高通公司,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,150 Mbps,最长80公里,中,智能手机、平板电脑,中国信息通信研究院,https://www.citicpr.com,2024-09-11,,,,,,,,,,,
V2X,车联网,20 Mbps,最长1公里,中,智能交通、自动驾驶,IEEE通讯杂志,https://ieeexplore.ieee.org,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,50 kbps,最长25公里,低,农业监测、城市管理,LoRa联盟,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
WiMAX,宽带,70 Mbps,最长50公里,中,城市宽带接入、企业网络,ITU电信标准化局,https://www.itu.int,2024-09-11,,,,,,,,,,,
DSRC,车载通信,27 Mbps,最长1公里,低,智能交通系统、车联网,美国交通部,https://www.transportation.gov,2024-09-11,,,,,,,,,,,
CDMA,2G,153 kbps,最长30公里,低,手机通话、GPS定位,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长50公里,中,快速上网、视频通话,GSMA Intelligence,https://www.gsma.com,2024-09-11,,,,,,,,,,,
4G LTE-A,4G,1 Gbps,最长75公里,中,直播、在线学习,腾讯云,https://cloud.tencent.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智慧医疗、无人机,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,农业监测、资产追踪,物联网发展论坛,https://www.iota.org,2024-09-11,,,,,,,,,,,
IMT-2020,5G,10 Gbps,最长1公里,高,智能家居、工业自动化,中国通信研究院,https://www.itsc.org.cn,2024-09-11,,,,,,,,,,,
TD-SCDMA,3G,2 Mbps,最长40公里,中,手机通信、数据服务,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,150 Mbps,最长80公里,中,高带宽视频、在线游戏,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
NFC,短距离通信,424 kbps,最长10厘米,低,移动支付、门禁系统,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,300 Mbps,最长60公里,中,高速移动数据、媒体流,国际无线通信技术协会,https://www.wirelessnetworks.org,2024-09-11,,,,,,,,,,,
CDMA,2G-3G,153 kbps - 2 Mbps,最长50公里,中,无线电话、数据服务,中国信息通信研究院,https://www.cnii.com.cn,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、移动互联网,Telecom Media Journal,https://www.tmj.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,22 Mbps,最长40公里,中,移动宽带、网络冗余,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
4G LTE-Advanced,4G,1 Gbps,最长120公里,中,IoT、高清视频,IDC,https://www.idc.com,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,1 Mbps,最长15公里,低,智能穿戴设备、资产追踪,Verizon,https://www.verizon.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,工业自动化、增强现实,ITU,https://www.itu.int,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
5G IoT,5G,10 Gbps,最长1公里,高,自动化物流、城市基础设施,Deloitte,https://www2.deloitte.com,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,100 Mbps,无距离限制,高,偏远地区连接、紧急救援,NASA,https://www.nasa.gov,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,300 Mbps,最长100公里,中,移动商务、视频监控,Frost & Sullivan,https://www.frost.com,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据服务,中国信息通信研究院,https://www.ii-214.org,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,2 Mbps,最长25公里,中,移动互联网、视频通话,TelecomDaily,https://www.telecomdaily.com,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长20公里,低,物联网、智慧停车,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
6G,未来网络,接近100 Gbps,预期可达500米,高,全息通信、智能制造,海外科技论坛,https://www.techforum.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,up to 3 Mbps,最长15公里,中,移动电话、无线宽带,港湾网络,https://www.gw.com,2024-09-11,,,,,,,,,,,
Starlink,卫星通信,50 Mbps - 150 Mbps,无限制,高,偏远地区的互联网接入,SpaceX,https://www.spacex.com/starlink,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,最多1 Gbps,最长150公里,中,高清视频流、在线教育,高通公司,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,农业监测、智能城市服务,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
GPRS,2G,40 kbps - 100 kbps,最长35公里,低,短信服务、物联网,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,,,
CDMA,2G,153 kbps,最长50公里,中,语音通信、位置服务,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,,,
WCDMA,3G,2 Mbps,最长30公里,中,移动互联网、数据传输,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长35公里,中,高清视频通话、数据密集型应用,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
LTE-A,4.5G,1 Gbps,最长120公里,高,超高清视频、物联网,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
eMBB,5G,1-10 Gbps,最长500米,高,增强现实、实时流媒体,ZTE Corporation,https://www.zte.com.cn,2024-09-11,,,,,,,,,,,
mMTC,5G,100 kbps,最长10公里,低,智能家居、传感器网络,中国科学院,http://www.cas.cn,2024-09-11,,,,,,,,,,,
URLLC,5G,高达10 Gbps,最长1公里,高,工业自动化、无人机操作,Nokia,https://www.nokia.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,0.3-50 kbps,最长15公里,低,环境监测、城市基础设施,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
Fifth Generation Narrowband,5G,100 kbps - 1 Mbps,最长20公里,低,智能计量、物流追踪,研究机构Deloitte,https://www2.deloitte.com,2024-09-11,,,,,,,,,,,
Satellite IoT,卫星通信,100-500 kbps,全球覆盖,高,偏远地区通信、野外监测,SpaceX,https://www.spacex.com,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、移动互联网,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,153 kbps - 3.1 Mbps,最长20公里,中,多媒体服务、数据传输,ITU,https://www.itu.int/en/ITU-T/technology/Pages/cdma2000.aspx,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,物联网、智能农业,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
IMT-Advanced,4G,100 Mbps - 1 Gbps,最长50公里,高,高带宽应用、云计算,3GPP,https://www.3gpp.org,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,智慧城市、增强现实,Gartner,https://www.gartner.com/en/research/methodologies,2024-09-11,,,,,,,,,,,
4G LTE-A,4G,300 Mbps - 1 Gbps,最长75公里,中,高清流媒体、实时游戏,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
Ultra-Reliable Low Latency Communication (URLLC),5G,10 Mbps - 1 Gbps,最长1.5公里,高,工业自动化、远程医疗,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,100 bps - 600 bps,最长50公里,低,智能家居、资产追踪,Sigfox,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
GPRS,2G,40 kbps - 114 kbps,最长30公里,低,移动互联网，短消息服务,ITU,https://www.itu.int/en/ITU-T/focusgroups/5g/Pages/default.aspx,2024-09-11,,,,,,,,,,,
5G Private Networks,5G,up to 10 Gbps,最长3公里,高,制造业、物流,McKinsey & Company,https://www.mckinsey.com,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长20公里,中,视频通话、移动互联网,中国信息通信研究院,https://www.cnii.com.cn,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长25公里,中,高清流媒体、在线游戏,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,1 Mbps,最长20公里,低,物联网设备、智能农业,中国通信标准化协会,https://www.ccsa.org.cn,2024-09-11,,,,,,,,,,,
IMT-2020,5G,20 Gbps,最长1公里,高,无人机控制、远程医疗,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
UWB,超宽带,6.8 Gbps,最长30米,中,室内定位、短距离数据传输,IEEE,https://ieee.org,2024-09-11,,,,,,,,,,,
CBRS,共享频谱,限速因项目而异,最长15公里,中等,企业网络、农村宽带,FCC,https://www.fcc.gov,2024-09-11,,,,,,,,,,,
QAM,调变技术,可达100 Mbps,视环境而定,中,高速网络、媒体流,电子工业出版社,http://www.eepw.com.cn,2024-09-11,,,,,,,,,,,
eMBB,5G,高达1 Gbps,10公里以内,高,高清视频会议、AR/VR,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
NBIoT,LPWA,100 kbps,最长15公里,低,智能停车、环境监测,阿里云,https://www.aliyun.com,2024-09-11,,,,,,,,,,,
IoT,LPWAN,数Kbps至数百Kbps,可达50公里,低,智能家居、工业自动化,Telecoms.com,https://www.telecoms.com,2024-09-11,,,,,,,,,,,
3G,WCDMA,384 kbps,最长30公里,中,移动互联网、视频通话,中国信息通信研究院,https://www.cai-icrc.cn/,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,150 Mbps,最长70公里,中,高清流媒体、智能家居,全球移动通信系统协会,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,智能穿戴、车联网,工业和信息化部,http://www.miit.gov.cn/,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,远程医疗、智能交通,市场研究机构,https://www.statista.com/,2024-09-11,,,,,,,,,,,
GPRS,2G,35 - 171.2 kbps,最长30公里,低,传统移动服务、位置服务,中立电信研究中心,http://www.itu.int/,2024-09-11,,,,,,,,,,,
Edge,2.5G,100 - 250 kbps,最长40公里,中,移动互联网、短信服务,电信运营商报告,https://www.tubinge.com/,2024-09-11,,,,,,,,,,,
eMTC,LPWA,375 kbps,最长10公里,低,智能城市、物联网,中国物联网产业发展联盟,http://www.ciot.org.cn/,2024-09-11,,,,,,,,,,,
6G,6G,100 Gbps,预计超过1公里,极高,智慧生活、全息通信,未来网络创新研究中心,https://futureofnetwork.com/,2024-09-11,,,,,,,,,,,
Wi-Fi Calling,VoWiFi,取决于Wi-Fi质量,取决于Wi-Fi覆盖,低,语音通话、国际漫游,网络服务提供商报告,https://www.wi-fi.org/,2024-09-11,,,,,,,,,,,
WCDMA,3G,2 Mbps - 42 Mbps,最长30公里,中,移动电话、数据服务,中国移动通信集团,https://www.chinamobileltd.com/,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,150 Mbps - 1 Gbps,最长70公里,中,宽带接入、在线视频,CNIA,https://www.cnia.org.cn/,2024-09-11,,,,,,,,,,,
Cat-M1,LPWAN,1 Mbps,最长15公里,低,资产跟踪、健康监测,中国信息产业网,https://www.cnii.com.cn/,2024-09-11,,,,,,,,,,,
6G,6G,超过100 Gbps,预计最长2公里,高,全息通讯、边缘计算,IEEE Spectrum,https://spectrum.ieee.org/,2024-09-11,,,,,,,,,,,
GPRS,2.5G,56 kbps - 114 kbps,最长40公里,低,短信、数据服务,Solaris Mobile,http://www.solarismobile.com/,2024-09-11,,,,,,,,,,,
VoLTE,4G,最大30 Mbps,最长60公里,中,语音通话、视频通话,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
E-VPN,5G,1 Gbps - 3 Gbps,最长500米,高,企业网络、云服务,ZTE,https://www.zte.com.cn/,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,21 Mbps - 42 Mbps,最长50公里,中,视频流、社交网络,移动通信技术协会,https://www.ctia.org/,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,100 Mbps - 1 Gbps,最长80公里,中,流媒体、在线教育,Fierce Wireless,https://www.fiercewireless.com/,2024-09-11,,,,,,,,,,,
DSRC,专用短程通信,up to 27 Mbps,最长1公里,中,车联网、智能交通,IEEE Communications Society,https://www.comsoc.org/,2024-09-11,,,,,,,,,,,
4G LTE-A,4G,1 Gbps,最长80公里,中,高分辨率视频、IoT设备,中国通信研究院,https://www.itu.int/en/ITU-T/Study-Groups/2017-2020/13/Pages/default.aspx,2024-09-11,,,,,,,,,,,
CAT-M1,LPWA,375 kbps,最长15公里,低,智能安防、资产管理,GSMA,https://www.gsma.com/iot/develop/cat-m/,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智慧医疗、增强现实,国际电信联盟,https://www.itu.int/en/ITU-T/FutureNetworks/Pages/default.aspx,2024-09-11,,,,,,,,,,,
T-Cell,4G,150 Mbps,最长70公里,中,农业物联网、设备监控,农业部,http://www.moa.gov.cn/,2024-09-11,,,,,,,,,,,
UHF LTE,4G,50 Mbps,最长90公里,低,远程监控、户外活动,无线电管理局,https://www.fcc.gov/wireless,2024-09-11,,,,,,,,,,,
6G,6G,1 Tbps,未来可扩展,极高,全息通讯、智能交通,MIT Technology Review,https://www.technologyreview.com/,2024-09-11,,,,,,,,,,,
LPWA,低功耗广域网,100 kbps,最长20公里,低,环境监测、智能城市,中国科学院,http://www.cas.cn/,2024-09-11,,,,,,,,,,,
V2X,车联网,200 Mbps,最长1公里,中,自动驾驶、车载娱乐,交通部,http://www.mot.gov.cn/,2024-09-11,,,,,,,,,,,
Fifth Generation IoT (5Gi),IoT专用,5 Gbps,最长100公里,高,智能家居、工业自动化,IEEE,https://www.ieee.org/,2024-09-11,,,,,,,,,,,
Satellite 5G,卫星通信,50 Mb/s,无限制,高,偏远地区通信、紧急救援,SpaceX,https://www.spacex.com/,2024-09-11,,,,,,,,,,,
GPRS,2.5G,40 kbps - 100 kbps,最长30公里,低,数据传输、移动信息服务,中国移动通信集团,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,12 Mbps - 42 Mbps,最长50公里,中,流媒体、实时游戏,国际电信联盟（ITU）,https://www.itu.int,2024-09-11,,,,,,,,,,,
LTE Advanced,4.5G,1 Gbps,最长80公里,高,高频宽应用、物联网,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,工业自动化、智能交通,高通公司,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,307 kbps,最长60公里,中,语音通话、移动数据,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,,,
SatCom,卫星通信,512 kbps - 2 Mbps,无限制,高,偏远地区通信、灾后恢复,国际卫星通信组织,https://www.itu.int/en/ITU-R/space/Pages/default.aspx,2024-09-11,,,,,,,,,,,
IMT-2020,5G,10 Gbps,最长1公里,高,超高清电视、虚拟现实,电子工业出版社,https://www.elecfans.com,2024-09-11,,,,,,,,,,,
4G LTE,4G,150 Mbps,最长30公里,中,快速网络接入、手机上网,中国联通,https://www.chinaunicom.com,2024-09-11,,,,,,,,,,,
