网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
V2X通信系统,车联网,C-V2X,中兴通讯,2019/3/1,中兴通讯,中兴通讯股份有限公司,智能汽车制造商,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,中国移动,2020/4/25,中国移动,中国移动通信集团有限公司,物联网开发者,国家无线电监测中心,http://www.nra.gov.cn,2024-09-11,,,,,,,,,
国内外高速光网络,固定通信系统,DWDM,中国联通,2018/7/18,中国联通,中国联通股份有限公司,企业级用户,中国光纤通信网,http://www.chinafiber.org,2024-09-11,,,,,,,,,
智能家居通信系统,家庭自动化,Zigbee,小米科技,2022/9/12,小米,小米科技有限责任公司,家庭用户,市场研究公司,https://www.statista.com,2024-09-11,,,,,,,,,
量子通信网络,安全通信系统,量子密钥分发,中国科学院,2023/1/5,中国科学院,中国科学院,国家安全机构,科学技术部,http://www.most.gov.cn,2024-09-11,,,,,,,,,
边缘计算网络,分布式计算,边缘计算规范,阿里巴巴,2025/11/15,阿里云,阿里巴巴集团,云服务用户,中国互联网协会,http://www.isc.org.cn,2024-09-11,,,,,,,,,
新一代无线电通信系统,无线通信,6G,华为技术有限公司,2023/8/1,华为,华为技术有限公司,技术开发者,科技日报,https://www.stdaily.com,2024-09-11,,,,,,,,,
5G超广域移动网络,移动通信系统,5G NR,中兴通讯,2021/2/15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
光纤到户（FTTH）,固定通信系统,FTTH,中国电信,2015/8/1,中国电信,中国电信股份有限公司,普通用户,中国信息产业网,https://www.cnnic.net.cn,2024-09-11,,,,,,,,,
无线路由器贸易网络,固定通信系统,802.11ac,TP-Link,2016/11/25,TP-Link,TP-Link科技有限公司,普通用户,中国消费电子行业协会,https://www.tp-link.com,2024-09-11,,,,,,,,,
Next-Gen Wi-Fi 6网络,固定通信系统,Wi-Fi 6,华为技术有限公司,2022/9/1,华为,华为技术有限公司,普通用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
卫星通信系统,卫星通信,L-band,北斗导航,2020/12/15,北斗导航,中国卫星导航系统管理办公室,政府和企业用户,中国空间技术研究院,http://www.beidou.gov.cn,2024-09-11,,,,,,,,,
低功耗广域网络（LPWAN）,物联网,LoRaWAN,阿里巴巴集团,2023/3/10,阿里云,阿里巴巴集团控股有限公司,物联网设备制造商,行业研究机构,https://www.alibaba.com,2024-09-11,,,,,,,,,
5G蜂窝网络系统,移动通信系统,5G NR,华为技术有限公司,2020/5/14,华为,华为技术有限公司,普通用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
高通量宽带通信网络,卫星通信,Ka-band,Inmarsat,2022/1/20,Inmarsat,Inmarsat Global Limited,企业用户,国际卫星通信联盟,https://www.inmarsat.com,2024-09-11,,,,,,,,,
量子通信网络,新兴通信系统,量子密钥分发,中国科学院,2023/9/15,中国科学院,中国科学院,科研机构,科学技术部,http://www.cas.cn,2024-09-11,,,,,,,,,
边缘计算网络,网络服务,边缘计算,亚马逊网络服务（AWS）,2021/11/30,AWS,亚马逊公司,大企业和开发者,国际计算机协会,https://aws.amazon.com,2024-09-11,,,,,,,,,
中国未来6G网络,移动通信系统,6G,中国通信科研院,2023/9/15,中国通信科研院,中国通信科技集团有限公司,研究机构,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
欧洲卫星通信网络,卫星通信系统,Ka波段,欧洲航天局,2022/11/10,阿里巴巴集团,阿里巴巴网络技术有限公司,企业用户,欧洲航天局官网,https://www.esa.int,2024-09-11,,,,,,,,,
农村数字通信系统,固定通信系统,光纤,中国电信,2021/3/20,中国电信,中国电信股份有限公司,农村用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
美国5G城市网,移动通信系统,5G NR,AT&T,2020/10/12,AT&T,AT&T Inc.,普通用户,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,
物联网连接网络,移动通信系统,NB-IoT,华为技术有限公司,2019/7/15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
超宽带无线网络,无线通信系统,UWB,高通公司,2021/5/21,高通公司,Qualcomm Incorporated,普通用户,美国联邦通信委员会,https://www.qualcomm.com,2024-09-11,,,,,,,,,
日本智能交通系统,固定通信系统,DSRC,NTT DOCOMO,2022/8/28,NTT DOCOMO,株式会社NTT DOCOMO,交通管理机构,日本总务省,https://www.soumu.go.jp,2024-09-11,,,,,,,,,
高德导航服务,移动通信系统,GPS,高德软件,2020/12/5,阿里巴巴集团,阿里巴巴集团控股有限公司,普通用户,高德官网,https://www.amap.com,2024-09-11,,,,,,,,,
云计算通信平台,云服务系统,通用云,微软公司,2022/1/10,微软,Microsoft Corporation,企业用户,微软官网,https://www.microsoft.com,2024-09-11,,,,,,,,,
卫星互联网,卫星通信系统,Starlink,SpaceX,2020/10/1,SpaceX,太空探索技术公司,偏远地区用户,国际通讯联盟,https://www.itu.int,2024-09-11,,,,,,,,,
5G移动宽带,移动通信系统,5G NR,高通,2021/5/15,高通,高通公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
物联网通信系统,物联网,NB-IoT,中兴通讯,2019/9/10,中兴通讯,中兴通讯股份有限公司,智能家居用户,中国网络通信研究院,https://www.cni.com.cn,2024-09-11,,,,,,,,,
5G增强移动宽带,移动通信系统,5G EMBB,华为技术有限公司,2021/12/5,华为,华为技术有限公司,普通用户,信息产业部,https://www.huawei.com,2024-09-11,,,,,,,,,
光纤数据传输网络,固定通信系统,FTTH,中国电信,2017/4/20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E,局域网,Wi-Fi 6E,英特尔,2022/1/10,英特尔,英特尔公司,普通用户,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,
局域网解决方案,局域网,802.11ax,思科系统公司,2022/6/15,思科,思科系统有限公司,企业用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
VoLTE系统,移动通信系统,VoLTE,中国移动,2016/8/30,中国移动,中国移动通信集团有限公司,普通用户,中国信息产业部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
自组网络技术,新兴技术,Zigbee,德州仪器,2023/3/1,德州仪器,德州仪器公司,物联网用户,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,
区块链通信网络,新兴技术,Blockchain,IBM,2023/5/12,IBM,国际商业机器公司,金融用户,科技日报,https://www.stdaily.com,2024-09-11,,,,,,,,,
中国移动5G网络,移动通信系统,5G NR,中国移动,2020/10/1,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
联盟5G网络,移动通信系统,5G NR,GTI科技,2021/5/15,GTI科技,GTI集团有限公司,普通用户,中国工业和信息化部,https://www.gtia.org/,2024-09-11,,,,,,,,,
物联网专网,固定通信系统,NB-IoT,华为技术有限公司,2022/3/22,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
中国电信光纤网络,固定通信系统,光纤接入,中国电信,2019/9/9,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
LTE-Advanced网络,移动通信系统,LTE-A,中兴通讯,2020/11/18,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
全球卫星网络,卫星通信系统,L波段,天链卫星,2022/1/12,天链无线,天链卫星科技有限公司,企业用户,中国航天科技集团,http://www.spacechina.com/,2024-09-11,,,,,,,,,
量子通信网络,固定通信系统,量子密钥分发,中国科学院,2023/7/5,中国科学院,中国科学院量子通信研究所,政府机构,中国科学院,http://www.cas.cn/,2024-09-11,,,,,,,,,
WiFi 6E网络,无线通信系统,WiFi 6E,联想集团,2021/8/30,联想,联想集团有限公司,普通用户,中国工业和信息化部,https://www.lenovo.com.cn/,2024-09-11,,,,,,,,,
光传输网,固定通信系统,DWDM,中国联合网络通信有限公司,2019/12/16,中国联通,中国联通股份有限公司,企业用户,中国工业和信息化部,http://www.chinaunicom.com/,2024-09-11,,,,,,,,,
边缘计算网络,云计算网络,边缘云,阿里巴巴云,2023/3/18,阿里云,阿里巴巴集团控股有限公司,企业用户,阿里巴巴集团,https://www.alibabagroup.com/,2024-09-11,,,,,,,,,
5G智能网络,移动通信系统,5G NR,中国移动,2020/9/15,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
全球宽带卫星系统,卫星通信,Ka波段,星联通信,2021/2/10,星联通信,星联通信技术有限公司,高需求地区用户,中国国家广播电视总局,http://www.sarft.gov.cn/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信,NB-IoT,华为技术有限公司,2017/12/1,华为,华为技术有限公司,智能城市用户,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
光纤宽带系统,固定通信,FTTH,中国电信,2015/8/20,中国电信,中国电信股份有限公司,家庭用户,中国通信管理局,http://www.miit.gov.cn/,2024-09-11,,,,,,,,,
超过600MHz的宽带网络,移动通信系统,6G,清华大学,2023/11/1,清华大学,清华大学研究院,研究机构,清华大学官网,http://www.tsinghua.edu.cn/,2024-09-11,,,,,,,,,
物联网实名制通信系统,物联网通信,LPWAN,阿里巴巴网络技术部,2019/3/15,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,浙江省通信管理局,https://www.alibaba.com/,2024-09-11,,,,,,,,,
边缘计算网络,移动通信系统,Edge Computing,腾讯科技,2022/7/20,腾讯,腾讯控股有限公司,开发者和企业,中国信息通信研究院,https://www.tencent.com/,2024-09-11,,,,,,,,,
VoIP 电话服务,固定通信,SIP,联通互联网,2020/1/10,中国联通,中国联通股份有限公司,个人用户,中国移动通信微博,https://www.chinaunicom.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信,量子密钥分发,中国科学院,2023/9/5,中国科学院,中国科学院,国家安全机构,量子通信国际会议,http://www.cas.cn/,2024-09-11,,,,,,,,,
下一代光纤网络,光通信系统,FTTH,中国电信,2021/9/15,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
V2X通信系统,智能交通系统,3GPP Release 16,华为技术有限公司,2022/11/1,华为,华为技术有限公司,智能汽车制造商,中国交通运输部,https://www.mot.gov.cn,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023/3/20,中国科学院,中国科学院大学,科研机构,中国科学报,https://www.sciencenews.cn,2024-09-11,,,,,,,,,
新一代卫星互联网,卫星通信系统,低地球轨道卫星,SpaceX,2020/2/14,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,
6G通信系统,移动通信系统,6G NR,诺基亚,2024/1/10,诺基亚,诺基亚公司,未来用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
智能家居通信平台,物联网,Zigbee,小米科技有限公司,2022/7/30,小米,小米科技有限责任公司,家庭用户,互联网科技新闻,https://www.techcrunch.com,2024-09-11,,,,,,,,,
城市无线网络,Wi-Fi网络,Wi-Fi 6,TP-Link,2020/5/5,TP-Link,"TP-Link Technologies Co., Ltd.",城市居民,中国互联网协会,https://www.cnnic.cn,2024-09-11,,,,,,,,,
边缘计算网络,计算系统,边缘云,阿里云,2023/4/17,阿里巴巴,阿里巴巴集团,企业用户,云计算行业报告,https://www.alibabacloud.com,2024-09-11,,,,,,,,,
智能工厂网络,工业通信系统,5G NR+工业互联网,中兴通讯,2021/12/1,中兴,中兴通讯股份有限公司,制造业用户,工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
光网络接入系统,光通信系统,GPON,中国普天,2022/8/25,中国普天,中国普天信息产业集团公司,企业和政府,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,
卫星通信系统,卫星通信,VSAT,华为技术有限公司,2021/7/15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
无线城市网络,城市Wi-Fi,802.11ax,中兴通讯,2022/3/20,中兴通讯,中兴通讯股份有限公司,城市居民,中国市政管理局,https://www.zte.com.cn,2024-09-11,,,,,,,,,
边缘计算平台,云通信,Edge Computing,阿里云,2023/5/10,阿里巴巴,阿里巴巴集团,企业及开发者,中国信息产业发展研究院,https://cloud.aliyun.com,2024-09-11,,,,,,,,,
光纤到户网络,固定通信系统,FTTH,中国电信,2019/11/25,中国电信,中国电信股份有限公司,普通家庭,中国信息通信研究院,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
车联网系统,物联网,V2X,百度,2022/9/5,百度,百度公司,汽车制造商,中国无人驾驶车辆协会,https://www.baidu.com,2024-09-11,,,,,,,,,
基于AI的智能通信系统,综合通信,AI Communication,腾讯科技,2023/1/12,腾讯,腾讯控股有限公司,普通用户及企业,中国人工智能产业发展联盟,https://www.tencent.com,2024-09-11,,,,,,,,,
下一代互联网系统,网络基础设施,IPv6,中国联通,2020/4/30,中国联通,中国联合网络通信有限公司,普通用户,国家互联网信息办公室,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
量子通信网络,量子通信,Quantum Key Distribution,中国科学院,2023/6/10,中国科学院,中国科学院信息工程研究所,政府及企业,中国科学技术部,https://www.cas.cn,2024-09-11,,,,,,,,,
高速5G网络,移动通信系统,5G NR,中国移动,2022/12/1,中国移动,中国移动通信集团有限公司,普通用户,中国科学技术协会,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,
智能家居网络,物联网,Zigbee,小米科技,2023/3/15,小米,小米科技有限责任公司,家居用户,中国信息产业部,https://www.mi.com,2024-09-11,,,,,,,,,
全球5G覆盖网络,移动通信系统,5G NR,中国移动,2020/11/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
超级宽带网络,固定网络系统,光纤宽带,中国电信,2021/3/28,中国电信,中国电信股份有限公司,家庭用户,全球互联网发展报告,https://www.itu.int/en/ITU-T/Statistics/Pages/default.aspx,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020/5/4,SpaceX,Space Exploration Technologies Corp.,全球用户,美国联邦通信委员会,https://www.fcc.gov/,2024-09-11,,,,,,,,,
物联网专用网络,物联网系统,NB-IoT,华为技术有限公司,2017/10/22,华为,华为技术有限公司,企业用户,国际电信联盟,https://www.itu.int/en/ITU-T/ieee/Pages/default.aspx,2024-09-11,,,,,,,,,
增强型移动通信系统,移动通信系统,6G预研,中国联通,2023/1/10,中国联通,中国联通股份有限公司,技术开发者,中国工程院,https://www.cae.cn/,2024-09-11,,,,,,,,,
全国移动支付网络,金融通信系统,NFC,支付宝,2016/8/15,蚂蚁金服,蚂蚁科技集团股份有限公司,消费者,人民银行,http://www.pbc.gov.cn/,2024-09-11,,,,,,,,,
智能家居网络,物联网系统,Zigbee,小米科技,2019/12/18,小米,小米科技有限责任公司,家庭用户,消费电子协会,https://www.ce.org/,2024-09-11,,,,,,,,,
边缘计算平台,计算通信系统,边缘计算架构,阿里云,2022/5/30,阿里巴巴,阿里巴巴集团控股有限公司,企业客户,云计算联合会,https://www.cloudcomputing.org/,2024-09-11,,,,,,,,,
区块链通信网络,分布式系统,区块链协议,比特大陆,2021/8/1,比特大陆,比特大陆科技有限公司,开发者,区块链研究院,https://www.blockchainresearch.org/,2024-09-11,,,,,,,,,
下一代网络架构,移动和固定网络融合系统,IPv6,NETGEAR,2023/2/14,NETGEAR,"NETGEAR, Inc.",普通用户,IEEE通信协会,https://www.ieee.org/,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,无线通信系统,Wi-Fi 6E,TP-Link科技,2021/2/15,TP-Link,TP-Link科技有限公司,普通用户,网络通信技术协会,https://www.wi-fi.org/,2024-09-11,,,,,,,,,
光纤通信系统,固定通信系统,GPON,中兴通讯,2020/9/1,中兴,中兴通讯股份有限公司,家庭用户,中国通信协会,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
星链网络,卫星通信系统,Starlink,SpaceX,2022/8/20,SpaceX,Space Exploration Technologies Corp.,农村及偏远用户,国家通讯与信息管理局,https://www.spacex.com/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019/3/30,华为,华为技术有限公司,物联网设备,中国信息通信研究院,https://www.huawei.com/,2024-09-11,,,,,,,,,
6G网络,移动通信系统,预研阶段,中国移动,2023/1/5,中国移动,中国移动通信集团有限公司,未来用户,中国工程院,http://www.cae.cn/,2024-09-11,,,,,,,,,
Wi-Fi 7,无线通信系统,802.11be,高通,2023/9/15,Qualcomm,高通公司,企业及个人用户,IEEE,https://www.qualcomm.com/,2024-09-11,,,,,,,,,
Edge Computing网络,边缘计算系统,边缘计算架构,阿里巴巴,2022/7/22,阿里云,阿里巴巴集团,开发者和企业,阿里云技术文档,https://www.aliyun.com/,2024-09-11,,,,,,,,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学技术大学,2023/3/12,中科院,中国科学院,科研机构,中国科学技术网,http://www.cast.cn/,2024-09-11,,,,,,,,,
SmartMesh网络,无线传感器网络,SmartMesh,Semtech,2022/11/18,Semtech,Semtech Corporation,工业用户,媒体报道,https://www.semtech.com/,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2021/1/15,SpaceX,Space Exploration Technologies Corp,远程地区用户,美国联邦通信委员会,https://www.fcc.gov,2024-09-11,,,,,,,,,
日本5G网络,移动通信系统,5G NR,NTT Docomo,2020/5/1,NTT Docomo,"NTT Docomo, Inc.",普通用户,日本总务省,https://www.soumu.go.jp,2024-09-11,,,,,,,,,
欧洲联通网络,固定通信系统,FTTH,Vodafone Group,2021/10/20,Vodafone,Vodafone Group Plc,家庭用户,欧洲电信标准协会,https://www.etsi.org,2024-09-11,,,,,,,,,
印度4G网络,移动通信系统,LTE,Reliance Jio,2016/9/5,Reliance Jio,Reliance Jio Infocomm Limited,普通用户,印度电信监管局,https://www.trai.gov.in,2024-09-11,,,,,,,,,
巴西宽带网络,固定通信系统,ADSL,Oi S.A.,2012/3/15,Oi,Oi S.A. - Telecomunicações,家庭用户,巴西国家电信局,https://www.anatel.gov.br,2024-09-11,,,,,,,,,
韩国6G研究网络,移动通信系统,6G,Samsung Electronics,2023/8/12,Samsung,"Samsung Electronics Co., Ltd.",技术开发者,韩国通信委员会,https://www.kcc.go.kr,2024-09-11,,,,,,,,,
东南亚光纤网络,固定通信系统,GPON,Telekom Malaysia,2018/1/1,Telekom Malaysia,Telekom Malaysia Berhad,商务用户,马来西亚通信与多媒体委员会,https://www.mcmc.gov.my,2024-09-11,,,,,,,,,
中东光纤网络,固定通信系统,光纤,Etisalat,2015/5/7,Etisalat,Emirates Telecommunications Group Company PJSC,普通用户,阿联酋电信监管局,https://www.tcra.ae,2024-09-11,,,,,,,,,
加拿大公共Wi-Fi网络,无线通信系统,WLAN,Bell Canada,2019/11/1,Bell,Bell Canada Enterprises,公众,加拿大通信委员会,https://www.crtc.gc.ca,2024-09-11,,,,,,,,,
5G超级宽带网络,移动通信系统,5G,中国移动,2021/3/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019/7/10,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
移动边缘计算网络,边缘计算系统,边缘计算,腾讯科技有限公司,2022/1/25,腾讯,腾讯科技（深圳）有限公司,普通用户与企业,中国信息通信研究院,https://www.caiwuwei.com,2024-09-11,,,,,,,,,
Wi-Fi 6网络,固定通信系统,802.11ax,联想集团,2020/9/10,联想,联想集团有限公司,家庭用户,Wi-Fi联盟,https://www.wi-fi.org,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023/5/5,中国科学院,中国科学院,研究机构,中国科技部,https://www.most.gov.cn,2024-09-11,,,,,,,,,
卫星互联网网络,卫星通信系统,LEO,SpaceX,2021/6/30,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
VoLTE网络,移动通信系统,VoLTE,中国联通,2017/11/11,中国联通,中国联通股份有限公司,普通用户,中国工业和信息化部,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
城市智慧交通网络,城市通信系统,智慧交通,阿里巴巴集团,2022/8/20,阿里巴巴,阿里巴巴（中国）有限公司,城市管理机关,全国城市交通管理委员会,https://www.alibaba.com,2024-09-11,,,,,,,,,
智慧校园网络,教育通信系统,校园数字化,网易公司,2023/2/2,网易,网易（杭州）网络有限公司,高校用户,国家教育部,https://www.163.com,2024-09-11,,,,,,,,,
次世代固定网络,固定通信系统,PON,中国电信,2022/10/14,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
5G超宽带网络,移动通信系统,5G NR,中国移动,2022/3/15,中国移动,中国移动通信集团有限公司,企业用户,中国通信行业协会,https://www.cac.gov.cn/,2024-09-11,,,,,,,,,
低功耗广域网,物联网系统,LoRaWAN,爱立信,2021/5/20,爱立信,爱立信中国有限公司,工业用户,中国工信部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2023/1/12,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,全球互联网通讯协会,https://www.itu.int/,2024-09-11,,,,,,,,,
光纤到户网络,宽带通信系统,FTTH,中国联通,2022/9/10,中国联通,中国联通股份有限公司,家庭用户,中国宽带发展联盟,https://www.cbdba.org/,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,无线网络系统,Wi-Fi 6E,华硕,2023/7/15,华硕,华硕电脑（中国）,家庭用户,国际无线电通讯联盟,https://www.itu.int/en/ITU-R/,2024-09-11,,,,,,,,,
毫米波网络,移动通信系统,5G mmWave,高通,2023/8/30,高通,"Qualcomm Technologies, Inc.",普通用户,高通官网,https://www.qualcomm.com/,2024-09-11,,,,,,,,,
光传输网络,骨干网络系统,DWDM,中兴通讯,2020/11/22,中兴通讯,中兴通讯股份有限公司,企业用户,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-11,,,,,,,,,
6G未来网络,未来通信系统,6G,电信研究院,2025/10/5,电信研究院,中国电信集团有限公司,科研用户,国际通信联盟,https://www.itu.int/en/ITU-T/,2024-09-11,,,,,,,,,
量子通信系统,量子通信系统,量子密钥分配,中国科技大学,2023/9/1,中国科技大学,中国科技大学量子通信研究中心,研究用户,中国科学院,http://www.cas.cn/,2024-09-11,,,,,,,,,
跨境数据传输网络,云计算系统,SD-WAN,阿里云,2021/12/15,阿里巴巴集团,阿里巴巴（中国）有限公司,跨国企业,阿里巴巴官网,https://www.aliyun.com/,2024-09-11,,,,,,,,,
6G网络,移动通信系统,6G,中国移动,2023/5/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
Wi-Fi 6E,无线网络,Wi-Fi 6E,华为技术有限公司,2021/8/20,华为,华为技术有限公司,普通用户,互联网信息办公室,https://www.huawei.com/,2024-09-11,,,,,,,,,
下一代卫星通信系统,卫星通信系统,Ka频段,中国卫通,2022/2/1,中国卫通,中国卫星通信集团公司,专业用户,国家广播电视总局,http://www.sapprft.gov.cn/,2024-09-11,,,,,,,,,
NBIoT网络,物联网通信,NB-IoT,中国联通,2017/11/30,中国联通,中国联通股份有限公司,物联网设备制造商,中国工业和信息化部,https://www.chinalinkun.com/,2024-09-11,,,,,,,,,
Hyperconnect网络,大规模MIMO,Massive MIMO,中兴通讯,2023/1/15,中兴通讯,中兴通讯股份有限公司,普通用户,中国通信标准化协会,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
边缘计算网络,计算网络,Edge Computing,阿里巴巴,2021/6/10,支付宝,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.alibaba.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信,量子密钥分发(QKD),中国科学院,2019/11/30,中国科学院,中国科学院量子通信研究中心,政府及机构,中国科学院官网,http://www.cas.cn/,2024-09-11,,,,,,,,,
智能交通网络,交通系统,V2X通信,百度,2022/10/5,百度,百度公司,交通运输行业,中国交通运输部,http://www.mot.gov.cn/,2024-09-11,,,,,,,,,
开放无线电接入网络,无线接入网络,ORAN,Ericsson,2021/9/25,Ericsson,爱立信,网络运营商,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,
5G网络,移动通信系统,5G NR,中国移动,2020/5/20,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
VoLTE网络,移动通信系统,VoLTE,中国联通,2017/8/15,中国联通,中国联通股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
数字增强型无线网络,无线通信系统,DECT,华为技术有限公司,2021/3/10,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
智能卫星通信系统,卫星通信系统,Starlink,SpaceX,2022/11/1,SpaceX,Space Exploration Technologies Corp,全球用户,国际通信卫星组织,https://www.spacex.com/,2024-09-11,,,,,,,,,
商用Wi-Fi网络,固定通信系统,Wi-Fi 6,TP-Link,2021/5/17,TP-Link,"TP-Link Technologies Co., Ltd.",企业用户,网络设备商,https://www.tp-link.com/,2024-09-11,,,,,,,,,
下一代光纤网络,固定通信系统,GPON,中国电信,2019/7/30,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,http://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
Mesh网络,无线通信系统,Mesh Wi-Fi,网件公司,2020/10/22,网件,"NETGEAR, Inc.",家庭用户,行业分析报告,https://www.netgear.com/,2024-09-11,,,,,,,,,
私有通信网络,专用通信系统,LTE private network,爱立信,2021/4/29,爱立信,Ericsson AB,企业用户,企业通讯期刊,https://www.ericsson.com/,2024-09-11,,,,,,,,,
量子通信网络,未来通信系统,量子密钥分发,中国科学院,2023/1/15,中国科学院,中国科学院信息工程研究所,科研机构,科学研究报告,http://www.cas.cn/,2024-09-11,,,,,,,,,
边缘计算网络,云计算网络,边缘管理,IBM公司,2021/9/28,IBM,International Business Machines Corporation,企业用户,技术研究报告,https://www.ibm.com/,2024-09-11,,,,,,,,,
5G-Wave网络,移动通信系统,5G,中国移动,2021/3/15,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
智能IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2020/6/22,华为,华为技术有限公司,物联网用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
全球宽带卫星网络,卫星通信系统,Starlink,SpaceX,2021/11/10,SpaceX,Space Exploration Technologies Corp.,全球用户,国际通信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
光纤接入网,固定通信系统,FTTH,中国联通,2019/9/20,中国联通,中国联通股份有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
