机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
光学镀膜机,0.002,±0.003 μm,Ra < 0.004 μm,中,4.8,g,光学与光电技术行业协会,https://www.opta.org,,
高精度成型机,0.009,±0.015 μm,Ra < 0.008 μm,中,6.9,g,智能制造与自动化设备协会,https://www.imaea.org,,
光刻机,0.005,±0.02 μm,Ra < 0.007 μm,高,7.0,g,半导体设备制造商协会,https://www.semi.org,,
细丝切割机,0.012,±0.04 μm,Ra < 0.006 μm,中,4.5,g,全球超精密制造技术论坛,https://www.precisionmachining.org,,
超精密磨床,0.003,±0.005 μm,Ra < 0.010 μm,高,8.0,g,国际磨削技术协会,https://www.grinding.org,,
电子束曝光机,0.004,±0.008 μm,Ra < 0.002 μm,中,6.5,g,中国光电行业协会,https://www.optoelec.org.cn,,
纳米光刻机,0.001,±0.001 μm,Ra < 0.001 μm,极高,9.0,g,国际纳米技术学会,https://www.nanotech.org,,
超精密切割机,0.007,±0.015 μm,Ra < 0.012 μm,中,5.5,g,中国智造发展协会,https://www.chinaintelligence.org.cn,,
超精密激光切割机,0.002,±0.006 μm,Ra < 0.004 μm,高,6.5,g,国际激光技术学会,https://www.laser.org,,
金属粉末激光烧结机,0.009,±0.03 μm,Ra < 0.014 μm,中,3.5,g,中国3D打印产业协会,https://www.china3d.org,,
超精密车床,0.003,±0.004 μm,Ra < 0.009 μm,高,7.5,g,国际机床制造商协会,https://www.imts.com,,
超精密振动磨削机,0.006,±0.012 μm,Ra < 0.005 μm,中,4.0,g,中国工业技术研究院,https://www.cidi.org.cn,,
超声加工机,0.01,±0.02 μm,Ra < 0.007 μm,高,8.5,g,中国机械工程学会,http://www.cmes.org.cn,,
微型铣床,0.002,±0.003 μm,Ra < 0.003 μm,极高,5.8,g,全球微型加工技术协会,https://www.micro-machining.org,,
高精度球磨机,0.008,±0.007 μm,Ra < 0.006 μm,高,6.0,g,中国机械设计研究院,http://www.cme.org.cn,,
硬质合金加工机,0.005,±0.02 μm,Ra < 0.008 μm,高,4.2,g,中国材料科学与工程学会,https://www.cmees.org.cn,,
全电动线切割机,0.007,±0.005 μm,Ra < 0.020 μm,极高,7.2,g,国际电动机械工程师协会,https://www.ipee.org,,
粉末冶金设备,0.015,±0.03 μm,Ra < 0.020 μm,中,3.6,g,中国粉末冶金学会,https://www.pms.org.cn,,
精密冲压机,0.008,±0.012 μm,Ra < 0.003 μm,高,6.3,g,国际冲压技术联合会,https://www.stamping.org,,
水刀切割机,0.012,±0.025 μm,Ra < 0.007 μm,高,4.5,g,中国机械制造科技网,https://www.cmmt.com.cn,,
静态电场激光切割机,0.004,±0.008 μm,Ra < 0.003 μm,高,7.0,g,中国光电信息产业网络,http://www.cpeic.com.cn,,
蓝光激光打标机,0.009,±0.020 μm,Ra < 0.006 μm,中,3.5,g,中国激光协会,http://www.chinalasermaker.org,,
超精密磨床,0.005,±0.002 μm,Ra < 0.011 μm,高,6.0,g,中国机床技术协会,https://www.cmtia.org,,
超精密电火花机,0.007,±0.003 μm,Ra < 0.004 μm,中,5.5,g,中国电子设备工业协会,http://www.cedii.org.cn,,
高精度锯切机,0.008,±0.012 μm,Ra < 0.01 μm,高,4.8,g,中国切割加工技术中心,http://www.cuttingtech.org.cn,,
超精密转塔铣床,0.006,±0.005 μm,Ra < 0.009 μm,中,3.2,g,中国制造业发展研究所,http://www.cmdi.org.cn,,
超高精度三坐标测量机,0.002,±0.001 μm,Ra < 0.002 μm,高,8.0,g,中国质量技术监督局,http://www.cqti.gov.cn,,
激光切割机,0.003,±0.007 μm,Ra < 0.006 μm,中,5.0,g,中国激光加工制造商协会,https://www.clima.org.cn,,
精密冲压机,0.01,±0.018 μm,Ra < 0.005 μm,高,6.2,g,中国工具和设备制造协会,https://www.ctema.org.cn,,
数控轧制机,0.001,±0.005 μm,Ra < 0.015 μm,高,7.0,g,国家数控机床质量监督检验中心,http://www.ncncq.gov.cn,,
高精度冷加工机,0.004,±0.001 μm,Ra < 0.002 μm,中,4.0,g,中国冷加工技术协会,http://www.chinacoldwork.org.cn,,
超精密光刻机,0.005,±0.003 μm,Ra < 0.008 μm,高,5.5,g,国际半导体设备材料发展协会,http://www.semi.org.cn,,
超高精度精铣机,0.009,±0.004 μm,Ra < 0.003 μm,中,6.0,g,中国机床市场研究中心,http://www.cmmrc.org.cn,,
高精度激光切割系统,0.006,±0.015 μm,Ra < 0.004 μm,高,4.7,g,中国自动化工业联合会,http://www.caia.org.cn,,
超微米级成型机,0.002,±0.002 μm,Ra < 0.001 μm,高,8.5,g,中国精密制造科技网,http://www.cmpmt.com,,
电动超精密切割机,0.003,±0.005 μm,Ra < 0.005 μm,高,7.2,g,中国机器人及智能制造产业联盟,http://www.irmi.org.cn,,
超精密成像及检测机,0.001,±0.001 μm,Ra < 0.0005 μm,高,9.0,g,国家图像识别技术研究中心,http://www.nirtc.gov.cn,,
多轴加工中心,0.005,±0.02 μm,Ra < 0.007 μm,高,7.0,g,国际机械工程协会,https://www.imea.org,,
高速电主轴机床,0.004,±0.01 μm,Ra < 0.006 μm,高,8.0,g,中国机械加工技术研究院,https://www.cmmtia.org.cn,,
精密磨削机,0.007,±0.03 μm,Ra < 0.010 μm,中,4.5,g,中国制造业信息化推进组织,https://www.cmii.org.cn,,
超精密电火花机,0.003,±0.005 μm,Ra < 0.002 μm,低,3.0,g,中国电机工程学会,https://www.cees.org.cn,,
超精准激光切割机,0.002,±0.008 μm,Ra < 0.003 μm,高,6.5,g,中国光学学会,https://www.cso.org.cn,,
精密激光焊接机,0.004,±0.012 μm,Ra < 0.005 μm,中,5.0,g,中国焊接学会,http://www.cws.org.cn,,
超精密光刻机,0.001,±0.002 μm,Ra < 0.001 μm,高,9.0,g,国际半导体设备制造商协会,https://www.semi.org,,
超精密电加工中心,0.006,±0.020 μm,Ra < 0.008 μm,中,4.0,g,中国机床工程学会,https://www.cmes.org.cn,,
纳米级切削机床,0.0005,±0.001 μm,Ra < 0.0005 μm,低,2.0,g,中国纳米技术应用协会,https://www.cnanotech.org,,
超精密仪器加工机,0.0035,±0.007 μm,Ra < 0.004 μm,中,5.5,g,中国机械工程学会,https://www.cmes.org.cn,,
超精密清洗机,0.0045,±0.009 μm,Ra < 0.006 μm,高,7.0,g,中国电子清洗行业协会,http://www.ceca.org.cn,,
高性能超精密铣刀,0.0025,±0.004 μm,Ra < 0.007 μm,高,8.5,g,国际切削工具协会,https://www.itia.org,,
自动化丝锥机床,0.0065,±0.013 μm,Ra < 0.012 μm,中,4.2,g,中国自动化设备协会,https://www.caia.org.cn,,
超精密旋加工机,0.002,±0.006 μm,Ra < 0.003 μm,高,6.0,g,中国机械设计协会,https://www.cmd.org.cn,,
整体式超精密机床,0.0055,±0.008 μm,Ra < 0.007 μm,中,5.8,g,国际机床技术论坛,https://www.imtf.com,,
数控超精密机床,0.0008,±0.003 μm,Ra < 0.002 μm,高,9.5,g,国际数控机床协会,https://www.incmta.org,,
超精密铸造机,0.0075,±0.017 μm,Ra < 0.006 μm,中,4.8,g,中国铸造协会,https://www.cifa.org.cn,,
精密成形机,0.0048,±0.015 μm,Ra < 0.005 μm,高,6.2,g,中国工艺美术协会,https://www.caam.org.cn,,
五轴加工中心,0.005,±0.008 μm,Ra < 0.007 μm,高,7.0,g,中国机械制造协会,https://www.cmmachinery.org,,
超精密切削机,0.002,±0.012 μm,Ra < 0.006 μm,高,4.5,g,中国光机电工程学会,https://www.cme.org.cn,,
精密磨床,0.003,±0.009 μm,Ra < 0.008 μm,中,3.5,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
纳米级光刻机,0.0005,±0.005 μm,Ra < 0.001 μm,极高,8.0,g,中国半导体设备产业协会,http://www.cseia.org.cn,,
超声波清洗机,0.02,±0.03 μm,Ra < 0.015 μm,低,2.0,g,中国化工机械行业协会,https://www.ccmia.org.cn,,
精密数控车床,0.007,±0.01 μm,Ra < 0.004 μm,高,6.5,g,中国数控机床产业技术创新战略联盟,https://www.cnctia.org,,
超精密光学镜头加工机,0.0015,±0.006 μm,Ra < 0.002 μm,高,5.5,g,中国光学学会,http://www.cos.org.cn,,
陶瓷加工机,0.005,±0.02 μm,Ra < 0.01 μm,中,4.0,g,中国陶瓷工业协会,http://www.ceramics.org.cn,,
精密线切割机,0.04,±0.03 μm,Ra < 0.012 μm,中,5.0,g,中国电加工行业协会,https://www.edm.org.cn,,
水冷却精密切割机,0.007,±0.005 μm,Ra < 0.009 μm,高,5.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
智能化多功能加工中心,0.006,±0.02 μm,Ra < 0.007 μm,高,4.8,g,中国智能制造行业协会,https://www.cimi.org.cn,,
冷却液循环铣床,0.009,±0.007 μm,Ra < 0.006 μm,中,3.0,g,中国铣削刀具协会,http://www.cmcc.org.cn,,
高精度冲压机,0.02,±0.04 μm,Ra < 0.011 μm,中,4.0,g,中国压力机协会,https://www.chpma.org,,
高精度3D打印机,0.002,±0.01 μm,Ra < 0.003 μm,高,6.0,g,中国3D打印产业协会,http://www.c3dpi.org.cn,,
超精密反射镜加工机,0.001,±0.005 μm,Ra < 0.004 μm,极高,8.5,g,中国航空航天制造业协会,https://www.cama.org.cn,,
超高压水射流切割机,0.015,±0.03 μm,Ra < 0.010 μm,高,3.5,g,中国水射流协会,http://www.waterjet.org.cn,,
高速度电机车床,0.008,±0.015 μm,Ra < 0.005 μm,高,6.2,g,中国数控机床行业协会,http://www.cnc.org.cn,,
五轴加工中心,0.007,±0.02 μm,Ra < 0.006 μm,高,4.5,g,中国国家标准化管理委员会,http://www.sac.gov.cn,,
数控车床,0.012,±0.025 μm,Ra < 0.007 μm,中,3.8,g,国家机床质量监督检验中心,http://www.ntmq.org.cn,,
水刀切割机,0.015,±0.03 μm,Ra < 0.009 μm,中,3.2,g,中国现代制造业联合会,http://www.cmmua.org,,
超精密磨床,0.005,±0.02 μm,Ra < 0.002 μm,高,6.5,g,中国精密机械学会,http://www.cems.org.cn,,
激光焊接机,0.009,±0.018 μm,Ra < 0.004 μm,高,5.0,g,中国高端装备制造业协会,http://www.chinahightech.org,,
纳米加工机,0.001,±0.005 μm,Ra < 0.001 μm,高,7.0,g,中国纳米技术研究院,http://www.cnnano.com,,
超声波加工机,0.008,±0.012 μm,Ra < 0.003 μm,中,4.0,g,中国声学学会,http://www.csoaa.org.cn,,
高速铣床,0.004,±0.008 μm,Ra < 0.007 μm,高,8.0,g,中国机械工程学会,http://www.cmes.org.cn,,
增材制造机器,0.005,±0.01 μm,Ra < 0.006 μm,中,5.5,g,中国增材制造协会,http://www.cama.org.cn,,
光刻机,0.002,±0.003 μm,Ra < 0.001 μm,高,9.0,g,中国半导体行业协会,http://www.csia.org.cn,,
数字化测量系统,0.007,±0.015 μm,Ra < 0.002 μm,中,4.2,g,中国计量科学研究院,http://www.nim.ac.cn,,
电火花加工机,0.013,±0.02 μm,Ra < 0.008 μm,低,2.5,g,中国电子科技集团公司,http://www.cetc.com.cn,,
复合加工机床,0.006,±0.02 μm,Ra < 0.006 μm,中,6.2,g,中国机床工具工业协会,http://www.cmtia.org.cn,,
电磁加工机,0.009,±0.01 μm,Ra < 0.009 μm,高,8.0,g,中国机电工业协会,http://www.cmeia.com.cn,,
集成加工系统,0.011,±0.015 μm,Ra < 0.011 μm,中,4.4,g,中国机械制造业协会,http://www.cmmi.org.cn,,
超精密电加工机,0.002,±0.005 μm,Ra < 0.003 μm,高,7.5,g,中国电加工技术协会,http://www.edta.org.cn,,
精密成型机,0.008,±0.01 μm,Ra < 0.005 μm,高,6.8,g,中国精密制造行业协会,http://www.cpeia.org.cn,,
超精密电解加工机,0.004,±0.01 μm,Ra < 0.006 μm,高,7.0,g,中国超精密制造协会,http://www.cmpma.org.cn,,
超精密磨床,0.002,±0.005 μm,Ra < 0.004 μm,高,4.5,g,中国机械工程学会,https://www.cmes.org,,
超精密电火花加工机,0.005,±0.02 μm,Ra < 0.007 μm,中,3.5,g,中国电机工程学会,http://www.cee.org.cn,,
纳米级切削机,0.001,±0.002 μm,Ra < 0.002 μm,极高,9.0,g,中国纳米科技发展中心,http://www.cnano.org,,
超精密组装机器人,0.01,±0.03 μm,Ra < 0.012 μm,高,6.0,g,中国机器人产业联盟,http://www.cria.org.cn,,
超精密激光切割机,0.003,±0.01 μm,Ra < 0.005 μm,中,5.5,g,中国光学学会,http://www.cso.org.cn,,
高精度数控车床,0.007,±0.015 μm,Ra < 0.009 μm,高,8.0,g,中国数控机床协作中心,http://www.cncm.org.cn,,
超精密光刻机,0.0005,±0.001 μm,Ra < 0.003 μm,极高,10.0,g,中国半导体设备协会,http://www.semi.org.cn,,
超精密铣削机器人,0.008,±0.02 μm,Ra < 0.013 μm,高,5.0,g,中国智能制造技术研究中心,http://www.cimtc.org.cn,,
超精密双面磨床,0.006,±0.01 μm,Ra < 0.006 μm,中,4.0,g,中国磨削技术协会,http://www.cgta.org.cn,,
超精密电铣机,0.004,±0.005 μm,Ra < 0.004 μm,高,7.0,g,中国机床工程学会,http://www.cme.org.cn,,
超精密数控磨床,0.009,±0.015 μm,Ra < 0.011 μm,高,5.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密放电加工机,0.003,±0.01 μm,Ra < 0.009 μm,中,6.5,g,中国机床技术研究院,http://www.cmtc.org.cn,,
超精密陶瓷加工机,0.007,±0.02 μm,Ra < 0.015 μm,中,4.5,g,中国陶瓷工业协会,http://www.ccia.org.cn,,
超精密流体加工机,0.002,±0.005 μm,Ra < 0.003 μm,高,9.0,g,中国流体机械学会,http://www.cfme.org.cn,,
超精密多轴机床,0.003,±0.005 μm,Ra < 0.007 μm,高,8.0,g,中国多轴机床技术研究院,http://www.cmzjxy.org.cn,,
超精密自适应控制机床,0.008,±0.015 μm,Ra < 0.010 μm,高,6.0,g,中国智能控制技术研究中心,https://www.ictc.org.cn,,
超精密微加工机,0.0015,±0.002 μm,Ra < 0.003 μm,极高,10.0,g,中国微纳加工技术中心,http://www.cnmpa.org.cn,,
陶瓷刀具磨床,0.004,±0.02 μm,Ra < 0.006 μm,高,4.5,g,中国陶瓷研究院,https://www.ceramics.org.cn,,
五轴数控加工中心,0.007,±0.01 μm,Ra < 0.012 μm,高,7.0,g,中国数控机床工业协会,https://www.cncmia.org.cn,,
微米级磨床,0.002,±0.005 μm,Ra < 0.003 μm,低,2.0,g,中国精密制造技术协会,https://www.cpmta.org.cn,,
激光切割系统,0.009,±0.02 μm,Ra < 0.007 μm,中,6.0,g,中国机械工程学会,https://www.cmes.org.cn,,
纳米级铣削机,0.001,±0.002 μm,Ra < 0.004 μm,高,5.5,g,中国纳米技术促进会,https://www.cntp.org.cn,,
超精密激光清洗机,0.006,±0.01 μm,Ra < 0.009 μm,高,4.0,g,中国激光产业技术创新战略联盟,https://www.clia.org.cn,,
数控电火花成型机,0.008,±0.014 μm,Ra < 0.010 μm,中,3.0,g,中国电加工设备工程研究中心,https://www.edm-research.org.cn,,
超精密线切割机,0.003,±0.005 μm,Ra < 0.006 μm,中,5.0,g,中国机电工程学会,https://www.cme-cned.org.cn,,
超低温切割机,0.007,±0.03 μm,Ra < 0.011 μm,高,6.5,g,中国低温技术研究中心,https://www.clowtem.org.cn,,
激光3D打印机,0.005,±0.01 μm,Ra < 0.002 μm,高,8.0,g,中国增材制造联盟,https://www.camd.org.cn,,
高精度电动机床,0.002,±0.005 μm,Ra < 0.008 μm,中,3.5,g,中国电气工业协会,https://www.ceia.org.cn,,
超精密激光测量仪,0.003,±0.007 μm,Ra < 0.005 μm,中,4.7,g,中国测量协会,https://www.cma.org.cn,,
高精度冷加工机,0.009,±0.002 μm,Ra < 0.004 μm,高,6.2,g,中国冷加工技术中心,https://www.coldprocessing.org.cn,,
电火花线切割机,0.005,±0.012 μm,Ra < 0.013 μm,中,3.8,g,中国电火花切割技术协会,https://www.edm.org.cn,,
超精密涂层喷涂机,0.007,±0.01 μm,Ra < 0.003 μm,高,5.0,g,中国涂装技术协会,https://www.coating.org.cn,,
精密木工雕刻机,0.008,±0.015 μm,Ra < 0.009 μm,中,4.3,g,中国木工机械协会,https://www.woodmachinery.org.cn,,
压电陶瓷加工机,0.004,±0.006 μm,Ra < 0.006 μm,中,4.9,g,中国压电材料产业研究院,https://www.piezo.org.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.007 μm,高,4.5,g,中国机械工程学会,https://www.cmes.org.cn,,
陶瓷磨削机,0.004,±0.005 μm,Ra < 0.003 μm,中,3.8,g,中国陶瓷工业协会,http://www.china-ceramics.org,,
超精密电火花机,0.005,±0.009 μm,Ra < 0.006 μm,中,4.2,g,中国金属加工联合会,https://www.cmcf.org.cn,,
纳米激光加工机,0.002,±0.003 μm,Ra < 0.001 μm,高,6.5,g,中国激光产业发展联盟,http://www.clida.org,,
光刻机,0.0015,±0.002 μm,Ra < 0.004 μm,高,7.0,g,中国半导体行业协会,http://www.csia.org.cn,,
铣削加工中心,0.007,±0.012 μm,Ra < 0.009 μm,高,5.2,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
精密压铸机,0.008,±0.01 μm,Ra < 0.012 μm,中,3.5,g,中国重型机械工业协会,http://www.cmhia.org,,
超声波加工机,0.006,±0.008 μm,Ra < 0.005 μm,高,5.8,g,中国超声波工业协会,http://www.chinaua.org,,
微细加工中心,0.003,±0.003 μm,Ra < 0.002 μm,高,6.0,g,中国微纳制造联盟,http://www.cnmml.org,,
数控车床,0.005,±0.007 μm,Ra < 0.003 μm,高,4.1,g,中国数控机床产业技术创新战略联盟,https://www.cnctia.org,,
三维打印机,0.01,±0.02 μm,Ra < 0.01 μm,中,4.0,g,中国增材制造协会,http://www.cam.org.cn,,
电火花铣床,0.004,±0.005 μm,Ra < 0.003 μm,高,5.0,g,中国电加工设备协会,http://www.edm.org.cn,,
激光剖切机,0.006,±0.015 μm,Ra < 0.008 μm,中,4.5,g,中国激光技术协会,http://www.clta.org.cn,,
高精度超声波雕刻机,0.003,±0.004 μm,Ra < 0.001 μm,高,6.8,g,中国超精密制造协会,http://www.ultraprecision.com.cn,,
精密电铸机,0.002,±0.001 μm,Ra < 0.002 μm,中,4.9,g,中国铸造协会,http://www.cast.org.cn,,
超高压水射流机,0.008,±0.020 μm,Ra < 0.007 μm,高,7.5,g,中国水射流技术协会,http://www.wjta.org.cn,,
精密冲压机,0.009,±0.015 μm,Ra < 0.010 μm,中,4.3,g,中国冲压设备协会,http://www.punch.org.cn,,
微纳切削机,0.001,±0.002 μm,Ra < 0.003 μm,高,6.2,g,中国纳米科技发展协会,http://www.nano.org.cn,,
超精密线切割机,0.012,±0.02 μm,Ra < 0.007 μm,中,4.5,g,中国机械工程学会,https://www.cmes.org.cn,,
数控磨床,0.009,±0.005 μm,Ra < 0.011 μm,高,6.5,g,中国机床协会,https://www.cmta.org.cn,,
精密刀具磨床,0.008,±0.006 μm,Ra < 0.003 μm,高,7.0,g,中国制造业创新中心,https://www.nmic.org.cn,,
水涡切割机,0.014,±0.03 μm,Ra < 0.006 μm,中,3.5,g,中国机电产品进出口商会,https://www.cccmc.org.cn,,
超高频激光切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,8.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密五轴机床,0.007,±0.004 μm,Ra < 0.001 μm,高,5.5,g,中国数控机床协会,https://www.cncma.org.cn,,
精密铣床,0.003,±0.002 μm,Ra < 0.004 μm,高,5.0,g,中国机械制造业信息中心,https://www.cmmc.org.cn,,
超精密打磨机,0.019,±0.012 μm,Ra < 0.010 μm,中,4.2,g,中国超精密加工协会,https://www.upma.org.cn,,
精密激光切割机,0.004,±0.007 μm,Ra < 0.003 μm,高,6.8,g,中国光电产业协会,http://www.chinaoea.org,,
智能伺服铣床,0.013,±0.009 μm,Ra < 0.012 μm,中,4.8,g,中国工业机器研究院,https://www.ciman.org.cn,,
五轴加工中心,0.007,±0.011 μm,Ra < 0.009 μm,高,6.2,g,中国制造研究院,https://www.manufacturingacademy.org.cn,,
高精度电火花机,0.01,±0.03 μm,Ra < 0.013 μm,中,5.7,g,中国电气工程学会,https://www.cee.org.cn,,
纳米铣削机,0.002,±0.001 μm,Ra < 0.002 μm,高,7.5,g,中国纳米技术协会,http://www.cntoa.org.cn,,
高频激光刻蚀机,0.006,±0.005 μm,Ra < 0.008 μm,高,6.0,g,中国高新技术产业协会,https://www.citpa.org.cn,,
超精密研磨机,0.011,±0.003 μm,Ra < 0.005 μm,中,5.9,g,中国行星研磨机研究院,https://www.planetarygrinders.org.cn,,
超高精度激光打标机,0.001,±0.002 μm,Ra < 0.010 μm,高,6.3,g,中国激光加工技术研究院,https://www.cltr.org.cn,,
立式加工中心,0.008,±0.015 μm,Ra < 0.006 μm,中,4.0,g,中国机械加工技术协会,https://www.cmt.org.cn,,
黑科技反向工程机床,0.005,±0.007 μm,Ra < 0.003 μm,高,8.0,g,中国高科技产品开发促进中心,https://www.ctedata.org,,
超精密线切割机,0.007,±0.012 μm,Ra < 0.007 μm,高,4.5,g,国家制造业标准化技术委员会,http://www.nmpa.gov.cn,,
精密研磨机,0.004,±0.02 μm,Ra < 0.003 μm,中,2.8,g,中国机械工程学会,http://www.cmes.org,,
五轴加工中心,0.005,±0.008 μm,Ra < 0.006 μm,高,5.5,g,中国机床制造业协会,http://www.cmtia.org.cn,,
超精密激光切割机,0.003,±0.005 μm,Ra < 0.002 μm,高,7.0,g,中国科学技术协会,http://www.cast.org.cn,,
同步激光焊接机,0.012,±0.020 μm,Ra < 0.004 μm,高,6.3,g,中国激光联合会,http://www.chinalaser.org,,
超精密锯切机,0.006,±0.010 μm,Ra < 0.005 μm,中,3.8,g,中国材料研究学会,http://www.cstl.org.cn,,
超微细铣床,0.002,±0.002 μm,Ra < 0.001 μm,高,5.0,g,中国数控机床产业技术创新战略联盟,http://www.cntac.org.cn,,
精密气动钻床,0.005,±0.009 μm,Ra < 0.006 μm,中,4.0,g,全国工业设备管理信息中心,http://www.coc.com.cn,,
超精密CNC机床,0.004,±0.006 μm,Ra < 0.003 μm,高,6.2,g,国家机床质量监督检验中心,http://www.nqz.org.cn,,
超精密焊接机,0.007,±0.003 μm,Ra < 0.004 μm,高,6.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密雕刻机,0.009,±0.011 μm,Ra < 0.010 μm,中,5.8,g,中国机械科学研究总院,http://www.cams.org.cn,,
超精密检测机,0.005,±0.004 μm,Ra < 0.002 μm,高,7.0,g,中国机械设备协会,http://www.cma.org.cn,,
超高速铣刀机,0.004,±0.015 μm,Ra < 0.005 μm,高,6.0,g,中国机床与工具信息网,http://www.toolchina.com,,
智能互联镗床,0.008,±0.007 μm,Ra < 0.008 μm,中,4.0,g,国家信息中心,http://www.sic.gov.cn,,
精密模具磨床,0.006,±0.008 μm,Ra < 0.009 μm,高,5.1,g,中国模具工业协会,http://www.chmta.org.cn,,
航空零部件加工中心,0.005,±0.011 μm,Ra < 0.007 μm,高,6.5,g,中国航空学会,http://www.caas.cn,,
微纳加工机,0.002,±0.001 μm,Ra < 0.001 μm,高,5.6,g,中国纳米科技发展中心,http://www.cnstc.org.cn,,
超清精密压铸机,0.003,±0.004 μm,Ra < 0.005 μm,中,4.7,g,中国铸造协会,http://www.camrt.org.cn,,
水刀切割机,0.012,±0.025 μm,Ra < 0.006 μm,高,4.5,g,中国机械工程学会,https://www.cmes.org,,
激光切割机,0.009,±0.020 μm,Ra < 0.007 μm,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.011 μm,中,5.0,g,中国机床工具有限公司,https://www.cmtool.com.cn,,
超精密多轴机床,0.016,±0.030 μm,Ra < 0.005 μm,中,3.5,g,中国工具协会,https://www.ctia.org.cn,,
光刻机,0.002,±0.003 μm,Ra < 0.004 μm,高,7.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密磨床,0.005,±0.006 μm,Ra < 0.003 μm,高,6.0,g,工业和信息化部,https://www.miit.gov.cn,,
超精密凿床,0.007,±0.020 μm,Ra < 0.008 μm,中,4.2,g,中国船舶重工集团公司,https://www.csic.com.cn,,
超声波加工机,0.008,±0.015 μm,Ra < 0.009 μm,高,5.5,g,中国航天科技集团,https://www.casic.com,,
超精密冲压机,0.01,±0.012 μm,Ra < 0.013 μm,中,3.8,g,中国机械总公司,https://www.cmc.com.cn,,
超精密电子束加工机,0.003,±0.002 μm,Ra < 0.002 μm,高,8.0,g,中国航空工业集团,https://www.avic.com,,
电火花加工机,0.009,±0.020 μm,Ra < 0.010 μm,中,3.0,g,中国电器工业协会,https://www.cnia.org.cn,,
磨削中心,0.007,±0.001 μm,Ra < 0.006 μm,高,5.2,g,中国机床工具市场网,http://www.cmtm.com.cn,,
精密铣床,0.006,±0.004 μm,Ra < 0.007 μm,高,7.5,g,中国机械设备管理协会,https://www.cmeia.org,,
薄膜沉积机,0.002,±0.001 μm,Ra < 0.001 μm,高,9.0,g,中国新材料产业技术创新战略联盟,https://www.cmtia.org.cn,,
精密激光焊接机,0.003,±0.002 μm,Ra < 0.005 μm,中,4.0,g,中国激光技术研究院,https://www.clri.org.cn,,
纳米加工机,0.001,±0.005 μm,Ra < 0.003 μm,高,8.5,g,中国纳米技术发展中心,https://www.nitc.org.cn,,
超精密塑料成型机,0.011,±0.020 μm,Ra < 0.009 μm,中,4.1,g,中国塑料工业协会,https://www.cpia.org.cn,,
碳纳米管加工机,0.005,±0.007 μm,Ra < 0.006 μm,高,6.3,g,中国纳米材料研究所,https://www.cnans.org.cn,,
五轴加工中心,0.004,±0.008 μm,Ra < 0.006 μm,高,7.0,g,中国三维打印及数字化产业发展协会,http://www.3dprinting.org.cn,,
数控车床,0.005,±0.012 μm,Ra < 0.007 μm,中,4.5,g,中国机械工程学会,http://www.cmes.org.cn,,
超精密磨床,0.002,±0.009 μm,Ra < 0.004 μm,高,6.5,g,国家机床质量监督检验中心,http://www.cqm.org.cn,,
激光切割机,0.003,±0.02 μm,Ra < 0.003 μm,高,8.0,g,中国机械工业集团公司,http://www.cmigec.com,,
超精密水刀切割机,0.001,±0.005 μm,Ra < 0.002 μm,高,9.0,g,中国科学技术协会,http://www.cast.org.cn,,
精密电火花机,0.007,±0.03 μm,Ra < 0.010 μm,中,5.5,g,中国电机工程学会,http://www.eda.cn,,
超精密三坐标测量机,0.002,±0.004 μm,Ra < 0.001 μm,高,3.5,g,中国计量科学研究院,http://www.nim.ac.cn,,
超精密激光切割机,0.005,±0.018 μm,Ra < 0.006 μm,中,6.0,g,中国激光技术研究所,http://www.clri.cn,,
超精密复合加工机,0.003,±0.007 μm,Ra < 0.005 μm,高,8.5,g,中国先进制造技术协会,http://www.camt.org.cn,,
数控铣床,0.006,±0.015 μm,Ra < 0.009 μm,中,5.5,g,机器人产业技术创新战略联盟,http://www.ricl.org.cn,,
光纤激光切割机,0.002,±0.001 μm,Ra < 0.003 μm,高,7.2,g,中国光学学会,http://www.optics.org.cn,,
超精密成形机,0.004,±0.02 μm,Ra < 0.007 μm,中,4.0,g,中国材料学会,http://www.cms.org.cn,,
高精度刀具磨床,0.002,±0.012 μm,Ra < 0.008 μm,高,6.8,g,中国刀具工具行业协会,http://www.ctia.org.cn,,
微米级超精密激光雕刻机,0.001,±0.005 μm,Ra < 0.002 μm,高,8.9,g,中国微制造技术协会,http://www.cmmt.org.cn,,
精密电火花线切割机,0.006,±0.03 μm,Ra < 0.009 μm,中,5.0,g,中国机电工程学会,http://www.cmec.org.cn,,
多功能精密铣削机,0.003,±0.01 μm,Ra < 0.006 μm,中,4.7,g,中国智能制造系统创新战略联盟,http://www.cisic.org.cn,,
