机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
精密数控切割机,0.022,mm,±0.018 mm,Ra 1.1,高,6.7,g,中国数控技术研究院,https://www.cnc.org.cn,,
高能激光切割机,0.018,mm,±0.02 mm,Ra 1.0,高,7.2,g,国际激光工业协会,https://www.ila.org.cn,,
等离子水刀切割机,0.07,mm,±0.3 mm,Ra 4.2,中,3.8,g,中国航空机械科学家协会,https://www.aimsa.org.cn,,
电火花切割机,0.05,mm,±0.1 mm,Ra 3.0,低,3.1,g,中国机电工程学会,https://www.cme.org.cn,,
激光金属切割机,0.02,mm,±0.015 mm,Ra 2.0,高,5.3,g,国家工业和信息化部,https://www.miit.gov.cn,,
普通激光切割机,0.03,mm,±0.02 mm,Ra 1.5,中,4.0,g,中国机械工业集团公司,https://www.cmc.com.cn,,
CO2激光切割机,0.035,mm,±0.05 mm,Ra 1.9,较高,6.5,g,国家技术监督局,https://www.sac.gov.cn,,
超声波切割机,0.02,mm,±0.01 mm,Ra 0.7,高,7.5,g,现代制造杂志,https://www.modernmanufacturing.com.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 2.6,较低,3.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
等离子切割机,0.1,mm,±0.3 mm,Ra 4.0,中,2.5,g,中国电源协会,https://www.china-sda.org,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,极高,9.0,g,国际光纤技术协会,https://www.ifta.org,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.0,高,6.0,g,中国水处理技术协会,https://www.cwta.org.cn,,
数控火焰切割机,0.075,mm,±0.15 mm,Ra 3.5,中,3.8,g,中国数控机床协会,https://www.cnc.org.cn,,
YAG激光切割机,0.028,mm,±0.02 mm,Ra 1.8,较高,5.5,g,中国激光设备协会,https://www.clia.org.cn,,
混合气体激光切割机,0.04,mm,±0.07 mm,Ra 2.0,高,6.7,g,中国激光加工技术研究院,https://www.clao.org.cn,,
激光/水刀复合切割机,0.022,mm,±0.02 mm,Ra 1.1,高,8.2,g,智能制造月刊,https://www.intelligentmanufacturing.com.cn,,
数字控制电火花切割机,0.05,mm,±0.1 mm,Ra 2.3,中,4.4,g,科技部先进制造研究中心,https://www.most.gov.cn,,
精密光纤激光切割机,0.009,mm,±0.005 mm,Ra 0.9,极高,7.9,g,中国光学学会,https://www.cos.org.cn,,
等离子水刀切割机,0.07,mm,±0.2 mm,Ra 3.2,高,5.2,g,中国金属加工技术研究中心,https://www.cmtrc.org.cn,,
高功率YAG激光切割机,0.015,mm,±0.012 mm,Ra 0.6,高,8.0,g,中国机械视觉研究院,https://www.cmvri.org.cn,,
柔性切割系统,0.04,mm,±0.1 mm,Ra 2.7,中,4.8,g,新材料技术研究所,https://www.nmtc.org.cn,,
四轴数控切割机,0.065,mm,±0.12 mm,Ra 4.1,中,3.6,g,中国人造晶体协会,https://www.ccra.org.cn,,
工业激光机器人,0.008,mm,±0.003 mm,Ra 0.4,极高,9.5,g,中国机器人协会,https://www.cra.org.cn,,
YAG激光切割机,0.023,mm,±0.02 mm,Ra 1.9,高,5.2,g,国家智能制造研究院,https://www.nimi.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 3.2,中,3.2,g,中国机械制造协会,https://www.cma.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.1,较低,2.5,g,中国机械设备制造业协会,https://www.cmema.org.cn,,
光纤激光切割机,0.003,mm,±0.008 mm,Ra 0.6,极高,8.5,g,光电装备研究所,https://www.optic.com.cn,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.1,高,7.2,g,国际水切割技术协会,https://www.wwcta.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.5,中,3.8,g,中国激光行业发展研究中心,https://www.clidr.org.cn,,
火焰切割机,0.15,mm,±0.5 mm,Ra 5.0,低,1.2,g,中国自动化学会,https://www.caa.org.cn,,
电弧切割机,0.08,mm,±0.15 mm,Ra 3.8,中,4.0,g,中国金属切削协会,https://www.cmca.org.cn,,
超音速切割机,0.005,mm,±0.01 mm,Ra 0.5,极高,9.0,g,国家超声波技术研究中心,https://www.nulc.cn,,
YAG激光切割机,0.03,mm,±0.04 mm,Ra 1.7,高,5.5,g,中国光电产业协会,https://www.coia.org.cn,,
反向撇切机,0.068,mm,±0.12 mm,Ra 3.6,中,3.6,g,中国金属切割技术研究中心,https://www.cmctr.org.cn,,
水刀切割机,0.022,mm,±0.02 mm,Ra 1.2,高,6.8,g,国际水切割技术组织,https://www.iwcta.org,,
光纤激光切割机,0.007,mm,±0.009 mm,Ra 0.7,极高,8.3,g,中国激光行业技术委员会,https://www.clita.org,,
无级离合切割机,0.03,mm,±0.05 mm,Ra 2.0,中,4.2,g,中国智能设备研究中心,https://www.cizdr.org.cn,,
数控激光切割机,0.014,mm,±0.01 mm,Ra 0.9,高,6.5,g,中国机器人产业协会,https://www.crobot.org.cn,,
等离子切割机,0.11,mm,±0.3 mm,Ra 4.8,较低,2.8,g,中国材料研究总院,https://www.cams.org.cn,,
CO2激光切割机,0.039,mm,±0.06 mm,Ra 3.1,中,3.3,g,光电技术与应用研究协会,https://www.opticaltech.org.cn,,
激光水刀切割机,0.009,mm,±0.013 mm,Ra 1.0,高,7.0,g,中国设备管理协会,https://www.cema.org.cn,,
电火花切割机,0.04,mm,±0.05 mm,Ra 2.5,中,4.0,g,中国电气工程学会,https://www.csee.org.cn,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.0,高,9.0,g,国际机械制造协会,https://www.imma.org,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.6,高,10.0,g,科技部创新中心,https://www.innovation.gov.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 2.1,中,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
等离子切割机,0.15,mm,±0.3 mm,Ra 5.0,较低,2.5,g,中国机械工业联合会,https://www.cmia.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.5,中,4.0,g,机械工程学会,https://www.cmes.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.9,高,5.5,g,中国科学院,https://www.cas.cn,,
电火花切割机,0.06,mm,±0.1 mm,Ra 3.1,较低,3.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
光纤激光切割机,0.003,mm,±0.002 mm,Ra 0.4,高,11.0,g,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.015,mm,±0.018 mm,Ra 1.5,中,8.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
等离子切割机,0.2,mm,±0.4 mm,Ra 6.0,较低,2.0,g,中国电子科技集团公司,https://www.cetc.cn,,
数控火焰切割机,0.08,mm,±0.15 mm,Ra 3.8,高,5.8,g,中国机械工程学会,https://www.cmes.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.4,中,4.8,g,中国光电行业协会,https://www.cophii.org.cn,,
YAG激光切割机,0.027,mm,±0.03 mm,Ra 2.4,高,5.2,g,国家科学技术部,https://www.most.gov.cn,,
激光水刀切割机,0.022,mm,±0.017 mm,Ra 1.8,高,7.4,g,中国水射流技术协会,https://www.wjcta.org.cn,,
光纤激光切割机,0.005,mm,±0.005 mm,Ra 0.5,高,12.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
电火花切割机,0.05,mm,±0.1 mm,Ra 2.7,中,4.2,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.9,高,6.5,g,国家技术监督局,https://www.csbts.gov.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 2.9,中,3.5,g,中国工业信息化部,https://www.miit.gov.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 3.5,中,4.0,g,中国机械产品质量监督检验中心,https://www.cmqc.org.cn,,
光纤激光切割机,0.004,mm,±0.006 mm,Ra 0.5,高,9.0,g,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.0,高,7.5,g,中国水射流设备研究所,https://www.wjcta.org.cn,,
YAG激光切割机,0.022,mm,±0.027 mm,Ra 2.1,高,6.2,g,国家标准局,https://www.sac.gov.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,3.2,g,中国机械制造业协会,https://www.cmma.org.cn,,
光纤激光切割机,0.016,mm,±0.02,Ra 1.1,高,6.5,g,中国激光协会,https://www.clia.org.cn,,
激光水刀切割机,0.017,mm,±0.016 mm,Ra 0.9,高,5.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 3.2,中,4.5,g,中国科学技术协会,https://www.cast.org.cn,,
电火花切割机,0.07,mm,±0.15 mm,Ra 2.5,中,4.1,g,中国电子技术标准化研究院,https://www.cet.org.cn,,
等离子切割机,0.1,mm,±0.25 mm,Ra 4.0,较低,2.5,g,中国设备管理协会,https://www.cdma.org.cn,,
YAG激光切割机,0.021,mm,±0.023 mm,Ra 1.8,高,5.7,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.005,mm,±0.009 mm,Ra 0.7,高,8.5,g,国际激光与应用技术协会,https://www.ilta.org.cn,,
激光水刀切割机,0.013,mm,±0.020 mm,Ra 1.2,高,7.0,g,中国水下切割技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.045,mm,±0.075 mm,Ra 2.7,中,3.8,g,中国光电行业协会,https://www.cop.org.cn,,
数控火焰切割机,0.11,mm,±0.3 mm,Ra 4.2,中,2.3,g,中国机械协会,https://www.cma.org.cn,,
YAG激光切割机,0.03,mm,±0.02 mm,Ra 1.9,高,5.5,g,中国机械科学研究总院,https://www.camsme.com.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.5,中,2.8,g,中国电机工程学会,https://www.cees.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,3.5,g,中国金属加工协会,https://www.cmma.org.cn,,
光纤激光切割机,0.002,mm,±0.005 mm,Ra 0.6,高,9.0,g,中国激光技术及应用协会,https://www.clta.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.1,高,6.5,g,国家水射流技术研究中心,https://www.wjtt.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.3,中,4.0,g,中国机械电子工业联合会,https://www.cmec.org.cn,,
数控火焰切割机,0.09,mm,±0.4 mm,Ra 3.8,中,2.2,g,中国焊接学会,https://www.cws.org.cn,,
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.5,高,5.2,g,中国水射流技术协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.028,mm,±0.028 mm,Ra 2.0,高,5.8,g,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.05,mm,±0.09 mm,Ra 3.0,中,3.0,g,中国科协,https://www.cast.org.cn,,
电火花切割机,0.055,mm,±0.11 mm,Ra 3.6,中,2.9,g,中国机械信息网,https://www.cmi.com.cn,,
等离子切割机,0.085,mm,±0.22 mm,Ra 4.1,中,3.7,g,中国金属学会,https://www.cms.org.cn,,
光纤激光切割机,0.001,mm,±0.003 mm,Ra 0.4,高,10.0,g,国际激光应用协会,https://www.ilta.org.cn,,
激光水刀切割机,0.014,mm,±0.012 mm,Ra 1.8,高,6.0,g,中国水切割技术研究中心,https://www.cwtrc.org.cn,,
数控火焰切割机,0.095,mm,±0.5 mm,Ra 4.6,中,2.5,g,中国机械制造业协会,https://www.cmma.org.cn,,
YAG激光切割机,0.027,mm,±0.025 mm,Ra 2.5,高,5.6,g,中国机械工业协会,https://www.cmi.org.cn,,
CO2激光切割机,0.038,mm,±0.06 mm,Ra 2.7,中,3.8,g,中国科技部,https://www.most.gov.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国激光技术协会,https://www.clia.org.cn,,
YAG激光切割机,0.03,mm,±0.03 mm,Ra 2.5,中,5.5,g,国家工业和信息化部,https://www.miit.gov.cn,,
等离子切割机,0.065,mm,±0.15 mm,Ra 3.6,较低,3.0,g,中国机械工业联合会,https://www.cmie.org.cn,,
光纤激光切割机,0.005,mm,±0.01 mm,Ra 0.5,高,9.0,g,国际光纤激光制造协会,https://www.iflma.org,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.1,高,6.2,g,水射流设备技术中心,https://www.wjtech.org.cn,,
CO2激光切割机,0.022,mm,±0.07 mm,Ra 2.7,中,4.8,g,机械行业协会,https://www.mech.org.cn,,
数控火焰切割机,0.15,mm,±0.4 mm,Ra 4.3,中,2.5,g,中国数控机床协会,https://www.cnccs.org.cn,,
激光切管机,0.02,mm,±0.018 mm,Ra 1.4,高,7.8,g,国际激光切割技术协会,https://www.lasercutting.org,,
可调激光切割机,0.006,mm,±0.02 mm,Ra 0.9,高,8.1,g,中国新材料研究院,https://www.newmaterials.com.cn,,
电子束切割机,0.05,mm,±0.05 mm,Ra 2.0,中,4.0,g,中国科学院,https://www.cas.cn,,
自动化激光切割系统,0.015,mm,±0.01 mm,Ra 1.5,高,7.4,g,中央科技发展研究院,https://www.cdri.org.cn,,
光学激光切割机,0.008,mm,±0.012 mm,Ra 1.8,中,3.6,g,中国光学学会,https://www.optics.org.cn,,
多功能切割机,0.04,mm,±0.05 mm,Ra 2.8,高,5.0,g,中国国际机床展览会,https://www.cimt.org.cn,,
水刀切割机,0.015,mm,±0.01 mm,Ra 0.7,高,6.3,g,中国水切割协会,https://www.cwa.org.cn,,
激光切割机器人,0.028,mm,±0.02 mm,Ra 1.6,高,8.2,g,机器人技术协会,https://www.robotics.org.cn,,
节能型激光切割机,0.017,mm,±0.03 mm,Ra 1.9,中,5.8,g,中国节能环保协会,https://www.ceeia.org.cn,,
超高速激光切割机,0.01,mm,±0.01 mm,Ra 1.2,高,10.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
智能激光切割系统,0.009,mm,±0.015 mm,Ra 1.4,高,7.1,g,中国智能制造协会,https://www.iams.org.cn,,
激光钣金切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国机器工具协会,https://www.cmta.org.cn,,
等离子龙门切割机,0.08,mm,±0.2 mm,Ra 3.5,中,4.0,g,国家质量监督局,https://www.aqsiq.gov.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,较高,3.8,g,中国激光网,https://www.chinalaser.org,,
YAG激光切割机,0.02,mm,±0.015 mm,Ra 2.0,高,5.5,g,中国金属加工协会,https://www.cmta.org.cn,,
水刀切割机,0.007,mm,±0.01 mm,Ra 0.9,高,9.0,g,国际水切削技术协会,https://www.wjcta.org.cn,,
数控火焰切割机,0.1,mm,±0.25 mm,Ra 4.2,低,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
高功率光纤激光切割机,0.005,mm,±0.005 mm,Ra 0.5,非常高,10.0,g,光纤激光行业发展报告,https://www.opticalfiber.com,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.2,中,3.2,g,中国电气工程学会,https://www.cees.org.cn,,
激光切割机,0.02,mm,±0.03 mm,Ra 1.5,高,6.2,g,中国激光加工业协会,https://www.clia.org.cn,,
分层切割机,0.015,mm,±0.01 mm,Ra 1.1,高,7.5,g,中国机床工具行业协会,https://www.cmta.org.cn,,
自动火焰切割机,0.1,mm,±0.3 mm,Ra 4.8,中,2.8,g,中国国家能源局,https://www.nea.gov.cn,,
精密等离子切割机,0.06,mm,±0.12 mm,Ra 3.3,中,4.0,g,中国机械工程研究院,https://www.mei.edu.cn,,
超声波切割机,0.025,mm,±0.018 mm,Ra 1.8,较高,5.0,g,中国超声技术协会,https://www.chinauas.org.cn,,
高速激光切割机,0.005,mm,±0.005 mm,Ra 0.7,非常高,9.8,g,国际激光加工技术协会,https://www.ilta.org.cn,,
机器人切割机,0.03,mm,±0.03 mm,Ra 1.4,高,7.2,g,机器人技术与应用协会,https://www.roboticstz.com,,
光电切割机,0.02,mm,±0.02 mm,Ra 1.3,高,8.1,g,中国光电产业协会,https://www.copa.org.cn,,
气体切割机,0.06,mm,±0.2 mm,Ra 3.0,中,3.9,g,中国半导体行业协会,https://www.csia.org.cn,,
数控激光切割机,0.01,mm,±0.02 mm,Ra 1.9,高,7.4,g,中国自动化学会,https://www.ca.com.cn,,
金属激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国机械工程学会,https://www.cmes.org.cn,,
超声波切割机,0.03,mm,±0.05 mm,Ra 0.5,高,4.0,g,中国科协,https://www.cast.org.cn,,
CO2激光切割机,0.02,mm,±0.07 mm,Ra 2.5,中,4.2,g,中国激光行业协会,https://www.clia.org.cn,,
便携式激光切割机,0.04,mm,±0.06 mm,Ra 1.8,中,3.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
纳米级激光切割机,0.001,mm,±0.005 mm,Ra 0.2,高,8.5,g,国际激光科技协会,https://www.ilta.org.cn,,
等离子切割机,0.1,mm,±0.2 mm,Ra 4.0,低,2.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 1.1,高,6.0,g,工业和信息化部,https://www.miit.gov.cn,,
数控激光水刀,0.015,mm,±0.02 mm,Ra 0.9,高,7.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
火焰切割机,0.1,mm,±0.25 mm,Ra 5.0,低,1.5,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
激光切割机,0.02,mm,±0.01 mm,Ra 0.75,高,5.5,g,中国工程院,https://www.cae.cn,,
高功率激光切割机,0.018,mm,±0.015 mm,Ra 2.0,中,6.2,g,国际机械工程协会,https://www.ime.org,,
数字化激光切割机,0.007,mm,±0.005 mm,Ra 0.6,高,9.0,g,中国科技部,https://www.most.gov.cn,,
经济型火焰切割机,0.12,mm,±0.3 mm,Ra 3.5,中,3.0,g,中国钣金制造协会,https://www.cfma.org.cn,,
小型激光切割机,0.01,mm,±0.02 mm,Ra 1.0,高,5.0,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
深喉切割机,0.05,mm,±0.04 mm,Ra 3.2,中,4.8,g,中国数控机床协会,https://www.cnct.org.cn,,
复合激光切割机,0.022,mm,±0.001 mm,Ra 0.4,高,8.0,g,中国激光技术研究院,https://www.cltr.org.cn,,
光纤水刀切割机,0.02,mm,±0.009 mm,Ra 0.7,高,7.0,g,中国水工业协会,https://www.ciiwa.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,国家能源局,https://www.nea.gov.cn,,
电火花切割机,0.06,mm,±0.1 mm,Ra 2.5,中,4.0,g,中国电气机械协会,https://www.cema.org.cn,,
水刀切割机,0.015,mm,±0.005 mm,Ra 1.1,高,8.2,g,中国材料学会,https://www.cms.org.cn,,
光纤激光切割机,0.008,mm,±0.009 mm,Ra 0.6,高,9.0,g,中国激光研究院,https://www.clri.org.cn,,
等离子切割机,0.12,mm,±0.5 mm,Ra 5.0,低,1.5,g,中国机械科技集团公司,https://www.cmtech.com.cn,,
数控火焰切割机,0.07,mm,±0.15 mm,Ra 3.5,中,3.5,g,国家数控技术中心,https://www.ncs.gov.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.0,中,4.5,g,中国机械制造协会,https://www.cmm.com.cn,,
电火花切割机,0.05,mm,±0.12 mm,Ra 2.8,中,3.8,g,中国电气行业协会,https://www.ceia.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,7.5,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.005,mm,±0.005 mm,Ra 0.7,高,8.0,g,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 2.1,高,5.5,g,国家科学技术部,https://www.most.gov.cn,,
电火花切割机,0.065,mm,±0.11 mm,Ra 3.2,中,4.2,g,中国国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
等离子切割机,0.11,mm,±0.4 mm,Ra 4.2,低,1.2,g,中国材料工业协会,https://www.cmia.org.cn,,
激光水刀切割机,0.009,mm,±0.008 mm,Ra 0.9,高,7.8,g,中国工程院,https://www.cae.cn,,
数控火焰切割机,0.08,mm,±0.18 mm,Ra 3.8,中,2.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.4,中,3.5,g,中国科协,https://www.cast.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.8,高,6.5,g,中国激光制造网,https://www.laser-manufacturing.cn,,
电火花切割机,0.038,mm,±0.05 mm,Ra 3.5,中,4.0,g,全国电气设备工业协会,https://www.electric-app.com,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,较低,2.5,g,中国工业机械协会,https://www.cima.net.cn,,
光纤激光切割机,0.007,mm,±0.008 mm,Ra 0.5,高,8.0,g,国际激光与光纤学会,https://www.ifso.org,,
激光水刀切割机,0.015,mm,±0.01 mm,Ra 1.5,中,5.5,g,国家水射流技术研究中心,https://www.waterytech.gov.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.2,高,4.0,g,中国机电设备总公司,https://www.cme.net.cn,,
数字化火焰切割机,0.1,mm,±0.2 mm,Ra 3.8,中,3.0,g,中国机械工程学会,https://www.cmes.org.cn,,
精密激光切割机,0.003,mm,±0.005 mm,Ra 0.3,高,9.0,g,高端制造业发展中心,https://www.udmc.org,,
超声波切割机,0.02,mm,±0.02 mm,Ra 1.4,高,5.0,g,中国超声波技术协会,https://www.ultrasonics.cn,,
高温等离子切割机,0.09,mm,±0.15 mm,Ra 3.0,中,4.5,g,国家高温材料研究中心,https://www.htmrc.cn,,
便携式激光切割机,0.04,mm,±0.06 mm,Ra 2.5,高,4.2,g,全球便携式设备协会,https://www.portable-tools.org,,
激光纳米切割机,0.002,mm,±0.001 mm,Ra 0.1,高,10.0,g,纳米技术与应用协会,https://www.nanotech.org.cn,,
复合切割机,0.028,mm,±0.03 mm,Ra 1.9,中,5.3,g,中国复合材料协会,https://www.composite.org.cn,,
多功能切割机,0.06,mm,±0.04 mm,Ra 2.7,中,3.8,g,中国机械自动化协会,https://www.cma.org.cn,,
激光水切割机,0.013,mm,±0.012 mm,Ra 1.0,高,7.5,g,全国水切割技术协会,https://www.watercuttech.org.cn,,
激光雕刻切割机,0.05,mm,±0.06 mm,Ra 1.6,高,6.2,g,中国激光雕刻技术协会,https://www.laser-engraving.org.cn,,
数控激光切割机,0.04,mm,±0.05 mm,Ra 2.9,高,5.7,g,数控自控技术协会,https://www.cnc-automation.org.cn,,
高效激光切割机,0.022,mm,±0.02 mm,Ra 1.7,高,6.9,g,国际精密设备制造协会,https://www.ipmma.org.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国机械制造协会,https://www.cmma.org.cn,,
水刀切割机,0.015,mm,±0.01 mm,Ra 1.0,中,4.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
数控铣床,0.03,mm,±0.05 mm,Ra 1.8,高,5.5,g,国内市场研究机构,https://www.morningstar.com,,
等离子切割机,0.08,mm,±0.2 mm,Ra 3.5,中,3.0,g,中国电子科技集团,https://www.cetc.com.cn,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 2.0,高,6.0,g,中国光电技术协会,https://www.copt.org.cn,,
CO2激光切割机,0.05,mm,±0.1 mm,Ra 2.5,中,4.5,g,中国激光应用协会,https://www.clei.org.cn,,
光纤激光切割机,0.01,mm,±0.015 mm,Ra 0.5,高,7.5,g,中国激光行业协会,https://www.clia.org.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.2,较低,2.5,g,中国电机工程学会,https://www.ceiee.org.cn,,
激光水刀切割机,0.02,mm,±0.02 mm,Ra 1.1,高,4.8,g,国际水射流技术协会,https://www.wjta.org,,
激光切割机,0.018,mm,±0.02 mm,Ra 2.1,高,5.2,g,工业和信息化部,https://www.miit.gov.cn,,
数控火焰切割机,0.09,mm,±0.25 mm,Ra 4.2,中,3.5,g,中国机械工程总公司,https://www.cmes.com.cn,,
等离子切割机,0.1,mm,±0.3 mm,Ra 4.0,较低,2.0,g,中国电力设备管理协会,https://www.cpema.org.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.7,高,6.2,g,中国光纤通信网,https://www.fiberoptic.org.cn,,
电火花切割机,0.07,mm,±0.09 mm,Ra 3.6,较低,3.2,g,中国材料研究学会,https://www.cmri.org.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.6,高,8.5,g,中国激光协会,https://www.clai.org.cn,,
等离子切割机,0.04,mm,±0.15 mm,Ra 2.9,中,3.8,g,中国锅炉制造协会,https://www.cbma.org.cn,,
水刀切割机,0.014,mm,±0.018 mm,Ra 1.4,高,5.0,g,中国制冷科学院,https://www.crai.org.cn,,
激光切割机,0.001,mm,±0.002 mm,Ra 0.2,非常高,9.0,g,国际激光制造协会,https://www.laser.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国激光技术协会,https://www.clia.org.cn,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.0,中,5.0,g,中国水射流技术协会,https://www.wjcta.org.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.5,中,4.0,g,全国机械工业生产力促进中心,https://www.cpi.org.cn,,
CO2激光切割机,0.035,mm,±0.05 mm,Ra 2.5,高,4.8,g,中国机械科学研究院,http://www.camsc.org.cn,,
电火花切割机,0.038,mm,±0.1 mm,Ra 2.9,较低,3.2,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
光纤激光切割机,0.007,mm,±0.01 mm,Ra 0.6,高,9.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
数字化切割机,0.045,mm,±0.04 mm,Ra 1.8,中,3.8,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.15,mm,±0.5 mm,Ra 5.0,较低,2.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
超声波切割机,0.02,mm,±0.02 mm,Ra 1.1,高,7.0,g,国家安全生产监督管理总局,http://www.chinasafety.gov.cn,,
激光切割机,0.03,mm,±0.035 mm,Ra 1.7,中,4.2,g,中国激光产业技术创新战略联盟,https://www.clita.org.cn,,
电火花线切割机,0.05,mm,±0.2 mm,Ra 3.2,较低,2.8,g,中国机电产品流通协会,http://www.cmeia.org.cn,,
水刀切割机,0.01,mm,±0.012 mm,Ra 0.7,高,6.2,g,中国刀具工业协会,https://www.ctiis.org.cn,,
激光打标机,0.001,mm,±0.005 mm,Ra 0.4,高,7.5,g,国家工业和信息化部,https://www.miit.gov.cn,,
YAG激光切割机,0.02,mm,±0.03 mm,Ra 1.9,高,6.7,g,中国科学技术协会,https://www.cast.org.cn,,
多功能激光切割机,0.025,mm,±0.02 mm,Ra 1.3,中,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
光纤激光打标机,0.004,mm,±0.001 mm,Ra 0.5,高,8.3,g,中国工程院,https://www.cae.cn,,
数控激光切割机,0.009,mm,±0.015 mm,Ra 1.4,高,8.0,g,中国机电工程学会,http://www.cime.co.cn,,
机器人切割机,0.045,mm,±0.06 mm,Ra 2.1,中,3.6,g,中国机器人产业协会,http://www.cria.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.9,高,6.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
精密水刀切割机,0.015,mm,±0.010 mm,Ra 1.0,高,9.0,g,水射流技术委员会,https://www.wjtc.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.5,极高,10.0,g,中国激光应用协会,https://www.clia.org.cn,,
