产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注
数控磨床,成都机床制造公司,7800,720,±0.015,±0.006,±0.018,±0.008,四川省机械工程学会,https://www.scmas.org,,
数控冲床,福州冲压设备有限公司,800,1100,±0.030,±0.017,±0.045,±0.022,福建省机械行业协会,http://www.fujianmachinery.org,,
水刀切割机,武汉精密水刀有限公司,9500,1600,±0.020,±0.010,±0.025,±0.015,湖北省水切割协会,https://www.hbwatercutting.org,,
数控折弯机,重庆金属加工机械公司,4000,1400,±0.024,±0.013,±0.030,±0.017,重庆市机械制造协会,https://www.cqmachinery.org,,
数控车床,青岛数控机床有限公司,9000,1250,±0.011,±0.005,±0.022,±0.009,山东省机械协同发展协会,http://www.sdjointmachinery.org,,
高速切削机,昆明高精度机械公司,25000,850,±0.007,±0.002,±0.016,±0.006,云南省制造业协会,http://www.yunnanmanufacturing.org,,
数控冲床,郑州智能机床有限公司,650,1000,±0.028,±0.014,±0.037,±0.019,河南省经济和信息化厅,https://www.henan.gov.cn,,
数控激光切割机,宁波现代激光有限公司,12000,1500,±0.013,±0.006,±0.021,±0.009,浙江省激光工业协会,https://www.zjlaser.org,,
数控木工机械,包头木工科技有限公司,6000,1350,±0.020,±0.010,±0.023,±0.014,内蒙古木材保护协会,http://www.imwood.org,,
数控车床,长春机械制造有限公司,7000,1800,±0.015,±0.007,±0.020,±0.010,吉林省机械行业协会,http://www.jljx.org,,
水刀切割机,成都水切割科技有限公司,8500,1300,±0.019,±0.008,±0.026,±0.012,四川省水切割设备联合会,http://www.scwatercutting.org,,
数控铣床,沈阳机床股份有限公司,7500,1000,±0.01,±0.005,±0.02,±0.010,辽宁省机械制造协会,http://www.lnma.org.cn,,
数控磨床,东莞市瑞胜机电设备有限公司,8000,1200,±0.015,±0.008,±0.03,±0.014,广东省工业和信息化厅,http://www.gd.gov.cn,,
数控激光切割机,成都纳米科技公司,12000,1500,±0.011,±0.006,±0.022,±0.012,四川科技信息网,http://www.scapp.org.cn,,
数控冲床,南京机器人自动化有限公司,800,900,±0.021,±0.011,±0.035,±0.018,江苏省科技厅,https://www.jiangsu.gov.cn,,
数控车床,南昌机械加工有限公司,5000,1400,±0.018,±0.009,±0.027,±0.013,江西省机械与电子行业协会,http://www.jxme.org.cn,,
数控折弯机,天津机械制造工程有限公司,4000,1300,±0.017,±0.007,±0.031,±0.015,全国橱柜加工协会,http://www.cabinet.org.cn,,
数控喷涂设备,鄂尔多斯市精密工业有限公司,6000,1600,±0.029,±0.013,±0.025,±0.011,内蒙古智能制造协会,http://www.imiia.org.cn,,
数控钣金设备,武汉创意科技有限公司,7000,1000,±0.016,±0.008,±0.020,±0.009,湖北省机械工业协会,http://www.hbmiia.org.cn,,
数控电火花机,上海加工中心股份有限公司,500,750,±0.015,±0.006,±0.028,±0.012,上海机电设备协会,http://www.shimi.org,,
数控石材切割机,珠海石材设备有限公司,9000,1800,±0.020,±0.010,±0.014,±0.008,广东省石材行业协会,http://www.stoneindustry.org.cn,,
数控塑料压铸机,合肥塑料机械科技有限公司,1200,1100,±0.022,±0.009,±0.029,±0.015,安徽省塑料工程技术研究中心,http://www.ahfhu.com,,
数控焊接机,长沙焊接设备有限公司,3500,950,±0.018,±0.008,±0.026,±0.012,湖南省焊接行业协会,http://www.hunanweld.org.cn,,
数控剪板机,石家庄机械制造有限公司,7000,1000,±0.024,±0.011,±0.028,±0.014,河北省机械设计协会,http://www.hebei.org.cn,,
数控颗粒机,青岛颗粒机械有限公司,4500,880,±0.023,±0.010,±0.030,±0.013,山东省机械工程协会,http://www.shandongindustrial.com,,
数控瓶装机械,杭州瓶装设备有限公司,8500,1200,±0.015,±0.005,±0.024,±0.011,浙江省机械协会,http://www.zjmachinery.org.cn,,
数控旋压机,南通旋压制造有限公司,3200,1150,±0.021,±0.013,±0.029,±0.017,江苏省旋压设备行业协会,http://www.ntsp.org.cn,,
数控贴膜机,福州贴膜设备有限公司,6000,1000,±0.020,±0.009,±0.020,±0.010,福建省机械加工协会,http://www.fujianmachinery.org.cn,,
数控串焊机,郑州焊接设备有限公司,4200,1100,±0.022,±0.010,±0.025,±0.014,河南省电焊行业协会,http://www.henanwelding.org.cn,,
数控激光切割机,杭州激光技术有限公司,12000,2000,±0.005,±0.002,±0.015,±0.008,浙江省机械工业联合会,https://www.zjmachinery.org,,
数控车床,上海精密机床有限公司,7500,1500,±0.012,±0.004,±0.02,±0.010,上海市机电行业协会,https://www.smeb.org.cn,,
数控铣床,深圳创新机械公司,5000,1600,±0.018,±0.005,±0.022,±0.010,华南机床行业协会,http://www.hnshe.org,,
数控钣金机,东莞钣金设备有限公司,6000,1800,±0.020,±0.009,±0.025,±0.014,广东省铸造协会,https://www.gdmfi.org.cn,,
数控切割机,天津金属加工公司,7000,1300,±0.014,±0.006,±0.028,±0.013,天津市工业和信息化局,http://www.tjindustry.gov.cn,,
数控雕刻机,长沙高科技机械有限公司,8000,1200,±0.015,±0.007,±0.026,±0.015,湖南省技术监督局,https://www.hntech.gov.cn,,
数控砂轮机,佛山磨具公司,9000,1100,±0.011,±0.004,±0.019,±0.008,广东省磨具行业协会,https://www.gdmta.org.cn,,
数控水刀机,武汉水刀科技有限公司,15000,2000,±0.005,±0.003,±0.017,±0.006,湖北省机械制造行业协会上,http://www.hbmmm.com,,
数控折弯机,重庆机械有限公司,3500,1500,±0.020,±0.011,±0.030,±0.012,重庆市工商业和信息化委员会,http://www.cqmi.gov.cn,,
数控钻床,沈阳机床集团,4000,900,±0.025,±0.013,±0.045,±0.022,中国机床工具工业协会,http://www.cmmt.org.cn,,
数控攻牙机,南京数控设备有限公司,5000,1100,±0.017,±0.011,±0.024,±0.015,江苏省科技厅,http://www.jiangsust.com,,
数控冲床,广州精密机械有限公司,850,1200,±0.031,±0.017,±0.038,±0.019,广州市机器制造协会,http://www.gzmc.org.cn,,
数控磨床,合肥机床设备制造有限公司,6200,1300,±0.013,±0.006,±0.021,±0.014,安徽省工程机械协会,http://www.ahengineering.com,,
无心磨床,宁波精密制造有限公司,7200,1250,±0.022,±0.010,±0.026,±0.012,浙江省机械制造商协会,http://www.zjmm.org.cn,,
数控车铣复合机,大连机床厂,10000,1600,±0.015,±0.008,±0.022,±0.013,辽宁省机械工程协会,https://www.lnmachinery.cn,,
数控金属切削机,河南省机电设备有限公司,5800,1100,±0.020,±0.012,±0.027,±0.009,河南省机械工业联合会,http://www.hnmi.org.cn,,
数控清洗机,西安先锋机械有限公司,3000,800,±0.018,±0.007,±0.019,±0.011,陕西省机械与电子协会,http://www.sxede.org.cn,,
数控铣床,杭州铣削设备有限公司,5000,1000,±0.015,±0.007,±0.02,±0.010,浙江省机械行业协会,https://www.zjmachinery.org,,
数控电火花机,南京电加工设备厂,1500,600,±0.025,±0.012,±0.035,±0.018,江苏省电加工协会,https://www.jsguokong.org,,
数控激光切割机,北京激光科技有限责任公司,12000,1600,±0.01,±0.005,±0.02,±0.010,中国激光行业协会,https://www.lasermachinery.org.cn,,
数控车床,深圳精密车床有限公司,7000,1500,±0.012,±0.006,±0.022,±0.011,广东省机械制造协会,https://www.gdmachinery.org,,
数控雷射切削机,长沙高效机械有限公司,8000,1400,±0.015,±0.007,±0.025,±0.013,湖南省高新技术协会,https://www.hnhi-tech.org,,
数控深孔钻,大连深孔机械有限公司,1800,900,±0.035,±0.015,±0.05,±0.025,辽宁省机械工程学会,http://www.lnme.org,,
数控电焊机,上海焊接设备有限公司,2600,1000,±0.02,±0.010,±0.03,±0.015,中国焊接协会,https://www.chinawelding.org,,
数控剪板机,佛山机械制造有限公司,3200,1300,±0.018,±0.009,±0.025,±0.012,广东省金属加工协会,https://www.gdmp.org,,
数控磨齿机,天津磨齿机有限公司,10000,800,±0.012,±0.006,±0.02,±0.009,天津机械工业协会,http://www.tianjinmachinery.gov.cn,,
数控精密成形机,杭州成形技术有限公司,4500,700,±0.02,±0.011,±0.02,±0.012,浙江省科技创新中心,https://www.zjtechnology.gov.cn,,
数控压铸机,广州压铸设备有限责任公司,2000,1200,±0.03,±0.013,±0.04,±0.019,广州市机械行业协会,https://www.gzmachinery.com,,
数控叉车,哈尔滨叉车工程有限公司,1600,900,±0.025,±0.014,±0.03,±0.016,黑龙江省现代工业协会,https://www.hlj-industries.gov.cn,,
数控万能工具磨床,沈阳工具机械厂,7200,1100,±0.015,±0.008,±0.015,±0.007,中国工具制造协会,https://www.toolassociation.cn,,
数控振动圆锯机,安徽圆锯机械有限公司,3000,1300,±0.022,±0.012,±0.02,±0.011,安徽省机械工程学会,https://www.ahme.org.cn,,
数控电火花成形机,合肥电火花机械有限公司,2000,800,±0.03,±0.016,±0.045,±0.022,中国电火花技术协会,http://www.edmachinery.org.cn,,
数控开槽机,重庆开槽设备有限公司,2500,900,±0.02,±0.009,±0.025,±0.013,重庆市机械行业协会,http://www.cqmachinery.org,,
数控快速成型机,武汉快速成型公司,2000,1500,±0.02,±0.01,±0.03,±0.015,湖北省高新技术开发区,http://www.hb-hitech.org,,
数控铣床,杭州高精密机械有限公司,5000,1000,±0.01,±0.005,±0.02,±0.008,浙江省机械行业协会,https://www.zjmech.com,,
数控激光切割机,武汉激光科技有限公司,12000,2000,±0.005,±0.002,±0.015,±0.007,湖北激光设备协会,http://www.hubeilasercutting.org,,
数控电火花机,重庆电加工设备有限公司,3000,800,±0.012,±0.006,±0.03,±0.02,重庆市机械监督管理局,https://www.cqss.org.cn,,
数控切割机,天津机械制造有限公司,7000,1500,±0.015,±0.009,±0.02,±0.01,市政府工业办公室,http://www.tianjin.gov.cn,,
数控冲床,南京机床厂,800,1200,±0.025,±0.015,±0.04,±0.025,江苏省液压机械研究院,https://www.jiangsu.edu.cn,,
数控激光焊接机,深圳创星科技有限公司,9000,600,±0.008,±0.004,±0.018,±0.009,深圳市机械行业协会,http://www.szmech.org,,
数控五轴加工中心,青岛数控设备有限公司,12000,1500,±0.005,±0.002,±0.01,±0.005,山东省机械工程学会,https://www.sdmachine.org,,
数控弯管机,郑州工程机械有限公司,4000,800,±0.015,±0.010,±0.025,±0.012,河南省机械设计研究院,https://www.henannongye.org,,
数控机床,上海先进装备制造有限公司,3000,1200,±0.020,±0.015,±0.030,±0.014,上海市经济和信息化委员会,http://www.shanghai.gov.cn,,
数控铣床,珠海机械设备制造有限公司,6000,1100,±0.018,±0.009,±0.022,±0.011,广东省机械管理局,https://www.zhangjiang-machinery.com,,
数控冲床,大连精密机械有限公司,1000,1300,±0.020,±0.010,±0.045,±0.018,辽宁省制造业协会,http://www.ln-msa.org,,
数控折弯机,山西机械制造有限公司,3500,700,±0.025,±0.013,±0.030,±0.015,山西省机械工程学会,http://www.shanxi.com,,
高速数控抛光机,佛山慧智机械有限公司,15000,900,±0.008,±0.004,±0.012,±0.006,广东省机电设备行业协会,http://www.gd.com,,
数控磨床,沈阳机器工具制造有限公司,8000,1000,±0.014,±0.008,±0.024,±0.013,沈阳市政协经济研究中心,https://www.shenyang.gov.cn,,
数控木工雕刻机,长沙木工机械有限公司,6000,900,±0.015,±0.007,±0.035,±0.018,湖南省木工行业协会,http://www.hunanwood.com,,
数控切削中心,合肥机械制造有限公司,7500,1100,±0.017,±0.008,±0.030,±0.014,安徽省机电工程协会,http://www.ahmec.org,,
全自动数控车床,泉州智能制造有限公司,5000,1200,±0.020,±0.012,±0.025,±0.015,福建省智能制造产业协会,https://www.quanzhou.gov.cn,,
数控水刀切割机,温州水刀科技有限公司,9000,1800,±0.015,±0.007,±0.020,±0.010,浙江省水刀切割技术研究中心,http://www.wenzhoutech.com,,
数控铣床,杭州佳工机械有限公司,5000,1200,±0.015,±0.005,±0.02,±0.01,浙江省机械工业技术研究院,https://www.zjmachinery.org,,
数控激光切割机,重庆兆丰激光科技有限公司,12000,1500,±0.01,±0.003,±0.017,±0.009,重庆光电产业协会,http://www.cqoe.org,,
数控刨床,南京木业机械股份有限公司,4000,900,±0.02,±0.008,±0.03,±0.014,江苏省木工机械行业协会,https://www.jiangsumachinery.org.cn,,
数控冲床,沈阳机床集团有限公司,1000,1500,±0.03,±0.016,±0.05,±0.025,中国数控机床信息网,https://www.cncinfo.cn,,
数控电气焊机,武汉电焊设备有限公司,3500,800,±0.005,±0.002,±0.01,±0.005,湖北省焊接工程学会,http://www.hbwelder.org,,
数控立式加工中心,东莞东星机械有限公司,8000,1000,±0.008,±0.003,±0.015,±0.006,广东省先进制造技术研究院,http://www.gdmachinery.com,,
数控激光切割机,深圳蓝光科技有限公司,15000,2000,±0.012,±0.005,±0.02,±0.007,深圳市新能源与新材料协会,https://www.sznewtech.org,,
数控齿轮加工机,上海齿轮制造有限公司,6000,1100,±0.018,±0.009,±0.024,±0.015,上海市机械工程协会,http://www.shme.org,,
数控磨床,福州精密机械有限公司,7500,800,±0.01,±0.004,±0.022,±0.010,福建省机械设备协会,http://www.fujianmachinery.org,,
数控车床,天津机电集团,9000,950,±0.015,±0.006,±0.02,±0.008,天津市机械工业协会,http://www.tianjinmachinery.org,,
数控折弯机,河北机械制造有限公司,3000,1200,±0.020,±0.015,±0.03,±0.018,河北省科技与创新发展中心,http://www.hebeiscience.org,,
数控磨床,桂林机床股份有限公司,6500,1100,±0.017,±0.008,±0.021,±0.013,广西省机械工业协会,http://www.gxmachinery.org,,
数控水刀切割机,台州水刀科技公司,8500,1800,±0.011,±0.007,±0.027,±0.012,台州市机电工程协会,http://www.tzmachine.org,,
数控线切割机,南京数控科技公司,7000,1300,±0.014,±0.007,±0.020,±0.011,江苏省机电设备技术协会,http://www.nanjingmachinery.org,,
数控铣床,海南数控机床公司,9500,1400,±0.009,±0.004,±0.018,±0.008,海南省机械工业协会,https://www.hainanmachinery.org,,
数控冲床,苏州超精机械有限公司,800,1200,±0.030,±0.014,±0.042,±0.022,江苏省行业发展协会,http://www.jiangsuindustry.org,,
水刀切割机,青岛水刀科技有限公司,10500,1900,±0.015,±0.007,±0.019,±0.005,海洋科技创新中心,http://www.oceaninnovation.org,,
数控车床,武汉现代机床制造有限公司,7000,1100,±0.012,±0.005,±0.020,±0.010,湖北省机械工程协会,https://www.hubeimechanical.org,,
数控铣床,北京机电科技公司,12000,800,±0.008,±0.004,±0.015,±0.008,北京市机械协会,http://www.bjjx.org,,
激光切割机,宁波激光技术有限公司,15000,1200,±0.005,±0.002,±0.010,±0.002,浙江省高新技术协会,https://www.zjhightech.org,,
数控剪板机,成都机床制造厂,3400,2500,±0.018,±0.010,±0.025,±0.012,四川省工业发展委员会,https://www.scindustry.gov.cn,,
数控车床,南京机械设备有限公司,5000,1000,±0.015,±0.006,±0.020,±0.010,江苏省机电产品行业协会,https://www.jsmachineryassociation.org,,
数控冲床,大连精密机械制造公司,800,1000,±0.030,±0.015,±0.020,±0.009,辽宁省机械工业协会,http://www.lnmech.org,,
数控磨床,合肥市数控机床有限公司,9000,1500,±0.007,±0.003,±0.018,±0.007,安徽省机械工程学会,https://www.ahmech.org,,
数控折弯机,厦门先进机床技术有限公司,3200,1500,±0.030,±0.015,±0.035,±0.015,福建省机电行业协会,https://www.fujianmachine.org.cn,,
数控铣床,沈阳数控技术有限公司,8500,950,±0.011,±0.005,±0.020,±0.013,沈阳市机械工程协会,http://www.shenyangmech.org,,
数控木工机械,江西木工机械有限公司,4000,1600,±0.020,±0.010,±0.028,±0.015,江西省木工机械行业协会,http://www.jxwoodmachine.org,,
高速切削机,天津精密加工中心,18000,600,±0.006,±0.002,±0.012,±0.004,天津市工业和信息化局,http://www.tianjin.gov.cn,,
数控冲床,杭州冲压设备有限公司,780,1300,±0.035,±0.018,±0.045,±0.020,浙江省机械工业协会,http://www.zjmechanics.org,,
数控铣床,广州自动化设备有限公司,16000,700,±0.009,±0.004,±0.021,±0.009,广东省机器人产业协会,https://www.guangdongrobot.org.cn,,
水刀切割机,武汉水刀科技有限公司,9500,1800,±0.010,±0.005,±0.017,±0.008,湖北省水切割设备协会,http://www.hubeiwatercut.org,,
数控折弯机,南昌数控机床公司,4000,850,±0.015,±0.006,±0.025,±0.013,江西省机械与电气工程研究所,http://www.jxmech.org,,
数控磨床,沈阳磨床科技有限公司,6500,1300,±0.014,±0.007,±0.022,±0.011,辽宁省磨床行业协会,http://www.lngrind.org,,
数控铣床,上海华东机床有限公司,10000,900,±0.008,±0.004,±0.02,±0.009,上海市机械工程协会,https://www.shmech.org.cn,,
数控折弯机,天津金属加工设备有限公司,3200,1100,±0.03,±0.015,±0.022,±0.012,天津市机械行业协会,http://www.tjmha.org,,
数控镗床,武汉齿轮机床厂,4000,1500,±0.012,±0.006,±0.018,±0.007,武汉市工业联合会,http://www.wuhanindustry.org.cn,,
数控激光切割机,成都锐剑科技有限公司,12000,1300,±0.007,±0.003,±0.015,±0.006,四川省激光加工协会,http://www.sclaser.org.cn,,
数控车床,长沙机械制造厂,6000,1000,±0.01,±0.005,±0.03,±0.013,湖南省机械工程学会,https://www.hunanmachine.com,,
数控五轴加工中心,东北精密机床公司,8000,1200,±0.009,±0.004,±0.02,±0.008,吉林省智能制造协会,http://www.jilinmfg.com,,
数控水刀,杭州水切割技术有限公司,7000,1400,±0.016,±0.009,±0.024,±0.011,浙江省水切割技术协会,http://www.zjcutting.org.cn,,
数控冲床,沈阳冲压设备有限公司,900,1000,±0.019,±0.010,±0.035,±0.018,辽宁省机械工业协会,http://www.lnmech.org,,
自动化装配线,深圳自动化设备有限公司,4000,800,±0.015,±0.008,±0.02,±0.01,广东省智能制造协会,https://www.gdautomation.org,,
数控激光焊接机,南京焊接装备制造有限公司,15000,1100,±0.014,±0.007,±0.028,±0.017,江苏省焊接学会,http://www.jshj.org.cn,,
数控石材切割机,泉州石材机械有限公司,8500,1300,±0.022,±0.012,±0.026,±0.015,福建省石材工业协会,http://www.fujianstone.org,,
数控开槽机,芜湖机床制造有限公司,5000,900,±0.027,±0.014,±0.035,±0.023,安徽省机械审查委员会,http://www.anhui-mech.com,,
数控钣金机,福州钣金设备有限公司,4800,1250,±0.013,±0.006,±0.021,±0.009,全国钣金行业协会,http://www.chinapress.com,,
数控出厂设备,西宁精密机械公司,3000,1000,±0.020,±0.012,±0.030,±0.018,青海省机械制造协会,https://www.qhdang.com,,
数控木工刨床,南昌木工机械有限公司,5500,850,±0.018,±0.011,±0.025,±0.014,江西省木材协会,http://www.jxwood.org,,
数控切割机,大连自动化设备有限公司,7000,1400,±0.029,±0.015,±0.023,±0.012,辽宁省自动化协会,http://www.dalianautomation.org,,
数控精密磨床,合肥精密机械有限公司,6500,950,±0.011,±0.006,±0.019,±0.008,安徽省工程技术研究中心,http://www.ahtech.org,,
数控焊接机器人,沈阳焊接有限公司,12000,1600,±0.005,±0.002,±0.014,±0.007,全国焊接学会,http://www.welding.org.cn,,
数控激光切割机,宁波激光设备有限公司,12000,1300,±0.012,±0.005,±0.02,±0.008,浙江省机械制造协会,https://www.zj-machinery.org,,
数控车床,长沙机床制造公司,6000,1400,±0.015,±0.006,±0.022,±0.009,湖南省工业技术协会,http://www.hn-industry.org,,
数控冲床,天津冲压技术设备有限公司,700,1100,±0.03,±0.015,±0.038,±0.018,天津市机械工业协会,https://www.tianjinmachinery.org.cn,,
数控折弯机,大连精密机器有限公司,4000,950,±0.02,±0.009,±0.028,±0.011,大连市工业和信息化局,http://www.dalian.gov.cn/industry,,
数控磨床,沈阳磨床技术开发有限公司,9000,800,±0.01,±0.004,±0.021,±0.010,辽宁省机械行业发展协会,https://www.liaoningmachinery.org,,
数控水刀切割机,哈尔滨水切割有限公司,11000,1600,±0.017,±0.008,±0.025,±0.012,黑龙江科技合作发展中心,http://www.hljtech.org.cn,,
高精度数控车床,昆明精密机床制造有限公司,5000,1250,±0.008,±0.003,±0.018,±0.006,云南省机电工程协会,http://www.ynmech.org,,
数控木工雕刻机,南昌木工机械有限公司,7000,1100,±0.02,±0.007,±0.024,±0.015,江西省木材行业协会,http://www.jxwood.org,,
数控冲孔机,济南冲孔科技有限公司,850,750,±0.022,±0.009,±0.035,±0.017,山东省机械设备协会,http://www.sdmachinery.org,,
数控铣床,南通铣床有限公司,3300,1400,±0.014,±0.006,±0.019,±0.009,江苏省铣床技术协会,http://www.jsxil.com,,
数控整形机,福州数控机械股份有限公司,4000,900,±0.028,±0.013,±0.032,±0.014,福建省机械工业研究院,http://www.fujianmachine.org,,
数控开料机,成都开料机械有限公司,7500,1350,±0.018,±0.010,±0.023,±0.013,四川省木材行业协会,http://www.scwood.org,,
精密数控车床,广州数控机械有限公司,10000,1500,±0.011,±0.005,±0.029,±0.012,广东省机械研究院,http://www.guangdongmachinery.org,,
数控电火花成形机,石家庄电火花设备有限公司,900,800,±0.023,±0.013,±0.036,±0.015,河北省电机行业协会,http://www.hebeimachine.org,,
数控环形磨床,厦门磨床股份有限公司,7500,1600,±0.015,±0.006,±0.030,±0.013,福建省工业协会,http://www.fujianindustry.org,,
数控精密铣床,合肥电机设备有限公司,6700,1200,±0.013,±0.007,±0.028,±0.014,安徽省机械技术研究院,http://www.anhui-machinery.org,,
数控折弯机,南宁机械系统开发有限公司,3200,1000,±0.026,±0.014,±0.027,±0.016,广西自治区机械行业协会,http://www.guangxi-gongye.org,,
数控铣床,西宁高科技机械有限公司,4500,1150,±0.019,±0.008,±0.024,±0.010,青海省工业和信息化厅,http://www.qh.gov.cn/industry,,
数控铣床,佛山数控设备有限公司,10000,800,±0.008,±0.004,±0.020,±0.007,广东省机械制造协会,https://www.gdmech.org,,
数控车床,浙江数控科技有限公司,5000,1500,±0.015,±0.005,±0.030,±0.010,浙江省机械工程学会,http://www.zjme.org,,
数控激光切割机,上海激光技术有限公司,9000,2000,±0.005,±0.002,±0.015,±0.005,上海光电协会,https://www.shlight.org,,
数控冲床,杭州金属加工设备厂,700,1200,±0.030,±0.014,±0.035,±0.018,浙江省金属加工协会,http://www.zjmetalprocessing.org,,
数控折弯机,天津精密机械有限公司,4000,900,±0.020,±0.010,±0.028,±0.013,天津机械制造技术协会,https://www.tianjinmachinery.com,,
数控磨床,南京精密机械有限公司,8000,800,±0.010,±0.005,±0.022,±0.012,江苏省工业协会,http://www.jiangsuindustry.com,,
数控木工机械,沈阳木材加工机械有限公司,4000,1500,±0.020,±0.010,±0.030,±0.015,辽宁省木材工业协会,http://www.lnwoodindustry.com,,
数控剪板机,重庆液压机械制造有限公司,6000,2000,±0.015,±0.007,±0.025,±0.014,重庆机械工程协会,http://www.cqme.org,,
数控喷涂机,济南喷涂设备有限公司,7500,500,±0.010,±0.005,±0.018,±0.009,山东省喷涂协会,http://www.shandongcoating.org,,
高速切削机,成都高科技机床厂家,15000,1000,±0.009,±0.003,±0.017,±0.006,四川省机械工程学会,http://www.sichuanmachinery.com,,
数控喷绘机,广州广告设备有限公司,6500,1200,±0.012,±0.005,±0.022,±0.011,广东省广告与印刷协会,https://www.gdprint.org,,
数控电火花机,厦门电加工设备有限公司,1800,900,±0.025,±0.015,±0.040,±0.020,福建省电加工协会,http://www.fjed.org,,
数控组合机,郑州综合机械有限公司,4000,1600,±0.020,±0.010,±0.027,±0.013,河南省机械制造协会,http://www.hnmachinery.org,,
数控牵引机,合肥特种设备有限公司,3000,1300,±0.018,±0.009,±0.035,±0.017,安徽省设备制造协会,http://www.ahmachinery.com,,
数控冲压机,辽阳金属加工有限公司,900,1000,±0.022,±0.011,±0.030,±0.015,辽宁省冲压行业协会,http://www.lnpress.org,,
数控精雕机,镇江数控设备制造公司,12000,500,±0.008,±0.004,±0.017,±0.008,江苏省新材料协会,http://www.jiangsuxincailiao.com,,
数控水刀机,南昌水刀科技公司,8500,1400,±0.015,±0.007,±0.025,±0.012,江西省水切割协会,http://www.jxwatercut.org,,
智能数控机床,北京智能制造有限公司,20000,900,±0.005,±0.002,±0.013,±0.006,北京市机械设备标准化协会,http://www.bjmachinery.org,,
数控铣床,上海机电设备有限公司,6000,800,±0.008,±0.005,±0.020,±0.010,上海市机械工业协会,https://www.shme.org.cn,,
数控激光切割机,广州激光科技有限公司,12000,1300,±0.012,±0.006,±0.015,±0.009,广东省激光行业协会,http://www.guangdonglaser.org,,
数控折弯机,沈阳重型机械有限公司,3500,1100,±0.030,±0.015,±0.022,±0.013,辽宁省机械行业协会,https://www.lnmachine.org,,
数控车床,天津机械工具制造厂,7500,1250,±0.007,±0.004,±0.028,±0.011,天津市机械行业协会,https://www.tianjinmachinery.org.cn,,
数控冲床,宁波机床有限公司,850,900,±0.031,±0.014,±0.045,±0.017,浙江省机械工程协会,https://www.zjme.org,,
数控铣床,武汉机电装备制造公司,5000,600,±0.015,±0.005,±0.025,±0.010,湖北省机械制造协会,https://www.hbma.org.cn,,
数控木工机械,成都机械有限公司,4000,1000,±0.025,±0.012,±0.027,±0.011,四川省木工协会,http://www.scwoodwork.org,,
数控激光切割机,杭州精密机械有限公司,15000,1400,±0.010,±0.008,±0.019,±0.010,浙江省机械产业联盟,http://www.zjmachinery.com,,
数控冲床,哈尔滨精密设备有限公司,700,1000,±0.022,±0.011,±0.038,±0.015,黑龙江省机械行业协会,http://www.heilongjiangmachines.org,,
高速切削机,厦门精密加工有限公司,21000,850,±0.008,±0.004,±0.017,±0.006,福建省机械工程协会,http://www.fujianmachinery.org,,
数控折弯机,兰州机械制造公司,3200,1200,±0.020,±0.009,±0.020,±0.012,甘肃省工业和信息化厅,http://www.gansu.gov.cn,,
数控磨床,澳门精密机械有限公司,4000,1500,±0.018,±0.007,±0.022,±0.014,澳门机械工业协会,http://www.macauindustry.org,,
数控车床,南昌 CNC 机床公司,7000,1300,±0.013,±0.006,±0.026,±0.008,江西省机械制造协会,http://www.jiangxi.org,,
数控激光切割机,合肥焊接工艺有限公司,14000,1600,±0.009,±0.003,±0.014,±0.007,安徽省激光技术协会,http://www.anhuilaser.org,,
数控冲床,昆明机械有限公司,600,800,±0.024,±0.012,±0.041,±0.021,云南省机械工业协会,http://www.yunnanmachinery.org,,
数控磨床,郑州数控设备有限公司,4500,900,±0.017,±0.008,±0.020,±0.010,河南省机械工程学会,http://www.henan.gov.cn/machinery,,
数控切割机,福州机器制造有限公司,9000,1200,±0.016,±0.005,±0.029,±0.013,全国机械加工行业协会,https://www.machineprocess.org,,
数控铣床,上海机械制造有限公司,12000,1000,±0.008,±0.004,±0.02,±0.009,上海制造业协会,https://www.shanghaiindustry.org,,
数控激光切割机,北京激光科技有限公司,15000,2000,±0.005,±0.002,±0.015,±0.006,全国激光行业协会,http://www.chinalaser.org.cn,,
数控折弯机,南京电气设备有限公司,4000,1200,±0.03,±0.015,±0.02,±0.01,江苏省电气工程学会,http://www.jseea.org,,
数控车床,深圳数控机床科技公司,10000,1500,±0.01,±0.005,±0.022,±0.008,广东省机械工程协会,https://www.gdmachine.org,,
数控钻床,天津现代设备有限公司,7000,800,±0.018,±0.007,±0.02,±0.011,天津市机械行业发展协会,http://www.tianjinmachine.org,,
数控磨床,杭州精密机械有限公司,8500,950,±0.012,±0.006,±0.021,±0.012,浙江省机械制造协会,http://www.zjmachine.com,,
高速数控切削机,成都先进制造技术有限公司,25000,700,±0.005,±0.002,±0.017,±0.007,四川省制造业协会,http://www.scmachinery.org,,
数控冲床,武汉精密机床厂,800,1000,±0.025,±0.012,±0.031,±0.018,湖北省机械工业协会,https://www.hubeimachine.com,,
数控激光切割机,苏州激光设备制造有限公司,16000,3000,±0.008,±0.004,±0.014,±0.006,江苏省激光行业协会,http://www.suzhoulaser.org,,
数控木工机械,无锡木业机械厂,4500,1600,±0.025,±0.013,±0.028,±0.015,江苏省木工行业协会,http://www.wuxiwood.org,,
数控铣床,重庆先进制造有限公司,9000,1300,±0.01,±0.005,±0.018,±0.009,重庆市机械制造协会,http://www.cqmachine.org,,
