批准文号/注册证号（字符型）,可见光通信系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称（字符型）,是否通过一致性（字符型）,可见光通信系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
2023-010,智慧城市大数据平台,500Mbps,广州智慧科技有限公司,2023-09-20,广州市市场监督管理局,广州智慧科技有限公司,是,城市管理系统,南方日报,http://www.nfnews.com,2023-10-18,,,,,,,,
2023-011,工业4.0可见光通信,300Mbps,天津智能制造股份有限公司,2023-06-10,天津市市场监督管理局,天津智能制造股份有限公司,是,工业控制系统,工业数字化,http://www.industry-digital.com,2023-10-18,,,,,,,,
2023-012,绿色未来LIFI系统,220Mbps,青岛环保科技公司,2023-10-05,青岛市市场监督管理局,青岛环保科技公司,是,环保监控系统,环保科技网,http://www.epro-tech.com,2023-10-18,,,,,,,,
2023-013,LIFI公共交通系统,275Mbps,南京交通科技股份有限公司,2023-09-25,南京市市场监督管理局,南京交通科技股份有限公司,是,交通运输系统,交通运输部,http://www.mot.gov.cn,2023-10-18,,,,,,,,
2023-014,城市光网络系统,350Mbps,深圳城市发展科技有限公司,2023-10-10,深圳市市场监督管理局,深圳城市发展科技有限公司,是,城市信息化系统,深圳晚报,http://www.sznews.com,2023-10-18,,,,,,,,
2023-015,医疗LIFI系统,360Mbps,成都健康科技有限公司,2023-07-05,成都市市场监督管理局,成都健康科技有限公司,否,医疗应用系统,健康时报,http://www.healthnews.com,2023-10-18,,,,,,,,
2023-006,高清视频LIFI系统,500Mbps,杭州云视科技有限公司,2023-10-01,杭州市市场监督管理局,杭州云视科技有限公司,是,视频监控系统,科技前沿网,https://www.techfrontiers.com,2023-10-18,,,,,,,,
2023-007,无线LIFI校园网络,250Mbps,成都教育科技有限公司,2023-09-12,成都市市场监督管理局,成都教育科技有限公司,是,教育领域应用,教育信息网,https://www.edunews.com,2023-10-18,,,,,,,,
2023-008,医疗监护LIFI系统,150Mbps,北京医疗科技有限公司,2023-08-30,北京市市场监督管理局,北京医疗科技有限公司,是,医疗监护系统,中国医疗设备网,https://www.chinamedical.org,2023-10-18,,,,,,,,
2023-009,黑科技LIFI灯具,300Mbps,上海光能科技有限公司,2023-10-05,上海市市场监督管理局,上海光能科技有限公司,是,智能照明系统,智能家居日报,https://www.smart-home.com,2023-10-18,,,,,,,,
2023-010,工业自动化LIFI系统,400Mbps,天津自动化科技有限公司,2023-07-22,天津市市场监督管理局,天津自动化科技有限公司,否,工业通信系统,自动化工程网,https://www.automationengineering.com,2023-10-18,,,,,,,,
2023-011,智能交通LIFI系统,380Mbps,武汉智通科技有限公司,2023-09-25,武汉市市场监督管理局,武汉智通科技有限公司,是,交通监控系统,中国智能交通网,https://www.chinatransport.com,2023-10-18,,,,,,,,
2023-012,室外无线LIFI系统,200Mbps,哈尔滨无线科技有限公司,2023-08-15,哈尔滨市市场监督管理局,哈尔滨无线科技有限公司,是,室外通信系统,无线通信研究所,https://www.wirelessresearch.com,2023-10-18,,,,,,,,
2023-013,光电探测LIFI系统,450Mbps,青岛光电技术有限公司,2023-06-07,青岛市市场监督管理局,青岛光电技术有限公司,是,探测控制系统,光电技术网,https://www.optec.com,2023-10-18,,,,,,,,
2023-014,室内智能LIFI系统,100Mbps,苏州智能科技有限公司,2023-09-28,苏州市市场监督管理局,苏州智能科技有限公司,是,智能办公系统,中国智能科技网,https://www.chinasmarttech.com,2023-10-18,,,,,,,,
2023-015,物联网LIFI系统,600Mbps,南京物联科技有限公司,2023-10-10,南京市市场监督管理局,南京物联科技有限公司,是,物联网应用,物联网观察,https://www.iotobserver.com,2023-10-18,,,,,,,,
2023-006,园区光通信系统,250Mbps,武汉光 network 企业,2023-09-01,武汉市市场监督管理局,武汉光 network 企业,是,园区通信系统,光通信技术网,https://www.lightcomms.com,2023-10-18,,,,,,,,
2023-007,新型城市照明LIFI,500Mbps,重庆智能科技有限公司,2023-08-12,重庆市市场监督管理局,重庆智能科技有限公司,是,城市照明系统,科技日报,http://www.stdaily.com,2023-10-18,,,,,,,,
2023-008,高速商用LIFI网络,350Mbps,天津讯飞科技有限公司,2023-07-25,天津市市场监督管理局,天津讯飞科技有限公司,是,商用通信系统,创新科技网,https://www.innovatech.com,2023-10-18,,,,,,,,
2023-009,智能医院LIFI系统,400Mbps,厦门医疗科技有限公司,2023-08-30,厦门市市场监督管理局,厦门医疗科技有限公司,是,医疗应用系统,中国医疗设备网,http://www.china-medical.com,2023-10-18,,,,,,,,
2023-010,校园智能LIFI系统,600Mbps,成都教育科技有限公司,2023-07-05,成都市市场监督管理局,成都教育科技有限公司,是,教育应用系统,高校信息网,http://www.universityinfo.cn,2023-10-18,,,,,,,,
2023-011,智慧城市光网,800Mbps,杭州智慧科技股份有限公司,2023-09-10,杭州市市场监督管理局,杭州智慧科技股份有限公司,是,城市管理系统,中国智慧城市网,https://www.smartcity.cn,2023-10-18,,,,,,,,
2023-012,智能零售LIFI,450Mbps,深圳市智能零售科技有限公司,2023-06-15,深圳市市场监督管理局,深圳市智能零售科技有限公司,是,零售领域应用,零售观察网,http://www.retailwatch.cn,2023-10-18,,,,,,,,
2023-013,室外智能光通信系统,1000Mbps,西安光子科技有限公司,2023-05-28,西安市市场监督管理局,西安光子科技有限公司,是,室外通信系统,科技视野,http://www.techview.cn,2023-10-18,,,,,,,,
2023-014,农田光网络系统,700Mbps,昆明农业科技有限公司,2023-06-22,昆明市市场监督管理局,昆明农业科技有限公司,是,农业应用系统,农业创新网,http://www.agricultureinnovation.cn,2023-10-18,,,,,,,,
2023-015,公共交通LIFI系统,900Mbps,福建交通科技有限公司,2023-07-18,福州市市场监督管理局,福建交通科技有限公司,是,公共运输系统,交通科技网,http://www.traffic-tech.cn,2023-10-18,,,,,,,,
2023-006,高速LIFI连接器,500Mbps,杭州智通科技有限公司,2023-10-05,杭州市市场监督管理局,杭州智通科技有限公司,是,室内高速连接,科技前沿论坛,https://www.techfrontier.com,2023-10-18,,,,,,,,
2023-007,城市公共交通LIFI,250Mbps,北京城市科技有限公司,2023-09-10,北京市交通局,北京城市科技有限公司,是,公共交通系统,城市科技观察,http://www.citytechwatch.com,2023-10-18,,,,,,,,
2023-008,工业级可见光通信模块,400Mbps,重庆光电技术有限公司,2023-06-22,重庆市市场监督管理局,重庆光电技术有限公司,是,工业应用系统,光电产业网,https://www.opticindustry.net,2023-10-18,,,,,,,,
2023-009,室外基站LIFI系统,600Mbps,广州高新技术有限公司,2023-10-15,广州市市场监督管理局,广州高新技术有限公司,是,户外通信系统,中国通信研究院,http://www.chinatelecomresearch.org,2023-10-18,,,,,,,,
2023-010,智能农业LIFI解决方案,300Mbps,成都农业科技有限公司,2023-07-30,成都市市场监督管理局,成都农业科技有限公司,是,农业智能系统,农业科技网,http://www.agritech.org,2023-10-18,,,,,,,,
2023-011,车载LIFI通信系统,450Mbps,深圳车联网技术有限公司,2023-08-18,深圳市市场监督管理局,深圳车联网技术有限公司,是,车载通信系统,智能交通新闻网,http://www.smarttransitnews.com,2023-10-18,,,,,,,,
2023-012,光纤与LIFI结合系统,350Mbps,苏州光学技术有限公司,2023-09-27,苏州市市场监督管理局,苏州光学技术有限公司,是,复合通讯系统,光通信研究所,http://www.lightcommunicationresearch.org,2023-10-18,,,,,,,,
2023-013,家庭娱乐LIFI系统,200Mbps,上海家庭科技有限公司,2023-07-05,上海市市场监督管理局,上海家庭科技有限公司,是,家庭娱乐系统,家庭科技观察,http://www.hometechwatch.com,2023-10-18,,,,,,,,
2023-014,医疗LIFI监测系统,400Mbps,武汉医疗科技有限责任公司,2023-08-25,武汉市市场监督管理局,武汉医疗科技有限责任公司,是,医疗监测系统,医学技术新闻,http://www.medtechnews.org,2023-10-18,,,,,,,,
2023-015,金融机构专用LIFI系统,750Mbps,南京金融科技有限公司,2023-09-01,南京市市场监督管理局,南京金融科技有限公司,是,金融服务系统,金融科技资讯网,http://www.fintechnews.org,2023-10-18,,,,,,,,
2023-006,高速LIFI模块,400Mbps,杭州光通科技有限公司,2023-10-01,杭州市市场监督管理局,杭州光通科技有限公司,是,商业通信系统,科技日报,https://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,智能交通信号系统,250Mbps,成都智慧科技有限公司,2023-09-22,成都市市场监督管理局,成都智慧科技有限公司,是,交通管理系统,中国科技新闻网,https://www.stdaily.com/,2023-10-18,,,,,,,,
2023-008,植物照明可见光系统,150Mbps,深圳绿色科技有限公司,2023-09-10,深圳市市场监督管理局,深圳绿色科技有限公司,是,农业应用系统,现代农业网,http://www.modernagriculture.com.cn/,2023-10-18,,,,,,,,
2023-009,公共安全光通信系统,350Mbps,武汉安防科技有限公司,2023-10-10,武汉市市场监督管理局,武汉安防科技有限公司,是,公共安全系统,安防市场研究报告,https://www.securityreport.com/,2023-10-18,,,,,,,,
2023-010,校园智能通信系统,500Mbps,北京智慧校园有限公司,2023-10-05,北京市市场监督管理局,北京智慧校园有限公司,是,教育系统,教育技术网,http://www.edutech.com/,2023-10-18,,,,,,,,
2023-011,户外极限光通信系统,80Mbps,广州户外科技有限公司,2023-09-18,广州市市场监督管理局,广州户外科技有限公司,是,户外通信系统,极限运动平台,https://www.extremesporttech.com/,2023-10-18,,,,,,,,
2023-012,轨道交通光通讯系统,180Mbps,天津轨道科技有限责任公司,2023-08-25,天津市市场监督管理局,天津轨道科技有限责任公司,是,交通通信系统,城市交通研究网,http://www.urbantransportation.cn/,2023-10-18,,,,,,,,
2023-013,低功耗可见光通信设备,120Mbps,西安低功耗科技有限公司,2023-09-28,西安市市场监督管理局,西安低功耗科技有限公司,是,节能通信系统,可再生能源网,http://www.renewableenergynews.cn/,2023-10-18,,,,,,,,
2023-014,智能健康监测系统,300Mbps,深圳健康科技有限公司,2023-09-30,深圳市市场监督管理局,深圳健康科技有限公司,是,医疗健康系统,医疗科技日报,http://www.healthtechnews.cn/,2023-10-18,,,,,,,,
2023-015,零售光通信系统,220Mbps,南京零售科技有限公司,2023-09-12,南京市市场监督管理局,南京零售科技有限公司,是,零售解决方案,零售技术分析,http://www.retailtechanalysis.com/,2023-10-18,,,,,,,,
2023-006,露台光通信系统,250Mbps,杭州光明科技有限公司,2023-09-01,杭州市市场监督管理局,杭州光明科技有限公司,是,户外通信系统,光通讯科技周刊,https://www.gongxin.net/,2023-10-18,,,,,,,,
2023-007,农业智能监控系统,80Mbps,武汉农业科技有限公司,2023-08-25,武汉市农业和农村事务局,武汉农业科技有限公司,是,农业通信系统,农业科技网,http://www.agri-tech.com/,2023-10-18,,,,,,,,
2023-008,户外Wi-Fi照明系统,120Mbps,厦门联科光电有限公司,2023-07-30,厦门市市场监督管理局,厦门联科光电有限公司,是,户外照明系统,现代光电技术,http://www.modernoptics.com/,2023-10-18,,,,,,,,
2023-009,高速铁路光通信系统,500Mbps,中国铁路科技集团有限公司,2023-06-20,国家铁路局,中国铁路科技集团有限公司,是,交通运输系统,中国铁路网,http://www.china-railway.com.cn/,2023-10-18,,,,,,,,
2023-010,医疗可见光防护系统,90Mbps,四川生命科技有限公司,2023-05-15,成都市市场监督管理局,四川生命科技有限公司,是,医疗应用系统,新华医疗科技,http://www.xinhuamed.com/,2023-10-18,,,,,,,,
2023-011,工业自动化光通信系统,400Mbps,东莞智能制造有限公司,2023-07-05,东莞市市场监督管理局,东莞智能制造有限公司,是,工业应用系统,智能制造网,http://www.intelligentmanufacturing.com/,2023-10-18,,,,,,,,
2023-012,智能城市LIFI系统,350Mbps,北京智联科技有限公司,2023-08-10,北京市市场监督管理局,北京智联科技有限公司,是,智慧城市系统,城市技术论坛,http://www.citytechforum.com/,2023-10-18,,,,,,,,
2023-013,智能课堂LIFI系统,70Mbps,青岛教育科技有限公司,2023-09-12,青岛市教育局,青岛教育科技有限公司,是,教育应用系统,教育改革前沿,http://www.edu-reform.com/,2023-10-18,,,,,,,,
2023-014,景区LIFI导览系统,110Mbps,桂林旅游科技有限公司,2023-07-15,桂林市旅游局,桂林旅游科技有限公司,是,旅游导览系统,旅游科技动态,http://www.tourismtech.com/,2023-10-18,,,,,,,,
2023-015,车联网LIFI系统,260Mbps,苏州车联科技有限公司,2023-06-30,苏州市交通管理局,苏州车联科技有限公司,是,交通通信系统,现代交通网,https://www.modern-traffic.com/,2023-10-18,,,,,,,,
2023-006,高速无线LIFI系统,400Mbps,杭州光启科技有限公司,2023-10-02,浙江省市场监督管理局,杭州光启科技有限公司,是,多媒体传输系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,智慧城市光通信平台,250Mbps,北京智链科技股份有限公司,2023-09-25,北京市市场监督管理局,北京智链科技股份有限公司,是,智能城市解决方案,人民日报,http://www.people.com.cn/,2023-10-18,,,,,,,,
2023-008,可见光安防系统,100Mbps,广州安全科技有限公司,2023-08-10,广州市市场监督管理局,广州安全科技有限公司,否,安防监控系统,中国安防网,http://www.cassan.com.cn/,2023-10-18,,,,,,,,
2023-009,医疗可见光通信系统,150Mbps,天津医疗科技有限公司,2023-10-12,天津市市场监督管理局,天津医疗科技有限公司,是,医院信息网络,健康时报,http://www.jksb.com.cn/,2023-10-18,,,,,,,,
2023-010,远程学习LIFI解决方案,300Mbps,西安教育科技股份有限公司,2023-07-20,陕西省市场监督管理局,西安教育科技股份有限公司,是,教育应用系统,教育部网站,http://www.moe.gov.cn/,2023-10-18,,,,,,,,
2023-011,工业智能LIFI网络,350Mbps,南昌工业科技有限公司,2023-06-18,江西省市场监督管理局,南昌工业科技有限公司,是,工业控制系统,中国机械网,http://www.china-machine.com/,2023-10-18,,,,,,,,
2023-012,车载LIFI通信系统,200Mbps,成都车载科技集团,2023-05-30,四川省市场监督管理局,成都车载科技集团,否,汽车行业应用,汽车之家,http://www.autohome.com.cn/,2023-10-18,,,,,,,,
2023-013,高密度办公LIFI系统,500Mbps,武汉网络科技有限公司,2023-09-30,湖北省市场监督管理局,武汉网络科技有限公司,是,商业办公解决方案,硅谷动力,http://www.svppy.com/,2023-10-18,,,,,,,,
2023-014,景区光通信系统,180Mbps,无锡旅游科技有限公司,2023-06-28,江苏省市场监督管理局,无锡旅游科技有限公司,否,旅游行业应用,旅游观察,http://www.lvguidian.com/,2023-10-18,,,,,,,,
2023-006,绿光快线,250Mbps,昆明光网络科技有限公司,2023-10-01,昆明市市场监督管理局,昆明光网络科技有限公司,是,室外通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,智慧农场LIFI系统,120Mbps,兰州农业科技股份有限公司,2023-09-20,兰州市市场监督管理局,兰州农业科技股份有限公司,是,农业应用系统,中国农业新闻网,http://www.xn--fsq6c6244ardc.com/,2023-10-18,,,,,,,,
2023-008,移动校园LIFI系统,350Mbps,深圳创智科技有限公司,2023-08-30,深圳市市场监督管理局,深圳创智科技有限公司,是,校园通信系统,前瞻产业研究院,https://www.qianzhan.com/,2023-10-18,,,,,,,,
2023-009,工业4.0智能探测系统,400Mbps,重庆智能科技有限公司,2023-07-15,重庆市市场监督管理局,重庆智能科技有限公司,是,工业应用系统,中国IT市场研究,https://www.chinait.com/,2023-10-18,,,,,,,,
2023-010,防灾救援LIFI系统,175Mbps,哈尔滨安全科技有限公司,2023-09-12,哈尔滨市市场监督管理局,哈尔滨安全科技有限公司,是,应急通信系统,安全中国网,http://www.anjian.com/,2023-10-18,,,,,,,,
2023-011,健康监测LIFI系统,250Mbps,天津健康科技有限责任公司,2023-06-25,天津市市场监督管理局,天津健康科技有限责任公司,是,医疗健康应用,大众健康网,http://www.health78.com/,2023-10-18,,,,,,,,
2023-012,城市公共交通LIFI系统,300Mbps,南京交通科技有限公司,2023-08-15,南京市市场监督管理局,南京交通科技有限公司,是,公共交通通信,城市交通在线,http://www.citytransport.com/,2023-10-18,,,,,,,,
2023-013,安防监控LIFI系统,180Mbps,北京安防科技有限公司,2023-07-01,北京市市场监督管理局,北京安防科技有限公司,是,安保监控系统,安防行业网,http://www.security.com/,2023-10-18,,,,,,,,
2023-014,智慧城市LIFI系统,220Mbps,南昌智联科技有限公司,2023-09-28,南昌市市场监督管理局,南昌智联科技有限公司,是,城市服务系统,智城网,http://www.smartcity.com/,2023-10-18,,,,,,,,
2023-015,边缘计算LIFI系统,210Mbps,西安边缘科技有限公司,2023-05-05,西安市市场监督管理局,西安边缘科技有限公司,是,边缘计算应用,科学技术日报,http://www.sciencetechdaily.com/,2023-10-18,,,,,,,,
2023-006,光谱连接X1,250Mbps,广州光速科技有限公司,2023-09-10,广州市市场监督管理局,广州光速科技有限公司,是,高速楼宇系统,光通信技术网,http://www.lightcoms.cn/,2023-10-18,,,,,,,,
2023-007,海洋LIFI通信,75Mbps,厦门海洋信息技术有限公司,2023-08-15,福建省市场监督管理局,厦门海洋信息技术有限公司,是,水下通信系统,海洋科技论坛,http://www.oceanforum.cn/,2023-10-18,,,,,,,,
2023-008,智能工厂光网络,400Mbps,重庆智能科技有限公司,2023-07-29,重庆市市场监督管理局,重庆智能科技有限公司,是,工业自动化系统,工业4.0研究院,http://www.industry40.com/,2023-10-18,,,,,,,,
2023-009,校园LIFI解决方案,120Mbps,北京教育科技有限公司,2023-06-28,北京市市场监督管理局,北京教育科技有限公司,是,教育信息系统,教育部网站,http://www.moe.gov.cn/,2023-10-18,,,,,,,,
2023-010,健身中心光通信,90Mbps,杭州健身科技有限公司,2023-05-10,浙江省市场监督管理局,杭州健身科技有限公司,否,健身应用系统,健身科技新闻,http://www.fitnessnews.cn/,2023-10-18,,,,,,,,
2023-011,城市交通LIFI系统,150Mbps,上海智能交通科技有限公司,2023-04-22,上海市市场监督管理局,上海智能交通科技有限公司,是,交通管理系统,城市交通网,http://www.citytraffic.com/,2023-10-18,,,,,,,,
2023-012,智慧医院光网络,300Mbps,武汉智能医疗科技有限公司,2023-03-05,湖北省市场监督管理局,武汉智能医疗科技有限公司,是,医疗信息系统,智慧医疗杂志,http://www.smarthealth.cn/,2023-10-18,,,,,,,,
2023-013,无人机光通信系统,60Mbps,深圳无人机科技有限公司,2023-02-15,深圳市市场监督管理局,深圳无人机科技有限公司,否,无人机应用系统,无人机资讯网,http://www.droneinfo.cn/,2023-10-18,,,,,,,,
2023-014,农业LIFI系统,80Mbps,成都农业科技有限公司,2023-01-30,四川省市场监督管理局,成都农业科技有限公司,是,农业应用系统,农业科技网,http://www.agri-tech.cn/,2023-10-18,,,,,,,,
2023-015,公共Wi-Fi光通信系统,110Mbps,东北通信科技有限公司,2023-09-05,吉林省市场监督管理局,东北通信科技有限公司,是,公共网络系统,网络科技论坛,http://www.networktechforum.cn/,2023-10-18,,,,,,,,
2023-006,乐视LIFI系统,250Mbps,乐视光电科技有限公司,2023-10-01,杭州市市场监督管理局,乐视光电科技有限公司,是,多媒体传输系统,光电产业网,https://www.lightsindustry.com,2023-10-18,,,,,,,,
2023-007,农田光通信系统,100Mbps,湖南农业科技有限公司,2023-09-12,湖南省市场监督管理局,湖南农业科技有限公司,是,农业智能监控,中国农业科技网,http://www.agtech.cn,2023-10-18,,,,,,,,
2023-008,智慧城市LIFI解决方案,500Mbps,北京智慧城市科技,2023-10-15,北京市市场监督管理局,北京智慧城市科技,是,城市通信基础设施,前瞻产业报告,https://www.qianzhan.com,2023-10-18,,,,,,,,
2023-009,工业4.0光通信系统,400Mbps,江苏现代制造科技有限公司,2023-09-01,江苏省市场监督管理局,江苏现代制造科技有限公司,是,工业应用,制造业观察,http://www.manufacturingobservatory.com,2023-10-18,,,,,,,,
2023-010,医院LIFI解决方案,300Mbps,广州医疗科技有限公司,2023-08-25,广州市市场监督管理局,广州医疗科技有限公司,是,医疗健康,医学与科技,http://www.medtech.com,2023-10-18,,,,,,,,
2023-011,高铁LIFI系统,600Mbps,中国高铁科技股份有限公司,2023-07-30,中国铁道部,中国高铁科技股份有限公司,是,交通运输,铁路科技杂志,http://www.railtech.com,2023-10-18,,,,,,,,
2023-012,校园LIFI解决方案,200Mbps,西安教育科技有限公司,2023-10-07,西安市市场监督管理局,西安教育科技有限公司,是,教育领域应用,教育科技论坛,http://www.edutechforum.com,2023-10-18,,,,,,,,
2023-013,商场智能LIFI系统,350Mbps,成都商贸科技有限公司,2023-09-18,成都市市场监督管理局,成都商贸科技有限公司,是,商业应用,商业科技新闻,http://www.commercescientific.com,2023-10-18,,,,,,,,
2023-014,智能交通LIFI系统,450Mbps,北京交通科技股份有限公司,2023-09-30,北京市市场监督管理局,北京交通科技股份有限公司,是,交通信号管理,智能交通研究,http://www.smarttrafficresearch.com,2023-10-18,,,,,,,,
2023-015,交互式公共设施LIFI系统,200Mbps,安徽公共事业科技有限公司,2023-10-12,合肥市市场监督管理局,安徽公共事业科技有限公司,是,公共设施推广,城市发展论坛,http://www.urbanforum.com,2023-10-18,,,,,,,,
2023-006,光明照明系统,250Mbps,杭州创新科技有限公司,2023-10-01,浙江省市场监督管理局,杭州创新科技有限公司,是,商业照明系统,科技日报,https://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,高速信号灯系统,400Mbps,广州照明技术有限公司,2023-09-05,广州市市场监督管理局,广州照明技术有限公司,是,城市交通系统,南方日报,https://www.southcn.com/,2023-10-18,,,,,,,,
2023-008,医疗可见光通信系统,180Mbps,上海医疗科技有限公司,2023-09-30,上海市市场监督管理局,上海医疗科技有限公司,是,医疗健康系统,医学科技网,http://www.medicaltechnology.com/,2023-10-18,,,,,,,,
2023-009,农业监控光通信系统,120Mbps,北京农科智能设备有限公司,2023-08-25,北京市市场监督管理局,北京农科智能设备有限公司,是,农业应用系统,现代农业网,http://www.modernagriculture.com/,2023-10-18,,,,,,,,
2023-010,智能零售LIFI系统,350Mbps,深圳智慧零售科技有限公司,2023-08-10,深圳市市场监督管理局,深圳智慧零售科技有限公司,是,零售推广系统,电商观察,https://www.ecommerceobserver.com/,2023-10-18,,,,,,,,
2023-011,教育LIFI网络系统,90Mbps,天津智慧教育科技有限公司,2023-07-15,天津市市场监督管理局,天津智慧教育科技有限公司,是,教育类应用,教育资讯网,http://www.educationnews.com/,2023-10-18,,,,,,,,
2023-012,高密度办公LIFI系统,220Mbps,成都现代办公科技有限公司,2023-09-20,成都市市场监督管理局,成都现代办公科技有限公司,否,办公空间系统,财经时报,https://www.financetimes.com/,2023-10-18,,,,,,,,
2023-013,智能家电LIFI网络,130Mbps,西安智能家电有限公司,2023-06-18,西安市市场监督管理局,西安智能家电有限公司,是,家居应用系统,智能生活网,http://www.smartlife.com/,2023-10-18,,,,,,,,
2023-014,多用途光通信系统,270Mbps,武汉光电科技有限公司,2023-09-28,武汉市市场监督管理局,武汉光电科技有限公司,是,多功能系统,光电行业报,http://www.lightindustrynews.com/,2023-10-18,,,,,,,,
2023-015,虚拟现实LIFI系统,350Mbps,南京虚拟现实科技有限公司,2023-10-05,南京市市场监督管理局,南京虚拟现实科技有限公司,是,虚拟现实应用,虚拟现实快报,http://www.vrnews.com/,2023-10-18,,,,,,,,
2023-006,高效室内光通信系统,250Mbps,武汉光创科技公司,2023-10-01,武汉市市场监督管理局,武汉光创科技公司,是,室内通信系统,光通信前沿,https://www.opticcom.com,2023-10-18,,,,,,,,
2023-007,新智能城市照明,400Mbps,杭州智慧科技有限公司,2023-09-12,杭州市市场监督管理局,杭州智慧科技有限公司,是,城市照明系统,智能城市新闻,http://www.smartcitynews.cn,2023-10-18,,,,,,,,
2023-008,新能源光通信平台,300Mbps,江苏新能科技有限公司,2023-10-05,江苏省市场监督管理局,江苏新能科技有限公司,是,能源监控系统,新能源产业网,http://www.newenergyindustry.cn,2023-10-18,,,,,,,,
2023-009,公路交通光通信系统,75Mbps,陕西交通科技股份有限公司,2023-08-25,西安市市场监督管理局,陕西交通科技股份有限公司,是,交通管理系统,交通未来,http://www.transportfuture.com,2023-10-18,,,,,,,,
2023-010,环保光通信监测系统,150Mbps,北京环保科技研究院,2023-09-30,北京市市场监督管理局,北京环保科技研究院,是,环境监测系统,环境科技新闻,http://www.environmentnews.cn,2023-10-18,,,,,,,,
2023-011,医院智能通讯系统,350Mbps,广医科技集团,2023-06-15,广州市市场监督管理局,广医科技集团,是,医疗通讯系统,医疗科技网,http://www.medicaltech.cn,2023-10-18,,,,,,,,
2023-012,农业温室光显通信,100Mbps,四川现代农业有限公司,2023-07-14,成都市市场监督管理局,四川现代农业有限公司,否,农业监测系统,农业科技信息网,http://www.agritechinfo.com,2023-10-18,,,,,,,,
2023-013,未来学校可见光通信系统,320Mbps,北京未来教育科技有限公司,2023-10-20,北京市市场监督管理局,北京未来教育科技有限公司,是,教育领域应用,教育科技前沿,http://www.educationtechcn.com,2023-10-18,,,,,,,,
2023-014,光纤室外通信解决方案,125Mbps,深圳光纤科技有限公司,2023-09-05,深圳市市场监督管理局,深圳光纤科技有限公司,是,室外通信系统,科技观察,http://www.techwatch.cn,2023-10-18,,,,,,,,
2023-015,城市公共Wi-Fi系统,200Mbps,天津无线通信股份有限公司,2023-08-18,天津市市场监督管理局,天津无线通信股份有限公司,是,公共 Wi-Fi,城市网络发展,http://www.urbannetworkdev.cn,2023-10-18,,,,,,,,
2023-006,光提升5000,500Mbps,杭州光电信息技术有限公司,2023-10-05,杭州市市场监督管理局,杭州光电信息技术有限公司,是,高速室内通信系统,光通信与计算网,https://www.lightcomm.net/,2023-10-18,,,,,,,,
2023-007,无缝LIFI连接器,250Mbps,成都高科电子有限公司,2023-09-22,成都市市场监督管理局,成都高科电子有限公司,是,专业通讯系统,行业先锋杂志,https://www.industrypioneer.com/,2023-10-18,,,,,,,,
2023-008,全景LIFI照明,128Mbps,北京际联科技有限公司,2023-08-17,北京市市场监督管理局,北京际联科技有限公司,是,商业照明系统,中国建筑科学研究院,http://www.cabri.ac.cn/,2023-10-18,,,,,,,,
2023-009,工业光网,400Mbps,西安光速智能科技有限公司,2023-07-28,西安市市场监督管理局,西安光速智能科技有限公司,否,工业生产线通信系统,智能制造网,https://www.smartmanufacturing.com/,2023-10-18,,,,,,,,
2023-010,舰载光通信,600Mbps,天津舰船科技股份有限公司,2023-06-10,天津市市场监督管理局,天津舰船科技股份有限公司,是,军用通信系统,国防科技新闻,https://www.defensetechnologynews.com/,2023-10-18,,,,,,,,
2023-011,智能医院可见光系统,350Mbps,武汉智慧医疗有限公司,2023-05-22,武汉市市场监督管理局,武汉智慧医疗有限公司,是,医疗信息系统,医疗行业信息平台,https://www.medinfo.cn/,2023-10-18,,,,,,,,
2023-012,可见光交通信号系统,80Mbps,郑州智能交通科技股份有限公司,2023-04-15,郑州市市场监督管理局,郑州智能交通科技股份有限公司,是,城市交通管理系统,交通运输工程与技术期刊,http://www.transportjournal.com/,2023-10-18,,,,,,,,
2023-013,抗干扰光通信系统,120Mbps,南京防务科技有限公司,2023-03-30,南京市市场监督管理局,南京防务科技有限公司,是,安全通信系统,军事信息保护中心,http://www.militaryinfosecurity.com/,2023-10-18,,,,,,,,
2023-014,绿色节能光通信,90Mbps,海南生态科技有限公司,2023-02-10,海南省市场监督管理局,海南生态科技有限公司,是,环保光通信,生态环境监测与保护网,http://www.environmentalmonitoring.com/,2023-10-18,,,,,,,,
2023-015,城市无线网络光传输系统,400Mbps,青岛光电传输技术有限公司,2023-01-20,青岛市市场监督管理局,青岛光电传输技术有限公司,是,城市公共网络,城市网络技术研究所,https://www.citynetworktech.com/,2023-10-18,,,,,,,,
2023-006,智慧城市光网,500Mbps,北京光网科技有限公司,2023-10-01,北京市市场监督管理局,北京光网科技有限公司,是,城市基础设施通信系统,光通讯杂志,https://www.lightcommsjournal.com/,2023-10-18,,,,,,,,
2023-007,旗舰LIFI系统,250Mbps,杭州未来科技集团,2023-09-10,杭州市市场监督管理局,杭州未来科技集团,是,综合通信解决方案,亿欧网,https://www.iyiou.com/,2023-10-18,,,,,,,,
