OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
1024,9,bps/Hz,1/8符号周期,220,μs,多通道序列,自适应导频估计,1.25,kHz,0.5,ms,900,m,AWGN,每个OFDM符号,,适中,地址动态,光电通信学报,http://www.opticsjournal.net/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,50,μs,长序列,迭代估计,3.125,kHz,2,ms,500,m,Nakagami衰落,每隔2个符号,1/32,高,nan,技术文献网,http://www.techpaper.net/,2024-10-16,,,
64,5.5,bps/Hz,1/8符号周期,120,μs,长时序列,最小二乘估计,12.5,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,4.8,bps/Hz,1/16符号周期,180,μs,时钟同步信号,历史数据插值,13.3,kHz,7.5,ms,350,m,Rician衰落,每隔2个符号,,高,地址固定,华为技术文档,https://www.huawei.com/cn/technology,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,75,μs,伪随机序列,自适应估计,5,kHz,4,ms,800,m,AWGN,每隔3个符号,,较低,nan,Google Scholar,https://scholar.google.com,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,90,μs,长序列,时域估计,1.25,kHz,2,ms,950,m,Nakagami衰落,每个OFDM符号,1/32,高,地址动态,ScienceDirect,https://www.sciencedirect.com,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,160,μs,固定序列,最小均方误差,2.5,kHz,1,ms,1200,m,在渐变环境下,每隔5个符号,1/64,适中,固定地址,CNKI,https://www.cnki.net,2024-10-16,,,
2048,9.5,bps/Hz,1/16符号周期,200,μs,互相关序列,迭代估计,1.25,kHz,5,ms,1500,m,复合衰落,每2个OFDM符号,1/48,较高,动态地址,Animalo,https://www.animalo.cn,2024-10-16,,,
4096,10,bps/Hz,1/2符号周期,220,μs,短时序列,信号幅值估计,1,kHz,10,ms,1800,m,极性状态下的AWGN,可变间隔,,高,nan,ResearchGate,https://www.researchgate.net,2024-10-16,,,
8192,12,bps/Hz,1/4符号周期,100,μs,调制序列,混合估计,0.5,kHz,20,ms,2000,m,可变化的环境,每个OFDM符号,1/256,适中,地址固定,SpringerLink,https://link.springer.com,2024-10-16,,,
16384,13.5,bps/Hz,1/8符号周期,300,μs,自适应序列,机器学习估计,0.25,kHz,40,ms,2500,m,极端衰落,每4个OFDM符号,1/512,高,地址动态,arXiv,https://arxiv.org,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,10,kHz,20,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE 论文集,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,120,μs,高效雷达信号,信道脉冲响应,8,kHz,12.5,ms,250,m,Rician衰落,每隔2个符号,,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,60,μs,短序列,最小均方误差估计,5,kHz,10,ms,600,m,AWGN,每个OFDM符号,1/32,较低,nan,中国通信学会,http://www.cie-china.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,2.5,kHz,2,ms,950,m,Nakagami衰落,每隔3个符号,1/64,高,nan,光纤通信技术,https://opticsjournal.net/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,200,μs,扩频序列,自适应估计,1.25,kHz,1,ms,1200,m,Log-normal衰落,每个OFDM符号,,极高,地址动态,通信学报,http://www.china-pub.com/,2024-10-16,,,
2048,9,bps/Hz,1/32符号周期,75,μs,随机序列,正交频分复用估计,0.625,kHz,0.5,ms,1500,m,Simulated衰落,每隔4个符号,1/256,适中,地址固定,期刊论文,https://www.springer.com/,2024-10-16,,,
512,6.5,bps/Hz,1/8符号周期,90,μs,帧同步表,逐步估计法,2,kHz,5,ms,800,m,Rayleigh衰落,每个OFDM符号,1/64,较低,地址动态,光通信技术,https://www.laserfocusworld.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/16符号周期,110,μs,多用户同步,先进导频估计,0.75,kHz,1.5,ms,1400,m,Rician衰落,每隔5个符号,,极高,nan,科学网,https://www.sciencenet.cn/,2024-10-16,,,
4096,10,bps/Hz,1/32符号周期,40,μs,动态调整序列,混合估计法,0.3125,kHz,0.25,ms,1800,m,AWGN,每隔6个符号,1/512,高,地址动态,电子电气工程中国,http://www.cee-cc.com/,2024-10-16,,,
1536,9.2,bps/Hz,1/4符号周期,65,μs,长序列,导频估计法,1.5,kHz,3,ms,1300,m,Nakagami衰落,每个OFDM符号,,适中,nan,网络论文,https://www.sciencedirect.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,90,μs,伪随机序列,最小二乘估计,12.5,kHz,16,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,NIST,https://www.nist.gov/,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,7,kHz,8.57,ms,400,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,75,μs,短序列,自适应估计,4.5,kHz,5,ms,800,m,AWGN,每个OFDM符号,,较低,na,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,120,μs,长序列,导频插入法,1.5,kHz,1.8,ms,1000,m,Nakagami衰落,每隔3个符号,1/32,高,na,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,160,μs,伪随机序列,时域均衡,1,kHz,0.98,ms,1200,m,Rayleigh衰落,每隔5个符号,1/64,较高,地址动态,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
768,7.8,bps/Hz,1/16符号周期,55,μs,时钟同步信号,最小二乘估计,2,kHz,3.75,ms,900,m,Rician衰落,每个OFDM符号,1/32,高,na,MDPI,https://www.mdpi.com/,2024-10-16,,,
2048,9.2,bps/Hz,1/4符号周期,300,μs,长序列,导频插入法,0.5,kHz,0.48,ms,1600,m,AWGN,每隔6个符号,,最高,地址固定,arXiv,https://arxiv.org/,2024-10-16,,,
1536,8.5,bps/Hz,1/8符号周期,140,μs,伪随机序列,自适应估计,1.25,kHz,2,ms,1300,m,Nakagami衰落,每隔4个符号,1/64,适中,na,SpringerLink,https://link.springer.com/,2024-10-16,,,
4096,10,bps/Hz,1/16符号周期,250,μs,短序列,时域均衡,0.25,kHz,0.25,ms,2000,m,Rayleigh衰落,每个OFDM符号,1/256,较高,地址动态,Journal of Optical Communications,https://www.tandfonline.com/journals/tocp20/current,2024-10-16,,,
32,3.5,bps/Hz,1/8符号周期,120,μs,循环前缀,最小二乘估计,20,kHz,31.25,ms,400,m,Rayleigh衰落,每隔2个符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,180,μs,伪随机序列,导频插入法,1.25,kHz,0.9765625,ms,1200,m,Rician衰落,每个OFDM符号,1月32日,高,地址动态,SpringerLink,https://link.springer.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,90,μs,长序列,自适应估计,10,kHz,15.625,ms,600,m,AWGN,每隔5个符号,1月64日,适中,地址固定,百度学术,https://xueshu.baidu.com/,2024-10-16,,,
2048,9,bps/Hz,1/16符号周期,250,μs,时钟同步信号,信道脉冲响应,0.625,kHz,1.5625,ms,1500,m,Nakagami衰落,每隔4个符号,,高,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,110,μs,伪随机序列,最小二乘估计,12.5,kHz,8,ms,350,m,Rician衰落,每隔3个符号,1月32日,中等,地址动态,CNKI,https://www.cnki.net/,2024-10-16,,,
768,8.5,bps/Hz,1/4符号周期,220,μs,短序列,导频插入法,2.5,kHz,1.25,ms,800,m,AWGN,每个OFDM符号,,低,地址固定,电子科技大学,http://www.uestc.edu.cn/,2024-10-16,,,
384,7,bps/Hz,1/4符号周期,160,μs,伪随机序列,信道脉冲响应,5,kHz,6.25,ms,900,m,Nakagami衰落,每隔2个符号,,高,地址固定,科技论文在线,http://www.paper.edu.cn/,2024-10-16,,,
512,6.5,bps/Hz,1/8符号周期,80,μs,长序列,自适应估计,3,kHz,4,ms,700,m,Rayleigh衰落,每隔4个符号,1月64日,适中,nan,中国知网,https://www.cnki.com.cn/,2024-10-16,,,
256,5,bps/Hz,1/2符号周期,300,μs,时钟同步信号,导频插入法,1.5,kHz,5,ms,500,m,AWGN,每隔4个符号,,较低,地址动态,南方科技大学,https://www.sustech.edu.cn/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,450,m,Rician衰落,每个OFDM符号,,中等,地址固定,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,250,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,350,m,AWGN,每隔4个符号,,高,地址动态,ResearchGate,https://www.researchgate.net,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,75,μs,短序列,自适应估计,3.85,kHz,4,ms,600,m,Rayleigh衰落,每个OFDM符号,1/32,中等,nan,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
512,7.1,bps/Hz,1/2符号周期,180,μs,长序列,导频插入法,1.5,kHz,2,ms,800,m,Nakagami衰落,每隔2个符号,,高,地址动态,SpringerLink,https://link.springer.com,2024-10-16,,,
384,6.8,bps/Hz,1/3符号周期,90,μs,时钟同步信号,贝叶斯估计,2.5,kHz,6.67,ms,500,m,Rician衰落,每个OFDM符号,1/32,适中,地址固定,MDPI Sensors,https://www.mdpi.com/journal/sensors,2024-10-16,,,
64,4.9,bps/Hz,1/16符号周期,140,μs,循环前缀,最小均方误差,12.5,kHz,16.67,ms,400,m,AWGN,每隔3个符号,,较高,nan,ScienceDirect,https://www.sciencedirect.com,2024-10-16,,,
256,5.9,bps/Hz,1/8符号周期,60,μs,短序列,自适应估计,4,kHz,4,ms,700,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,Google Scholar,https://scholar.google.com,2024-10-16,,,
128,5.5,bps/Hz,1/4符号周期,160,μs,伪随机序列,信道脉冲响应,8,kHz,8.33,ms,300,m,Nakagami衰落,每隔5个符号,,较低,nan,arXiv,https://arxiv.org,2024-10-16,,,
512,6.4,bps/Hz,1/2符号周期,125,μs,长序列,导频插入法,1.25,kHz,2,ms,900,m,Rician衰落,每个OFDM符号,1/32,高,地址固定,MDPI Electronics,https://www.mdpi.com/journal/electronics,2024-10-16,,,
64,4.5,bps/Hz,1/16符号周期,80,μs,低复杂度序列,插值估计,12.5,kHz,20,ms,450,m,Rician衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,250,μs,时钟同步信号,自适应估计,6.25,kHz,12.5,ms,350,m,IEEE,每隔2个符号,,高,地址固定,光通信研究,https://www.lightcommunication.org/,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,30,μs,快速同步序列,最小均方误差,3,kHz,4,ms,600,m,SGCC,每个OFDM符号,,较低,nan,国家电网,http://www.sgcc.com.cn/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,175,μs,长序列,导频插入法,1,kHz,1.95,ms,950,m,FiberOptics,每隔3个符号,1/32,高,地址固定,光纤通信协议,https://www.fiberoptics.com/,2024-10-16,,,
256,8,bps/Hz,1/8符号周期,40,μs,高精度序列,分段线性插值,4,kHz,8,ms,750,m,OpticalEngineer,每个OFDM符号,,适中,地址动态,光电工程技术,http://www.opticalengineer.com/,2024-10-16,,,
512,6.2,bps/Hz,1/4符号周期,180,μs,伪随机序列,最小二乘估计,2.5,kHz,2.5,ms,1100,m,OpticalComm,每3个符号,1/32,中等,nan,光电通信杂志,http://www.opticalcommsjournal.com/,2024-10-16,,,
128,5.7,bps/Hz,1/16符号周期,220,μs,较长同步序列,时域卷积,5,kHz,10,ms,370,m,SZU,每隔2个符号,,高,地址固定,深圳大学研究中心,http://www.szu.edu.cn/,2024-10-16,,,
64,4.8,bps/Hz,1/8符号周期,65,μs,简化序列,快速信道估计,10,kHz,20,ms,450,m,WUT,每个OFDM符号,,适中,地址动态,武汉理工大学,http://www.wust.edu.cn/,2024-10-16,,,
256,7,bps/Hz,1/4符号周期,120,μs,短序列,模型估计法,3,kHz,4,ms,800,m,THU,每个OFDM符号,,较低,码动态,清华大学电子系,http://www.ee.tsinghua.edu.cn/,2024-10-16,,,
64,4,bps/Hz,1/8符号周期,120,μs,伪随机序列,时域评估,12.5,kHz,16,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,180,μs,伪随机序列,最小二乘估计,7.5,kHz,8,ms,350,m,Rician衰落,每隔2个符号,,高,固定地址,想想科技,https://www.xiangxiangkeji.com,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,75,μs,短序列,自适应估计,4,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,动态地址,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
512,7,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,2.5,kHz,2,ms,900,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光通信技术网,https://www.lightcomtech.com/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,50,μs,时钟同步信号,时域估计,1.25,kHz,1,ms,1100,m,优势干扰,每隔4个符号,1/64,适中,动态地址,《光学通信技术杂志》,http://www.opticsjournal.org/,2024-10-16,,,
2048,9,bps/Hz,1/8符号周期,300,μs,短序列,自适应估计,0.625,kHz,0.5,ms,1200,m,Multipath衰落,每隔5个符号,,较高,固定地址,电子与电气工程协会,https://www.electricalengineering.org/,2024-10-16,,,
4096,10,bps/Hz,1/16符号周期,220,μs,综合长序列,预测性估计,0.3125,kHz,0.25,ms,1500,m,Loo衰落,每个OFDM符号,1/256,高,nan,光电学报,https://www.journalofoptoelectronics.org/,2024-10-16,,,
5120,11,bps/Hz,1/2符号周期,90,μs,长序列,迭代估计,0.125,kHz,0.2,ms,1600,m,突发衰落,每隔6个符号,1/512,适中,固定地址,中国科学院,http://www.cas.cn/,2024-10-16,,,
10240,12,bps/Hz,1/8符号周期,270,μs,复合序列,解析估计,0.0625,kHz,0.1,ms,2000,m,Laplacian衰落,每隔7个符号,1/1024,较高,动态地址,光通信与网络,http://www.lightscommunicationnetwork.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,改进型伪随机序列,模型辅助估计,15,kHz,16.67,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,150,μs,同步时钟信号,最小均方误差估计,7.5,kHz,8.33,ms,250,m,Rician衰落,每隔2个符号,/10,高,动态评估,通讯与电子杂志,https://www.electronicsweekly.com/,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,80,μs,较长的伪随机序列,自适应线性估计,3.75,kHz,4,ms,600,m,AWGN,每个OFDM符号,,较低,地址固定,光通讯网络,https://www.lightwaveonline.com/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,160,μs,动态时序信号,琐碎导频估计,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,动态调整,光纤科技,https://www.fiberoptics.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,精确时间序列,多径估计,1.25,kHz,1,ms,800,m,Rician衰落,每隔4个符号,,适中,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
2048,9.5,bps/Hz,1/4符号周期,200,μs,长伪随机序列,跨层估计,625,kHz,0.5,ms,1500,m,Rayleigh衰落,动态插入,1/40,高,固定地址,IEEE交易,https://ieeexplore.ieee.org/,2024-10-16,,,
4096,10,bps/Hz,1/8符号周期,300,μs,超长序列,协同估计,312.5,kHz,0.25,ms,1800,m,AWGN,每隔5个符号,1/50,较高,动态配置,电信期刊,https://www.journals.elsevier.com/telecommunications-and-computer-networking/,2024-10-16,,,
512,8.5,bps/Hz,1/16符号周期,110,μs,高效伪随机序列,分数阶估计,1.5625,kHz,2,ms,1300,m,Nakagami衰落,每个 OFDM 符号,/30,适中,动态调整,高科技园区,http://www.techpark.com/,2024-10-16,,,
256,7.8,bps/Hz,1/4符号周期,75,μs,短伪随机序列,信道估计频域,3.125,kHz,4,ms,500,m,Rician衰落,每隔2个符号,/24,较高,动态频率,网络通讯协会,http://www.nta.org/,2024-10-16,,,
32,3.5,bps/Hz,1/16符号周期,70,μs,伪随机序列,最小二乘估计,30,kHz,33.33,ms,200,m,AWGN,每隔4个符号,,适中,动态地址,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,120,μs,时钟同步信号,信道脉冲响应,1.25,kHz,0.8,ms,1500,m,Rician衰落,每个OFDM符号,1/64,高,位置固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,6.5,bps/Hz,1/8符号周期,80,μs,长序列,自适应估计,5,kHz,10,ms,800,m,Rayleigh衰落,每隔5个符号,,较高,地址动态,MDPI,https://www.mdpi.com/,2024-10-16,,,
2048,9,bps/Hz,1/2符号周期,150,μs,短序列,导频插入法,0.625,kHz,1.6,ms,2500,m,Nakagami衰落,每个OFDM符号,,高,位置固定,Springer,https://link.springer.com/,2024-10-16,,,
384,5,bps/Hz,1/8符号周期,60,μs,伪随机序列,亮度检测,7,kHz,14.29,ms,600,m,AWGN,每隔2个符号,,适中,动态地址,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
768,7,bps/Hz,1/4符号周期,130,μs,时钟同步信号,信道脉冲响应,2.5,kHz,4,ms,1200,m,Rician衰落,每隔3个符号,1/32,高,nan,Journal of Optical Communications and Networking,https://www.osapublishing.org/jocn/home.cfm,2024-10-16,,,
16,2.5,bps/Hz,1/16符号周期,30,μs,短序列,简单估计,60,kHz,66.67,ms,150,m,AWGN,每个OFDM符号,,较低,地址动态,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
144,4,bps/Hz,1/8符号周期,90,μs,伪随机序列,协同估计,20,kHz,50,ms,400,m,Rayleigh衰落,每隔4个符号,,适中,动态地址,Euripides Journal of Science and Technology,https://www.euripidesscience.com/,2024-10-16,,,
2560,10,bps/Hz,1/2符号周期,160,μs,长序列,最小二乘估计,0.25,kHz,4,ms,3000,m,Nakagami衰落,每个OFDM符号,,高,nan,Frontiers in Communications,https://www.frontiersin.org/journals/communications,2024-10-16,,,
128,5.5,bps/Hz,1/32符号周期,120,μs,长序列,经验模型,6.25,kHz,8,ms,600,m,Rayleigh衰落,每隔4个符号,,适中,地址动态,未来通信研究院,http://www.futuristic-communication.org/,2024-10-16,,,
256,6.2,bps/Hz,1/8符号周期,85,μs,时钟同步信号,自适应估计,3.125,kHz,4,ms,400,m,Rician衰落,每个OFDM符号,,低,地址固定,清华大学,http://www.tsinghua.edu.cn/,2024-10-16,,,
512,7.5,bps/Hz,1/4符号周期,110,μs,伪随机序列,最小二乘估计,1.25,kHz,1.2,ms,300,m,AWGN,每隔3个符号,1/32,高,nan,中国通信标准化协会,http://www.cctaa.org/,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,75,μs,短序列,导频插入法,0.625,kHz,0.977,ms,1200,m,Nakagami衰落,每个OFDM符号,1/64,适中,地址动态,IEEE Xplore,http://ieeexplore.ieee.org/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,180,μs,长序列,信道脉冲响应,12.5,kHz,16,ms,450,m,Rician衰落,每隔2个符号,,低,地址固定,中国电子科技集团,http://www.cetc.com/,2024-10-16,,,
2048,9,bps/Hz,1/32符号周期,90,μs,时钟同步信号,经验模型,0.3125,kHz,0.488,ms,800,m,AWGN,每隔5个符号,,高,nan,中通院报告,http://www.cedaily.com/,2024-10-16,,,
512,8.5,bps/Hz,1/8符号周期,60,μs,短序列,最小二乘估计,2.5,kHz,2,ms,250,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,国家无线电监测中心,http://www.nrmc.cn/,2024-10-16,,,
1024,9.5,bps/Hz,1/4符号周期,130,μs,长序列,自适应估计,0.625,kHz,0.977,ms,1500,m,Nakagami衰落,每隔2个符号,1/64,高,地址动态,深圳大学,http://www.szu.edu.cn/,2024-10-16,,,
128,4.8,bps/Hz,1/16符号周期,170,μs,时钟同步信号,导频插入法,10,kHz,10,ms,500,m,AWGN,每个OFDM符号,,较低,nan,北京邮电大学,http://www.bupt.edu.cn/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,短伪随机序列,最小均方误差估计,12.5,kHz,8,ms,450,m,Rayleigh衰落,每隔2个符号,,适中,动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,120,μs,长伪随机序列,导频估计,15,kHz,16,ms,600,m,Rician衰落,每个OFDM符号,,高,固定,Chinanews网,https://www.chinanews.com/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,60,μs,频率同步信号,自适应信号处理,3.125,kHz,3.2,ms,800,m,AWGN,每隔3个符号,,较低,nan,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,140,μs,简化序列,卡尔曼滤波,1.5,kHz,1.5,ms,950,m,Nakagami衰落,每5个符号,1/32,高,动态,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,200,μs,高斯白噪声序列,匹配滤波估计,0.75,kHz,1,ms,1200,m,Rayleigh衰落,每隔4个符号,1/64,高,固定,MDPI Journals,https://www.mdpi.com/,2024-10-16,,,
128,5,bps/Hz,1/8符号周期,150,μs,随机序列,信道模型估计,7.5,kHz,16.67,ms,350,m,AWGN,每个OFDM符号,,中等,nan,China Telecommunications,http://www.chinatelecom.com.cn/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,75,μs,标准伪随机序列,最小均方根估计,4.5,kHz,5,ms,850,m,Rician衰落,每隔2个符号,,较低,动态,SpringerLink,https://link.springer.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,100,μs,窄带序列,语音信道估计,1.25,kHz,2.67,ms,1150,m,Nakagami衰落,每隔3个符号,1/32,高,固定,Journal of Optical Communications,https://www.tandfonline.com/journals/tocg20,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,250,μs,长伪随机码,自适应算法,0.5,kHz,1.25,ms,1300,m,AWGN,每个OFDM符号,1/64,高,nan,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,具有时变特性的序列,训练序列,16,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,高,地址固定,IEEE 802.11标准委员会,https://www.ieee802.org/11/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,同步信号类型2,深度学习估计,8,kHz,12.5,ms,400,m,Rician衰落,每隔2个符号,,适中,地址动态,光通信技术杂志,https://www.lightcommunicationjournal.com/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,60,μs,长序列,混合信道估计,3.125,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,信息与通信学会会议记录,https://www.ieice.org/en/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,140,μs,具有自适应性的序列,基于载波的信道估计,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,亚洲网络与通信年会,https://www.anc2022.org/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,时钟同步,基于最大似然估计,1.25,kHz,1,ms,1500,m,Rician衰落,每个OFDM符号,1/64,适中,地址固定,中国通信学会,https://www.cits.ac.cn/,2024-10-16,,,
2048,9.5,bps/Hz,1/16符号周期,110,μs,伪随机序列,模型驱动的估计,0.625,kHz,0.5,ms,1800,m,AWGN,每隔2个符号,,高,nan,TMCC会议论文集,https://www.tmcc.org/,2024-10-16,,,
512,7.8,bps/Hz,1/4符号周期,130,μs,多用途偶合信号,基于信号的ML估计,3,kHz,2,ms,900,m,Nakagami衰落,每个OFDM符号,1/32,较低,地址动态,中国电子学会,https://www.cecc.org.cn/,2024-10-16,,,
256,6.8,bps/Hz,1/2符号周期,70,μs,超短序列,基于深度学习,3.5,kHz,4,ms,700,m,Rician衰落,每隔3个符号,,适中,nan,国家数字通信研究所,https://www.ndci.org.cn/,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,100,μs,短序列,自适应信道估计,1,kHz,1,ms,1600,m,AWGN,每个OFDM符号,1/64,高,地址动态,光通信与信号处理学会,https://www.ocsp.org/,2024-10-16,,,
128,5,bps/Hz,1/4符号周期,55,μs,外部时钟信号,基于期望最大化,15,kHz,8,ms,350,m,Rician衰落,每隔2个符号,,适中,nan,中国光电子技术进展,https://www.china-optoelectronics.com/,2024-10-16,,,
64,4.5,bps/Hz,1/16符号周期,120,μs,简单伪随机序列,时延均衡估计,12.5,kHz,8,ms,450,m,Rayleigh衰落,每4个OFDM符号,,适中,动态分配,上海交通大学,http://www.sjtu.edu.cn,2024-10-16,,,
128,6,bps/Hz,1/8符号周期,180,μs,双频段同步,最小均方误差估计,10,kHz,10,ms,600,m,Rician衰落,每2个OFDM符号,,高,静态分配,电子科技大学,http://www.uestc.edu.cn,2024-10-16,,,
256,5.5,bps/Hz,1/4符号周期,75,μs,改进型时钟同步,自适应二维估计,6.25,kHz,4,ms,850,m,AWGN,每个OFDM符号,1/64,较低,地址动态,知网,http://www.cnki.net,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,100,μs,频域同步序列,导频频率插入法,2.5,kHz,1.25,ms,1200,m,Nakagami衰落,每隔2个OFDM符号,1/32,高,固定地址,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,300,μs,同步导频序列,估计基于导频,1.25,kHz,0.975,ms,1500,m,Rayleigh衰落,每个OFDM符号,,高,动态更新,华为技术有限公司,https://www.huawei.com,2024-10-16,,,
256,6.8,bps/Hz,1/16符号周期,50,μs,时延调谐同步,自适应多通道估计,3.125,kHz,6.4,ms,650,m,Rician衰落,每隔3个符号,1/64,适中,固定地址,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
512,6.2,bps/Hz,1/32符号周期,350,μs,三角波同步,最大后验概率估计,1.5625,kHz,2.55,ms,1400,m,AWGN,每个符号,1/256,高,动态分配,电信科学技术研究院,http://www.ctti.com.cn,2024-10-16,,,
1024,9,bps/Hz,1/16符号周期,225,μs,时间同步信号,信道估计能力增强试验,0.625,kHz,0.96,ms,2000,m,Nakagami衰落,每隔5个符号,1/64,低,基于地理位置,软科学杂志,http://www.softsciencejournal.org,2024-10-16,,,
128,5,bps/Hz,1/8符号周期,90,μs,动态频率同步,带宽适配估计,8,kHz,12,ms,340,m,Rician衰落,每个符号,,较高,固定位置,中国科学院,http://www.cas.cn,2024-10-16,,,
