试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
基于可见光的室内定位系统研究,20240110,室内光定位系统,基础研究,进行中,第一阶段,技术研究,吉林大学,吉林大学信息与测控学院,2024-03-01,2024-03-05,2025-03-01,2024-10-11,技术探索,吉林光电科技公司,实验室报告,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
基于可见光的安全通信系统开发,20240111,安全可见光通信系统,产品开发,完成,第二阶段,系统建设,重庆大学,重庆大学网络与信息研究中心,2024-04-01,2024-04-10,2024-06-30,2024-10-14,新技术,重庆光电有限公司,项目成果,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
室内可见光通信系统优化实验,20240104,室内VLC系统,实验室测试,完成,第一阶段,基础研究,复旦大学,复旦大学电子工程研究中心,2024-01-12,2024-01-20,2024-02-20,2024-02-21,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算在智能家居中的应用测试,20240105,智能家居光计算平台,应用研究,进行中,第二阶段,产品测试,浙江大学,浙江大学智能科技中心,2024-01-18,2024-01-25,待定,2024-10-15,改进申请,智能家居科技有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光的车联网通信实验,20240106,车载VLC系统,系统集成,准备中,第一阶段,系统测试,华中科技大学,华中科技大学智能交通实验室,2024-01-20,待定,待定,待定,初步申请,华中科技有限公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
动态光计算系统研究,20240107,动态光计算平台,应用研究,完成,第二阶段,技术研究,南京大学,南京大学光电研究院,2024-02-01,2024-02-10,2024-03-10,2024-03-11,新技术,南京光电科技有限公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
可见光在数据中心管理中的应用,20240108,数据中心VLC系统,应用研究,进行中,第三阶段,应用开发,哈尔滨工业大学,哈尔滨工业大学信息技术学院,2024-02-05,2024-02-15,待定,2024-10-20,技术改进,哈尔滨科技有限公司,项目数据,中国,哈尔滨工业大学官网,https://www.hust.edu.cn/hit/,2024-10-17,,,,,
可见光数据传输效率研究,20240109,高效可见光通信系统,基础研究,完成,第一阶段,基础研究,西安交通大学,西安交通大学信息与通信工程学院,2024-02-08,2024-02-18,2024-03-25,2024-03-26,新申请,西安科技有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
多用户可见光网络实验,20240110,多用户VLC系统,系统集成,准备中,第一阶段,系统测试,兰州大学,兰州大学电子工程学院,2024-02-15,待定,待定,待定,初步申请,兰州科技有限公司,实验室数据,中国,兰州大学官网,https://www.lzu.edu.cn/,2024-10-17,,,,,
可见光与AI结合的实验研究,20240111,AI辅助可见光计算,应用研究,完成,第二阶段,技术研究,东南大学,东南大学智能科学与工程学院,2024-02-20,2024-03-01,2024-04-01,2024-04-02,技术改进,东南科技有限公司,项目数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
城市光通信网络测试,20240104,城市可见光通信系统,城市规划,进行中,第二阶段,基础研究,哈尔滨工业大学,哈尔滨通信实验室,2024-02-20,2024-02-25,2024-12-20,2024-10-15,新申请,哈尔滨光通信技术有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
智能光计算系统设计,20240105,智能光计算平台,系统开发,准备中,第一阶段,技术研发,复旦大学,复旦大学计算机系,2024-03-01,待定,待定,待定,初步申请,复旦科技发展有限公司,项目报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光通信系统与农业结合研究,20240106,农业光通信实验系统,应用研究,进行中,第二阶段,技术研究,北京农学院,农业科研中心,2024-01-15,2024-03-01,2025-01-31,2024-09-20,技术创新,北京农业技术有限公司,项目数据,中国,北京农学院官网,https://www.bjau.edu.cn/,2024-10-17,,,,,
室内可见光通信覆盖评估,20240107,室内VLC系统,实验室测试,完成,第一阶段,基础研究,华南理工大学,华南光通信实验室,2023-11-20,2023-12-01,2024-01-25,2024-01-26,新申请,华南光电科技有限公司,实验室数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
新型光计算器件研发,20240108,新型光计算平台,应用开发,进行中,第一阶段,技术研发,中国科学技术大学,中科大光电实验室,2024-01-10,2024-02-01,2025-06-15,2024-10-16,新技术,中科光电技术有限公司,项目报告,中国,中国科技大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
光信号在医疗中的应用研究,20240109,医疗光通信系统,应用研究,完成,第一阶段,技术研究,浙江大学,浙江大学医疗实验室,2024-01-12,2024-02-05,2024-09-30,2024-10-15,新申请,浙江光电医疗科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
面向5G的可见光通信网络研究,20240110,5G-VLC网络,应用研究,进行中,第三阶段,技术研发,武汉大学,武汉光电实验室,2024-01-25,2024-02-15,2025-02-20,2024-10-16,技术改进,武汉光通信技术有限公司,项目数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
可见光通信安全性测试,20240111,VLC安全系统,安全研究,进行中,第一阶段,实验室测试,东南大学,东南大学光电实验室,2024-02-01,2024-03-01,待定,2024-10-10,新技术,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光的车载通信系统研究,20240104,车载VLC通信系统,系统设计,进行中,第三阶段,系统开发,华南理工大学,华南理工大学电子与信息学院,2024-02-01,2024-02-05,2025-03-01,2024-10-15,新项目申请,华南光电有限公司,项目计划,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
室内环境下可见光通信系统优化,20240105,室内VLC优化系统,应用研究,完成,第一阶段,基础研究,浙江大学,浙江大学光电研究中心,2024-02-10,2024-02-15,2024-05-15,2024-10-14,技术实施,浙江光通信公司,实验室数据分析,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
智能家居可见光通信方案测试,20240106,智能家居VLC系统,产品开发,进行中,第三阶段,产品测试,东北大学,东北大学光电科技实验室,2024-03-01,2024-03-05,2025-01-10,2024-10-16,技术研发,东北光电开发公司,市场调研,中国,东北大学官网,https://www.neu.edu.cn/,2024-10-17,,,,,
高频率光计算系统性能评估,20240107,高频VLC计算平台,系统集成,准备中,第一阶段,性能测试,西安电子科技大学,西安光学技术研究所,2024-04-01,待定,待定,待定,初步申请,西电光电科技公司,实验室设计文档,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
新型可见光传输技术研究,20240108,新型VLC技术平台,技术研究,完成,第二阶段,基础研究,天津大学,天津大学光电研究中心,2024-02-20,2024-02-25,2024-06-01,2024-10-18,新技术申请,天津光电科技公司,实验室报告,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
基于光计算的自动化系统测试,20240109,光计算自动化系统,应用开发,进行中,第三阶段,系统测试,南方科技大学,南方科技大学光电研究所,2024-03-15,2024-03-20,2025-02-28,2024-10-19,新项目申请,南方光电科技公司,项目模型,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光通信在工业应用中的探索,20240110,工业VLC通信系统,应用研究,完成,第二阶段,应用开发,重庆大学,重庆大学光电研究院,2024-04-05,2024-04-10,2024-08-01,2024-10-20,技术验证,重庆高新光电公司,实验室数据,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
光计算在5G网络中的应用研究,20240111,5G光计算平台,技术开发,准备中,第一阶段,系统测试,西北工业大学,西北工业大学光电技术研究所,2024-04-12,待定,待定,待定,初步申请,西北光电技术公司,设计文档,中国,西北工业大学官网,https://www.nwpu.edu.cn/,2024-10-17,,,,,
智能照明可见光通信实验,20240104,智能可见光系统,智能家居,进行中,第一阶段,市场研究,华中科技大学,华中科技大学光电实验室,2024-01-12,2024-01-20,2024-06-20,2024-10-15,新申请,武汉光电科技有限公司,现场数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位系统研究,20240105,室内定位解决方案,应用研究,完成,第二阶段,技术发展,东南大学,东南大学信息学院,2024-01-15,2024-02-01,2024-03-30,2024-04-01,成果报告,南京光电科技有限公司,实验记录,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
可见光通信在智能交通中的应用,20240106,智能交通信号系统,应用研究,进行中,第一阶段,综合应用,同济大学,同济大学智能交通研究中心,2024-02-01,2024-02-10,待定,2024-10-16,新项目申请,上海智能交通科技有限公司,现场测试,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
光计算基础算法优化研究,20240107,光计算处理平台,理论研究,完成,第一阶段,基础研究,西安交通大学,西安交通大学计算机学院,2024-02-05,2024-02-15,2024-08-15,2024-09-01,技术成果,西安光电科技发展有限公司,项目总结,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光无线通信设备测试,20240108,VLC无线设备,设备测试,进行中,第一阶段,设备研发,华南理工大学,华南理工大学光电实验室,2024-02-10,2024-02-20,待定,2024-10-17,产品测试,广州光电设备有限公司,测试报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光在物联网中的作用研究,20240109,物联网通信系统,概念验证,准备中,两期,前期研究,哈尔滨工业大学,哈尔滨工业大学自动化研究所,2024-02-12,待定,待定,待定,初步申请,哈工大光电公司,调研数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
新一代可见光通信芯片研发,20240110,高频通信芯片,产品开发,完成,产品研发,技术研发,浙江大学,浙江大学电子科学学院,2024-02-15,2024-03-01,2024-07-30,2024-08-01,新产品,杭州光电科技有限公司,行业报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光的远程教育系统设计,20240111,远程教育平台,教育技术,进行中,初期,教育应用,北京师范大学,北京师范大学信息技术系,2024-02-20,2024-02-28,待定,2024-10-18,项目申请,北京数字教育科技公司,项目开发,中国,北京师范大学官网,http://www.bnu.edu.cn/,2024-10-17,,,,,
基于可见光的空气质量监测,20240112,空气质量监测系统,环境监测,准备中,项目设计,系统设计,南京大学,南京大学环境科学与工程学院,2024-02-25,待定,待定,待定,初步项目申请,南京环境科技有限公司,市场调研,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
光通信系统延迟测试,20240104,低延迟VLC系统,实验室测试,完成,第一阶段,基础研究,浙江大学,浙江大学信息与电子工程学院,2024-01-20,2024-01-25,2024-02-25,2024-02-26,新申请,杭州光通科技有限公司,实验室初步数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光计算算法研究,20240105,智能光计算平台,应用研究,进行中,第二阶段,技术开发,复旦大学,复旦大学计算机科学技术学院,2024-02-01,2024-02-10,待定,2024-10-11,技术改进,上海智能科技有限公司,研究报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光通信与5G集成实验,20240106,5G-VLC融合系统,系统集成,准备中,第一阶段,系统测试,华中科技大学,华中科技大学光电中心,2024-02-15,待定,待定,待定,初步申请,武汉高科科技有限公司,项目设想,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
多通道可见光计算系统研发,20240107,多通道光计算平台,应用研究,进行中,第二阶段,技术开发,南方科技大学,南方科技大学电子工程系,2024-02-20,2024-03-01,待定,2024-10-12,新技术,深圳光电科技股份有限公司,实验室研发数据,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光数据加密系统设计,20240108,安全可见光通信系统,技术创新,完成,第一阶段,基础研究,南京理工大学,南京理工大学通信与信息工程学院,2024-02-25,2024-03-01,2024-04-01,2024-04-02,新申请,南京光电技术有限公司,实验室数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
环境适应性光通信系统实验,20240109,环境光适应性系统,系统集成,进行中,第一阶段,环境研究,东北大学,东北大学电子与信息工程学院,2024-03-05,2024-03-10,待定,2024-10-08,项目申请,沈阳科技有限公司,项目数据,中国,东北大学官网,https://www.neu.edu.cn/,2024-10-17,,,,,
可见光通信安全性评估,20240110,安全VLC系统,实验室测试,完成,第二阶段,技术开发,西安交通大学,西安交通大学网络与信息安全研究中心,2024-03-15,2024-03-20,2024-04-20,2024-04-21,技术改进,西安光电技术有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
室内环境中的光通信技术评估,20240111,室内VLC评估平台,实验室测试,进行中,第一阶段,应用研究,华东师范大学,华东师范大学物理与材料科学学院,2024-04-01,2024-04-10,待定,待定,项目申请,上海室内科技公司,实验室数据,中国,华东师范大学官网,https://www.ecnu.edu.cn/,2024-10-17,,,,,
新型光计算硬件的开发,20240112,下一代光计算平台,技术开发,完成,第三阶段,基础研究,哈尔滨工业大学,哈尔滨工业大学计算机科学学院,2024-04-10,2024-04-12,2024-05-15,2024-05-16,新申请,黑龙江科技有限公司,研发报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
新型可见光通信调制技术研究,20240104,先进调制系统,基础研究,完成,第一阶段,基础研究,华中科技大学,华中科技大学实验室,2024-02-01,2024-02-10,2024-05-10,2024-05-11,新申请,华中科技有限公司,实验室报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于光计算的智能交通系统评价,20240105,智能交通光计算平台,应用研究,进行中,第二阶段,技术开发,东南大学,东南大学交通研究所,2024-03-02,2024-03-10,待定,2024-10-01,技术改进,东南光电有限公司,项目数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光通信与5G技术融合实验,20240106,5G-VLC融合实验平台,系统集成,准备中,第一阶段,系统测试,深圳大学,深圳大学信息学院,2024-04-01,待定,待定,待定,初步申请,深圳光电科技有限公司,实验室数据,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
智能医疗中的光计算应用研究,20240107,医疗光计算平台,应用研究,完成,第二阶段,技术研发,北京大学人民医院,北京大学光学研究所,2024-02-15,2024-02-20,2024-06-25,2024-06-26,新申请,智慧医疗科技有限公司,项目报告,中国,人民医院官网,http://www.bjucms.org/,2024-10-17,,,,,
多用户可见光通信系统性能优化,20240108,多用户VLC系统,基础研究,进行中,第一阶段,技术研究,国防科技大学,国防科技大学光电系,2024-03-05,2024-03-15,待定,2024-10-15,改进申请,军工科技有限公司,实验室数据,中国,国防科技大学官网,http://www.nudt.edu.cn/,2024-10-17,,,,,
城市环境中的光通信系统测试,20240109,城市VLC应用实验,系统集成,准备中,第一阶段,应用测试,南京理工大学,南京理工大学光电实验室,2024-03-20,待定,待定,待定,初步申请,南京光电科技有限公司,实验室数据,中国,南京理工大学官网,http://www.njust.edu.cn/,2024-10-17,,,,,
未来农业中的光计算技术应用,20240110,农业光计算系统,应用研究,完成,第二阶段,技术开发,中国农业大学,中国农业大学智能农业研究中心,2024-01-15,2024-01-25,2024-04-10,2024-04-11,新技术,农业科技有限公司,项目数据,中国,中国农业大学官网,http://www.cau.edu.cn/,2024-10-17,,,,,
智能建筑中的光通信策略研究,20240111,智能建筑光网络,应用研究,进行中,第一阶段,技术开发,西安建筑科技大学,西安建筑科技大学智能建筑实验室,2024-03-25,2024-04-05,待定,待定,改进申请,西安科技有限公司,实验室数据,中国,西安建筑科技大学官网,http://www.xauat.edu.cn/,2024-10-17,,,,,
三维可见光通信系统评估,20240104,三维模型通信系统,实验室测试,准备中,第一阶段,技术探索,复旦大学,复旦大学工程学院,2024-01-15,2024-02-01,2024-03-01,2024-02-02,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
智能光计算算法优化,20240105,智能光计算系统,应用研究,进行中,第二阶段,应用开发,华中科技大学,华中科技大学光电学院,2024-01-20,2024-02-05,2024-12-01,2024-10-10,改进申请,华中光电技术公司,技术文档,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
多接入可见光通信实验,20240106,多接入系统,实验室测试,完成,第一阶段,基础研究,南方科技大学,南方科技大学光子学院,2024-03-01,2024-03-10,2024-04-10,2024-04-11,新技术,南科光电有限公司,实验室数据,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光无线互联系统研究,20240107,可见光无线系统,软硬件集成,进行中,第二阶段,技术开发,哈尔滨工业大学,哈尔滨工业大学研究院,2024-02-12,2024-02-20,待定,2024-10-11,改进申请,哈工大光电科技公司,现场测试数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光通信安全性研究,20240108,安全可见光网络,基础研究,完成,第一阶段,安全研究,国防科技大学,国防科技大学信息与安全研究所,2024-01-22,2024-01-25,2024-02-20,2024-02-21,新申请,国科光电技术有限公司,实验室数据,中国,国防科技大学官网,https://www nudt.edu.cn/,2024-10-17,,,,,
新型光计算平台研发,20240109,可编程光计算平台,应用研究,进行中,第二阶段,系统开发,浙江大学,浙江大学电子信息学院,2024-03-05,2024-03-15,待定,2024-05-10,项目申请,浙江光电科技公司,项目数据报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市光通信基础设施实验,20240110,城市光通信系统,系统测试,完成,第三阶段,基础研究,西安交通大学,西安交通大学研究所,2024-02-28,2024-03-05,2024-06-01,2024-07-01,新技术,西交光电技术公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
光计算与人工智能结合研究,20240111,光AI平台,创新研究,进行中,第一阶段,交叉学科研究,南京邮电大学,南京邮电大学光电研究中心,2024-02-15,2024-02-25,待定,2024-04-15,新申请,南京光电科技有限公司,实验室数据,中国,南京邮电大学官网,https://www.njupt.edu.cn/,2024-10-17,,,,,
光计算优化算法研究,20240104,优化计算系统,应用开发,进行中,第一阶段,算法研究,清华大学,清华大学计算机系,2024-01-03,2024-01-15,2024-06-15,2024-10-10,新申请,清华科技有限责任公司,实验室数据,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
室内可见光通信系统开发,20240105,室内VLC系统,应用研究,进行中,第二阶段,技术开发,复旦大学,复旦大学光电研究所,2024-01-06,2024-01-20,待定,2024-10-09,改进申请,复旦科技有限公司,项目报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算与大数据结合研究,20240106,大数据光计算平台,系统集成,完成,第二阶段,应用研究,华中科技大学,华中科技大学信息学院,2024-01-02,2024-01-10,2024-03-20,2024-10-08,新申请,华中光电公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
新型可见光通信原理实验,20240107,新一代VLC系统,基础研究,准备中,第一阶段,原理研究,南方科技大学,南方科技大学物理系,2024-01-04,待定,待定,待定,初步申请,南方光电技术有限公司,实验室数据,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光与5G融合通信系统研究,20240108,5G-VLC融合平台,应用研究,完成,第二阶段,技术开发,浙江大学,浙江大学电气工程学院,2024-01-07,2024-01-25,2024-04-30,2024-10-06,技术改进,浙江光电技术有限公司,项目数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
高频光通信的信号处理方案研究,20240109,高频VLC系统,基础研究,进行中,第一阶段,信号处理,厦门大学,厦门大学电子工程系,2024-01-09,2024-01-20,待定,2024-10-10,新申请,厦门光电科技有限公司,实验室数据,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
混合无线网络支持的可见光通信,20240110,混合通信平台,系统集成,完成,第一阶段,系统测试,哈尔滨工业大学,哈尔滨工业大学研究所,2024-01-11,2024-01-22,2024-05-15,2024-10-07,新申请,哈尔滨科技有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光通信安全性研究,20240111,VLC安全系统,应用研究,进行中,第二阶段,技术研究,西安电子科技大学,西安电子科技大学光电技术研究中心,2024-01-12,2024-01-27,2024-07-30,2024-10-11,技术改进,西安光电技术有限公司,项目数据,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
室内可见光通信系统应用研究,20240104,室内VLC系统,应用研究,进行中,第一阶段,系统应用,浙江大学,浙江大学通信与信息工程学院,2024-01-02,2024-01-20,待定,2024-10-15,新申请,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光通信的环境监测系统,20240105,VLC环境监测系统,系统集成,准备中,第一阶段,系统测试,北京理工大学,北京理工大学环境科学与工程学院,2024-01-03,待定,待定,待定,初步申请,环保科技有限公司,项目提案,中国,百度百科,https://baike.baidu.com/,2024-10-17,,,,,
智能交通系统中的可见光通信研究,20240106,智能交通VLC,应用开发,完成,第二阶段,技术研究,华南理工大学,华南理工大学交通学院,2024-01-04,2024-01-25,2024-03-25,2024-03-26,新技术,交通科技公司,现场测试数据,中国,华南理工大学官网,https://wwwSCUT.edu.cn/,2024-10-17,,,,,
城域网可见光通信研究,20240107,城域VLC网,网络研究,进行中,第一阶段,系统测试,东南大学,东南大学网络与信息安全学院,2024-01-06,2024-01-15,待定,2024-10-16,改进申请,东南网络科技有限公司,项目报告,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光通信的智慧照明研究,20240108,智慧照明VLC系统,应用研究,完成,第一阶段,应用开发,哈尔滨工业大学,哈尔滨工业大学建筑学院,2024-01-07,2024-01-01,2024-02-15,2024-02-16,新申请,哈尔滨光电科技有限公司,实验室成果,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
利用可见光进行室内定位研究,20240109,VLC室内定位系统,系统集成,进行中,第二阶段,技术研究,南昌大学,南昌大学电子与信息工程学院,2024-01-08,2024-01-18,待定,2024-10-17,初步申请,南昌科技公司,实验室记录,中国,南昌大学官网,https://www.ncu.edu.cn/,2024-10-17,,,,,
基于可见光通信的安全协议研究,20240110,光通信安全系统,安全研究,完成,第一阶段,基础研究,四川大学,四川大学计算机学院,2024-01-09,2024-02-01,2024-03-01,2024-03-02,技术改进,四川光电公司,实验室分析,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
家庭智能设备中的VLC应用研究,20240111,家庭VLC平台,实验室测试,进行中,第一阶段,应用开发,南京理工大学,南京理工大学自动化学院,2024-01-10,2024-01-25,待定,2024-10-18,新申请,南京光电科技有限公司,实验室测试,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
可见光通信信号干扰测试,20240104,智能光信号系统,信号测试,完成,第三阶段,性能评估,复旦大学,复旦大学实验室,2024-01-05,2024-02-01,2024-03-01,2024-03-02,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算设备兼容性研究,20240105,跨平台光计算系统,设备测试,进行中,第一阶段,应用开发,华中科技大学,华中科技大学研究中心,2024-01-12,2024-02-10,2024-11-30,2024-10-15,改进申请,极光科技,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光通信网络安全实验,20240106,VLC安全平台,系统集成,准备中,第一阶段,系统测试,浙江大学,浙江大学实验室,2024-01-15,待定,待定,待定,初步申请,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光计算量子算法优化,20240107,量子光计算平台,研究开发,完成,第二阶段,科研项目,南京大学,南京大学量子中心,2024-01-20,2024-02-20,2024-05-15,2024-05-16,新技术,南京量子科技有限公司,研究报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
城市可见光通信网络部署,20240108,城市通信系统,应用研究,进行中,第一阶段,系统测试,西安交通大学,西安交通大学研究机构,2024-01-25,2024-03-01,2025-02-28,2024-10-01,新申请,西安光电科技公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
无人机可见光通信系统研究,20240109,无人机通信平台,实验室测试,完成,第二阶段,技术研究,天津大学,天津大学实验室,2024-02-05,2024-03-01,2024-05-30,2024-06-01,新技术,天津光电技术公司,实验室数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
智能城市中的可见光通信,20240110,智慧城市光通信系统,系统集成,进行中,第一阶段,技术开发,同济大学,同济大学研究院,2024-02-10,2024-03-10,2025-01-15,2024-10-05,改进申请,同济光电科技有限公司,项目报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
可见光网络的健壮性评估,20240111,VLC网络测试平台,性能测试,准备中,第一阶段,基础研究,哈尔滨工业大学,哈尔滨工业大学实验室,2024-02-15,待定,待定,待定,初步申请,哈工大光电公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
新型可见光通信网络架构研究,20240104,新一代VLC网络,系统开发,进行中,第一阶段,前沿研究,西安交通大学,西安交通大学光电研究中心,2024-01-12,2024-01-20,预计2024-06-30,2024-10-12,新申请,西安光电有限公司,研究文献,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
多通道光计算算法优化,20240105,光计算平台,算法研究,完成,第三阶段,算法研究,华中科技大学,华中科技大学信息科学与技术学院,2024-02-01,2024-02-10,2024-07-01,2024-10-11,新技术,华中光电技术公司,期刊发表,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位系统试验,20240106,室内定位VLC系统,应用开发,进行中,第二阶段,应用研究,沈阳航空航天大学,沈阳航空航天大学光电技术实验室,2024-01-18,2024-02-01,待定,2024-10-12,新申请,沈阳光电技术有限公司,实验室数据,中国,沈阳航空航天大学官网,https://www.syu.edu.cn/,2024-10-17,,,,,
量子光计算技术探索,20240107,量子VLC计算系统,理论研究,完成,第一阶段,基础研究,复旦大学,复旦大学量子信息研究所,2024-02-15,2024-03-01,2024-09-15,2024-10-10,前沿研究,复旦科技有限公司,学术会议,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信在安防领域的应用研究,20240108,安防可见光网络,应用研究,进行中,第一阶段,技术研究,南京理工大学,南京理工大学网络安全研究中心,2024-03-05,2024-03-15,待定,2024-10-11,改进申请,南京安防科技有限公司,行业报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
可见光通信与5G网络的整合研究,20240109,光5G融合系统,系统集成,进行中,第二阶段,系统测试,东南大学,东南大学网络科学与工程学院,2024-03-12,2024-04-01,待定,2024-10-11,新申请,东南光电有限公司,项目进展,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
大规模可见光通信网络的可行性分析,20240110,大规模VLC网络,理论研究,新的申请,第一阶段,基础研究,浙江大学,浙江大学先进光子学研究院,2024-03-15,2024-04-10,2024-12-15,2024-10-10,新申请,浙江光电有限公司,行业白皮书,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市环境下的光通信系统评估,20240111,城市VLC实验平台,市政研究,准备中,第一阶段,应用开发,同济大学,同济大学光学研究中心,2024-03-20,待定,待定,待定,初步申请,同济光电科技有限公司,研究报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
