金属名称,金属特性,所属类别,地球已知存量,采集来源,来源链接,采集时间,备注【疑问汇总】
铝合金,轻质、强度高、耐腐蚀,有色轻金属,"1,200,000,000 吨",国家铝业公司,http://www.chalco.com.cn/,,
钛合金,高强度、低密度、耐腐蚀,有色轻金属,"20,000,000 吨",中国钛业协会,http://www.chinatitanium.com/,,
银,优良的导电性、抗菌,有色贵金属,"540,000 吨",世界白银协会,https://www.silverinstitute.org/,,
锰,抗磨损、耐高温,有色重金属,3000000000,中国锰工业协会,http://www.cdmia.org.cn/,,
镍,耐腐蚀、导电性好,有色重金属,6200000000,全球镍协会,http://www.nickelinstitute.org/,,
钴,耐高温、硬度高,有色重金属,1500000000,中国钴产业协会,http://www.cobalt.org.cn/,,
铟,导电性好、低熔点,稀有金属,160000000,中国稀有金属协会,http://www.crem.org.cn/,,
锂,轻质、高能量密度,稀有金属,2200000000,中国锂业协会,http://www.clia.org.cn/,,
锡,耐腐蚀、延展性好,有色重金属,300000000,中国锡业协会,http://www.chinasn.org/,,
铂,抗氧化、化学稳定性高,稀有金属,70,国际铂金协会,http://www.platinuminstitute.org/,,
钽,耐腐蚀、高强度,稀有金属,20000,中国钽业协会,http://www.chinatantalum.org/,,
锆,耐高温、抗腐蚀,稀有金属,15000000,中国锆工业协会,http://www.chinazirconium.org/,,
铋,稳定性强、低毒性,有色重金属,825000,中国铋业协会,http://www.bismuth.org.cn/,,
锰,耐高温、抗腐蚀、强度高,有色重金属,575000000吨,中国锰业协会,http://www.chinamanganese.com/,,
银,导电性极佳、抗氧化、延展性强,贵金属,50000000吨,中国贵金属协会,http://www.chinapreciousmetals.org/,,
镍,良好的抗腐蚀性和耐热性,有色金属,110000000吨,国际镍业协会,http://www.internationalnickel.com/,,
钴,高抗氧化性、耐高温、强度高,有色金属,74000000吨,全球钴矿业协会,http://www.cobaltinternational.com/,,
钼,耐高温、耐磨损、高强度,有色金属,37000000吨,中国钼业协会,http://www.chinamolybdenum.com/,,
铟,良好的导电性、高延展性,稀有金属,65000吨,中国铟业协会,http://www.chinaindium.com/,,
钨,耐磨、高密度、耐高温,特种金属,300000万吨,中国钨业协会,http://www.chinatungsten.com/,,
锂,轻量、高电导率、耐腐蚀,稀有金属,86000000吨,国际锂业协会,http://www.internationallithium.com/,,
铬,良好的耐腐蚀性，耐热性,有色重金属,220000000吨,国际铬业协会,http://www.chr.co/,,
锑,抗氧化性好、耐热性高,稀有金属,1500000吨,中国锑业协会,http://www.chinasb.org/,,
镍,耐腐蚀性强、导电性优良,有色重金属,90000000000,中国有色金属工业技术协会,http://www.cmtia.org.cn/,,
钴,高能量密度、良好的导电性,有色重金属,7500000000,国际钴协会,http://www.thecobaltinstitute.org/,,
锂,轻质、导电性好、反应性强,有色轻金属,20000000000,中国锂业公司,http://www.lithium.com.cn/,,
铟,低熔点、导电性强,稀有金属,1600000000,中国稀有金属研究中心,http://www.riyu.com/,,
铬,抗氧化、耐腐蚀,有色金属,200000000000,中国金属材料研究院,http://www.mater-research.com.cn/,,
锆,耐高温、强度高,稀土金属,8000000000,国家锆矿资源中心,http://www.zirconium.org.cn/,,
钨,硬度高、耐磨损,有色重金属,6500000000,中国钨业协会,http://www.chinatungsten.com/,,
铝硅合金,轻质、耐高温,有色轻金属合金,500000000,中国合金材料协会,http://www.alloy.org.cn/,,
铑,抗氧化性强、催化性能好,贵金属,30000000,国际贵金属协会,http://www.platinum.com/,,
钼,耐高温、强度高,有色重金属,14500000000,中国钼业公司,http://www.molybdenum.com.cn/,,
