年份,月份,市场模式,市场化机制,电量偏差处理,调峰机制,可再生能源配额,单位,交易规则,价格机制,电量结算方式,采集来源,来源链接,采集时间,备注【疑问汇总】
2023,3,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按季度结算,中国新能源网,http://www.newenergy.org.cn/,,
2024,2,混合模式,混合定价,按比例分配,有,21,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,7,现货市场,自由定价,由市场调节,无,17,百分比,按需交易,市场价格,按小时结算,中国电力网,http://www.chinaep.org/,,
2024,4,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,中国电力国际合作有限公司,http://www.cpic.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.cnenergy.gov.cn/,,
2025,1,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,全国电力市场监控中心,https://www.cem.com.cn/,,
2024,10,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国电力市场联盟,http://www.cema.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,现货市场,自由定价,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2025,3,边际定价,政府指导,固定补偿,无,19,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,5,长期合同,固定价格,双方协商,有,27,百分比,合同交易,固定价格,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,2,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国际可再生能源署,https://www.irena.org/,,
2024,4,现货市场,自由定价,由市场调节,有,16,百分比,按需交易,市场价格,按小时结算,中国电力网,http://www.chinapower.com.cn/,,
2025,6,边际定价,政府指导,固定补偿,无,21,百分比,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,5,混合模式,混合定价,按比例分配,无,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,11,现货市场,自由定价,由市场调节,有,11,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2023,10,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,长期合同,固定价格,双方协商,无,30,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,1,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,2,现货市场,自由定价,由市场调节,无,15,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2023,9,边际定价,政府指导,固定补偿,有,24,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国能源研究所,http://www.ceri.edu.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,1,长期合同,市场竞价,双边协商,无,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,3,现货市场,自由定价,按比例分配,有,30,百分比,灵活交易,市场价格,按小时结算,中电联,http://www.cec.org.cn/,,
2024,11,混合模式,市场与政府结合,固定补偿,有,20,百分比,定期交易,混合定价,按月结算,国际可再生能源署,https://www.irena.org/,,
2024,12,长期合同,固定价格,双方协商,无,35,百分比,合同交易,固定价格,按季度结算,国家气候变化中心,http://www.cc china.cn/,,
2025,5,边际定价,政府指导,由市场调节,有,28,百分比,灵活交易,政府定价,按月结算,国家可再生能源实验室,http://www.nrel.gov/,,
2026,1,现货市场,自由定价,固定补偿,有,40,百分比,定期交易,市场价格,按小时结算,风能发电协会,http://www.awea.org/,,
2025,8,混合模式,混合定价,由市场调节,无,33,百分比,灵活交易,市场与政府结合,按年结算,国际能源署,https://www.iea.org/,,
2024,9,现货市场,自由定价,按需补偿,有,11,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,18,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,3,混合模式,混合定价,按比例分配,无,30,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,11,现货市场,自由定价,市场调节,有,12,百分比,按需交易,市场价格,按小时结算,能源研究所,http://www.eriministry.gov.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,17,百分比,定期交易,政府定价,按月结算,中国电力市场信息平台,http://www.china-epm.com/,,
2024,12,长期合同,固定价格,双方协商,有,22,百分比,合同交易,固定价格,按季度结算,国家可再生能源中心,http://www.nrec.org.cn/,,
2023,9,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国际可再生能源机构,https://www.irena.org/,,
2024,5,现货市场,自由定价,由市场调节,无,9,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.cee.org.cn/,,
2025,4,边际定价,政府指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,中国环保部,http://www.mee.gov.cn/,,
2024,9,现货市场,自由定价,市场调节,无,18,百分比,按需交易,市场价格,按月结算,国家电网公司,https://www.sgcc.com.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按季度结算,中共中央发展研究中心,http://www.drc.gov.cn/,,
2024,11,长期合同,自动定价,双方协商,有,25,百分比,合同交易,固定价格,按年结算,中国储能科技发展协会,http://www.chinaeoc.com/,,
2023,11,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按月结算,国家能源局,https://www.nea.gov.cn/,,
2025,1,现货市场,自由定价,市场调节,有,30,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,2,边际定价,政府指导,固定补偿,无,12,百分比,定期交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,3,长期合同,固定价格,双方协商,有,14,百分比,合同交易,固定价格,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按月结算,中国能源研究院,http://www.ceri.org.cn/,,
2025,5,现货市场,自由定价,市场调节,有,35,百分比,按需交易,市场价格,按季度结算,中国电力市场投资公司,http://www.cpm.com.cn/,,
2025,6,边际定价,政府指导,固定补偿,有,28,百分比,定期交易,政府定价,按月结算,能源经济研究中心,http://www.econenergy.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,电网公司,https://www.sgcc.com.cn/,,
2024,10,混合模式,政府指导,固定补偿,有,22,百分比,定期交易,市场与政府结合,按月结算,中国可再生能源发展中心,http://www.cresc.cn/,,
2024,11,长期合同,固定价格,双方协商,无,30,百分比,合同交易,固定价格,按季度结算,风能发展协会,http://www.cwea.org.cn/,,
2024,12,现货市场,自由定价,由市场调节,有,25,百分比,灵活交易,市场价格,按小时结算,国家能源局,http://www.nea.gov.cn/,,
2025,1,边际定价,政府指导,按比例分配,无,16,百分比,定期交易,政府定价,按月结算,国际能源署,https://www.iea.org/,,
2025,2,长期合同,混合定价,固定补偿,有,28,百分比,合同交易,市场与政府结合,按季度结算,新能源与可再生能源协会,http://www.cnre.org.cn/,,
2025,3,现货市场,自由定价,由市场调节,无,19,百分比,按需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,4,混合模式,固定价格,双方协商,有,27,百分比,灵活交易,固定价格,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,5,边际定价,政府指导,按比例分配,有,23,百分比,定期交易,政府定价,按月结算,国家能源管理局,http://www.nea.gov.cn/,,
2024,5,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.cnenergy.org/,,
2024,9,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,新能源与可再生能源发展中心,http://www.nerec.org.cn/,,
2023,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,10,混合模式,混合定价,按比例分配,有,15,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,3,边际定价,政府指导,固定补偿,无,17,百分比,定期交易,政府定价,按月结算,中国能源局,https://www.nea.gov.cn/,,
2024,12,长期合同,固定价格,双方协商,有,21,百分比,合同交易,固定价格,按季度结算,国家电力公司,http://www.sgcc.com.cn/,,
2025,2,混合模式,混合定价,按比例分配,有,29,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,4,现货市场,自由定价,由市场调节,无,14,百分比,按需交易,市场价格,按小时结算,中国风能协会,http://www.cwea.org.cn/,,
2023,12,边际定价,政府指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,中国电力统计年鉴,http://www.sgcc.com.cn/,,
2024,9,现货市场,全自动定价,固定补偿,有,18,百分比,按需交易,市场价格,按小时结算,中国电力技术研究院,https://www.cpri.cn/,,
2024,10,边际定价,灵活定价,由市场调节,有,14,百分比,定期交易,市场调整,按月结算,中国电力公司,http://www.sgcc.com.cn/,,
2024,11,长期合同,协商定价,双方协商,无,22,百分比,合同交易,固定价格,按季度结算,地方电力管理局,http://www.nea.gov.cn/,,
2023,11,混合模式,政府和市场结合,按比例分配,有,15,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2023,10,现货市场,自由定价,由市场调节,有,13,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,5,边际定价,政策指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,9,混合模式,混合定价,由市场调节,有,16,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,4,现货市场,全自动定价,固定补偿,有,11,百分比,按需交易,市场价格,按小时结算,中国电力公司,http://www.sgcc.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,https://www.ceri.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,14,百分比,定期交易,政府定价,按月结算,中国电力市场,http://www.cpm.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,国家可再生能源中心,https://www.cres.cn/,,
2025,3,混合模式,混合定价,按比例分配,有,22,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,11,现货市场,自由定价,由市场调节,无,13,百分比,按需交易,市场价格,按小时结算,国际可再生能源署,https://www.irena.org/,,
2025,6,边际定价,政府指导,固定补偿,有,30,百分比,定期交易,政府定价,按月结算,国家电网公司,https://www.sgcc.com.cn/,,
2025,9,长期合同,固定价格,双方协商,无,28,百分比,合同交易,固定价格,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按年结算,中国科学院,https://www.cas.cn/,,
2025,4,现货市场,自由定价,由市场调节,有,20,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,5,长期合同,固定价格,双方协商,有,11,百分比,合同交易,固定价格,按季度结算,中国新能源协会,https://www.cnea.org.cn/,,
2024,9,现货市场,自愿定价,市场自调,有,18,百分比,即时报价,实时市场价格,按日结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,区域性指导,动态补偿,无,22,百分比,阶段性交易,市场与政策结合,按周结算,中国电力企业联合会,http://www.cec.org.cn/,,
2023,11,长期合同,固定交易,双方约定,有,25,百分比,合约交易,长期固定,按半年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,11,混合模式,参照定价,适应性调整,有,17,百分比,弹性交易,半年度审定,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,现货市场,综合定价,完全市场化,有,12,百分比,自愿交易,即时市场,按小时结算,华北电力大学,http://www.ncepu.edu.cn/,,
2023,10,长期合同,政府定价,协议解决,无,20,百分比,年度合约,固定流程,按季结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,1,边际定价,市场主导,实时反馈,有,14,百分比,即时定价,市场导向,按月结算,电力市场监管委员会,http://www.spmb.gov.cn/,,
2023,8,现货市场,自由竞争,独立评估,无,19,百分比,灵活安排,市场供需,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,3,长期合同,指导性价格,市场约定,有,21,百分比,周期交易,指导加市场,按年结算,国际可再生能源署,https://www.irena.org/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.china-nerc.org/,,
2024,10,边际定价,政府指导,固定补偿,有,14,百分比,定期交易,政府定价,按月结算,中国可再生能源电力公司,http://www.creg.com.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,国家电力公司,http://www.sgcc.com.cn/,,
2023,11,现货市场,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,中国电力市场管理中心,http://www.cpmc.org.cn/,,
2024,12,混合模式,自由定价,固定补偿,有,20,百分比,定期交易,市场价格,按月结算,中国可再生能源协会,http://www.creia.org.cn/,,
2025,1,现货市场,政府指导,由市场调节,无,30,百分比,按需交易,政府定价,按小时结算,能源信息网,http://www.energyinfo.cn/,,
2025,2,边际定价,固定价格,双方协商,有,22,百分比,合同交易,固定价格,按季度结算,中国电力发展报告,http://www.cepd.org.cn/,,
2025,3,长期合同,混合定价,按比例分配,无,16,百分比,灵活交易,市场与政府结合,按年结算,能源经济研究中心,http://www.eerc.cn/,,
2025,4,现货市场,自由定价,由市场调节,有,24,百分比,定期交易,市场价格,按月结算,国家能源局,http://www.nea.gov.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,新能网,https://www.xnw.com/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,中国电力网,http://www.chinaelectricity.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源发展协会,http://www.creda.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,16,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,20,百分比,按需交易,市场价格,按小时结算,国际可再生能源机构,https://www.irena.org/,,
2025,2,边际定价,政府指导,固定补偿,有,14,百分比,定期交易,政府定价,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,3,长期合同,固定价格,双方协商,无,30,百分比,合同交易,固定价格,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,19,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,5,现货市场,自由定价,由市场调节,有,23,百分比,按需交易,市场价格,按小时结算,中国可再生能源发展报告,http://www.chinareport.org.cn/,,
2025,6,边际定价,政府指导,固定补偿,有,27,百分比,定期交易,政府定价,按月结算,国家电力公司,http://www.sgcc.com.cn/,,
2024,9,现货市场,自由定价,市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,20,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,无,22,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,现货市场,自由定价,由市场补偿,有,25,百分比,按需交易,市场价格,按小时结算,可再生能源网,http://www.reenergynet.com/,,
2025,1,边际定价,政府指导,固定补偿,有,30,百分比,定期交易,政府定价,按月结算,中国能源研究院,http://www.ceri.org.cn/,,
2025,2,长期合同,固定价格,事先约定,无,35,百分比,合同交易,固定价格,按季度结算,国家电力公司,http://www.spic.com.cn/,,
2025,3,混合模式,混合定价,按比例分配,有,28,百分比,灵活交易,市场与政府结合,按年结算,电力价格协会,http://www.chinaaep.org/,,
2024,7,现货市场,自由定价,即时调整,无,17,百分比,按需交易,市场价格,按小时结算,国家可再生能源信息平台,http://www.reform.gov.cn/,,
2025,4,边际定价,政府指导,基于合同调整,有,40,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力市场网,http://www.cpecc.org.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,14,百分比,定期交易,政府定价,按月结算,中国能源报,http://www.cecn.com/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源协会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,无,22,百分比,按需交易,市场价格,按小时结算,国家气候中心,http://www.ncc.gov.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,19,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,3,长期合同,固定价格,双方协商,有,30,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,混合模式,混合定价,按比例分配,无,16,百分比,灵活交易,市场与政府结合,按年结算,能源研究所,http://www.energyinstitute.org.cn/,,
2025,5,现货市场,自由定价,由市场调节,有,27,百分比,按需交易,市场价格,按小时结算,国务院发展研究中心,http://www.drc.gov.cn/,,
2025,6,边际定价,政府指导,固定补偿,有,23,百分比,定期交易,政府定价,按月结算,中国可再生能源网,http://www.renewableenergy.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,25,百分比,按需交易,市场价格,按日结算,中国能源报,http://www.cebnet.com/,,
2024,10,边际定价,政府指导,固定补偿,有,18,百分比,定期交易,政府定价,按月结算,全国电力调度中心,http://www.sgcc.com.cn/,,
2024,11,长期合同,固定价格,双方协商,无,30,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,12,现货市场,自由定价,由市场调节,有,22,百分比,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,1,边际定价,政府指导,固定补偿,无,28,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,2,长期合同,固定价格,双方协商,有,35,百分比,合同交易,固定价格,按季度结算,全国能源信息平台,http://www.nea.gov.cn/,,
2025,3,混合模式,混合定价,按比例分配,有,10,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源协会,http://www.creia.org.cn/,,
2024,12,现货市场,自由定价,由市场调节,无,13,百分比,按需交易,市场价格,按小时结算,中国能源研究院,http://www.ceri.east.cn/,,
2024,5,边际定价,政府指导,固定补偿,有,17,百分比,定期交易,政府定价,按月结算,电力市场监测中心,http://www.electricity.org.cn/,,
