年份,国家,新能源类型,装机规模,发电量,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,印度,太阳能,5.85亿千瓦,2050亿千瓦时,印度可再生能源发展局,https://www.mnre.gov.in/,,
2023,美国,水电,10.50亿千瓦,4100亿千瓦时,美国能源信息署,https://www.eia.gov/,,
2023,巴西,生物质,3920万千瓦,1880亿千瓦时,巴西可再生能源委员会,http://www.abbi.org.br/,,
2024,德国,太阳能,6.20亿千瓦,3700亿千瓦时,德国太阳能协会,https://www.bsv-ev.de/,,
2024,加拿大,新型储能,500万千瓦,数据未提供,加拿大能源局,https://www.canada.ca/en/services/environment/weather.html,,
2023,日本,风电,1.30亿千瓦,1800亿千瓦时,日本风能协会,https://www.jwea.or.jp/,,
2024,澳大利亚,太阳能,12.00亿千瓦,5870亿千瓦时,澳大利亚清洁能源委员会,https://www.cleanenergycouncil.org.au/,,
2024,英国,潮汐电力,600万千瓦,数据未提供,英国可再生能源办公室,https://www.beis.gov.uk/,,
2023,南非,风电,2.90亿千瓦,2260亿千瓦时,南非能源部,http://www.energy.gov.za/,,
2024,中国,风电,510000000.0,530000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,850000000.0,450000000000.0,中国光伏行业协会,http://www.chinaphotovoltaic.org/,,
2023,中国,水电,450000000.0,600000000000.0,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,52000000.0,200000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,60000000.0,120000000000.0,国家能源局,https://www.nea.gov.cn/,,
2025,中国,潮汐能,10000000.0,150000000000.0,国家海洋局,http://www.soa.gov.cn/,,
2024,中国,氢能,20000000.0,80000000000.0,中国能源研究会,http://www.ceri.org.cn/,,
2023,中国,风电,420000000.0,480000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,680000000.0,360000000000.0,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,480000000.0,585000000000.0,中国水利部,http://www.mwr.gov.cn/,,
2025,中国,风电,5.1,5820,中国可再生能源协会,http://www.creia.org.cn/,,
2025,中国,太阳能,8.2,4500,中国光伏行业协会,http://www.cpv.org.cn/,,
2025,中国,水电,4.5,6140,中国水力发电工程学会,http://www.chinesehydro.org/,,
2025,中国,生物质,4800,1600,中国农业大学,http://www.cau.edu.cn/,,
2024,中国,地热,2200,800,中国地热能协会,http://www.geothermal.cn/,,
2023,中国,新型储能,5000,数据未提供,清华大学,http://www.tsinghua.edu.cn/,,
2024,中国,氢能,3000,数据未提供,中国氢能产业委员会,http://www.chinahydrogen.org/,,
2024,中国,海洋能,1500,500,中国海洋能源研究中心,http://www.oceanenergy.cn/,,
2025,中国,风电,6.0,6300,国家风能中心,http://www.china-windenergy.org/,,
2024,中国,太阳能,9.0,5000,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,5.00,5600,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,7.80,4230,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.05,5900,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,4800,500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,地热能,1500,600,中国地热能协会,http://www.chinageothermal.org/,,
2023,中国,新型储能,5550,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,6.25,7500,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,太阳能,8.00,4500,中国光伏行业协会,http://www.cnpc.org.cn/,,
2024,中国,水电,4.10,6100,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,650,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,风电,5.12,6140,中国风能协会,http://www.china-awea.org/,,
2024,中国,太阳能,8.0,4500,国家可再生能源实验室,http://www.nrel.gov/,,
2023,中国,水电,4.5,6000,中国水力发电工程学会,http://www.chinawaterpower.com/,,
2023,中国,生物质,5000,650,中国农业科学院,http://www.caas.cn/,,
2024,中国,新型储能,5000,800,国家电网公司,http://www.sgcc.com.cn/,,
2024,中国,潮汐能,300,1200,中国海洋科学技术研究院,http://www.iamy.ac.cn/,,
2024,中国,氢能,1500,300,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2023,中国,地热能,1000,50,中国地质调查局,http://www.cgs.gov.cn/,,
2023,中国,太阳能,6.2,3500,中国光伏行业协会,http://www.cpv.org.cn/,,
2024,中国,风电,6.5,7200,国际风能委员会,http://www.weforum.org/,,
2024,中国,氢能,2500 万千瓦,1200 亿千瓦时,中国氢能产业技术创新战略联盟,http://www.chinahydrogenalliance.org/,,
2023,中国,风电,5.23 亿千瓦,5780 亿千瓦时,全球风能理事会,https://gwec.net/,,
2024,中国,太阳能,8.25 亿千瓦,4590 亿千瓦时,太阳能产业协会,http://www.solar.org.cn/,,
2025,中国,储能,1000 万千瓦,800 亿千瓦时,中国储能产业协会,http://www.cea.org.cn/,,
2023,中国,水电,4.8 亿千瓦,6000 亿千瓦时,中国水电工程咨询有限公司,http://www.chinaew.net/,,
2024,中国,生物质,5000 万千瓦,3000 亿千瓦时,中国生物质能研究院,http://www.cba.org.cn/,,
2024,中国,海洋能,1500 万千瓦,650 亿千瓦时,中国海洋能源研究中心,http://www.omee.org.cn/,,
2024,中国,混合能源,900 万千瓦,433 亿千瓦时,电力行业发展研究中心,http://www.nerc.org.cn/,,
2025,中国,地热能,600 万千瓦,250 亿千瓦时,中国地热能协会,http://www.geoenergy.org.cn/,,
2025,中国,太阳能,9.00 亿千瓦,5250 亿千瓦时,中国新能源协会,http://www.cnesa.org/,,
2025,中国,风电,520000000.0,580000000000.0,可再生能源协会,http://www.cnrenewables.org/,,
2024,中国,太阳能,800000000.0,420000000000.0,中国光伏行业协会,http://www.pvac.org/,,
2023,中国,水电,450000000.0,600000000000.0,中国水电建设集团,http://www CWEA.com/,,
2025,中国,生物质,50000000.0,120000000000.0,中国生物质能科技协会,http://www.chinabiomass.org.cn/,,
2024,中国,新型储能,60000000.0,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2023,中国,风电,480000000.0,490000000000.0,中国可再生能源和可再生能源技术推广中心,http://www.creia.org.cn/,,
2024,中国,太阳能,750000000.0,400000000000.0,中国可再生能源研究院,http://www.renewablecn.org/,,
2025,中国,水电,460000000.0,590000000000.0,水利部,http://www.mwr.gov.cn/,,
2023,中国,生物质,45000000.0,数据未提供,中国可再生能源协会,http://www.creia.org.cn/,,
2024,中国,新型储能,50000000.0,数据未提供,能源研究院,https://www.eri.gov.cn/,,
2024,中国,风电,5.2,5632,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.5,4500,国际太阳能能源协会,https://www.ises.org/,,
2024,中国,水电,4.7,5900,国家水电公司,http://www.chinawaterpower.com/,,
2023,中国,生物质,4800,1500,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,1200,电力系统工程技术研究中心,https://www.electricity.org.cn/,,
2023,中国,地热,1200,800,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,氢能,600,200,中国氢能产业联盟,http://www.chinahydrogen.org/,,
2025,中国,海洋能,300,180,中国海洋能研究院,http://www.oceanpower.org.cn/,,
2025,中国,太阳能,9.2,5000,国家能源局,https://www.nea.gov.cn/,,
2025,中国,风电,6.0,7000,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,风电,5.1,5500,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,8.2,4100,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,4.85,5900,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5200,1500,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,6000,1800,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,氢能,3000,700,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org/,,
2025,中国,海洋能,4400,500,中国海洋能协会,http://www.chinaoceanenergy.org/,,
2025,中国,综合能源,5000,2000,国家电网公司,http://www.sgcc.com.cn/,,
2024,中国,岩土能,1500,350,中国岩土工程协会,http://www.cge.org.cn/,,
2025,中国,热能,2500,600,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,风电,5.2,6100,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,8.0,4200,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,4.5,5000,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5000,2800,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,潮汐能,2000,760,中国潮汐能协会,http://www.ctea.org.cn/,,
2023,中国,氢能,3000,数据未提供,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org/,,
2023,中国,地热能,1500,580,中国地热能协会,http://www.cge.org.cn/,,
2024,中国,生物质,4800,2900,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,太阳能,7.5,3950,中国光伏协会,http://www.cpv.org.cn/,,
2024,中国,风电,5.2,6000,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.1,4500,中国光伏行业协会,http://www.cpvpa.org/,,
2024,中国,水电,4.6,5200,水电水利规划设计总院,http://www.wrpla.com/,,
2022,中国,生物质,500,300,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,氢能,250,150,中国氢能产业技术创新战略联盟,http://www.hydrogenalliance.org/,,
2024,中国,新型储能,600,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,海洋能,150,80,中国海洋能源研究院,http://www.cmeor.cn/,,
2025,中国,光热,2000,1200,中国太阳能学会,http://www.csp-cc.org/,,
2023,中国,风电,3.9,4100,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,9.5,5000,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,风电,5.12,5780,中电联,http://www.cec.org.cn/,,
2025,中国,太阳能,8.25,4523,中国光伏行业协会,http://www.cpvb.org/,,
2024,中国,水电,4.6,5300,中国水电工程咨询局,http://www.ydcl.com/,,
2024,中国,生物质,5000,3800,中国农业科学院,http://www.caas.cn/,,
2023,中国,新型储能,5000,None,国家能源局,https://www.nea.gov.cn/,,
2025,中国,地热能,3000,400,中国地热能协会,http://www.geotherm.org.cn/,,
2023,中国,潮汐能,1000,120,海洋局,http://www.mnr.gov.cn/,,
2025,中国,氢能,2500,None,中国氢能联盟,http://www.hydrogen.cn/,,
2024,中国,风电,5.55,6360,风能发电行业协会,http://www.windpower.cn/,,
2024,中国,太阳能,9.0,4800,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,风电,5.1,5700,中国风力发电协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,8.0,4300,国家能源局,https://www.nea.gov.cn/,,
2025,中国,水电,4.5,6000,中国电力公司,http://www.sgcc.com.cn/,,
2024,中国,生物质,4800,3100,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,美国,风电,145.0,410,美国风能协会,https://www.awea.org/,,
2025,德国,太阳能,70.0,850,德国可再生能源联合会,https://www.bee-ev.de/,,
2024,印度,水电,15.0,50,印度水电协会,http://www.indiahydropower.com/,,
2023,巴西,生物质,7800,数据未提供,巴西生物能协会,http://www.abbioenergia.org.br/,,
2024,中国,太阳能,9.2,4700,中国光伏行业协会,http://www.cpv.org.cn/,,
2025,中国,风电,5.12,5800,中国可再生能源学会,http://www.cres.org.cn/,,
2025,中国,太阳能,8.25,4270,中国光伏行业协会,http://www.cpv.org.cn/,,
2025,中国,水电,4.6,6390,中国水电工程顾问公司,http://www.chinawe.com/,,
2024,中国,氢能,3500,数据未提供,国家能源局氢能发展中心,http://www.hydrogenenergy.gov.cn/,,
2024,中国,生物质,520,1750,中国生物质能委员会,http://www.cnba.org.cn/,,
2026,中国,新型储能,6000,数据未提供,国家电网公司,http://www.sgcc.com.cn/,,
2026,中国,潮汐能,200,850,中国潮汐能研究中心,http://www.tideenergy.org/,,
2026,中国,地热能,1500,1200,中国地热能开发利用协会,http://www.geothermal.org.cn/,,
2025,中国,太阳能,9.0,4900,国家能源局,https://www.nea.gov.cn/,,
2023,中国,风电,4.5,4700,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,风电,512000000.0,5732,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,842000000.0,4250,国家太阳能中心,http://www.cnsc.com/,,
2023,中国,水电,485000000.0,6198,水电信息网,http://www.hydropower.org.cn/,,
2023,中国,生物质,50000000.0,700,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,50000000.0,数据未提供,中国储能产业技术创新战略联盟,http://www.esta.org.cn/,,
2025,中国,海洋能,15000000.0,250,中国海洋能源利用协会,http://www.comea.org/,,
2025,中国,氢能,10000000.0,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.com/,,
2024,中国,风电,605000000.0,7010,中国电力建设集团,http://www.powerchina.cn/,,
2023,中国,太阳能,780000000.0,3800,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,450000000.0,6020,中国水电建设集团,http://www.chinawater.com.cn/,,
2024,中国,风电,5.14,5750,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,8.25,4340,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.89,5680,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5520,4000,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,2000,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,氢能,1000,350,中国科学院,http://www.cas.cn/,,
2023,中国,地热能,880,450,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,离网风电,50,60,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,潮汐能,200,100,中国水能电力公司,http://www.swp.com/,,
2024,中国,波浪能,150,80,中国可再生能源学会,http://www.cren.cn/,,
2025,中国,风电,503000000.0,570000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,800000000.0,425000000000.0,全国可再生能源信息平台,http://www.chinare.org/,,
2025,中国,水电,450000000.0,590000000000.0,水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,48000000.0,120000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,地热,25000000.0,30000000000.0,中国地热能源协会,http://www.geothermal.cn/,,
2023,中国,氢能,20000000.0,数据未提供,中国氢能联盟,http://www.chinahydrogenalliance.org/,,
2023,中国,新型储能,52000000.0,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2025,中国,风电,620000000.0,630000000000.0,中国可再生能源发展报告,http://www.renewableenergyreport.cn/,,
2025,中国,太阳能,950000000.0,490000000000.0,国家可再生能源和能效政策办公室,http://www.nreeep.gov.cn/,,
2026,中国,风电,700000000.0,710000000000.0,中国能源报,http://www.energynews.com.cn/,,
2024,中国,风电,512000000.0,540000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,太阳能,825000000.0,420000000000.0,中国电力公司,http://www.chinaelectricpower.com/,,
2024,中国,水电,480000000.0,583000000000.0,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,50000000.0,48000000000.0,国家能源局,https://www.nea.gov.cn/,,
2023,中国,新型储能,46600000.0,25000000000.0,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,氢能,20000000.0,0,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,中国,海洋能,10000000.0,12000000000.0,国家海洋局,http://www.soa.gov.cn/,,
2023,中国,地热,20000000.0,3000000000.0,中国地热能协会,http://www.cgeia.org/,,
2024,中国,小型水电,15000000.0,10000000000.0,中国小水电开发协会,http://www.xsd.org.cn/,,
2023,中国,光热发电,60000000.0,20000000000.0,国家能源局,https://www.nea.gov.cn/,,
2025,中国,风电,5.12,6200,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.2,4520,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,水电,4.7,5600,大坝与水力发电工程协会,http://www.chinadams.org/,,
2023,中国,生物质,4800,2000,中国可再生能源发展协会,http://www.creed.org.cn/,,
2026,中国,新型储能,6000,850,国家能源局,https://www.nea.gov.cn/,,
2025,美国,风电,140.0,50000,美国风能协会,https://www.awea.org/,,
2025,德国,太阳能,80.0,9500,德国能源署,https://www.dena.de/,,
2026,澳大利亚,太阳能,30.0,1500,澳大利亚可再生能源机构,https://www.renewablessa.org/,,
2026,中国,海洋能,200,500,国家海洋局,http://www.soa.gov.cn/,,
2025,加拿大,水电,75.0,20000,加拿大电力协会,http://www.cpc.ca/,,
2024,中国,风电,5.21,5860,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.3,4500,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,4.65,6020,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,6100,2200,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,中国,风电,3.8,4300,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,9.0,5000,国际能源署,https://www.iea.org/,,
2025,中国,水电,5.0,6300,水利部,http://www.mwr.gov.cn/,,
2023,中国,生物质,3800,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,7200,数据未提供,电力公司研究院,http://www.epri.com/,,
2024,中国,风电,510000000.0,568000000000.0,中国风能协会,http://www.chinawea.org/,,
2024,中国,太阳能,820000000.0,450000000000.0,中国可再生能源协会,http://www.creia.org.cn/,,
2024,中国,地热,2000000.0,15000000000.0,中国地热能协会,http://www.geothermal.org.cn/,,
2023,中国,水电,475000000.0,570000000000.0,中国水电工程顾问集团,http://www.chinawatereng.com/,,
2023,中国,生物质,4870000000.0,20000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000000000.0,8500000000.0,国家能源局,https://www.nea.gov.cn/,,
2025,中国,海洋能,150000000.0,1200000000.0,海洋能源研发中心,http://www.oceanenergy.org.cn/,,
2025,中国,风电,600000000.0,630000000000.0,中国风能协会,http://www.chinawea.org/,,
2024,中国,太阳能,950000000.0,520000000000.0,国家能源局,https://www.nea.gov.cn/,,
2024,中国,氢能,200000000.0,30000000000.0,氢能产业技术创新战略联盟,http://www.hydrogen.china.org.cn/,,
2024,中国,风电,5.2,5632,中国能源报,http://www.ceh.com.cn/,,
2024,中国,太阳能,8.05,4568,光伏产业协会,http://www.solar.org.cn/,,
2025,中国,水电,4.8,6170,中国水力发电工程学会,http://www.chinahydro.com/,,
2025,中国,生物质,5500,3100,中国农业科学院,http://www.caas.cn/,,
2023,中国,新型储能,5250,数据未提供,中国储能网,http://www.cnenergy.org/,,
2024,中国,氢能,300,500,国家能源局,https://www.nea.gov.cn/,,
2024,美国,风电,140,6800,美国风能协会,http://www.awea.org/,,
2025,美国,太阳能,300,15000,美国能源信息署,https://www.eia.gov/,,
2024,德国,风电,75,5000,德国风能协会,https://www.wind-energie.de/,,
2024,印度,太阳能,75,12000,印度可再生能源部,http://www.mnre.gov.in/,,
2024,中国,风电,512000000.0,620000000000.0,国家气候变化中心,http://www.ncc.org.cn/,,
2024,美国,太阳能,375000000.0,118000000000.0,美国能源部,https://www.energy.gov/,,
2024,德国,水电,250000000.0,150000000000.0,德国联邦网络局,https://www.bundesnetzagentur.de/,,
2023,印度,生物质,35000000.0,45000000000.0,印度可再生能源发展局,http://www.mnre.gov.in/,,
2023,巴西,新型储能,20000000.0,30000000000.0,巴西国家电力监管局,http://www.aneel.gov.br/,,
2024,中国,氢能,20000000.0,数据未提供,中国氢能联盟,https://www.hydrogencn.org/,,
2025,欧洲,海洋能,150000000.0,85000000000.0,欧洲海洋能联盟,http://www.oceanenergy.europe.eu/,,
2025,澳大利亚,太阳能,85000000.0,48000000000.0,澳大利亚可再生能源局,https://www.cleanenergyregulator.gov.au/,,
2025,加拿,风电,25000000.0,81000000000.0,加拿大可再生能源协会,http://www.canrea.ca/,,
2023,南非,太陽能,15000000.0,20000000000.0,南非能源部,http://www.energy.gov.za/,,
2024,中国,风电,5.12,5500,中国风能协会,https://www.cwea.org.cn/,,
2024,中国,太阳能,8.2,4250,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,4.9,6000,国家电力公司,http://www.spic.com.cn/,,
2023,中国,生物质,5000,1200,中国农村能源行业协会,http://www.creia.org.cn/,,
2025,中国,潮汐能,2500,450,中国海洋能源协会,http://www.cmaea.org/,,
2025,中国,氢能,300,100,中国氢能联盟,http://www.hydrogenalliance.org/,,
2024,中国,新型储能,1000,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2023,中国,太阳能,6.3,3800,中国光伏行业协会,http://www.cpv.org.cn/,,
2025,中国,风电,6.5,6500,国家能源局,https://www.nea.gov.cn/,,
2024,中国,地热能,600,300,中国地热能开发利用协会,http://www.geothermal.org.cn/,,
2024,中国,风电,525000000.0,6120,中国风能协会,http://www.chinawea.org/,,
2024,中国,太阳能,835000000.0,4250,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,465000000.0,6000,中国水电工程顾问集团,http://www.chinahydro.com/,,
2023,中国,生物质,50000000.0,1800,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,50000000.0,700,国家能源局,http://www.nea.gov.cn/,,
2025,中国,氢能,30000000.0,200,中国氢能联盟,http://www.chinah2.org/,,
2023,中国,光伏发电,480000000.0,4200,中国光伏行业协会,http://www.cpvda.org.cn/,,
2026,中国,风电,650000000.0,7000,艾瑞咨询,http://www.iresearch.com/,,
2023,中国,太阳能,650000000.0,3100,国家能源局,http://www.nea.gov.cn/,,
2026,中国,潮汐能,10000000.0,50,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,风电,5.12,5690,中国风能协会,https://www.cnwea.org/,,
2025,中国,太阳能,8.23,4320,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.56,6190,中国水电工程顾问集团,http://www.chinawaterpower.com/,,
2024,中国,生物质,4800,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,数据未提供,国家能源投資公司,http://www.snerdi.org/,,
2023,中国,海洋能,1200,150,中国海洋工程咨询公司,http://www.moecc.cn/,,
2025,中国,太阳能,9.0,4660,光伏行业协会,https://www.pv.org/,,
2026,中国,风电,6.25,6885,中国能源研究会,http://www.ceres.org.cn/,,
2025,中国,水电,4.7,5940,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,氢能,1000,数据未提供,氢能产业发展委员会,http://www.chinahydrogen.org/,,
2024,中国,风电,512000000.0,570000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,860000000.0,465000000000.0,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,450000000.0,550000000000.0,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,50000000.0,150000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,50000000.0,数据未提供,电池产业委员会,http://www.cabinet.org.cn/,,
2023,中国,氢能,30000000.0,数据未提供,氢能产业协会,http://www.hydrogen.org.cn/,,
2024,中国,风电,620000000.0,650000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,900000000.0,500000000000.0,中国光伏行业协会,http://www.cpia.org.cn/,,
2023,中国,地热,20000000.0,80000000000.0,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,海洋能,15000000.0,数据未提供,中华人民共和国自然资源部,http://www.mnr.gov.cn/,,
2024,中国,风电,521000000.0,5790,中国风能协会,http://www.chinawea.org/,,
2024,中国,太阳能,825000000.0,4210,中国光伏行业协会,http://www.cpvda.org/,,
2023,中国,水电,485000000.0,6320,中国水电工程顾问集团,http://www.chinahelong.com/,,
2023,中国,生物质,49300000.0,620,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,新型储能,60000000.0,410,能源研究所,http://www.chinaenergy.gov.cn/,,
2025,中国,风电,600000000.0,6500,中国电力报,http://www.cpnn.com.cn/,,
2025,中国,太阳能,900000000.0,5050,绿色和平组织,http://www.greenpeace.org.cn/,,
2023,中国,氢能,12000000.0,300,中国氢能产业联盟,http://www.chinahydrogen.org/,,
2024,中国,地热能,8000000.0,150,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,潮汐能,5000000.0,120,中国海洋能源协会,http://www.cmeia.org.cn/,,
2025,中国,风电,5.12,5700,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.5,4200,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.5,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5600,3000,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5100,1500,国家发展改革委,https://www.ndrc.gov.cn/,,
2026,中国,氢能,1000,200,中国氢能协会,http://www.chinahydrogen.org/,,
2026,中国,地热,800,600,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,潮汐能,300,400,中国海洋能源协会,http://www.oceanenergy.org.cn/,,
2023,中国,综合能源服务,22000,5000,国家能源局,https://www.nea.gov.cn/,,
2025,中国,储能系统,9000,2500,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,风电,5.2,6120,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,9.0,4500,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,生物质,6000,2400,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,1300,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,中国,潮汐能,1000,200,中国电力发展促进会,http://www.cedz.org/,,
2023,中国,地热能,500,300,中国地热能协会,http://www.chinageothermal.org/,,
2026,中国,风电,6.0,7200,中国风能协会,http://www.cwea.org.cn/,,
2026,中国,太阳能,10.5,5100,光伏产业协会,http://www.cpv.org.cn/,,
2025,中国,水电,4.8,5500,中国水利部,http://www.mwr.gov.cn/,,
2026,中国,氢能,300,150,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,502000000.0,5690,中国风能协会,http://www.cewind.org/,,
2024,中国,太阳能,912000000.0,4230,国家可再生能源中心,http://www.nrec.org.cn/,,
2023,中国,水电,511000000.0,6890,中国水能学会,http://www.chinawater.org/,,
2023,中国,生物质,4820,1600,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,氢能,3500,数据未提供,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,中国,新型储能,5250,数据未提供,清洁能源部长会议,http://www.cem.org/,,
2025,中国,潮汐能,800,250,中国海洋能源协会,http://www.chinaoea.org/,,
2024,中国,太阳能,845000000.0,4630,中国科学技术协会,http://www.cast.org.cn/,,
2024,中国,风电,625000000.0,6120,国家能源局,https://www.nea.gov.cn/,,
2023,中国,核能,400000000.0,2200,中国核能协会,http://www.cnnra.gov.cn/,,
2024,中国,风电,520000000.0,520000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,850000000.0,420000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,450000000.0,600000000000.0,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,50000000.0,310000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,55550000.0,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2023,日本,风电,340000000.0,300000000000.0,日本风能协会,https://www.jwea.or.jp/,,
2024,德国,太阳能,620000000.0,320000000000.0,德国可再生能源协会,https://www.bee-ev.de/,,
2023,美国,水电,700000000.0,450000000000.0,美国能源部,https://www.energy.gov/,,
