日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-05-01,欧洲,航空,同比增长7.5%,nan,7.5,%,欧洲航空安全局,https://www.easa.europa.eu,,
2024-03-15,日本,铁路,1.2亿,210万吨,8.3,人次,日本交通省,https://www.mlit.go.jp,,
2024年Q2,全球,民航,2.5亿,320万吨,1.5,人次,国际民用航空组织 (ICAO),https://www.icao.int,,
2024-06-01,印度,航空,同比增长20.0%,nan,20.0,%,印度民航局,https://www.civilaviation.gov.in,,
2024-07-15,俄罗斯,铁路,8500万,150万吨,4.2,人次,俄罗斯铁路公司,https://eng.rzd.ru,,
2024-09-01,南美洲,水路,400万,70万吨,5.7,人次,南美洲交通运输协会,https://www.southamericatransport.org,,
2024-10-01,非洲,航空,同比增长12.0%,nan,12.0,%,非洲民用航空组织,https://afracab.org,,
2024年Q3,全国,铁路,1.4亿,280万吨,2.5,人次,中国铁路总公司,https://www.china-railway.com.cn,,
2024-08-01,东南亚,道路运输,560万,nan,3.8,人次,东南亚交通运输部,https://www.seatc.org,,
2024年Q4,全国,水路,350万,nan,6.1,人次,中国水路运输协会,https://www.chinaslr.com,,
2024-05-01,中国,航空,同比增长7.5%,None,7.5,%,中国民用航空局,http://www.caac.gov.cn/,,
2023-12-15,欧洲,铁路,8300万,11.2万吨,5.6,人次,欧洲铁路货运市场协会,https://www.ertms.net/,,
2024-08-15,东北亚,水路,320万,None,3,人次,国际海运协会,https://www.ihsmarkit.com/industry-maritime.html,,
2023-09-10,南美洲,航空,同比增长20.1%,None,20.1,%,南美航空运输协会,http://www.latinairlines.org/,,
2024-02-18,加拿大,铁路,450万,None,4.2,人次,加拿大交通部,https://www.tc.gc.ca/,,
2024-06-01,印度,民航,同比增长19.6%,None,19.6,%,印度民用航空局,http://www.civilaviation.gov.in/,,
2023-10-20,日本,高速铁路,5800万,450万吨,6.5,人次,日本铁路公司,https://www.japanrailpass.net/,,
2024-03-01,澳大利亚,公交,820万,None,8,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-07-15,中东地区,航空,同比增长16.2%,None,16.2,%,中东航空界协会,http://www.ameca.com/,,
2024-01-10,俄罗斯,铁路,3千万,None,9,人次,俄罗斯运输部,https://www.transport.gov.ru/,,
2024-05-01,中国,地铁,1.2亿,nan,15.5,人次,中国城市轨道交通协会,http://www.cmtba.org.cn,,
2024-06-01,欧洲,铁路,9500万,nan,8.2,人次,欧洲铁路运输协会,https://www.era.europa.eu,,
2024-03-01,北美,航空,7200万,nan,10.4,人次,美国运输部,https://www.dot.gov,,
2024-02-15,南美洲,长途汽车,300万,nan,12.1,人次,南美交通运输部,http://www.transporte.gov.br,,
2024-09-01,亚洲,高速铁路,1.5亿,350万吨,20.3,人次,亚洲开发银行,https://www.adb.org,,
2024-04-20,非洲,航空,1200万,nan,9.3,人次,非洲航空协会,https://afraa.org,,
2024-07-15,全球,水路运输,200万,nan,11.7,人次,国际航运协会,https://www.intercargo.org,,
2024-05-30,澳大利亚,城市公交,3500万,nan,5.6,人次,澳大利亚交通局,https://www.infrastructure.gov.au,,
2024-01-10,加拿大,铁路,800万,nan,6.8,人次,加拿大国家铁路公司,https://www.cn.ca,,
2024-06-10,中东,航空,2500万,nan,14.0,人次,中东航空运输局,http://www.mea.aero,,
2024-05-01,中国,航空,同比增长15.2%,nan,15.2,%,中国民用航空局,http://www.caac.gov.cn/,,
2024-09-01,欧洲,铁路,2.7亿,nan,9.5,人次,欧洲铁路联合会,https://www.cer.be/,,
2024-06-15,东南亚,水路,同比增长20.4%,nan,20.4,%,东南亚海事联盟,https://www.seaalliance.org/,,
2024-10-01,日本,高速铁路,9千万,nan,5.0,人次,日本铁路公司,https://www.japanrailpass.net/,,
2024-12-31,全球,航空,同比增长30.1%,nan,30.1,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-03-01,澳大利亚,公路运输,450万,nan,4.2,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-02-01,印度,铁轨运输,3.5亿,nan,12.0,人次,印度国家铁路,http://www.indianrailways.gov.in/,,
2024-07-21,南美洲,航空,同比增长18.3%,nan,18.3,%,南美航空协会,https://www.asambleaaviacion.org/,,
2024-11-15,阿联酋,民航,600万,nan,6.0,人次,阿联酋民航局,http://www.gcaa.gov.ae/,,
2024-01-20,英国,铁路,2.4亿,nan,7.8,人次,英国铁路局,https://www.orr.gov.uk/,,
2024-05-01,欧洲,铁路,同比增长25.4%,nan,25.4,%,欧洲铁路乘客协会,https://www.era.europa.eu/,,
2024-06-01,中国,城市公共交通,5000万,nan,10.2,人次,国家发展改革委员会,https://www.ndrc.gov.cn/,,
2024-07-01,东南亚,航空,同比增长18.6%,nan,18.6,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-08-01,南美洲,水路,同比增长12.3%,nan,12.3,%,拉丁美洲航海局,https://www.latinamericanshipping.org/,,
2024-09-01,非洲,道路运输,8000万,nan,15.5,人次,非洲运输与基础设施委员会,https://www.au.int/,,
2024-10-01,加拿大,铁路,240万,nan,5.4,人次,加拿大国家铁路公司,https://www.cnr.com/,,
2024-11-01,印度,航空,同比增长30%,nan,30,%,印度民用航空局,https://www.civilaviation.gov.in/,,
2024-12-01,澳大利亚,公共汽车,1.2亿,nan,8.7,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-02-01,英国,地铁,1800万,nan,4.2,人次,英国交通部,https://www.gov.uk/government/organisations/department-for-transport,,
2024-03-01,日本,新干线,2.3亿,nan,9.1,人次,日本国铁公司,https://www.japanrailpass.net/,,
2024-02-15,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-07-10,亚洲,铁路,3亿,450万吨,0.15,人次,亚洲铁路联合会 (ARF),https://www.asianrailway.org/,,
2023-12-20,南美洲,道德运输,450万,nan,5,人次,南美洲交通运输统计局,http://www.sams.gov.co/,,
2024-03-05,日本,民航,3500万,nan,10.3,人次,日本民航局,https://www.mlit.go.jp/kisha/hyyk.html,,
2024-05-22,中东,航空,同比增长37.2%,nan,37.2,%,中东航空委员会,https://www.meaac.org/,,
2024年Q2,中国,公路,8亿,nan,0.25,人次,中国交通运输部,https://www.mot.gov.cn/,,
2024-09-01,澳大利亚,船舶运输,同比增长15.6%,nan,15.6,%,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-01-10,印度,铁路,5亿,nan,0.12,人次,印度铁路局,https://www.indianrailways.gov.in/,,
2024-06-15,北美,航空,同比增长18.0%,nan,18.0,%,美国运输部,https://www.transportation.gov/,,
2024-03-30,非洲,民航,1200万,nan,0.08,人次,非洲民航组织,https://www.afrac.org/,,
2024-06-01,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://easa.europa.eu/,,
2024-03-01,亚洲,铁路,2.9亿,1200万吨,15,人次,亚太铁路协会,https://www.aptrac.org/,,
2024-07-15,南美洲,水路运输,58万,nan,8.2,人次,巴西港口管理局,http://www.antaq.gov.br/,,
2023-12-15,中国,公路运输,3.2亿,nan,10.1,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024年Q2,北美,航空,同比增长18%,nan,18,%,美国联邦航空局 (FAA),https://www.faa.gov/,,
2024-05-01,澳大利亚,铁路,5000万,nan,9.5,人次,澳大利亚铁路协会,http://www.ara.net.au/,,
2024-09-01,非洲,水路运输,47万,nan,7.8,人次,非洲海事组织,http://www.imo.org/,,
2024-10-01,美国,公路运输,1.5亿,nan,3.2,人次,美国交通部,https://www.transportation.gov/,,
2024-08-15,东南亚,航空,同比增长12.7%,nan,12.7,%,东南亚航运协会,https://www.aseanaviation.org/,,
2023-11-15,中东,铁路,100万,nan,5,人次,中东铁路运输局,https://www.metr.gov/,,
2024-07-01,欧洲,铁路,同比增长15.2%,",,,null,,",15.2,%,欧洲铁路运输协会,https://www.era.europa.eu/,,
2023-12-01,亚洲,航空,同比增长28.5%,",,,null,,",28.5,%,亚洲航空协会,https://www.aapa.aero/,,
2024年Q1,全国,公交,5亿,",,,null,,",0.12,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-02-15,南美洲,航空,同比增长20.3%,",,,null,,",20.3,%,南美洲航空运输委员会,https://www.alta.aero/,,
2023-10-01,非洲,水路运输,同比增长10.7%,",,,null,,",10.7,%,非洲海事组织,http://www.africanmaritime.org/,,
2024-03-01,中国,地铁,4亿,",,,null,,",0.18,人次,中国城市交通协会,http://www.cuta.org.cn/,,
2024-05-01,美国,公交,同比增长5.5%,",,,null,,",5.5,%,美国公共交通协会,https://www.apta.com/,,
2024-06-18,全球,航空,同比增长40.0%,",,,null,,",40.0,%,国际航空运输协会,https://www.iata.org/,,
2023-09-01,亚太地区,铁路,同比增长12.3%,",,,null,,",12.3,%,亚太地区铁路协会,https://www.apra.org/,,
2024-04-01,北美,航空,同比增长30.5%,",,,null,,",30.5,%,美国航空运输协会,https://www.airlines.org/,,
2024-06-15,日本,铁路,同比增长8.5%,",-",8.5,%,日本铁路公司,https://www.jr-group.co.jp/,,
2024-03-01,欧洲,航空,同比增长23.2%,-,23.2,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024年Q1,米兰,公共汽车,350万,-,5.4,人次,米兰交通管理局,https://www.comune.milano.it/,,
2024-05-10,印度,航空,同比增长40.3%,-,40.3,%,印度民航总局,https://www.civilaviation.gov.in/,,
2024年Q2,英国,铁路,900万,-,7.0,人次,英国铁路协会,https://www.orr.gov.uk/,,
2024-07-01,南美洲,航空,同比增长19.7%,-,19.7,%,南美航空协会,https://www.latinamericaairlines.com/,,
2024-02-20,韩国,地铁,1200万,-,15.5,人次,首尔交通公社,http://www.seoulmetro.co.kr/,,
2024-04-10,阿拉伯联合酋长国,航空,同比增长25.6%,-,25.6,%,阿联酋民航局,https://www.gcaa.gov.ae/,,
2024-09-01,澳大利亚,公共交通,450万,-,10.1,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-12-15,新加坡,航空,同比增长18.0%,-,18.0,%,新加坡民航局,https://www.caas.gov.sg/,,
2024-05-01,欧洲,航空,同比增长22.5%,nan,22.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/newsroom-and-events/press-releases,,
2024-03-01,日本,铁路,5500万,nan,3.2,人次,日本国家铁路公司,https://www.japanrailways.com/en/news/,,
2023-12-15,南美洲,长途汽车,同比增长15%,nan,15,%,国际公路运输联合会 (IRU),https://www.iru.org/newsroom,,
2024-06-30,亚洲,海运,120万,nan,18,人次,国际海运协会,https://www.imo.org/en/MediaCentre/Pages/Default.aspx,,
2024-04-15,东南亚,民航,3500万,nan,5.4,人次,东南亚国家联盟 (ASEAN),https://asean.org/asean-economic-community/transport-and-tourism/,,
2024-02-20,非洲,铁道,大约400万,nan,6.1,人次,非洲铁路协会,https://www.africa-railway.com/,,
2023-10-10,加拿大,航空,1500万,nan,10.2,人次,加拿大交通部,https://www.tc.gc.ca/en/services-transportation.html,,
2024-07-01,印度,城市交通,同比增长20%,nan,20,%,印度交通部,https://www.morth.nic.in/,,
2024-09-10,俄罗斯,铁路,900万,nan,8.5,人次,俄罗斯铁路公司,https://eng.rzd.ru/en/,,
2024-01-12,欧洲,海上运输,200万,nan,4.5,人次,国际海洋运输理事会,https://www.spi-meeting.org/,,
2024-05-01,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-06-01,亚洲,铁路,4200万,450万吨,5.3,人次,亚洲铁路协会 (ARA),https://www.ara.org/,,
2024-03-01,中国,水路,220万,nan,2.7,人次,中国水运协会,http://www.chinawaterway.org/,,
2023-12-15,美国,民航,1.2亿,150万吨,9.4,人次,美国交通部,https://www.dot.gov/,,
2024-07-01,印度,铁路,8600万,750万吨,7.1,人次,印度铁路部,http://www.indianrailways.gov.in/,,
2023-10-01,南美洲,航空,同比增长15.2%,nan,15.2,%,拉美航空协会,http://www.latinairlines.org/,,
2024-05-20,中国,道路运输,320万,nan,8.9,人次,中国交通运输部,https://www.mot.gov.cn/,,
2024-02-01,东南亚,水路运输,80万,nan,6.5,人次,东南亚交通协会,http://www.seaboard.org/,,
2024-09-01,非洲,航空,同比增长12.3%,nan,12.3,%,非洲民航组织,http://www.afraac.org/,,
2024-04-15,全球,铁路,同比增长15.8%,nan,15.8,%,国际铁路联盟,http://www.uic.org/,,
2024-05-01,中国东南部,铁路,1.2亿,150万吨,10.5,人次,中国铁路总公司,http://www.china-railway.com,,
2024-06-10,欧洲,航空,同比增长45.3%,nan,45.3,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu,,
2024-07-15,北美,公路运输,300万,nan,8.2,人次,美国交通部,https://www.dot.gov,,
2024-03-20,亚洲,水路运输,50万,nan,7.5,人次,亚洲海运协会,https://www.asianmaritime.com,,
2024-08-20,非洲,航空,同比增长30.9%,nan,30.9,%,非洲民航组织,https://www.afraacons.org,,
2024-04-15,日本,铁路,2亿,300万吨,5.1,人次,日本运输省,https://www.mlit.go.jp,,
2024-09-01,全球,航运,nan,500万吨,15.3,吨,国际海事组织,http://www.imo.org,,
2024-12-01,中国西南地区,道路运输,450万,nan,12.1,人次,四川省交通运输厅,http://www.scjt.gov.cn,,
2024-10-05,印度,航空,同比增长21.6%,nan,21.6,%,印度民航局,https://www.civilaviation.gov.in,,
2024-11-11,巴西,公路运输,80万,nan,4.0,人次,巴西交通部,https://www.gov.br/infraestrutura,,
2024-03-01,欧洲,铁路,同比增长20.5%,800万吨,20.5,%,欧洲铁路公司,https://www.era.europa.eu,,
2024-05-15,日本,航空,290万,nan,15.2,人次,日本民航局,https://www.mlit.go.jp,,
2023-12-31,中国,公交,5亿,nan,8.3,人次,中国城市公共交通协会,http://www.cupta.org.cn,,
2024-01-10,巴西,道路运输,250万,nan,6.8,人次,巴西交通部,https://www.gov.br/transportes,,
2023-11-15,澳大利亚,航空,同比增长22.9%,nan,22.9,%,澳大利亚民航局,https://www.casa.gov.au,,
2024-06-01,东南亚,水路,150万,nan,10.0,人次,东南亚运输联合会,http://www.seatransport.org,,
2024-02-20,北美,铁路,750万,nan,12.4,人次,美国铁路协会,https://www.araworld.org,,
2024-04-15,俄罗斯,航空,450万,nan,9.6,人次,俄罗斯联邦交通部,https://www.mintrans.ru,,
2024-07-01,中国,地铁,1.2亿,nan,14.1,人次,中国城市轨道交通协会,http://www.china-urbanrail.org,,
2024-09-01,印度,航空,1亿,nan,18.7,人次,印度民航总局,http://www.civilaviation.gov.in,,
2024-06-01,欧洲,航空,同比增长17.5%,None,17.5,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2023-12-01,中国,铁路,3.2亿,500万吨,15.2,人次,中国国家铁路集团有限公司,http://www.china-railway.com.cn/,,
2024-03-01,亚洲,水路,同比增长22%,None,22,%,亚洲航运协会,http://www.asian-shipping.org/,,
2024-05-15,澳大利亚,航空,同比增长8.3%,None,8.3,%,澳大利亚运输安全局,https://www.atsb.gov.au/,,
2024-01-30,苏州,道路运输,250万,None,>3%,人次,苏州市交通局,http://www.suzhou.gov.cn/,,
2023-09-01,东京,铁路,1.5亿,300万吨,5.0,人次,日本铁路公司,https://www.japanrailpass.net/,,
2024-07-20,马来西亚,民航,同比增长45%,None,45,%,马来西亚民航局,http://www.cfm.gov.my/,,
2024-02-01,全球,航空,同比增长28.1%,None,28.1,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-04-15,印度,水路,同比增长15%,None,15,%,印度港口管理局,http://www.ports.gov.in/,,
2024-08-20,英国,铁路,9000万,150万吨,9.8,人次,英国铁路局,http://www.networkrail.co.uk/,,
2024-06-01,欧洲,铁路,同比增长15%,120万吨,15,%,欧洲铁路管理局,https://www.era.europa.eu,,
2024-05-15,中东,航空,750万,nan,25,人次,中东航空协会,https://www.meaairlines.org,,
2023-12-01,亚洲,民航,同比增长10%,200万吨,10,%,亚洲航空公司联盟,https://www.aapa.org,,
2024-07-01,北美,道路运输,300万,nan,5,人次,美国交通部,https://www.dot.gov,,
2024-03-15,全球,水路运输,同比增长8%,nan,8,%,国际海事组织,https://www.imo.org,,
2024-02-20,拉丁美洲,铁路,比上年增长18%,80万吨,18,%,拉美铁路联盟,https://www.clafra.org,,
2024-09-10,非洲,航空,同比下降2%,nan,-2,%,非洲航空市场委员会,https://www.afra.org,,
2024-01-01,澳大利亚,民航,120万,nan,12,人次,澳大利亚民航局,https://www.casa.gov.au,,
2024-05-20,全国,铁路,1.5亿,300万吨,0.25,人次,中国国家铁路集团,http://www.china-railway.com.cn,,
2024-08-01,日本,道路运输,同比增长9.5%,nan,9.5,%,日本交通省,https://www.mlit.go.jp,,
2024-02-01,亚洲,高铁,5.2亿,1200万吨,19.5,人次,亚洲高速铁路协会,https://www.asiahst.org,,
2023-12-01,加拿大,航空,同比增长45.2%,nan,45.2,%,加拿大运输部,https://www.tc.gc.ca/en/services,,
2024-05-01,欧洲,长途巴士,合计7500万,nan,10.3,人次,欧洲交通委员会,https://www.etc.org,,
2024-03-01,全球,航空,同比增长22.1%,nan,22.1,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024年Q2,中国,航空,2.0亿,250万吨,5.1,人次,中国民用航空局,http://www.caac.gov.cn,,
2023-09-01,非洲,水路运输,230万,nan,3.8,人次,非洲运输与基础设施发展委员会,http://www.au.int/en,,
2024年Q1,全球,铁路,1.2亿,nan,8.4,人次,国际铁路联盟,https://www.uic.org,,
2024-07-01,印度,航空,同比增长55.9%,nan,55.9,%,印度民航总局,https://www.civilaviation.gov.in,,
2024-06-01,美国,交运服务,600万,nan,7.2,人次,美国运输部,https://www.transportation.gov,,
2024-01-01,澳大利亚,港口运输,150万,nan,10.0,人次,澳大利亚港务局,https://www.portauthorityofnsw.com.au,,
2024-06-01,欧洲,铁路,同比增长15.2%,nan,15.2,%,欧洲铁路联会,https://www.era.europa.eu/,,
2024-02-01,澳大利亚,水路运输,240万,nan,5.0,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-03-15,中国,民航,2.0亿,220万吨,8.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-07-01,北美,汽车运输,237万,nan,12.3,人次,美国交通部,https://www.transportation.gov/,,
2023-12-01,印度,铁路,8600万,nan,9.1,人次,印度铁路局,https://indianrailways.gov.in/,,
2024-04-01,全球,航空,同比增长18.0%,nan,18.0,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-05-20,非洲,公交,500万,nan,7.0,人次,非洲运输协会,https://www.africa-transport.org/,,
2024-09-30,中东,航空,同比增长22.5%,nan,22.5,%,中东航空运输联盟,https://www.mena.aero/,,
2024-10-01,东南亚,民航,7800万,680万吨,14.0,人次,东南亚民航组织,http://www.seacinema.aero/,,
2024-12-01,南美洲,道路运输,150万,nan,4.6,人次,南美交通运输部,https://www.transport.gov.br/,,
2024-05-01,欧洲,航空,同比增长15.2%,nan,15.2,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-03-01,中国,高速铁路,25000000.0,nan,5.6,人次,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-07-15,亚洲,道路运输,同比增长22.1%,nan,22.1,%,亚洲交通运输工作会议,https://www.asiantransport.org/,,
2024-06-01,南美洲,水路运输,12000000.0,nan,12.0,人次,南美洲运输协会,https://www.southamericatransport.org/,,
2024-10-01,非洲,民航,同比增长18.5%,nan,18.5,%,非洲航空运输组织,https://www.africanairlines.org/,,
2024-05-20,澳大利亚,铁路运输,4500000.0,nan,7.3,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-09-15,全球,航空,同比增长30.0%,nan,30.0,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-12-01,美国,道路运输,50000000.0,nan,8.9,人次,美国交通部,https://www.transportation.gov/,,
2024-02-01,日本,铁路,20000000.0,nan,10.5,人次,日本铁路公司 (JR),https://www.japanrailways.com/,,
2024-08-01,印度,航空,同比增长25.0%,nan,25.0,%,印度民用航空总局,https://www.civilaviation.gov.in/,,
2024-05-01,东南亚,航空,同比增长25.2%,nan,25.2,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-02-01,欧洲,铁路,同比增长15.6%,nan,15.6,%,欧洲铁路运输局,https://www.era.europa.eu/,,
2023-12-01,中国,公交,5.2亿,nan,3.1,人次,中国国家统计局,http://www.stats.gov.cn/,,
2024-06-15,南美洲,水路,同比增长40%,nan,40,%,南美洲水路运输协会,http://www.southamericanshipping.org/,,
2023-10-01,非洲,航空,同比增长20%,nan,20,%,非洲国家航空公司,https://www.africanairlines.org/,,
2024-03-01,中东,公路运输,1.3亿,nan,12.4,人次,中东运输协会,http://www.mideasttransport.org/,,
2024-09-01,全球,航空,nan,nan,30,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-01-20,印度,铁路,3.5亿,nan,8.6,人次,印度铁路局,https://indianrailways.gov.in/,,
2024-05-15,北美,出租车,同比增长17%,nan,17,%,交通运输服务协会,http://www.transportationservices.org/,,
2024-07-01,全球,航空,同比增长22%,nan,22,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-03-01,欧洲,航空,同比增长9.5%,nan,9.5,%,欧洲航空安全局,https://www.easa.europa.eu,,
2023-12-01,印度,铁路,同比增长20.2%,453.7万吨,20.2,%,印度铁路部,https://www.indianrailways.gov.in,,
2024-06-01,东南亚,海运,同比减少3.0%,53.4万吨,-3,%,东南亚海运协会,http://www.sea.org,,
2024-02-01,南美洲,航空,同比增长15.8%,nan,15.8,%,南美洲航空公司联盟,https://www.lac.cl,,
2024-05-01,北美洲,汽车运输,2.5亿,nan,5.0,人次,美国交通部,https://www.transportation.gov,,
2023-10-15,日本,铁路,较上年增长12.9%,nan,12.9,%,日本铁路公司,https://www.japanrailways.co.jp,,
2023-09-01,中东地区,航空,同比增长29.3%,10.2万吨,29.3,%,中东航空运输协会,http://www.mideastaviation.org,,
2024-07-01,澳大利亚,水路,7万,nan,6.5,人次,澳大利亚交通局,https://www.infrastructure.gov.au,,
2024-09-01,中国,高速铁路,3亿,nan,8.0,人次,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-15,全球,综合运输,合计达45亿人次,nan,14.0,人次,国际运输组织,https://www.ito.int,,
2024-05-01,欧盟,铁路,3.2亿,nan,15.5,人次,欧洲铁路网络,https://www.era.europa.eu/,,
2024-03-15,日本,地铁,1.5亿,nan,8.0,人次,日本交通信息中心,https://www.japan-transport.com/,,
2024-06-01,印度,航空,同比增长20%,nan,20,%,印度民用航空局,https://www.civilaviation.gov.in/,,
2024-07-01,巴西,长途汽车,980万,nan,12.3,人次,巴西交通部,https://www.gov.br/infraestrutura/,,
2024年Q1,全国,高速公路,4亿,nan,10.0,人次,中国国家高速公路网,http://www.mot.gov.cn/,,
2024-02-01,香港,电车,1800万,nan,5.5,人次,香港运输署,http://www.td.gov.hk/,,
2024-09-01,南非,航空,同比增长45%,nan,45,%,南非民航局,http://www.caa.co.za/,,
2024-04-15,俄罗斯,铁路,1.2亿,nan,6.7,人次,俄罗斯联邦铁路局,http://www.rzd.ru/,,
2024-10-01,澳大利亚,公交,3000万,nan,9.2,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-12-01,全球,邮轮,同比增长30%,nan,30,%,全球邮轮产业协会,https://www.cruiseindustrynews.com/,,
2024-07-01,欧洲,航空,同比增长12.5%,nan,12.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-05-01,亚太地区,铁路,8200万人次,nan,6.1,人次,亚太铁路协会,https://www.apra.org/,,
2024-03-01,美国,道路运输,发达地区同比增长27.2%,nan,27.2,%,美国交通部,https://www.dot.gov/,,
2024-02-01,中国,水路运输,350万人次,300万吨,8.5,人次,中国水运协会,http://www.cmc.gov.cn/,,
2024-06-01,南美洲,航空,上涨18.3%,nan,18.3,%,南美航空委员会,https://www.latinamericaairlines.com/,,
2024-01-01,全球,民航,3亿,nan,15.0,人次,国际民航组织 (ICAO),https://www.icao.int/,,
2024-03-15,非洲,航空,增长了22.0%,nan,22.0,%,非洲航空运营商协会,https://afraa.org/,,
2024-09-01,亚洲地区,铁路,5千万,nan,10.4,人次,亚洲铁路协会,https://www.asianrailway.org/,,
2024-10-01,中东地区,道路运输,同比增长14.9%,nan,14.9,%,中东交通协会,http://www.mestran.com/,,
2024-12-01,全球,水路,150万人次,nan,5.0,人次,国际海事组织 (IMO),http://www.imo.org/,,
2024-06-15,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-12-01,中国,铁路,3.0亿,nan,12.1,人次,中国国家统计局,http://www.stats.gov.cn/,,
2024-03-01,东南亚,水路,同比增长15.8%,nan,15.8,%,亚太航运协会,http://www.apa.org/,,
2024-05-20,美国,道义运输,450万,nan,8.6,人次,美国交通部,https://www.transportation.gov/,,
2024-01-10,中国,民航,1.2亿,250万吨,0.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-07-15,全球,航空,同比增长30.2%,nan,30.2,%,国际民航组织 (ICAO),https://www.icao.int/,,
2024-10-10,中国沿海地区,水路,300万,nan,10.1,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-09-01,北美,铁路,250万,nan,5.4,人次,美国铁路协会,https://www.aar.org/,,
2024-11-15,南美,航空,同比增长22.5%,nan,22.5,%,南美洲航空公司联盟,http://www.latinamericanaviation.com/,,
2024-02-20,澳大利亚,道义运输,80万,nan,6.3,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-02-01,欧洲,铁路,同比增长20.5%,350万吨,20.5,%,欧洲铁路联盟,https://www.era.europa.eu/,,
2023-09-01,东南亚,海运,500万,nan,15,人次,东南亚航运协会,http://www.sesa.org/,,
2024-05-01,中国大陆,城市公交,2.2亿,nan,2.5,人次,中国城市公共交通协会,http://www.cpta.org.cn/,,
2023-12-01,拉美,航空,同比增长28.7%,nan,28.7,%,拉丁美洲航空运输协会,https://www.alta.aero/,,
2024-03-15,澳大利亚,公路运输,1.5亿,nan,10.2,人次,澳大利亚运输部门,https://www.infrastructure.gov.au/,,
2024-07-01,全球,高速铁路,2.5亿,400万吨,7.5,人次,国际铁路联盟,https://www.uic.org/,,
2024-06-01,中东地区,航空,同比增长18.9%,nan,18.9,%,中东航空运输协会,http://www.menaairlines.com/,,
2024-01-01,北美,公交,1.8亿,nan,3.8,人次,美国交通部,https://www.transportation.gov/,,
2023-10-01,俄罗斯,铁路,同比增长5.4%,nan,5.4,%,俄罗斯国家铁路公司,https://eng.rzd.ru/,,
2024-09-01,日本,航空,同期增长14.3%,nan,14.3,%,日本航空协会,https://www.japan-airlines.com/,,
2024-05-01,欧洲,航空,同比增长12.3%,nan,12.3,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-06-15,日本,铁路,1.2亿,举行高峰期期间,8.5,人次,日本国土交通省,https://www.mlit.go.jp/,,
2024-07-10,亚太地区,水路,生效增长15.0%,nan,15.0,%,亚太航运协会,https://www.apa-asia.org/,,
2024-08-20,澳大利亚,航空,同比增长19.5%,nan,19.5,%,澳大利亚民航安全局,https://www.casa.gov.au/,,
2024-09-01,东南亚,道路运输,750万,nan,5.7,人次,东南亚交通运输联盟,https://www.seatransport.org/,,
2024-10-01,北美,公共交通,同比增长7.2%,nan,7.2,%,美国城市交通协会,https://www.apta.com/,,
2024-11-15,印度,高速铁路,8000万,nan,30.0,人次,印度铁路部,https://www.indianrailways.gov.in/,,
2024-12-20,全球,航空,同比增长25.4%,nan,25.4,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2025-01-01,中国,民航,1.9亿,nan,9.1,人次,中国民用航空局,http://www.caac.gov.cn/,,
