可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
高,750 Mbps,16 ms,7 ms,1,110 ms,3%,新华网,http://www.xinhuanet.com,,
中,120 Mbps,45 ms,10 ms,2,300 ms,7%,中国互联网协会,http://www.cnnic.net.cn,,
低,10 Mbps,210 ms,50 ms,6,600 ms,30%,TechCrunch,https://techcrunch.com,,
高,1.2 Gbps,8 ms,3 ms,0,50 ms,1%,网络世界,http://www.networkworld.com,,
中,500 Mbps,30 ms,12 ms,2,200 ms,6%,科技日报,http://www.stdaily.com,,
低,40 Mbps,100 ms,40 ms,4,400 ms,12%,光明网,http://www.gmw.cn,,
高,900 Mbps,25 ms,8 ms,0,130 ms,2%,清华大学通信研究所,http://www.tsinghua.edu.cn,,
中,220 Mbps,48 ms,14 ms,2,220 ms,6%,全球网络行业联盟,http://www.gnia.org,,
低,30 Mbps,110 ms,30 ms,5,500 ms,18%,未来网络,http://www.future-network.com,,
高,1.8 Gbps,12 ms,4 ms,1,80 ms,1%,数字通信网络,http://www.digitalcommunication.com,,
中,180 Mbps,40 ms,9 ms,2,220 ms,10%,IETF,https://www.ietf.org,,
低,12 Mbps,160 ms,20 ms,7,550 ms,25%,独立通信研究机构,http://www.independentcommresearch.org,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,1%,中国通信学会,https://www.china-telecom.org.cn,,
中,450 Mbps,40 ms,10 ms,2,160 ms,5%,TechCrunch,https://techcrunch.com,,
高,3 Gbps,8 ms,3 ms,1,70 ms,2%,光纤通信技术期刊,http://www.fibercommsjournal.com,,
低,30 Mbps,100 ms,20 ms,6,400 ms,15%,网络安全观察,https://www.cyberwatchmagazine.com,,
高,4.5 Gbps,7 ms,1 ms,0,50 ms,0%,中国移动,https://www.chinamobileltd.com,,
中,250 Mbps,55 ms,15 ms,4,180 ms,8%,电子工程世界,http://www.electronic-world.com,,
高,1 Gbps,16 ms,4 ms,1,90 ms,2%,全球互联网监测中心,https://www.internetmonitor.org,,
低,20 Mbps,120 ms,30 ms,8,500 ms,25%,科技日报,http://www.stdaily.com,,
高,2.2 Gbps,13 ms,3 ms,0,100 ms,1%,未来网络论坛,https://www.futurenetworkforum.org,,
中,320 Mbps,48 ms,11 ms,2,140 ms,7%,网络科技在线,https://www.nettechonline.com,,
高,1.8 Gbps,19 ms,2 ms,0,85 ms,1%,国际电信联盟,https://www.itu.int,,
低,15 Mbps,130 ms,35 ms,9,600 ms,30%,信息产业部,http://www.miit.gov.cn,,
高,3.5 Gbps,10 ms,3 ms,1,75 ms,1%,北美电信协会,https://www.nta.org,,
中,550 Mbps,27 ms,8 ms,2,135 ms,6%,华尔街日报,https://www.wsj.com,,
高,5 Gbps,6 ms,1 ms,0,40 ms,0%,科技部信息中心,http://www.mostic.gov.cn,,
中,200 Mbps,65 ms,15 ms,3,180 ms,10%,科技进步与对策,http://www.stee.gov.cn,,
高,2.5 Gbps,9 ms,2 ms,1,55 ms,1%,云计算产业发展联盟,http://www.cloudcomputing.org.cn,,
中,400 Mbps,50 ms,12 ms,4,150 ms,8%,中国网络安全技术研究中心,http://www.cncybersecurity.org,,
高,1.5 Gbps,14 ms,3 ms,1,95 ms,1%,中国互联网协会,https://www.cnia.com.cn,,
中,300 Mbps,35 ms,10 ms,2,150 ms,5%,网信网,http://www.wangxin.com,,
高,2.2 Gbps,8 ms,1 ms,0,50 ms,1%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,100 ms,30 ms,10,400 ms,25%,Telecom News,https://www.telecomnews.com,,
高,4 Gbps,11 ms,2 ms,0,75 ms,1%,中国建设银行技术研究中心,https://www.ccb.com,,
低,45 Mbps,95 ms,20 ms,6,350 ms,15%,网络安全与信息化,https://www.ncc.gov.cn,,
高,3.5 Gbps,9 ms,3 ms,1,60 ms,2%,信息产业发展研究院,https://www.iidai.org.cn,,
中,540 Mbps,20 ms,8 ms,2,120 ms,4%,移动通信技术杂志,http://www.mobilenet.org,,
高,700 Mbps,16 ms,4 ms,0,80 ms,1%,SDN Network Review,https://www.sdnetworkreview.com,,
低,30 Mbps,110 ms,26 ms,8,300 ms,20%,电子技术应用,https://www.elecfans.com,,
高,1.8 Gbps,12 ms,5 ms,1,70 ms,2%,网络科技大讲堂,http://www.netseminar.com,,
中,200 Mbps,40 ms,15 ms,3,200 ms,4%,媒体科技与信息学,http://www.mediatel.com,,
高,5.5 Gbps,8 ms,2 ms,0,55 ms,1%,Future Tech Today,https://www.futuretechtoday.com,,
中,400 Mbps,37 ms,12 ms,2,150 ms,3%,科技前沿,https://www.techfrontier.com,,
低,15 Mbps,120 ms,35 ms,9,400 ms,30%,虚拟网络科技,http://www.virtualtech.com,,
高,6 Gbps,10 ms,3 ms,1,50 ms,1%,中国网络安全审查技术与认证中心,https://www.cac.gov.cn,,
低,35 Mbps,100 ms,20 ms,4,350 ms,10%,网络发展与技术报告,http://www.netreport.com,,
高,1.2 Gbps,15 ms,5 ms,0,110 ms,2%,知乎,https://www.zhihu.com,,
中,300 Mbps,35 ms,8 ms,2,180 ms,5%,CNET,https://www.cnet.com,,
低,70 Mbps,100 ms,30 ms,6,400 ms,18%,TechCrunch,https://techcrunch.com,,
中,500 Mbps,27 ms,10 ms,1,150 ms,4%,IT之家,https://www.ithome.com,,
高,1.8 Gbps,9 ms,4 ms,0,75 ms,1%,5G World Forum,https://www.5gworldforum.com,,
高,3 Gbps,8 ms,3 ms,1,60 ms,2%,Wired,https://www.wired.com,,
低,20 Mbps,85 ms,20 ms,8,350 ms,25%,网络安全杂志,https://www.cybersecurity-magazine.com,,
中,350 Mbps,40 ms,15 ms,3,200 ms,6%,国际电信联盟,https://www.itu.int,,
高,2.5 Gbps,7 ms,2 ms,0,50 ms,1%,Engadget,https://www.engadget.com,,
中,880 Mbps,20 ms,12 ms,2,140 ms,3%,ZDNet,https://www.zdnet.com,,
低,30 Mbps,95 ms,28 ms,5,320 ms,15%,Computer Weekly,https://www.computerweekly.com,,
高,1.6 Gbps,11 ms,4 ms,0,70 ms,2%,The Verge,https://www.theverge.com,,
高,2.2 Gbps,10 ms,6 ms,0,65 ms,1%,Forbes,https://www.forbes.com,,
低,15 Mbps,100 ms,30 ms,9,450 ms,20%,Network World,https://www.networkworld.com,,
中,650 Mbps,30 ms,9 ms,2,140 ms,3%,TechRadar,https://www.techradar.com,,
高,1.3 Gbps,14 ms,5 ms,1,95 ms,2%,Android Authority,https://www.androidauthority.com,,
中,400 Mbps,25 ms,8 ms,1,125 ms,5%,PCMag,https://www.pcmag.com,,
低,40 Mbps,99 ms,22 ms,7,360 ms,12%,The Register,https://www.theregister.com,,
高,500 Mbps,20 ms,5 ms,2,100 ms,3%,PubMed Central,https://www.ncbi.nlm.nih.gov/pmc/,,
中,350 Mbps,40 ms,10 ms,1,150 ms,5%,网络工程师杂志,https://www.networkengineer.com/,,
低,70 Mbps,150 ms,40 ms,8,400 ms,25%,网络与通信论坛,https://www.networkandcommunicationforum.com/,,
高,1.5 Gbps,15 ms,4 ms,0,70 ms,1%,IEEE Communications Society,https://www.comsoc.org/,,
中,250 Mbps,30 ms,8 ms,3,200 ms,10%,Elsevier Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
高,3 Gbps,9 ms,2 ms,1,50 ms,0%,Telecommunications Journal,https://www.telecomjournal.com/,,
低,30 Mbps,200 ms,35 ms,6,500 ms,35%,Gartner Research,https://www.gartner.com/en,,
高,1.2 Gbps,18 ms,6 ms,1,80 ms,2%,Federal Communications Commission,https://www.fcc.gov/,,
中,600 Mbps,32 ms,7 ms,4,150 ms,8%,ZTE Corporation,https://www.zte.com.cn/,,
高,4 Gbps,7 ms,3 ms,1,40 ms,1%,China Mobile Communications Corporation,https://www.chinamobileltd.com/,,
低,20 Mbps,120 ms,30 ms,10,600 ms,15%,中国信息产业部,http://www.miit.gov.cn/,,
中,450 Mbps,25 ms,5 ms,2,120 ms,4%,Communications of the ACM,https://cacm.acm.org/,,
高,1.8 Gbps,13 ms,2 ms,0,70 ms,1%,Nokia Networks,https://www.nokia.com/,,
中,800 Mbps,28 ms,6 ms,3,180 ms,7%,China Telecommunications Corporation,http://www.chinatelecom-h.com/,,
高,2.5 Gbps,10 ms,5 ms,0,60 ms,1%,Vodafone Group,https://www.vodafone.com/,,
低,15 Mbps,140 ms,45 ms,7,550 ms,20%,Internet Society,https://www.internetsociety.org/,,
高,5 Gbps,8 ms,2 ms,0,30 ms,0%,5G Americas,https://www.5gamericas.org/,,
高,1.5 Gbps,16 ms,5 ms,0,120 ms,2%,中国互联网信息中心,https://www.cnnic.net.cn,,
中,300 Mbps,30 ms,6 ms,3,200 ms,5%,ICT 2023年报告,https://www.itu.int,,
高,2.2 Gbps,14 ms,4 ms,0,100 ms,1%,Photonics International,http://www.photonics.com,,
低,20 Mbps,100 ms,35 ms,8,400 ms,25%,科学日报,http://www.stdaily.com,,
低,45 Mbps,95 ms,30 ms,6,350 ms,15%,Open Signal,https://opensignal.com,,
高,5 Gbps,8 ms,2 ms,1,70 ms,1%,TechCrunch,https://techcrunch.com,,
中,450 Mbps,28 ms,7 ms,2,160 ms,4%,通信产业报,http://www.cnci.org.cn,,
高,3.5 Gbps,11 ms,3 ms,1,90 ms,2%,Networking World,https://www.networkworld.com,,
高,1.2 Gbps,19 ms,5 ms,0,85 ms,3%,CIO Magazine,https://www.cio.com,,
中,700 Mbps,27 ms,10 ms,4,150 ms,6%,TechRadar,https://www.techradar.com,,
高,4 Gbps,10 ms,3 ms,0,60 ms,1%,极客公园,https://www.geekpark.net,,
低,35 Mbps,80 ms,20 ms,6,320 ms,12%,科技日报,http://www.stdaily.com,,
高,850 Mbps,17 ms,7 ms,0,110 ms,2%,网络安全和信息化委员会,https://www.cac.gov.cn,,
中,500 Mbps,25 ms,8 ms,3,140 ms,5%,Future of Telecoms,https://www.fot.com,,
高,2 Gbps,12 ms,4 ms,0,75 ms,2%,电信与信息产业部,http://www.miit.gov.cn,,
低,15 Mbps,95 ms,32 ms,9,450 ms,30%,国际电信联盟,https://www.itu.int,,
高,1.8 Gbps,13 ms,3 ms,1,95 ms,2%,通信技术前沿,https://www.commsfront.com,,
中,200 Mbps,44 ms,15 ms,4,210 ms,7%,网络与通信研究,http://www.ncnr.org,,
高,1.5 Gbps,14 ms,3 ms,0,70 ms,2%,5G技术研究中心,https://www.5gresearch.org,,
中,300 Mbps,34 ms,10 ms,2,150 ms,4%,网络与现代通信,https://www.networkmodern.com,,
低,100 Mbps,100 ms,50 ms,15,400 ms,25%,国家互联网信息中心,https://www.cnnic.net.cn,,
高,2.5 Gbps,11 ms,2 ms,0,65 ms,1%,信息与通信技术协会,https://www.icta.org,,
中,450 Mbps,30 ms,8 ms,4,200 ms,5%,日本计算机网络研究所,https://www.japan-netresearch.org,,
低,20 Mbps,120 ms,30 ms,10,350 ms,30%,亚洲电子通讯杂志,https://www.aectjournal.org,,
高,900 Mbps,20 ms,5 ms,1,80 ms,3%,计算机网络协会,https://www.ccna.org,,
中,600 Mbps,25 ms,10 ms,5,160 ms,7%,无线通讯与媒体协会,https://www.wcma.org,,
低,75 Mbps,80 ms,20 ms,8,320 ms,15%,信息技术计划,https://www.itplan.org,,
高,1.2 Gbps,18 ms,6 ms,0,90 ms,2%,全球互联网趋势报告,https://www.globalinetrends.org,,
中,250 Mbps,35 ms,12 ms,3,220 ms,5%,中国计算机科学机构,https://www.ccsc.org.cn,,
低,30 Mbps,95 ms,25 ms,6,310 ms,18%,中国电子出版物推广中心,https://www.cepp.org.cn,,
高,3 Gbps,8 ms,2 ms,0,50 ms,0%,国际信息与通信技术研究,https://www.iict.org,,
中,550 Mbps,27 ms,11 ms,3,185 ms,6%,亚洲电信与媒体协会,https://www.atma.org,,
低,40 Mbps,110 ms,35 ms,12,360 ms,20%,信息技术与传播月刊,https://www.itjournal.org,,
高,4 Gbps,7 ms,1 ms,0,45 ms,0%,未来网络技术论坛,https://www.fntf.org,,
中,350 Mbps,38 ms,15 ms,5,210 ms,8%,国际通讯与数字技术协会,https://www.icdta.org,,
低,60 Mbps,85 ms,30 ms,9,300 ms,22%,数字时代月刊,https://www.digitalagers.com,,
高,1.8 Gbps,17 ms,4 ms,1,75 ms,2%,数字网络协会,https://www.dna.org,,
高,1.2 Gbps,15 ms,6 ms,0,90 ms,2%,网络科学研究院,http://www.networkscienceacademy.org,,
中,750 Mbps,30 ms,8 ms,2,120 ms,5%,全球互联网报告,https://www.globalinternetreport.com,,
高,500 Mbps,18 ms,4 ms,1,80 ms,2%,TechCrunch,https://www.techcrunch.com,,
低,20 Mbps,100 ms,30 ms,8,400 ms,15%,网络安全与隐私,https://www.cybersecurityprivacy.com,,
高,3 Gbps,9 ms,3 ms,0,70 ms,1%,国际电信联盟,https://www.itu.int,,
中,400 Mbps,25 ms,10 ms,2,150 ms,4%,网络发展综述,https://www.networkdevelopmentreview.com,,
低,15 Mbps,110 ms,35 ms,10,350 ms,25%,电子技术通讯,http://www.electronictechnology.com,,
高,850 Mbps,16 ms,5 ms,1,110 ms,3%,数字通信统计,https://www.digitalcommunicationstatistics.com,,
高,1.5 Gbps,12 ms,4 ms,1,85 ms,2%,现代网络会议,http://www.modernnetworkconference.com,,
中,300 Mbps,35 ms,15 ms,3,150 ms,6%,国际计算机学会,http://www.icc.org,,
低,40 Mbps,100 ms,40 ms,6,320 ms,12%,网际网络新闻网,https://www.internetnews.com,,
高,2.2 Gbps,10 ms,2 ms,0,75 ms,1%,科技日报,http://www.sciencedaily.com,,
中,600 Mbps,50 ms,20 ms,3,200 ms,5%,技术与趋势杂志,http://www.techandtrends.com,,
高,1.8 Gbps,14 ms,5 ms,0,90 ms,2%,数据通讯周刊,http://www.datacommunicationweekly.com,,
低,30 Mbps,120 ms,50 ms,7,360 ms,20%,网络与信息安全,http://www.networkandsecurity.com,,
高,4 Gbps,8 ms,3 ms,0,50 ms,1%,智能网络研究中心,http://www.smartnetworkresearch.org,,
中,350 Mbps,38 ms,11 ms,4,140 ms,3%,数字电信研究入门,http://www.digitaltelecomresearch.com,,
高,5 Gbps,7 ms,2 ms,0,40 ms,1%,科技发展报告,http://www.scienceandtechreport.com,,
高,1.2 Gbps,14 ms,5 ms,0,100 ms,1%,中国信息通信研究院,https://www.cnii.cn,,
中,350 Mbps,30 ms,8 ms,2,150 ms,4%,中国互联网协会,https://www.isc.org.cn,,
低,70 Mbps,110 ms,20 ms,6,300 ms,15%,TechCrunch,https://techcrunch.com,,
高,5 Gbps,7 ms,1 ms,0,50 ms,0%,网络和信息安全部,http://www.mii.gov.cn,,
中,400 Mbps,25 ms,10 ms,2,120 ms,5%,IEEE Network,https://www.ieee.org,,
高,3 Gbps,20 ms,4 ms,1,75 ms,2%,Gartner,https://www.gartner.com,,
低,20 Mbps,95 ms,30 ms,8,400 ms,25%,学术期刊网络,http://www.sciencedirect.com,,
高,6 Gbps,8 ms,3 ms,0,40 ms,0%,American Journal of Network Technology,http://www.networkjournal.com,,
高,2.5 Gbps,10 ms,2 ms,1,80 ms,1%,CNBC,https://www.cnbc.com,,
中,800 Mbps,35 ms,5 ms,2,200 ms,7%,CIO Magazine,https://www.cio.com,,
中,300 Mbps,50 ms,15 ms,3,180 ms,6%,Wired,https://www.wired.com,,
高,1.5 Gbps,12 ms,6 ms,0,100 ms,2%,Science Magazine,https://www.sciencemag.org,,
低,30 Mbps,105 ms,25 ms,9,350 ms,20%,Nature Communications,https://www.nature.com/ncomms,,
高,7 Gbps,6 ms,1 ms,0,30 ms,0%,Frost & Sullivan,https://www.frost.com,,
中,550 Mbps,40 ms,10 ms,4,160 ms,5%,Telecoms.com,https://www.telecoms.com,,
低,20 Mbps,120 ms,35 ms,10,400 ms,30%,Network World,https://www.networkworld.com,,
高,2 Gbps,11 ms,4 ms,1,70 ms,2%,ZDNet,https://www.zdnet.com,,
高,300 Mbps,20 ms,5 ms,0,90 ms,2%,华为技术公司,https://www.huawei.com,,
中,500 Mbps,30 ms,8 ms,2,150 ms,4%,TechCrunch,https://techcrunch.com,,
低,100 Mbps,150 ms,40 ms,6,400 ms,15%,信息月刊,https://www.informationmonthly.com,,
高,1.5 Gbps,10 ms,1 ms,0,80 ms,3%,中国电信,https://www.chinatelecom.com.cn,,
中,700 Mbps,38 ms,10 ms,1,200 ms,5%,通信世界,https://www.cww.net,,
高,2.5 Gbps,9 ms,2 ms,0,75 ms,1%,网络安全周刊,https://www.cybersecurityweekly.com,,
低,20 Mbps,100 ms,30 ms,8,350 ms,25%,国家广播电视总局,http://www.nrta.gov.cn,,
中,250 Mbps,42 ms,15 ms,4,220 ms,12%,中国互联网协会,https://www.isc.org.cn,,
高,950 Mbps,11 ms,4 ms,1,85 ms,2%,国际电信联盟,https://www.itu.int,,
低,30 Mbps,120 ms,50 ms,9,400 ms,18%,中国电子信息产业发展研究院,https://www.ccidgroup.com,,
高,1 Gbps,19 ms,7 ms,0,100 ms,1%,Coding.net,https://coding.net,,
中,450 Mbps,25 ms,8 ms,2,150 ms,7%,网络科技观察,https://www.techobservers.com,,
高,1.2 Gbps,14 ms,2 ms,1,95 ms,1%,数字通信,https://digitalcommunication.com,,
低,15 Mbps,200 ms,60 ms,10,500 ms,35%,网络安全技术研究中心,http://www.nstc.org,,
高,3 Gbps,8 ms,1 ms,0,70 ms,0%,MIT Technology Review,https://www.technologyreview.com,,
中,600 Mbps,35 ms,9 ms,3,180 ms,5%,信息产业部,http://www.miit.gov.cn,,
高,750 Mbps,16 ms,3 ms,0,85 ms,2%,中国宽带发展联盟,http://www.broadbandchina.com,,
高,1.5 Gbps,16 ms,5 ms,2,120 ms,2%,中国信息通信技术协会,https://www.citca.org.cn,,
中,400 Mbps,35 ms,10 ms,4,180 ms,5%,电信技术杂志,https://www.telecomtechjournal.com,,
高,2.3 Gbps,14 ms,3 ms,1,90 ms,1%,IEEE Transactions on Networking,https://ieeexplore.ieee.org/Xplore/home.jsp,,
高,750 Mbps,20 ms,8 ms,1,110 ms,3%,网络与通信技术会议,http://www.networkandcommunicationconference.com,,
低,100 Mbps,75 ms,20 ms,6,350 ms,15%,中国互联网协会,https://www.chinainternet.org.cn,,
中,300 Mbps,50 ms,15 ms,3,150 ms,6%,国际通信联盟,https://www.itu.int,,
高,1 Gbps,18 ms,6 ms,0,100 ms,2%,光纤网络技术协会,http://www.ofnn.org,,
低,20 Mbps,120 ms,30 ms,8,400 ms,25%,科技日报,http://www.stdaily.com,,
中,500 Mbps,30 ms,10 ms,2,160 ms,4%,中国科学技术出版社,https://www.sciencepress.cn,,
高,3 Gbps,12 ms,4 ms,1,80 ms,2%,通信世界,https://www.cww.net.cn,,
低,15 Mbps,150 ms,40 ms,9,500 ms,30%,互联网观察,http://www.互联网观察.cn,,
高,2.8 Gbps,9 ms,2 ms,1,70 ms,1%,边缘计算研究中心,http://www.edgecomputing.org,,
中,450 Mbps,40 ms,11 ms,2,140 ms,5%,先进通信技术期刊,https://www.advancedcommtechjournal.com,,
高,5 Gbps,8 ms,3 ms,0,50 ms,1%,全球宽带论坛,http://www.broadbandforum.org,,
低,30 Mbps,90 ms,20 ms,7,300 ms,20%,网络技术前沿,http://www.networktechfront.com,,
高,950 Mbps,15 ms,4 ms,1,80 ms,2%,中华电信技术大会,http://www.chinatelconference.cn,,
中,620 Mbps,25 ms,8 ms,3,160 ms,7%,网络安全杂志,https://www.cybersecurityjournal.com,,
高,1.2 Gbps,17 ms,5 ms,2,90 ms,3%,国际网络技术论坛,http://www.internationalnetworkforum.com,,
高,1.5 Gbps,20 ms,8 ms,0,150 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,500 Mbps,30 ms,10 ms,2,200 ms,4%,中国科学技术协会,https://www.cast.org.cn,,
低,20 Mbps,100 ms,30 ms,6,350 ms,15%,网络发展研究中心,http://www.netsource.gov.cn,,
高,2 Gbps,15 ms,5 ms,0,90 ms,1%,国际电信联盟,https://www.itu.int,,
中,300 Mbps,43 ms,15 ms,3,210 ms,5%,国际标准化组织,https://www.iso.org,,
低,10 Mbps,120 ms,50 ms,5,400 ms,25%,中国通信研究院,https://www.cra.gov.cn,,
高,1.8 Gbps,13 ms,3 ms,1,110 ms,2%,数字通通信,https://www.digicom.net,,
中,350 Mbps,39 ms,11 ms,2,180 ms,7%,中国信息技术研究院,http://www.citi.org.cn,,
高,2.5 Gbps,11 ms,4 ms,0,70 ms,1%,中国网络信息中心,http://www.cnnic.cn,,
低,15 Mbps,95 ms,20 ms,8,320 ms,30%,中国广播电视总台,http://www.cctv.com,,
高,2.2 Gbps,17 ms,7 ms,1,95 ms,2%,网络技术与研究,http://www.ntr.org,,
中,600 Mbps,27 ms,10 ms,3,240 ms,6%,通信世界,https://www.telecomworld.com,,
高,3 Gbps,10 ms,2 ms,0,80 ms,1%,技术前沿,https://www.techfrontier.com,,
低,5 Mbps,110 ms,35 ms,4,380 ms,20%,广电传媒中心,http://www.gdtv.com,,
高,1.2 Gbps,14 ms,3 ms,1,100 ms,2%,网络安全技术,https://www.networksecuritytech.com,,
中,280 Mbps,47 ms,12 ms,4,220 ms,8%,Gartner科技研究,https://www.gartner.com,,
高,1.9 Gbps,16 ms,4 ms,1,85 ms,2%,中国移动通信集团,https://www.chinamobileltd.com,,
中,400 Mbps,32 ms,9 ms,2,150 ms,4%,网络科技前沿,https://www.frontlineit.com,,
高,2.1 Gbps,12 ms,3 ms,0,75 ms,1%,统计局,http://www.stats.gov.cn,,
高,1.5 Gbps,20 ms,5 ms,0,120 ms,2%,中国信息通信研究院,https://www.caihongyun.org.cn,,
中,400 Mbps,30 ms,8 ms,2,150 ms,4%,网络技术与应用,https://www.networktechapp.com,,
低,35 Mbps,95 ms,20 ms,6,350 ms,15%,海外网络研究杂志,https://www.oversea-research.org,,
高,2.5 Gbps,8 ms,1 ms,1,50 ms,2%,全球互联网监测机构,https://www.globalmonitoring.com,,
中,300 Mbps,40 ms,10 ms,3,200 ms,5%,中国移动通信集团公司,https://www.chinamobileltd.com,,
低,15 Mbps,120 ms,30 ms,8,400 ms,25%,网络与通信技术展望,https://www.networktechoutlook.com,,
高,1 Gbps,15 ms,5 ms,1,70 ms,2%,国际无线网络中心,https://www.iwnc.org,,
高,3 Gbps,7 ms,2 ms,0,60 ms,1%,移动通信与网络研究所,https://www.mobilenetresearch.com,,
中,800 Mbps,25 ms,15 ms,4,110 ms,5%,信息通信高技术研究中心,https://www.icitech.org,,
低,40 Mbps,100 ms,28 ms,6,320 ms,18%,数字通信周刊,https://www.digitalmagazine.com,,
高,5 Gbps,10 ms,3 ms,1,45 ms,2%,通信管理局,https://www.cac.gov.cn,,
中,650 Mbps,35 ms,9 ms,2,180 ms,6%,科技前沿杂志,https://www.techfrontier.com,,
低,20 Mbps,110 ms,25 ms,8,350 ms,22%,科技与社会研究,https://www.techandsocietyresearch.com,,
高,6 Gbps,5 ms,1 ms,0,30 ms,1%,网络与通信标准协会,https://www.ncc.org,,
中,550 Mbps,50 ms,12 ms,2,160 ms,5%,国际网络研究中心,https://www.internetworkresearch.org,,
低,10 Mbps,130 ms,35 ms,9,400 ms,30%,网络析报,https://www.netanalysis.com,,
高,7 Gbps,4 ms,1 ms,0,25 ms,1%,安全与信息技术论坛,https://www.safetytechforum.com,,
中,750 Mbps,30 ms,10 ms,3,190 ms,7%,信息与通信研究院,https://www.icresearch.org,,
低,30 Mbps,125 ms,40 ms,7,380 ms,20%,现代通信技术,https://www.moderncommtech.com,,
高,1.5 Gbps,11 ms,3 ms,0,90 ms,1%,AnandTech,https://www.anandtech.com,,
中,700 Mbps,25 ms,8 ms,2,150 ms,4%,Frost & Sullivan,https://www.frost.com,,
低,30 Mbps,80 ms,20 ms,6,350 ms,15%,TechCrunch,https://techcrunch.com,,
高,5 Gbps,8 ms,2 ms,0,70 ms,1%,Wired,https://www.wired.com,,
中,450 Mbps,37 ms,15 ms,3,200 ms,5%,The Register,https://www.theregister.com,,
高,1.2 Gbps,16 ms,5 ms,1,100 ms,2%,CNET,https://www.cnet.com,,
中,300 Mbps,60 ms,18 ms,4,180 ms,8%,ZDNet,https://www.zdnet.com,,
低,40 Mbps,95 ms,30 ms,8,400 ms,25%,PCWorld,https://www.pcworld.com,,
高,2.5 Gbps,14 ms,6 ms,1,110 ms,2%,Network World,https://www.networkworld.com,,
低,20 Mbps,100 ms,35 ms,9,450 ms,30%,Gizmodo,https://gizmodo.com,,
高,1.8 Gbps,10 ms,2 ms,0,95 ms,1%,Forbes,https://www.forbes.com,,
中,350 Mbps,50 ms,10 ms,2,160 ms,7%,Business Insider,https://www.businessinsider.com,,
高,3.2 Gbps,9 ms,4 ms,0,85 ms,1%,Engadget,https://www.engadget.com,,
低,15 Mbps,110 ms,40 ms,10,500 ms,20%,The Verge,https://www.theverge.com,,
高,2.8 Gbps,12 ms,5 ms,0,90 ms,1%,VentureBeat,https://venturebeat.com,,
中,500 Mbps,35 ms,12 ms,3,145 ms,6%,CIO,https://www.cio.com,,
低,10 Mbps,120 ms,50 ms,12,600 ms,35%,Ars Technica,https://arstechnica.com,,
高,4 Gbps,7 ms,3 ms,1,75 ms,2%,ITProPortal,https://www.itproportal.com,,
高,950 Mbps,19 ms,7 ms,1,130 ms,3%,TechRadar,https://www.techradar.com,,
高,500 Mbps,16 ms,5 ms,2,150 ms,4%,ITU,https://www.itu.int,,
中,850 Mbps,30 ms,10 ms,3,200 ms,7%,CNET,https://www.cnet.com,,
高,1.5 Gbps,11 ms,3 ms,0,80 ms,2%,TechCrunch,https://www.techcrunch.com,,
低,60 Mbps,85 ms,20 ms,8,350 ms,15%,网络和信息安全杂志,https://www.insecjournal.com,,
高,2.5 Gbps,8 ms,2 ms,1,70 ms,1%,MIT Technology Review,https://www.technologyreview.com,,
中,700 Mbps,40 ms,15 ms,4,200 ms,5%,Gartner,https://www.gartner.com,,
高,1 Gbps,20 ms,8 ms,1,100 ms,2%,Frost & Sullivan,https://www.frost.com,,
低,30 Mbps,95 ms,30 ms,6,400 ms,25%,网络安全日报,https://www.cybersecuritydaily.com,,
高,3 Gbps,7 ms,1 ms,0,60 ms,1%,Digital Trends,https://www.digitaltrends.com,,
中,500 Mbps,35 ms,12 ms,3,150 ms,6%,The Verge,https://www.theverge.com,,
高,2 Gbps,9 ms,4 ms,1,75 ms,2%,ZDNet,https://www.zdnet.com,,
低,20 Mbps,100 ms,35 ms,10,500 ms,30%,信息技术和通信部,https://www.miit.gov.cn,,
中,350 Mbps,62 ms,18 ms,2,160 ms,3%,Science Daily,https://www.sciencedaily.com,,
高,1.2 Gbps,14 ms,6 ms,0,90 ms,2%,Medium,https://medium.com,,
中,800 Mbps,25 ms,10 ms,3,180 ms,5%,Netgear,https://www.netgear.com,,
低,15 Mbps,110 ms,28 ms,9,450 ms,22%,网络世界,https://www.networkworld.com,,
高,4 Gbps,5 ms,1 ms,0,50 ms,1%,Telecoms.com,https://www.telecoms.com,,
中,600 Mbps,38 ms,10 ms,2,175 ms,4%,Forrester,https://go.forrester.com,,
中,300 Mbps,20 ms,5 ms,2,150 ms,4%,TechRadar,https://www.techradar.com,,
高,500 Mbps,10 ms,3 ms,0,90 ms,2%,CNET,https://www.cnet.com,,
低,15 Mbps,80 ms,20 ms,5,300 ms,15%,网络中国,https://www.chinanet.com.cn,,
中,250 Mbps,35 ms,8 ms,2,200 ms,5%,分布式计算研究所,https://www.dcr.org,,
高,1.2 Gbps,14 ms,4 ms,1,50 ms,1%,科技新闻周刊,https://www.technnewsweekly.com,,
低,30 Mbps,95 ms,30 ms,8,350 ms,25%,网络观察,https://www.networkwatch.com,,
