机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
数控火焰切割机,0.1,±0.4 mm,Ra 3.8,较低,2,华中科技大学机械学院,http://www.hust.edu.cn,,
光纤激光切割机,0.02,±0.018 mm,Ra 1.5,高,6,国家技术监督局,http://www.sac.gov.cn,,
等离子切割机,0.12,±0.35 mm,Ra 5.2,中,2.2,中国机械工业联合会,https://www.cmia.org.cn,,
激光水刀切割机,0.018,±0.015 mm,Ra 0.7,高,9,工业和信息化部,https://www.miit.gov.cn,,
CO2激光切割机,0.045,±0.09 mm,Ra 2.9,中,4,国际光学学会,https://www.osa.org,,
光纤激光切割机,0.015,±0.015,Ra 1.2,高,7,国际激光加工协会,https://www.ilpa.org,,
CO2激光切割机,0.04,±0.08,Ra 2.8,中,3,中国机械工程学会,https://www.cmes.org,,
等离子切割机,0.12,±0.4,Ra 4.8,低,2,现代制造业杂志,https://www.modernmachinery.com,,
YAG激光切割机,0.025,±0.04,Ra 2.2,较高,5,国际金属加工论坛,https://www.imfmetalprocessing.com,,
激光水刀切割机,0.018,±0.02,Ra 0.9,高,6,质量技术监督局,https://www.aqsiq.gov.cn,,
数控火焰切割机,0.09,±0.45,Ra 3.0,中,3,中国金属加工技术中心,https://www.metaltech.org.cn,,
光纤激光切割机,0.008,±0.01,Ra 0.8,非常高,8,机械产业信息网,https://www.machineryinfo.org,,
CO2激光切割机,0.06,±0.09,Ra 3.0,中,4,中国自动化与仪器协会,https://www.cai.org.cn,,
等离子切割机,0.14,±0.35,Ra 4.0,较低,2,高科技制造论坛,https://www.hitechmfgforum.com,,
YAG激光切割机,0.03,±0.06,Ra 2.0,中,5,国家科学技术委员会,https://www.most.gov.cn,,
光纤激光切割机,0.01,±0.01 mm,Ra 1.2,高,7,国家科技部,https://www.most.gov.cn,,
CO2激光切割机,0.03,±0.05 mm,Ra 2.8,中,4,中国机械工业出版社,http://www.cmij.org.cn,,
等离子切割机,0.08,±0.2 mm,Ra 4.5,较低,3,中国工程院,http://www.cae.cn,,
激光水刀切割机,0.015,±0.01 mm,Ra 0.8,高,8,行业用户调查,http://www.cnindustry.net,,
YAG激光切割机,0.025,±0.03 mm,Ra 2.2,中,5,国际机械制造协会,http://www.imma.org,,
数字化激光切割机,0.005,±0.001 mm,Ra 0.5,极高,10,全国智能制造技术创新中心,http://www.simtech.org,,
数控火焰切割机,0.1,±0.4 mm,Ra 3.0,中,2,行业标准研究机构,http://www.industrystandards.org,,
光纤激光切割机,0.008,±0.005 mm,Ra 1.0,高,6,新华社,http://www.xinhuanet.com,,
低气耗激光切割机,0.04,±0.1 mm,Ra 3.7,中,3,中国机械信息网,http://www.mechinfo.net,,
激光切割机器人,0.02,±0.02 mm,Ra 1.5,高,9,自动化与仪器仪表学会,http://www.aait.org,,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,7,工业控制研究所,https://www.icris.com,,
CO2激光切割机,0.04,±0.1,Ra 2.8,中,3,中国自动化学会,https://www.caa.com.cn,,
YAG激光切割机,0.025,±0.03,Ra 2.2,高,5,国家科技部,https://www.most.gov.cn,,
等离子切割机,0.12,±0.4,Ra 4.5,中,2,中国机械工程学会,https://www.cmes.org.cn,,
激光水刀切割机,0.018,±0.01,Ra 0.8,高,8,行业测评网,https://www.emarketanalysis.com,,
数控火焰切割机,0.15,±0.6,Ra 3.0,中,3,中国制造网,https://www.made-in-china.com,,
光纤激光切割机,0.012,±0.01,Ra 1.5,极高,9,机械行业发展报告,https://www.mf-report.com,,
CO2激光切割机,0.07,±0.2,Ra 3.1,中,4,全国工业信息中心,https://www.nicc.org.cn,,
等离子切割机,0.09,±0.2,Ra 4.2,低,1,中国工业信息化网,https://www.cii.gov.cn,,
激光水刀切割机,0.03,±0.02,Ra 1.1,高,6,中国工程院,https://www.cae.cn,,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,7,中国激光产业技术创新战略联盟,https://www.clia.org.cn,,
CO2激光切割机,0.04,±0.3,Ra 2.8,中,2,电子科技大学,https://www.uestc.edu.cn,,
等离子切割机,0.05,±0.2,Ra 4.0,较高,3,中国制造业协会,https://www.cmia.org.cn,,
数控火焰切割机,0.12,±0.4,Ra 3.0,中,2,国家智能制造发展战略研究中心,https://www.smt.org.cn,,
光纤激光切割机,0.03,±0.02,Ra 1.5,高,6,中国科学院,https://www.cas.cn,,
YAG激光切割机,0.01,±0.03,Ra 2.2,中,5,机械工业出版社,https://www.cmpublishing.com,,
激光水刀切割机,0.025,±0.015,Ra 0.9,高,7,行业内刊《切割科技》,https://www.cuttingtech.org,,
水射流切割机,0.1,±0.2,Ra 3.0,中,4,全国机床工具质量监督检测中心,https://www.cmtc.gov.cn,,
激光切割机,0.02,±0.01,Ra 1.1,高,8,中国光学学会,https://www.chinaopto.org.cn,,
CO2激光切割机,0.06,±0.1,Ra 3.5,偏低,2,工信部装备工业司,https://www.miit.gov.cn,,
光纤激光切割机,0.015,±0.015 mm,Ra 1.2,高,6,中国机械科学研究院,https://www.cmri.cn,,
CO2激光切割机,0.045,±0.08 mm,Ra 3.0,中,4,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.025,±0.04 mm,Ra 2.0,高,5,赛迪顾问,https://www.ccidconsulting.com,,
等离子切割机,0.08,±0.25 mm,Ra 4.5,较低,2,中国机械设备工程股份有限公司,https://www.cmecc.com.cn,,
激光水刀切割机,0.018,±0.01 mm,Ra 0.8,高,7,中国水刀切割技术协会,https://www.waterjet.org.cn,,
数控火焰切割机,0.09,±0.4 mm,Ra 3.8,中,3,中国建材机械装备行业协会,https://www.cbmme.org.cn,,
光纤激光切割机,0.009,±0.018 mm,Ra 1.0,非常高,8,工信部装备司,https://www.miit.gov.cn,,
CO2激光切割机,0.055,±0.12 mm,Ra 2.8,中,3,国家科技部,https://www.most.gov.cn,,
YAG激光切割机,0.022,±0.06 mm,Ra 2.3,高,5,全球工程机械网,https://www.gemw.cn,,
等离子切割机,0.12,±0.35 mm,Ra 5.5,较低,2,机械制造与自动化,http://www.jxzz.com,,
