机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
超精密磨床,0.005 nm,±0.01 μm,Ra < 0.012 μm,高,6,日本机床制造商协会,https://www.jmtba.or.jp,,
激光切割机,0.009 nm,±0.014 μm,Ra < 0.002 μm,高,5.2,欧盟工业标准化组织,https://www.cen.eu,,
超精密数控铣床,0.006 nm,±0.009 μm,Ra < 0.018 μm,中,4.5,国际机床展组织,https://www.emo-hannover.de,,
水刀切割机,0.015 nm,±0.025 μm,Ra < 0.009 μm,中,3.8,美国机械工程师协会,https://www.asme.org,,
超精密电火花机,0.004 nm,±0.007 μm,Ra < 0.003 μm,高,7,国家智能制造产业技术创新战略联盟,https://www.caimit.org.cn,,
激光打标机,0.005 nm,±0.01 μm,Ra < 0.001 μm,高,5.6,国际激光协会,https://www.lia.org,,
超精密多功能机床,0.006 nm,±0.011 μm,Ra < 0.014 μm,中,4.9,工业和信息化部,https://www.miit.gov.cn,,
粉末冶金设备,0.012 nm,±0.020 μm,Ra < 0.021 μm,中,5.1,中国材料研究学会,https://www.scmr.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国科学技术协会,https://www.cast.org.cn,,
超精密磨床,0.009,±0.008 μm,Ra < 0.018 μm,中,4,国家科技部,https://www.most.gov.cn,,
超精密车床,0.003,±0.01 μm,Ra < 0.020 μm,高,5,国际机床制造商协会,https://www.imts.com,,
激光切割机,0.002,±0.012 μm,Ra < 0.004 μm,高,7,中国激光行业协会,https://www.clia.org.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.008 μm,中,3,中国机械工业研究院,http://www.cmiia.org.cn,,
超精密铣床,0.007,±0.015 μm,Ra < 0.017 μm,很高,6,国家制造业转型升级资金管理中心,http://www.nmp.gov.cn,,
超精密磨床,0.006,±0.012 μm,Ra < 0.022 μm,中,4,中国机电产品进出口商会,http://www.ccap.org.cn,,
超精密车床,0.004,±0.009 μm,Ra < 0.019 μm,高,5,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
激光切割机,0.001,±0.014 μm,Ra < 0.003 μm,高,8,中国自动化学会,http://www.icia.org.cn,,
水刀切割机,0.017,±0.026 μm,Ra < 0.007 μm,低,3,中国国际机床展览会,http://www.cimto.com,,
超精密铣床,0.008,±0.008 μm,Ra < 0.015 μm,高,6,国际机器人联合会,https://www.ifr.org,,
超精密磨床,0.007,±0.012 μm,Ra < 0.018 μm,中,4,中国制造业协会,https://www.cmmi.org.cn,,
电子束曝光机,0.005,±0.005 μm,Ra < 0.002 μm,高,8,半导体行业协会,https://www.semi.org,,
纳米级打磨机,0.001,±0.003 μm,Ra < 0.001 μm,中,2,国家纳米技术中心,https://www.nano.gov,,
超精密车床,0.004,±0.007 μm,Ra < 0.020 μm,高,5,中科院机械研究所,https://www.imech.cas.cn,,
激光切割机,0.01,±0.02 μm,Ra < 0.005 μm,高,7,中国激光行业协会,https://www.clia.org.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3,中国机械科学研究院,https://www.camsc.org,,
超精密铣床,0.006,±0.009 μm,Ra < 0.022 μm,高,5,中国先进制造技术研究院,https://www.camr.ac.cn,,
立式加工中心,0.01,±0.015 μm,Ra < 0.030 μm,高,4,国家工业机器人检验中心,https://www.robotinspection.org,,
超精密磨床,0.009,±0.005 μm,Ra < 0.015 μm,中,4,工业和信息化部,https://www.miit.gov.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,中国科学院,https://www.cas.cn,,
超精密磨床,0.006,±0.012 μm,Ra < 0.018 μm,中,4,机床工具行业协会,https://www.cmta.org.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.02 μm,高,6,国家科技部,https://www.most.gov.cn,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.007 μm,高,5,中国激光行业协会,https://www.clia.org.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.012 μm,中,3,中华人民共和国内贸部,https://www.mofcom.gov.cn,,
超精密电火花机,0.003,±0.005 μm,Ra < 0.004 μm,高,8,国家电子技术标准化委员会,https://www.semi.org.cn,,
超精密钻床,0.007,±0.006 μm,Ra < 0.011 μm,中,4,中国机电产品进出口商会,https://www.ccpits.org.cn,,
超精密打磨机,0.002,±0.003 μm,Ra < 0.002 μm,高,5,中国先进制造技术研究院,https://www.camt.ac.cn,,
超精密电铣床,0.0005,±0.004 μm,Ra < 0.001 μm,高,9,国家标准局,https://www.sac.gov.cn,,
超精密喷涂机,0.01,±0.02 μm,Ra < 0.03 μm,中,3,中国喷涂行业协会,https://www.cpia.org.cn,,
超精密铣床,0.0023,±0.005 μm,Ra < 0.012 μm,中,4,国家科学技术部,https://www.most.gov.cn,,
超精密磨床,0.005,±0.01 μm,Ra < 0.015 μm,高,5,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密车床,0.003,±0.006 μm,Ra < 0.01 μm,高,7,国家机械工业信息中心,https://www.mii.gov.cn,,
激光切割机,0.01,±0.008 μm,Ra < 0.004 μm,高,6,中国国家标准院,https://www.sac.gov.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.02 μm,中,3,工业和信息化部,https://www.miit.gov.cn,,
超精密铣床,0.001,±0.003 μm,Ra < 0.008 μm,高,6,中国质量认证中心,https://www.cqc.com.cn,,
超精密磨床,0.004,±0.01 μm,Ra < 0.02 μm,中,4,中国机械工程学会,https://www.cmes.org,,
超精密车床,0.002,±0.007 μm,Ra < 0.009 μm,高,5,国家发改委,https://www.ndrc.gov.cn,,
激光切割机,0.008,±0.015 μm,Ra < 0.003 μm,高,8,工信部,https://www.miit.gov.cn,,
水刀切割机,0.012,±0.025 μm,Ra < 0.027 μm,低,2,中国科研院所,https://www.cra.gov.cn,,
超精密铣床,0.008,±0.012,Ra < 0.018,高,6,中国机床工具工业协会,https://www.cmtma.org.cn,,
超精密磨床,0.007,±0.015,Ra < 0.022,中,4,中国制造业协会,https://www.cmf.org.cn,,
超精密车床,0.004,±0.009,Ra < 0.02,高,5,中国科学技术协会,https://www.cast.org.cn,,
电火花加工机,0.01,±0.02,Ra < 0.03,高,7,国家科学技术部,https://www.most.gov.cn,,
多轴加工中心,0.005,±0.013,Ra < 0.015,中,5,中国机械工程学会,https://www.cmes.org,,
超精密激光切割机,0.003,±0.008,Ra < 0.002,高,8,国际切割技术协会,https://www.icta.org,,
线切割机,0.006,±0.012,Ra < 0.02,中,4,中国航天科技集团,https://www.casic.com,,
超精密水刀切割机,0.02,±0.02,Ra < 0.014,中,3,中国科学院,https://www.cas.cn,,
超声波加工机,0.009,±0.01,Ra < 0.03,高,6,中国电子技术标准化研究院,https://www.cesi.ac.cn,,
组合机床,0.015,±0.018,Ra < 0.025,中,4,中国机械工业研究院,https://www.cami.org.cn,,
超精密电火花机,0.008,±0.005 μm,Ra < 0.015 μm,高,4,中国机电产品进出口商会,https://www.cccmec.org.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.021 μm,中,3,中国科学院,https://www.cas.cn,,
激光切割机,0.01,±0.002 μm,Ra < 0.004 μm,高,8,国家工业信息安全发展研究中心,https://www.iisi.org.cn,,
超精密铣床,0.009,±0.007 μm,Ra < 0.018 μm,高,5,中国工程院,https://www.cae.cn,,
水刀切割机,0.015,±0.03 μm,Ra < 0.01 μm,中,3,机械工业出版社,https://www.mei.gov.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.024 μm,高,6,中国机械工程学会,https://www.cmes.org.cn,,
超精密激光切割机,0.005,±0.001 μm,Ra < 0.003 μm,高,7,国家科技部,https://www.most.gov.cn,,
超精密组合机床,0.01,±0.009 μm,Ra < 0.02 μm,中,4,中国工艺美术协会,https://www.chinaart.org.cn,,
超精密陶瓷切割机,0.012,±0.006 μm,Ra < 0.006 μm,高,6,中国自动化学会,https://www.caas.org.cn,,
超精密激光铣削机,0.006,±0.004 μm,Ra < 0.02 μm,高,5,中国光电产业协会,https://www.cpiea.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.018 μm,高,7,中国机械制造业协会,https://www.cmma.org.cn,,
超精密车床,0.004,±0.01 μm,Ra < 0.02 μm,中,4,工业和信息化部,https://www.miit.gov.cn,,
超精密磨床,0.009,±0.015 μm,Ra < 0.022 μm,高,6,国家质量监督管理局,https://www.aqsiq.gov.cn,,
水刀切割机,0.02,±0.035 μm,Ra < 0.008 μm,中,3,国际精密机床协会,https://www.ipma.org,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,5,中国激光技术学会,https://www.clas.org.cn,,
电火花机床,0.01,±0.02 μm,Ra < 0.015 μm,低,2,科学技术部,https://www.most.gov.cn,,
超精密铣床,0.005,±0.008 μm,Ra < 0.03 μm,高,8,中国自动化学会,https://www.caa.org.cn,,
超精密激光切割机,0.006,±0.01 μm,Ra < 0.012 μm,高,7,中科院,https://www.cas.cn,,
水刀切割机,0.03,±0.04 μm,Ra < 0.02 μm,中,3,机械工程学会,https://www.cmes.org,,
超精密车床,0.002,±0.005 μm,Ra < 0.01 μm,高,9,中国国家标准化管理委员会,https://www.sac.gov.cn,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,高,6,中国工程院,https://www.cae.cn,,
超精密磨床,0.007,±0.012 μm,Ra < 0.018 μm,中,4,全国机械科技发展基金,https://www.nmtf.org.cn,,
超精密车床,0.003,±0.008 μm,Ra < 0.02 μm,高,7,国家科技部,https://www.most.gov.cn,,
激光切割机,0.002,±0.01 μm,Ra < 0.004 μm,极高,8,中国制造业信息化发展报告,https://www.miit.gov.cn,,
水刀切割机,0.015,±0.02 μm,Ra < 0.03 μm,中,3,中国机械工程学会,https://www.cmes.org,,
超精密激光刻蚀机,0.001,±0.005 μm,Ra < 0.002 μm,高,9,中国科学院,https://www.cas.cn,,
超精密镗床,0.006,±0.007 μm,Ra < 0.028 μm,高,5,中国工业协会,https://www.cnia.org.cn,,
超精密电火花机,0.004,±0.009 μm,Ra < 0.012 μm,中,4,国家知识产权局,https://www.cnipa.gov.cn,,
精密齿轮加工机,0.008,±0.006 μm,Ra < 0.02 μm,高,5,上海市机械制造协会,https://www.ssmia.org.cn,,
超精密三坐标测量机,0.009,±0.004 μm,Ra < 0.001 μm,高,6,全国质量监督与检验中心,https://www.cqm.org.cn,,
