弹簧类型,弹簧刚度,弹簧外径,自由长度,内径,弹簧材料,极限载荷,采集来源,来源链接,采集时间,备注【疑问汇总】
圆柱形压缩弹簧,140,18,105,8,不锈钢,290,中国机械学会,cmes.org.cn,,
双锥形压缩弹簧,220,28,130,18,青铜,480,国际标准化组织,iso.org,,
扭转弹簧,110,16,75,7,镀锌钢,230,中国工程院,cae.cn,,
不锈钢压缩气弹簧,125,32,140,22,不锈钢,360,中国气动技术协会,cpta.org.cn,,
微型压缩弹簧,90,6,45,4,特殊合金钢,120,中国标准化研究院,cnis.gov.cn,,
精细模具压缩弹簧,180,20,85,9,合金钢,310,中国塑料加工工业协会,cpia.org.cn,,
高温压缩弹簧,200,25,140,15,高温合金,400,中国高温材料协会,cthm.org.cn,,
压缩弹簧,130,21,95,11,弹簧钢,270,中国机械工程学报,cmesjournal.org.cn,,
仿生压缩弹簧,150,24,115,13,高强度钢,340,中国生物工程学会,cbe.org.cn,,
圆柱形压缩弹簧,180,22,110,12,锰钛弹簧钢,320,中国制造业协会,cmia.org.cn,,
锥形压缩弹簧,220,28,130,18,高碳弹簧钢,450,中国工业设计协会,cidi.org.cn,,
压力气弹簧,200,35,160,25,铝合金,380,中国机电产品流通协会,china-mechanical.org,,
微型压缩弹簧,90,6,45,2,不锈钢,90,中国电子材料行业协会,cema.org.cn,,
圆柱形压缩弹簧,160,18,105,8,硅钼弹簧钢,320,四川省机械工程学会,sichuan-jem.com.cn,,
扭转弹簧,120,12,75,4,镍铬钢,230,上海金属加工协会,shmca.com.cn,,
立式压缩弹簧,130,24,140,14,弹簧专用钢,360,福建国防科技学院,fjdka.edu.cn,,
重型压缩弹簧,250,40,180,30,合金钢,600,中国重型机械协会,cmha.org.cn,,
小型压缩弹簧,70,5,30,2,镀锌钢,80,中国轻工业联合会,cpla.org.cn,,
圆形压缩弹簧,90,15,95,10,热处理钢,150,北京科技大学,ustb.edu.cn,,
多段压缩弹簧,180,28,110,12,不锈钢,320,中国机械设计协会,cmda.org.cn,,
圆柱形压缩弹簧,160,22,90,11,合金弹簧钢,310,国家认证认可监督管理委员会,cnca.gov.cn,,
拉伸弹簧,140,14,70,6,低碳弹簧钢,180,国家质量监督检验检疫总局,aqsiq.gov.cn,,
椭圆形压缩弹簧,175,26,95,14,铬钒弹簧钢,390,中国能源研究会,cer.org.cn,,
微型圓柱形压缩弹簧,85,6,45,2,不锈钢,95,国家标准化管理委员会,sac.gov.cn,,
紧凑型压缩弹簧,220,24,130,16,高强度合金钢,450,中国航空工业协会,caac.org.cn,,
波纹形压缩弹簧,130,18,60,8,镍钴合金,150,中国材料研究协会,cims.org.cn,,
双层压缩弹簧,190,32,140,18,高碳弹簧钢,480,中国机械工程学会,cmes.org.cn,,
大直径压缩弹簧,300,50,180,30,合金弹簧钢,600,中国船舶重工集团,csic.com.cn,,
塑料压缩弹簧,75,12,55,4,聚合物,80,中国塑料协会,cpa.org.cn,,
扭转压缩弹簧,90,18,75,6,铝合金,200,中国机械制造行业协会,cmma.org.cn,,
锥形压缩弹簧,240,28,130,12,镍铬合金,480,华南理工大学材料科学与工程,scut.edu.cn,,
精密微型弹簧,70,10,40,4,不锈钢,90,中国微型机械协会,cmma.org.cn,,
板式压缩弹簧,180,35,150,25,高强度钢,420,机械工业信息研究院,miit.gov.cn,,
塑料压缩弹簧,60,15,60,8,聚合物复合材料,80,中国塑料加工工业协会,cpia.org.cn,,
圆柱形压缩弹簧,130,22,110,14,碳钢,320,国家矿山安全监察局,nmsa.gov.cn,,
高温压缩弹簧,210,27,125,17,镍基合金,500,中国航空材料研究院,camr.ac.cn,,
阿基米德压缩弹簧,300,38,160,30,钛合金,600,中国国防科技大学,nudt.edu.cn,,
防锈压缩弹簧,110,20,85,10,铝锌涂层钢,220,中国防腐蚀科技协会,cps.org.cn,,
高强度气弹簧,250,32,140,18,合金钢,490,中国气体动力协会,cgda.org.cn,,
圆柱形压缩弹簧,180,22,110,12,高碳钢,320,中国材料研究学会,csmr.org.cn,,
锥形压缩弹簧,250,28,140,18,高级铝合金,450,中国机械材料学会,cmm.org.cn,,
拉伸弹簧,90,12,70,4,不锈钢,150,全国机械工程师协会,nme.org.cn,,
微型压缩弹簧,75,6,40,2,镍铬合金,80,国际压缩弹簧协会,icss.org,,
多圈压缩弹簧,220,35,160,25,铬钼钢,500,中国机械工程协会,cme.org.cn,,
气体弹簧,130,40,180,30,复合材料,300,中国气动自动化协会,cnautomation.org.cn,,
扭转弹簧,110,10,65,6,高强度钢,200,国家机械标准化委员会,nbmc.gov.cn,,
金属箔弹簧,160,18,90,10,钛合金,360,中国科技大学,ustc.edu.cn,,
精密压缩弹簧,210,32,150,20,优质不锈钢,480,亚洲机械工程学会,amec.org,,
变形压缩弹簧,140,26,130,16,铝锌合金,300,中国试验机协会,testmachinery.org.cn,,
圆柱形压缩弹簧,180,22,110,12,钨合金,320,国际弹簧协会,ispa.org,,
螺旋形压缩弹簧,220,28,140,18,镍钼合金钢,450,中国机械工业联合会,cmif.org.cn,,
平面压缩弹簧,75,35,60,25,碳钢,200,国家工程机械标准化技术委员会,cmtc.org.cn,,
无缝圆柱形压缩弹簧,140,23,130,13,不锈弹簧钢,310,中国材料研究学会,cmrs.org.cn,,
高温压缩弹簧,160,24,150,14,高温合金,340,中国高温材料技术研究院,ctmri.org.cn,,
涡卷压缩弹簧,130,19,90,11,硅锰合金钢,280,中国机械工程科学研究院,cmri.ac.cn,,
汽车减震压缩弹簧,250,27,170,16,铬硼合金,500,中国汽车工程学会,csae.org.cn,,
工业用压缩弹簧,90,16,70,6,弹簧钢,150,国际制造工程标准化组织,imso.org,,
特种压缩弹簧,300,34,200,22,钛合金,600,中国航空学会,csae.org.cn,,
电动工具压缩弹簧,110,18,85,8,合金钢,210,中国电动工具工业协会,ceia.org.cn,,
圆柱形压缩弹簧,180,22,110,12,铬镍钢,320,中国材料研究协会,csmr.org.cn,,
平面压缩弹簧,90,50,40,30,弹性铝合金,150,国际振动与声学研究中心,ivsa-center.org,,
圆锥形压缩弹簧,250,28,140,18,钛合金,500,中国航空航天科技集团公司,casc.cn,,
微型压缩弹簧,70,7,55,2,不锈钢,90,中国精密机械研究所,cpmi.org.cn,,
扭转弹簧,130,16,85,6,弹簧钢,200,机械工程与技术杂志,jmet.org,,
压缩气弹簧,160,35,120,25,塑料复合材料,400,中国气动设备网,cdn.com.cn,,
变径压缩弹簧,175,24,130,13,高碳弹簧钢,360,中国工程院,cae.cn,,
复合材料压缩弹簧,210,26,125,17,玻璃纤维,450,新材料发展协会,nmda.org.cn,,
圆形压缩弹簧,140,23,115,14,铝合金,290,国家标准化技术委员会,sac.gov.cn,,
高温压缩弹簧,200,40,160,20,耐高温钢,600,中国特种材料协会,ctma.org.cn,,
圆柱形压缩弹簧,180,22,110,12,高碳弹簧钢,320,中国机械制造协会,cma.org.cn,,
圆锥形压缩弹簧,250,28,130,18,合金弹簧钢,450,中国机电产品进出口商会,cccme.org.cn,,
扭转弹簧,110,17,75,6,锰钢,260,中国制造业信息化服务平台,cmiif.com,,
压缩气弹簧,130,32,160,22,铝合金,370,中国气动与液压协会,cnhydraulic.org,,
微型压缩弹簧,90,9,55,4,不锈钢,120,中国电子元件协会,ceca.org.cn,,
减震压缩弹簧,140,35,190,25,特殊合金钢,380,阳光汽车联合会,sunshineauto.org.cn,,
波形压缩弹簧,95,12,70,7,高镍合金,150,中国航空制造协会,cama.org.cn,,
立式压缩弹簧,170,40,140,30,钛合金,420,中国机械研究设计院,cmri.cn,,
扁平压缩弹簧,160,20,85,10,碳铬合金钢,310,中国工程机械学会,cem.org.cn,,
支撑压缩弹簧,135,27,145,17,合金钢,390,国家标准化管理委员会,sac.gov.cn,,
