企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注【疑问汇总】
Anritsu,1 kHz - 3 GHz,10 mV - 20 V,±25 V,内置,±0.005%,美国国家标准技术研究所 (NIST),nist.gov,,
Yokogawa,1 Hz - 2 GHz,50 mV - 10 V,±5 V,外部,±0.01%,日本计量研究所 (NMIJ),nmic.go.jp,,
B&K Precision,10 Hz - 100 MHz,100 mV - 15 V,±18 V,内置,±0.03%,英国国家物理实验室 (NPL),npl.co.uk,,
Teledyne LeCroy,10 kHz - 1 GHz,1 mV - 12 V,±14 V,外部,±0.02%,加拿大标准协会 (CSA),csagroup.org,,
Papre,100 Hz - 500 MHz,10 mV - 25 V,±10 V,内置,±0.04%,印度标准局 (BIS),bis.gov.in,,
Chroma ATE,1 kHz - 1.5 GHz,100 mV - 10 V,±20 V,外部,±0.01%,欧洲计量局 (EURAM),euram.eu,,
Hewlett-Packard,10 kHz - 500 MHz,1 mV - 10 V,±5 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,,
Advantest,100 Hz - 1 GHz,100 mV - 8 V,±15 V,外部,±0.03%,德意志技术与标准研究所 (PTB),ptb.de,,
Rohde & Schwarz,100 kHz - 1.5 GHz,10 mV - 12 V,±12 V,内置,±0.01%,德国技术监督局 (TÜV),tuv.com,,
Tektronix,10 Hz - 2 GHz,200 mV - 20 V,±25 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
National Instruments,1 kHz - 1 GHz,50 mV - 5 V,±10 V,内置,±0.02%,国家标准与技术研究院 (NIST),nist.gov,,
Anritsu,500 Hz - 3 GHz,1 mV - 15 V,±18 V,外部,±0.005%,日本产业标准化组织 (JISC),jisc.go.jp,,
Yokogawa,1 kHz - 1 GHz,10 mV - 10 V,±10 V,内置,±0.02%,国际测量协会 (IMEKO),imeko.org,,
B&K Precision,100 Hz - 600 MHz,5 mV - 14 V,±5 V,外部,±0.03%,电气和电子工程师协会 (IEEE),ieee.org,,
Omega Engineering,1 Hz - 1.2 GHz,1 mV - 9 V,±8 V,内置,±0.025%,国际标准化组织(ISO),iso.org,,
Vishay,1 kHz - 600 MHz,50 mV - 10 V,±12 V,外部,±0.02%,欧洲计量局 (Euramet),euramet.org,,
Advantest,10 Hz - 1 GHz,200 mV - 20 V,±15 V,内置,±0.02%,中国合格评定国家认可委员会 (CNAS),cnas.org.cn,,
Keithley Instruments,10 Hz - 500 MHz,1 mV - 5 V,±10 V,外部,±0.01%,美国国家标准与技术局 (NIST),nist.gov,,
Rohde & Schwarz,1 kHz - 2 GHz,1 mV - 20 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Spectris,10 Hz - 1 MHz,100 mV - 18 V,±8 V,外部,±0.025%,英国计量院 (NPL),npl.co.uk,,
Tektronix,100 Hz - 800 MHz,10 mV - 25 V,±25 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Keysight,1 Hz - 3 GHz,50 mV - 12 V,±10 V,外部,±0.01%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,1 kHz - 1.5 GHz,200 mV - 30 V,±9 V,内置,±0.03%,美国材料与试验协会 (ASTM),astm.org,,
Advantest,1 kHz - 2.5 GHz,5 mV - 15 V,±5 V,内置,±0.018%,日本电子电气工程师学会 (IEEE Japan),ieee-japan.org,,
Hewlett Packard,10 Hz - 2 GHz,250 mV - 16 V,±20 V,外部,±0.02%,美国国家科学基金会 (NSF),nsf.gov,,
Chroma ATE,100 Hz - 1.2 GHz,1 mV - 10 V,±30 V,内置,±0.035%,台湾国家实验研究院 (NARLabs),narlabs.org.tw,,
Savant,10 kHz - 2 GHz,500 mV - 20 V,±18 V,内置,±0.02%,印度标准局 (BIS),bis.gov.in,,
Nelco,1 Hz - 500 MHz,10 mV - 11 V,±12 V,外部,±0.025%,新加坡科技部 (MOT),mot.gov.sg,,
Rohde & Schwarz,1 Hz - 2 GHz,1 mV - 12 V,±25 V,外部,±0.01%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,10 Hz - 1.5 GHz,100 mV - 8 V,±12 V,内置,±0.05%,国际标准化组织 (ISO),iso.org,,
Chroma ATE,10 kHz - 500 MHz,10 mV - 25 V,±30 V,外部,±0.02%,中国计量科学研究院,nims.cmti.cn,,
Teledyne LeCroy,1 kHz - 1 GHz,200 mV - 5 V,±20 V,内置,±0.03%,日本电子性能评估中心 (Jill),jeec.org,,
Anritsu,50 Hz - 3 GHz,1 mV - 10 V,±15 V,外部,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Flir Systems,100 Hz - 500 MHz,5 mV - 10 V,±10 V,内置,±0.04%,加拿大环境与气候变化部 (ECCC),canada.ca/eccc,,
Keysight Technologies,1 Hz - 6 GHz,50 mV - 10 V,±12 V,外部,±0.02%,韩国工业标准与技术院 (KATS),kats.go.kr,,
Yokogawa,10 Hz - 1.2 GHz,100 mV - 20 V,±18 V,内置,±0.03%,新加坡工程和工业部 (MND),mnd.gov.sg,,
National Instruments,100 Hz - 3 GHz,1 mV - 15 V,±10 V,外部,±0.015%,德国计量院 (PTB),ptb.de,,
Oscilloscope Innovations,1 kHz - 400 MHz,10 mV - 10 V,±5 V,内置,±0.02%,国际测量与检测协会 (IMDA),imda.org,,
Rohde & Schwarz,10 Hz - 1.5 GHz,100 μV - 15 V,±12 V,外部,±0.015%,德国环境署 (UBA),uba.de,,
Chroma,1 mHz - 500 MHz,1 mV - 5 V,±30 V,内置,±0.025%,国际电工委员会 (IEC),iec.ch,,
Advantest,100 Hz - 1 GHz,10 mV - 20 V,±8 V,外部,±0.018%,日本日科技监测局,ntech.go.jp,,
National Instruments,1 kHz - 3 GHz,500 μV - 10 V,±20 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
B&K Precision,50 Hz - 200 MHz,5 mV - 100 V,±25 V,外部,±0.04%,美国国家安全局 (NSA),nsa.gov,,
Anritsu,1 Hz - 1.5 GHz,100 mV - 1 V,±15 V,内置,±0.03%,国际电信联盟 (ITU),itu.int,,
Yokogawa,10 Hz - 2 GHz,100 μV - 5 V,±10 V,内置,±0.01%,日本消费品安全委员会 (CPSC),cpsc.gov,,
GW Instek,1 kHz - 500 MHz,1 mV - 50 V,±12 V,外部,±0.035%,台湾经济部,moea.gov.tw,,
OscilloscopePro,1 Hz - 1 GHz,10 mV - 30 V,±18 V,内置,±0.022%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Teledyne LeCroy,10 kHz - 1.2 GHz,1 mV - 25 V,±14 V,外部,±0.012%,美国航天局 (NASA),nasa.gov,,
Rohde & Schwarz,100 kHz - 3 GHz,1 mV - 25 V,±12 V,内置,±0.015%,德国电气电子工程师学会 (IEEE),ieee.org,,
Tektronix,1 Hz - 1 GHz,500 mV - 8 V,±25 V,外部,±0.025%,国际电工委员会 (IEC),iec.ch,,
Anritsu,10 Hz - 2 GHz,1 mV - 30 V,±8 V,内置,±0.018%,日本工业标准调查会 (JISC),jisc.go.jp,,
B&K Precision,100 Hz - 300 MHz,10 mV - 12 V,±10 V,外部,±0.02%,美国国家标准技术研究所 (NIST),nist.gov,,
Chroma,1 kHz - 200 MHz,100 mV - 20 V,±5 V,内置,±0.03%,中国电子技术标准化研究院 (CESI),cesi.cn,,
Global Communication,100 kHz - 1 GHz,5 mV - 15 V,±7 V,外部,±0.02%,国际检验局 (ILAC),ilac.org,,
Ametek,10 Hz - 500 MHz,1 mV - 25 V,±20 V,内置,±0.01%,国际电气标准组织 (IECEE),iecee.org,,
Fluke,1 kHz - 2.5 GHz,100 mV - 50 V,±18 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,,
Keysight Technologies,1 Hz - 1 GHz,10 mV - 10 V,±3 V,内置,±0.012%,环境保护署 (EPA),epa.gov,,
Hameg Instruments,10 kHz - 700 MHz,500 mV - 5 V,±15 V,外部,±0.027%,国际标准化组织 (ISO),iso.org,,
Rohde & Schwarz,1 Hz - 2.5 GHz,0.1 mV - 25 V,±12 V,内置,±0.015%,德国电气和电子工程师协会 (IEEE),ieee.org,,
Chroma,10 Hz - 1.5 GHz,5 mV - 30 V,±10 V,外部,±0.03%,国际电工委员会 (IEC),iec.ch,,
Yokogawa,1 kHz - 200 MHz,1 mV - 12 V,±8 V,内置,±0.04%,国际标准化组织 (ISO),iso.org,,
B&K Precision,50 Hz - 1 GHz,2 mV - 20 V,±5 V,外部,±0.02%,日本电子信息技术产业协会 (JEITA),jeita.or.jp,,
Testo,10 Hz - 500 MHz,0.5 mV - 5 V,±10 V,内置,±0.025%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Advantest,100 kHz - 2 GHz,3 mV - 15 V,±20 V,外部,±0.01%,美国国家标准技术研究所 (NIST),nist.gov,,
TekWave,1 Hz - 1 GHz,10 mV - 10 V,±12 V,内置,±0.03%,国际电信联盟 (ITU),itu.int,,
NI (National Instruments),1 kHz - 1.8 GHz,1 mV - 50 V,±25 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,,
SRS (Stanford Research Systems),1 Hz - 1 GHz,0.1 mV - 20 V,±6 V,内置,±0.018%,欧洲标准化委员会 (CEN),cen.eu,,
Keithley,10 Hz - 1.2 GHz,0.2 mV - 12 V,±15 V,外部,±0.016%,国际电子技术委员会 (IECQ),iecq.org,,
Rohde & Schwarz,9 kHz - 3 GHz,200 mV - 12 V,±12 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,100 Hz - 1 GHz,50 mV - 8 V,±6 V,外部,±0.05%,美国国家标准与技术研究院 (NIST),nist.gov,,
Hewlett Packard,1 kHz - 250 MHz,10 mV - 25 V,±10 V,内置,±0.02%,美国电气与电子工程师协会 (IEEE),ieee.org,,
Yokogawa,1 Hz - 3 MHz,500 mV - 10 V,±5 V,外部,±0.03%,日本质量保证机构 (JQA),jqa.jp,,
Chroma,10 Hz - 500 MHz,100 mV - 15 V,±20 V,内置,±0.02%,中国国家市场监管总局,samr.gov.cn,,
Advantest,10 kHz - 1.5 GHz,1 mV - 20 V,±15 V,外部,±0.01%,日本工业标准化协会 (JISC),jisc.go.jp,,
National Instruments,10 Hz - 600 MHz,200 mV - 30 V,±25 V,内置,±0.03%,美国国家安全局 (NSA),nsa.gov,,
Anritsu,100 kHz - 1 MHz,10 mV - 12 V,±8 V,外部,±0.02%,韩国质量认证服务 (KTL),ktl.re.kr,,
Tektronix,1 Hz - 1 GHz,50 mV - 10 V,±5 V,内置,±0.04%,国际电信联盟 (ITU),itu.int,,
Ono Sokki,1 kHz - 750 MHz,1 mV - 20 V,±18 V,外部,±0.03%,日本电气安全环境技术协会 (JET),jet.or.jp,,
Rohde & Schwarz,10 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.015%,日本经济产业省 (METI),meti.go.jp,,
Nantong B&T,100 Hz - 300 MHz,100 mV - 8 V,±8 V,外部,±0.05%,中国国家市场监督管理总局,samr.gov.cn,,
Chroma ATE,1 kHz - 1.5 GHz,10 mV - 20 V,±25 V,内置,±0.02%,台湾经济部,moea.gov.tw,,
Anritsu,50 Hz - 600 MHz,10 mV - 10 V,±5 V,外部,±0.01%,美国电气和电子工程师协会 (IEEE),ieee.org,,
Tektronix,1 kHz - 500 MHz,200 mV - 5 V,±10 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
Texas Instruments,10 Hz - 1.2 GHz,1 mV - 15 V,±18 V,外部,±0.015%,美国国家标准与技术研究院 (NIST),nist.gov,,
Yokogawa,1 kHz - 700 MHz,50 mV - 25 V,±20 V,内置,±0.03%,德国电气工程师协会 (VDE),vde.com,,
Korea Precision Engineering,100 Hz - 1.5 GHz,5 mV - 10 V,±6 V,外部,±0.025%,韩国科学技术信息通讯部 (MSIT),msit.go.kr,,
Fluke,1 kHz - 1.2 GHz,500 mV - 5 V,±12 V,内置,±0.02%,新加坡环境局 (NEA),nea.gov.sg,,
MTS System,10 Hz - 500 MHz,1 mV - 9 V,±15 V,外部,±0.04%,印度国家标准局 (BIS),bis.gov.in,,
Rohde & Schwarz,100 Hz - 3 GHz,10 mV - 5 V,±10 V,内置,±0.015%,德国联邦网络局,bnetza.de,,
Tektronix,10 Hz - 2 GHz,50 mV - 12 V,±12 V,外部,±0.025%,英国电气与电子工程师学会 (IEEE),ieee.org,,
National Instruments,1 kHz - 1 GHz,100 μV - 20 V,±5 V,内置,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Advantest,10 Hz - 10 MHz,5 mV - 25 V,±8 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 kHz - 1.5 GHz,1 mV - 15 V,±10 V,内置,±0.03%,日本经济产业省 (METI),meti.go.jp,,
B&K Precision,1 Hz - 200 MHz,200 μV - 10 V,±20 V,外部,±0.02%,美国环境保护局 (EPA),epa.gov,,
Anritsu,10 kHz - 1.8 GHz,50 mV - 30 V,±10 V,内置,±0.012%,亚洲电信标准化组织 (ASTAP),astap.org,,
Testo,100 Hz - 5 MHz,1 mV - 10 V,±15 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,,
Flir Systems,1 Hz - 1 GHz,200 mV - 1 V,±8 V,内置,±0.05%,国际电器工程师协会 (IEEE),ieee.org,,
Hameg Instruments,1 kHz - 1 MHz,10 mV - 40 V,±20 V,外部,±0.02%,德国机构标准化协会 (DIN),din.de,,
Rohde & Schwarz,10 Hz - 2 GHz,1 mV - 15 V,±12 V,内置,±0.015%,日本电子信息技术综合研究所 (AIST),aist.go.jp,,
B&K Precision,1 kHz - 1.5 GHz,500 mV - 20 V,±10 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
Chroma ATE,1 Hz - 1 GHz,100 mV - 12 V,±25 V,内置,±0.025%,中国计量科学研究院 (NIM),nim.ac.cn,,
Anritsu,100 Hz - 2.5 GHz,10 mV - 10 V,±8 V,外部,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Test Equipment Connection Corporation,1 kHz - 800 MHz,10 mV - 25 V,±18 V,内置,±0.03%,工程师协会 (IEE),iee.org,,
Teledyne LeCroy,10 Hz - 3 GHz,100 mV - 30 V,±10 V,外部,±0.018%,加拿大标准协会 (CSA),csa.ca,,
Ono Sokki,100 Hz - 1.2 GHz,50 mV - 15 V,±20 V,内置,±0.02%,阿根廷国家质量标准机构 (IRAM),iram.org.ar,,
Advantest,1 kHz - 1.8 GHz,1 mV - 5 V,±15 V,外部,±0.012%,印度国家计量局 (NPLI),nplindia.org,,
HIOKI,100 Hz - 1.7 GHz,200 mV - 12 V,±6 V,内置,±0.014%,德国电气和电子工程师协会 (VDE),vde.com,,
Solartron Metrology,10 Hz - 900 MHz,5 mV - 10 V,±10 V,外部,±0.02%,世界标准组织 (ISO),iso.org,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 5 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Tektronix,100 kHz - 1.5 GHz,1 mV - 8 V,±25 V,外部,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma,1 Hz - 500 kHz,100 mV - 10 V,±8 V,内置,±0.03%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,,
HIOKI,10 Hz - 2 MHz,5 mV - 20 V,±20 V,外部,±0.02%,日本电气安全环境研究所 (JET),jet.or.jp,,
Fluke,1 kHz - 100 MHz,500 mV - 15 V,±10 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Keysight,1 Hz - 3 GHz,10 mV - 10 V,±30 V,外部,±0.005%,美国环境保护署 (EPA),epa.gov,,
Agilent,100 kHz - 1 GHz,10 mV - 12 V,±5 V,内置,±0.015%,日本标准协会 (JSA),jsa.or.jp,,
National Instruments,50 Hz - 800 MHz,1 mV - 25 V,±15 V,外部,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
B&K Precision,1 kHz - 1 GHz,100 mV - 10 V,±10 V,内置,±0.02%,国际电信联盟 (ITU),itu.int,,
Unity,100 Hz - 400 MHz,50 mV - 12 V,±5 V,外部,±0.03%,中国计量科学研究院 (NIM),nim.ac.cn,,
Rohde & Schwarz,10 Hz - 3 GHz,1 mV - 25 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Anritsu,100 Hz - 2 GHz,100 mV - 20 V,±8 V,内置,±0.025%,日本工业标准调查机构,jisc.go.jp,,
Advantest,1 kHz - 1.5 GHz,10 mV - 30 V,±20 V,外部,±0.01%,国际半导体设备与材料协会 (SEMI),semi.org,,
Chroma,10 Hz - 800 MHz,10 mV - 12 V,±5 V,内置,±0.03%,中国国家标准化管理委员会,sac.gov.cn,,
B&K Precision,100 Hz - 1 GHz,1 mV - 15 V,±10 V,外部,±0.02%,德国电气电子工程师协会 (VDE),vde.com,,
Hameg Instruments,10 Hz - 500 MHz,50 mV - 10 V,±5 V,内置,±0.01%,美国材料与试验协会 (ASTM),astm.org,,
MetaSystem,1 kHz - 2 MHz,500 mV - 8 V,±7 V,外部,±0.04%,法国标准化协会 (AFNOR),afnor.org,,
Extech Instruments,1 Hz - 1 GHz,100 mV - 5 V,±10 V,内置,±0.05%,国家标准与技术研究所 (NIST),nist.gov,,
Ono Sokki,100 Hz - 1 GHz,1 mV - 25 V,±12 V,外部,±0.02%,英国标准协会 (BSI),bsigroup.com,,
Metrel,10 Hz - 600 MHz,1 mV - 10 V,±15 V,内置,±0.03%,欧盟标准化委员会 (CEN),cen.eu,,
Rohde & Schwarz,100 Hz - 1 GHz,10 mV - 5 V,±25 V,内置,±0.01%,德国标准化协会 (DIN),din.de,,
Chroma,1 kHz - 500 MHz,100 mV - 12 V,±30 V,外部,±0.02%,台湾标准检验局,bsmi.gov.tw,,
Klein Tools,10 Hz - 2 GHz,5 mV - 20 V,±10 V,内置,±0.05%,国际电工委员会 (IEC),iec.ch,,
Texas Instruments,10 Hz - 10 MHz,1 mV - 16 V,±12 V,外部,±0.03%,美国国家标准协会 (ANSI),ansi.org,,
Advantest,1 kHz - 1.5 GHz,100 mV - 25 V,±20 V,内置,±0.02%,日本计量标准研究所,nmi.go.jp,,
Tektronix,1 Hz - 800 MHz,50 mV - 8 V,±5 V,外部,±0.04%,加拿大标准委员会 (SCC),scc.ca,,
Anritsu,10 Hz - 1.2 GHz,200 mV - 30 V,±15 V,外部,±0.03%,印度国家测量局,nmi.gov.in,,
Keysight,100 Hz - 1.5 GHz,20 mV - 10 V,±18 V,内置,±0.01%,英国标准协会 (BSI),bsi.global,,
B&K Precision,1 kHz - 500 MHz,100 mV - 50 V,±10 V,外部,±0.02%,澳大利亚标准委员会,standards.org.au,,
Fluke,50 Hz - 1 GHz,150 mV - 24 V,±10 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,,
Rohde & Schwarz,10 Hz - 2 GHz,50 mV - 10 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
ZES ZIMMER,100 kHz - 1.2 GHz,1 mV - 5 V,±8 V,内置,±0.02%,德国电气电子工程师学会 (VDE),vde.com,,
LCR Electronics,1 Hz - 2 MHz,10 mV - 1 V,±5 V,外部,±0.03%,电气与电子工程师协会 (IEEE),ieee.org,,
Chroma,1 kHz - 2.5 MHz,0.1 mV - 30 V,±10 V,内置,±0.025%,台湾质量技术研究院 (ITRI),itri.org.tw,,
Yokogawa,10 Hz - 3 GHz,50 mV - 20 V,±20 V,外部,±0.01%,日本国家标准研究院 (NMIJ),nmi.go.jp,,
Tektronix,10 Hz - 1.5 GHz,100 mV - 25 V,±15 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Agilent,1 kHz - 1 GHz,20 mV - 15 V,±10 V,外部,±0.01%,荷兰国家计量院 (VSL),vsl.nl,,
Anritsu,100 Hz - 2 GHz,1 mV - 12 V,±10 V,外部,±0.03%,英国国家物理实验室 (NPL),npl.co.uk,,
Fluke,100 kHz - 800 MHz,10 mV - 10 V,±5 V,内置,±0.02%,亚洲计量组织 (APMP),apmp.org,,
TestEquity,10 Hz - 1 GHz,50 mV - 5 V,±5 V,外部,±0.02%,国际测试与测量协会 (ITMA),itma.org,,
Rohde & Schwarz,10 Hz - 1.5 GHz,100 mV - 12 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Chroma,100 Hz - 1.2 GHz,200 mV - 20 V,±8 V,内置,±0.025%,中国计量科学研究院,nims.sinano.ac.cn,,
Brian C. Fong LLC,1 kHz - 800 MHz,50 mV - 5 V,±20 V,内置,±0.03%,美国国家标准与技术研究院 (NIST),nist.gov,,
Agilent Technologies,10 Hz - 500 MHz,1 mV - 15 V,±15 V,外部,±0.018%,日本计量协会 (JCS),jcss.go.jp,,
Yokogawa Electric Corporation,1 Hz - 900 MHz,200 mV - 10 V,±10 V,内置,±0.02%,国际测量组织 (ISO),iso.org,,
Spectrum Instrumentation,1 kHz - 2 GHz,10 mV - 30 V,±5 V,外部,±0.01%,德国计量学会 (DGKM),dgkm.org,,
National Instruments,100 Hz - 400 MHz,100 mV - 25 V,±18 V,内置,±0.015%,英国国家物理实验室 (NPL),npl.co.uk,,
Keithley Instruments,10 Hz - 1.2 GHz,1 mV - 50 V,±15 V,外部,±0.02%,亚太电力公司 (APEC),apec.org,,
Tektronix,10 Hz - 1.8 GHz,500 mV - 22 V,±25 V,内置,±0.005%,中国电子科技集团公司 (CETC),cectc.com,,
Fluke Calibration,100 Hz - 1 GHz,100 mV - 28 V,±10 V,外部,±0.02%,美国宇航局 (NASA),nasa.gov,,
Rohde & Schwarz,9 kHz - 1.5 GHz,0.1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Shimadzu,100 Hz - 1 GHz,1 mV - 25 V,±10 V,外部,±0.02%,日本工业标准调查会 (JISC),jisc.go.jp,,
Tektronix,10 Hz - 2 GHz,500 mV - 20 V,±25 V,内置,±0.015%,美国国家标准与技术局 (NIST),nist.gov,,
Agilent,100 kHz - 750 MHz,10 mV - 30 V,±5 V,外部,±0.03%,加拿大标准协会 (CSA),csagroup.org,,
Chroma,1 kHz - 800 MHz,100 mV - 10 V,±15 V,内置,±0.02%,中国质量认证中心 (CQC),cqc.com.cn,,
B&K Precision,10 Hz - 200 MHz,50 mV - 5 V,±5 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
Fluke,1 Hz - 1.5 MHz,100 mV - 12 V,±10 V,外部,±0.025%,香港标准及检定中心 (HKCAS),hkcab.org,,
Keysight,10 Hz - 2.5 GHz,1 mV - 15 V,±20 V,内置,±0.01%,英国国家物理实验室 (NPL),npl.co.uk,,
Anritsu,5 kHz - 3 GHz,0.1 mV - 18 V,±12 V,外部,±0.02%,新加坡科技研究局 (A*STAR),astar.edu.sg,,
HIOKI,1 kHz - 1 GHz,1 mV - 10 V,±30 V,内置,±0.03%,新西兰标准局 (Standards New Zealand),standards.govt.nz,,
Rohde & Schwarz,500 Hz - 2 GHz,200 mV - 12 V,±12 V,内置,±0.015%,德国电气电子工程师协会 (VDE),vde.com,,
Spectran,1 kHz - 800 MHz,100 mV - 8 V,±8 V,外部,±0.025%,国防科技大学,nudt.edu.cn,,
Yokogawa,50 Hz - 1.5 GHz,150 mV - 18 V,±25 V,内置,±0.018%,日本国家生産技術研究所 (NIST),nistec.nist.go.jp,,
Eppendorf,2 Hz - 200 MHz,10 mV - 5 V,±3 V,外部,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
National Instruments,1 Hz - 1 GHz,50 mV - 11 V,±20 V,外部,±0.02%,美国家电协会 (AHAM),aham.org,,
Anritsu,10 Hz - 1.2 GHz,500 mV - 7 V,±18 V,内置,±0.022%,韩国工业技术院 (KITECH),kitech.re.kr,,
Meilhaus,0.1 Hz - 300 MHz,1 mV - 9 V,±7 V,外部,±0.03%,瑞士联邦材料测试与研究院 (EMPA),empa.ch,,
Chroma,10 Hz - 600 MHz,800 mV - 15 V,±22 V,内置,±0.012%,中国电子科技集团公司 (CETC),cetcc.com.cn,,
Kikusui,100 Hz - 500 MHz,200 mV - 10 V,±10 V,外部,±0.02%,新加坡科技与设计大学 (SUTD),sutd.edu.sg,,
HIOKI,1 Hz - 2 GHz,150 mV - 16 V,±17 V,内置,±0.02%,香港标准及检定中心 (HKSTC),hkstc.gov.hk,,
Rohde & Schwarz,10 Hz - 3 GHz,100 μV - 10 V,±25 V,外部,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Tektronix,20 Hz - 2 GHz,10 mV - 8 V,±12 V,内置,±0.03%,日本工业标准调查会 (JIS),jis.go.jp,,
Anritsu,100 kHz - 5 GHz,1 mV - 15 V,±30 V,外部,±0.02%,日本化学品安全协会 (JCAP),jcap.or.jp,,
National Instruments,1 Hz - 1 GHz,500 μV - 12 V,±10 V,内置,±0.04%,美国国家标准技术研究院 (NIST),nist.gov,,
Agilent,10 Hz - 1.5 GHz,100 mV - 20 V,±15 V,外部,±0.02%,英国家电制造商协会 (GAMB),gamb.org.uk,,
Chroma,50 kHz - 1 GHz,200 mV - 5 V,±8 V,内置,±0.01%,台湾经济部 (MOEA),moea.gov.tw,,
Hioki,100 Hz - 1.5 GHz,10 mV - 25 V,±20 V,外部,±0.02%,澳大利亚科学技术部 (DOSTE),doste.gov.au,,
Yokogawa,1 Hz - 800 MHz,50 mV - 16 V,±5 V,内置,±0.03%,日本测量研究所 (NMIJ),nmij.go.jp,,
Keysight,100 Hz - 2 GHz,5 mV - 18 V,±50 V,外部,±0.02%,瑞士联邦实验室 (METAS),metas.ch,,
Fluke,10 Hz - 10 MHz,200 mV - 30 V,±10 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Rohde & Schwarz,10 Hz - 4 GHz,1 mV - 15 V,±12 V,外部,±0.01%,德国联邦电力局 (BNetzA),bnetza.de,,
Anritsu,100 kHz - 2 GHz,10 mV - 12 V,±5 V,内置,±0.02%,日本消费品安全委员会,cpsc.go.jp,,
Yokogawa,1 kHz - 1 GHz,100 mV - 25 V,±8 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 Hz - 1 MHz,50 mV - 10 V,±20 V,外部,±0.03%,台湾经济部标准检验局,bsmi.gov.tw,,
B&K Precision,10 Hz - 200 MHz,5 mV - 18 V,±10 V,内置,±0.025%,国际标准化组织 (ISO),iso.org,,
Ametek,1 kHz - 3 GHz,1 mV - 20 V,±15 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,,
Spectrum Instruments,100 Hz - 1 GHz,100 mV - 30 V,±25 V,内置,±0.04%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Advantest,1 kHz - 1.5 GHz,10 mV - 14 V,±7 V,外部,±0.018%,日本工业标准调查会 (JISC),jisc.go.jp,,
Oscilloscope Tech,1 Hz - 500 MHz,500 mV - 8 V,±12 V,内置,±0.03%,英国标准协会 (BSI),bsigroup.com,,
Tektronix,100 Hz - 600 MHz,100 mV - 10 V,±10 V,外部,±0.022%,美国国家标准与技术研究所 (NIST),nist.gov,,
