批准文号/注册证号（字符型）,人工智能系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,是否通过一致性（字符型）,人工智能系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
AI-038-2023,智能健身教练系统,V1.0,FitTime,2023-10-11,FitTime科技,FitTime科技,是,健康与健身,体育经济网,http://www.sportseconomy.com,2024-10-11,,,,,,,,
AI-077-2023,健康监测机器人,V1.0,华为,2023-07-15,华为医疗,华为医疗,是,医疗健康,China AI Times,http://www.chinaaitimes.com/,2024-10-11,,,,,,,,
AI-056-2023,智慧城市解决方案,V1.2,阿里巴巴,2023-08-02,阿里云,阿里云,是,城市管理,TechNode,https://technode.com/,2024-10-11,,,,,,,,
AI-134-2023,智能农业规划系统,V1.1,京东,2023-06-20,京东农业,京东农业,是,农业,AI Daily,https://www.aidaily.com/,2024-10-11,,,,,,,,
AI-089-2023,个性化学习推荐系统,V1.0,网易,2023-05-30,网易教育,网易教育,是,教育行业,Education Today,https://www.educationtoday.com/,2024-10-11,,,,,,,,
AI-011-2023,健康饮食助手,V2.0,美团,2023-09-05,美团健康,美团健康,是,健康生活,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-003-2023,儿童学习助手,V1.0,讯飞,2023-10-01,讯飞教育,讯飞教育,否,教育行业,EduTech Forum,https://www.edutechforum.com/,2024-10-11,,,,,,,,
AI-007-2023,自动化财务分析系统,V1.3,腾讯,2023-08-15,腾讯财经,腾讯财经,是,金融服务,Financial Times,https://www.ft.com/,2024-10-11,,,,,,,,
AI-012-2023,网络安全监测系统,V1.0,360安全科技,2023-08-25,360网络安全,360网络安全,是,网络安全,Cyber Security Review,https://www.cyberreview.com/,2024-10-11,,,,,,,,
AI-015-2023,智慧旅游管理系统,V1.0,携程,2023-09-20,携程旅游,携程旅游,是,旅游服务,Travel Weekly,https://www.travelweekly.com/,2024-10-11,,,,,,,,
AI-020-2023,电商营销助手,V1.0,拼多多,2023-06-30,拼多多科技,拼多多科技,是,电子商务,Retail Dive,https://www.retaildive.com/,2024-10-11,,,,,,,,
AI-025-2023,智能健康监测系统,V1.1,华为,2023-06-15,华为健康,华为健康,是,医疗健康,新华网,https://www.xinhuanet.com/,2024-10-11,,,,,,,,
AI-029-2023,城市环境监测AI,V1.2,阿里巴巴,2023-08-10,阿里环境,阿里环境,是,环境保护,环境保护部,http://www.mee.gov.cn/,2024-10-11,,,,,,,,
AI-035-2023,智能金融分析系统,V1.3,蚂蚁集团,2023-07-20,蚂蚁金融,蚂蚁金融,是,金融服务,凤凰网,https://www.ifeng.com/,2024-10-11,,,,,,,,
AI-040-2023,个性化推荐系统,V2.1,京东,2023-09-05,京东智链,京东智链,是,电商服务,亿邦动力网,https://www.ebrun.com/,2024-10-11,,,,,,,,
AI-045-2023,AI人才招聘助手,V1.0,51Job,2023-02-28,五十一区人才,五十一区人才,是,人力资源,猎云网,https://www.lieyunwang.com/,2024-10-11,,,,,,,,
AI-012-2023,智能法律顾问系统,V1.1,法大大,2023-10-01,法大大法律科技,法大大法律科技,是,法律服务,法律网,http://www.legalinfo.gov.cn/,2024-10-11,,,,,,,,
AI-074-2023,健康饮食建议系统,V1.2,美团,2023-03-15,美团健康科技,美团健康科技,是,饮食健康,网易健康,https://health.163.com/,2024-10-11,,,,,,,,
AI-039-2023,智能城市规划系统,V1.0,中软国际,2023-04-22,中软城市,中软国际,是,城市管理,IT之家,https://www.ithome.com/,2024-10-11,,,,,,,,
AI-056-2023,AI病理诊断系统,V1.0,卫宁健康,2023-05-30,卫宁医疗,卫宁医疗,是,医疗健康,科技日报,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-083-2023,AI情绪分析系统,V1.0,腾讯,2023-09-30,腾讯云,腾讯云,是,社交媒体,搜狐科技,https://www.sohu.com/,2024-10-11,,,,,,,,
AI-027-2023,智能病历记录系统,V1.0,阿里健康,2023-08-15,阿里健康科技,阿里健康科技,是,医疗健康,医疗信息网,https://www.medinfo.cn/,2024-10-11,,,,,,,,
AI-091-2023,智能财务分析系统,V2.0,腾讯财经,2023-09-05,腾讯科技,腾讯科技,是,金融服务,Zhihu,https://www.zhihu.com/,2024-10-11,,,,,,,,
AI-045-2023,智能情感分析平台,V1.0,字节跳动,2023-07-25,字节跳动科技,字节跳动科技,是,社交媒体,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-065-2023,个性化推荐系统,V1.1,京东,2023-10-02,京东商城,京东商城,是,电子商务,百度学术,https://xueshu.baidu.com/,2024-10-11,,,,,,,,
AI-018-2023,智能物流调度系统,V2.0,顺丰科技,2023-06-20,顺丰控股,顺丰控股,是,物流运输,物流技术网,https://www.logistics-tech.com/,2024-10-11,,,,,,,,
AI-003-2023,远程医疗监测系统,V1.0,华为健康,2023-08-30,华为技术,华为技术,是,医疗健康,科技日报,https://www.stdaily.com/,2024-10-11,,,,,,,,
AI-007-2023,智能家居管理系统,V1.2,海尔,2023-09-15,海尔科技,海尔科技,是,家居生活,家电网,https://www.homeappliances.com/,2024-10-11,,,,,,,,
AI-012-2023,智能教育评估平台,V2.0,网易教育,2023-11-05,网易科技,网易科技,是,教育行业,知乎,https://www.zhihu.com/,2024-10-11,,,,,,,,
AI-019-2023,智能网络安全防护系统,V1.3,360安全科技,2023-12-01,360企业安全,360企业安全,是,网络安全,网络安全周刊,https://www.securityweekly.com/,2024-10-11,,,,,,,,
AI-024-2023,人工智能写作助手,V1.1,小红书,2023-10-20,小红书科技,小红书科技,是,内容创作,互联网趋势网,https://www.techtrends.com/,2024-10-11,,,,,,,,
AI-036-2023,智能医疗影像诊断,V1.0,阿里健康,2023-02-20,阿里健康科技,阿里健康科技,是,医疗健康,医药魔方,https://pharma.aliyun.com,2024-10-11,,,,,,,,
AI-042-2023,智能推广与营销助手,V1.0,腾讯广告,2023-03-15,腾讯数字,腾讯数字,是,市场营销,梅花网,https://www.meihua.info,2024-10-11,,,,,,,,
AI-055-2023,区块链安全审计AI,V1.1,火币科技,2023-04-25,火币区块链,火币区块链,否,网络安全,区块链日报,https://www.blockchainnews.com,2024-10-11,,,,,,,,
AI-061-2023,知识产权AI助手,V1.0,智法科技,2023-05-10,智法科技有限公司,智法科技有限公司,是,法律服务,知识产权公众号,https://www.ipr.gov.cn,2024-10-11,,,,,,,,
AI-078-2023,在线心理咨询系统,V1.0,心灵和弦,2023-06-15,心灵和弦科技,心灵和弦科技,是,心理健康,心理学网,https://www.psych.cn,2024-10-11,,,,,,,,
AI-005-2023,企业资源调配系统,V2.0,SAP中国,2023-07-10,SAP软件有限公司,SAP软件有限公司,是,企业管理,SAP官方网站,https://www.sap.com/china,2024-10-11,,,,,,,,
AI-012-2023,智能音乐生成器,V1.0,网易云音乐,2023-08-01,网易云音乐科技,网易云音乐科技,是,音乐创作,互联网音乐论坛,https://music.163.com,2024-10-11,,,,,,,,
AI-027-2023,城市智能安防系统,V2.0,海康威视,2023-09-05,海康威视科技,海康威视科技,是,公共安全,安防观察,https://www.hikvision.com,2024-10-11,,,,,,,,
AI-034-2023,智能垃圾分类系统,V1.0,环卫科技,2023-10-12,环卫科技公司,环卫科技公司,是,环保科技,绿色发展论坛,https://www.green-development.org,2024-10-11,,,,,,,,
