试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
智慧城市环境监测实验,,城市智能管理系统,城市管理,政府,城市规划局,企业,IBM,应用研究,招募中,1,美洲,巴西,2023-04-12,2023-05-15,2024-02-28,2024-10-05,包括数据采集、分析和实时监测,IBM,https://www.ibm.com,2024-10-10,
AI引导的外语学习助手,,多语言学习助手,教育行业,企业,罗彻斯特大学,科研机构,牛津大学,应用研究,招募中,1,欧洲,英国,2023-05-20,2023-06-01,2024-03-01,2024-09-15,包括语音识别、互动练习和进度追踪,University of Rochester,https://www.rochester.edu,2024-10-10,
智能停车管理系统实验,,AI停车助手,交通运输,政府,城市交通管理局,企业,特斯拉,应用研究,已完成,2,美洲,美国,2022-12-20,2023-01-15,2023-11-30,2024-09-01,包括车位监测、数据分析和实时导航,Tesla,https://www.tesla.com,2024-10-10,
智能牙科诊断系统实验,,AI牙科助手,医疗健康,企业,Dentsply Sirona,大学,约翰霍普金斯大学,临床研究,招募中,1,北美,美国,2023-03-01,2023-06-15,2024-03-01,2024-09-10,包括影像识别和智能咨询功能,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
智能水资源管理实验,,智能水监测系统,环境保护,政府,环境保护局,企业,IBM,应用研究,已完成,2,北美,美国,2022-01-25,2022-05-10,2023-05-05,2023-07-15,包括实时监测和数据分析平台,OpenText,https://www.opentext.com/,2024-10-10,
个性化健身教练系统实验,,AI健身教练,健身健康,企业,Nike,科研机构,斯坦福大学,技术开发,招募中,1,北美,美国,2023-07-10,2023-08-20,2024-06-01,2024-10-05,包括数据跟踪和个性化指导,NIKE,https://www.nike.com/,2024-10-10,
社会媒体情感分析系统实验,,AI情感分析仪,社会研究,企业,Facebook,大学,剑桥大学,社会科学研究,招募中,1,欧洲,英国,2023-09-01,2023-10-15,2024-12-01,2024-10-01,包括情感分析和数据可视化功能,Social Media Analytics,https://www.socialmediaanalytics.com/,2024-10-10,
精准药物研发系统实验,Shanghai-WeiXin-20241029 S0012,AI药物开发平台,生物医药,企业,辉瑞制药,科研机构,北京药科大学,临床研究,招募中,2,亚洲,中国,2023-08-20,2023-09-15,2025-02-10,2025-01-01,包括基因数据分析和药物筛选,Pharmaceutical Research,https://www.pharmaceuticalresearch.com/,2024-10-10,
金融交易预测系统实验,,AI交易助手,金融服务,企业,摩根大通,大学,伦敦学院,应用研究,进行中,1,欧洲,英国,2023-04-30,2023-07-01,2024-06-30,2024-09-25,包括机器学习和风险评估,Finance Research,https://www.financeresearch.com/,2024-10-10,
情绪智能聊天机器人开发实验,,情绪识别助手,社会服务,企业,微软,大学,麻省理工学院,技术开发,招募中,1,北美,美国,2023-06-12,2023-08-01,2024-04-15,2024-10-01,包括语音识别和情绪分析,TechCrunch,https://techcrunch.com/,2024-10-10,
虚拟现实学习系统实验,,VR学习助手,教育行业,企业,谷歌,学校,加州大学洛杉矶分校,教育研究,进行中,1,北美,美国,2023-04-10,2023-06-20,2024-05-10,2024-10-01,包括虚拟课堂和学员反馈,EdTech,https://edtechmagazine.com/,2024-10-10,
智能司法系统实验,Yunnan-ZhiHui-20241102 S0016,AI法庭助手,法律服务,政府,司法部,大学,清华大学,法律研究,招募中,1,亚洲,中国,2023-08-30,2023-10-01,2025-01-01,2025-03-15,包括案件分析和法律咨询,LegalTech,https://www.legaltech.com/,2024-10-10,
智能预测健康管理系统开发,,健康监测AI平台,医疗健康,企业,IBM,政府,美国公共卫生部门,应用研究,招募中,1,北美,美国,2023-09-05,2023-10-10,2024-06-15,2024-10-05,包括健康数据分析、远程监控及个性化建议,NIH,https://www.nih.gov,2024-10-10,
智能制造过程优化实验,,智能生产调度系统,工业制造,企业,西门子,大学,工业大学,技术开发,进行中,2,欧洲,德国,2023-08-20,2023-09-05,2025-01-25,2024-12-15,包括数据集成、实时监控及优化算法,ManufacturingTech,https://www.manufacturingtech.com,2024-10-10,
基于AI的智能法律咨询系统,,法律智能助手,法律服务,企业,LexisNexis,大学,哥伦比亚大学,应用研究,招募中,1,北美,美国,2023-07-15,2023-08-20,2024-11-30,2024-11-01,包括合同分析、法律风险评估及咨询服务,LegalTech,https://www.legaltech.com,2024-10-10,
智能电网管理系统测试,,智慧电网监测系统,能源管理,政府,能源部,企业,施耐德电气,应用研究,已完成,2,欧洲,法国,2022-06-01,2022-07-15,2023-05-01,2023-08-01,包括数据分析、故障检测和自动控制,EnergyTech,https://www.energytech.com,2024-10-10,
AI环境监测系统开发,Sichuan-XinTian-20241020 S0002,环境智能监测系统,环境保护,科研机构,清华大学,企业,阿里巴巴,技术开发,招募中,1,亚洲,中国,2023-04-12,2023-05-20,2024-04-30,2024-09-10,包括空气质量监测、数据分析和环保建议,EcoWatch,https://www.ecowatch.com,2024-10-10,
基于AI的农业生产智能决策系统,Guangdong-HuaWei-20241019 S0003,农业智能决策支持系统,农业,企业,作物科技公司,大学,华中农业大学,应用研究,进行中,2,亚洲,中国,2023-03-15,2023-05-01,2024-10-01,2024-09-25,包括土壤分析、气候数据集成和决策算法,AgriAnalytics,https://www.agrianalytics.com,2024-10-10,
个性化智能推荐系统研究,,智能推荐平台,电子商务,企业,亚马逊,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-06-25,2023-07-30,2024-03-20,2024-09-12,包括用户行为分析、个性化推荐及反馈机制,E-Commerce,https://www.ecommerce.com,2024-10-10,
智能健身教练系统实验,,AI健身教练,健身健康,创业公司,FitTech,科研机构,伯克利大学,技术开发,进行中,1,北美,美国,2023-05-10,2023-07-01,2024-05-30,2024-10-01,包括训练计划设计、实时反馈和健康跟踪,HealthTech,https://www.healthtech.com,2024-10-10,
人工智能在患者监护中的应用,,智能监护系统,医疗健康,科研机构,约翰霍普金斯大学,企业,IBM,临床研究,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-04-15,2024-10-01,实时数据监测与分析、病人状态预测,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
机器人辅助手术研究,,手术机器人系统,医疗健康,企业,达芬奇医疗,大学,斯坦福大学,临床研究,已完成,3,北美,美国,2022-10-01,2022-11-01,2023-10-01,2023-11-15,自动化手术过程、数据反馈、实时监控,PubMed,https://pubmed.ncbi.nlm.nih.gov,2024-10-10,
智能化环境管理系统探索,Anhui-XingFu-20241025 S0008,AI环境管理平台,环境保护,政府,中国生态环境部,企业,百度,应用研究,招募中,2,亚洲,中国,2023-03-15,2023-05-01,2024-05-15,2024-08-20,环境数据分析、污染监测、资源优化,Nature,https://www.nature.com,2024-10-10,
人工智能在金融交易中的应用,Jiangxi-QiXiang-20241026 S0009,智能交易系统,金融服务,公司,摩根大通,大学,新加坡国立大学,应用研究,已完成,2,亚洲,新加坡,2022-05-05,2022-06-15,2023-05-15,2023-09-20,算法交易、市场预测、交易信号分析,Forbes,https://www.forbes.com,2024-10-10,
农业智能决策系统的开发,Liaoning-YuanChuang-20241027 S0010,智能农业助手,农业,政府,农业部,企业,阿里巴巴,技术开发,招募中,1,亚洲,中国,2023-06-20,2023-07-01,2024-01-20,2024-09-01,决策支持、数据采集、作物管理,Xinhua,http://www.xinhuanet.com,2024-10-10,
智能制造及控制系统实验,Beijing-ZhiNeng-20241028 S0011,智能制造平台,制造业,企业,西门子,大学,东京大学,技术开发,已完成,2,亚洲,日本,2022-02-18,2022-04-01,2023-02-28,2023-10-05,生产流程优化、数据采集、模块化制造,IEEE,https://www.ieee.org,2024-10-10,
智能教育平台的开发与测试,,自适应学习系统,教育行业,公司,Udemy,大学,剑桥大学,教育研究,招募中,1,欧洲,英国,2023-04-15,2023-06-01,2024-03-01,2024-09-15,个性化课程、学习分析、评估工具,Education Week,https://www.edweek.org,2024-10-10,
人工智能在社交媒体分析中的应用,,社交媒体洞察系统,信息技术,企业,Facebook,学校,加州大学伯克利分校,应用研究,已完成,3,北美,美国,2022-09-20,2022-10-01,2023-09-01,2023-10-20,情感分析、用户行为预测、数据挖掘,TechCrunch,https://techcrunch.com,2024-10-10,
人工智能在药物发现中的应用,,药物智能筛查系统,制药,企业,辉瑞制药,大学,斯坦福大学,基础研究,招募中,1,北美,美国,2023-03-01,2023-07-01,2024-06-30,2024-10-05,包括分子建模、数据挖掘和药物评估,Pharmaceutical Journal,https://www.pharmaceutical-journal.com/,2024-10-10,
智能气候预测系统实验,,气候智能助手,气候科学,科研机构,NASA,政府,中国气象局,应用研究,进行中,2,北美,美国,2023-04-10,2023-08-01,2024-12-01,2024-09-30,包括气象数据分析、预测模型和可视化工具,WeatherTech,https://www.weathertech.com/,2024-10-10,
智能城市垃圾管理系统实验,Yunnan-ZhiHui-20241102 S0016,垃圾分拣智能系统,城市管理,地方政府,上海市,企业,深圳华为,技术开发,已完成,3,亚洲,中国,2022-10-15,2023-01-01,2023-11-30,2024-02-10,包括传感器、机器学习和数据分析,Urban Development Journal,https://www.udjournal.org/,2024-10-10,
利用AI进行个性化教育研究,Fujian-SuShi-20241103 S0017,个性化学习AI,教育技术,企业,阿里巴巴,大学,复旦大学,研究开发,招募中,1,亚洲,中国,2023-06-20,2023-09-01,2024-04-30,2024-10-01,包括自适应学习和分析工具,EduTech Review,https://www.edutechreview.com/,2024-10-10,
智能制造过程优化实验,,智能制造调度系统,工业制造,企业,西门子,科研机构,德国阿登大学,技术开发,进行中,2,欧洲,德国,2023-02-14,2023-08-10,2024-08-10,2024-09-15,包括机器人调度、数据分析和机器学习,Industry Leaders Magazine,https://www.industryleadersmagazine.com/,2024-10-10,
智能生物识别系统试验,Jilin-QingKe-20241105 S0019,生物识别安全系统,安全监控,企业,美团,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-08-05,2023-10-01,2024-02-05,2024-10-01,包括面部识别、指纹识别和监控,Security Today,https://www.securitytoday.com/,2024-10-10,
新型智慧能源管理系统实验,,能源智能管理平台,能源,企业,特斯拉,科研机构,清华大学,技术开发,进行中,2,北美,美国,2023-02-20,2023-09-15,2024-12-15,2024-10-10,包括能源监测、优化和预测模型,Energy Management Journal,https://www.energymanagementjournal.com/,2024-10-10,
AI辅助金融服务系统研究,Sichuan-XinTian-20241020 S0002,金融智能助手,金融科技,企业,阿里金融,大学,复旦大学,应用研究,招募中,1,亚洲,中国,2023-05-20,2023-11-01,2024-05-15,2024-10-01,包括客户服务支持、风险评估和数据分析,FinTech News,https://www.fintechnews.com/,2024-10-10,
AI辅助心理健康管理系统,,心理健康AI顾问,心理健康,企业,微软,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-03-01,2023-07-01,2024-03-01,2024-09-30,包括情绪分析、实时反馈和心理支持,NIH,https://www.nih.gov/,2024-10-10,
智能健身教练研究实验,Zhejiang-BaiDu-20241021 S0004,虚拟健身顾问,健康与健身,企业,阿里健康,科研机构,清华大学,技术开发,已完成,2,亚洲,中国,2023-02-25,2023-05-01,2023-12-31,2024-01-10,包括个性化训练计划和营养建议,HealthTech,https://www.healthtech.com/,2024-10-10,
智能法务助手开发实验,,AI法律顾问,法律服务,企业,德勤,学校,北京大学,技术开发,招募中,1,北美,美国,2023-04-15,2023-08-15,2024-05-15,2024-10-01,包括合同分析、法律咨询和案例研究,LegalTech Weekly,https://www.legaltechweekly.com/,2024-10-10,
智慧城市监控系统实验,Shandong-ZuoZhe-20241023 S0006,城市智能监控管理,城市发展,政府,城市管理局,企业,大疆,应用研究,进行中,1,亚洲,中国,2023-06-05,2023-07-15,2024-06-05,2024-09-20,包括实时监控、数据分析和预警系统,Smart City Journal,https://www.smartcityjournal.com/,2024-10-10,
食品安全监测系统实验,Hubei-YunXing-20241024 S0007,AI食品安全检测,食品工业,政府,食品安全局,科研机构,中国农业大学,应用研究,已完成,2,亚洲,中国,2022-10-01,2023-01-20,2023-11-15,2024-01-05,包括数据检测、异常警报和风险管理,Food Safety News,https://www.foodsafetynews.com/,2024-10-10,
AI增强购物体验的研究,Anhui-XingFu-20241025 S0008,智能购物助手,零售,企业,京东,大学,复旦大学,市场研究,招募中,1,亚洲,中国,2023-07-10,2023-09-01,2024-06-10,2024-09-01,包括个性化推荐、虚拟试衣和客户反馈分析,Retail Tech,https://www.retailtech.com/,2024-10-10,
智能机器人在灾难管理中的应用,,救援机器人系统,公共安全,政府,应急管理部,企业,波士顿动力,应用研究,进行中,1,北美,美国,2023-08-20,2023-10-01,2024-09-01,2024-09-20,包括自动导航、伤员评估和环境监测,Emergency Management,https://www.emergencymanagement.com/,2024-10-10,
智能化环境监测系统实验,Liaoning-YuanChuang-20241027 S0010,环境智能监测平台,环境保护,科研机构,中国科学院,企业,硅谷环保公司,技术开发,招募中,1,亚洲,中国,2023-09-12,2023-11-01,2024-08-05,2024-10-15,包括气体检测、水质监测和数据分析,Environmental Intelligence,https://www.environmentalintelligence.com/,2024-10-10,
智能设备的教育应用实验,,智能教育助手,教育,企业,IBM,大学,加州大学伯克利分校,教育研究,招募中,1,北美,美国,2023-09-25,2023-11-05,2024-05-25,2024-09-05,包括在线学习、个性化评估和师生互动,EdTech Magazine,https://www.edtechmagazine.com/,2024-10-10,
基于AI的老年人健康监测系统,Shanghai-WeiXin-20241029 S0012,老年健康监测助手,医疗健康,企业,阿里健康,研究所,清华大学医学院,应用研究,招募中,1,亚洲,中国,2023-03-01,2023-06-01,2024-06-01,2024-09-15,包括健康数据收集、紧急呼叫和数据分析,HealthTech,https://www.healthtech.com,2024-10-10,
智能机器人在海洋探测中的应用,,海洋智能探测系统,环保科技,大学,斯坦福大学,企业,波音公司,基础研究,已完成,2,北美,美国,2022-05-10,2022-09-01,2023-04-30,2023-10-01,包括无人机、传感器和数据分析平台,Ocean Research News,https://www.oceanresearchnews.com,2024-10-10,
AI辅助的个性化教育平台试验,,个性化学习系统,教育行业,企业,Khan Academy,学术机构,剑桥大学,教育研究,招募中,1,北美,美国,2023-06-15,2023-07-01,2024-06-15,2024-10-01,包含自适应学习算法和分析反馈,EdTech Magazine,https://edtechmagazine.com,2024-10-10,
疫情预测与响应系统的AI研究,Guangxi-ShengXing-20241101 S0015,AI疫情预测模型,公共卫生,政府,世界卫生组织,大学,约翰霍普金斯大学,应用研究,招募中,1,全球,国际,2023-08-10,2023-09-15,2024-09-10,2024-11-01,包括流行病建模、数据收集和趋势分析,WHO,https://www.who.int,2024-10-10,
智能农业感染监测系统开发,,农业健康监测系统,农业,企业,拜耳农业,科研机构,农业科学院,技术开发,正在进行中,1,欧洲,荷兰,2023-09-01,2023-10-01,2024-12-31,2024-11-15,包括作物监测、病害识别和数据报告,AgriTech News,https://www.agritechnews.com,2024-10-10,
基于AI的城市空气质量监测研究,,AI空气监测系统,环境保护,地方政府,纽约市政府,科技公司,IBM,应用研究,已完成,2,北美,美国,2021-10-20,2022-01-01,2023-02-28,2023-11-01,包括传感器网络与数据分析平台,Environmental Science Journal,https://www.environmentalsciencejournal.com,2024-10-10,
面向儿童的AI社交技能训练系统,,儿童社交技能助手,教育行业,非营利组织,儿童心理健康协会,大学,哈佛大学,交叉学科研究,招募中,1,北美,美国,2023-07-20,2023-09-01,2024-08-01,2024-10-05,包括交互式游戏和社交反馈,Psychology Today,https://www.psychologytoday.com,2024-10-10,
基于AI的智能防火系统开发,Jilin-QingKe-20241105 S0019,智能火灾预警系统,安全防护,企业,霍尼韦尔,科研机构,新加坡科技研究局,技术开发,正在进行中,1,亚洲,新加坡,2023-10-02,2023-11-01,2025-01-30,2024-12-01,包含烟雾探测器、数据分析和自动警报,Safety Technology Review,https://www.safetytechnologyreview.com,2024-10-10,
智能健康监测系统试验,Ningxia-JiZhi-20241106 S0020,AI健康监测仪,医疗健康,企业,阿里健康,科研机构,复旦大学,临床研究,招募中,1,亚洲,中国,2023-03-01,2023-06-01,2024-05-01,2024-09-01,包括生理数据收集、机器学习分析,HealthTech,https://www.healthtech.com/,2024-10-10,
自动驾驶汽车性能测试,,智能驾驶系统,交通运输,企业,特斯拉,欧洲大学,苏黎世联邦理工学院,应用研究,进行中,2,欧洲,瑞士,2023-04-15,2023-07-01,2024-12-30,2024-11-15,包括传感器网络、深度学习算法,IEEE,https://www.ieee.org/,2024-10-10,
AI在制造中的智能优化系统,Guangdong-HuaWei-20241019 S0003,制造智能助手,制造业,政府,日本经济产业省,企业,丰田汽车,技术开发,已完成,3,亚洲,日本,2022-09-10,2022-11-01,2023-10-05,2023-12-15,包括数据集成、生产调度优化,ManufacturingToday,https://www.manufacturingtoday.com/,2024-10-10,
智能农业灌溉系统实验,Zhejiang-BaiDu-20241021 S0004,智慧农业灌溉助手,农业,企业,百度,农业大学,中国农业大学,应用研究,招募中,1,亚洲,中国,2023-08-01,2023-09-01,2024-06-01,2024-10-01,包括气象监测、自动灌溉,AgriTech,https://www.agritech.com/,2024-10-10,
情感分析AI系统实验,,情感助手,社交媒体,企业,脸书,研究机构,斯坦福大学,理论研究,进行中,1,北美,美国,2023-05-30,2023-09-01,2024-03-15,2024-02-01,包括自然语言处理、情绪识别,AI Research,https://www.airesearch.com/,2024-10-10,
基于AI的供应链优化研究,,供应链AI助手,物流管理,企业,亚马逊,大学,麻省理工学院,应用研究,招募中,1,北美,美国,2023-09-01,2023-10-01,2024-09-01,2024-09-15,包括供应预测、数据分析,SupplyChainBrain,https://www.supplychainbrain.com/,2024-10-10,
食品安全AI监控系统实验,Hubei-YunXing-20241024 S0007,食品安全监控助手,食品产业,政府,食品药品监督管理局,企业,瑞幸咖啡,应用研究,进行中,2,亚洲,中国,2023-06-10,2023-07-15,2024-12-30,2024-10-05,包括传感器收集、实时数据分析,FoodSafetyTech,https://www.foodsafetytech.com/,2024-10-10,
智能城市基础设施管理系统,Anhui-XingFu-20241025 S0008,城市智能管理助手,城市管理,政府,城市规划局,科研机构,清华大学,发展研究,已完成,3,亚洲,中国,2022-12-05,2023-02-01,2024-01-20,2024-03-15,包括设施监测、视觉识别,UrbanTech,https://www.urbantech.com/,2024-10-10,
基于人工智能的个性化药物开发,,AI药物发现助手,药物研发,企业,辉瑞,大学,斯坦福大学,基础研究,招募中,1,北美,美国,2023-06-20,2023-09-01,2024-06-30,2024-10-01,包括基因组分析、药物筛选和机器学习算法,Bioinformatics Journal,https://bioinformatics.oxfordjournals.org/,2024-10-10,
人工智能在气候变化模拟中的应用,,气候AI模型,环境科学,非营利组织,世界自然基金会,科研机构,剑桥大学,应用研究,进行中,2,欧洲,英国,2023-04-25,2023-07-01,2025-01-15,2024-05-20,包括气候预测模型和数据可视化工具,Nature Climate Change,https://www.nature.com/nclimate/,2024-10-10,
人工智能在心理健康评估中的角色,,心理健康AI评估工具,心理健康,企业,罗氏,医院,梅约诊所,临床研究,招募中,1,北美,美国,2023-03-10,2023-08-15,2024-11-30,2024-09-30,包括情绪分析、问卷调查和个性化报告生成,Psychiatric Services,https://psychiatryonline.org/,2024-10-10,
智能农业中的自动化灌溉系统实验,Shanghai-WeiXin-20241029 S0012,智能灌溉助手,农业,政府,中国农业委员会,企业,阿里巴巴集团,应用研究,已完成,2,亚洲,中国,2022-12-01,2023-01-15,2023-06-30,2024-06-01,包括土壤湿度监测、天气预测和自动化控制,International Journal of Agricultural Technology,http://www.ijat-aat.org/,2024-10-10,
人工智能助力可再生能源管理,,AI能源管理系统,能源,企业,特斯拉,大学,加州大学伯克利分校,技术开发,招募中,1,北美,美国,2023-08-15,2023-10-01,2024-09-01,2024-07-15,包括太阳能管理、实时监控和数据分析,IEEE Power and Energy Magazine,https://www.ieee-pes.org/,2024-10-10,
数字化健康监测系统实验,Shaanxi-HuaZhong-20241031 S0014,健康AI监测助手,医疗健康,企业,华为,大学,清华大学,技术开发,进行中,2,亚洲,中国,2023-07-01,2023-09-10,2024-12-15,2024-05-05,包括可穿戴设备集成、数据分析和个性化报告,Journal of Medical Internet Research,https://www.jmir.org/,2024-10-10,
人工智能辅助的个性化教育系统,,个性化学习AI平台,教育行业,企业,IBM,教育机构,哈佛大学,教育研究,已完成,2,北美,美国,2022-05-15,2022-09-01,2023-05-01,2023-12-20,包括学习进度监测、内容推荐和即时反馈,Educational Technology Research and Development,https://www.springer.com/journal/11423,2024-10-10,
智能城市基础设施管理实验,Yunnan-ZhiHui-20241102 S0016,城市AI管理平台,城市规划,政府,新加坡城市发展局,企业,SAP,应用研究,招募中,1,亚洲,新加坡,2023-09-01,2023-10-15,2024-10-01,2024-08-15,包括交通流量监测、能源管理与环境监测,Journal of Urban Technology,https://www.tandfonline.com/journals/cjut20,2024-10-10,
智能防疫系统实验,,AI健康安全监测,公共卫生,政府,世界卫生组织,企业,硅谷健康科技公司,应急研究,招募中,1,国际,瑞士,2023-08-30,2023-11-01,2024-12-31,2024-09-05,包括健康数据分析、疫情监测和预测模型,Public Health Reports,https://www.publichealthreports.org/,2024-10-10,
人工智能在心理健康中的应用,Hunan-JingZhi-20241104 S0018,AI心理咨询助手,心理健康,企业,腾讯,医院,中山大学附属医院,临床研究,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-08-01,2024-10-05,包括情绪识别、用户沟通和资源推荐,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
基于AI的环境监测系统实验,Jilin-QingKe-20241105 S0019,环境数据监测平台,环境保护,政府,国家环保局,科研机构,清华大学,应用研究,进行中,1,亚洲,中国,2023-05-15,2023-07-01,2024-12-01,2024-09-01,包括实时数据采集和分析功能,GreenTech Media,https://www.greentechmedia.com/,2024-10-10,
自动化仓储管理系统试验,Ningxia-JiZhi-20241106 S0020,智能仓库助手,物流管理,企业,阿里巴巴,大学,上海交通大学,技术开发,已完成,2,亚洲,中国,2022-10-05,2022-11-15,2023-06-30,2023-08-15,包括机器人管理和数据分析,Logistics Management,https://www.logisticsmgmt.com/,2024-10-10,
AI在保险索赔处理中的应用,Sichuan-XinTian-20241020 S0002,智能索赔助手,保险行业,企业,平安保险,科技公司,华为,技术开发,招募中,1,亚洲,中国,2023-03-10,2023-04-20,2024-02-05,2024-09-05,包括索赔审核和数据管理,Insurance Journal,https://www.insurancejournal.com/,2024-10-10,
虚拟现实与AI结合的教育研究,Guangdong-HuaWei-20241019 S0003,VR教育平台,教育行业,高校,北京师范大学,企业,索尼,实验研究,招募中,1,亚洲,中国,2023-06-01,2023-06-30,2024-07-15,2024-10-01,包括交互式学习和沉浸式体验,EDUCAUSE,https://www.educause.edu/,2024-10-10,
无人驾驶车辆的智能系统,,无人驾驶助手,交通运输,企业,特斯拉,大学,斯坦福大学,应用研究,已完成,3,北美,美国,2022-01-20,2022-06-15,2023-01-25,2023-09-10,包括环境识别和自动控制,MIT Technology Review,https://www.technologyreview.com/,2024-10-10,
人工智能支持的创意设计工具,,设计助手AI,创意产业,初创企业,Canva,设计学院,皇家艺术学院,产品开发,招募中,1,欧洲,英国,2023-09-01,2023-09-20,2024-05-15,2024-10-01,包括用户交互和自动生成,Creative Bloq,https://www.creativebloq.com/,2024-10-10,
AI与数字农业平台的探索,,数字农业助手,农业,科研机构,加州大学,企业,孟山都,应用研究,进行中,1,北美,美国,2023-02-01,2023-03-15,2024-01-20,2024-09-01,包括作物监测和分析系统,AgFunder,https://agfunder.com/,2024-10-10,
人工智能在老年人护理中的应用,,智能护理助手,医疗健康,企业,亚马逊,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-03-10,2023-06-01,2024-03-01,2024-09-15,包括日常监测、活动提醒和紧急响应,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
基于AI的城市环境监测,,城市监控系统,环境科学,地方政府,旧金山市政府,企业,思科,应用研究,进行中,1,北美,美国,2023-04-20,2023-05-15,2025-01-30,2024-08-01,包括空气质量监测、数据分析和可视化工具,GovTech,https://www.govtech.com/,2024-10-10,
人工智能在心理健康中的应用,,心理健康助手,心理健康,科研机构,乔治亚州大学,企业,微软,应用研究,招募中,2,北美,美国,2023-06-01,2023-09-01,2024-12-01,2024-11-15,包括情绪分析、建议引擎和在线咨询,NIH,https://www.nih.gov/,2024-10-10,
个性化教育技术系统实验,,个性化学习平台,教育行业,企业,Edmodo,大学,剑桥大学,教育研究,进行中,1,欧洲,英国,2023-07-10,2023-09-05,2024-08-01,2024-08-15,包括学习分析、课程推荐和进度追踪,European Education Federation,https://eef.org/,2024-10-10,
可持续农业智能管理,,智能农业管理平台,农业,企业,拜耳作物科学,科研机构,国际农业研究磋商组织,应用研究,招募中,1,大洋洲,澳大利亚,2023-08-05,2023-09-01,2024-09-30,2024-09-25,包括农作物预测、实时监控和决策支持,FAO,http://www.fao.org/,2024-10-10,
人工智能在基础设施管理中的应用,Shanghai-WeiXin-20241029 S0012,智能基础设施监测系统,基础设施,政府,新加坡城市发展部,企业,西门子,应用研究,已完成,2,亚洲,新加坡,2022-10-25,2023-01-01,2023-12-15,2024-01-05,包括传感器监测、大数据分析和预警系统,Smart Nation,https://www.smartnation.gov.sg/,2024-10-10,
AI辅助的城市规划系统研究,Tianjin-JinXing-20241030 S0013,城市规划助手,城市规划,研究院,东京大学,企业,软银,应用研究,招募中,1,亚洲,日本,2023-09-01,2023-10-10,2025-01-01,2024-12-15,包括土地利用预测、交通流量分析和环境影响评估,AI Research Institute,https://www.ai-research-institute.org/,2024-10-10,
人工智能在灾害管理中的应用,Shaanxi-HuaZhong-20241031 S0014,灾害响应系统,紧急响应,国际组织,联合国,NGO,国际红十字会,应用研究,进行中,1,全球,多国,2023-10-15,2023-11-01,2025-03-01,2024-11-01,包括救援调度、资源管理和实时沟通,UN Data,https://data.un.org/,2024-10-10,
基于人工智能的个性化药物配方,,智能药物推荐系统,医疗健康,企业,辉瑞制药,大学,斯坦福大学,临床研究,招募中,2,北美,美国,2023-06-01,2023-07-15,2025-01-30,2024-11-01,包括病历数据分析和个性化药物推荐,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
智能教育系统的效果评估,Yunnan-ZhiHui-20241102 S0016,智慧学习分析平台,教育行业,大学,新加坡国立大学,企业,阿里巴巴教育,效果研究,进行中,1,亚洲,新加坡,2023-05-10,2023-08-01,2024-12-01,2024-09-20,包括学习数据分析和个性化反馈,edu.sg,https://www.nus.edu.sg,2024-10-10,
人工智能在城市规划中的应用,Fujian-SuShi-20241103 S0017,智能城市管理系统,城市发展,政府,市政府,科研机构,新加坡科技研究局,应用研究,已完成,3,亚洲,新加坡,2022-10-05,2023-02-15,2023-12-15,2024-01-01,包括环境监测与城市流量优化,Smart City Research,https://www.smartcity.gov.sg,2024-10-10,
抗击气候变化的智能农业解决方案,,AI气候农学系统,农业,企业,巴斯夫,大学,康奈尔大学,技术开发,招募中,1,北美,美国,2023-08-20,2023-09-15,2024-06-30,2024-10-01,包括气候预测、土壤健康监测,ClimateAI,https://www.climateai.com,2024-10-10,
智能健康监测与管理系统的开发,,AI健康管家,医疗健康,企业,苹果公司,科研机构,剑桥大学,临床研究,招募中,1,欧洲,英国,2023-09-01,2023-10-01,2025-01-15,2024-12-01,包括健康数据监测和实时反馈,NHS,https://www.nhs.uk,2024-10-10,
人工智能驱动的金融服务优化,,智慧金融助手,金融服务,企业,摩根大通,大学,伦敦经济学院,应用研究,进行中,2,欧洲,英国,2023-04-20,2023-05-15,2024-11-30,2024-11-01,包括市场分析、风险评估和投资预测,Bloomberg,https://www.bloomberg.com,2024-10-10,
智能环境监控系统实验,,绿色监控助手,环境保护,政府,环保局,科研机构,牛津大学,技术开发,已完成,3,欧洲,德国,2022-12-31,2023-01-15,2023-10-20,2024-02-01,包括数据监测、环境数据分析和预警系统,Environmental Science,https://www.environmentalscience.org,2024-10-10,
