标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
MPEG-5,视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2023-12-01,全球,MPEG,https://mpeg.chiariglione.org,,
C2PA,数字内容认证标准,30.0,fps,8bit,高清晰度,16:09,2024-03-15,全球,C2PA,https://c2pa.org,,
AV1.1,开放式视频编码1.1,120.0,fps,10bit,超高清晰度,16:09,2024-04-20,全球,Alliance for Open Media,https://aomediacodec.github.io,,
G.711,音频编码标准,30.0,fps,16bit,高保真,16:09,2022-06-30,全球,ITU,https://www.itu.int/en/ITU-T,,
VVC,视频编码新标准VVC,100.0,fps,10bit,超高清晰度,21:09,2025-01-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.670,超高清电视标准,60.0,fps,12bit,超高清晰度,16:09,2023-09-15,ITU,https://www.itu.int/en/ITU-T,全球,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高清晰度,16:09,2016-11-01,ITU,https://www.itu.int/en/ITU-T/studygroups/2022/Pages/16.aspx,全球,,
DVB-T2,数字视频广播地面传输标准,25.0,fps,8bit,高画质,16:09,2017-01-10,DVB,https://www.dvb.org/technology/dvb-t2,欧洲,,
NAB 2024,数字广播新标准,120.0,fps,12bit,超高清晰度,21:09,2024-04-01,NAB,https://www.nab.org,美国,,
AVS3,高级视频编码标准,60.0,fps,10bit,高清晰度,16:09,2022-03-01,AVS,http://www.avs.org.cn,中国,,
RFC 8689,多媒体流传输标准,24.0,fps,8bit,标准清晰度,4:3,2021-12-15,IETF,https://www.ietf.org/rfc/rfc8689.txt,全球,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2016-01-01,SMPTE,https://smpte.org,全球,,
JPEG 2000,图像压缩编码标准,30.0,fps,12bit,高质量,16:09,2013-06-30,ISO,https://www.iso.org,全球,,
ITU-T H.662,高清晰度视频标准,50.0,fps,10bit,高清晰度,16:9,2023-02-14,ITU,https://www.itu.int/en/ITU-T,全球,,
SMPTE ST 2111,专业直播传输标准,120.0,fps,12bit,超高清晰度,16:09,2020-05-30,SMPTE,https://smpte.org,全球,,
DASH-AVC,动态自适应流标准,60.0,fps,8bit,高画质,16:09,2019-08-15,MPEG,https://mpeg.chiariglione.org,北美,,
ISO/IEC 15938,多媒体内容描述标准,24.0,fps,10bit,标准清晰度,4:3,2021-11-11,ISO,https://www.iso.org,全球,,
HEVC 1.0,高效视频编解码标准,120.0,fps,10bit,超高清晰度,21:09,2020-10-20,ITU,https://www.itu.int/en/ITU-T,全球,,
H.274,新一代视频压缩标准,48.0,fps,12bit,高画质,16:09,2023-06-01,ITU,https://www.itu.int/en/ITU-T,全球,,
AVS2.2,视频编码第二版,60.0,fps,10bit,超高清晰度,21:09,2021-02-01,AVS,http://www.avs.org.cn,中国,,
ITU-T H.661,高分辨率视频传输规范,30.0,fps,10bit,超高清晰度,21:09,2022-11-15,全球,ITU,https://www.itu.int,,
DVB-UHD,超高清数字视频广播标准,50.0,fps,12bit,极高画质,16:09,2023-03-20,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体内容压缩标准,60.0,fps,10bit,超高清晰度,16:09,2021-10-05,全球,ISO,https://www.iso.org,,
H.265/HEVC,高级视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2018-12-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVS3,新一代视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2022-05-01,中国,AVS工作组,http://www.avs.org.cn,,
H.267,视频编码提升标准,60.0,fps,10bit,高画质,16:09,2023-06-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies,,
SMPTE ST 2110-20,视频传输标准,60.0,fps,10bit,高品质,16:09,2019-01-15,全球,SMPTE,https://www.smpte.org,,
AV1,下一代开放视频编解码标准,120.0,fps,10bit,超高清晰度,16:09,2022-07-31,全球,Alliance for Open Media,https://aomedia.org,,
IEEE 1857.2,视频编码新技术,60.0,fps,12bit,超高清晰度,21:09,2021-12-01,全球,IEEE,https://www.ieee.org,,
RFC 8839,用于低延迟视频的协议,30.0,fps,8bit,高画质,16:09,2020-05-01,全球,IETF,https://www.ietf.org,,
MPEG-C,视频压缩和传输标准,50.0,fps,10bit,高清晰度,16:09,2023-04-02,全球,MPEG,https://mpeg.chiariglione.org,,
ITU-R BT.2020,超高清电视广播标准,60.0,fps,10bit,超高清晰度,16:09,2015-10-15,全球,ITU,https://www.itu.int,,
H.264/MPEG-4 AVC,流行视频编码标准,30.0,fps,8bit,高清晰度,16:09,2010-03-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AVC 1.0,视频内容传输标准,27.0,fps,8bit,标准画质,4:3,2021-09-01,亚洲,国际数字电视技术共享平台,https://www.idtv.org,,
H.265.1,HEVC优化标准,60.0,fps,12bit,极高画质,21:9,2023-08-20,全球,ITU,https://www.itu.int,,
H.262/MPEG-2,老旧视频编码标准,30.0,fps,8bit,标准画质,16:9,2004-01-01,全球,Wikipedia,https://en.wikipedia.org/wiki/MPEG-2,,
ISO 23001,媒体内容保护标准,25.0,fps,8bit,高清晰度,16:09,2021-01-15,欧盟,ISO,https://www.iso.org,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2020-06-01,全球,ITU,https://www.itu.int/en/ITU-R/study-groups/rsg6/Pages/bt2100.aspx,,
HEVC,高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/H.265/Pages/default.aspx,,
SMPTE ST 2084,高动态范围标准,24.0,fps,12bit,超高清晰度,16:09,2014-08-01,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码,30.0,fps,10bit,高清晰度,16:09,2021-02-01,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
W3C Media Capture,Web端媒体捕获标准,30.0,fps,8bit,标准清晰度,16:09,2019-09-15,全球,W3C,https://www.w3.org/TR/mediacapture/,,
H.265/HEVC,视频编码标准第二版,120.0,fps,12bit,超高清晰度,21:09,2022-12-01,全球,ITU,https://www.itu.int/en/ITU-T/H.265/Pages/default.aspx,,
AVS3,视频编码标准新版本,60.0,fps,10bit,超高清晰度,16:09,2023-01-10,中国,AVS Working Group,http://www.avs.org.cn/,,
DASH-ITU,动态自适应流媒体标准,30.0,fps,10bit,高清晰度,16:09,2021-08-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ISDB-T,日本地面数字电视广播标准,30.0,fps,10bit,高清晰度,16:09,2003-12-01,日本,BRA,https://www.brazil.gov.br/,,
JEP-264,JPEG 2000标准,30.0,fps,12bit,高清晰度,16:09,2018-05-01,全球,JPEG,http://jpeg.org/,,
ETSI TS 103 197,视频流传输标准,25.0,fps,8bit,标准清晰度,16:09,2020-10-01,欧洲,ETSI,https://www.etsi.org/,,
G.709,光纤传输展宽标准,60.0,fps,8bit,高清晰度,16:09,2023-03-01,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
HFR,高帧率视频标准,240.0,fps,12bit,超高清晰度,21:09,2023-11-01,全球,Cinema Technology Community,https://www.cinematechnologycommunity.org/,,
RFC 8701,网络视频编码标准,30.0,fps,8bit,标准清晰度,16:09,2023-07-01,全球,IETF,https://www.ietf.org/,,
VVC,视频编码新标准,120.0,fps,10bit,超高清晰度,16:09,2020-12-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de/,,
H.261,视频压缩标准,30.0,fps,8bit,标准清晰度,4:3,1990-06-01,全球,ITU,https://www.itu.int/en/ITU-T/H.261/Pages/default.aspx,,
ITU-T H.661,视频编码优化标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
H.265/HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2013-04-16,全球,ITU,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
SMPTE ST 2094,动态范围标准,30.0,fps,10bit,高画质,16:09,2021-01-15,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-06-01,中国,AVS,http://www.avs-record.org,,
DVB-S2,数字视频广播标准,25.0,fps,8bit,高画质,16:09,2020-04-18,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体信息编码标准,50.0,fps,12bit,超高清晰度,21:09,2023-05-10,全球,ISO,https://www.iso.org,,
H.263,视频压缩标准,30.0,fps,8bit,标准清晰度,4:3,1996-04-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.263,,
ATSC 3.0,先进电视系统委员会标准,60.0,fps,10bit,超高清晰度,16:09,2017-11-01,美国,ATSC,https://www.atsc.org,,
H.264/AVC,高级视频编码标准（更新版）,30.0,fps,10bit,高清晰度,16:09,2021-03-20,全球,ITU,https://www.itu.int,,
HEVC,高效视频编码,90.0,fps,12bit,超高清晰度,21:09,2024-01-10,全球,ITU,https://www.itu.int,,
AVC,高级视频编码标准（2019更新）,30.0,fps,8bit,高画质,16:09,2019-02-01,亚洲,AVC,http://www.avc.org,,
ITU-R BT.2100,高动态范围电视标准,120.0,fps,10bit,超高清晰度,16:09,2022-12-01,全球,ITU,https://www.itu.int,,
MPEG-5,视频压缩标准,30.0,fps,10bit,高画质,16:09,2020-05-01,全球,MPEG,https://www.mpeg.org,,
JPEG XS,视频压缩标准,60.0,fps,12bit,高画质,16:09,2021-07-15,欧洲,JPEG,https://jpeg.org,,
AV1,开放视频编码标准（更新版）,60.0,fps,12bit,超高清晰度,16:09,2024-02-28,全球,Alliance for Open Media,https://aomediacodec.github.io,,
WiGig,无线高清视频传输标准,90.0,fps,10bit,超清晰度,16:09,2023-11-01,全球,WiGig Alliance,https://www.wigig.org,,
MPEG-DASH,动态自适应流媒体标准,60.0,fps,12bit,超高清晰度,16:09,2023-03-15,全球,MPEG,https://www.mpeg.org,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-06-15,全球,ITU,https://www.itu.int/en,,
DVB-TS,数字视频广播传输标准,50.0,fps,10bit,高清晰度,16:09,2022-11-25,欧洲,DVB,https://www.dvb.org,,
ETSI TS 103 194,高效视频编解码标准,60.0,fps,12bit,超高清晰度,16:09,2021-04-17,全球,ETSI,https://www.etsi.org,,
ISO/IEC 23001,媒体内容传输标准（修订版）,30.0,fps,12bit,高清晰度,21:09,2020-10-10,全球,ISO,https://www.iso.org,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2018-06-15,全球,ITU,https://www.itu.int,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2017-01-01,全球,Wikipedia,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,,
AVS3,视频编解码标准,120.0,fps,12bit,超高清晰度,16:09,2022-05-20,中国,AVS,http://www.avs.org.cn,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,12bit,超高清晰度,16:09,2014-05-15,全球,SMPTE,https://www.smpte.org,,
H.265/HEVC,高效视频编码标准（增强版）,90.0,fps,10bit,超高清晰度,21:09,2021-09-12,全球,ITU,https://www.itu.int,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2019-10-11,全球,Alliance for Open Media,https://aomedia.org,,
JIS X 7024,日本超高清电视标准,60.0,fps,12bit,超高清晰度,16:09,2021-02-20,日本,JISC,https://www.jisc.go.jp/,,
DASH-IF,动态自适应流媒体标准,60.0,fps,10bit,高清晰度,16:09,2018-12-30,全球,DASH-IF,https://dashif.org,,
NGA,下一代编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,IEEE,https://www.ieee.org,,
H.263,视频编码标准,30.0,fps,8bit,标准清晰度,4:3,1998-01-01,全球,ITU,https://www.itu.int/en,,
ETSI TS 103 196,视频流处理标准,50.0,fps,10bit,高清晰度,16:09,2023-03-25,全球,ETSI,https://www.etsi.org,,
H.264/AVC,高级视频编码标准（改进版）,60.0,fps,10bit,高清晰度,16:09,2021-07-20,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-T H.661,视频传输二级标准,30.0,fps,10bit,高画质,16:09,2022-06-15,全球,ITU,https://www.itu.int,,
DVB-S2X,高级数字视频广播,50.0,fps,12bit,超高清晰度,21:09,2020-11-01,全球,DVB,https://www.dvb.org,,
ISO/IEC 23091,增强媒体内容标准,60.0,fps,10bit,超高清晰度,16:09,2021-09-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.263,视频压缩标准,30.0,fps,8bit,中高清晰度,4:3,1996-03-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.263,,
SMPTE ST 2022,高效流媒体标准,60.0,fps,10bit,高品质,16:09,2018-07-01,全球,SMPTE,https://www.smpte.org,,
AVS3,新一代视频编码标准,48.0,fps,10bit,超高清晰度,16:09,2022-10-10,中国,AVS论坛,http://www.avs.org.cn,,
HEIF,高效图像文件格式,30.0,fps,8bit,高清晰度,16:09,2015-12-01,全球,ISO,https://www.iso.org,,
VP9,开放视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2016-06-01,全球,Google,https://www.webmproject.org/vp9/,,
SMPTE ST 2117,高动态范围媒体标准,60.0,fps,12bit,超高清晰度,16:09,2019-11-01,全球,SMPTE,https://www.smpte.org,,
JP-EG,日本数字增强编码标准,60.0,fps,12bit,超高清晰度,16:09,2023-01-20,日本,Japanese Society for Visual Engineering,https://www.jsve.org,,
MPEG-4,多媒体编码标准,30.0,fps,8bit,高清晰度,16:09,2003-10-01,全球,ISO,https://www.iso.org,,
VR标准,虚拟现实媒体标准,90.0,fps,12bit,超高清晰度,16:09,2023-05-05,全球,国际VR协会,https://www.ivra.org,,
ITU-R BT.2020,超高清电视标准,120.0,fps,12bit,超高清晰度,16:09,2012-08-01,全球,ITU,https://www.itu.int,,
AVS2-2021,视频编码标准2.0,60.0,fps,10bit,超高清晰度,16:09,2021-03-15,中国,中国科学院,http://www.cas.cn,,
MPEG-H,高效视频编码技术,120.0,fps,12bit,超高清晰度,21:09,2014-10-01,全球,MPEG,https://mpeg.chiariglione.org,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2024-01-15,全球,ITU,https://www.itu.int,,
DVB-T2,第二代数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2022-11-10,欧洲,DVB,https://www.dvb.org,,
AVS3,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-06-25,中国,AVS,http://www.avs.org.cn,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-30,全球,ITU,https://www.itu.int/en/ITU-T/273/default.aspx,,
IMF,国际媒体格式标准,24.0,fps,12bit,高画质,16:09,2021-09-15,全球,Motion Picture Association,https://www.motionpictures.org,,
ISO/IEC 13818-1,信息技术 - 运动图像编码,30.0,fps,8bit,高清晰度,4:3,2000-01-01,全球,ISO,https://www.iso.org,,
H.273,下一代视频压缩标准,60.0,fps,10bit,超高清晰度,16:09,2025-03-30,全球,ITU,https://www.itu.int/en/,,
MPEG-DASH,动态自适应流标准,30.0,fps,10bit,高清晰度,16:09,2018-02-15,全球,MPEG,https://mpeg.chiariglione.org,,
HEVC Main 10,HEVC视频编码主流标准,120.0,fps,10bit,超高清晰度,21:09,2020-09-01,全球,ITU,https://www.itu.int/en/ITU-T/technologies,,
H.295,下一代视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2026-05-20,全球,ITU,https://www.itu.int,,
IEEE 802.11ac,高通量无线局域网标准,60.0,fps,8bit,高清晰度,16:09,2016-10-30,全球,IEEE,https://www.ieee.org,,
SMPTE ST 2094,HDR静态元数据标准,30.0,fps,10bit,高画质,16:09,2020-11-15,全球,SMPTE,https://www.smpte.org,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,12bit,超高清晰度,16:09,2021-07-01,全球,SMPTE,https://www.smpte.org,,
JPEG XS,无损视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2022-08-20,全球,JPEG,https://jpeg.org,,
CIELAB,色彩编码/ 视频标准,24.0,fps,10bit,高清晰度,4:3,2017-01-01,全球,Colorimetry,https://color.org,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高清晰度,16:09,2015-04-22,全球,ITU,https://www.itu.int,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,高画质,16:09,2023-09-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-S2X,卫星视频广播标准,50.0,fps,10bit,超高清晰度,16:09,2022-06-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体内容保护标准,60.0,fps,12bit,极致高清晰度,16:09,2021-12-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-03-10,全球,ITU,https://www.itu.int/en/ITU-T/Studies,,
H.262/MPEG-2,标准视频编码协议,30.0,fps,8bit,高清晰度,4:3,1995-11-01,全球,Wikipedia,https://en.wikipedia.org/wiki/MPEG-2,,
AVS2,视频编码标准,30.0,fps,10bit,高画质,16:09,2018-05-15,中国,中国中央电视台,https://www.cctv.com,,
SMPTE ST 2022,专业视频流标准,60.0,fps,10bit,高品质,16:09,2016-01-20,全球,SMPTE,https://www.smpte.org,,
IEEE 1857.4,视频编码效率标准,120.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,IEEE,https://www.ieee.org,,
MPEG-5,视频编码新标准,120.0,fps,10bit,超高清晰度,21:09,2023-04-01,全球,MPEG,https://mpeg.chiariglione.org,,
AV1,高效开放视频编码标准,120.0,fps,10bit,超高清视频,16:09,2022-11-22,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ITU-R BT.2100,高动态范围标准,60.0,fps,12bit,超高清晰度,16:09,2019-05-01,全球,ITU,https://www.itu.int/en/ITU-R/studygroups,,
H.273,视频编码和传输标准,30.0,fps,8bit,高画质,16:09,2024-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies,,
DVB-T2,数字地面广播标准,50.0,fps,10bit,高画质,16:09,2021-03-15,欧洲,DVB,https://www.dvb.org,,
SMPTE ST 2110-10,专业IMT视频流标准,60.0,fps,10bit,高品质视频,16:09,2018-08-01,全球,SMPTE,https://www.smpte.org,,
ATSC 3.0,先进电视系统标准,120.0,fps,10bit,超高清晰度,16:09,2023-06-30,北美,ATSC,https://www.atsc.org,,
H.264/AVC,高效视频编码标准,30.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2018-12-01,全球,ITU,https://www.itu.int/en/ITU-R/study-groups/Pages/default.aspx,,
HEVC,高效视频编码,30.0,fps,12bit,高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/standards/Pages/default.aspx,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2021-09-01,中国,AVS Joint Task Force,http://www.avs.org.cn/,,
SMPTE ST 2084,高动态范围标准,60.0,fps,10bit,超高清晰度,16:09,2014-08-01,全球,SMPTE,https://www.smpte.org,,
RFC 6016,动态自适应流媒体传输,30.0,fps,8bit,高清晰度,16:09,2022-10-10,全球,IETF,https://www.ietf.org,,
DVB-DASH,动态自适应流标准,25.0,fps,8bit,高清晰度,16:09,2016-03-15,欧洲,DVB,https://www.dvb.org,,
MPEG-5,视频编码和传输标准,50.0,fps,10bit,超高清晰度,16:09,2022-01-01,全球,MPEG,https://www.mpeg.org,,
AV1.1,开放视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-05-01,全球,Alliance for Open Media,https://aomedia.org,,
ISO/IEC 23001,媒体内容交互标准,60.0,fps,10bit,超高清晰度,16:09,2022-03-15,全球,ISO,https://www.iso.org,,
ATSC 3.0,新一代广播标准,60.0,fps,10bit,超高清晰度,16:09,2020-10-01,美国,ATSC,https://www.atsc.org,,
H.265,高效率视频编码,60.0,fps,10bit,超高清晰度,16:09,2018-01-01,全球,ITU,https://www.itu.int,,
HFR,高帧率视频标准,120.0,fps,10bit,超高清晰度,21:09,2022-11-30,全球,SMPTE,https://www.smpte.org,,
NVIDIA NVENC,视频编码技术标准,30.0,fps,10bit,高清晰度,16:09,2020-05-01,全球,NVIDIA,https://www.nvidia.com,,
WebM,开放视频格式标准,30.0,fps,8bit,高清晰度,16:09,2014-01-15,全球,Google,https://www.webmproject.org,,
CAVLC,视频编码标准,60.0,fps,8bit,高画质,16:09,2017-07-01,全球,ITU,https://www.itu.int,,
JPEG XS,视频传输标准,50.0,fps,10bit,超高清晰度,16:09,2021-07-01,全球,JPEG,https://jpeg.org,,
H.264/AVC,高级视频编码,30.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,ITU,https://www.itu.int/en/ITU-T/standards/Pages/default.aspx,,
ITU-T H.661,视频交互标准,30.0,fps,10bit,高清晰度,16:09,2022-11-15,全球,ITU,https://www.itu.int,,
DVB-T2,地面数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2020-04-01,欧洲及亚洲,DVB,https://www.dvb.org,,
ISO/IEC 23001-12,媒体内容保护标准,30.0,fps,8bit,高画质,16:09,2021-06-01,全球,ISO,https://www.iso.org,,
HEVC/H.265,高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.265/HEVC,视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2019-11-20,全球,Wikipedia,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,,
SMPTE ST 2110-20,专业视频流标准,30.0,fps,10bit,高品质,16:09,2018-01-01,全球,SMPTE,https://smpte.org,,
AVS3,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-03-15,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
AV1.1,开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2021-09-15,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 1857.1,高效视频编解码标准,150.0,fps,12bit,超高清晰度,21:09,2023-01-01,全球,IEEE,https://www.ieee.org,,
H.264/AVC 2023,更新版视频编码标准,60.0,fps,10bit,高清晰度,16:09,2023-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
NAB 2022,视频广播新标准,30.0,fps,8bit,高画质,16:09,2021-10-10,北美,NAB Show,https://www.nabshow.com,,
H.265/HEVC 2019,高效视频编码更新版,120.0,fps,12bit,超高清晰度,21:09,2019-08-01,全球,ITU,https://www.itu.int,,
DASH-IF,动态自适应流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2019-05-15,全球,DASH-IF,http://dashif.org,,
AVC 2021,高级视频编码版本更新,30.0,fps,8bit,高画质,16:09,2021-01-01,全球,ITU,https://www.itu.int,,
H.273,视频新解析度标准,50.0,fps,12bit,超高清晰度,21:09,2022-02-02,全球,ITU,https://www.itu.int,,
AVC-HD2023,高清晰度视频压缩标准,60.0,fps,10bit,超高清晰度,21:09,2023-07-15,全球,ITU,https://www.itu.int,,
H.274,未来视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-01,全球,ITU,https://www.itu.int,,
ITU-T H.661,视频质量标准,30.0,fps,10bit,高清晰度,16:09,2022-06-15,https://www.itu.int,全球,ITU,,
DVB-T2,地面数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2014-01-01,https://www.dvb.org,欧洲,DVB,,
ISO/IEC 21000,MPEG-21标准,60.0,fps,12bit,超高清晰度,16:09,2023-04-25,https://www.iso.org,全球,ISO,,
HEVC,高效视频编码,120.0,fps,10bit,超高清晰度,21:09,2015-07-01,https://www.itu.int,全球,ITU,,
AVS3,视频编码新标准,60.0,fps,12bit,超高清晰度,16:09,2022-11-30,https://www.avs.org.cn,中国,AVS,,
H.265/HEVC,视频编码标准,30.0,fps,10bit,高清晰度,16:09,2014-09-01,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,全球,Wikipedia,,
SMPTE ST 2110-20,专业媒体流标准 - 视频,60.0,fps,10bit,高品质,16:09,2019-02-15,https://www.smpte.org,全球,SMPTE,,
AVS2-P2,视频编解码标准,60.0,fps,12bit,超高清晰度,21:09,2021-07-01,https://www.cta.org.cn,中国,中国视频标准化组织,,
VVC,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-04-01,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,全球,ITU,,
AV1,开放视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2019-03-01,https://aomediacodec.github.io,全球,Alliance for Open Media,,
H.263,视频编码标准,30.0,fps,8bit,标准清晰度,4:3,1996-01-01,https://www.itu.int,全球,ITU,,
SMPTE ST 2022-6,封装视频流标准,60.0,fps,10bit,高品质,16:09,2016-07-01,https://www.smpte.org,全球,SMPTE,,
ISO/IEC 13818,MPEG-2标准,30.0,fps,8bit,标准清晰度,16:09,1994-11-01,https://www.iso.org,全球,ISO,,
H.265+/HVC,视频编码增强标准,60.0,fps,12bit,超高清晰度,16:09,2021-11-11,https://www.h265.org,全球,H.265标准组织,,
DASH,动态自适应流传输标准,30.0,fps,8bit,高清晰度,16:09,2012-05-01,https://mpeg.chiariglione.org,全球,MPEG,,
ITU-R BT.2020,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2012-08-01,https://www.itu.int,全球,ITU,,
H.264/AVC,高级视频编码标准,30.0,fps,10bit,高清晰度,16:09,2003-05-01,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,全球,Wikipedia,,
H.266/VVC,视频编码新标准,120.0,fps,10bit,超高清晰度,21:09,2021-09-15,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,全球,ITU,,
ITU-R BT.2100,超高清晰度电视技术标准,50.0,fps,10bit,超高清晰度,16:09,2022-01-15,全球,ITU,https://www.itu.int/en/ITU-R/index.html,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2022,实时视频传输标准,60.0,fps,8bit,高画质,16:09,2018-06-01,全球,SMPTE,https://www.smpte.org,,
NITS 2100-3,标准动态范围视频传输,24.0,fps,12bit,超高清晰度,21:09,2022-09-20,美国,NITS,https://www.nits.com,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2023-03-15,全球,AVS Forum,https://www.avsforum.com,,
DVB-SUB,数字视频广播字幕标准,25.0,fps,8bit,高清晰度,16:09,2021-11-05,欧洲,DVB,https://www.dvb.org,,
H.266/AV1,下一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2021-02-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
MPEG-DASH,动态自适应流媒体传输标准,30.0,fps,8bit,高清晰度,16:09,2021-10-12,全球,MPEG,https://mpeg.chiariglione.org,,
ISO/IEC 23008-2,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-02-05,全球,ISO,https://www.iso.org,,
SMPTE ST 2110-30,同步专业流媒体标准,50.0,fps,10bit,高画质,16:09,2019-11-01,全球,SMPTE,https://www.smpte.org,,
H.264/AVC-PRO,高级视频编码专业版,30.0,fps,10bit,高清晰度,16:09,2020-06-15,全球,IEEE,https://www.ieee.org,,
