年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2024,法国,核能,千瓦时,13500,亿,法国电力公司,https://www.edf.fr,2024-09-19,,,,,,,,,,,,
2024,印度,可再生能源,吨,600,万,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,巴西,生物燃料,吨标准煤,3,亿,巴西国家石油公司,https://www.petrobras.com.br,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,21000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,印度,太阳能,千瓦时,9800,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,吨,1500,万,德国能源协会,https://www.dena.de,2024-09-19,,,,,,,,,,,,
2024,中国,生物质能,吨,1200,万,中国农业部,http://www.moa.gov.cn,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,电池储能,吨,10.5,万,澳大利亚电力市场机构,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,日本,新材料,吨,600,万,日本能源经济研究所,https://www.ieej.or.jp,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,10500,亿,巴西国家电力局,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,5000,亿,加拿大地质调查局,https://www.canada.ca/en.html,2024-09-19,,,,,,,,,,,,
2024,英国,海洋能,吨标准煤,2.3,亿,英国气候变化委员会,https://www.theccc.org.uk,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,9000,亿,法国电力公司,https://www.edf.fr,2024-09-19,,,,,,,,,,,,
2024,印度,风能,千瓦时,16500,亿,印度可再生能源发展委员会,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,18500,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,生物质能,吨标准煤,4.2,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1500,万,中国氢能联盟,http://www.hydrogen-china.org,2024-09-19,,,,,,,,,,,,
2024,欧盟,可再生能源,吨标准煤,8,亿,欧盟委员会能源办公,https://ec.europa.eu/energy,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,12000,亿,巴西国电公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,地热能,吨,600,万,澳大利亚地热能源中心,https://www.geothermal.org.au/,2024-09-19,,,,,,,,,,,,
2023,日本,电池储能,吨,5,万,日本新能源产业技术综合开发机构,https://www.nedo.go.jp,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,千瓦时,9000,亿,南非可再生能源协会,https://www.reab.co.za,2024-09-19,,,,,,,,,,,,
2024,俄罗斯,风能,千瓦时,3100,亿,俄罗斯联邦能源部,http://minenergo.gov.ru,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,17500,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,9200,亿,印度可再生能源开发局,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,德国,电池储能,吨,15,万,德国电力和水务公司,https://www.energie.de,2024-09-19,,,,,,,,,,,,
2023,中国,氢能,吨,12,万,中国氢能协会,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2024,欧洲,可再生能源,吨标准煤,8.5,亿,欧洲可再生能源联盟,https://www.erec.org,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,32000,亿,日本原子能委员会,https://www.aec.go.jp,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,生物质能,吨,6.5,万,澳大利亚能源市场运营商,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2023,韩国,地热能,千瓦时,4500,亿,韩国地热能协会,http://www.geothermal.or.kr,2024-09-19,,,,,,,,,,,,
2024,世贸组织,新材料,吨,250,万,世界贸易组织,https://www.wto.org,2024-09-19,,,,,,,,,,,,
2023,巴西,水力发电,千瓦时,15000,亿,巴西能源部,https://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,20000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,15000,亿,德国可再生能源协会,https://www.bee.de/,2024-09-19,,,,,,,,,,,,
2021,巴西,水能,千瓦时,9500,亿,巴西电力统计局,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,800,万,中国化学工程集团,http://www.ccegc.com/,2024-09-19,,,,,,,,,,,,
2023,印度,生物质能,吨标煤,12.5,亿,印度可再生能源部,https://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,南非,地热能,千瓦时,2500,亿,南非国家能源局,http://www.energy.gov.za/,2024-09-19,,,,,,,,,,,,
2023,加拿大,电池储能,吨,5,万,加拿大电池和电动车协会,https://www.canada.ca/en.html,2024-09-19,,,,,,,,,,,,
2022,英国,潮汐能,千瓦时,3600,亿,英国可再生能源署,https://www.rea.org.uk/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中国新材料产业发展促进会,http://www.cnnmpa.org.cn/,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,22000,亿,日本原子能委员会,http://www.jaea.go.jp/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,18000,亿,全国氢能产业发展报告,http://www.hydrogenreport.cn/,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,22000,亿,德国联邦能源署,https://www.bmwi.de/Navigation/DE/Home/home.html,2024-09-19,,,,,,,,,,,,
2022,美国,太阳能,千瓦时,15000,亿,美国太阳能协会,https://www.seia.org/,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,10,万,新材料技术与应用,https://www.materialtech.cn/,2024-09-19,,,,,,,,,,,,
2021,日本,可再生能源,吨标准煤,2.5,亿,日本可再生能源推广协会,https://www.renewablejapan.org/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,30000,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,风能,千瓦时,12000,亿,澳大利亚能源市场运营商,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2022,英国,生物能,吨标准煤,1.9,亿,英国可再生能源协会,https://www.renewableuk.com/,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,20000,亿,巴西电力研究所,https://www.epe.gov.br/,2024-09-19,,,,,,,,,,,,
2023,中国,新材料,吨,650,万,中国新材料发展报告,http://www.cnnmp.com/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,16200,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,21000,亿,印度可再生能源发展部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2021,欧洲联盟,水能,千伏安时,32000,亿,欧洲气候行动委员会,https://www.eccc.eu,2024-09-19,,,,,,,,,,,,
2024,中国,电动车电池,吨,12,万,中国汽车工业协会,http://www.caam.org.cn,2024-09-19,,,,,,,,,,,,
2023,德国,氢能,吨,5.5,万,德国氢能和燃料电池协会,https://www.dwv-ev.de,2024-09-19,,,,,,,,,,,,
2024,日本,生物能,吨标准煤,7.2,亿,日本可再生能源协会,https://www.jreseia.or.jp,2024-09-19,,,,,,,,,,,,
2020,全球,热能,千瓦时,150000,亿,国际能源机构,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国材料科学学会,http://www.csm.org.cn,2024-09-19,,,,,,,,,,,,
2023,巴西,乙醇,吨,15,万,巴西国家石油公司,http://www.petrobras.com.br,2024-09-19,,,,,,,,,,,,
2022,中国,地热能,千瓦时,3400,亿,中国地热能协会,http://www.cgeia.org,2024-09-19,,,,,,,,,,,,
2024,印度,风能,千瓦时,12000,亿,印度能源部,http://www.ministryofpower.gov.in,2024-09-19,,,,,,,,,,,,
2023,美国,太阳能,千瓦时,15000,亿,国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,吨,300,万,德国联邦经济部,https://www.bmwi.de,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,10,万,电池行业报告,https://www.batteries.com,2024-09-19,,,,,,,,,,,,
2022,全球,可再生能源,吨标准煤,7.5,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,9000,亿,日本原子能委员会,http://www.japan-nuclear.com,2024-09-19,,,,,,,,,,,,
2022,法国,可再生能源,吨标准煤,1.5,亿,法国能源署,https://www.ademe.fr,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,生物质能,吨,2.5,万,澳大利亚能源数据中心,https://www.aedata.gov.au,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,22000,亿,巴西电力公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2023,阿根廷,风能,千瓦时,6000,亿,阿根廷能源部,http://www.energia.gob.ar,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,12800,亿,德国联邦能源局,https://www.bew.de/en/news,2024-09-19,,,,,,,,,,,,
2022,美国,太阳能,千瓦时,9540,亿,美国能源信息管理局,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,印度,可再生能源,吨标准煤,9.2,亿,印度可再生能源部报告,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国电力发展报告,http://www.chinaep.com,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,11000,亿,澳大利亚能源市场局,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,25,万,中国氢能联盟,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨标准煤,3.5,亿,巴西能源部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,日本,海洋能,千瓦时,8800,亿,日本经济产业省,https://www.meti.go.jp,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,47000,亿,法国原子能委员会,http://www.cea.fr,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,千瓦时,64000,亿,加拿大水电协会,http://www.cda-aquaterra.ca,2024-09-19,,,,,,,,,,,,
2022,日本,风能,千瓦时,16000,亿,日本风能协会,https://www.jwea.or.jp,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,7500,亿,德国能源署,https://www.dena.de/en,2024-09-19,,,,,,,,,,,,
2021,美国,可再生能源,吨标准煤,8.5,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中化新闻网,http://www.cnooc.com.cn/news,2024-09-19,,,,,,,,,,,,
2023,印度,电池储能,吨,10.5,万,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,法国,氢能,吨,4,万,法国能源委员会,https://www.ecologie.gouv.fr,2024-09-19,,,,,,,,,,,,
2022,加拿大,水能,千瓦时,15000,亿,加拿大水能协会,https://www.canwea.ca,2024-09-19,,,,,,,,,,,,
2024,巴西,生物能,吨标准煤,5.5,亿,巴西能源部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,地热能,吨,2.3,万,澳大利亚地热能源机构,https://www.geothermal.org.au,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,3000,亿,英国可再生能源协会,https://www.r-e-a.net,2024-09-19,,,,,,,,,,,,
2024,德国,风能,千瓦时,16500,亿,德国可再生能源协会,https://www.erec.org/,2024-09-19,,,,,,,,,,,,
2022,美国,太阳能,千瓦时,19500,亿,美国能源署,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2023,日本,氢能,千瓦时,1200,亿,日本能源政策委员会,https://www.enecho.meti.go.jp/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国新材料产业发展报告,http://www.cncma.org/,2024-09-19,,,,,,,,,,,,
2021,巴西,生物能源,吨标准煤,8.5,亿,巴西国家石油公司,https://www.petrobras.com.br/,2024-09-19,,,,,,,,,,,,
2023,印度,电池储能,吨,14,万,印度电池制造协会,https://www.batman.com/,2024-09-19,,,,,,,,,,,,
2024,加拿大,潮汐能,千瓦时,6300,亿,加拿大水能协会,https://www.hydropower.org/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,22000,亿,澳大利亚可再生能源机构,https://www.cleanenergycouncil.org.au/,2024-09-19,,,,,,,,,,,,
2022,法国,核能,千瓦时,50000,亿,法国核能电力公司,https://www.edf.fr/,2024-09-19,,,,,,,,,,,,
2023,瑞典,可再生能源,吨标准煤,3.2,亿,瑞典能源局,https://www.energimyndigheten.se/,2024-09-19,,,,,,,,,,,,
2022,美国,氢能,千瓦时,12000,亿,美国能源信息局,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,生物质能,吨,4.5,万,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,16000,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国电力经济研究院,http://www.cneri.com.cn,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,风能,千瓦时,7800,亿,澳大利亚能源局,https://www.energy.gov.au,2024-09-19,,,,,,,,,,,,
2023,日本,可再生能源,吨标准煤,5.5,亿,日本能源经济研究所,https://www.eria.org,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,9500,亿,巴西国家电力公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2023,加拿大,地热能,吨,1.2,万,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,4000,亿,英国可再生能源协会,https://www.renewableuk.com,2024-09-19,,,,,,,,,,,,
2024,南非,可再生能源,吨标准煤,2.9,亿,南非能源部,https://www.energy.gov.za,2024-09-19,,,,,,,,,,,,
2024,美国,风能,千瓦时,20000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,18000,亿,德国联邦网络局,https://www.bnetza.de,2024-09-19,,,,,,,,,,,,
2024,印度,生物质能,吨标准煤,8.5,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,300,万,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,15000,亿,巴西电力监管局,https://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2020,全球,可再生能源,吨标准煤,7.2,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2024,欧盟,新材料,吨,1000,万,欧盟委员会,https://ec.europa.eu,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,吨,10,万,澳大利亚新能源局,https://www.energy.gov.au,2024-09-19,,,,,,,,,,,,
2023,日本,太阳能,千瓦时,16000,亿,日本经济产业省,https://www.meti.go.jp,2024-09-19,,,,,,,,,,,,
2024,韩国,风能,千瓦时,12000,亿,韩国能源公社,https://www.koreaenergy.or.kr,2024-09-19,,,,,,,,,,,,
2023,中国,风能,千瓦时,16250,亿,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,
2023,美国,太阳能,千瓦时,22000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,德国,氢能,吨,1200,万,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,12.5,万,中国电力新闻网,http://www.cpnn.com.cn,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国新材料工业协会,http://www.ncai.china.org.cn,2024-09-19,,,,,,,,,,,,
2021,日本,地热能,千瓦时,8000,亿,日本可再生能源基础,https://www.renewable-energia.org,2024-09-19,,,,,,,,,,,,
2023,印度,生物质能源,吨标准煤,5.5,亿,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2022,巴西,水能,千瓦时,32000,亿,巴西电力研究所,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2024,中国,智能电网,吨,15,万,中国电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,
2024,英国,波浪能,千瓦时,15000,亿,英国能源与气候变化部,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,20000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,11000,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2021,印度,生物质能,吨,1200,万,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,10,万,中国电力新闻网,http://www.cpl.gov.cn,2024-09-19,,,,,,,,,,,,
2023,巴西,水电,千瓦时,15000,亿,巴西电力公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,9000,亿,澳大利亚可再生能源署,https://www.renewableenergy.gov.au,2024-09-19,,,,,,,,,,,,
2022,日本,氢能,吨,4.5,万,日本能源经济研究所,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2023,挪威,潮汐能,千瓦时,500,亿,挪威水力研究中心,https://www.nve.no,2024-09-19,,,,,,,,,,,,
2024,英国,风能,千瓦时,16000,亿,英国气候变化委员会,https://www.theccc.org.uk,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,吨标准煤,1.2,亿,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2023,美国,电池储能,千瓦时,2000,亿,美国能源信息局,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,吨,300,万,德意志银行可再生能源报告,https://www.db.com/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,15000,亿,印度可再生能源发展部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2022,日本,风能,吨标准煤,3.5,亿,日本能源局,https://www.enecho.meti.go.jp/,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,8000,亿,加拿大地热能源协会,https://www.canadiangeothermal.ca/,2024-09-19,,,,,,,,,,,,
2023,中国,新材料,吨,600,万,中国材料工业协会,http://www.cmia.com.cn/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,生物质能,吨标准煤,2,亿,澳大利亚可再生能源机构,https://www.cleanenergycouncil.org.au/,2024-09-19,,,,,,,,,,,,
2024,瑞典,水能,千瓦时,25000,亿,瑞典能源局,https://www.energimyndigheten.se/,2024-09-19,,,,,,,,,,,,
2023,巴西,风能,千瓦时,9000,亿,巴西电力监管机构,https://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,吨,1000,万,南非可再生能源协会,https://www.saros.org.za/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,18500,亿,中国氢能产业发展报告,http://www.hydrogenindustry.org.cn/report/2025,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,27000,亿,德国联邦网络局,https://www.bundesnetzagentur.de/en/renewable-energy,2024-09-19,,,,,,,,,,,,
2022,美国,生物能源,千瓦时,32000,亿,美国能源信息署,https://www.eia.gov/renewable/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,吨标准煤,5.1,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,吨,15,万,澳大利亚国家电力市场,https://www.nemmco.com.au/,2024-09-19,,,,,,,,,,,,
2027,日本,可再生能源,千瓦时,40000,亿,日本能源经济研究所,https://www.enecho.meti.go.jp/en/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,吨标准煤,8,亿,巴西国家电力监管局,https://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2023,加拿大,地热能,千瓦时,1200,亿,加拿大地热能源联盟,https://www.geothermalcanada.org/,2024-09-19,,,,,,,,,,,,
2024,法国,核能,千瓦时,38000,亿,法国电力公司,https://www.edf.fr/en/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,吨,10,万,南非可再生能源开发局,http://www.saref.org.za/,2024-09-19,,,,,,,,,,,,
2022,德国,生物质能,千瓦时,9500,亿,德国可再生能源联合会,https://www.bee-ev.de/,2024-09-19,,,,,,,,,,,,
2023,印度,风能,千瓦时,13500,亿,印度能源局,https://www.cea.nic.in/,2024-09-19,,,,,,,,,,,,
2021,美国,太阳能,吨标准煤,7.1,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1200,万,国家氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-19,,,,,,,,,,,,
2023,巴西,可再生能源,千瓦时,12000,亿,巴西电力公司,https://www.eletronorte.gov.br/,2024-09-19,,,,,,,,,,,,
2022,日本,生物质能,吨标准煤,3.6,亿,日本能源生产者协会,https://www.jepra.or.jp/,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,千瓦时,15500,亿,澳大利亚清洁能源委员会,https://www.cleanenergycouncil.org.au/,2024-09-19,,,,,,,,,,,,
2024,法国,风能,吨,650,万,法国可再生能源协会,https://reseau-eolien.org/,2024-09-19,,,,,,,,,,,,
2023,英国,爆破性碳捕集,吨,400,万,英国气候变化委员会,https://www.theccc.org.uk/,2024-09-19,,,,,,,,,,,,
2024,韩国,氢能,吨,800,万,韩国能源委员会,https://www.energy.or.kr/,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,17500,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,8900,亿,德国联邦网络局,https://www.bnetza.de,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨标准煤,3.5,亿,中国氢能产业联盟,http://www.china-hydrogen.org,2024-09-19,,,,,,,,,,,,
2022,印度,可再生能源,吨,800,万,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,日本,电池储能,吨,15,万,日本可再生能源协会,https://www.renewables-japan.jp,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,千瓦时,2300,亿,巴西能源部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,地热能,吨标准煤,1.2,亿,澳大利亚地热能源协会,https://www.geothermal.org.au,2024-09-19,,,,,,,,,,,,
2024,法国,海洋能,千瓦时,1500,亿,法国可再生能源协会,https://reseau-energie.com,2024-09-19,,,,,,,,,,,,
2023,英国,电池储能,吨,10,万,英国能源市场监管局,https://www.ofgem.gov.uk,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,千瓦时,22500,亿,加拿大水力发电协会,https://www.hydropower.ca,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,千瓦时,25000,亿,德国清洁能源协会,https://www.cleanenergy-germany.org,2024-09-19,,,,,,,,,,,,
2023,美国,电池储能,兆瓦时,50000,亿,国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,9000,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2022,巴西,生物能,吨标准煤,3.5,亿,巴西能源研究公司,https://www.epe.gov.br,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,风能,千瓦时,16000,亿,澳大利亚可再生能源局,https://www.renewablessa.gov.au,2024-09-19,,,,,,,,,,,,
2024,日本,核能,千瓦时,12000,亿,日本原子能委员会,https://www.aec.go.jp,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,8000,亿,英国能源监管局,https://www.ofgem.gov.uk,2024-09-19,,,,,,,,,,,,
2024,中国,储氢技术,吨,1000,万,中国能源研究院,http://www.ceri.org.cn,2024-09-19,,,,,,,,,,,,
2027,加拿大,地热能,千瓦时,5000,亿,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2024,印度尼西亚,潮汐能,千瓦时,600,亿,印尼可再生能源协会,https://www.irei.or.id,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,16700,亿,美国风能协会,https://www.awea.org,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,23000,亿,德国可再生能源联合会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2021,日本,氢能,吨,500,万,日本氢能协会,https://www.hydrogen-japan.org,2024-09-19,,,,,,,,,,,,
2024,英国,电池储能,千瓦时,8500,亿,英国电池储能协会,https://www.sia.org.uk,2024-09-19,,,,,,,,,,,,
2024,中国,可再生能源,吨标准煤,7.5,亿,中国可再生能源学会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,
2022,印度,太阳能,千瓦时,14500,亿,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,法国,核能,千瓦时,7000,亿,法国核能公司,https://www.edf.fr,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨,2.5,万,巴西可再生能源协会,https://www.abeeolica.org.br,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,地热能,千瓦时,9500,亿,澳大利亚地热能源协会,https://www.geothermal.org.au,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,千瓦时,32000,亿,加拿大水电协会,https://www.hydropower.ca,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,25500,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,17000,亿,德国联邦网络局,https://www.bundeskartellamt.de/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1000,万,中国氢能产业技术创新战略联盟,https://www.china-hydrogen.org/,2024-09-19,,,,,,,,,,,,
2021,全球,可再生能源,吨标准煤,9.5,亿,国际能源机构,https://www.iea.org/,2024-09-19,,,,,,,,,,,,
2023,日本,电池储能,吨,15,万,日本经济新闻,https://www.nikkei.com/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国新材料网,http://www.newmaterial.com/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,千瓦时,19000,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2022,英国,核能,千瓦时,6000,亿,英国核监管局,https://www.onr.org.uk/,2024-09-19,,,,,,,,,,,,
2023,法国,风能,吨,50,万,法国可再生能源协会,https://www.enr.fr/,2024-09-19,,,,,,,,,,,,
2023,巴西,生物能,吨,20,万,巴西国家电力公司,http://www.electricidade.gov.br/,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,8200,亿,法国能源公司年报,https://www.edf.fr/en,2024-09-19,,,,,,,,,,,,
2022,印度,生物质能,吨,1500,万,印度可再生能源发展局,http://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,美国,地热能,千瓦时,3500,亿,美国地质调查局,https://www.usgs.gov/natural-hazards/energy-resources,2024-09-19,,,,,,,,,,,,
2024,德国,氢能,吨,220,万,德国能源转型协会,https://www.dena.de/en/,2024-09-19,,,,,,,,,,,,
2023,日本,太阳能,千瓦时,18000,亿,日本可再生能源协会,https://www.renewableenergy.jp/,2024-09-19,,,,,,,,,,,,
2023,加拿大,水能,千瓦时,15000,亿,加拿大水电协会,https://www.hydro.com/,2024-09-19,,,,,,,,,,,,
