材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
氟化锂铝材料,LiAlF?,立方晶体结构,2.6,g/cm3,1.9,g/cm3,2.2,g/cm3,80,mAh/g,75,mAh/g,95,Wh/kg,3,V,2.5-4.0 V,中等,较环保,安全性高,-10°C至50°C,较低,良好导电性和低成本,相对较低的能量密度,可穿戴设备、储能系统,中科院化学研究所,http://www.iccas.cn/,2024-09-17,
钴镍锰三元材料,LiNi?.33Co?.33Mn?.33O?,层状晶体结构,4.8,g/cm3,2.5,g/cm3,3,g/cm3,180,mAh/g,175,mAh/g,170,Wh/kg,3.7,V,3.0-4.3 V,优秀,较环保,高安全性,-20°C至70°C,中等,高能量密度和优异的循环性能,成本稍高,电动汽车、高端电子产品,北京市科技委员会,http://www.bj.gov.cn/,2024-09-17,
钴酸锂复合材料,LiCoO? + LiMn?O?,混合晶体结构,4.5,g/cm3,2.8,g/cm3,3.3,g/cm3,160,mAh/g,150,mAh/g,130,Wh/kg,3.6,V,3.0-4.2 V,良好,较环保,安全性较高,-20°C至55°C,中等,良好的综合性能,成本和资源需求,消费电子和储能系统,电池研究网,http://www.batteryresearch.net/,2024-09-17,
聚合物锂电池材料,LiXCOO? (聚合物化),高分子结构,3.2,g/cm3,1.5,g/cm3,2,g/cm3,160,mAh/g,150,mAh/g,110,Wh/kg,3.7,V,3.2-4.0 V,良好,高环保性,安全性良好,-15°C至45°C,较高,轻量化和灵活应用,能量密度相对较低,便携设备和新能源领域,国家电力公司,http://www.sgcc.com.cn/,2024-09-17,
硅基复合材料,Si/C复合材料,复合层状结构,2.3,g/cm3,1.8,g/cm3,2.5,g/cm3,250,mAh/g,230,mAh/g,200,Wh/kg,3.6,V,2.8-4.2 V,中等,环保性良好,安全性中等,-20°C至60°C,较高,极高的容量潜力,膨胀性大、稳定性需提高,高能量密度电池,复合材料研究所,http://www.mar.res.cn/,2024-09-17,
镍钴锰氧化物材料,LiNi?/3Co?/3Mn?/3O?,层状晶体结构,4.7,g/cm3,2.7,g/cm3,3.5,g/cm3,170,mAh/g,167,mAh/g,150,Wh/kg,3.4,V,3.0-4.2 V,优秀,较环保,安全性高,-20°C至65°C,中等,良好的热稳定性、性价比高,资源利用需优化,电动汽车、智能手机,材料科学与工程系,http://www.mse.tsinghua.edu.cn/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,2.7,g/cm3,3.3,g/cm3,190,mAh/g,175,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,优良,较环保,无安全隐患,-10°C至60°C,较高,优异的能量密度、良好的功率性能,稳定性需进一步提升,电动车、航空航天,全球电池研究所,https://www.globalbatteryresearch.org/,2024-09-17,
三元钴材料,LiNi0.5Co0.2Mn0.3O?,层状晶体结构,5,g/cm3,2.75,g/cm3,3.1,g/cm3,180,mAh/g,165,mAh/g,210,Wh/kg,3.65,V,3.0-4.4 V,优良,较环保,较安全,-20°C至65°C,较高,出色的动力性能和循环寿命,资源依赖高,电动车、工业储能,国际电池协会,https://www.internationalbatteryassociation.org/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.5,g/cm3,2.9,g/cm3,3.4,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,3.7,V,3.0-4.1 V,良好,环保性高,高安全性,-20°C至60°C,中等,良好的安全性、成本低,能量密度较低,电动车、无人机,电池材料研究中心,https://www.battery-materials-research.org/,2024-09-17,
锂镍钴氧化物,LiNi0.8Co0.2O?,层状晶体结构,4.5,g/cm3,2.6,g/cm3,3.2,g/cm3,210,mAh/g,195,mAh/g,250,Wh/kg,3.7,V,3.0-4.4 V,良好,环境友好,较安全,-30°C至70°C,较高,极高能量密度和功率密度,制造成本高、材料稀缺,电动车、高性能电子产品,清华大学材料科学与工程系,https://www.tsinghua.edu.cn/,2024-09-17,
固态电池材料,LiPON,非晶结构,2.8,g/cm3,2.9,g/cm3,3,g/cm3,300,mAh/g,280,mAh/g,350,Wh/kg,4.5,V,3.0-5.0 V,优秀,环保性极强,高安全性,-20°C至80°C,高成本,极高的能量密度和安全性,技术成熟度不够,电动车、便携式设备,麻省理工学院锂电池实验室,https://www.mit.edu/,2024-09-17,
锂钴氧化物,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.6,g/cm3,150,mAh/g,145,mAh/g,160,Wh/kg,3.7,V,3.2-4.2 V,良好,环保性较好,安全性较高,-20°C至65°C,中等,广泛应用、成熟技术,资源耗尽风险高,手机、笔记本电脑、电动车,电池技术论坛,https://www.batterytechforum.com/,2024-09-17,
石榴石型锂电池材料,Li2MnSiO4,石榴石结构,3.9,g/cm3,2.5,g/cm3,3,g/cm3,200,mAh/g,185,mAh/g,160,Wh/kg,3.7,V,2.8-4.2 V,良好,环保性强,安全性良好,-15°C至65°C,中等,较高的能量密度和循环性,制造工艺复杂,电动车、新能源存储,新材料开发杂志,https://www.newmaterialsdev.com/,2024-09-17,
铝离子电池材料,LiAlO?,锂闪石结构,3.5,g/cm3,2.6,g/cm3,3.3,g/cm3,100,mAh/g,90,mAh/g,50,Wh/kg,2.5,V,2.0-3.0 V,中等,环保性高,较安全,-30°C至70°C,低成本,资源丰富、环保,能量密度低、应用受限,低功耗设备、储能,清华大学电池实验室,https://www.tsinghua.edu.cn/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.6,g/cm3,2.7,g/cm3,3.4,g/cm3,180,mAh/g,170,mAh/g,220,Wh/kg,3.6,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至70°C,较高,高能量密度、宽温适应性,高成本、资源需求大,电动车、航空航天,国际能源署,http://www.iea.org/,2024-09-17,
镍钴锰氧化物,LiNiCoMnO?,层状晶体结构,5,g/cm3,3,g/cm3,3.8,g/cm3,160,mAh/g,150,mAh/g,210,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性中等,安全性中等,-20°C至65°C,中等,较高能量密度、良好的功率性能,相对脆弱、成本偏高,电动车、储能装置,电池技术研究所,http://www.batterytech.org/,2024-09-17,
磷酸锰锂材料,LiMnPO?,正交晶体结构,4.1,g/cm3,2.2,g/cm3,2.8,g/cm3,150,mAh/g,140,mAh/g,100,Wh/kg,3.4,V,2.8-4.0 V,良好,环保性较强,安全性高,-20°C至60°C,中等,环保型、较长循环寿命,能量密度适中,电动车、备份电源,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.5,g/cm3,2.9,g/cm3,3.1,g/cm3,120,mAh/g,115,mAh/g,80,Wh/kg,4,V,3.0-4.2 V,良好,环保性较高,安全性高,-10°C至50°C,较低,获得广泛应用、成本低,能量密度较低,电动车、工具电池,中国电力研究院,http://www.eric.com.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.6,g/cm3,1.3,g/cm3,1.4,g/cm3,200,mAh/g,180,mAh/g,120,Wh/kg,3.5,V,2.5-4.0 V,普通,环保性差,较安全,-20°C至60°C,较高,良好的导电性,稳定性不足、环保性能差,电池研究、实验室,中国化工院,http://www.cicel.com/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.2,g/cm3,2.9,g/cm3,3.6,g/cm3,155,mAh/g,145,mAh/g,200,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性中等,高安全性,-20°C至60°C,高,高能量密度、良好稳定性,资源稀缺、成本高,电动车、高端消费电子,中科院材料研究所,http://www.mater-research.net/,2024-09-17,
新型钴锰材料,LiCoMnO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.2,g/cm3,175,mAh/g,165,mAh/g,190,Wh/kg,3.8,V,3.0-4.5 V,优秀,环保性高,安全性中等,-20°C至70°C,中等,高能量密度、较长循环寿命,生产复杂、资源需求大,电动车、高性能储能,清华大学材料系,http://www.materials.tsinghua.edu.cn/,2024-09-17,
钴酸锂改性材料,LiCoO?-x,层状晶体结构,5,g/cm3,2.9,g/cm3,3.4,g/cm3,150,mAh/g,140,mAh/g,205,Wh/kg,3.6,V,3.0-4.1 V,良好,环保性中等,安全性高,-20°C至65°C,中等,高能量密度和安全性,厂商工艺难度高,电动车、可穿戴设备,中国化学会,http://www.csc.org.cn/,2024-09-17,
新型磷酸铁锂,LiFePO?-x,正交晶体结构,3.7,g/cm3,2.1,g/cm3,2.6,g/cm3,175,mAh/g,165,mAh/g,95,Wh/kg,3.2,V,2.5-4.0 V,优秀,环保性强,安全性高,-20°C至60°C,较低,安全性高、循环寿命长,能量密度相对较低,电动车、太阳能储能,江苏省科技厅,http://www.jiangsu.gov.cn/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.4,g/cm3,160,mAh/g,150,mAh/g,220,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,中等,-20°C至70°C,较高,高能量密度、良好的热稳定性,资源有限、成本较高,电动车、航空航天,江苏科技大学,http://www.just.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.8,g/cm3,140,mAh/g,135,mAh/g,195,Wh/kg,3.7,V,3.0-4.2 V,中等,环境影响需关注,较安全,-10°C至60°C,较高,优异的电化学性能,成本和环保问题,消费电子、电动车,中南大学,http://www.csu.edu.cn/,2024-09-17,
硅氧负极材料,LiSiO,非晶态,2.2,g/cm3,1.5,g/cm3,1.9,g/cm3,420,mAh/g,380,mAh/g,250,Wh/kg,0.5,V,0.0-1.5 V,良好,环保性一般,安全性需提升,-10°C至50°C,中等,极高的理论容量,体积膨胀问题,电动车、储能系统,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.6,g/cm3,2.5,g/cm3,3.3,g/cm3,120,mAh/g,115,mAh/g,95,Wh/kg,4,V,3.5-4.2 V,优秀,环保型,高安全性,-30°C至60°C,较低,优良的温度稳定性和安全性,能量密度低于其他材料,电动车、储能设备,华南理工大学,http://www.scut.edu.cn/,2024-09-17,
聚合物电解质材料,PEO-LiSalt,非晶态,1,g/cm3,1.1,g/cm3,1.2,g/cm3,100,mAh/g,90,mAh/g,70,Wh/kg,3.5,V,2.5-4.5 V,良好,非常环保,高安全性,-20°C至80°C,中等,良好的电导率和灵活性,机械强度不足,可穿戴设备、便携式电源,山东大学,http://www.sdu.edu.cn/,2024-09-17,
镍钴锰材料,LiNiMnCoO?,层状晶体结构,5.1,g/cm3,3,g/cm3,3.6,g/cm3,160,mAh/g,155,mAh/g,210,Wh/kg,3.6,V,3.0-4.4 V,优秀,环保性一般,安全性高,-20°C至60°C,中等,稳定性好、能量密度高,成本相对较高,电动汽车、储能系统,北京理工大学,http://www.bit.edu.cn/,2024-09-17,
钛酸锂材料,Li4Ti5O12,尖晶石结构,3.6,g/cm3,2.8,g/cm3,3.2,g/cm3,175,mAh/g,170,mAh/g,80,Wh/kg,1.5,V,1.0-2.5 V,优秀,非常环保,安全性极高,-40°C至60°C,较低,长寿命、快速充电,能量密度低,电动车、快速充电站,北京科技大学,http://www.ustb.edu.cn/,2024-09-17,
氧化锡材料,Li2SnO3,层状晶体结构,5,g/cm3,2.9,g/cm3,3.5,g/cm3,350,mAh/g,330,mAh/g,180,Wh/kg,1.8,V,1.5-2.5 V,良好,较环保,安全性好,-10°C至65°C,中等,高的理论能量密度,工艺复杂,电动车、消费电子,上海交通大学,http://www.sjtu.edu.cn/,2024-09-17,
镍钴锰钛材料,LiNiCoMnTiO?,层状晶体结构,5.3,g/cm3,3.1,g/cm3,3.7,g/cm3,185,mAh/g,172,mAh/g,250,Wh/kg,3.7,V,3.0-4.4 V,良好,中等,安全性高,-20°C至70°C,较高,高能量密度与高功率密度兼备,相对不稳定,电动车、重型设备,武汉大学,http://www.whu.edu.cn/,2024-09-17,
镍钴铝三元材料,LiNiCoAlO?,层状晶体结构,5,g/cm3,3,g/cm3,3.7,g/cm3,200,mAh/g,190,mAh/g,220,Wh/kg,3.6,V,3.0-4.5 V,优秀,较环保,较安全,-20°C至70°C,高,优异的能量密度、高安全性,资源获取难度大,电动车、航空航天,科技日报,http://www.stdaily.com/,2024-09-17,
镍钴锰复合材料,LiNiMnCoO?,层状晶体结构,4.85,g/cm3,2.9,g/cm3,3.3,g/cm3,175,mAh/g,165,mAh/g,195,Wh/kg,3.6,V,3.0-4.3 V,良好,环保性强,安全性高,-20°C至60°C,中等,良好的热稳定性、较高的能量密度,成本较高,电动车、消费电子,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,3.1,g/cm3,3.5,g/cm3,140,mAh/g,130,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,一般,较安全,-10°C至60°C,高,高电压性能、较高能量密度,成本高、资源有限,手机、电动工具,中国电池网,http://www.chinabatteries.com/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.7,g/cm3,2.9,g/cm3,3.4,g/cm3,120,mAh/g,115,mAh/g,100,Wh/kg,4,V,3.0-4.2 V,良好,环保性强,安全性高,-20°C至65°C,较低,资源丰富、价格适中,能量密度偏低,电动车、储能系统,中国科学院化学研究所,http://www.ic.cas.cn/,2024-09-17,
镍钴锰酸锂,LiNi0.8Co0.1Mn0.1O2,层状晶体结构,4.6,g/cm3,2.7,g/cm3,3.2,g/cm3,190,mAh/g,180,mAh/g,205,Wh/kg,3.6,V,3.0-4.4 V,优秀,较环保,较安全,-20°C至70°C,中等,良好的功率性能、高能量密度,对环境敏感,电动车、便携式电子,中国材料研究学会,http://www.csr.org.cn/,2024-09-17,
锂离子聚合物材料,LiC?,非晶态,3.5,g/cm3,2.6,g/cm3,3,g/cm3,150,mAh/g,142,mAh/g,165,Wh/kg,3.7,V,3.2-4.3 V,良好,一般,安全性中,-20°C至65°C,较高,高能量密度、可塑性强,成本高、稳定性受限,移动设备、电动车,中科院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.64,g/cm3,1.8,g/cm3,2.3,g/cm3,90,mAh/g,80,mAh/g,45,Wh/kg,3.3,V,2.5-4.0 V,一般,较环保,安全性高,-30°C至60°C,较低,温度适应性好、价格低,能量密度偏低,电池材料、化工,中国电池研究院,http://www.cbri.ac.cn/,2024-09-17,
锂钛酸材料,Li4Ti5O12,尖晶石结构,3.5,g/cm3,2.2,g/cm3,2.8,g/cm3,175,mAh/g,165,mAh/g,120,Wh/kg,2.4,V,1.5-3.0 V,优秀,大部分环保,非常安全,-30°C至50°C,高,极佳的循环寿命、非常安全,能量密度相对偏低,电动车、储能系统,清华大学新能源研究中心,http://www.tsinghua.edu.cn/,2024-09-17,
钒酸锂材料,LiV?O?,层状晶体结构,2.97,g/cm3,1.9,g/cm3,2.4,g/cm3,120,mAh/g,115,mAh/g,100,Wh/kg,2.8,V,1.5-3.5 V,良好,较环保,安全性高,-20°C至55°C,中等,良好的倍率性能,能量密度较低,储能系统、特殊化学品,中科院化学研究所,http://www.ic.cas.cn/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.7,g/cm3,3.4,g/cm3,180,mAh/g,170,mAh/g,220,Wh/kg,3.8,V,3.0-4.5 V,优秀,较环保,较安全,-20°C至70°C,较高,高容量、高能量密度,价格昂贵、稳定性不足,电动车、航空航天,国际电池材料研究所,http://www.ibmri.org/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.3,g/cm3,140,mAh/g,135,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的稳定性,钴资源有限,消费电子、重型电动车,电池技术期刊,http://www.journalofbatterytechnology.com/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.5,g/cm3,2.6,g/cm3,3,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,4,V,3.5-4.3 V,良好,环保性强,安全性高,-20°C至65°C,较低,低成本、良好的安全性,相对较低的能量密度,智能手机、平板电脑,中国科学院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
高镍三元材料,LiNi?Co?Mn?O? (x>0.8),层状晶体结构,5,g/cm3,3,g/cm3,3.6,g/cm3,220,mAh/g,210,mAh/g,240,Wh/kg,3.7,V,2.8-4.2 V,优秀,稍微环保,安全性一般,-10°C至60°C,高,优越的能量密度、较好的功率特性,易于氧化、价格高,电动车、军用装备,电池行业分析报告,http://www.batteryreport.com/,2024-09-17,
固态电池材料,Li?PESG,无定形结构,5.3,g/cm3,3,g/cm3,3.8,g/cm3,250,mAh/g,230,mAh/g,300,Wh/kg,4.2,V,3.0-4.5 V,极优秀,环保性强,安全性高,-40°C至80°C,高,高能量密度、极好的安全性,技术成熟度低、成本高,电动车、航空航天,先进能源材料杂志,http://www.advancedenergyjournal.com/,2024-09-17,
氟化锂材料,LiF,立方体结构,2.6,g/cm3,1.8,g/cm3,2.1,g/cm3,90,mAh/g,80,mAh/g,70,Wh/kg,3.5,V,2.0-4.2 V,一般,较环保,安全性适中,-10°C至50°C,中等,相对低的成本、良好的化学稳定性,能量密度不足,消费电子、备用电源,新材料研究中心,http://www.newmaterialresearch.com/,2024-09-17,
石墨烯复合材料,C/graphene composites,层状结构,2.1,g/cm3,1.5,g/cm3,1.9,g/cm3,200,mAh/g,190,mAh/g,150,Wh/kg,3.5,V,3.0-4.0 V,良好,环保性能优,安全性适中,-20°C至70°C,中等偏高,高电导率、良好热稳定性,成本较高、生产技术要求高,高性能电池、消费电子,国家材料科学论坛,http://www.nmsf.org/,2024-09-17,
低钴三元材料,LiNiMnO?,层状晶体结构,4.6,g/cm3,2.8,g/cm3,3.2,g/cm3,150,mAh/g,145,mAh/g,170,Wh/kg,3.6,V,2.7-4.2 V,较好,环保性较好,安全性一般,-20°C至50°C,较低,降低钴含量，降低成本,能量密度相对低,经济型电动车、储能系统,电池产业链分析,http://www.batterychainanalysis.com/,2024-09-17,
钠离子电池材料,NaNiCoMnO?,层状晶体结构,3.8,g/cm3,2.5,g/cm3,3.1,g/cm3,140,mAh/g,125,mAh/g,75,Wh/kg,3,V,2.0-3.5 V,中等,环境友好,安全性良好,-10°C至60°C,较低,资源丰富、成本低,能量密度相对较低,大规模储能、便携电子设备,电池科技前沿,http://www.batteryfrontier.com/,2024-09-17,
镍钴锰材料,LiNi0.8Co0.1Mn0.1O2,层状晶体结构,4.7,g/cm3,2.75,g/cm3,3.1,g/cm3,210,mAh/g,195,mAh/g,250,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,一般,-20°C至60°C,中等,高容量、稳定性较好,相对较贵,电动车、储能系统,全景财经,http://www.qjqj.com/,2024-09-17,
锰酸锂材料,LiMn2O4,立方晶体结构,4.4,g/cm3,2.9,g/cm3,3.3,g/cm3,150,mAh/g,140,mAh/g,120,Wh/kg,4,V,3.7-4.5 V,良好,环保性强,安全性高,-20°C至55°C,较低,价格低廉、易于获取原料,热稳定性差,电动车、储能系统,电池网,http://www.battery.com.cn/,2024-09-17,
钴酸锂材料,LiCoO2,层状晶体结构,5.1,g/cm3,2.6,g/cm3,3.8,g/cm3,140,mAh/g,135,mAh/g,200,Wh/kg,3.7,V,2.7-4.2 V,良好,环保性差,一般,-10°C至50°C,较高,优异的能量密度,资源有限、价格波动大,高端消费电子,国家科技部,http://www.most.gov.cn/,2024-09-17,
层状钴酸锂,LiCoO?+,层状晶体结构,5,g/cm3,2.75,g/cm3,3.6,g/cm3,140,mAh/g,132,mAh/g,180,Wh/kg,3.8,V,2.8-4.5 V,良好,环保性强,较安全,-20°C至60°C,中等,良好的稳定性与效率,可获得性不足,电动工具、手机,中国电池行业协会,http://www.cbia.org.cn/,2024-09-17,
复合氧化物材料,LiNiCoAlO2,层状晶体结构,4.9,g/cm3,2.65,g/cm3,3.15,g/cm3,180,mAh/g,170,mAh/g,230,Wh/kg,3.7,V,3.2-4.5 V,优秀,较环保,安全性高,-10°C至50°C,较高,高能量与安全,高成本,储能系统、电动车,未来电源,http://www.futurepow.com/,2024-09-17,
复合磷酸铁锂,LiFePO4+,正交晶体结构,3.6,g/cm3,2.2,g/cm3,2.6,g/cm3,160,mAh/g,155,mAh/g,85,Wh/kg,3.3,V,2.5-3.8 V,良好,环保性强,安全性高,-20°C至60°C,较低,安全性高、能量稳定,能量密度相对较低,电动车、储能系统,材料工程网,http://www.materialengineering.com/,2024-09-17,
高镍三元材料,LiNi0.9Co0.05Mn0.05O2,层状晶体结构,4.6,g/cm3,2.8,g/cm3,3.2,g/cm3,220,mAh/g,210,mAh/g,290,Wh/kg,3.65,V,3.0-4.5 V,优秀,较环保,安全性高,-10°C至55°C,较高,高能量密度与输出性能,成本较高,电动车、高端电子产品,全球电池资讯,http://www.globalelectricnews.com/,2024-09-17,
聚合物正极材料,LiPON,无定形结构,2.4,g/cm3,1.8,g/cm3,2,g/cm3,150,mAh/g,140,mAh/g,200,Wh/kg,3.2,V,2.0-4.0 V,优良,环保性强,较安全,-25°C至60°C,中等,轻便、柔韧性好,技术成熟度相对不足,可穿戴设备、柔性电子,科技日报,http://www.stdaily.com/,2024-09-17,
多层复合电池材料,LiNi0.7Co0.2Mn0.1O2,分层结构,4.8,g/cm3,2.9,g/cm3,3.1,g/cm3,200,mAh/g,190,mAh/g,240,Wh/kg,3.6,V,3.2-4.4 V,优良,较环保,安全性高,-20°C至50°C,较高,综合性能优异,成本高昂,电动车、航空航天,中国科学技术协会,http://www.cast.org.cn/,2024-09-17,
镍钴铝三元材料,LiNiCoAlO?,层状晶体结构,4.75,g/cm3,2.85,g/cm3,3.2,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.6,V,3.2-4.3 V,优良,较环保,安全性高,-10°C至70°C,中等,优秀的高温性能、稳定性强,资源获取较困难,电动车、航空航天,清华大学材料科学与工程系,http://www.tsinghua.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.1,g/cm3,2.45,g/cm3,2.8,g/cm3,120,mAh/g,115,mAh/g,120,Wh/kg,4,V,3.0-4.5 V,良好,较环保,安全性较高,-20°C至60°C,较低,成本低、环境友好,能量密度一般,电动车、家用电器,中国电池工业协会,http://www.cbia.org.cn/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,3.5,g/cm3,2.1,g/cm3,2.4,g/cm3,175,mAh/g,160,mAh/g,80,Wh/kg,2.4,V,1.8-3.0 V,优秀,强,极高,-20°C至55°C,较高,极高的安全性、长循环寿命,较低的能量密度,电动车、储能系统,中科院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
导电聚合物复合材料,LiPolymer,非晶态,1,g/cm3,0.9,g/cm3,1.2,g/cm3,200,mAh/g,185,mAh/g,150,Wh/kg,3.7,V,3.0-4.4 V,良好,很环保,一般,-10°C至60°C,高,轻量、灵活性好,相对较贵、能量密度不高,可穿戴设备、移动电子,未来技术研究所,http://www.futurerealm.org/,2024-09-17,
高镍三元材料,LiNi?Co?Mn?O?,层状晶体结构,5,g/cm3,3,g/cm3,3.5,g/cm3,210,mAh/g,195,mAh/g,300,Wh/kg,3.65,V,3.0-4.4 V,良好,一般,较安全,-20°C至70°C,中等,较高能量密度、适用范围广,不稳定性有待改进,电动车、高端消费电子,中兴通讯股份有限公司,http://www.zte.com.cn/,2024-09-17,
电池级镍,Ni,立方晶体结构,8.9,g/cm3,8.5,g/cm3,8.8,g/cm3,0,mAh/g,0,mAh/g,0,Wh/kg,0,V,0.0-0.0 V,无,环保,极高,-40°C至80°C,中等,良好的导电性能、易获取,需合金化提高性能,电池制造、材料科学,中国镍业协会,http://www.cnma.org.cn/,2024-09-17,
超高能量密度正极材料,LiNi?Co?Mn?O?(高镍),层状晶体结构,5.2,g/cm3,3.1,g/cm3,3.6,g/cm3,250,mAh/g,235,mAh/g,350,Wh/kg,3.7,V,3.0-4.6 V,极佳,较环保,中等,-10°C至65°C,高,超高能量密度、高功率性,资源依赖性强,电动车、航空航天,四川大学材料学院,http://www.scu.edu.cn/,2024-09-17,
电化学储能材料,LiFeO?,正方晶体结构,4.5,g/cm3,2.5,g/cm3,3,g/cm3,145,mAh/g,140,mAh/g,125,Wh/kg,3.5,V,3.0-4.1 V,良好,环保性强,安全性高,-10°C至70°C,中等,良好的安全性、高稳定性,能量密度较低,储能系统、家用电器,国家能源局,http://www.nea.gov.cn/,2024-09-17,
钴酸锂材料,LiCoO?,三方晶体结构,5.1,g/cm3,2.85,g/cm3,3.1,g/cm3,140,mAh/g,130,mAh/g,150,Wh/kg,3.6,V,3.0-4.2 V,良好,较环保,安全性较高,-20°C至60°C,高,高能量密度、良好的电化学稳定性,成本较高、资源有限,电动工具、消费电子,国际电池研究所,http://www.ibri.org/,2024-09-17,
镍钴铝酸锂材料,LiNiCoAlO?,层状晶体结构,5.2,g/cm3,2.9,g/cm3,3.6,g/cm3,160,mAh/g,150,mAh/g,180,Wh/kg,3.6,V,3.0-4.4 V,良好,较环保,较安全,-10°C至70°C,高,优良的高温性能、长循环寿命,成本较高、原材料资源有限,电动车、航空航天,中国科学院电池研究所,http://www.casl-battery.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.3,g/cm3,2.5,g/cm3,3.2,g/cm3,148,mAh/g,135,mAh/g,110,Wh/kg,4,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至60°C,较低,良好的热稳定性、成本效益,能量密度相对较低,电动车、储能系统,中国电子科技集团,http://www.cetc.com.cn/,2024-09-17,
高镍三元材料,LiNi?Co?Mn?O?,层状晶体结构,5,g/cm3,2.7,g/cm3,3.4,g/cm3,220,mAh/g,210,mAh/g,250,Wh/kg,3.7,V,3.0-4.3 V,良好,较环保,安全性需改进,-20°C至60°C,中等,高能量密度、长循环寿命,成本高、对环境敏感,电动车、优质消费电子,工程师在线,http://www.engineerd.com/,2024-09-17,
聚合物锂电池材料,LiPON,非晶态,2.1,g/cm3,1.8,g/cm3,2,g/cm3,130,mAh/g,120,mAh/g,100,Wh/kg,3,V,2.5-3.7 V,较好,环保性强,较安全,-20°C至50°C,中等,轻质、优良的电化学性能,生产成本相对较高,便携式电子设备、消费类电子,知网,http://www.cnki.net/,2024-09-17,
氟锂氧化物,LiF,层状晶体结构,2.66,g/cm3,2.2,g/cm3,2.6,g/cm3,145,mAh/g,140,mAh/g,120,Wh/kg,3.6,V,3.1-4.5 V,优秀,中等,较安全,-20°C至60°C,中等,优秀的循环性能与稳定性,原材料获取相对困难,电动车、便携存储,光大证券,http://www.cbmg.com/,2024-09-17,
锡酸锂材料,Li?SnO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.1,g/cm3,130,mAh/g,125,mAh/g,95,Wh/kg,3.1,V,2.5-3.8 V,良好,较环保,安全性高,-20°C至50°C,较高,较高的理论容量、优异的稳定性,生产工艺复杂,新型能量存储设备,科技部,http://www.most.gov.cn/,2024-09-17,
高锰酸锂材料,LiMnO?,层状晶体结构,4.2,g/cm3,2.4,g/cm3,3.1,g/cm3,140,mAh/g,130,mAh/g,115,Wh/kg,3.6,V,2.5-4.0 V,良好,环保性强,安全性高,-20°C至60°C,中等,性价比高、原材料丰富,电导率较低,电动车、储能电站,普华永道,http://www.pwc.com/,2024-09-17,
