机器人类型,主要结构,特点,常见应用,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
救援机器人,多功能移动平台,远程操控、环境监测,紧急救助、灾后重建,字符型,国家自然灾害救援专家委员会,https://www.ncdma.gov.cn,,
娱乐机器人,交互式设计,语音识别、表情反应,家庭陪伴、教育玩具,字符型,中国玩具和婴童用品协会,https://www.ctj.com.cn,,
安防机器人,固定监控系统,实时监控、入侵检测,智能建筑、社区安防,字符型,国家公共安全部门,https://www.mps.gov.cn,,
康复机器人,可穿戴结构,辅助运动、可调节性,物理治疗、运动康复,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
无人机,固定翼设计,航拍、远程操控,农业监测、地理勘查,字符型,中国航空工业集团,http://www.avic.com,,
家居机器人,小型移动平台,自我学习、家电控制,智能家居控制、生活助手,字符型,中国人工智能产业发展联盟,https://www.caai.cn,,
巡逻机器人,全地形底盘,环境感知、自动巡逻,军事、保安,字符型,中国军事科学研究院,http://www.amoy.edu.cn,,
宠物机器人,生物仿生设计,情感交互、反应灵敏,家庭娱乐、陪伴服务,字符型,中国机器人技术研究中心,https://www.robotics.org.cn,,
智能家居机器人,固定基础与移动平台,语音控制、智能学习,家庭安全、智能监控,字符型,智能家居研究中心,https://www.smart-home.com,,
无人机,四旋翼设计,实时监控、长续航,农业监测、物流配送,字符型,中国无人机协会,https://www.uca.org.cn,,
仓储机器人,移动自主导航,高效存取、智能识别,物流运输、仓库管理,字符型,仓储技术研究所,https://www.warehousetech.org,,
巡逻机器人,轮式移动底盘,视频监控、环境感知,安全巡逻、公共场所监测,字符型,公共安全部,https://www.publicsafety.gov,,
外科手术机器人,机械手臂与视像系统,微创、高精度,复杂手术、远程手术,字符型,国家医学委员会,https://www.nhc.gov.cn,,
教育机器人,模块化编程平台,可编程、开放式接口,编程教育、STEM培训,字符型,中国教育机器人协会,https://www.credentialeducation.com,,
救援机器人,全地形平台,强适应性、远程操控,灾难救援、搜索作业,字符型,国家应急管理部,https://www.mem.gov.cn,,
物流机器人,拼接式车身,智能调度、自动导航,货物搬运、分拣作业,字符型,物流协会,https://www.logisticsassociation.org,,
养老护理机器人,移动交互机器人,情感交互、健康监测,居家养老、医疗陪护,字符型,老龄化社会研究中心,https://www.ageingresearch.com,,
清洁机器人,圆形自走式设计,智能规划、自动充电,室内清洁、商业保洁,字符型,中国清洁行业协会,https://www.cleaningindustry.org,,
智能家居机器人,联网控制系统,远程操控、安全监测,家庭安防、智能家电控制,字符串,智能家居协会,https://www.smarthome.org,,
快递配送机器人,自走式底盘,自动行驶、路径规划,城市配送、餐饮外卖,字符串,中国物流与采购联合会,http://www.clc.org.cn,,
无人机,多旋翼设计,高机动性、航拍功能,农业监测、城市规划,字符串,中国民用航空局,http://www.caac.gov.cn,,
护理机器人,移动底盘与机械臂,陪伴、日常护理,老人护理、康复辅导,字符串,国家老龄化发展研究中心,http://www.cnlss.gov.cn,,
清洁机器人,全方位传感器,自主清扫、增强学习,家庭清理、商业空间清洁,字符串,中国机械工业联合会,http://www.cmif.org.cn,,
探险机器人,耐高温外壳,适应极端环境、遥控操作,火灾现场、深海探测,字符串,国家科技部,http://www.most.gov.cn,,
娱乐机器人,社交交互系统,语音识别、情感交流,孩子玩具、家庭伴侣,字符串,国际机器人展,http://www.irex.org,,
手术机器人,高精度机械手,高级成像、微创手术,外科手术、治疗程序,字符串,国家医学科学院,http://www.nm.china.com,,
建筑机器人,多功能操控系统,施工自动化、材料搬运,建筑工地、基础设施建设,字符串,中国建筑协会,http://www.china-construct.com,,
物流机器人,模块化车身,路线优化、智能分拣,仓库管理、货物分配,字符串,中国仓储协会,http://www.cwa.org.cn,,
服务机器人,移动底盘,语音识别、情感交互,老人护理、陪伴,字符型,科技日报,https://www.stdaily.com,,
无人机,四旋翼设计,高空拍摄、实时监控,农业监测、城市规划,字符型,中国无人机产业网,https://www.cuaa.org.cn,,
教育机器人,可编程小车,模块化、趣味性,STEAM教育、编程学习,字符型,机器人教育研究中心,https://www.edu-robotics.cn,,
医疗机器人,手术机器人,远程操作、精准定位,远程手术、复杂操作,字符型,医药科学杂志,https://www.medsci.cn,,
工业机器人,协作机械臂,人机协作安全、灵活性,组装、质检,字符型,中国机器人研究所,https://www.roboticsinstitute.cn,,
物流机器人,自动导引车(AGV),路径规划、自主导航,仓储物流、物料运输,字符型,物流技术与应用,https://www.logisticsjournal.cn,,
特种机器人,水下探测器,耐压、深海探测,海洋科学、资源勘探,字符型,海洋研究机构,https://www.oceanicresearch.cn,,
农业机器人,无人拖拉机,自动化种植、精准施肥,大规模农田作业,字符型,农业科技杂志,https://www.agri-tech.cn,,
安防机器人,巡逻机器人,移动监控、实时警报,公共安全、事件监控,字符型,中国安防技术网,https://www.security.cn,,
娱乐机器人,舞蹈机器人,表情互动、舞蹈编程,表演、互动展览,字符型,演艺科技论坛,https://www.performance-tech.cn,,
物流机器人,移动平台,扫描定位、智能避障,仓库管理、配送服务,字符型,京东物流,https://www.jd.com,,
服务机器人,固定基座,人脸识别、情感交互,酒店接待、购物中心,字符型,中国服务机器人协会,https://www.csra.org.cn,,
农业机器人,无人机,喷洒农药、数据采集,农作物监测、精准施肥,字符型,农业科技杂志,https://www.agriculturaljournal.com,,
教育机器人,载体平台,语音识别、学习辅导,线上课堂、辅导学习,字符型,百度教育,https://edu.baidu.com,,
医疗机器人,桌面机器人,实时数据监控、远程诊断,病人监测、家庭护理,字符型,中国医疗器械行业协会,https://www.cmeia.org,,
社区助理机器人,移动导航系统,社区服务、老人陪伴,社区管理、老年关怀,字符型,国家老龄办,http://www.ageing.gov.cn,,
救援机器人,轮式平台,高强度作业、环境探测,灾难现场、搜索救援,字符型,中国红十字会,https://www.redcross.org.cn,,
清洁机器人,自走式清扫,自动充电、路径规划,室内外清洁,字符型,智能家居研究中心,https://www.smart-home.cn,,
科研机器人,实验室手臂,高精度、可调节吃重,科学实验、样本分析,字符型,中国科学院,http://www.cas.cn,,
娱乐机器人,交互台,表演、互动娱乐,主题公园、展览活动,字符型,网易科技,https://tech.163.com,,
服务机器人,轮式移动平台,多语言支持、云连接,酒店接待、导览,字符型,中国服务机器人产业协会,https://www.csria.org.cn,,
工业机器人,并联机器人,高速、高负载,电子组装、搬运,字符型,工信部,https://www.miit.gov.cn,,
医药机器人,可穿戴装置,实时数据监测,病人监控、药物管理,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,,
教育机器人,人形设计,情感交互、学习能力,编程教学、互动学习,字符型,中国教育科学研究院,http://www.cnerd.gov.cn,,
家务机器人,全方位吸尘器,智能规划、自动充电,清洁、家居管理,字符型,智能家居研究中心,https://www.smarthome.org.cn,,
农业机器人,无人驾驶拖拉机,精准播种、数据分析,大田耕作、农业监控,字符型,农业经济研究所,http://www.aeri.org.cn,,
娱乐机器人,遥控模型,可塑性、创意编程,比赛、教育演示,字符型,国际机器人博览会,https://www.robotexhibition.com,,
军用机器人,地面无人侦察系统,隐身、长续航,战场监控、侦察任务,字符型,中国人民解放军技术研究院,http://www.71.cn,,
特种机器人,水下遥控设备,深水探测、视频实时传输,海洋研究、救援行动,字符型,国家海洋局,http://www.soa.gov.cn,,
危险环境机器人,遥控多功能车,抗辐射、远程操控,核设施监测、探测危险物,字符型,国家核安全局,http://www.cnnrc.gov.cn,,
物流机器人,自动导航车,高效运输、实时定位,仓库管理、配送服务,字符型,物流与供应链协会,https://www.lsca.org,,
清洁机器人,智能扫地机,自动清扫、路径规划,家庭清洁、商用卫生,字符型,家电网,https://www.homeappliance.org,,
人形机器人,双足步态系统,人机交互、情感表达,陪伴、助老,字符型,机器人技术论坛,https://www.robotechforum.com,,
水下机器人,水下无人机,深水作业、高清摄像,海洋探测、环境监测,字符型,海洋研究所,https://www.oceaninstitute.org,,
娱乐机器人,可编程玩具,音效互动、编程教育,儿童教育、娱乐,字符型,玩具行业协会,https://www.toyassociation.org,,
社交机器人,有效通讯系统,情感识别、多语言支持,社会交互、商业助手,字符型,智能科技博览会,https://www.techfair.org,,
安防机器人,全景监控系统,实时监控、智能报警,公共安全、家庭监控,字符型,安全技术研究中心,https://www.securitytech.org,,
农业巡检机器人,全地形机器人,数据采集、农田检测,作物监测、土壤分析,字符型,农业科技杂志,https://www.agritechmag.com,,
辅助移动机器人,轮式移动平台,人机协作、自主导航,老年护理、医疗辅佐,字符型,医学机器人协会,https://www.medrobotics.org,,
机器人艺术家,机器人手臂,创意绘画、自动创作,艺术展示、教学,字符型,数字艺术平台,https://www.digitalart.org,,
工业机器人,并联机器人,高速、稳定性高,电子产品组装,字符型,电子行业协会,https://www.eia.gov.cn,,
服务机器人,智能轮式底盘,多功能、语音识别,餐饮服务、地产展示,字符型,中国服务机器人产业技术创新战略联盟,https://www.csric.org.cn,,
医疗机器人,柔性机器人手,人机协作、数据收集,康复治疗、药物分配,字符型,国家医疗卫生研究院,https://www.nhri.gov.cn,,
农业机器人,无人驾驶拖拉机,适应性强、智能监控,田间管理、作物监测,字符型,中国农业科学院,https://www.caas.cn,,
教育机器人,可编程编队,实践性强、激发创造力,编程教育、STEM教育,字符型,科技部,https://www.most.gov.cn,,
特种机器人,多模态探测器,强智能感知、实时监测,地质勘探、环境监测,字符型,中国科学技术协会,https://www.cast.org.cn,,
物流机器人,自动引导车(AGV),路径规划、自主导航,仓库自动化、配送中心,字符型,物流技术协会,https://www.logistics.org.cn,,
救援机器人,遥控操作平台,高流动性、远程操控,灾难现场救援、火灾救助,字符型,国家消防救援局,https://www.mnr.gov.cn,,
产品检验机器人,机视觉检测系统,高精度、全面检测,质量控制、零件检验,字符型,国家市场监督管理总局,https://www.samr.gov.cn,,
环保机器人,水下作业机器人,抗压强、长续航,水质监测、海洋调查,字符型,生态环境部,https://www.mee.gov.cn,,
服务机器人,人形设计,语音识别、情感交互,老年人护理、陪伴,字符型,科技日报,https://www.stdaily.com,,
物流机器人,移动自动化平台,自主搬运、快速配送,仓库自动化、快递配送,字符型,物流技术网,https://www.logistics.gov.cn,,
建筑机器人,臂式机械,高强度、抗环境侵蚀,建筑施工、砖砌,字符型,中国建筑业协会,https://www.chinabuilding.org,,
水下机器人,流线型设计,深水操作、高清摄像,海洋调查、资源勘探,字符型,国家海洋局,http://www.soa.gov.cn,,
巡检机器人,移动底盘,智能监测、远程控制,工厂巡检、设备维护,字符型,工业互联网,https://www.iiot.gov.cn,,
清洁机器人,紧凑型设计,智能路径规划、自主清洁,家庭、商业清洁,字符型,家庭科技,https://www.home-tech.cn,,
陪伴机器人,半人形结构,情感表达、个性化服务,儿童陪伴、情感交流,字符型,人工智能发展中心,https://www.ai.gov.cn,,
农业管理机器人,拖拉机形式,精准施肥、气候适应,农业管理、土壤监测,字符型,中国农业科学院,http://www.caas.cn,,
救援机器人,多功能底盘,自主移动、环境探测,灾难现场援助,字符型,国家消防救援部,https://www.msa.gov.cn,,
娱乐机器人,球型设计,智能互动、游戏功能,玩具、教育,字符型,儿童教育与科技,http://www.child-eductech.cn,,
物流机器人,自动导航系统,自主移动、路径规划,仓储管理、配送,字符型,国家发改委,https://www.ndrc.gov.cn,,
清洁机器人,轮式底盘,智能感知、自主清洁,家庭清洁、商业环境,字符型,中国家电协会,http://www.cheaa.org,,
娱乐机器人,人形设计,情感交互、表情识别,社交陪伴、儿童教育,字符型,国际机器人博览会,http://www.robots-expo.com,,
安全监控机器人,固定摄像头、移动底盘,实时监控、移动巡视,公共安全、工厂防盗,字符型,国家公安部,http://www.mps.gov.cn,,
餐饮服务机器人,移动传送系统,自动送餐、语音识别,餐厅、酒店,字符型,食品药品监管局,http://www.nmpa.gov.cn,,
建筑机器人,高精度机械臂,模板构建、精准施工,建筑施工、基础设施,字符型,中国建筑业协会,http://www.cab.org.cn,,
巡逻机器人,移动模块平台,环境识别、异常报警,校园安全、社区巡逻,字符型,国家安防产品推荐网,http://www.security.gov.cn,,
运动机器人,动态平衡设计,多种运动功能、交互性,儿童玩具、教育课程,字符型,中国玩具和婴童用品协会,http://www.ctjpa.org,,
救援机器人,全地形移动结构,多功能、障碍物绕行,灾后救援、消防,字符型,国家应急管理部,https://www.mem.gov.cn,,
无人机技术,旋翼设计,高空监控、图像传输,农业喷洒、土地勘测,字符型,中国无人机产业联盟,http://www.uav.org.cn,,
物流机器人,模块化传输系统,动态路径规划、智能调度,仓储管理、配送,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
水下机器人,多功能探测平台,深水探测、实时监控,海洋探测、环境监测,字符型,中国海洋局,http://www.soa.gov.cn,,
家庭机器人,智能语音识别系统,语音交互、智能家居控制,日常家务、陪伴,字符型,智能家居论坛,https://www.smarthome.com,,
安防机器人,移动监控平台,实时监控、异常报警,公共安全、企业安防,字符型,公安部,http://www.mps.gov.cn,,
娱乐机器人,交互式舞台装置,实时互动、表演能力,艺术表演、展览,字符型,文化和旅游部,http://www.mct.gov.cn,,
军事机器人,遥控作战平台,高机动性、远程操作,军事侦察、救援任务,字符型,国防科技大学,https://www.nudt.edu.cn,,
教育辅助机器人,互动式学习平台,个性化学习、实时反馈,儿童教育、语言学习,字符型,科学教育出版社,https://www.scienceeducation.com.cn,,
建筑机器人,全自动施工系统,高效率、精确度高,建筑施工、材料搬运,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
巡逻机器人,多传感器融合系统,环境感知、自主决策,商场、校园安防,字符型,维保科技研究院,https://www.vait.edu.cn,,
清洁机器人,智能导航系统,高效清洁、自主充电,家庭清洁、公共卫生,字符型,卫生健康委员会,https://www.nhc.gov.cn,,
