产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
空天能源管理系统,能源设备,能量输出：100kW,70,人,能源效率评估标准,能源标准,2024-02-20,航空能源科技公司,能源局,http://www.nea.gov.cn,2024-10-08,,,,,,,,,
空天智能监控系统,监控设备,监控范围：10km²,140,人,监控效果评估标准,监控标准,2023-10-30,智能监控科技公司,安全部,https://www.mps.gov.cn,2024-10-08,,,,,,,,,
空天导航辅助系统,辅助设备,集成精度：±2米,85,人,导航辅助评估标准,测量标准,2024-04-15,导航服务公司,导航技术研究所,https://www.navigation-research.com,2024-10-08,,,,,,,,,
空天精准农业系统,农业技术,作物监测：20公顷,75,人,农业技术评估标准,农业标准,2024-05-05,农业科技公司,农业部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,
空天安全防护系统,安全设备,防护级别：IP67,60,人,安全防护评估标准,安全标准,2024-06-20,安全技术公司,国家安全技术局,http://www.nsta.gov.cn,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,型号：HZ-800,160,人,环境影响评估标准,环境标准,2023-08-12,环境科技公司,环保部,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天通信链路系统,通信设备,带宽：500MHz,250,人,网络安全评估标准,安全标准,2023-11-01,通信安全中心,网络安全局,https://www.cybersecurity.gov.cn/,2024-10-08,,,,,,,,,
空天智能导航系统,导航设备,精度：±2米,130,人,导航精度评估标准,测量标准,2024-03-15,智能导航公司,国家导航协会,https://www.inas.gov.cn/,2024-10-08,,,,,,,,,
空天遥感技术平台,遥感设备,分辨率：0.3米,95,人,图像处理标准,图像标准,2023-12-05,遥感观察公司,中国科学院,https://www.cas.cn/,2024-10-08,,,,,,,,,
空天数据集成平台,数据处理软件,处理能力：2TB/day,110,人,效率优化标准,性能标准,2024-04-22,数据整合技术公司,数字经济部,https://www.moe.gov.cn/,2024-10-08,,,,,,,,,
空天探测卫星,卫星,重量：600kg,300,人,发射性能评估标准,发射标准,2024-09-18,航天技术公司,国家航天检测中心,https://www.cset.gov.cn/,2024-10-08,,,,,,,,,
空天生物监测系统,监测设备,监测范围：1000km,75,人,生物安全评估标准,安全标准,2024-05-10,生命科技公司,生物技术部,https://www.most.gov.cn/biology,2024-10-08,,,,,,,,,
空天空间天气监测站,监测设备,监测精度：±0.1°C,65,人,气象监测评估标准,气象标准,2024-06-30,气象科技公司,国家气象局,https://www.nmc.cn/,2024-10-08,,,,,,,,,
空天多球导航系统,导航设备,精度：±1米,140,人,导航稳定性评估标准,测量标准,2023-10-25,导航研究院,国家科技部,https://www.most.gov.cn/navigation,2024-10-08,,,,,,,,,
空天深空探测平台,探测器,尺寸：3m x 2m x 1m,85,人,功能可靠性评估标准,功能标准,2024-07-15,深空探索公司,国家天文局,https://www.nrao.gov/,2024-10-08,,,,,,,,,
空天农业监测系统,监测设备,型号：AGRO-300,100,人,农业监测评估标准,行业标准,2023-10-10,农业科技公司,中国农业科研网,https://www.agriresearch.cn/monitoring,2024-10-08,,,,,,,,,
空天迁移预警系统,预警设备,探测范围：500km,75,人,安全性预警标准,安全标准,2024-02-20,自然灾害监控中心,气象局,https://www.cma.gov.cn/early-warning,2024-10-08,,,,,,,,,
空天环保监测系统,监测设备,监测指标：空气质量,60,人,环境评估标准,环保标准,2023-11-05,环境保护局,国家环保部,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天气象支持系统,气象设备,数据更新周期：10分钟,200,人,气象数据标准,气象标准,2023-12-15,国家气象局,中央气象台,https://www.nmc.cn/weather,2024-10-08,,,,,,,,,
空天交通监控系统,监控设备,监测城市：20个,140,人,交通评估标准,运输标准,2024-01-05,交通运输部,全国交通信息网,https://www.mot.gov.cn/traffic-monitoring,2024-10-08,,,,,,,,,
空天应急响应系统,应急设备,响应时间：15分钟,120,人,应急响应标准,应急标准,2024-03-01,应急管理部,国家应急管理局,https://www.mem.gov.cn/emergency-response,2024-10-08,,,,,,,,,
空天智能交通系统,智能系统,算法优化：AI实时分析,220,人,智能化标准,技术标准,2024-04-15,智能科技公司,人工智能协会,https://www.aia.org.cn/intelligent-transport,2024-10-08,,,,,,,,,
空天军事监控系统,监测设备,"探测高度：10,000米",300,人,军事监测标准,国防标准,2024-05-30,国防科技公司,国防部,https://www.mod.gov.cn/military-monitoring,2024-10-08,,,,,,,,,
空天卫星通信系统,通信设备,传输速率：1Gbps,180,人,通信稳定性评估标准,通信标准,2024-06-22,航天通信公司,国家航天局,https://www.cnsa.gov.cn/communication,2024-10-08,,,,,,,,,
卫星成像系统,成像设备,像素：1亿,140,人,图像解析度评估标准,图像标准,2023-11-15,卫星科技有限公司,国际航天研究院,https://www.israeli-space.org,2024-10-08,,,,,,,,,
空天物流平台,物流平台,负载能力：500kg,220,人,负载效率评估标准,运作标准,2023-12-01,空天物流公司,民航局,https://www.caac.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测仪,气象设备,测量范围：-40℃ to 50℃,60,人,环境监测标准,技术标准,2024-01-15,中国气象局,气象研究机构,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天数据安全系统,安全软件,加密级别：256位,75,人,安全性评估标准,安全标准,2024-02-20,网络安全公司,国家网络信息办公室,https://www.cac.gov.cn/,2024-10-08,,,,,,,,,
空间探测传感器,探测设备,探测深度：100km,90,人,探测能力评估标准,功能标准,2024-03-05,探测科技有限公司,国家自然资源部,https://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空间资源管理系统,管理软件,支持用户：1000人,185,人,管理效率评估标准,管理标准,2024-04-10,资源管理科技公司,国家资源委员会,https://www.nrc.gov.cn/,2024-10-08,,,,,,,,,
无人机空天监测系统,监测设备,航时：12小时,110,人,飞行性能评估标准,性能标准,2024-05-01,无人机研究中心,民用无人机管理局,https://www.caa.gov.cn/,2024-10-08,,,,,,,,,
空天测量系统,测量设备,测量精度：±2cm,130,人,测量标准,技术标准,2024-06-30,测量科技公司,国际测绘协会,https://www.igum.org/,2024-10-08,,,,,,,,,
空天应用服务平台,服务平台,用户数量：5000人,300,人,服务满意度评估标准,服务标准,2024-07-25,应用科技公司,服务质量协会,https://www.sqa.org/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：QX-300,180,人,气象监测评估标准,环境标准,2023-08-12,气象科技公司,中国气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天防灾预警平台,预警设备,响应时间：<10分钟,220,人,灾害预警评估标准,安全标准,2023-11-05,防灾减灾中心,国家应急管理部,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天航天器调度系统,调度软件,处理能力：实时调度,95,人,调度效率评估标准,效率标准,2024-03-15,航天调度公司,中国航天科技集团,http://www.casc.com.cn/,2024-10-08,,,,,,,,,
空天卫星授时系统,授时设备,精度：±1微秒,60,人,授时精度评估,时空标准,2024-02-20,卫星定位公司,国家测绘局,https://www.ngcc.cn/,2024-10-08,,,,,,,,,
空天生境监测系统,监测设备,覆盖面积：500km²,130,人,生态监测评估标准,环境标准,2024-01-30,环境保护部,生态环境部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天信号处理系统,处理软件,处理吞吐量：10GB/s,110,人,信号处理评估标准,性能标准,2023-10-25,信号技术公司,行业协会,https://www.its.org/,2024-10-08,,,,,,,,,
空天轨道仿真系统,仿真软件,仿真精准度：±0.1°,75,人,仿真精确度评估,仿真标准,2023-12-01,仿真技术研究院,航天科学出版社,http://www.spacepub.cn/,2024-10-08,,,,,,,,,
空天图像识别系统,图像处理设备,识别速率：200图像/秒,140,人,图像识别评估标准,性能标准,2024-04-18,图像科技公司,中国科学院,http://www.cas.cn/,2024-10-08,,,,,,,,,
空天综合信息平台,信息管理系统,用户数：最大5000人,190,人,平台可用性评估,可靠性标准,2023-11-20,信息技术公司,科技发展局,http://www.most.gov.cn/,2024-10-08,,,,,,,,,
空天多功能探测设备,探测器,探测范围：300km,55,人,功能评估标准,功能标准,2024-05-05,探测技术公司,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测仪,气象设备,量程：-50℃至+50℃,70,人,气象精度评估标准,测量标准,2023-08-15,气象科技公司,中国气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天卫星通信终端,通信设备,支持频段：L/S/C波段,180,人,通信效率评估标准,性能标准,2023-11-22,卫星通信公司,国际通信联盟,https://www.itu.int,2024-10-08,,,,,,,,,
空天多光谱成像系统,成像设备,光谱范围：400-1000nm,120,人,图像质量评估标准,图像标准,2023-10-10,成像科技公司,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-08,,,,,,,,,
空天智能分析平台,分析软件,处理能力：500TB/day,90,人,智能化标准,性能标准,2023-12-01,智能技术公司,人工智能研究所,https://www.aim.com,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机设备,飞行时间：最长30小时,160,人,飞行性能评估标准,安全标准,2024-01-15,无人机技术公司,国家无人机局,https://www.udc.gov.cn,2024-10-08,,,,,,,,,
空天低轨卫星平台,卫星设备,轨道高度：550km,300,人,轨道稳定评估标准,技术标准,2024-02-20,航天系统公司,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,
空天数据安全系统,安全设备,加密标准：AES-256,75,人,数据安全评估标准,安全标准,2024-03-05,网络安全公司,国家网络安全局,https://www.cac.gov.cn,2024-10-08,,,,,,,,,
空天地面服务平台,服务软件,用户容量：500用户同时在线,55,人,服务性能评估标准,性能标准,2023-10-30,服务科技公司,电信监管机构,https://www.miit.gov.cn,2024-10-08,,,,,,,,,
空天视觉传感器,传感器设备,传感范围：1-15米,85,人,视觉精度评估标准,性能标准,2024-01-25,传感科技公司,国际传感器协会,https://www.isa.org,2024-10-08,,,,,,,,,
空天环境监控系统,监控设备,监测范围：10km²,40,人,环境质量评估标准,环境标准,2024-02-15,环境科技公司,环保部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天巡逻系统,监测设备,型号：XJ-750,250,人,综合评估标准,技术标准,2023-08-15,空天防务公司,国际航天联会,https://www.iafastro.org,2024-10-08,,,,,,,,,
空天天气监测系统,气象监测设备,监测范围：1000公里,180,人,气象准确性评估标准,气象标准,2023-09-25,国家气象局,气象研究中心,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天数据融合平台,数据处理软件,兼容性：多种数据格式,120,人,数据质量评估标准,数据标准,2024-01-15,信息科技公司,数据共享平台,https://www.datashare.cn,2024-10-08,,,,,,,,,
空天定位系统,导航设备,定位精度：±3米,160,人,测量评估标准,技术标准,2023-10-10,导航技术研究院,国家测绘局,https://www.ngcc.cn,2024-10-08,,,,,,,,,
空天应急响应系统,应急管理设备,响应时间：< 5分钟,220,人,响应效率标准,应急标准,2023-12-01,应急管理部,国家应急管理局,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天遥感数据分析系统,软件,分析速度：500GB/hour,90,人,分析效率评估标准,软件标准,2024-02-20,遥感技术公司,中国遥感网,https://www.cresda.cn,2024-10-08,,,,,,,,,
空天资源监测系统,监测设备,监测深度：地表至500米,140,人,资源评估标准,技术标准,2023-11-05,资源科技公司,国家自然资源部,https://www.mnr.gov.cn,2024-10-08,,,,,,,,,
空天区域安全监测系统,监测设备,监测范围：300公里,170,人,区域安全评估标准,安全标准,2024-03-12,安全技术研究院,国家安全监管局,https://www.anshi.gov.cn,2024-10-08,,,,,,,,,
空天交通管理系统,交通监控设备,实时监控：每秒1000个数据点,200,人,交通流量评估标准,交通标准,2024-04-01,交通运输部,交通大数据研究中心,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,传感器类型：多普勒雷达,60,人,气象监测评估标准,气象标准,2023-10-01,气象科技研究中心,中国气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天卫星通信系统,卫星设备,频率：12GHz,300,人,通信效率评估标准,通信标准,2024-05-20,卫星通信公司,国家广播电视总局,https://www.nrta.gov.cn/cban,2024-10-08,,,,,,,,,
空天遥感数据分析软件,分析软件,处理速度：高于2GB/s,75,人,数据处理能力标准,软件标准,2023-11-12,遥感数据科技公司,中国科技部,https://www.most.gov.cn,2024-10-08,,,,,,,,,
空天空间探测系统,探测系统,探测深度：500km,250,人,探测精度标准,探测标准,2024-03-15,空间探测事务所,国际宇航联合会,https://www.iaf.ch/,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机设备,飞行高度：3000米,120,人,无人机飞行安全标准,安全标准,2023-12-01,无人机技术公司,中国民用航空局,https://www.caac.gov.cn,2024-10-08,,,,,,,,,
空天环境监测仪,环境监测设备,检测范围：2700km,95,人,环境监测标准,环境标准,2024-01-20,环境科技公司,生态环境部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天信息处理平台,信息处理软件,存储容量：10TB,140,人,信息处理效能标准,信息标准,2024-06-10,信息技术公司,数据中心技术协会,https://www.datacenters.org,2024-10-08,,,,,,,,,
空天系统安全监控平台,安全监控系统,监控范围：全球,180,人,安全监控标准,安全标准,2024-04-25,网络安全研究所,网络安全协会,https://www.cybersec.org,2024-10-08,,,,,,,,,
空天资源评估系统,资源评估软件,评估精度：95%,70,人,资源评估标准,资源标准,2024-02-28,自然资源公司,自然资源部,https://www.mnr.gov.cn,2024-10-08,,,,,,,,,
空天核算分析系统,分析软件,运算能力：5TB/day,70,人,计算精度评估标准,性能标准,2024-03-15,先进核算科技公司,国际空间标准组织,https://www.isss.org/analysis,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,分辨率：1080p,120,人,安全监控评估标准,安全标准,2024-02-28,全球安全监测公司,全球安全事务局,https://www.gsmg.gov/monitoring,2024-10-08,,,,,,,,,
空天无人机数据接口,接口设备,支持多种协议,60,人,接口兼容性评估标准,技术标准,2024-04-01,无人机技术研究院,无人机协会,https://www.dronetech.org.cn/interface,2024-10-08,,,,,,,,,
空天卫星图像处理平台,图像处理软件,处理速度：720张/分钟,90,人,图像处理效率评估标准,性能标准,2024-05-20,卫星成像科技公司,国家航天局,https://www.cnsa.gov.cn/imageprocessing,2024-10-08,,,,,,,,,
空天多频通信系统,通信设备,频段：1GHz - 30GHz,150,人,频率稳定性评估标准,技术标准,2024-06-10,高频通信实验室,通信行业协会,https://www.ctia.org.cn/communication,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测范围：0-5000米,110,人,环境监测评估标准,环境标准,2024-07-05,环境科技发展公司,环境保护部,https://www.epb.gov.cn/environment,2024-10-08,,,,,,,,,
空天智能决策系统,决策支持软件,智能分析能力：高,55,人,决策支持效率评估标准,效率标准,2024-08-15,智能分析科技公司,科技与决策研究院,https://www.sdri.gov.cn/decision,2024-10-08,,,,,,,,,
空天无人机空域管理系统,管理软件,支持100架无人机同时管理,130,人,空域安全评估标准,管理标准,2024-09-10,无人机管理局,国家交通运输部,https://www.mot.gov.cn/airspace,2024-10-08,,,,,,,,,
空天交互式培训系统,培训软件,包含虚拟现实模块,40,人,培训效果评估标准,教育标准,2024-10-01,职业培训中心,教育部,https://www.moe.gov.cn/training,2024-10-08,,,,,,,,,
空天卫星遥感应用平台,应用软件,全球覆盖能力,75,人,应用效能评估标准,应用标准,2024-11-20,遥感应用科技公司,遥感应用研究所,https://www.rs-research.org.cn/application,2024-10-08,,,,,,,,,
空天智能监控系统,监控设备,型号：IM-600,180,人,安全性评估标准,安全标准,2023-10-01,智能监控科技公司,科技创新网,https://www.techinnovation.cn,2024-10-08,,,,,,,,,
空天遥控飞行器,飞行器,续航：15小时,75,人,性能评估标准,性能标准,2023-11-15,无人机技术研究所,航空航天协会,https://www.aerospace.org,2024-10-08,,,,,,,,,
空天实时数据传输系统,数据传输设备,数据速率：1Gbps,140,人,传输效率标准,技术标准,2024-03-20,数据传输科技公司,科技日报,https://www.stdaily.com,2024-10-08,,,,,,,,,
空天环境监测器,监测设备,监测范围：50km,95,人,环境监测标准,环境标准,2023-12-10,环境保护科技公司,环保部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天精准农业监测系统,农业监测设备,分辨率：1米,110,人,农业监测标准,农业标准,2024-01-05,农业科技公司,农业农村部,https://www.moa.gov.cn,2024-10-08,,,,,,,,,
空天气象预报系统,气象设备,预测精度：±2天,130,人,气象预报标准,气象标准,2024-02-15,国家气象局,中国气象网,https://www.weather.com.cn,2024-10-08,,,,,,,,,
空天灾害预警系统,预警设备,响应时间：3分钟,60,人,预警系统标准,功能标准,2023-08-25,灾害管理技术公司,应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天同步通讯卫星,通信卫星,轨道高度：36000公里,220,人,通信质量标准,技术标准,2024-04-10,空间通信公司,国家卫星通信管理局,https://www.scm.gov.cn,2024-10-08,,,,,,,,,
空天导航与定位服务平台,导航系统,定位精度：±1米,140,人,定位标准,测量标准,2023-09-30,导航科技公司,中国测绘网,https://www.ngcc.gov.cn,2024-10-08,,,,,,,,,
空天监控系统,监控设备,型号：XJ-700,175,人,可靠性评估标准,可靠性标准,2023-10-15,宇宙科技集团,产业信息网,https://www.industryinfo.cn/monitor,2024-10-08,,,,,,,,,
空天精密测量系统,测量设备,精度：±2米,110,人,测量精度标准,标准化标准,2023-11-05,航空测量公司,中国测绘网,https://www.cngps.org/metrology,2024-10-08,,,,,,,,,
空天卫星通信设备,卫星通信设备,频段：Ka频段,220,人,通信效率评估标准,通信标准,2024-03-01,卫星通信研究院,国家无线电管理局,https://www.nrta.gov.cn/satellite,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,传感器类型：多模态,95,人,环境监测标准,环境标准,2024-02-20,环境科学研究院,生态监测平台,https://www.ecology.gov.cn/environment,2024-10-08,,,,,,,,,
空天图像处理软件,数据处理软件,处理能力：500GB/day,70,人,软件性能评估标准,技术标准,2024-04-10,图像科技公司,计算机技术协会,https://www.ccta.gov.cn/image-processing,2024-10-08,,,,,,,,,
空天灾害监测系统,监测设备,检测能力：灾害预测,135,人,灾害响应标准,应急标准,2024-05-25,灾害管理研究所,国家应急管理局,https://www.mem.gov.cn/disaster-monitoring,2024-10-08,,,,,,,,,
空天网格化调度系统,调度系统,网格化管理,160,人,调度效率标准,效率标准,2024-06-18,调度科技局,交通运输部,https://www.mot.gov.cn/scheduling,2024-10-08,,,,,,,,,
空天物联网平台,物联网设备,连接设备：300个,85,人,连接稳定性标准,技术标准,2024-07-30,物联网科技公司,国家发展改革委,https://www.ndrc.gov.cn/iot,2024-10-08,,,,,,,,,
空天安全防护系统,安全设备,防护级别：高级,125,人,安全防护评估标准,安全标准,2024-08-15,安全科技发展中心,公安部,https://www.mps.gov.cn/security-system,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：500公里,180,人,气象数据有效性评估标准,数据标准,2023-08-15,气象科技有限公司,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天安全监控平台,安全监控设备,监控距离：300公里,250,人,安全监控评估标准,安全标准,2023-11-02,安全技术研究中心,国际安全组织,https://www.ics.org/safety,2024-10-08,,,,,,,,,
空天人工智能决策系统,决策软件,算法模型：深度学习,70,人,决策准确性评估标准,技术标准,2024-03-10,AI技术公司,中国人工智能协会,https://www.caa.org.cn/ai,2024-10-08,,,,,,,,,
空天遥测系统,遥测设备,数据传输速率：10Mbps,150,人,传输稳定性评估标准,性能标准,2023-12-01,遥测科技有限责任公司,国家无线电管理局,https://www.srrc.org.cn/remote-sensing,2024-10-08,,,,,,,,,
空天地面控制系统,控制设备,控制距离：1000公里,300,人,操作效率评估标准,操作标准,2024-04-18,地面控制科技公司,中国航天科技集团,https://www.cahnedc.com/ground-control,2024-10-08,,,,,,,,,
空天多光谱成像系统,成像设备,成像波段：0.4-2.5微米,100,人,成像精度评估标准,成像标准,2023-10-12,多光谱技术公司,中国遥感学会,https://www.crs.org.cn/multispectral,2024-10-08,,,,,,,,,
空天任务管理系统,管理软件,任务处理能力：每日100个,40,人,任务效率评估标准,管理标准,2024-01-22,任务管理科技有限公司,国际航天联合体,https://www.ispac.org/mission-management,2024-10-08,,,,,,,,,
空天资源整合平台,系统整合软件,资源整合能力：10种源,90,人,整合效率评估标准,系统标准,2024-05-05,资源整合科技有限公司,全国科技创新中心,https://www.nsti.gov.cn/integration,2024-10-08,,,,,,,,,
空天交通管理系统,管理系统,管理范围：空域1000公里,200,人,空气交通流量评估标准,流量标准,2023-09-09,交通管理技术公司,中国民航局,https://www.caac.gov.cn/air-traffic,2024-10-08,,,,,,,,,
空天生物监测系统,生物监测设备,监测生物：鸟类及其栖息地,65,人,生物数据质量评估标准,生物监测标准,2024-02-15,生物监测科技公司,生态环境部,https://www.mee.gov.cn/biology,2024-10-08,,,,,,,,,
空天数据安全平台,数据安全设备,加密强度：2048位,110,人,安全性能评估标准,安全标准,2023-08-15,网络安全研究院,国家网络信息办公室,https://www.cac.gov.cn,2024-10-08,,,,,,,,,
空天机器人操作系统,软件系统,支持设备数量：200个,75,人,功能性评估标准,功能标准,2024-03-01,智能科技公司,人工智能协会,https://www.ai.org.cn,2024-10-08,,,,,,,,,
空天微卫星系统,卫星设备,轨道高度：550km,60,人,功能评估标准,技术标准,2023-12-12,卫星制造公司,中国航天科技集团,https://www.casc.cn,2024-10-08,,,,,,,,,
空天实时监控系统,监控设备,监控范围：1000km²,130,人,监控精度标准,性能标准,2023-11-22,实时科技有限公司,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天情报分析软件,分析软件,分析速度：10GB/s,85,人,效率评估标准,性能标准,2024-01-18,数据分析公司,国家情报局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,
空天环境监测网络,监测系统,监测频率：每小时一次,95,人,监测标准,环境标准,2024-02-20,环境监测中心,国家环保部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天航空数据共享平台,共享平台,用户容量：5000人,45,人,数据共享评估标准,共享标准,2023-10-09,航空管理局,民航总局,https://www.caac.gov.cn,2024-10-08,,,,,,,,,
空天信息采集装置,信息采集设备,采集范围：500km²,67,人,采集性能标准,技术标准,2023-09-29,信息技术公司,中国科技网,https://www.cstnet.cn,2024-10-08,,,,,,,,,
空天区域安全监测系统,监测设备,监测半径：40km,100,人,区域安全标准,安全标准,2024-04-05,安全科技公司,国家安全局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,
空天云计算服务平台,云计算平台,服务链路：10Gbps,150,人,服务效率评估标准,性能标准,2024-05-15,云计算技术公司,科技创新委员会,https://www.most.gov.cn,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测范围：30km,140,人,环境监测评估标准,技术标准,2024-03-01,环境科技研究院,环境保护部,https://www.mep.gov.cn/environment,2024-10-08,,,,,,,,,
空天导航卫星,卫星设备,发射重量：3000kg,250,人,导航精度评估标准,全球标准,2024-04-10,航天科技集团,国家气象局,https://www.cma.gov.cn/navi-satellite,2024-10-08,,,,,,,,,
空天遥感分析系统,数据分析软件,分析速率：2TB/day,60,人,数据处理标准,性能标准,2023-11-15,遥感科技有限公司,遥感应用中心,https://www.rforce.com.cn/analysis,2024-10-08,,,,,,,,,
空天通信服务器,服务器设备,处理能力：500G,200,人,网络稳定性评估标准,网络标准,2023-12-01,通信技术公司,技术发展研究中心,https://www.techdev.org.cn,2024-10-08,,,,,,,,,
空天气象探测器,气象探测设备,探测范围：100km,90,人,气候监测评估标准,气象标准,2024-05-20,国家气象卫星中心,气象数据服务局,https://www.weather.gov.cn,2024-10-08,,,,,,,,,
空天数据共享平台,数据平台,支持用户：5000,120,人,用户满意度评估标准,服务标准,2024-06-15,数据共享中心,云计算协会,https://www.cloudassociation.cn,2024-10-08,,,,,,,,,
空天国防系统,防卫设备,响应时间：<1秒,300,人,安全性评估标准,国防标准,2024-07-25,国防科技大学,国防科技部,https://www.mod.gov.cn,2024-10-08,,,,,,,,,
空天非机动监控系统,监控设备,有效监控：500公里,75,人,监控精度评估标准,监控标准,2024-01-20,监控技术公司,安防科学研究院,https://www.securities.com.cn,2024-10-08,,,,,,,,,
空天网络安全监测平台,网络安全设备,防护级别：高级,180,人,网络安全评估标准,安全标准,2023-08-30,网络安全研究中心,网络安全局,https://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机系统,飞行时间：3小时,110,人,飞行性能评估标准,航空标准,2024-02-22,无人机技术公司,航空管理局,https://www.caac.gov.cn,2024-10-08,,,,,,,,,
空天物流管理系统,物流软件,处理单位：500万个订单/日,110,人,物流效率评估标准,效率标准,2024-03-15,物流科技有限公司,行业协会,https://www.logistics.org,2024-10-08,,,,,,,,,
空天气象监测器,气象设备,监测范围：最大1000公里,75,人,气象数据评估标准,环境标准,2024-04-01,气象科学研究所,自然资源部,https://www.mnr.gov.cn,2024-10-08,,,,,,,,,
空天智能决策系统,决策支持软件,智能算法：基于AI,160,人,决策性能评估标准,技术标准,2024-02-20,智能科技集团,科技日报,https://www.stdaily.com,2024-10-08,,,,,,,,,
空天卫星导航引导系统,导航软件,更新时间：每秒1次,90,人,导航精度评估标准,测量标准,2023-12-05,航天导航有限公司,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,
空天数据挖掘与分析平台,数据分析软件,分析速度：100GB/小时,85,人,数据处理评估标准,性能标准,2024-05-12,数据技术集团,信息技术与通信部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,
空天综合监控系统,监控设备,覆盖范围：全球,200,人,综合监控评估标准,技术标准,2024-07-22,综合监控技术公司,国家安全局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,
空天无线传输设备,无线设备,传输距离：最大20公里,40,人,无线传输评估标准,安全标准,2024-04-15,无线通信公司,中国无线协会,https://www.cwa.org.cn,2024-10-08,,,,,,,,,
空天应急响应系统,应急管理软件,响应时间：3秒内,65,人,应急评估标准,应急标准,2024-06-30,应急管理局,国家应急事务管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天遥测传输系统,遥测设备,上传速度：10MB/s,120,人,遥测数据评估标准,数据标准,2024-01-18,遥测技术公司,中国遥测协会,https://www.ctma.org.cn,2024-10-08,,,,,,,,,
空天虚拟现实辅助系统,虚拟现实软件,支持设备：多平台兼容,55,人,虚拟现实评估标准,功能标准,2024-05-05,虚拟科技公司,虚拟现实协会,https://www.vr-association.org,2024-10-08,,,,,,,,,
空天智能监控系统,监控设备,型号：AIM-300,180,人,智能性能评估标准,技术标准,2024-04-22,智能科技公司,官方发布,https://www.kongtian.com/intelligent-monitoring,2024-10-08,,,,,,,,,
空天防御通信工具,通信设备,带宽：200MHz,230,人,安全防护评估标准,安全标准,2023-11-30,国防通信研究院,军委科技办,https://www.mod.gov.cn/defense-comms,2024-10-08,,,,,,,,,
空天数据融合平台,数据处理软件,处理能力：2TB/day,95,人,性能集成评估标准,技术标准,2024-03-15,数据融合科技公司,应用研究协会,https://www.appliedresearch.org.cn/fusion,2024-10-08,,,,,,,,,
空天精确导航系统,导航设备,精度：±2米,135,人,导航精度评估标准,测量标准,2024-01-20,精确导航科技公司,国家测绘局,https://www.ngcc.cn/precision-navigation,2024-10-08,,,,,,,,,
空天遥感影像处理系统,遥感设备,分辨率：0.2米,70,人,遥感影像质量评估标准,图像标准,2024-02-10,遥感分析公司,中国遥感网,https://www.cresda.cn/image-processing,2024-10-08,,,,,,,,,
空天多功能探测器,探测器,尺寸：1.5m x 0.8m x 0.4m,60,人,功能整合评估标准,功能标准,2024-05-05,探测创新公司,国家航天局,https://www.cnsa.gov.cn/multi-function-detector,2024-10-08,,,,,,,,,
