受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1782/TJ,次轨道飞行器环境适应性测试,性能测试,空天技术,2,2023/4/18,智能航天科技有限公司,火星探索团队,已受理,410000,待审,智能航天公司,实验室测试,智能航天科技有限公司,2023-006,空天技术,V1.2,航空航天新闻网,http://www.space-news.com,2024-10-09,
CN10-1819/TJ,智能无人机群协同技术,系统设计,空天技术,1,2023/5/22,天际无人机公司,遥感科创集团,完成,500000,合格,天际科技股份,现场测试,天际无人机公司,2023-007,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1815/TJ,基于AI的空天侦察技术,数据处理,空天技术,2,2023/7/5,空天情报分析有限公司,未来科技研究院,已受理,320000,合格,空天分析公司,数据分析,空天情报分析有限公司,2023-008,空天技术,V1.1,智能科技报告,http://www.ai-tech.gov,2024-10-09,
CN10-1785/TJ,太空能源收集与传输系统,能源开发,空天技术,1,2023/10/1,太空能源科技有限公司,星际能源研究所,正在进行,110000,待审,太空科技公司,实验室测试,太空能源科技有限公司,2023-009,空天技术,V2.0,清华科技论坛,http://www.tsinghua.edu.cn,2024-10-09,
CN10-1710/TJ,月球探测器自动导航系统,导航系统,空天技术,1,2023/11/15,月球探测科技集团,国际探测合作组织,已完成,220000,合格,月球技术公司,实地测试,月球探测科技集团,2023-010,空天技术,V1.0,中国航天新闻网,http://www.spacechina.com,2024-10-09,
CN10-1787/TJ,热电发电材料与技术,材料开发,空天技术,2,2023/12/30,能源新材料研究院,未来材料公司,正在进行,430000,待审,新材料科技有限公司,实验室测试,能源新材料研究院,2023-011,空天技术,V1.0,材料科学网,http://www.materials.org.cn,2024-10-09,
CN10-1742/TJ,空间站自动货物监管系统,系统设计,空天技术,1,2024/1/20,航天物流技术研发中心,宇宙空间公司,已受理,440000,待审,航天物流研究公司,现场测试,航天物流技术研发中心,2024-012,空天技术,V1.0,航天科技报,http://www.space-tech.com.cn,2024-10-09,
CN10-1813/TJ,地外矿产资源探测技术,探测技术,空天技术,2,2024/2/15,深空资源调查公司,星际探测公司,正在进行,330000,待审,深空资源公司,实验室测试,深空资源调查公司,2024-013,空天技术,V1.0,中国科学技术报,http://www.cast.org.cn,2024-10-09,
CN10-1790/TJ,星基激光通信技术,通信系统,空天技术,1,2023/10/1,星际通信科技公司,未来网络公司,已受理,350000,合格,星基科技发展有限公司,系统集成测试,星际通信科技公司,2023-006,空天技术,V1.0,国家信息技术部,http://www.miit.gov.cn,2024-10-09,
CN10-1745/TJ,低轨卫星群导航系统,导航系统,空天技术,2,2023/9/25,宇视科技公司,宇航集团,进行中,420000,待审,宇视科技有限公司,卫星实验,宇视科技公司,2023-007,空天技术,V1.1,中国卫星网,http://www.csat.gov.cn,2024-10-09,
CN10-1823/TJ,空间资源勘探技术,勘探技术,空天技术,1,2023/11/5,太空矿业科技公司,无,已完成,410000,合格,太空能源公司,实验室研究,太空矿业科技公司,2023-008,空天技术,V1.0,国际空间研究中心,http://www.isro.gov.in,2024-10-09,
CN10-1792/TJ,高空空气动力学模型,模型研究,空天技术,2,2023/8/22,高空技术研究院,天宇科技,已受理,310000,合格,高空科技有限公司,模拟实验,高空技术研究院,2023-009,空天技术,V1.1,中国科学院,http://www.cas.cn,2024-10-09,
CN10-1758/TJ,智能化飞行器操控技术,操控系统,空天技术,1,2023/2/12,飞行控制科技公司,智能制造有限公司,进行中,120000,待审,智能飞控技术公司,现场测试,飞行控制科技公司,2023-010,空天技术,V1.0,航空电子报,http://www.aeronauticnews.cn,2024-10-09,
CN10-1801/TJ,空间环境监测技术,监测系统,空天技术,2,2023/7/18,空间气候技术研究所,无,已完成,440000,合格,空间环境监测公司,卫星测量,空间气候技术研究所,2023-011,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1819/TJ,无人驾驶航空器网络协同技术,网络系统,空天技术,1,2023/4/27,无人机创新科技公司,飞翔科技公司,待审,370000,待审,无人驾驶科技公司,网络仿真,无人机创新科技公司,2023-012,空天技术,V1.0,航空科技最新动态,http://www.aerospace.org.cn,2024-10-09,
CN10-1730/TJ,新型发射器设计技术,发射系统,空天技术,2,2023/8/1,革新航天科技有限公司,火箭通信公司,已受理,330000,合格,发射器技术发展公司,发动机测试,革新航天科技有限公司,2023-013,空天技术,V1.2,国家航天局,http://www.cmas.gov.cn,2024-10-09,
CN10-1775/TJ,空间碎片监测与防护技术,防护技术,空天技术,1,2023/10/15,空间安全技术公司,诚信测控公司,进行中,440100,待审,空间防护科技有限公司,实时监测,空间安全技术公司,2023-014,空天技术,V1.0,中国科学院空间研究所,http://www.casi.ac.cn,2024-10-09,
CN10-1694/TJ,新型空间通信协议设计,系统设计,空天技术,1,2023/9/20,未来通信技术有限公司,数据空间有限公司,已受理,110000,合格,未来科技公司,理论模拟,未来通信技术有限公司,2023-006,空天技术,V1.0,北京市科技局,http://www.bjkw.gov.cn,2024-10-09,
CN10-1819/TJ,低轨卫星群监测系统,监测系统,空天技术,2,2023/8/15,星辰大海科技有限公司,卫星科技研究院,完成,510000,合格,星辰科技公司,卫星发射,星辰大海科技有限公司,2023-007,空天技术,V1.1,四川省科技厅,http://www.scstc.gov.cn,2024-10-09,
CN10-1773/TJ,火星探测器热防护材料,材料开发,空天技术,1,2023/10/1,火星科技公司,宇航材料研究所,正在进行,360000,待审,火星材料技术有限公司,实验室测试,火星科技公司,2023-008,空天技术,V2.0,中国航天新闻,http://www.space-news.cn,2024-10-09,
CN10-1782/TJ,无人机自适应飞行控制算法,控制系统,空天技术,2,2023/10/15,飞天无人系统公司,智能控制有限公司,已完成,430000,合格,智能无人科技公司,算法验证,飞天无人系统公司,2023-009,空天技术,V1.0,湖南省交通运输厅,http://www.hnjt.gov.cn,2024-10-09,
CN10-1819/TJ,空天情报融合技术,信息处理,空天技术,1,2023/9/12,全景科技有限公司,先进信息系统研究所,待审,150000,待审,全景信息技术公司,数据集成,全景科技有限公司,2023-010,空天技术,V1.0,内蒙古科技厅,http://www.nmgst.gov.cn,2024-10-09,
CN10-1815/TJ,深空探测数据分析平台,数据分析,空天技术,2,2023/10/30,宇宙探索技术公司,数据科学研究中心,已受理,310000,合格,宇宙数据分析公司,云端处理,宇宙探索技术公司,2023-011,空天技术,V1.0,国家航天局,http://www.nasa.gov,2024-10-09,
CN10-1785/TJ,空天监测大数据平台,平台开发,空天技术,1,2023/7/5,大数据科技公司,空间信息研究所,完成,340000,合格,大数据应用科技公司,数据处理,大数据科技公司,2023-012,空天技术,V1.1,安徽省科技厅,http://www.ahst.gov.cn,2024-10-09,
CN10-1710/TJ,智能航天材料研发技术,材料研发,空天技术,2,2023/11/5,航天新材料公司,材料科学研究院,待审,230000,待审,航天材料技术有限公司,材料测试,航天新材料公司,2023-013,空天技术,V1.0,黑龙江省科技厅,http://www.hljst.gov.cn,2024-10-09,
CN10-1787/TJ,空间汽车设计技术,概念设计,空天技术,1,2023/10/12,星河汽车公司,未来交通研究院,正在进行,370000,待审,星河交通科技公司,概念验证,星河汽车公司,2023-014,空天技术,V1.0,山东省科技厅,http://www.sdst.gov.cn,2024-10-09,
CN10-1742/TJ,空间垃圾监测与识别系统,监测系统,空天技术,1,2023/10/1,宇航防护科技公司,无,已受理,141125,合格,宇航科技公司,实时监测,宇航防护科技公司,2023-006,空天技术,V1.0,国家空间局,http://www.nasa.gov,2024-10-09,
CN10-1813/TJ,卫星通信系统优化算法,算法研究,空天技术,2,2023/11/3,卫星通信研究院,信息科技公司,正在进行,420000,待审,卫星科技股份有限公司,仿真测试,卫星通信研究院,2023-007,空天技术,V2.0,国际空间通信联盟,http://www.itu.int,2024-10-09,
CN10-1790/TJ,低轨道卫星星座部署技术,系统规划,空天技术,1,2023/10/15,新太空产业集团,无,完成,250000,合格,新太空技术公司,轨道模拟,新太空产业集团,2023-008,空天技术,V1.1,中国空天实验室,http://www.space.cn,2024-10-09,
CN10-1773/TJ,飞行器多传感器融合技术,系统集成,空天技术,2,2023/12/10,飞天智能科技有限公司,智慧科技集团,待审,330000,待审,飞天科技公司,实验室测试,飞天智能科技有限公司,2023-009,空天技术,V1.0,航空工业报道,http://www.aero-news.net,2024-10-09,
CN10-1782/TJ,高能激光武器系统测试,武器测试,空天技术,1,2023/9/25,先进武器技术公司,国防科技院,已完成,640000,合格,武器研发公司,实地测试,先进武器技术公司,2023-010,空天技术,V1.0,国防科技报,http://www.dst.gov.cn,2024-10-09,
CN10-1819/TJ,无人机空域管理系统,系统开发,空天技术,2,2023/12/1,智能无人机开发公司,无人机科技联盟,已受理,610000,合格,无人机科技股份有限公司,模拟测试,智能无人机开发公司,2023-011,空天技术,V1.0,无人机网,http://www.uavchina.com,2024-10-09,
CN10-1815/TJ,星际探测器设计与开发,系统设计,空天技术,1,2023/11/15,星际探索科技公司,空天科技股份有限公司,正在进行,310000,待审,星际科技公司,设计评审,星际探索科技公司,2023-012,空天技术,V1.0,科学技术日报,http://www.stdaily.com,2024-10-09,
CN10-1785/TJ,高超声速飞行器材料研究,材料科学,空天技术,2,2023/10/25,材料科学技术研究院,国防科技大学,待审,150000,待审,材料科技公司,材料测试,材料科学技术研究院,2023-013,空天技术,V1.0,科技部公告,http://www.most.gov.cn,2024-10-09,
CN10-1710/TJ,卫星遥感数据分析平台,数据处理,空天技术,1,2023/12/5,遥感数据科技公司,无,完成,460000,合格,遥感科技有限公司,数据分析,遥感数据科技公司,2023-014,空天技术,V1.1,遥感产业网,http://www.rsi.org,2024-10-09,
CN10-1787/TJ,空间环境监测设备研发,设备研发,空天技术,1,2023/10/1,中国空间基础设施有限公司,星辰科技有限公司,已受理,110000,合格,中国空间科技公司,实验室测试,中国空间基础设施有限公司,2023-006,空天技术,V1.0,中国航天科技集团,http://www.cashq.gov.cn,2024-10-09,
CN10-1742/TJ,空间通信技术优化方案,系统设计,空天技术,2,2023/8/15,宇宙通信技术公司,迅达科技,待审,450000,待审,宇宙通信有限公司,模拟测试,宇宙通信技术公司,2023-007,空天技术,V2.0,国际通信研究院,https://www.icri.org.cn,2024-10-09,
CN10-1813/TJ,低轨卫星数据融合技术,数据处理,空天技术,1,2023/7/30,卫星数据科技公司,博思科技,完成,330000,合格,卫星数据有限公司,数据分析,卫星数据科技公司,2023-008,空天技术,V1.2,国家大数据局,http://www.data.gov.cn,2024-10-09,
CN10-1790/TJ,常高空无人机性能提升技术,系统优化,空天技术,2,2023/9/20,无人机技术集团,星云航空,正在进行,420000,合格,无人机科技有限公司,野外测试,无人机技术集团,2023-009,空天技术,V1.1,航空资源网,http://www.aviationnews.cn,2024-10-09,
CN10-1773/TJ,新型推进系统研究,系统研发,空天技术,1,2023/10/5,宇航推进技术公司,科技探索公司,待审,310000,待审,宇航科技有限公司,实验室测试,宇航推进技术公司,2023-010,空天技术,V1.0,中国航天新闻网,http://www.spacechina.com,2024-10-09,
CN10-1782/TJ,航空遥感应用平台开发,软件开发,空天技术,2,2023/6/25,地球探索技术公司,信息工程公司,完成,440000,合格,地球科技有限公司,软件测试,地球探索技术公司,2023-011,空天技术,V1.3,信息产业部,http://www.miit.gov.cn,2024-10-09,
CN10-1819/TJ,空间大气监测仪器开发,仪器研发,空天技术,1,2023/8/30,大气科学研究所,气象科技集团,正在进行,120000,待审,气象科研有限公司,实验室测试,大气科学研究所,2023-012,空天技术,V1.0,气象局官网,http://www.cma.gov.cn,2024-10-09,
CN10-1815/TJ,智能飞行控制系统的优化,系统改进,空天技术,2,2023/5/15,飞行控制技术公司,智航科技,已完成,450000,合格,飞行科技有限公司,模拟测试,飞行控制技术公司,2023-013,空天技术,V1.2,中国科技网,http://www.kexue.com,2024-10-09,
CN10-1785/TJ,虚拟现实在航天技术中的应用,应用研究,空天技术,1,2023/9/12,虚拟现实科技有限公司,未来科技公司,待审,350000,待审,虚拟现实研究院,应用测试,虚拟现实科技有限公司,2023-014,空天技术,V1.1,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1710/TJ,空间波动力学模拟技术,模型仿真,空天技术,1,2023/5/30,宇航模拟技术公司,无,已受理,410000,合格,宇航科技公司,计算机模拟,宇航模拟技术公司,2023-006,空天技术,V1.0,中国高科技产业网,http://www.chinatechnews.com,2024-10-09,
CN10-1787/TJ,小型无人机空中导航系统,导航系统,空天技术,2,2023/7/12,无人机科技有限公司,无,完成,440100,合格,无人机科技研究所,实地测试,无人机科技有限公司,2023-007,空天技术,V2.0,南方日报,http://www.southcn.com,2024-10-09,
CN10-1742/TJ,火星土壤探测机设计,设备设计,空天技术,1,2023/8/15,火星探索技术公司,无,正在进行,120000,待审,火星科技公司,原型测试,火星探索技术公司,2023-008,空天技术,V1.5,中国航天新闻网,http://www.spacechina.com,2024-10-09,
CN10-1813/TJ,量子通信卫星系统,通信系统,空天技术,2,2023/9/25,量子通信技术有限公司,三方合作社,已完成,330100,合格,量子科技公司,实验室测试,量子通信技术有限公司,2023-009,空天技术,V2.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1790/TJ,空间垃圾清理技术,环境监控,空天技术,1,2023/10/1,空间清理技术研究所,无,待审,500100,待审,空间环境公司,模拟测试,空间清理技术研究所,2023-010,空天技术,V1.0,人民网,http://www.people.com.cn,2024-10-09,
CN10-1773/TJ,高性能太阳能电池技术,能源技术,空天技术,2,2023/11/5,太阳能科技公司,无,已完成,310100,合格,太阳能创新公司,效率测试,太阳能科技公司,2023-011,空天技术,V1.2,光明日报,http://www.gmw.cn,2024-10-09,
CN10-1782/TJ,多功能监测卫星系统,卫星系统,空天技术,1,2023/9/20,监测卫星科技有限公司,无,正在进行,340000,待审,卫星监测公司,数据收集,监测卫星科技有限公司,2023-012,空天技术,V1.3,中国网络电视台,http://www.cntv.cn,2024-10-09,
CN10-1819/TJ,空中交通管理系统,系统设计,空天技术,2,2023/10/30,空中交通管理公司,二方合作社,已完成,130000,合格,交通科技公司,模型测试,空中交通管理公司,2023-013,空天技术,V1.4,新华社,http://www.xinhuanet.com,2024-10-09,
CN10-1815/TJ,低轨卫星网络技术,通信网络,空天技术,1,2023/8/22,低轨卫星科技有限公司,无,待审,450000,待审,卫星网络公司,实验室测试,低轨卫星科技有限公司,2023-014,空天技术,V1.0,科学网,http://www.sciencenet.cn,2024-10-09,
CN10-1785/TJ,可重用发射系统设计,系统设计,空天技术,2,2023/7/1,创新航天技术有限公司,无人机发展研究中心,已受理,410000,合格,创新航天公司,计算机模拟,创新航天技术有限公司,2023-006,空天技术,V1.0,河南省科技厅,http://hzkjt.henan.gov.cn/,2024-10-09,
CN10-1710/TJ,低轨卫星通信系统,系统集成,空天技术,1,2023/5/12,星际通信科技集团,全球通讯解决方案公司,完成,500000,合格,星际通信公司,实地测试,星际通信科技集团,2023-007,空天技术,V1.1,重庆市科技局,http://www.cq.gov.cn/ktj/,2024-10-09,
CN10-1787/TJ,月球探测器设计优化,系统设计,空天技术,2,2023/9/15,月球探秘科技有限公司,深空探索研究所,正在进行,430000,待审,月球科技公司,数值模拟,月球探秘科技有限公司,2023-008,空天技术,V1.0,湖南省科技厅,http://kjt.hunan.gov.cn/,2024-10-09,
CN10-1742/TJ,高效率推进系统研究,性能测试,空天技术,1,2023/1/20,空间推进科技有限公司,国际航天技术合作中心,已完成,320000,合格,航天推进有限公司,实验室测试,空间推进科技有限公司,2023-009,空天技术,V1.0,江苏省科技局,http://www.jsskj.gov.cn/,2024-10-09,
CN10-1813/TJ,空间物理实验研究,科学实验,空天技术,1,2023/4/18,空间科学研究院,地球科学实验室,已受理,340000,合格,空间科学公司,数据采集,空间科学研究院,2023-010,空天技术,V1.0,安徽省科技厅,http://www.ahtkj.gov.cn/,2024-10-09,
CN10-1790/TJ,空间大数据分析技术,数据分析,空天技术,2,2023/6/30,大数据科技有限公司,云计算研究所,完成,450000,合格,大数据科技公司,数据挖掘,大数据科技有限公司,2023-011,空天技术,V1.2,广西科技厅,http://www.gxst.gov.cn/,2024-10-09,
CN10-1773/TJ,深空通信链路技术,系统集成,空天技术,1,2023/8/22,深空通信研究院,高性能通信公司,正在进行,210000,待审,深空通信科技有限公司,现场测试,深空通信研究院,2023-012,空天技术,V1.1,辽宁省科技局,http://www.lnkjt.gov.cn/,2024-10-09,
CN10-1782/TJ,空间机器人自主控制,系统设计,空天技术,2,2023/10/1,自主科技有限公司,机器智能研究所,已受理,200000,合格,自主科技公司,软件仿真,自主科技有限公司,2023-013,空天技术,V1.0,上海市科技局,http://www.shst.gov.cn/,2024-10-09,
CN10-1819/TJ,空中加油技术,系统设计,空天技术,1,2023/2/28,航空加油有限公司,航空燃料工程公司,完成,620000,合格,航空加油科技公司,实验测试,航空加油有限公司,2023-014,空天技术,V1.0,甘肃省科技厅,http://www.ganskjt.gov.cn/,2024-10-09,
CN10-1815/TJ,无人机空中监测系统,监测系统,空天技术,1,2023/10/12,智能航空科技有限公司,无人机研发公司,已受理,450000,合格,智能科技公司,现场测试,智能航空科技有限公司,2023-006,空天技术,V1.0,广西省科技厅,http://www.gxst.cn,2024-10-09,
CN10-1785/TJ,空间生物实验平台,实验平台,空天技术,2,2023/9/25,航天生物科技发展中心,生命科学研究所,完成,420000,合格,航生科技公司,实验室验证,航天生物科技发展中心,2023-007,空天技术,V1.1,湖北省科技厅,http://www.hbstd.gov.cn,2024-10-09,
CN10-1710/TJ,小型卫星快速发射技术,发射技术,空天技术,1,2023/11/1,高科技卫星公司,轨道发射厂,正在进行,310000,待审,卫星科技公司,模型测试,高科技卫星公司,2023-008,空天技术,V1.0,上海市科技委员会,https://www.stcsm.gov.cn,2024-10-09,
CN10-1787/TJ,卫星遥感数据分析系统,数据分析,空天技术,2,2023/8/30,宇航信息科技有限公司,信息处理研究所,已完成,340000,合格,宇航科技公司,数据输入与处理,宇航信息科技有限公司,2023-009,空天技术,V1.2,安徽省科技厅,http://www.ahst.gov.cn,2024-10-09,
CN10-1742/TJ,塑料材料的超高空气动性能研究,材料性能研究,空天技术,1,2023/9/15,材料科学创新研究院,航天材料公司,待审,120000,待审,航天材料科学公司,材料对比实验,材料科学创新研究院,2023-010,空天技术,V1.0,天津市科技局,http://www.tjkj.gov.cn,2024-10-09,
CN10-1813/TJ,地面控制系统模拟技术,系统开发,空天技术,2,2023/10/20,航天控制技术有限公司,信息技术发展公司,已受理,320000,合格,控制技术公司,模拟测试,航天控制技术有限公司,2023-011,空天技术,V1.1,江苏省科技厅,http://www.jstc.gov.cn,2024-10-09,
CN10-1790/TJ,火箭发射推进系统的优化研究,推进技术,空天技术,1,2023/11/5,火箭科技研究所,航天发动机公司,完成,410000,合格,火箭推进公司,实验室评估,火箭科技研究所,2023-012,空天技术,V1.0,河南省科技厅,http://www.hnkj.gov.cn,2024-10-09,
CN10-1773/TJ,空间环境适应材料研发,材料研发,空天技术,2,2023/12/10,空间材料技术有限公司,材料科技研究所,正在进行,450000,待审,空间科技公司,长期测试,空间材料技术有限公司,2023-013,空天技术,V1.2,广西省科学技术厅,http://www.gxkj.gov.cn,2024-10-09,
CN10-1782/TJ,自动化无人机交互系统,交互系统,空天技术,1,2023/10/25,无人航空科技公司,智能控制研究所,已受理,330000,合格,无人控制科技公司,功能验证,无人航空科技公司,2023-014,空天技术,V1.0,浙江省科技厅,http://www.zjst.gov.cn,2024-10-09,
CN10-1819/TJ,空天一体化信息系统,系统开发,空天技术,1,2023/2/28,中国电子科技集团公司,无,已受理,110000,合格,电子科技公司,综合测试,中国电子科技集团公司,2023-006,空天技术,V1.0,中国科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1815/TJ,高性能卫星通信系统,系统集成,空天技术,2,2023/4/12,卫星通信研究所,中远航运,完成,100000,合格,卫星科技公司,系统验证,卫星通信研究所,2023-007,空天技术,V1.1,国家通信管理局,http://www.cnca.gov.cn/,2024-10-09,
CN10-1785/TJ,无人机集群编队技术,智能控制,空天技术,1,2023/5/18,智能科技有限公司,无人机公司,正在进行,420000,待审,智能无人机技术公司,模拟实验,智能科技有限公司,2023-008,空天技术,V1.0,人民邮电报,http://www.ptnews.com/,2024-10-09,
CN10-1710/TJ,新型推进剂的开发与应用,材料研发,空天技术,1,2023/7/22,航天动力研究院,无,待审,410000,待审,航天动力科技公司,实验室测试,航天动力研究院,2023-009,空天技术,V1.0,中国航天网,http://www.spacechina.com/,2024-10-09,
CN10-1787/TJ,低轨卫星星座部署技术,系统运算,空天技术,2,2023/10/5,全球卫星公司,卫星互联网公司,已完成,330000,合格,卫星星座科技有限公司,系统模拟,全球卫星公司,2023-010,空天技术,V1.0,国际空天联盟,http://www.iac-2023.com/,2024-10-09,
CN10-1742/TJ,空间传感器技术开发,技术研发,空天技术,1,2023/8/14,银河科技有限公司,宇宙探测公司,正在进行,520000,待审,银河科技公司,实验室开发,银河科技有限公司,2023-011,空天技术,V1.0,科学美国人,https://www.scientificamerican.com/,2024-10-09,
CN10-1813/TJ,太空环境数据采集技术,数据处理,空天技术,2,2023/9/1,宇航数据公司,无,已完成,150000,合格,宇航科技有限公司,数据分析,宇航数据公司,2023-012,空天技术,V1.0,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1790/TJ,空间探索任务管理系统,系统管理,空天技术,1,2023/11/11,未来科技研究院,探索有限公司,正在进行,640000,待审,未来科技有限公司,应用测试,未来科技研究院,2023-013,空天技术,V1.0,科技日报,http://www.stardaily.com/,2024-10-09,
CN10-1773/TJ,月球基地建设技术,工程技术,空天技术,2,2023/12/20,月球探索公司,无,已完成,620000,合格,月球科技有限公司,工程设计,月球探索公司,2023-014,空天技术,V1.0,中国航天新闻网,http://www.space-news.cn/,2024-10-09,
CN10-1782/TJ,卫星导航辅助技术,系统设计,空天技术,1,2023/10/1,卫星导航技术有限公司,空间技术研究所,已受理,410000,合格,卫星科技公司,实验室仿真,卫星导航技术有限公司,2023-006,空天技术,V1.0,河南省科技厅,http://hnkj.gov.cn,2024-10-09,
CN10-1819/TJ,空间天气监测仪,监测设备,空天技术,2,2023/10/12,气象科技发展中心,宇航气象科技有限公司,已完成,120000,合格,气象科技公司,现场测试,气象科技发展中心,2023-007,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1815/TJ,可重复入轨飞行器设计,系统设计,空天技术,1,2023/9/25,新兴航天科技公司,航天飞行器研究院,正在进行,500000,待审,新兴航天科技公司,计算机模拟,新兴航天科技公司,2023-008,空天技术,V1.0,重庆市科技局,http://www.cq.gov.cn,2024-10-09,
CN10-1785/TJ,远程无人机操控系统,系统平台,空天技术,2,2023/11/5,无人机科技有限公司,航空行业协会,已完成,440000,合格,无人机科技公司,模拟演练,无人机科技有限公司,2023-009,空天技术,V1.0,广东省科技创新局,http://www.gd.gov.cn,2024-10-09,
CN10-1710/TJ,空间资源勘探技术,探索开发,空天技术,1,2023/8/15,空间资源研究院,空间探测技术有限公司,待审,510000,待审,空间资源公司,现场勘查,空间资源研究院,2023-010,空天技术,V1.0,四川省科技厅,http://www.sc.gov.cn,2024-10-09,
CN10-1787/TJ,低轨卫星组网技术,网络系统,空天技术,2,2023/9/22,低轨通信科技有限公司,高新技术开发区,已受理,620000,合格,低轨通信公司,网络测试,低轨通信科技有限公司,2023-011,空天技术,V1.2,甘肃省科技厅,http://www.gs.gov.cn,2024-10-09,
CN10-1742/TJ,快速反应卫星系统,系统设计,空天技术,1,2023/10/20,反应卫星科技公司,空间快速反应中心,正在进行,370000,待审,反应卫星公司,设计评审,反应卫星科技公司,2023-012,空天技术,V1.0,山东省科技厅,http://www.sd.gov.cn,2024-10-09,
CN10-1813/TJ,空间数据融合技术,数据处理,空天技术,2,2023/11/12,数据融合科技公司,数据科技研究所,已完成,850000,合格,数据融合公司,数据分析,数据融合科技公司,2023-013,空天技术,V1.0,新疆科技厅,http://www.xj.gov.cn,2024-10-09,
CN10-1790/TJ,空天平台集成技术,集成系统,空天技术,1,2023/9/15,空天集成科技有限公司,空间集成研究所,待审,330000,待审,空天集成公司,建模仿真,空天集成科技有限公司,2023-014,空天技术,V1.0,浙江省科技厅,http://www.zj.gov.cn,2024-10-09,
CN10-2450/TJ,空间通信技术优化方案,系统设计,空天技术,1,2023/2/20,太空通信科技有限公司,华宇通信公司,已受理,110000,合格,太空科技公司,系统集成测试,太空通信科技有限公司,2023-006,空天技术,V1.0,中国信息产业部,http://www.mii.gov.cn,2024-10-09,
CN10-3925/TJ,卫星轨道精确控制技术,导航系统,空天技术,2,2023/4/15,星际航天公司,宇宙探测技术研究院,完成,410000,合格,航天卫星公司,计算机仿真,星际航天公司,2023-007,空天技术,V1.1,中国航天科技集团,http://www.casc.com.cn,2024-10-09,
CN10-5210/TJ,地基遥感数据处理平台,数据处理,空天技术,1,2023/7/30,地球观测科技有限公司,环境监测局,进行中,510000,待审,遥感数据公司,数据分析,地球观测科技有限公司,2023-008,空天技术,V1.0,环境保护部,http://www.mee.gov.cn,2024-10-09,
CN10-6703/TJ,空间探测器材料研究,科学实验,空天技术,2,2023/5/12,未来科技公司,航空航天材料研究所,已完成,120000,合格,未来航天公司,实验室测试,未来科技公司,2023-009,空天技术,V1.2,中国科学技术部,http://www.most.gov.cn,2024-10-09,
CN10-6942/TJ,无人机自主飞行系统,系统设计,空天技术,1,2023/8/1,无人机技术研究中心,智能科技公司,待审,350000,待审,无人机科技有限公司,仿真测试,无人机技术研究中心,2023-010,空天技术,V1.0,中国无人机协会,http://www.uav.org.cn,2024-10-09,
CN10-9071/TJ,低层大气探测技术,性能测试,空天技术,2,2023/9/18,气象技术发展公司,气象科研所,完成,230000,合格,气象科技公司,现场测试,气象技术发展公司,2023-011,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-10856/TJ,月球基地建设技术,系统设计,空天技术,1,2023/10/5,航天梦科技有限公司,地球科学研究院,进行中,620000,待审,月球基地科技公司,理论研究,航天梦科技有限公司,2023-012,空天技术,V1.0,中国航天研究院,http://www.caas.org.cn,2024-10-09,
CN10-11230/TJ,超视距探测雷达系统,系统设计,空天技术,2,2023/11/11,雷达科技有限公司,空间监测中心,已完成,340000,合格,超视距科技公司,系统评估,雷达科技有限公司,2023-013,空天技术,V1.2,国家国防科技局,http://www.mod.gov.cn,2024-10-09,
CN10-12547/TJ,星际导航技术研究,导航系统,空天技术,1,2023/12/5,深空探索科技有限公司,未来航天局,进行中,450000,待审,星际科技公司,实验室测试,深空探索科技有限公司,2023-014,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-13734/TJ,空间通信系统架构设计,系统设计,空天技术,1,2023/10/1,未来通信科技有限公司,无,已受理,110000,合格,未来科技公司,实验室测试,未来通信科技有限公司,2023-006,空天技术,V1.0,中国无线电管理局,http://www.cadr.gov.cn,2024-10-09,
CN10-1773/TJ,小型卫星快速组装技术,工程技术,空天技术,2,2023/9/15,小卫星科技创业公司,无,完成,500000,合格,小卫星科技公司,生产制造,小卫星科技创业公司,2023-007,空天技术,V1.1,四川省科技厅,http://www.scst.gov.cn,2024-10-09,
CN10-1782/TJ,多用途无人机遥感系统,应用开发,空天技术,1,2023/8/20,无人驾驶技术研究所,无,正在进行,430000,待审,无人机科技公司,实地测试,无人驾驶技术研究所,2023-008,空天技术,V1.0,湖南省卫生健康委员会,http://www.hnwst.gov.cn,2024-10-09,
