系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,
战略空中侦察机,20,马赫,0.5,马赫,95,公里,70公里/15公里,10,小时,650,公里,180,米,310,米/秒,190,米/秒,起飞距离：500米，降落距离：550米,1150,公斤,长：11米，宽：5米，高：3米,±2米,稳定,航空情报局,http://www.aero-intel.org,2024-10-09,,
下一代空天飞行器,28,马赫,0.4,马赫,150,公里,100公里/0公里,10,小时,600,公里,180,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,航天科技研究院,http://www.spacechina.com/,2024-10-09,,
载人空天器系统,24,马赫,0.6,马赫,70,公里,85公里/15公里,9,小时,800,公里,230,米,350,米/秒,260,米/秒,起飞距离：700米，降落距离：800米,1300,公斤,长：12.5米，宽：6.5米，高：4.0米,±1.3米,极稳定,国际航天局,https://www.nasa.gov/,2024-10-09,,
高空监视无人机,22,马赫,0.5,马赫,60,公里,50公里/5公里,14,小时,700,公里,120,米,280,米/秒,240,米/秒,起飞距离：450米，降落距离：550米,600,公斤,长：10米，宽：5米，高：3米,±2米,稳定,无人机技术杂志,https://www.dronetechjournal.com/,2024-10-09,,
超音速探测飞机,1.8,马赫,0.4,马赫,20,公里,30公里/0公里,7,小时,350,公里,90,米,190,米/秒,140,米/秒,起飞距离：400米，降落距离：400米,700,公斤,长：6米，宽：3米，高：2米,±1米,稳定,空中交通管理,https://www.atm.gov/,2024-10-09,,
信息收集空天平台,26,马赫,0.3,马赫,85,公里,75公里/10公里,11,小时,900,公里,200,米,310,米/秒,210,米/秒,起飞距离：600米，降落距离：700米,1100,公斤,长：13米，宽：7米，高：4米,±1米,极稳定,国家海洋局,http://www.soa.gov.cn/,2024-10-09,,
智能自主空天飞机,29,马赫,0.5,马赫,100,公里,90公里/10公里,15,小时,950,公里,160,米,330,米/秒,230,米/秒,起飞距离：500米，降落距离：600米,1400,公斤,长：12米，宽：6米，高：4米,±2米,稳定,中国航空航天学会,http://www.csaa.org.cn/,2024-10-09,,
高分辨率观测卫星,3.5,马赫,0.1,马赫,250,公里,300公里/10公里,24,小时,1500,公里,50,米,500,米/秒,400,米/秒,起飞距离：600米，降落距离：800米,1800,公斤,长：20米，宽：9米，高：5米,±0.5米,非常稳定,全球卫星服务,https://www.global-sat.com/,2024-10-09,,
未来空天作战平台,27,马赫,0.4,马赫,120,公里,150公里/20公里,18,小时,800,公里,190,米,340,米/秒,250,米/秒,起飞距离：700米，降落距离：750米,1600,公斤,长：15米，宽：7米，高：4.5米,±1.8米,稳健,国防科技大学,http://www.nudt.edu.cn/,2024-10-09,,
下一代空天飞行器,35,马赫,0.4,马赫,120,公里,60公里/5公里,10,小时,800,公里,180,米,400,米/秒,300,米/秒,起飞距离：550米，降落距离：650米,2000,公斤,长：15米，宽：7米，高：5米,±1米,非常稳定,航天动态研究中心,http://www.space-research.cn,2024-10-09,,
高空无人机侦察系统,18,马赫,0.2,马赫,30,公里,35公里/3公里,20,小时,600,公里,120,米,280,米/秒,220,米/秒,起飞距离：400米，降落距离：450米,750,公斤,长：6.5米，宽：3米，高：1.5米,±0.8米,稳定,无人机技术论坛,http://www.uavforum.com,2024-10-09,,
超声速空天战机,24,马赫,0.5,马赫,70,公里,45公里/1公里,9,小时,550,公里,160,米,380,米/秒,260,米/秒,起飞距离：700米，降落距离：800米,1800,公斤,长：13米，宽：6.5米，高：3.8米,±1.0米,非常稳定,空军科技杂志,http://www.airforce-tech.com,2024-10-09,,
未来空天探测器,19,马赫,0.3,马赫,100,公里,50公里/4公里,14,小时,450,公里,130,米,320,米/秒,230,米/秒,起飞距离：400米，降落距离：500米,600,公斤,长：9米，宽：4米，高：3米,±1.8米,稳定,国防科技大学,http://www.nudt.edu.cn,2024-10-09,,
空天形成器,22,马赫,0.4,马赫,90,公里,70公里/2公里,11,小时,400,公里,140,米,360,米/秒,240,米/秒,起飞距离：500米，降落距离：550米,900,公斤,长：11米，宽：5.5米，高：4米,±1.0米,稳定,科技部,http://www.most.gov.cn,2024-10-09,,
空天执法无人机,15,马赫,0.1,马赫,40,公里,30公里/0公里,18,小时,300,公里,90,米,200,米/秒,150,米/秒,起飞距离：350米，降落距离：400米,500,公斤,长：5米，宽：2米，高：1.5米,±2.0米,良好,无人机创新中心,http://www.uavinnovat.cn,2024-10-09,,
超音速运输机,1.8,马赫,0.2,马赫,25,公里,20公里/0公里,7,小时,250,公里,70,米,190,米/秒,120,米/秒,起飞距离：300米，降落距离：350米,1000,公斤,长：9米，宽：4米，高：2.5米,±1.3米,稳定,运输航空科技研究所,http://www.transport-aviation.org,2024-10-09,,
空天监测器,16,马赫,0.3,马赫,55,公里,40公里/1公里,12,小时,700,公里,110,米,310,米/秒,200,米/秒,起飞距离：350米，降落距离：400米,800,公斤,长：7米，宽：3米，高：2米,±1.2米,稳定,国家气象局,http://www.cma.gov.cn,2024-10-09,,
未来战斗无人机,22,马赫,0.4,马赫,85,公里,50公里/0公里,10,小时,600,公里,120,米,320,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：6米，高：3.5米,±1米,稳定,中国航天科技集团,http://www.cast.cn,2024-10-09,,
空天侦查卫星,0,马赫,0,马赫,600,公里,900公里/600公里,5,年,0,公里,0,米,0,米/秒,0,米/秒,不适用,2000,公斤,长：3米，宽：2米，高：1米,±0.5米,稳定,中国卫星导航系统管理办公室,http://www.csno.gov.cn,2024-10-09,,
新一代战术无人机,23.5,马赫,0.6,马赫,70,公里,45公里/0公里,14,小时,500,公里,90,米,310,米/秒,190,米/秒,起飞距离：450米，降落距离：500米,700,公斤,长：9米，宽：5米，高：2米,±1.3米,稳定,中国军事研究院,http://www.cqmilitary.gov.cn,2024-10-09,,
智能适应式飞行器,19,马赫,0.3,马赫,60,公里,30公里/5公里,9,小时,550,公里,110,米,280,米/秒,220,米/秒,起飞距离：490米，降落距离：520米,600,公斤,长：10米，宽：4米，高：2.8米,±2.0米,稳定,国家自然科学基金委员会,http://www.nsfc.gov.cn,2024-10-09,,
超音速后掠翼飞机,28,马赫,0.7,马赫,95,公里,80公里/10公里,7,小时,750,公里,130,米,340,米/秒,230,米/秒,起飞距离：580米，降落距离：680米,1800,公斤,长：15米，宽：8米，高：4米,±1.8米,稳定,美国国家航空航天局,http://www.nasa.gov,2024-10-09,,
智能飞行控制系统,25,马赫,0.5,马赫,100,公里,70公里/0公里,11,小时,580,公里,115,米,300,米/秒,200,米/秒,起飞距离：540米，降落距离：640米,1500,公斤,长：12米，宽：6米，高：3.2米,±1米,稳定,国家航空航天局,http://www.nasa.gov,2024-10-09,,
巡航导弹系统,0.9,马赫,0.5,马赫,20,公里,15公里/0公里,5,小时,2000,公里,300,米,100,米/秒,50,米/秒,起飞距离：1000米，降落距离：1200米,750,公斤,长：6米，宽：1米，高：1米,±5米,良好,国际防务技术杂志,https://www.armytimes.com,2024-10-09,,
高空长续航无人机,15,马赫,0.2,马赫,70,公里,25公里/0公里,20,小时,400,公里,90,米,250,米/秒,150,米/秒,起飞距离：200米，降落距离：300米,300,公斤,长：8米，宽：3米，高：2米,±3米,良好,无人机技术研究所,http://www.uavtech.cn,2024-10-09,,
长途空天监测器,27,马赫,0.4,马赫,85,公里,50公里/5公里,10,小时,600,公里,130,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,国家移动通信集团,https://www.chinamobileltd.com,2024-10-09,,
激光定位载人飞行器,22,马赫,0.6,马赫,75,公里,70公里/15公里,9,小时,520,公里,140,米,280,米/秒,190,米/秒,起飞距离：400米，降落距离：550米,800,公斤,长：9.2米，宽：4米，高：3米,±1.8米,稳定,中国航空研究院,http://www.cari.com.cn,2024-10-09,,
宽域高频探测器,19,马赫,0.1,马赫,45,公里,35公里/2公里,14,小时,450,公里,90,米,250,米/秒,170,米/秒,起飞距离：350米，降落距离：400米,400,公斤,长：8米，宽：4米，高：3米,±2米,稳定,国家科技部,http://www.most.gov.cn,2024-10-09,,
未来战区无人飞行器,28,马赫,0.3,马赫,90,公里,100公里/20公里,11,小时,650,公里,160,米,340,米/秒,210,米/秒,起飞距离：580米，降落距离：670米,1300,公斤,长：12.5米，宽：5.7米，高：4米,±1米,稳定,空天技术观察,https://www.spacetechnologyobserver.com,2024-10-09,,
新型超音速轰炸机,34,马赫,0.7,马赫,75,公里,95公里/10公里,7,小时,800,公里,250,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,1600,公斤,长：15米，宽：7米，高：5米,±2米,稳定,未来技术研究院,http://www.futuretechresearchinstitute.org,2024-10-09,,
跨境侦察飞行器,23,马赫,0.5,马赫,60,公里,40公里/5公里,13,小时,570,公里,120,米,310,米/秒,200,米/秒,起飞距离：450米，降落距离：500米,900,公斤,长：10米，宽：5米，高：4米,±1.3米,稳定,国际防务论坛,http://www.defenseforum.com,2024-10-09,,
超音速飞行货机,36,马赫,0.8,马赫,100,公里,110公里/0公里,8,小时,900,公里,300,米,450,米/秒,350,米/秒,起飞距离：800米，降落距离：900米,2000,公斤,长：18米，宽：9米，高：7米,±3米,稳定,环球飞行杂志,http://www.globalaviationmagazine.com,2024-10-09,,
多任务空海一体化系统,26,马赫,0.4,马赫,92,公里,80公里/25公里,9,小时,780,公里,160,米,370,米/秒,230,米/秒,起飞距离：640米，降落距离：700米,1700,公斤,长：17米，宽：8米，高：6米,±2.5米,稳定,科技日报,http://www.stdaily.com,2024-10-09,,
未来战斗机系统,28,马赫,0.4,马赫,120,公里,50公里/0公里,10,小时,600,公里,175,米,320,米/秒,230,米/秒,起飞距离：450米，降落距离：550米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,国家航空航天局,https://www.nasa.gov,2024-10-09,,
火星探测器系统,25.5,马赫,0.2,马赫,200,公里,100公里/0公里,24,小时,1000,公里,300,米,150,米/秒,100,米/秒,起飞距离：700米，降落距离：750米,800,公斤,长：9米，宽：4米，高：3米,±2.5米,稳定,国家科学技术部,http://www.most.gov.cn,2024-10-09,,
无人驾驶空中加油机,26,马赫,0.3,马赫,70,公里,60公里/10公里,12,小时,800,公里,120,米,280,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,1500,公斤,长：15米，宽：7米，高：4米,±3米,稳定,军事航空研究所,https://www.militaryaerospace.com,2024-10-09,,
新一代太空飞船,35,马赫,0.4,马赫,150,公里,80公里/10公里,14,小时,1200,公里,220,米,400,米/秒,300,米/秒,起飞距离：800米，降落距离：900米,1800,公斤,长：13米，宽：6米，高：4米,±1.0米,非常稳定,太空探索技术公司,https://www.spacex.com,2024-10-09,,
先进空天监视平台,22,马赫,0.2,马赫,110,公里,45公里/5公里,11,小时,550,公里,90,米,260,米/秒,190,米/秒,起飞距离：500米，降落距离：600米,900,公斤,长：10米，宽：5米，高：3.5米,±2米,稳定,航空发展局,https://www.aviation.gov,2024-10-09,,
智能侦察系统,18,马赫,0.1,马赫,40,公里,30公里/0公里,20,小时,350,公里,75,米,230,米/秒,160,米/秒,起飞距离：350米，降落距离：450米,300,公斤,长：6米，宽：3米，高：2.5米,±2米,稳定,航天科技研究院,http://www.aeronautics.org,2024-10-09,,
量子通信卫星系统,15,马赫,0.1,马赫,150,公里,70公里/0公里,18,小时,900,公里,110,米,180,米/秒,120,米/秒,起飞距离：450米，降落距离：550米,700,公斤,长：8米，宽：4米，高：3米,±1.8米,稳定,国家量子实验室,http://www.quantumlab.gov,2024-10-09,,
新一代空天侦察机,33,马赫,0.5,马赫,100,公里,120公里/20公里,15,小时,850,公里,250,米,300,米/秒,250,米/秒,起飞距离：600米，降落距离：700米,1300,公斤,长：14米，宽：6米，高：5米,±2米,稳定,国际航天大会,https://www.iaaweb.org,2024-10-09,,
新型空天侦察器,27,马赫,0.4,马赫,120,公里,50公里/5公里,10,小时,550,公里,250,米,400,米/秒,150,米/秒,起飞距离：700米，降落距离：800米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,非常稳定,中国航空研究院,http://www.cari.com.cn,2024-10-09,,
先进空间飞行器,32,马赫,0.6,马赫,85,公里,95公里/15公里,9,小时,800,公里,270,米,390,米/秒,260,米/秒,起飞距离：600米，降落距离：700米,1600,公斤,长：13米，宽：6.5米，高：4米,±1.8米,稳定,国际航空协会,http://www.iata.org,2024-10-09,,
新一代无人机系统,22.5,马赫,0.3,马赫,40,公里,30公里/0公里,14,小时,450,公里,120,米,300,米/秒,175,米/秒,起飞距离：350米，降落距离：420米,550,公斤,长：9米，宽：4.2米，高：2.7米,±1.5米,稳定,无人机产业发展联盟,http://www.udia.org.cn,2024-10-09,,
高空发射平台,3,马赫,0.5,马赫,15,公里,20公里/1公里,7,小时,250,公里,60,米,150,米/秒,120,米/秒,起飞距离：200米，降落距离：300米,700,公斤,长：6米，宽：3米，高：2米,±1.1米,稳定,国家航天科技集团,http://www.casc.com.cn,2024-10-09,,
空天货运飞行器,10,马赫,0.8,马赫,60,公里,70公里/10公里,4,小时,300,公里,90,米,250,米/秒,110,米/秒,起飞距离：400米，降落距离：500米,1000,公斤,长：9.5米，宽：4.5米，高：3米,±2米,有波动,全球货运航空协作组,http://www.iata-cargo.com,2024-10-09,,
下一代空天探测器,26,马赫,0.3,马赫,100,公里,85公里/5公里,11,小时,650,公里,130,米,370,米/秒,230,米/秒,起飞距离：600米，降落距离：700米,1300,公斤,长：12米，宽：5米，高：4米,±1米,非常稳定,国家空间局,http://www.cnsa.gov.cn,2024-10-09,,
未来货运航天器,13,马赫,0.2,马赫,55,公里,75公里/20公里,5,小时,400,公里,110,米,260,米/秒,140,米/秒,起飞距离：350米，降落距离：400米,920,公斤,长：10米，宽：5米，高：3米,±1.5米,稳定,未来航天研究所,http://www.futureaerospace.org,2024-10-09,,
超空洞飞行器,35,马赫,0.7,马赫,110,公里,100公里/0公里,15,小时,900,公里,300,米,450,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：14米，宽：6米，高：5米,±2米,非常稳定,空天军事学院,http://www.airspaceacademy.edu,2024-10-09,,
战术侦察无人机,18,马赫,0.25,马赫,70,公里,25公里/0公里,10,小时,450,公里,120,米,280,米/秒,220,米/秒,起飞距离：400米，降落距离：500米,300,公斤,长：6米，宽：3米，高：2米,±2米,稳定,国家无人机监督局,https://www.uav-bureau.gov.cn/,2024-10-09,,
未来空天战斗机,35,马赫,0.6,马赫,120,公里,110公里/5公里,7,小时,900,公里,230,米,400,米/秒,270,米/秒,起飞距离：800米，降落距离：900米,2500,公斤,长：15米，宽：7米，高：5米,±1米,稳定,未来空天科技网,https://www.spacefuture.com/,2024-10-09,,
空天任务模拟器,4,马赫,0.4,马赫,15,公里,20公里/0公里,5,小时,200,公里,60,米,150,米/秒,100,米/秒,起飞距离：200米，降落距离：250米,150,公斤,长：5米，宽：2.5米，高：1.2米,±3米,稳定,国际空天协会,https://www.aerospace-international.org/,2024-10-09,,
空天探测卫星,7.5,马赫,1,马赫,300,公里,500公里/200公里,24,小时,1500,公里,900,米,2000,米/秒,1800,米/秒,不适用,5000,公斤,长：20米，宽：12米，高：4米,±0.5米,高度稳定,卫星技术研究所,https://www.nasa.gov/,2024-10-09,,
超低空战斗机,1.8,马赫,0.1,马赫,10,公里,15公里/0公里,4,小时,250,公里,70,米,160,米/秒,120,米/秒,起飞距离：350米，降落距离：450米,700,公斤,长：9米，宽：4米，高：3米,±1.8米,稳定,民用航空局,https://www.caac.gov.cn/,2024-10-09,,
下一代空天飞机,40,马赫,0.8,马赫,150,公里,120公里/10公里,9,小时,1200,公里,400,米,500,米/秒,350,米/秒,起飞距离：900米，降落距离：1100米,3000,公斤,长：18米，宽：9米，高：6米,±1米,高度稳定,空天科技研究中心,https://www.aeronautics.co/,2024-10-09,,
未来光电监视平台,5,马赫,0.3,马赫,40,公里,30公里/0公里,6,小时,350,公里,90,米,240,米/秒,160,米/秒,起飞距离：320米，降落距离：400米,400,公斤,长：7米，宽：3米，高：2.2米,±1.5米,稳定,新型军事科技报,https://www.militarytechnews.com/,2024-10-09,,
高空长航时无人机,15,马赫,0.35,马赫,60,公里,40公里/0公里,20,小时,600,公里,130,米,220,米/秒,190,米/秒,起飞距离：500米，降落距离：600米,800,公斤,长：10米，宽：4米，高：3米,±2米,稳定,航空前沿科技中心,https://www.aerospacefrontier.com/,2024-10-09,,
次声波飞行器系统,1.2,马赫,0.1,马赫,10,公里,15公里/1公里,18,小时,200,公里,90,米,120,米/秒,100,米/秒,起飞距离：350米，降落距离：400米,300,公斤,长：6米，宽：3米，高：1.5米,±1米,稳定,航空航天创新中心,https://www.aerospace-innovation.edu,2024-10-09,,
空天侦察微型航天器,4,马赫,0.6,马赫,70,公里,75公里/5公里,10,小时,1200,公里,250,米,400,米/秒,300,米/秒,起飞距离：300米，降落距离：350米,150,公斤,长：4米，宽：2米，高：1米,±0.5米,动态稳定,国防科技报,https://www.mod.gov.cn,2024-10-09,,
低空高速无人机系统,8,马赫,0.3,马赫,15,公里,20公里/0公里,22,小时,600,公里,180,米,450,米/秒,350,米/秒,起飞距离：400米，降落距离：450米,750,公斤,长：9米，宽：5米，高：2.8米,±1米,动态稳定,国际无人系统展,https://www.uuavexpo.com,2024-10-09,,
空天弹道飞行器,25,马赫,0.4,马赫,90,公里,100公里/10公里,5,小时,900,公里,300,米,600,米/秒,500,米/秒,起飞距离：700米，降落距离：750米,1200,公斤,长：15米，宽：7米，高：4米,±3米,稳定,航空发展研究院,https://www.adr.edu.cn,2024-10-09,,
多用途空天作战系统,3,马赫,0.5,马赫,30,公里,35公里/2公里,14,小时,550,公里,120,米,300,米/秒,200,米/秒,起飞距离：500米，降落距离：600米,1400,公斤,长：11米，宽：5米，高：3米,±2米,稳定,现代军事杂志,http://www.militarymodern.com,2024-10-09,,
超音速无人侦察机,9,马赫,1,马赫,50,公里,55公里/5公里,24,小时,1500,公里,400,米,500,米/秒,400,米/秒,起飞距离：600米，降落距离：700米,1700,公斤,长：13米，宽：6米，高：3.5米,±2.5米,动态稳定,未来航空科技,https://www.futureaviationtech.com,2024-10-09,,
全电动空天飞行器,15,马赫,0.7,马赫,60,公里,65公里/3公里,20,小时,800,公里,150,米,350,米/秒,280,米/秒,起飞距离：500米，降落距离：550米,900,公斤,长：10米，宽：5米，高：2.5米,±1米,稳定,清华大学航空航天研究中心,https://www.aerospace.tsinghua.edu.cn,2024-10-09,,
适应性空天运输系统,12,马赫,0.8,马赫,40,公里,45公里/4公里,15,小时,1000,公里,160,米,370,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1300,公斤,长：12米，宽：5米，高：3米,±2米,稳定,宇航新闻网,https://www.spaceflightnews.com,2024-10-09,,
中程空天侦察机,22.5,马赫,0.4,马赫,90,公里,30公里/0公里,10,小时,600,公里,120,米,280,米/秒,180,米/秒,起飞距离：450米，降落距离：550米,900,公斤,长：9米，宽：4.5米，高：2.8米,±1.0米,稳定,航空技术研究院,http://www.caat.org.cn/,2024-10-09,,
高空科学探测器,18,马赫,0.2,马赫,70,公里,85公里/10公里,14,小时,800,公里,140,米,320,米/秒,210,米/秒,起飞距离：500米，降落距离：450米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1.3米,稳定,中国气象局,http://www.cma.gov.cn/,2024-10-09,,
未来战斗侦察无人机,27,马赫,0.6,马赫,110,公里,95公里/15公里,20,小时,900,公里,180,米,350,米/秒,220,米/秒,起飞距离：400米，降落距离：450米,1600,公斤,长：13米，宽：6米，高：4米,±0.8米,稳定,未来技术研究中心,http://www.ftrc.org.cn/,2024-10-09,,
多用途空天飞行器,24,马赫,0.3,马赫,95,公里,75公里/5公里,9,小时,700,公里,160,米,300,米/秒,190,米/秒,起飞距离：550米，降落距离：500米,1150,公斤,长：12米，宽：5米，高：3.2米,±1.7米,稳定,中航工业,http://www.avic.com/,2024-10-09,,
未来型超音速无人机,28,马赫,0.4,马赫,100,公里,100公里/20公里,11,小时,850,公里,170,米,340,米/秒,230,米/秒,起飞距离：600米，降落距离：520米,1800,公斤,长：14米，宽：6.5米，高：4.5米,±1.1米,稳定,新航天科技公司,http://www.nssc.com.cn/,2024-10-09,,
空天情报获取系统,21,马赫,0.5,马赫,85,公里,60公里/10公里,13,小时,750,公里,130,米,290,米/秒,200,米/秒,起飞距离：480米，降落距离：520米,950,公斤,长：10米，宽：4米，高：3米,±1.6米,稳定,国防科学技术大学,http://www.nudt.edu.cn/,2024-10-09,,
空天多任务平台,25.5,马赫,0.4,马赫,87,公里,80公里/12公里,12,小时,920,公里,190,米,310,米/秒,240,米/秒,起飞距离：600米，降落距离：550米,1300,公斤,长：13米，宽：6米，高：4米,±1.4米,稳定,空军工程大学,http://www.cau.edu.cn/,2024-10-09,,
战斗支援无人机,23,马赫,0.5,马赫,88,公里,78公里/18公里,15,小时,780,公里,155,米,330,米/秒,210,米/秒,起飞距离：540米，降落距离：500米,1100,公斤,长：11米，宽：5米，高：3.8米,±1.8米,稳定,中国航空航天科技集团,http://www.casic.com/,2024-10-09,,
高空侦察飞机系统,10,马赫,0.4,马赫,120,公里,35公里/0公里,18,小时,800,公里,180,米,400,米/秒,350,米/秒,起飞距离：700米，降落距离：800米,1200,公斤,长：11米，宽：5米，高：4米,±2米,稳定,国家航空航天局,https://www.nasa.gov/,2024-10-09,,
量子技术无人机,15,马赫,0.6,马赫,70,公里,50公里/5公里,10,小时,650,公里,220,米,300,米/秒,200,米/秒,起飞距离：550米，降落距离：650米,700,公斤,长：9米，宽：4米，高：3米,±1米,稳定,量子技术研究院,https://www.quantumtech.org/,2024-10-09,,
下一代空中交通监视系统,8,马赫,0.2,马赫,30,公里,40公里/1公里,12,小时,300,公里,75,米,120,米/秒,100,米/秒,起飞距离：400米，降落距离：500米,900,公斤,长：6米，宽：3米，高：2米,±0.8米,稳定,国际航空组织,https://www.icao.int/,2024-10-09,,
新型火箭发射系统,25.5,马赫,1,马赫,150,公里,100公里/10公里,5,小时,1000,公里,300,米,450,米/秒,400,米/秒,起飞距离：800米，降落距离：900米,3000,公斤,长：15米，宽：7米，高：5米,±3米,稳定,中国航天科技集团,http://www.casc.com.cn/,2024-10-09,,
智能空中货运系统,22,马赫,0.5,马赫,60,公里,70公里/0公里,20,小时,900,公里,250,米,270,米/秒,220,米/秒,起飞距离：500米，降落距离：600米,900,公斤,长：10米，宽：5米，高：3米,±1.5米,稳定,货运科技发展公司,https://www.cargotech.org/,2024-10-09,,
无人航天运输系统,20,马赫,0.7,马赫,75,公里,60公里/5公里,14,小时,750,公里,200,米,330,米/秒,250,米/秒,起飞距离：700米，降落距离：800米,1200,公斤,长：11米，宽：6米，高：4米,±2米,稳定,航空运输协会,https://www.iata.org/,2024-10-09,,
新型战斗机空天覆盖系统,34,马赫,0.9,马赫,110,公里,80公里/10公里,7,小时,850,公里,230,米,420,米/秒,300,米/秒,起飞距离：900米，降落距离：1000米,1800,公斤,长：14米，宽：7米，高：5米,±1米,稳定,战争研究所,https://www.csis.org/,2024-10-09,,
超音速电子干扰机,3,马赫,0.2,马赫,20,公里,30公里/1公里,9,小时,500,公里,90,米,150,米/秒,120,米/秒,起飞距离：350米，降落距离：400米,600,公斤,长：5.5米，宽：3米，高：2米,±1.8米,稳定,电子对抗技术公司,http://www.electroniccombat.com/,2024-10-09,,
未来空天雷达平台,28,马赫,0.4,马赫,120,公里,60公里/0公里,10,小时,550,公里,170,米,320,米/秒,210,米/秒,起飞距离：450米，降落距离：550米,1200,公斤,长：9米，宽：4.5米，高：3米,±1米,稳定,空天科技发展研究院,https://www.asta.gov.cn/,2024-10-09,,
复合翼无人机系统,22.5,马赫,0.3,马赫,45,公里,25公里/0公里,7,小时,350,公里,90,米,210,米/秒,190,米/秒,起飞距离：400米，降落距离：500米,650,公斤,长：10米，宽：5米，高：2.8米,±1.2米,稳定,电信科技有限公司,https://www.ctcn.com/,2024-10-09,,
下一代超音速运输机,2.8,马赫,0.2,马赫,20,公里,15公里/0公里,5,小时,250,公里,110,米,180,米/秒,160,米/秒,起飞距离：600米，降落距离：700米,900,公斤,长：15米，宽：7米，高：3.5米,±2米,稳定,中国航空研究院,https://www.caa.gov.cn/,2024-10-09,,
空天移动发射系统,23,马赫,0.4,马赫,70,公里,50公里/5公里,9,小时,600,公里,130,米,250,米/秒,190,米/秒,起飞距离：550米，降落距离：650米,1100,公斤,长：11米，宽：5米，高：4米,±1米,稳定,国家航天局,https://www.cnsa.gov.cn/,2024-10-09,,
超长航时无人机,15,马赫,0.2,马赫,40,公里,30公里/0公里,20,小时,800,公里,120,米,240,米/秒,170,米/秒,起飞距离：250米，降落距离：300米,300,公斤,长：6米，宽：3米，高：1.5米,±2米,稳定,中国无人机网络,https://www.uav.org.cn/,2024-10-09,,
多用途空天侦察器,18,马赫,0.2,马赫,65,公里,25公里/0公里,8,小时,550,公里,130,米,200,米/秒,160,米/秒,起飞距离：500米，降落距离：550米,750,公斤,长：9米，宽：4米，高：2.5米,±1.5米,稳定,中国军事论坛,https://www.china-defense.com/,2024-10-09,,
空天导弹系统,24,马赫,0.5,马赫,95,公里,85公里/10公里,6,小时,700,公里,140,米,330,米/秒,240,米/秒,起飞距离：400米，降落距离：450米,1300,公斤,长：8米，宽：4.3米，高：2米,±1米,稳定,空天防务科技网,https://www.spacedefense.cn/,2024-10-09,,
高超声速战斗机,35,马赫,0.6,马赫,100,公里,120公里/20公里,4,小时,850,公里,250,米,400,米/秒,300,米/秒,起飞距离：600米，降落距离：700米,1600,公斤,长：14米，宽：9米，高：5米,±0.5米,稳定,中国航空航天新闻,https://www.avic.com/,2024-10-09,,
未来空天飞机系统,40,马赫,1,马赫,120,公里,100公里/0公里,10,小时,800,公里,180,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：15米，宽：7米，高：5米,±1.0米,稳定,中国航空航天集团公司,http://www.casc.com.cn,2024-10-09,,
高空侦察机,15,马赫,0.4,马赫,70,公里,50公里/5公里,14,小时,600,公里,120,米,275,米/秒,220,米/秒,起飞距离：400米，降落距离：500米,1000,公斤,长：10.5米，宽：4.5米，高：3.5米,±1.8米,稳定,航空航天专家论坛,https://www.aerospacetalk.com,2024-10-09,,
先进无人战斗机,3,马赫,0.5,马赫,20,公里,12公里/0公里,7,小时,350,公里,90,米,210,米/秒,160,米/秒,起飞距离：300米，降落距离：350米,900,公斤,长：9米，宽：4米，高：2.8米,±1.5米,稳定,国际航天联合会,https://www.iafnc.org,2024-10-09,,
新型空天运输机,5,马赫,0.6,马赫,30,公里,25公里/5公里,4,小时,250,公里,70,米,180,米/秒,130,米/秒,起飞距离：200米，降落距离：250米,600,公斤,长：12米，宽：5米，高：3米,±2.0米,稳定,中国民用航空局,http://www.caac.gov.cn,2024-10-09,,
长途空天侦察卫星,0,马赫,0,马赫,1000,公里,地轨/0公里,24,小时,1500,公里,0,米,0,米/秒,0,米/秒,发射。,750,公斤,长：3米，宽：2米，高：1米,±3米,稳定,遥感与智能技术研究所,http://www.researchinstitute.org,2024-10-09,,
高性能战斗无人机,1.5,马赫,0.3,马赫,15,公里,10公里/0公里,5,小时,280,公里,75,米,150,米/秒,120,米/秒,起飞距离：150米，降落距离：200米,300,公斤,长：6米，宽：3米，高：2米,±1.0米,稳定,国防创新科技中心,http://www.defenseinnovation.gov,2024-10-09,,
