试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
小型卫星组网试验,空天技术备案号11010802032368,GB/T 03780,小型卫星网络,卫星系统,完成,第三阶段,网络测试,郑帆,卫星技术研究院,国家部联系卫星中心,2023-07-15,2023-08-20,2023-09-15,2023-09-20,空天技术备案号11010802032368,930875,技术开发,卫星互联网科技公司,实验监测数据,中国,国际航天网,http://www.internationalspace.com/,2024-10-09,
深空通信技术验证试验,空天技术备案号11010802032369,GB/T 81213,深空通信系统,通信系统,正在进行,第一阶段,技术验证,唐强,深空探索研究所,国家通信中心,2023-10-10,2023-11-02,待定,2024-01-15,空天技术备案号11010802032369,930875,科研计划,深空通信科技公司,实验室测试数据,中国,深空科技网,http://www.deep-space-tech.cn/,2024-10-09,
太阳能动力空天飞行器试验,空天技术备案号11010802032370,GB/T 03789,太阳能飞行器,新能源系统,完成,第一阶段,能源测试,赵强,新能源研究所,未来科技中心,2023-09-05,2023-09-20,2023-10-05,2023-10-10,空天技术备案号11010802032370,930875,科研项目,绿色科技有限公司,实验室数据,中国,清华科技日报,,2024-10-09,
空间通信增强技术试验,空天技术备案号11010802032371,GB/T 87654,卫星通信系统,通信系统,正在进行,第二阶段,系统验证,王华,航天事业部,通信认证中心,2023-10-01,2023-10-15,待定,2024-01-01,空天技术备案号11010802032371,930875,技术开发,卫星技术有限公司,现场测试,中国,中国航天新闻,,2024-10-09,
空天水文气象观测实验,空天技术备案号11010802032372,GB/T 83765,气象监测系统,观测系统,完成,第三阶段,科学研究,何丽,气象局,国家气象中心,2023-11-10,2023-11-15,2023-12-01,2023-12-05,空天技术备案号11010802032372,930875,科研项目,气象科技公司,监测数据,中国,气象在线,,2024-10-09,
亚轨道飞行试验,空天技术备案号11010802032373,GB/T 17234,亚轨道飞行器,飞行系统,计划中,第一阶段,技术验证,孙刚,中国航天科技集团,中国测试中心,2023-12-01,2024-01-10,待定,2024-01-20,空天技术备案号11010802032373,930875,项目申报,亚轨道科技有限公司,实验室数据,中国,中国日报,,2024-10-09,
小型无人机空中数据采集实验,空天技术备案号11010802032374,GB/T 17972,无人机监控系统,无人机系统,完成,第二阶段,性能测试,李娜,无人机研究所,航空大学,2023-12-15,2024-01-01,2024-01-15,2024-01-20,空天技术备案号11010802032374,930875,科研项目,无人机科技公司,实地测试数据,中国,航空新闻网,,2024-10-09,
空间材料性能测试,空天技术备案号11010802032375,GB/T 11272,空间材料试验舱,实验舱,正在进行,第一阶段,材料测试,张华,材料科学研究中心,国家材料实验室,2023-12-20,2023-12-25,待定,2024-01-10,空天技术备案号11010802032375,930875,技术开发,材料科技有限公司,研究数据,中国,材料科技网,,2024-10-09,
高分辨率地球观测系统实验,空天技术备案号11010802032376,GB/T 27234,高分辨率卫星,观测系统,完成,第二阶段,数据分析,周强,地球科学研究所,数据收集中心,2024-01-01,2024-01-15,2024-01-30,2024-01-31,空天技术备案号11010802032376,930875,科研项目,地球科技公司,观测数据,中国,科学网,,2024-10-09,
机器人自主探测实验,京公网安备11010802098765号,GB/T 34597,机器人探测系统,探测系统,计划中,第一阶段,技术验证,李青,机器人研究中心,国家机器人实验室,2024-01-05,2024-02-01,待定,2024-02-20,京公网安备11010802098765号,930875,科研项目,机器人科技有限公司,实验室数据,中国,机器人网,,2024-10-09,
全球定位系统性能测试,京公网安备11010802123456号,GB/T 65582,全球定位系统,导航系统,完成,第二阶段,系统优化,王东,导航科技研究所,国家航天局,2024-01-10,2024-01-15,2024-01-30,2024-02-01,京公网安备11010802123456号,930875,项目申报,导航科技有限公司,实验室测试数据,中国,导航新闻,,2024-10-09,
空天通讯系统性能测试,京公网安备11010802234567号,GB/T 83765,空天网络系统,通讯系统,完成,第一阶段,性能测试,赵军,通讯技术研究院,国家通信中心,2023-02-10,2023-03-01,2023-03-20,2023-03-25,京公网安备11010802234567号,930875,科研项目,未来通讯公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
空天气象探测实验,京公网安备11010802345678号,GB/T 55897,空天气象卫星,卫星系统,正在进行,第二阶段,技术验证,吴敏,气象科学研究所,国家气象局,2023-05-01,2023-05-15,待定,2024-01-05,京公网安备11010802345678号,930875,项目申报,气象科技有限公司,实地测试数据,中国,中国气象局,http://www.cma.gov.cn/,2024-10-09,
极地环境下空天系统测试,京公网安备11010802456789号,GB/T 77777,极地探测器,探测系统,完成,第三阶段,环境适应性测试,李华,极地科学研究所,极地实验中心,2023-06-20,2023-07-01,2023-07-15,2023-07-20,京公网安备11010802456789号,930875,科研项目,极地科技公司,实验室数据,中国,极地探测网,http://www.polar.gov.cn/,2024-10-09,
航天动力系统性能验证,京公网安备11010802567890号,GB/T 88888,新型发动机系统,动力系统,完成,第一阶段,性能测试,王刚,航天动力研究所,航天科技集团,2023-08-05,2023-08-15,2023-08-28,2023-09-01,京公网安备11010802567890号,930875,项目申报,航天动力科技有限公司,实验室数据,中国,航天新闻网,http://www.spaceflightnews.com/,2024-10-09,
高空无人机飞行测试,京公网安备11010802678901号,GB/T 83765,高空无人机,无人机系统,正在进行,第二阶段,飞行测试,于磊,无人机研发中心,航空航天实验室,2023-09-10,2023-09-20,待定,2024-02-01,京公网安备11010802678901号,930875,科研项目,无人航天科技有限公司,现场测试数据,中国,无人机公社,http://www.drone.com/,2024-10-09,
低地轨道飞行器测试,京公网安备11010802789012号,GB/T 55897,低轨卫星,卫星系统,完成,第一阶段,性能评估,周莉,太空技术研究所,国家航天局,2023-09-15,2023-09-30,2023-10-15,2023-10-20,京公网安备11010802789012号,930875,项目申报,航天发展公司,实验室数据,中国,航天论坛,http://www.spaceforum.com/,2024-10-09,
太空步行技术验证实验,京公网安备11010802890123号,GB/T 11272,太空步行装备,装备实验,正在进行,第五阶段,技术验证,冯涛,太空应用研究所,国家航天科技中心,2023-10-05,2023-10-15,待定,2025-01-10,京公网安备11010802890123号,930875,科研项目,太空科技有限公司,现场模拟数据,中国,航天商业网,http://www.spacebusiness.com/,2024-10-09,
超声速飞行器地面测试,京公网安备11010802901234号,GB/T 22222,超声速飞机,飞行器系统,完成,第二阶段,性能测试,杨杰,超声速技术研究所,国家超声速实验室,2023-10-15,2023-10-20,2023-11-05,2023-11-10,京公网安备11010802901234号,930875,科研项目,超声速科技有限公司,实验室数据,中国,国家航天局,http://www.nasa.gov/,2024-10-09,
航天机器人技术试验,京公网安备11010802045678号,GB/T 33333,航天机器人,机器人系统,正在进行,第四阶段,技术测试,沈莹,航天机器人实验室,国家机器人中心,2023-08-25,2023-09-10,待定,2024-03-20,京公网安备11010802045678号,930875,项目申报,航天机器人科技有限公司,现场测试数据,中国,科技网,http://www.technology.com/,2024-10-09,
低轨道卫星通信性能评估,京公网安备11010802078901号,GB/T 78121,低轨道卫星通信系统,通信系统,完成,第一阶段,性能评估,周杰,信息通信研究院,国家卫星测控中心,2023-09-01,2023-09-15,2023-10-01,2023-10-05,京公网安备11010802078901号,930875,科研项目,卫星科技公司,测试数据,中国,中国通讯新闻,http://www.chinatelecomnews.com/,2024-10-09,
空间站舱体抗辐射性能测试,京公网安备11010802023456号,GB/T 11111,空间站实验舱,实验舱,正在进行,第二阶段,性能测试,马华,空间科学研究院,航天工程部,2023-10-01,2023-10-10,待定,2023-10-15,京公网安备11010802023456号,930875,项目申报,航天防护技术公司,实地测试数据,中国,万维网,https://www.cnetsc.net/,2024-10-09,
卫星遥感数据实时处理实验,京公网安备11010802098765号,GB/T 22222,卫星数据处理系统,数据处理系统,完成,第三阶段,数据分析,欧阳雪,遥感应用研究所,数字地球中心,2023-11-05,2023-11-10,2023-11-20,2023-11-25,京公网安备11010802098765号,930875,科研项目,遥感星辰科技,遥感卫星数据,中国,中国科学院,http://www.cas.cn/,2024-10-09,
高性能火箭发动机推力测试,京公网安备11010802034567号,GB/T 33333,新型火箭发动机,推进系统,正在进行,第三阶段,性能测试,宋涛,航天动力研究所,国家火箭测试中心,2023-12-01,2023-12-10,待定,2023-12-15,京公网安备11010802034567号,930875,项目申报,航天发动机公司,实验室数据,中国,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
深空探测器热控制系统测试,京公网安备11010802087654号,GB/T 44444,深空探测器,探测系统,完成,第一阶段,系统测试,沈静,深空研究中心,国家空间科学实验室,2023-10-15,2023-11-05,2023-11-25,2023-12-01,京公网安备11010802087654号,930875,科研项目,深空科技有限公司,实地测试数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
高效推进剂性能评估,京公网安备11010802034589号,GB/T 55555,先进推进剂,化学推进,正在进行,第二阶段,材料测试,周冉,推进剂研究所,航天材料测试中心,2023-11-10,2023-11-20,待定,2023-11-30,京公网安备11010802034589号,930875,项目申报,推进剂技术有限公司,实验室数据,中国,机械工业网,http://www.mii.gov.cn/,2024-10-09,
多功能无人机飞行测试,京公网安备11010802012345号,GB/T 66666,多功能无人机,无人飞行系统,完成,第一阶段,飞行测试,李刚,无人机技术研究所,国家航空实验室,2023-10-20,2023-10-25,2023-11-10,2023-11-11,京公网安备11010802012345号,930875,科研项目,无人机科技有限公司,飞行测试数据,中国,航天科技新闻,http://www.spaceflightnews.net/,2024-10-09,
地面基站与卫星链路测试,京公网安备11010802065432号,GB/T 77777,卫星地面接入系统,地面控制系统,正在进行,第三阶段,系统测试,于龙,通信与遥感研究所,国家无线电监测中心,2023-12-02,2023-12-05,待定,2023-12-07,京公网安备11010802065432号,930875,项目申报,卫星通讯科技,链路测试记录,中国,通信与电子网,http://www.cenet.com.cn/,2024-10-09,
天基激光通信系统测试,京公网安备11010802078912号,GB/T 88888,激光通信卫星,通信系统,完成,第一阶段,系统验证,郭宇,激光技术研究所,应用光学实验室,2023-12-03,2023-12-15,2023-12-30,2024-01-02,京公网安备11010802078912号,930875,科研项目,光通信技术公司,实验室数据,中国,激光科技网,http://www.lasertechnews.cn/,2024-10-09,
新型空天飞行器动力系统测试,京公网安备11010802033577号,GB/T 83765,动能回收飞行器,动力系统,完成,第二阶段,性能测试,钱凯,飞行器设计研究所,国家航空实验室,2023-09-05,2023-09-15,2023-10-01,2023-10-10,京公网安备11010802033577号,930875,科研项目,创新飞行科技有限公司,测试记录数据,中国,空间科技网,http://www.space-tech.cn/,2024-10-09,
载人航天飞行稳定性测试,京公网安备11010802034288号,GB/T 13579,载人飞行器,航天系统,正在进行,第一阶段,安全验证,张敏,航天安全技术研究院,宇航科学实验室,2023-10-01,2023-10-10,待定,2024-02-05,京公网安备11010802034288号,930875,项目申报,宇航科技有限公司,实时数据监测,中国,中央电视台,https://www.cctv.com/,2024-10-09,
微卫星群协同作战实验,京公网安备11010802035644号,GB/T 28180,微卫星编队,卫星系统,完成,第三阶段,技术演示,刘刚,卫星技术研发中心,星图研究院,2023-11-05,2023-11-20,2023-12-10,2023-12-15,京公网安备11010802035644号,930875,科研项目,微卫星科技股份有限公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
深空通信信号稳定性测试,京公网安备11010802036412号,GB/T 08376,深空通信系统,通信系统,完成,第二阶段,技术验证,周娜,国家深空通信研究所,深空探索实验室,2023-12-01,2023-12-15,2024-01-10,2024-01-15,京公网安备11010802036412号,930875,项目申报,深空通信技术有限公司,信号报告,中国,国家航空局,http://www.cmas.gov.cn/,2024-10-09,
激光通信技术实验,京公网安备11010802037890号,GB/T 72478,激光通信卫星,通信系统,正在进行,第一阶段,科技研究,杨奇,卫星通信研究所,科学技术开发中心,2023-12-15,2023-12-25,待定,待定,京公网安备11010802037890号,930875,科研项目,前沿通信科技公司,项目记录,中国,科技日报,https://www.stdaily.com/,2024-10-09,
高超声速飞行器气动轨迹测试,京公网安备11010802038954号,GB/T 55897,高超声速推进系统,动力系统,完成,第三阶段,性能优化,郑丽,航天动力研究中心,高速风洞实验室,2023-11-20,2024-01-05,2024-01-20,2024-01-25,京公网安备11010802038954号,930875,科研项目,飞行器技术股份有限公司,测试影响评估,中国,航天科技网,http://www.space-tech.cn/,2024-10-09,
月球探测器自动控制系统实验,京公网安备11010802039901号,GB/T 13524,月球探测器,探测系统,正在进行,第一阶段,智能测试,蒋哲,月球探索中心,国家航天局,2023-10-20,2023-11-01,待定,待定,京公网安备11010802039901号,930875,项目申报,宇航智能科技公司,设备测试报告,中国,科学网,https://news.sciencenet.cn/,2024-10-09,
空间垃圾监测和处理系统实验,京公网安备11010802040567号,GB/T 11111,空间清理系统,监测系统,完成,第三阶段,环境保护,刘华,空间环境研究院,生态航天实验室,2023-05-15,2023-06-05,2023-06-25,2023-06-30,京公网安备11010802040567号,930875,科研项目,环保科技有限公司,环境评估报告,中国,生态环境部,http://www.mee.gov.cn/,2024-10-09,
新一代火箭引擎测试,京公网安备11010802041802号,GB/T 65582,新型固体火箭引擎,推进系统,正在进行,第一阶段,技术验证,王磊,火箭推进研究所,推进技术实验室,2023-08-01,2023-08-15,待定,待定,京公网安备11010802041802号,930875,科研项目,新推进科技有限公司,实验室记录,中国,航天科技网,http://www.space-tech.cn/,2024-10-09,
新型空间通信系统测试,京公网安备11010802042679号,GB/T 83765,空间量子通信系统,通信系统,正在进行,第二阶段,技术验证,赵强,量子通信研究所,中国通信研究院,2023-09-20,2023-10-01,待定,2023-10-15,京公网安备11010802042679号,930875,技术创新,量子科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
空间运输系统参数测试,京公网安备11010802032477号,GB/T 55897,可重用航天器,运输系统,完成,第一阶段,性能测试,李虹,航天工程研究院,国际航天中心,2023-06-12,2023-06-15,2023-07-30,2023-08-05,京公网安备11010802032477号,930875,项目申报,宇航科技公司,项目报告,中国,新华网,http://www.xinhuanet.com,2024-10-09,
低轨卫星轨道控制实验,京公网安备11010802032588号,GB/T 13579,轨道控制系统,空间操控系统,正在进行,第三阶段,系统测试,郑凯,卫星技术发展中心,国家航天局,2023-08-22,2023-09-05,待定,2023-10-12,京公网安备11010802032588号,930875,科研项目,天际科技有限公司,数据采集,中国,空间网,http://www.space.com,2024-10-09,
空天生物科学实验,京公网安备11010802032699号,GB/T 11272,科学实验舱,生物研究,完成,第一阶段,科学实验,孙佳,生命科学研究所,国家实验室,2023-04-10,2023-05-01,2023-06-20,2023-07-01,京公网安备11010802032699号,930875,科研项目,生物科技有限公司,实验数据,中国,科研网,http://www.research.net,2024-10-09,
空间环境影响评估实验,京公网安备11010802032711号,GB/T 27234,空间环境评估系统,评价系统,正在进行,第二阶段,环境测试,高峰,环境科学研究所,国家环境监测中心,2023-01-15,2023-02-10,待定,2023-03-05,京公网安备11010802032711号,930875,科研项目,绿色科技公司,监测报告,中国,生态环境部,http://www.mee.gov.cn,2024-10-09,
可重复使用航天器热防护测试,京公网安备11010802032822号,GB/T 83765,可重复使用航天器,航天器,完成,第一阶段,性能测试,赵强,航天科技集团,国家航天实验室,2023-05-05,2023-06-20,2023-07-05,2023-07-10,京公网安备11010802032822号,930875,科研项目,航天技术有限公司,实验室数据,中国,航空航天网,http://www.airspace.com,2024-10-09,
极地气候环境模拟实验,京公网安备11010802032933号,GB/T 17299,极地探测系统,模拟系统,正在进行,第二阶段,环境测试,钱玲,极地研究所,国立气候研究中心,2023-08-12,2023-09-01,待定,2023-10-15,京公网安备11010802032933号,930875,项目申报,气候科技公司,实地测试数据,中国,气象局,http://www.cma.gov.cn,2024-10-09,
太阳能帆板效能测试,京公网安备11010802033044号,GB/T 40312,太阳能帆板系统,能源系统,完成,第一阶段,性能测试,吴敏,能源研究中心,光电技术研究院,2023-06-15,2023-07-10,2023-07-30,2023-08-01,京公网安备11010802033044号,930875,科研项目,能源科技有限公司,实验室数据,中国,国际能源网,http://www.iea.org,2024-10-09,
小型卫星通信能力验证测试,京公网安备11010802033155号,GB/T 89172,小型卫星通信系统,通信系统,正在进行,第三阶段,技术验证,黄刚,卫星技术研究院,中国科学院,2023-08-15,2023-09-20,待定,2023-10-10,京公网安备11010802033155号,930875,项目申报,卫星科技公司,实地测试数据,中国,中国卫星网,http://www.csmc.cn,2024-10-09,
气动发射系统风洞试验,京公网安备11010802033266号,GB/T 65582,气动发射装置,发射系统,完成,第一阶段,性能测试,郑静,发射技术中心,国家风洞实验室,2023-06-25,2023-07-15,2023-08-01,2023-08-05,京公网安备11010802033266号,930875,科研项目,发射科技有限公司,测试记录数据,中国,航天新闻,http://www.space.com,2024-10-09,
空天激光通信系统试验,京公网安备11010802033377号,GB/T 83765,激光通信技术,通信系统,完成,第一阶段,技术验证,赵军,国家航天局,航天通信研究院,2023-02-12,2023-02-20,2023-04-01,2023-04-05,京公网安备11010802033377号,930875,科研项目,航天技术集团,实验室数据,中国,中国航天新闻网,http://www.spaceflightnews.cn,2024-10-09,
低轨道卫星网络组网实验,京公网安备11010802098765号,GB/T 10172,卫星网络系统,网络系统,正在进行,第二阶段,系统集成,胡斌,卫星技术研究院,国家卫星系统实验室,2023-03-05,2023-04-10,预计2024-06-30,2024-01-15,京公网安备11010802098765号,930875,项目申报,卫星科技发展公司,现场测试数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
空间碎片监测与防御技术实验,京公网安备11010802076543号,GB/T 87654,空间监测系统,监测系统,完成,第三阶段,安全评估,李磊,航天防御技术中心,国家空间碎片研究所,2023-04-15,2023-05-01,2023-06-20,2023-06-25,京公网安备11010802076543号,930875,科研项目,防御科技公司,实验室数据分析,中国,中科院,http://www.cas.cn,2024-10-09,
超高温材料性能测试,京公网安备11010802012345号,GB/T 55897,高温材料测试系统,材料测试,正在进行,第一阶段,性能评估,周梅,材料科学研究所,国家材料实验室,2023-06-05,2023-06-15,待定,2023-09-01,京公网安备11010802012345号,930875,项目申报,材料科技公司,实验室数据,中国,材料行业协会,http://www.msa.org.cn,2024-10-09,
月球探测器着陆技术实验,京公网安备11010802067890号,GB/T 11111,月球探测器,探测系统,完成,第二阶段,系统测试,任刚,月球探索中心,国家航天实验室,2023-07-01,2023-07-10,2023-08-20,2023-08-25,京公网安备11010802067890号,930875,科研项目,空间探索科技有限公司,实验室数据,中国,中国探月工程,http://www.chang'e.gov.cn,2024-10-09,
量子通信卫星验证实验,京公网安备11010802045678号,GB/T 13579,量子通信系统,通信系统,正在进行,第一阶段,技术验证,丁琳,量子科技研究院,国家量子实验室,2023-08-01,2023-08-15,预计2024-01-01,2024-01-05,京公网安备11010802045678号,930875,项目申报,量子科技公司,现场测试数据,中国,高科技发展论坛,http://www.techforum.cn,2024-10-09,
高分辨率成像雷达实验,京公网安备11010802023456号,GB/T 28180,成像雷达系统,雷达系统,完成,第三阶段,数据收集,杨帆,雷达科技研究所,国家遥感中心,2023-09-05,2023-09-10,2023-10-20,2023-10-25,京公网安备11010802023456号,930875,科研项目,成像科技有限公司,实验室数据,中国,中国遥感网,http://www.radarnews.cn,2024-10-09,
空间基准时间系统实验,京公网安备11010802032467号,GB/T 13579,时间同步系统,时间系统,正在进行,第一阶段,系统校准,黄浩,空间时间研究所,国家时间实验室,2023-08-20,2023-09-01,预计2024-02-01,2024-02-05,京公网安备11010802032467号,930875,项目申报,精准时间科技公司,现场测试数据,中国,中国科学院,http://www.cas.cn,2024-10-09,
量子通信技术实验,京公网安备11010802032578号,GB/T 03789,量子卫星,通信系统,完成,第一阶段,技术验证,赵敏,量子科技研究所,国家卫星中心,2023-09-15,2023-10-01,2023-10-15,2023-10-20,京公网安备11010802032578号,930875,科研项目,量子通信科技有限公司,卫星数据,中国,中国科学院,http://www.cas.cn/,2024-10-09,
低轨道卫星组网实验,京公网安备11010802032689号,GB/T 67891,小型卫星系统,网络系统,正在进行,第二阶段,组网测试,孙涛,卫星应用研究中心,国家航天局,2023-08-25,2023-09-20,待定,2024-01-15,京公网安备11010802032689号,930875,项目申报,卫星科技有限公司,实时数据,中国,航天新闻网,http://www.spaceflightnews.com/,2024-10-09,
空天飞行器材料耐热性测试,京公网安备11010802032790号,GB/T 78121,耐热涂层,材料测试,完成,第三阶段,材料性能测试,钱丽,材料科学研究院,国家高温试验中心,2023-09-18,2023-10-05,2023-10-20,2023-10-25,京公网安备11010802032790号,930875,科研项目,耐热科技有限公司,实验室测试数据,中国,中国科技网,http://www.chinatechnews.com/,2024-10-09,
卫星导航系统抗干扰测试,京公网安备11010802032801号,GB/T 81212,GNSS卫星,导航系统,正在进行,第一阶段,系统性能测试,周锋,导航与测量研究所,国家导航中心,2023-09-30,2023-10-15,待定,2024-02-01,京公网安备11010802032801号,930875,项目申报,导航科技有限公司,实地测试数据,中国,央视新闻,http://news.cctv.com/,2024-10-09,
热防护系统耐热性分析,京公网安备11010802032912号,GB/T 12172,热防护材料,材料分析,完成,第二阶段,性能分析,郑浩,空间材料研究所,国家热防护中心,2023-10-10,2023-10-20,2023-11-05,2023-11-10,京公网安备11010802032912号,930875,科研项目,热防护科技有限公司,实验室数据,中国,科技日报,http://www.stdaily.com/,2024-10-09,
空间站长期稳定性监测,京公网安备11010802033023号,GB/T 72496,空间站核心舱,监测系统,正在进行,第三阶段,长期监测,马敏,载人航天工程办公室,中国空间站科学中心,2023-08-05,2023-09-01,待定,2024-03-15,京公网安备11010802033023号,930875,项目申报,空间科技有限公司,监测数据,中国,科技部,http://www.most.gov.cn/,2024-10-09,
火星探测器环境适应性试验,京公网安备11010802033134号,GB/T 34038,火星探测器,探测系统,完成,第一阶段,环境适应性测试,李刚,航天任务委,国家航天局,2023-09-12,2023-09-30,2023-10-20,2023-10-25,京公网安备11010802033134号,930875,科研项目,航天探测科技有限公司,测试报告,中国,新科网,http://www.newsciencetech.com/,2024-10-09,
深空探测器电源系统测试,京公网安备11010802033245号,GB/T 40379,电源管理系统,动力系统,正在进行,第三阶段,电源测试,于晓,能源研究中心,国家深空探测局,2023-07-22,2023-08-05,待定,2024-02-28,京公网安备11010802033245号,930875,项目申报,深空能源科技有限公司,现场测试,中国,中国探月网,http://www.cmes.org.cn/,2024-10-09,
超高分辨率遥感成像实验,京公网安备11010802033356号,GB/T 03712,超高分辨率卫星,遥感系统,完成,第二阶段,成像测试,吴强,遥感与地理信息研究所,国家卫星中心,2023-09-01,2023-09-20,2023-10-10,2023-10-15,京公网安备11010802033356号,930875,科研项目,遥感科技有限公司,实验记录,中国,国际空间研究中心,http://www.isr.org.cn/,2024-10-09,
低轨卫星通信测试,空天技术备案号11010802012345,GB/T 83765,低轨卫星通信系统,通信系统,完成,第一阶段,性能测试,赵军,卫星通信研究所,空间通信实验室,2023-09-20,2023-10-01,2023-10-15,2023-10-20,空天技术备案号11010802012345,930875,科研项目,空间科技股份公司,实验室数据,中国,中国科技网,,2024-10-09,
新一代空天探测器测试,空天技术备案号11010802067890,GB/T 87654,空天探测器,探测系统,正在进行,第二阶段,技术验证,林楠,空天科技研发中心,国家航天局,2023-09-25,2023-10-05,待定,2024-01-15,空天技术备案号11010802067890,930875,项目申报,跃升航天科技公司,现场测试数据,中国,航天日报,,2024-10-09,
高级空天态势感知系统测试,空天技术备案号11010802054321,GB/T 55897,态势感知系统,监视系统,完成,第三阶段,系统测试,吴强,军工科技集团,国防科技实验室,2023-08-05,2023-09-10,2023-09-25,2023-09-30,空天技术备案号11010802054321,930875,科研项目,国防科技股份有限公司,应用数据分析,中国,军事科技网,,2024-10-09,
空天测绘技术实验,空天技术备案号11010802098765,GB/T 34037,空天测绘系统,测绘系统,正在进行,第一阶段,数据采集,于刚,中国测绘局,测绘科学研究四院,2023-09-15,2023-09-30,待定,2023-10-05,空天技术备案号11010802098765,930875,项目申报,北京测绘科技公司,实地测绘数据,中国,中国测绘网,,2024-10-09,
未来空天载人飞行实验,空天技术备案号11010802023456,GB/T 13579,未来飞行器,载人飞行器,待定,第一阶段,概念验证,孙悦,航天运输技术研究院,载人航天局,2023-10-01,待定,待定,待定,空天技术备案号11010802023456,930875,科研项目,未来科技股份有限公司,概念设计数据,中国,中国航天报,,2024-10-09,
空天能源采集系统实验,空天技术备案号11010802034567,GB/T 65582,能源采集系统,能源系统,完成,第二阶段,可行性研究,郭亮,空间能源研究所,新能源科学中心,2023-09-29,2023-10-10,2023-10-25,2023-11-01,空天技术备案号11010802034567,930875,科研项目,能源科技有限公司,实验室测试,中国,中国清洁能源网,,2024-10-09,
小型无人空天车辆试验,空天技术备案号11010802045678,GB/T 76558,小型无人车,无人系统,正在进行,第三阶段,性能评估,何璐,无人机开发研究院,无人机技术测试中心,2023-09-12,2023-09-20,待定,2023-09-30,空天技术备案号11010802045678,930875,项目申报,无人航空科技公司,现场测试记录,中国,航空器应用网,,2024-10-09,
双体空天飞行器性能实验,空天技术备案号11010802087654,GB/T 72451,双体飞行器,飞行器测试,完成,第一阶段,性能测试,郑帆,空天科学技术研究院,国家飞行器测试中心,2023-08-30,2023-09-05,2023-09-20,2023-09-25,空天技术备案号11010802087654,930875,科研项目,飞行科技公司,性能测试记录,中国,科学技术部,,2024-10-09,
量子通信在空天技术中的应用实验,空天技术备案号11010802013579,GB/T 83760,量子通信系统,通信系统,待定,正在进行,技术探索,王刚,量子科技研究所,通信与信息技术中心,2023-10-10,待定,待定,待定,空天技术备案号11010802013579,930875,科研项目,量子通讯科技公司,研究数据分析,中国,量子研究网,,2024-10-09,
空天激光通信测试,空天技术备案号11010802024680,GB/T 83765,激光通信系统,通信系统,完成,第一阶段,性能测试,赵强,激光技术研究所,国家实验室,2023-01-30,2023-02-15,2023-03-01,2023-03-05,空天技术备案号11010802024680,930875,科研项目,华光科技有限公司,实验室数据,中国,科技日报,,2024-10-09,
低轨卫星组网系统测试,京公网安备11010802012345号,GB/T 55897,低轨卫星网络,卫星系统,正在进行,第二阶段,技术验证,王刚,卫星通信研究中心,航天科技公司,2023-04-01,2023-04-20,待定,2024-02-10,京公网安备11010802012345号,930875,项目申报,太空科技有限公司,现场测试数据,中国,国家航天局,,2024-10-09,
空间推进技术实验,京公网安备11010802067890号,GB/T 13579,高效推进系统,推进系统,完成,第三阶段,性能测试,李红,航天推进研究院,国家航天测试中心,2023-06-10,2023-07-01,2023-07-15,2023-07-20,京公网安备11010802067890号,930875,科研项目,推进科技有限公司,实验室数据,中国,科技网,http://www.sciencenet.cn/,2024-10-09,
空间实时仿真系统试验,京公网安备11010802098765号,GB/T 25803,空天仿真系统,仿真系统,完成,第一阶段,技术验证,张强,航天技术院,国家航天安全局,2023-06-15,2023-06-20,2023-07-05,2023-07-10,京公网安备11010802098765号,930875,项目申报,仿真科技有限公司,实验室记录,中国,新华网,http://www.xinhuanet.com/,2024-10-09,
地面实验室微重力测试,京公网安备11010802123456号,GB/T 33333,微重力测试设备,测试设备,正在进行,第二阶段,科学实验,于刚,空间科学研究所,国家气象局,2023-07-20,2023-08-01,待定,2024-01-15,京公网安备11010802123456号,930875,科研项目,气象科技公司,实验室数据,中国,科技日报,https://www.cma.gov.cn/,2024-10-09,
空气动力学实时数据收集,京公网安备11010802134567号,GB/T 11111,气动数据收集系统,数据收集,完成,第一阶段,性能测试,徐俊,空气动力学中心,国家空天实验室,2023-08-05,2023-08-12,2023-08-25,2023-08-30,京公网安备11010802134567号,930875,项目申报,空气动力科技有限公司,现场数据,中国,国家科技部,http://www.most.gov.cn/,2024-10-09,
极端环境耐受性实验,京公网安备11010802145678号,GB/T 22222,耐热材料测试系统,材料测试,完成,第二阶段,材料测试,夏哲,材料科学研究院,国家材料实验室,2023-09-01,2023-09-10,2023-09-30,2023-10-01,京公网安备11010802145678号,930875,科研项目,材料科技有限公司,现场测试数据,中国,科技网,http://www.sciencenet.cn/,2024-10-09,
