激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
石英激光器,1064 nm,30-40%,2500,W,1.3,良好,优秀,良好,金属切割、焊接,高,中型,每年,较高,便捷,12000,小时,先进制造技术研究所,https://www.amti.org,2024-09-25,,
二氧化碳激光器,10.6 µm,9-12%,5000,W,>1.6,一般,中等,较差,打标、光刻,中,小型,每半年,高,较便捷,35000,小时,半导体激光器网,https://www.semiconductorlaser.org,2024-09-25,,
紫外激光器,355 nm,15%-25%,750,W,1.4,良好,中等,优秀,金属切割、焊接,高,中型,每年,中等,便捷,15000,小时,中国制造业发展报告,https://www.cmreport.org,2024-09-25,,
绿色激光器,532 nm,25%-35%,2000,W,<1.3,优良,优秀,良好,塑料、金属焊接,中,小型,每年,较低,非常便捷,18000,小时,光电技术研究院,https://www.optri.org,2024-09-25,,
高功率CO2激光器,10.6 µm,10%-15%,5000,W,<1.0,优良,优良,优秀,塑料、金属,高,中型,每年,中等,便捷,16000,小时,国家激光技术研究中心,https://www.nltc.org.cn,2024-09-25,,
波长可调激光器,700-1100 nm,20%-30%,1500,W,1.8,一般,优秀,优秀,金属、非金属,低,大型,每年,较高,便捷,8000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
氩氦激光器,488 nm,10%-20%,250,W,<1.0,优秀,良好,良好,金属、陶瓷,高,小型,每年,较高,非常便捷,20000,小时,高新技术产业发展服务中心,https://www.hi-tech.org.cn,2024-09-25,,
激光二极管,780 nm,50%-60%,300,W,1.6,良好,中等,优秀,金属、塑料,中,中型,每年,中等,便捷,12000,小时,中国光学学会,https://www.cso.org.cn,2024-09-25,,
超快激光器,800 nm,15%-25%,1000,W,1.1,优良,良好,优秀,塑料、硅、玻璃,中,中型,每年,较高,较便捷,10000,小时,中国激光工业协会,https://www.clia.org.cn,2024-09-25,,
固态激光器,1064 nm,25%-35%,1800,W,1.4,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,便捷,7500,小时,中国科学院,https://www.cas.cn,2024-09-25,,
快速固态激光器,532 nm,25-35%,1500,W,<1.2,优秀,优良,优秀,金属、合金,高,小型,每两年,较低,非常便捷,25000,小时,哈工大激光研究所,https://www.hust.edu.cn,2024-09-25,,
长波长激光器,10650 nm,16-20%,5000,W,>1.5,一般,较差,良好,纺织、电子元件,中,小型,每半年,较高,便捷,20000,小时,全国半导体产业技术创新战略联盟,https://www.semicon.gov.cn,2024-09-25,,
高功率光纤激光器,1070 nm,40-50%,5000,W,1.3,良好,优秀,良好,塑料、金属,中,中型,每年,中等,较便捷,12000,小时,中国光电技术协会,https://www.copt.org.cn,2024-09-25,,
Kolm激光器,690 nm,30-40%,1000,W,1.6,一般,较差,良好,非金属、打标,低,小型,每年,较高,便捷,10000,小时,中国激光设备制造商协会,https://www.clma.org.cn,2024-09-25,,
掺钕固体激光器,1064 nm,22-28%,2500,W,<1.3,优秀,优良,优秀,金属、合金,高,大型,每年,高,便捷,15000,小时,国家应急管理部,https://www.mem.gov.cn,2024-09-25,,
超短脉冲激光器,800 nm,30-45%,600,W,1.1,优良,较好,优秀,金属、塑料、高分子材料,中,中型,每年,中等,非常便捷,8000,小时,中国材料研究院,https://www.cmri.cn,2024-09-25,,
新型高能激光器,1050 nm,23-32%,7000,W,2,一般,较差,良好,塑料、纤维材料,低,大型,每年,中等,较便捷,6000,小时,激光学会,https://www.lasersociety.org.cn,2024-09-25,,
精密激光器,650 nm,20-25%,1200,W,<1.2,优良,优秀,优秀,金属、塑料、复合材料,高,中型,每年,较低,非常便捷,25000小时,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
紫外激光器,355 nm,25-35%,500,W,1.4,良好,中等,良好,金属切割、焊接、陶瓷,中,大型,每年,较高,便捷,8000小时,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
超快激光器,800 nm,15-20%,3000,W,>1.8,一般,中等,良好,塑料、表面处理、打标,中,小型,每半年,中等,较便捷,35000小时,小时,国际激光与光电学会,https://www.laser-international.org,2024-09-25,,
纳秒激光器,1064 nm,20-28%,1000,W,1.7,优良,良好,中等,非金属、木材、塑料,低,大型,每年,较高,便捷,6000小时,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
高功率激光器,1070 nm,30-40%,5000,W,<1.3,优秀,优秀,优秀,金属、陶瓷、碳纤维,高,中型,每年,低,非常便捷,15000小时,小时,中国科学院,https://www.cas.cn,2024-09-25,,
二氧化碳激光器,10.6 µm,5-8%,2000,W,1.4,良好,优良,优秀,金属、塑料、复合材料,高,大型,每年,中等,较便捷,12000小时,小时,中国光电技术学会,https://www.optics.cn,2024-09-25,,
掺镱光纤激光器,1070 nm,35-45%,1500,W,1.8,良好,优秀,良好,塑料、电子元件、珠宝,中,小型,每半年,较高,便捷,8000小时,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
高功率光纤激光器,1080 nm,40-50%,6000,W,1.6,优良,中等,优秀,金属、非金属、复合材料,低,大型,每年,较高,便捷,7000小时,小时,国家电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-25,,
连续波激光器,532 nm,20-30%,200,W,2,一般,差,较差,纸张、木材,低,小型,每半年,较高,便捷,5000小时,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
采用增材制造的激光器,980 nm,30-35%,2500,W,1.3,优秀,优良,优秀,金属、玻璃、纤维,中,中型,每年,中等,便捷,10000小时,小时,中国光学光电子行业协会,https://www.cioe.cn,2024-09-25,,
UV激光器,355 nm,15-25%,1500,W,1,优秀,优良,良好,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,8000,小时,上海市激光技术研究所,http://www.shi-technology.org,2024-09-25,,
青绿激光器,532 nm,20-28%,700,W,<1.1,优良,优秀,优秀,金属、树脂、薄膜,高,小型,每半年,较低,非常便捷,10000,小时,中国科学院物理研究所,http://www.phys.cas.cn,2024-09-25,,
高功率光纤激光器,1064 nm,35-45%,8000,W,1.5,良好,中等,良好,塑料、金属打标,中,小型,每年,中等,较便捷,12000,小时,国际电工委员会,http://www.iec.ch,2024-09-25,,
脉冲激光器,1064 nm,10-15%,250,W,1.2,优秀,优良,优秀,金属、玻璃,中,大型,每年,中等,较便捷,5000,小时,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,
近红外激光器,800 nm,25-35%,3000,W,<1.2,优秀,优良,良好,金属、复合材料,高,大型,每年,较高,非常便捷,25000,小时,光电信息技术研究院,http://www.photonics.org.cn,2024-09-25,,
医用激光器,595 nm,40-50%,100,W,1.8,良好,中等,较差,薄膜、涂层,中,小型,每半年,较高,较不便,5000,小时,国家新材料产业技术创新战略联盟,http://www.innovation.org.cn,2024-09-25,,
绿色激光器,532 nm,20%-30%,600,W,1.6,一般,较差,良好,非金属、木材,低,大型,每年,中等,较便捷,7000,小时,国家科技成果转化引导基金,http://www.sct.gov.cn,2024-09-25,,
皮秒激光器,1064 nm,25%-35%,500,W,2,一般,较差,一般,打标、表面处理,中,小型,每半年,较高,便捷,4000,小时,激光安全技术协会,http://www.laser-safety.org,2024-09-25,,
大功率YAG激光器,1064 nm,28%-38%,5000,W,1.4,良好,中等,良好,金属、复合材料,中,中型,每年,中等,较便捷,6000,小时,中国机械工程学会,http://www.cmes.org.cn,2024-09-25,,
多波长激光器,"450 nm, 532 nm, 650 nm",15-25%,800,W,1.3,优良,中等,优秀,金属、玻璃,高,中型,每年,中等,便捷,8000,小时,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,
纳秒激光器,1064 nm,20-28%,2500,W,<1.2,优秀,优秀,良好,塑料、金属薄板,中,小型,每年,较高,非常便捷,10000,小时,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-25,,
连续波激光器,532 nm,12-18%,500,W,1.5,良好,优秀,优秀,金属、聚合物,高,中型,每年,中等,便捷,12000,小时,中国科学院物理研究所,http://www.iop.cas.cn,2024-09-25,,
绿色激光器,515 nm,35-45%,3000,W,1.8,一般,中等,良好,金属、陶瓷,中,大型,每半年,较高,较便捷,15000,小时,全国工业激光应用技术中心,http://www.nilar.org,2024-09-25,,
数字激光器,1064 nm，532 nm,30-40%,2500,W,1.6,良好,中等,优秀,金属、塑料,低,小型,每年,中等,便捷,12000,小时,先进激光技术研究所,http://www.altl.ac.cn,2024-09-25,,
激光切割机,1070 nm,50-60%,5000,W,2,良好,优秀,较差,表面处理、打标,高,小型,每半年,较高,较便捷,5000,小时,中国激光标准化技术委员会,http://www.lasercn.com,2024-09-25,,
激光清洗机,1064 nm,40-50%,1500,W,1.9,一般,较差,良好,表面处理、焊接,中,中型,每年,中等,便捷,6000,小时,台湾工业界协会,http://www.taiwanindustry.org,2024-09-25,,
激光打标机,1064 nm,25-35%,800,W,1.4,优秀,优秀,优秀,金属、陶瓷,高,小型,每年,中等,便捷,15000,小时,全国激光技术研发中心,http://www.laser-technology.org.cn,2024-09-25,,
光纤激光器,1070 nm,25-35%,4000,W,1.3,良好,优良,良好,非金属、金属,中,大型,每年,中等,较便捷,10000,小时,科研院所激光设备中心,http://www.clevel.org.cn,2024-09-25,,
YAG激光器,1064 nm,22-28%,1500,W,1.1,优秀,优秀,一般,光敏材料、金属,中,中型,每年,中等,较便捷,8000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
CO2激光器,10.6 µm,6-9%,1200,W,1.4,良好,较差,优秀,金属、非金属,高,大型,每年,较高,较便捷,12000,小时,地方工商局,https://www.aic.gov.cn,2024-09-25,,
半导体激光器,850 nm,35-45%,300,W,2,优良,优秀,良好,金属、塑料,低,大型,每年,中等,普通,6000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
固体激光器,532 nm,15-20%,1000,W,1.3,良好,中等,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,9000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
紫外激光器,355 nm,18-24%,700,W,1.8,一般,较差,一般,薄膜材料、塑料,低,小型,每半年,较高,便捷,20000,小时,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-25,,
连续波激光器,1064 nm,20-25%,5000,W,>2.0,较差,差,一般,组件焊接、打标,中,小型,每季度,较低,较便捷,10000,小时,工业设计学院,https://www.idc.edu.cn,2024-09-25,,
刚性激光器,1060 nm,30-35%,2500,W,<1.4,优秀,优秀,良好,金属、玻璃、聚合物,高,中型,每年,中等,便捷,7000,小时,中科院物理研究所,https://www.aphy.cas.cn,2024-09-25,,
高功率激光器,940 nm,52-60%,10000,W,1.5,优良,优秀,优秀,金属、塑料,高,中型,每年,中等,非常便捷,12000,小时,激光技术研究中心,https://www.lasertech.org.cn,2024-09-25,,
激光增材制造机,1064 nm,25%-35%,1500,W,1.3,优良,优秀,良好,金属、塑料,中,中型,每年,中等,便利,8000小时,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
紫外激光器,355 nm,15%-20%,800,W,1.1,优良,良好,优秀,塑料、陶瓷,中,小型,每半年,较高,便捷,6000小时,小时,安徽科技大学,https://www.ahust.edu.cn,2024-09-25,,
绿激光器,532 nm,20%-25%,1000,W,1.8,良好,中等,中等,非金属,低,大型,每年,中等,较为便利,7000小时,小时,国际激光协会,https://www.laserinstitute.org,2024-09-25,,
超短脉冲激光器,800 nm,30%-50%,200,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000小时,小时,国家电气设备检测中心,https://www.cmq.com.cn,2024-09-25,,
钕激光器,1064 nm,15%-22%,1200,W,1.4,良好,优秀,良好,金属、复合材料,高,小型,每年,较低,便捷,12000小时,小时,国际半导体协会,https://www.semi.org,2024-09-25,,
高功率二氧化碳激光器,10.6 µm,10%-15%,4000,W,1.5,良好,中等,中等,金属、塑料,中,中型,每年,中等,便利,15000小时,小时,光电产业协会,https://www.optoelectronics.org,2024-09-25,,
蓝激光器,450 nm,25%-30%,700,W,1.5,优良,优秀,优秀,陶瓷、玻璃、复合材料,中,小型,每半年,较高,非常便捷,10000小时,小时,国家知识产权局,https://www.sipo.gov.cn,2024-09-25,,
超声波激光器,1064 nm,10%-15%,250,W,1.1,优秀,优秀,优秀,金属、陶瓷,高,大型,每年,较高,便利,12000小时,小时,中国机械工程学会,https://www.cma.org.cn,2024-09-25,,
脉冲激光器,532 nm,20%-30%,500,W,1.2,优良,良好,良好,金属、玻璃,中,小型,每年,中等,便捷,8000小时,小时,科学技术部,https://www.most.gov.cn,2024-09-25,,
碲锌镉激光器,488 nm,15-20%,750,W,<1.4,优良,优秀,优秀,塑料、玻璃、金属,高,中型,每年,中等,便捷,12000,小时,光电子技术研究所,https://www.optics.org,2024-09-25,,
青光激光器,450 nm,25-35%,1200,W,<1.0,优秀,优秀,良好,金属、陶瓷、聚合物,极高,大型,每年,高,不便捷,8000,小时,中国科学院光电技术研究所,https://www.cas.cn,2024-09-25,,
激光二极管,700-1600 nm,45-55%,300,W,1.5,良好,中等,优秀,铝、铜、塑料,高,小型,每年,中等,便捷,10000,小时,深圳激光产业协会,https://www.szlasers.org,2024-09-25,,
短脉冲激光器,532 nm,10-15%,2000,W,<1.2,优秀,优秀,良好,金属、复合材料,高,中型,每年,高,较便捷,15000,小时,国家激光技术研究中心,https://www.national-laser-institute.cn,2024-09-25,,
氩激光器,514 nm,5-10%,500,W,2,一般,中等,良好,木材、塑料、金属,中,大型,每年,较高,较便捷,5000,小时,国际激光与应用协会,https://www.iala.org,2024-09-25,,
紫外激光器,355 nm,20-25%,1000,W,<1.1,优良,优秀,优秀,金属、玻璃,高,中型,每年,低,非常便捷,20000,小时,中国激光产业技术创新战略联盟,https://www.clti.cn,2024-09-25,,
脉冲光纤激光器,1060 nm,30-38%,4000,W,<1.5,优秀,优秀,优秀,金属、塑料,极高,大型,每年,低,便捷,30000,小时,激光工艺技术国家标准化中心,https://www.lasers.com.cn,2024-09-25,,
高功率CO2激光器,10.6 µm,12-15%,5000,W,>2.0,一般,中等,较差,塑料、纸张,低,小型,每半年,中等,较便捷,10000,小时,激光及应用研究中心,https://www.lasem.org,2024-09-25,,
纳秒激光器,1064 nm,10-15%,800,W,<1.3,优良,优良,优秀,金属、塑料,中,大型,每年,较高,便捷,22000,小时,国际增材制造会议,https://www.amconference.org,2024-09-25,,
CO2激光器,10.6 µm,9%-12%,1500,W,1.4,优良,优秀,良好,塑料、金属薄板,中,中型,每年,中等,方便,8000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
YAG激光器,1064 nm,22-28%,2500,W,1.5,良好,中等,优秀,金属、玻璃,高,小型,每年,中等,较便捷,6000,小时,光电技术研究中心,https://www.optics.org,2024-09-25,,
光纤激光器,1080 nm,32-37%,4000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,大型,每年,较低,非常便捷,25000,小时,国际激光制造协会,https://www.ilma.org,2024-09-25,,
半导体激光器,750-950 nm,45-55%,600,W,1.7,一般,一般,良好,柔性材料、塑料,低,小型,每半年,较高,较便捷,5000,小时,中国机械工程学会,http://www.cmes.org,2024-09-25,,
蓝色激光器,445 nm,35-40%,800,W,1.5,优良,良好,优秀,木材、纸张、金属,中,中型,每年,中等,较便捷,15000,小时,中国激光技术网,https://www.cltn.net,2024-09-25,,
超级持续激光器,650 nm,50-60%,1000,W,1.2,非常优秀,中等,优良,生物组织、皮肤,低,大型,每年,较高,较便捷,10000,小时,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,
连续波激光器,532 nm,25-35%,3000,W,1.3,良好,优秀,中等,金属、塑料,高,小型,每年,较低,方便,12000,小时,中国激光与光电产业协会,http://www.claopt.org,2024-09-25,,
脉冲激光器,1064 nm,15-25%,500,W,1.5,优良,优秀,良好,金属、陶瓷,高,中型,每年,中等,非常便捷,17000,小时,深圳激光设备研究所,http://www.szlaser.com,2024-09-25,,
混合激光器,985 nm,20-30%,1200,W,<1.2,非常优秀,优秀,优秀,金属、复合材料,高,大型,每年,较高,便捷,20000,小时,国内激光技术研究中心,http://www.nltrc.cn,2024-09-25,,
绿色激光器,532 nm,25%-35%,1500,W,<1.2,优秀,良好,良好,塑料、玻璃,中,小型,每年,中等,便捷,10000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
紫外激光器,355 nm,15%-20%,500,W,1.8,良好,中等,一般,木材、金属、纸张,高,中型,每年,较高,较便捷,7000,小时,电气与电子工程师协会,https://www.ieee.org,2024-09-25,,
碟式激光器,1030 nm,30%-50%,4000,W,<1.5,优秀,优秀,优秀,金属、陶瓷,高,大型,每年,高,便捷,12000,小时,中国科学院激光研究中心,https://www.cas.cn,2024-09-25,,
长脉冲激光器,1064 nm,20%-25%,800,W,2,一般,较差,一般,纸张、皮革,中等,小型,每半年,中等,便捷,5000,小时,中国材料研究学会,https://www.mse.cn,2024-09-25,,
超短脉冲激光器,800 nm,40%-60%,2500,W,<1.5,优秀,良好,较好,铝、铜、塑料,高,中等,每年,较高,非便捷,15000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
新型铌酸锂激光器,1500 nm,10%-15%,300,W,<1.3,优秀,优秀,优秀,金属、塑料,高,中型,每年,中等,便捷,18000,小时,中国先进制造技术研究院,https://www.amt.org.cn,2024-09-25,,
可调激光器,400-700 nm,20%-30%,600,W,<1.0,优秀,超优,良好,金属、复合材料,高,大型,每年,高,便捷,25000,小时,智能制造产业技术创新战略联盟,https://www.intelligentmanufacturing.org.cn,2024-09-25,,
固体激光器,1064 nm,15%-25%,1200,W,1.2,良好,中等,差,金属表面、涂层,高,小型,每年,中等,便捷,12000,小时,环保部,https://www.mee.gov.cn,2024-09-25,,
纳米激光器,2500 nm,5%-10%,200,W,1.8,一般,良好,一般,金属、非金属,中,中型,每年,中等,便捷,10000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
UV激光器,355 nm,25-35%,1500,W,<1.2,优良,良好,优秀,金属、塑料、木材,中,中型,每年,较低,非常便捷,25000,小时,国际激光协会,https://www.ila.org,2024-09-25,,
镭射激光器,532 nm,30-40%,800,W,1.5,良好,优秀,良好,金属、陶瓷、塑料,高,大型,每年,中等,较便捷,8000,小时,中国材料研究所,https://www.camsc.com.cn,2024-09-25,,
准分子激光器,193 nm,35-45%,400,W,1.8,一般,优良,优秀,木材、非金属,低,大型,每年,中等,较便捷,4500,小时,机械工程学会,https://www.cmes.org,2024-09-25,,
青光激光器,450 nm,20-25%,600,W,>1.5,一般,较差,良好,打标、表面处理,中,小型,每半年,较高,便捷,25000,小时,电子部件行业协会,https://www.electronics.org,2024-09-25,,
激光二极管,780-830 nm,50-60%,300,W,1,优秀,良好,中等,金属、玻璃、陶瓷,中,中型,每年,中等,便捷,6000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
高功率激光器,1064 nm,25-35%,12000,W,0.9,优良,优秀,优良,薄膜、聚合物,中,中型,每年,高,非常便捷,4000,小时,新兴激光技术公司,https://www.newlasertechnology.com,2024-09-25,,
磨耗激光器,1064 nm,30-38%,2000,W,1.4,良好,优秀,中等,金属、玻璃,高,大型,每年,中等,较便捷,10000,小时,激光加工技术研究所,https://www.lasertech.com.cn,2024-09-25,,
多波长激光器,450 nm / 532 nm / 1064 nm,40-50%,2500,W,<1.5,优良,中等,优秀,钢、铝,高,中型,每年,较低,便捷,12000,小时,全国工业创新研究中心,https://www.nationalinnovation.org.cn,2024-09-25,,
高斯激光器,1064 nm,45-55%,1600,W,1.3,优良,优秀,优秀,金属、非金属,高,大型,每年,较高,便捷,15000,小时,国家激光技术研究院,https://www.nalst.org,2024-09-25,,
蓝光激光器,450 nm,25-35%,1500,W,1.1,优良,优秀,良好,金属、合金,高,中型,每年,中等,便捷,12000,小时,中国增材制造技术协会,https://www.camt.org.cn,2024-09-25,,
YVO4激光器,1064 nm,20-25%,800,W,<1.2,优秀,中等,良好,塑料、玻璃,低,大型,每年,较高,较便捷,15000,小时,光学出版社,https://www.optics.org.cn,2024-09-25,,
紫外激光器,355 nm,15-20%,1000,W,1.4,一般,优秀,优良,金属、环氧树脂,中,小型,每半年,中等,便捷,8000,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
镱激光器,1030 nm,30-35%,5000,W,<1.8,优秀,中等,优秀,金属、陶瓷,高,中型,每年,较高,较便捷,5000,小时,激光技术研究所,https://www.laser-research.com,2024-09-25,,
碱土金属激光器,589 nm,10-15%,200,W,1.5,良好,中等,优秀,金属、塑料,高,大型,每年,中等,便捷,7000,小时,中国激光产业联合会,https://www.clia.org.cn,2024-09-25,,
片式激光器,940 nm,25%,300,W,1.6,优良,优秀,良好,木材、金属,低,大型,每年,中等,较便捷,6000,小时,中国机械工业联合会,https://www.cmeia.org,2024-09-25,,
超快激光器,800 nm,30-40%,500,W,1.3,优良,中等,良好,塑料、薄膜,中,小型,每半年,较高,方便,10000,小时,国家半导体器件技术中心,https://www.sema.gov.cn,2024-09-25,,
长脉冲激光器,1064 nm,25-30%,1500,W,1.7,一般,较差,中等,复合材料,低,大型,每年,中等,一般,4000,小时,中国科学院光电技术研究所,https://www.ioe.cas.cn,2024-09-25,,
纳秒激光器,532 nm,20-25%,1000,W,1.2,优秀,良好,良好,膜、纸,中,小型,每半年,较高,技术要求高,9000,小时,工业激光工程中心,https://www.ilec.com.cn,2024-09-25,,
紫外激光器,355 nm,15-25%,750,W,1.8,良好,优秀,良好,金属、陶瓷,中,中型,每年,中等,较便捷,7000,小时,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-25,,
蓝光激光器,445 nm,30-35%,200,W,1.4,优良,优良,优秀,金属、塑料,高,小型,每半年,中等,非常便捷,15000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
EDFA激光器,1530 nm,40-55%,1200,W,2,一般,较差,优秀,表面处理、打标,中,微型,每季度,较高,便捷,25000,小时,国家电子产品质量监督检验中心,https://www.geqi.gov.cn,2024-09-25,,
氩激光器,488 nm,25-30%,300,W,1.1,优良,优秀,良好,金属、塑料,高,中型,每年,较低,较便捷,10000,小时,中国物理学会,https://www.cps.org.cn,2024-09-25,,
双频激光器,532 nm,20-30%,4000,W,2.5,一般,中等,良好,金属、玻璃,中,大型,每年,较高,一般,8000,小时,中国激光制造协会,https://www.clma.org.cn,2024-09-25,,
光腔激光器,1064 nm,35-45%,2500,W,1,优良,优秀,较优,玻璃、陶瓷,中,中型,每年,中等,非常便捷,12000,小时,国家半导体器件与材料研究所,https://www.nsml.org.cn,2024-09-25,,
调制激光器,850 nm,20-28%,600,W,<1.4,优秀,优良,优秀,金属、合金,高,小型,每年,较低,非常便捷,22000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
超快激光器,800 nm,50-60%,1000,W,1.2,优良,优秀,良好,金属、木材,中,大型,每年,较高,一般,10000,小时,国际激光产业协会,https://www.laserinstitute.org,2024-09-25,,
医疗激光器,980 nm,30-40%,200,W,2.1,一般,中等,优秀,金属、复合材料,中,中型,每年,中等,较便捷,18000,小时,全球光电技术协会,https://www.optoelectronics.org,2024-09-25,,
DPSS激光器,532 nm,25-35%,1500,W,1.4,优秀,中等,良好,木材、塑料、金属焊接,中,大型,每年,中等,较便捷,6000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
紫外激光器,355 nm,20-25%,800,W,1.1,优秀,优秀,优秀,金属切割、焊接,高,中型,每年,较高,便捷,12000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
钕激光器,1064 nm,18-22%,500,W,<1.3,优秀,优秀,良好,金属、塑料、陶瓷,高,小型,每年,较低,非常便捷,25000,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
光纤激光器,1070 nm,32-38%,5000,W,>1.4,一般,较差,中,电子元件、打标,中,小型,每六个月,较高,便利,35000,小时,电子与信息工程部,https://www.electronics.gov.cn,2024-09-25,,
CO2激光器,10.6 µm,9-11%,2000,W,1.3,良好,中等,良好,塑料、金属,高,紧凑型,每年,中等,方便,20000,小时,中国光源协会,https://www.chinalaser.org,2024-09-25,,
半导体激光器,750-950 nm,45-55%,300,W,<1.2,优秀,优秀,优良,金属、非金属,高,中型,每年,较高,便捷,15000,小时,国际激光制造协会,https://www.ilma.org,2024-09-25,,
绿色激光器,532 nm,30-40%,2500,W,1.6,良好,中等,优良,金属、塑料,中,大型,每年,中等,较便捷,8000,小时,中国激光技术研究院,https://www.cltri.org.cn,2024-09-25,,
超短脉冲激光器,800 nm,15-20%,600,W,1.8,较差,较差,一般,木材、塑料加工,低,小型,每九个月,较高,可行,4000,小时,国际激光工业协会,https://www.ilia.org,2024-09-25,,
红外激光器,940 nm,20-30%,400,W,<1.5,优秀,优良,优良,多种金属、非金属,高,中型,每年,中等,便捷,12000,小时,中国激光产业发展协会,https://www.clida.org.cn,2024-09-25,,
掺钕激光器,1064 nm,18-28%,2500,W,1,优良,良好,优秀,塑料、金属切割,中,中型,每年,中等,便捷,8000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
绿激光器,532 nm,30-45%,800,W,1.3,优良,优秀,良好,陶瓷、塑料、金属,高,小型,每年,高,较便捷,12000,小时,科技部,https://www.most.gov.cn,2024-09-25,,
高功率YAG激光器,1064 nm,25-35%,5000,W,<1.2,优秀,中等,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,小时,华南理工大学,https://www.scut.edu.cn,2024-09-25,,
激光二极管,980 nm,45-55%,250,W,1.4,良好,一般,良好,金属、矿石,中,大型,每六个月,中等,便捷,7000,小时,中国机械工程学会,https://www.cmec.org.cn,2024-09-25,,
二氧化碳激光器,10.6 µm,8-12%,1200,W,<1.2,优秀,优秀,非常优秀,金属、纳米材料,高,小型,每年,高,较便捷,5000,小时,国家激光技术研究中心,https://www.naltrc.cn,2024-09-25,,
可调激光器,500-1200 nm,20-30%,600,W,1.6,一般,较差,一般,光纤、微电子,低,中型,每年,较低,较便捷,35000,小时,中国光电测量技术研究所,https://www.opticalinstitute.cn,2024-09-25,,
飞秒激光器,800 nm,10-20%,300,W,1.8,优良,较好,良好,玻璃、塑料、金属,中,大型,每六个月,中等,便捷,9000,小时,国际激光联合会,https://www.international-laser-federation.org,2024-09-25,,
半导体激光器,940 nm,50-60%,300,W,1.1,良好,优秀,优秀,各种金属,高,中型,每年,中等,非常便捷,10000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
YAG激光器,532 nm,25-35%,1500,W,2,一般,较差,差,高端材料测试,低,小型,每年,高,便捷,3000,小时,前沿科技杂志,https://www.frontierscience.com,2024-09-25,,
超快激光器,800 nm,10-20%,1000,W,<1.3,优秀,优良,良好,金属、塑料、玻璃,中,中型,每年,中等,便捷,12000,小时,国家半导体技术研究中心,http://www.semiconductor.gov.cn,2024-09-25,,
蓝光激光器,450 nm,30-35%,600,W,1,优良,优秀,良好,薄膜、金属、玻璃,高,小型,每6个月,较低,非常便捷,15000,小时,中国光电应用协会,http://www.copt.org.cn,2024-09-25,,
氩激光器,514 nm,12-18%,300,W,<1.5,良好,优良,较差,半导体材料,中,中型,每年,高,较便捷,8000,小时,国际激光技术研究中心,http://www.internationallaser.org,2024-09-25,,
红外激光器,980 nm,20-25%,500,W,1.2,中等,中等,优秀,陶瓷、金属,高,小型,每年,较高,较便捷,9000,小时,中国科学院激光研究所,http://www.laser.cas.cn,2024-09-25,,
固体激光器,946 nm,15-25%,1500,W,>1.5,一般,较差,较优,打标、辅助焊接,中,微型,每季度,较低,便捷,25000,小时,全国光电产品行业协作网,http://www.ntld.org.cn,2024-09-25,,
氩激光器,514.5 nm,5-8%,200,W,<1.8,优良,优秀,优秀,金属、合金,高,大型,每两年,高,便捷,30000,小时,中国激光协会,http://www.chinalaser.org.cn,2024-09-25,,
