细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光打标,深圳联创激光科技有限公司,250,1-5000,10-600,10,<1.5,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光检测,广州海天激光设备有限公司,180,1-3000,10-400,>3,≤1.4,中国电子科技集团公司,https://www.cetc.com,2024-09-25,,,,,,,,,,
激光焊接,上海康利激光科技股份有限公司,600,1-3500,15-300,>2.5,≤1.6,中国质量认证中心,https://www.cqc.com.cn,2024-09-25,,,,,,,,,,
激光表面处理,成都辰光激光技术有限公司,220,1-2800,5-450,>7.5,≤1.5,工信部科技司,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京激光科技有限公司,250,1-4000,10-350,>1.8,<1.7,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光雕刻,西安华铭激光设备有限公司,200,1-3200,10-450,>4,≤1.4,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光雷达,济南明创科技股份有限公司,320,1-3600,5-300,>2.2,<1.6,中国机床工具工业协会,https://www.cmmt.org.cn,2024-09-25,,,,,,,,,,
激光系统集成,昆明光电科技有限公司,450,1-4500,10-500,>5.5,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,杭州思创激光科技有限公司,250,1-5000,20-600,>6,≤1.5,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,,,,,,,,,
激光雕刻,武汉激光有限公司,180,1-4500 kHz,5-400 ns,12,≤1.6,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,北京医方激光科技,120,1-3500 kHz,10-300 ns,8,≤1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光切割,广东光辉激光制造有限公司,400,1-3200 kHz,15-250 ns,9,≤1.5,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光测量,南昌市光电技术有限公司,220,1-5000 kHz,10-600 ns,20,≤1.2,广东省工业和信息化厅,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光喷涂,山东激纷激光科技,350,1-3600 kHz,20-400 ns,11,≤1.3,江西省科技厅,https://www.jx.gov.cn,2024-09-25,,,,,,,,,,
半导体激光,上海新亚光电有限公司,500,1-5500 kHz,8-350 ns,18,≤1.5,山东省机械工业厅,https://www.sd.gov.cn,2024-09-25,,,,,,,,,,
激光电子束焊接,天津优能激光公司,600,1-6000 kHz,10-450 ns,25,≤1.1,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光复合材料加工,宁波伟创激光科技有限公司,450,1-5000 kHz,5-350 ns,30,≤1.3,天津市科学技术委员会,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,沈阳激光智能制造有限公司,300,1-7000 kHz,15-500 ns,22,≤1.4,中国材料研究学会,http://www.cmra.org.cn,2024-09-25,,,,,,,,,,
激光测量,深圳华创激光科技有限公司,350,1-6000 kHz,10-400 ns,14,≤1.2,中国机械工程学会,http://www.cmes.org.cn,2024-09-25,,,,,,,,,,
激光切割,广州锐利激光设备有限公司,400,1-5000,10-450,20,≤1.1,深圳科技创新委员会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,天津新维激光科技有限公司,160,1-7000,5-400,25,≤1.3,广州市经济和信息化局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安恒滔科技有限公司,600,1-3500,10-500,12,≤1.5,天津市科学技术局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光粉末冶金,杭州宇宙激光科技有限公司,450,1-6000,8-350,30,≤1.2,陕西省经济和信息化委员会,https://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光诊断,成都天宇激光科技有限公司,320,1-8000,7-400,18,≤1.3,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光剥离,南京传承激光科技公司,270,1-5000,9-450,22,≤1.4,四川省科学技术厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,无锡剑风激光研究所,200,1-5500,6-500,14,≤1.6,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光成像,长沙时光激光有限公司,230,1-3000,5-250,10,≤1.85,无锡市科技局,https://www.wuxi.gov.cn,2024-09-25,,,,,,,,,,
激光治疗,哈尔滨飞扬激光科技有限公司,180,1-4500,4-350,11,≤1.7,湖南省科技厅,https://www.hunan.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,宁波激光科技有限公司,250,1-4000,3-500,8,≤2.0,黑龙江省卫生健康委员会,https://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光分离,深圳市明亮激光科技,450,1-5000,8-400,12,≤1.6,浙江省信息产业管理办公室,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,福建华益激光技术有限公司,600,1-5000,6-350,20,≤1.2,深圳经济特区管理局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光切割,成都聚光激光器材有限公司,350,1-7000,10-300,25,≤1.1,福建省科技厅,https://www.fjkjt.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京星辰激光科技有限责任公司,180,1-4500,15-450,30,≤1.3,四川省人民政府,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光标记,青岛凯盛激光科技有限公司,320,1-2500,5-500,8,≤1.4,江苏省工业和信息化厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光检测,常州航空激光科技股份有限公司,400,1-6000,2-400,18,≤1.5,青岛市科技局,https://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津曜星激光制造有限公司,250,1-8000,10-250,12,≤1.2,常州市科学技术局,https://www.changzhou.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,郑州创智激光科技有限公司,280,1-3500,1-300,10,≤1.8,天津市工业和信息化局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光薄膜切割,哈尔滨优光科技有限公司,300,1-6500,3-280,14,≤1.7,河南省科技厅,https://www.henan.gov.cn,2024-09-25,,,,,,,,,,
激光检测,嘉兴市光电科技有限公司,420,1-4000,5-500,9,≤1.4,黑龙江省市场监督管理局,https://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,深圳市激锐科技有限公司,250,1-5000,10-600,20,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光打孔,青岛深蓝激光技术公司,600,1-3500,5-400,10,≤1.5,国际激光协会,https://www.laserinstitut.org,2024-09-25,,,,,,,,,,
激光表面处理,南京激光应用技术有限公司,350,1-4500,15-500,8,≤1.4,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,,,,,,,,,
激光传感,武汉光探科技有限公司,480,1-4000,10-300,5.5,≤1.3,国家材料科学研究中心,https://www.nim.cas.cn,2024-09-25,,,,,,,,,,
激光热处理,西安希野激光技术研究所,700,1-6000,8-450,3,≤1.2,中国电子科技集团公司,http://www.cetc.cn,2024-09-25,,,,,,,,,,
激光混合制造,成都三维激光有限公司,400,1-3500,20-600,12,≤1.6,中国科学技术协会,http://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光药物制备,上海正和激光科技有限公司,320,1-5000,10-500,9,≤1.1,国家新材料产业发展中心,http://www.ncm.org.cn,2024-09-25,,,,,,,,,,
激光环境监测,哈尔滨激光科技股份有限公司,150,1-3000,5-300,6,≤1.3,中国药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光自动化应用,杭州智造科技有限公司,550,1-2500,10-500,2.5,≤1.5,环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光测量,深圳市科伟激光技术有限公司,400,1-4000,5-450,7,≤1.4,中国自动化学会,http://www.caai.cn,2024-09-25,,,,,,,,,,
激光碰焊,宁波焊接设备有限公司,350,1-5000,8-450,20,≤1.2,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光切割,东莞市锐锋激光科技有限公司,600,1-6500,10-400,10,<1.6,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,成都激光科技股份有限公司,250,1-3000,5-600,25,≤1.5,广东省科学技术厅,http://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光清理,武汉光谷激光科技有限公司,180,1-5200,2-300,8,≤1.4,西南信息科技园,https://www.swipc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,佛山华丽激光设备有限公司,800,1-1800,1-250,5,≤1.1,湖北省经济和信息化厅,http://www.hb.gov.cn,2024-09-25,,,,,,,,,,
塑料激光焊接,厦门云能激光科技有限公司,120,1-2500,15-500,30,≤1.3,全国工业产品生产许可证认证中心,https://www.apa.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,哈尔滨佳德激光集团,200,1-4000,5-350,3,<1.7,中国光学学会,http://www.cmos.org.cn,2024-09-25,,,,,,,,,,
光纤激光器开发,上海寰宇激光有限公司,450,1-3200,10-400,12,≤1.9,黑龙江省科技厅,http://www.hljkjt.gov.cn,2024-09-25,,,,,,,,,,
激光测试,天津新境激光系统有限公司,330,1-5400,8-450,18,≤1.2,中国电子技术标准化研究院,http://www.cas.cn,2024-09-25,,,,,,,,,,
激光制造,深圳光电激光科技有限公司,250,1-2900,5-390,16,<1.5,天津市科学技术协会,http://www.tast.gov.cn,2024-09-25,,,,,,,,,,
激光加工,广州华艺激光股份有限公司,400,1-3500,10-400,12,≤1.5,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光打标,重庆宇辰科技有限公司,180,1-5000,5-300,4,<1.6,成都市制造业协会,http://www.cdmia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,南京明亮激光科技有限公司,100,1-2000,2-100,3,≤1.4,国家科学技术部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉激光工程有限公司,600,1-1500,5-250,1.2,≤1.1,泰州市科技局,http://www.taizhou.gov.cn,2024-09-25,,,,,,,,,,
激光治理,西安星光激光科技有限公司,350,1-4000,10-500,6,≤1.3,中国机械工程学会,https://www.cmes.org,2024-09-25,,,,,,,,,,
激光切割,成都三维激光装备有限公司,450,1-3000,5-400,15,≤1.2,中国环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光疗法,浙江健康激光科技有限公司,120,1-5000,10-300,5,<1.5,中国制造业协会,http://www.cme.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,天津优德激光技术有限公司,320,1-2000,10-50,1.8,≤1.6,中国医疗器械协会,http://www.cmda.gov.cn,2024-09-25,,,,,,,,,,
激光连接,辽宁省激光技术股份有限公司,550,1-4500,5-350,11,≤1.4,中国材料研究学会,http://www.csmr.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,深圳威尔激光技术有限公司,350,1-3600,5-450,7.5,<1.7,中国电力企业联合会,http://www.cpep.org.cn,2024-09-25,,,,,,,,,,
激光医美,南京激光医学研究中心,100,1-5000,5-450,12,≤1.5,广东省科技厅,http://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光烧结,西安三维激光科技有限公司,400,1-8000,1-300,10,<1.7,中国医疗器械监督管理局,http://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光切割,佛山巨创激光科技有限公司,600,1-6000,10-500,20,≤1.4,西安高新技术产业开发区,http://www.xahitech.gov.cn,2024-09-25,,,,,,,,,,
激光测量,北京精准激光测控技术有限公司,80,1-10000,15-550,25,≤1.6,佛山市人民政府,http://www.foshan.gov.cn,2024-09-25,,,,,,,,,,
激光粉末床熔融,杭州激巧三维打印有限公司,250,1-4000,2-250,8,≤1.3,中国测量协会,http://www.china-measurement.org,2024-09-25,,,,,,,,,,
激光照明,厦门创维激光技术公司,90,1-7000,8-400,15,≤1.2,浙江省科学技术厅,http://www.zjkjt.gov.cn,2024-09-25,,,,,,,,,,
工业激光,成都隆基激光科技有限公司,550,1-2000,1-300,5,<2.0,福建省经济和信息化厅,http://www.fji.gov.cn,2024-09-25,,,,,,,,,,
激光清洁,武汉晶亮激光科技有限公司,300,1-9000,10-450,18,≤1.5,四川省科学技术厅,http://www.scst.gov.cn,2024-09-25,,,,,,,,,,
激光检测,沈阳高精度激光科技有限公司,60,1-5000,5-400,20,<1.4,湖北省生态环境厅,http://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州激光科技有限公司,250,1-3500,1-250,4,≤1.2,辽宁省科技厅,http://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳华智激光设备有限公司,350,1-4500,5-300,3,≤1.4,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,广州盛大激光科技有限公司,600,1-5000,10-450,8.5,≤1.2,中国科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,上海新佳激光科技有限公司,180,1-3500,15-500,12,≤1.3,广东省工业和信息化厅,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光打标,成都高捷科技有限公司,220,1-2800,20-400,5,≤1.5,国家环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光制造,南京锐博激光科技有限公司,400,1-3600,2-100,2.5,≤1.6,四川省科技厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,天津航天激光科技有限公司,500,1-4200,8-300,6,≤1.2,江苏省经济和信息化委员会,http://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光成型,青岛光电科技有限公司,280,1-5000,10-450,7.5,≤1.3,天津市科技局,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,佛山激光科技进出口有限公司,160,1-3900,5-360,4,≤1.4,青岛市科技局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光打标,沈阳光明激光设备有限公司,300,1-2200,8-250,1.8,≤1.5,佛山市科技和信息化局,http://www.foshan.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳迅捷激光科技有限公司,350,1-4600,2-200,3.2,≤1.4,辽宁省科学技术厅,http://www.liaoning.gov.cn,2024-09-25,,,,,,,,,,
激光加工,南京新光激光有限公司,400,1-4500,5-400,18,≤1.5,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州激光科技有限公司,600,1-5000,10-600,>2.5,<1.7,江苏省质量监督局,https://www.js.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州激光技术研究院,250,1-3500,8-550,>4.0,≤1.3,广州市经济和信息化局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安新能源激光技术有限公司,700,1-6000,2-300,>3.0,≤1.4,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,成都普瑞激光科技有限责任公司,120,1-2000,20-600,>6.0,≤1.2,陕西省发展和改革委员会,https://www.sxdrc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉华中科技激光工程有限公司,500,1-2500,10-350,>1.2,≤1.1,四川省科技厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,天津市激光科学研究院,320,1-4000,15-450,>5.5,≤1.6,湖北省质量技术监督局,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光打标,青岛激光设备制造有限公司,180,1-3000,5-500,>2.0,<1.5,天津市科技局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,福州光明激光有限公司,450,1-3700,3-400,>1.8,≤1.5,山东省市场监督管理局,https://www.shandong.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州君锐激光科技有限公司,400,1-2500,10-500,>5.2,≤1.3,福建省科技厅,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,深圳优特激光医学科技有限公司,250,1-5000,5-200,10,≤1.6,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,广州光博激光技术有限公司,350,1-3000,1-400,8,≤1.7,中华医学会,https://www.cma.org.cn,2024-09-25,,,,,,,,,,
激光喷涂,武汉捷源激光科技有限公司,500,1-4500,10-600,12,≤1.5,国家材料实验室,https://www.nml.gov.cn,2024-09-25,,,,,,,,,,
激光工业应用,南京激光技术有限公司,450,1-7000,15-200,20,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光装配,沈阳光启激光工程有限公司,600,1-5500,7-300,18,≤1.4,内蒙古科技大学,https://www.imust.edu.cn,2024-09-25,,,,,,,,,,
激光3D打印,青岛汉光激光科技有限公司,300,1-8000,10-479,25,≤1.3,中国机械工程学会,https://www.cmes.org,2024-09-25,,,,,,,,,,
激光深加工,重庆度迈激光科技有限公司,350,1-10000,50-1000,30,≤1.9,中国增材制造技术协会,https://www.camta.org.cn,2024-09-25,,,,,,,,,,
激光精密制造,西安深光激光科技有限公司,200,1-6500,20-400,22,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,北京瑞光科技有限公司,800,1-3000,3-250,5,≤1.6,陕西省科技厅,https://www.sxst.gov.cn,2024-09-25,,,,,,,,,,
激光制造,广州雄凯激光科技有限公司,350,1-6000,10-500,35,≤1.1,中国质量认证中心,https://www.cqc.com.cn,2024-09-25,,,,,,,,,,
激光加工,杭州新光激光设备有限公司,400,1-5000,8-450,18,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,深圳万锐激光科技有限公司,250,1-7000,10-600,20,<1.5,华南理工大学,https://www.scut.edu.cn,2024-09-25,,,,,,,,,,
激光清洗,南京弘源科技有限公司,180,1-3500,5-400,10,≤1.4,中国知网,https://www.cnki.net,2024-09-25,,,,,,,,,,
激光焊接,武汉光灵科技有限公司,600,1-2500,3-200,9,≤1.3,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光制造,成都凌云激光科技有限公司,320,1-4000,12-500,30,≤1.6,国家激光技术档案馆,https://www.nltc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,北京瑞杰激光科技有限公司,250,1-5500,10-400,16,≤1.2,四川省制造业协会,http://www.scmia.org.cn,2024-09-25,,,,,,,,,,
激光打标,西安宏光科技有限公司,150,1-4800,15-600,12,<1.7,中国机械工程学会,http://www.cmes.org,2024-09-25,,,,,,,,,,
激光清洗,云南腾飞激光科技有限公司,130,1-3000,5-250,8,≤1.3,陕西省政府,https://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,沈阳聚能激光有限公司,700,1-2200,4-180,7,≤1.1,云南省科学技术厅,http://www.ynst.gov.cn,2024-09-25,,,,,,,,,,
激光切割,昆山激光科技有限公司,350,1-5000,10-600,25,≤1.5,全国激光产业发展研究中心,http://www.laser-research.org,2024-09-25,,,,,,,,,,
激光打孔,深圳市恒易激光有限公司,220,1-5000 kHz,10-400 ns,18,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州智造激光科技有限公司,480,1-7000 kHz,5-300 ns,12,≤1.3,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光检测,长沙精创激光科技有限公司,150,1-2500 kHz,10-450 ns,20,≤1.5,中国制造业联合会,https://www.cmifa.com.cn,2024-09-25,,,,,,,,,,
激光雕刻,南京普光激光设备有限公司,210,1-3000 kHz,3-200 ns,5,≤1.1,中国探测技术协会,https://www.cdta.org.cn,2024-09-25,,,,,,,,,,
激光清洗,天津锐步激光科技有限公司,180,1-4850 kHz,15-350 ns,9,≤1.4,江苏省科技厅,https://www.jst.gov.cn,2024-09-25,,,,,,,,,,
激光冲击成形,西安华星激光技术有限公司,350,1-4000 kHz,25-400 ns,7,≤1.6,中国工业技术研究院,https://www.citi.org.cn,2024-09-25,,,,,,,,,,
超快激光,郑州科锐激光科技有限公司,400,1-6000 kHz,20-500 ns,16,≤1.3,陕西省科学技术厅,https://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光涂层,上海激光科技研究院,500,1-8000 kHz,4-150 ns,11,≤1.2,河南省科学技术信息研究院,https://www.hnsti.gov.cn,2024-09-25,,,,,,,,,,
激光测速,福州雷鸟激光科技有限公司,160,1-5000 kHz,10-300 ns,25,≤1.4,中国材料研究学会,https://www.cmss.org.cn,2024-09-25,,,,,,,,,,
激光制造,北京德普激光科技有限公司,350,1-2000 kHz,15-250 ns,3,≤1.5,福建省科技厅,https://www.fjst.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉光韵科技股份有限公司,400,1-5000,8-450,20,≤1.2,中国激光协会,https://www.chinalaser.org.cn,2024-09-25,,,,,,,,,,
激光打标,广东普朗激光技术有限公司,250,1-6500,5-400,18,<1.5,机器人技术研究所,https://www.roboticsinstitute.org,2024-09-25,,,,,,,,,,
激光清洗,青岛先导激光科技有限公司,200,1-4500,3-600,12,≤1.4,广州市科技局,http://www.gzst.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,上海科锐激光科技有限公司,600,1-3000,7-320,10,≤1.3,中国机械工业联合会,http://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光制造,天津精密激光有限公司,450,1-4000,10-350,30,≤1.1,中国焊接学会,http://www.cws.org.cn,2024-09-25,,,,,,,,,,
激光加工,安徽瑞鑫激光科技公司,500,1-5500,9-480,16,≤1.5,全国经济和信息化委员会,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光打标,南京光达激光重工有限公司,180,1-7000,6-530,25,<1.6,中国激光焊接和切割产业技术创新战略联盟,http://www.clwcl.org,2024-09-25,,,,,,,,,,
激光清洗,郑州中原激光有限公司,120,1-3900,4-310,15,≤1.2,江苏省科技厅,http://www.jiangsust.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,四川宇航激光科技有限公司,700,1-2000,5-240,8,≤1.3,河南省发改委,http://www.hnfgw.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳荣盛激光设备有限公司,400,1-8000,10-600,35,≤1.2,中国科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打标,南京光影激光科技股份有限公司,250,1-5000,8-450,>3.5,≤1.2,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,广州高科激光股份公司,120,1-3500,5-200,>2.8,≤1.6,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安瑞昌激光科技发展公司,450,1-1500,10-300,>1.2,≤1.4,广东省工信厅,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光成形,天津市激光科技研究院,320,1-4000,15-550,>6.0,≤1.3,陕西省产业与信息化厅,https://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光制造,辽宁金辉激光技术有限公司,360,2-6000,10-400,>4.5,≤1.1,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光标记,成都恒驰激光科技有限公司,200,1-5500,8-500,>5.0,≤1.5,鞍山市政府,https://www.anshan.gov.cn,2024-09-25,,,,,,,,,,
激光治疗,杭州未来光明医疗科技有限公司,180,1-4500,5-250,>3.0,≤1.4,四川省经济和信息化厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,昆明锐思激光科技,280,1-2000,7-400,>1.8,≤1.3,浙江省卫生健康委员会,https://www.zjwst.gov.cn,2024-09-25,,,,,,,,,,
激光签名,福州中科激光技术有限公司,90,1-3500,12-300,>3.2,≤1.6,云南省经济和信息化委员会,https://www.yn.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市华源激光科技有限公司,350,1-1000,6-100,>0.5,≤1.2,福建省科技厅,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州瑞扬激光设备有限公司,250,1-5000 kHz,5-450 ns,20,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光清洗,南京顶光激光科技有限责任公司,180,1-3000 kHz,4-400 ns,3,≤1.5,国家知识产权局,https://www.cnipa.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安锐达激光科技有限公司,600,1-2000 kHz,3-250 ns,2.5,≤1.4,江苏省科技厅,https://kj.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光加工,青岛锐明激光科技有限公司,400,1-4000 kHz,10-500 ns,7,≤1.3,陕西省经济和信息化厅,http://jxj.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光标刻,天津华泰激光技术有限公司,270,1-6000 kHz,6-350 ns,15,≤1.1,青岛市市场监督管理局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州市超锐激光科技股份有限公司,450,1-3500 kHz,2-300 ns,4,≤1.6,天津市科技局,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,成都博通激光技术有限公司,320,1-5500 kHz,8-475 ns,120,≤1.25,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉光韵激光设备有限公司,390,1-4800 kHz,10-500 ns,5,≤1.35,四川省经济和信息化厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,长沙丰辉激光科技有限公司,220,1-6500 kHz,9-460 ns,12,≤1.2,湖北省市场监管局,http://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳光影科技有限公司,400,1-2100 kHz,3-350 ns,2,≤1.8,湖南省科技厅,http://www.hunan.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州西迪激光设备有限公司,250,1-5000,10-450,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉华科激光科技有限公司,600,1-3500,5-500,3,≤1.6,深圳市科学技术协会,https://www.szsta.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州博瑞激光科技有限公司,180,1-4000,10-300,10,<1.5,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,,,,,,,,,
激光加工,成都激光科技有限公司,350,1-2500,5-400,2.5,≤1.3,中国产业网络,https://www.chinaindustries.com,2024-09-25,,,,,,,,,,
激光切割,武汉精锐激光股份公司,700,1-4500,10-400,7,≤1.4,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光涂层,宁波激光精密制造有限公司,250,1-6000,15-500,9.5,≤1.2,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,无锡普瑞激光有限公司,320,1-5000,5-300,4,≤1.7,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,泉州光明激光科技有限公司,200,1-3000,10-350,6,≤1.4,中国节能与环保集团公司,https://www.cec.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,厦门亿旺激光技术有限公司,180,1-2000,2-450,1,≤1.5,国际激光工业协会,https://www.i-pla.org,2024-09-25,,,,,,,,,,
激光切割,杭州激光科技有限公司,400,1-3500,10-500,8,≤1.8,中国电子学会,https://www.cice.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,深圳市优创激光设备有限公司,250,1-5000 kHz,5-450 ns,>3 mJ,≤1.2,中国工业激光网,https://www.chinalaser.net,2024-09-25,,,,,,,,,,
激光打孔,武汉光电技术公司,320,1-3500 kHz,4-300 ns,>2 mJ,<1.5,激光网,https://www.laser.org.cn,2024-09-25,,,,,,,,,,
激光焊接,广州市激光设备有限公司,550,1-6000 kHz,5-500 ns,>4 mJ,≤1.3,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,青岛宏源激光科技有限公司,200,1-7000 kHz,6-500 ns,>6 mJ,≤1.6,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
