机器人类型,前进速度,单位,倒退速度,单位,加速速度,单位,减速速度,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,,
清洁机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,智慧城市发展联合会,https://www.smartcity.org.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,4,m/s,1.5,m/s,6,m/s,3,m/s,字符型,国家交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.7,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.5,m/s,1,m/s,3,m/s,1.5,m/s,字符型,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.8,m/s,0.6,m/s,2.2,m/s,1.1,m/s,字符型,机器人与智能制造产业技术创新战略联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,3.5,m/s,1.3,m/s,4,m/s,2,m/s,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,4,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.7,m/s,1.4,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2,m/s,0.8,m/s,2.8,m/s,1.3,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
清洁机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.9,m/s,字符型,全国清洁行业协会,https://www.cleaning.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,教育部机器人教育与创新中心,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
军用机器人,3,m/s,1.2,m/s,4.5,m/s,2,m/s,字符型,中国人民解放军,https://www.mod.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.4,m/s,字符型,京东技术研发部,https://tech.jd.com,2024-09-23,,,,,,,,,,,
教育机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,清华大学机器人研究所,https://robotics.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,
监控机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.9,m/s,字符型,国内清洁行业协会,https://www.cleaning.org.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.4,m/s,0.6,m/s,2,m/s,1.1,m/s,字符型,国家安全生产监督管理局,https://www.chinasafetymonitoring.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,中国电子音响协会,https://www.ceaa.org.cn,2024-09-23,,,,,,,,,,,
组装机器人,2.2,m/s,0.8,m/s,3.2,m/s,1.4,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
医疗助理机器人,0.7,m/s,0.2,m/s,1.2,m/s,0.5,m/s,字符型,中国医疗器械行业协会,https://www.cmdhria.org,2024-09-23,,,,,,,,,,,
巡逻机器人,2.4,m/s,1,m/s,3,m/s,1.5,m/s,字符型,城市管理局,https://www.citymanagement.gov.cn,2024-09-23,,,,,,,,,,,
水下机器人,1.6,m/s,0.4,m/s,2.1,m/s,1.3,m/s,字符型,海洋与渔业部,https://www.moa.gov.cn/yj,2024-09-23,,,,,,,,,,,
清洁机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,中国环境保护部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,1.2,m/s,0.4,m/s,2,m/s,0.9,m/s,字符型,物流行业协会,https://www.cwl.org.cn,2024-09-23,,,,,,,,,,,
探测机器人,1.5,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,国防科技大学,https://www.nudt.edu.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,教育信息网,https://www.eduyun.cn,2024-09-23,,,,,,,,,,,
侦查机器人,2.5,m/s,1.2,m/s,3.5,m/s,1.8,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1,m/s,0.2,m/s,1.5,m/s,0.7,m/s,字符型,文化和旅游部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.9,m/s,0.6,m/s,2.8,m/s,1.4,m/s,字符型,国家救助中心,https://www.rescue.gov.cn,2024-09-23,,,,,,,,,,,
视觉识别机器人,1.4,m/s,0.5,m/s,2.1,m/s,0.95,m/s,字符型,技术发展研究中心,https://www.technode.com,2024-09-23,,,,,,,,,,,
社交机器人,1.6,m/s,0.4,m/s,2.4,m/s,1.1,m/s,字符型,人工智能协会,https://www.aia.org.cn,2024-09-23,,,,,,,,,,,
农业种植机器人,3.2,m/s,1.1,m/s,4.5,m/s,2.3,m/s,字符型,现代农业研究院,https://www.modernagriculture.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,1.4,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,人工智能产业发展联盟,https://www.aiia.org.cn,2024-09-23,,,,,,,,,,,
仓储机器人,2.5,m/s,1,m/s,3.5,m/s,1.6,m/s,字符型,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,智能清洁设备行业协会,https://www.icca.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,3.5,m/s,1.3,m/s,4.5,m/s,2,m/s,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.6,m/s,0.2,m/s,1.2,m/s,0.6,m/s,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.8,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,农业部科技司,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.8,m/s,1.3,m/s,字符型,国家应急管理科学研究所,https://www.chinaems.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.9,m/s,3,m/s,1.4,m/s,字符型,中国物流信息中心,https://www.clic.org.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,中国玩具和婴童用品协会,https://www.ctpea.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国际机器人协会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,1.8,m/s,0.4,m/s,2.2,m/s,1,m/s,字符型,中国服务机器人技术委员会,https://www.csrobotics.org,2024-09-23,,,,,,,,,,,
工业机器人,2.8,m/s,1.2,m/s,4,m/s,2,m/s,字符型,世界机器人大会,https://www.worldrobotconference.com,2024-09-23,,,,,,,,,,,
医疗机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,医疗机器人发展论坛,https://www.medroboticsforum.com,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,农业科技发展中心,https://www.agri-tech.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.7,m/s,0.9,m/s,3,m/s,1.5,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.3,m/s,字符型,家电协会,https://www.appliance.org,2024-09-23,,,,,,,,,,,
物流机器人,2,m/s,0.7,m/s,2.8,m/s,1.2,m/s,字符型,物流与运输协会,https://www.logistics.org,2024-09-23,,,,,,,,,,,
教育机器人,1.5,m/s,0.5,m/s,2,m/s,1,m/s,字符型,教育技术协会,https://www.edtech.org,2024-09-23,,,,,,,,,,,
探索机器人,4,m/s,2,m/s,5.5,m/s,3,m/s,字符型,宇航科技协会,https://www.aero-tech.org,2024-09-23,,,,,,,,,,,
探索机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.3,m/s,字符型,国家航天局,https://www.cnsa.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,1.8,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,物流行业协会,https://www.clia.org.cn,2024-09-23,,,,,,,,,,,
水下机器人,0.7,m/s,0.3,m/s,1,m/s,0.5,m/s,字符型,中国海洋局,https://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.3,m/s,0.5,m/s,1.7,m/s,0.9,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,城市管理局,http://www.cngov.org,2024-09-23,,,,,,,,,,,
安保机器人,1.6,m/s,0.7,m/s,2.3,m/s,1,m/s,字符型,国家安全部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,2,m/s,0.6,m/s,2.8,m/s,1.3,m/s,字符型,电子商务研究中心,https://www.ebrun.com,2024-09-23,,,,,,,,,,,
消防机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
轮式机器人,3.2,m/s,1,m/s,4,m/s,2,m/s,字符型,先进制造技术研究院,https://www.amtic.org.cn,2024-09-23,,,,,,,,,,,
人形机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,科技日报,https://www.stdaily.com,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国人工智能产业发展白皮书,https://www.caai.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.2,m/s,1.8,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,中国医疗机器人协会,https://www.cmra.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.2,m/s,字符型,中国农业大学,https://www.cau.edu.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.6,m/s,0.5,m/s,2.8,m/s,1.3,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,1,m/s,3,m/s,1.4,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,2024-09-23,,,,,,,,,,,
家庭清洁机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,智能家居协会,https://www.smart-home.org.cn,2024-09-23,,,,,,,,,,,
探索机器人,2,m/s,0.8,m/s,3.5,m/s,1.7,m/s,字符型,国家地理信息局,http://www.ngcc.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,教育部科技司,https://www.moe.gov.cn/s78/A05/,2024-09-23,,,,,,,,,,,
移动机器人,2.2,m/s,0.7,m/s,3,m/s,1.4,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
仓储机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,物流科技杂志,https://www.logistics-tech.com,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.3,m/s,0.5,m/s,2,m/s,0.9,m/s,字符型,中国老龄产业协会,https://www.caa.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,中国军工集团,https://www.csic.com.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.2,m/s,字符型,耕种科技网,https://www.gengzhong.com,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,环境保护部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
家居机器人,1.2,m/s,0.3,m/s,1.8,m/s,0.6,m/s,字符型,家电协会,https://www.cepa.org.cn,2024-09-23,,,,,,,,,,,
无人机,6,m/s,1.5,m/s,8,m/s,3.5,m/s,字符型,民用航空局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
金融服务机器人,1.7,m/s,0.6,m/s,2.3,m/s,1,m/s,字符型,人民银行,https://www.pbc.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,华南农业大学,http://www.scau.edu.cn,2024-09-23,,,,,,,,,,,
服务机器人,2,m/s,0.4,m/s,2.2,m/s,1,m/s,字符型,中国服务机器人产业发展联盟,http://www.csaria.org,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,国内自动化协会,http://www.autoassn.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,医疗科技研究院,http://www.mtac.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,农业科技部,http://www.agri.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.2,m/s,1.3,m/s,字符型,应急技术研究中心,http://www.emergencytech.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.2,m/s,1.2,m/s,0.5,m/s,字符型,城市管理协会,http://www.urbanmanagement.org,2024-09-23,,,,,,,,,,,
物流机器人,2.8,m/s,1,m/s,3,m/s,1.6,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
教学机器人,1.5,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,教育科学研究所,http://www.eduresearch.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1.2,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,智能家居协会,http://www.smart_home.org,2024-09-23,,,,,,,,,,,
探险机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国际宇航联合会,https://www.iafastro.org,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,中国城市环境卫生协会,https://www.cueha.com,2024-09-23,,,,,,,,,,,
配送机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.3,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.2,m/s,0.6,m/s,1.8,m/s,1,m/s,字符型,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.4,m/s,0.5,m/s,2,m/s,0.9,m/s,字符型,教育机器人协会,https://www.edurobot.org,2024-09-23,,,,,,,,,,,
渔业机器人,2.2,m/s,0.7,m/s,3,m/s,1.2,m/s,字符型,农业与农村事务部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
建筑机器人,1.9,m/s,0.4,m/s,2.8,m/s,1.4,m/s,字符型,中国建筑业协会,https://www.cab.org.cn,2024-09-23,,,,,,,,,,,
家庭助手机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国家电协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
智能安防机器人,1.6,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
老年照护机器人,1,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,国家老龄办,https://www.cnag.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国社会科学院,https://www.cass.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国家市场监管总局,https://www.samr.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,4.5,m/s,2.5,m/s,字符型,全球农业科技论坛,https://www.agri-techforum.org,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2.8,m/s,1.1,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.2,m/s,1.7,m/s,0.6,m/s,字符型,教育科技部,https://www.edutech.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶机器人,4,m/s,1.8,m/s,5,m/s,2,m/s,字符型,中国无人驾驶发展实验室,https://www.driverlesslab.cn,2024-09-23,,,,,,,,,,,
救援机器人,2,m/s,0.9,m/s,3.2,m/s,1.4,m/s,字符型,国家防灾减灾委员会,https://www.cndisaster.gov.cn,2024-09-23,,,,,,,,,,,
家居机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.7,m/s,字符型,智能家居产业联盟,https://www.smart-home.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1,m/s,字符型,IEEE Robotics and Automation Society,https://www.ieee-ras.org,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,国家机器人创新中心,http://www.roboticcenter.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,健康医疗大数据中心,https://www.healthdata.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,4,m/s,1.2,m/s,5,m/s,3,m/s,字符型,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.7,m/s,3,m/s,1.3,m/s,字符型,中国物流与采购联合会,http://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国文化和旅游部,http://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.6,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,国家公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.1,m/s,字符型,环境保护部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,0.9,m/s,3.2,m/s,1.4,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,3.5,m/s,1,m/s,4.5,m/s,2.2,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
迎宾机器人,1,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国酒店协会,https://www.chinahotel.org.cn,2024-09-23,,,,,,,,,,,
特种生产机器人,2.2,m/s,0.6,m/s,3,m/s,1.5,m/s,字符型,国家机械行业协会,http://www.cmia.org.cn,2024-09-23,,,,,,,,,,,
教育辅助机器人,1.6,m/s,0.4,m/s,2,m/s,1.3,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
救灾机器人,2,m/s,0.8,m/s,3,m/s,1.6,m/s,字符型,民政部,http://www.mca.gov.cn,2024-09-23,,,,,,,,,,,
娱乐互动机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,文化和旅游部,http://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,4,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
智能家居机器人,1.1,m/s,0.3,m/s,1.6,m/s,0.7,m/s,字符型,国家发改委,http://www.ndrc.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.2,m/s,字符型,清洁设备制造商协会,https://www.cleandevices.org,2024-09-23,,,,,,,,,,,
送餐机器人,1.4,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,餐饮服务技术展,https://www.foodtechshow.com,2024-09-23,,,,,,,,,,,
建筑机器人,2.5,m/s,0.9,m/s,3.2,m/s,1.6,m/s,字符型,中国建筑业协会,https://www.chinabuilding.org,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.3,m/s,1.6,m/s,0.7,m/s,字符型,教育科技网,https://www.edutech.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.9,m/s,0.5,m/s,2.6,m/s,1.3,m/s,字符型,安全技术协会,https://www.safetytech.org,2024-09-23,,,,,,,,,,,
无人机,3.5,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,国际无人机大会,https://www.droneexpo.org,2024-09-23,,,,,,,,,,,
警用机器人,2.2,m/s,0.8,m/s,3.1,m/s,1.4,m/s,字符型,公安科技网,https://www.police-tech.cn,2024-09-23,,,,,,,,,,,
配送机器人,1.6,m/s,0.6,m/s,2.1,m/s,1,m/s,字符型,物流技术与工程学会,https://www.logistics-tech.org,2024-09-23,,,,,,,,,,,
救援机器人,1.7,m/s,0.4,m/s,2.4,m/s,1.1,m/s,字符型,地方应急管理局,https://www.emergency.org,2024-09-23,,,,,,,,,,,
陪伴机器人,1,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,家庭机器人协会,https://www.familyrobots.org,2024-09-23,,,,,,,,,,,
空间机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.7,m/s,字符型,中国航天科技集团,http://www.spacechina.com,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,清洁行业协会,http://www.cleaning.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,1.5,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,物流与供应链协会,http://www.logistics.org.cn,2024-09-23,,,,,,,,,,,
教学机器人,0.6,m/s,0.2,m/s,1,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.4,m/s,0.6,m/s,2,m/s,1.3,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.3,m/s,0.5,m/s,2.8,m/s,1,m/s,字符型,中国红十字会,http://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,中国玩具协会,http://www.ctma.org.cn,2024-09-23,,,,,,,,,,,
建筑机器人,1.9,m/s,0.7,m/s,3.1,m/s,1.4,m/s,字符型,中国建筑业协会,http://www.cab.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.7,m/s,0.5,m/s,2.5,m/s,1,m/s,字符型,电子商务发展联盟,http://www.ecommerce.org.cn,2024-09-23,,,,,,,,,,,
农业监测机器人,0.9,m/s,0.2,m/s,1.4,m/s,0.6,m/s,字符型,国家农业部,http://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,2,m/s,0.7,m/s,2.5,m/s,1.5,m/s,字符型,中国电子科技集团有限公司,https://www.cetc.com,2024-09-23,,,,,,,,,,,
服务机器人,1.7,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,百度研究院,https://research.baidu.com,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,上海市经济和信息化委员会,https://www.shanghai.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,农业部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.4,m/s,0.5,m/s,2.1,m/s,1,m/s,字符型,国家科学技术部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,1.9,m/s,0.6,m/s,2.8,m/s,1.4,m/s,字符型,中国空间技术研究院,https://www.cast.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.3,m/s,0.4,m/s,1.7,m/s,0.9,m/s,字符型,中国家电协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.2,m/s,1.4,m/s,0.6,m/s,字符型,教育部机器人实验室,https://www.moe.edu.cn,2024-09-23,,,,,,,,,,,
环保机器人,1.6,m/s,0.5,m/s,2,m/s,0.8,m/s,字符型,生态环境部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.8,m/s,0.4,m/s,2.5,m/s,1.2,m/s,字符型,上海市智能科技协会,https://www.shanghaitech.org,2024-09-23,,,,,,,,,,,
物流机器人,2.4,m/s,0.7,m/s,3.2,m/s,1.6,m/s,字符型,中国智能制造协会,https://www.caim.org,2024-09-23,,,,,,,,,,,
陪伴机器人,1.3,m/s,0.5,m/s,1.7,m/s,0.9,m/s,字符型,北京大学机器人研究中心,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,5,m/s,2,m/s,6,m/s,4,m/s,字符型,中国自动化学会,https://www.china-auto.org,2024-09-23,,,,,,,,,,,
教育机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,全国教育技术与教学改革协会,https://www.netech.org,2024-09-23,,,,,,,,,,,
搜索救援机器人,1.7,m/s,0.6,m/s,2.2,m/s,1,m/s,字符型,国家自然灾害应急管理中心,https://www.ndrcc.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,1,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国家庭科学学会,https://www.chinahome.edu.cn,2024-09-23,,,,,,,,,,,
海洋探测机器人,2.6,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国家海洋局,https://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,4.5,m/s,2.5,m/s,5,m/s,3,m/s,字符型,中国农业机械化研究院,https://www.cma.gov.cn,2024-09-23,,,,,,,,,,,
