机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位,平均迭代次数,采集来源,来源链接,采集时间,备注,,,,,,,,,,
医疗机器人,复健中心,1.8,米,2.2,米,0.1,米,5,中国医疗器械行业协会,http://www.cmda.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,9.5,米,11,米,0.7,米,13,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库环境,6,米,8,米,0.6,米,9,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,4,米,5.5,米,0.4,米,7,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2.5,米,3.5,米,0.3,米,6,行业协会,https://www.chinarobot.org,2024-09-23,,,,,,,,,,,
移动机器人,公共交通站,5.5,米,7.5,米,0.8,米,11,城市交通部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,自动化生产线,1.8,米,2.6,米,0.3,米,5,中国机电产品进出口商会,http://www.cccme.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复治疗室,1.2,米,1.8,米,0.2,米,3,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,8,米,10,米,0.5,米,13,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,危险品处理区域,7,米,8.5,米,0.6,米,14,应急管理局,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,未知地形,9,米,11,米,0.9,米,20,中国空间技术研究院,http://www.cast.cn,2024-09-23,,,,,,,,,,,
清洁机器人,大型商场,4,米,5,米,0.2,米,8,中国家电协会,http://www.cheaa.com,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.6,米,11,科技前沿杂志,https://www.techfrontier.com,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.5,米,3.8,米,0.3,米,7,消费电子协会,https://www.ce.org,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,1.8,米,2.5,米,0.1,米,9,中国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,1米,米,1.5,米,0.2,米,4,中国医疗机器人发展研究中心,https://www.cmrdc.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,15,米,18,米,1.5,米,14,农科院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,矿井事故现场,20,米,22,米,2,米,20,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,3,米,4,米,0.3,米,6,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
环境监测机器人,自然保护区,25,米,30,米,3,米,18,生态环境部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓储中心,10,米,12,米,1,米,13,国家物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
清扫机器人,商场,4,米,5.2,米,0.5,米,8,智能家居行业协会,https://www.ihome.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,4.2,米,6.3,米,0.4,米,9,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,3.5,米,5,米,0.5,米,7,人工智能应用研究中心,https://www.ai-research.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,制造业仓库,2.5,米,3.9,米,0.3,米,5,中华人民共和国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复医院,1.2,米,1.8,米,0.2,米,4,中国医疗器械行业协会,http://www.camdi.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室环境,8,米,10.5,米,0.7,米,11,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
物流机器人,配送中心,4,米,6,米,0.6,米,8,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,核电站辐射区,6.5,米,7.5,米,1,米,20,中国核工业集团有限公司,http://www.cgnpc.com.cn,2024-09-23,,,,,,,,,,,
快递机器人,学校校园,2.8,米,4.1,米,0.4,米,6,中国快递协会,http://www.cda.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,大型购物中心,3,米,4.8,米,0.3,米,5,中国家用电器协会,http://www.cheaa.org,2024-09-23,,,,,,,,,,,
巡逻机器人,城市公园,5.5,米,8,米,0.7,米,12,国家公共安全部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,超级市场,4.5,米,6.2,米,0.4,米,9,中国商用机器人协会,https://www.ccra.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库管理,3.8,米,5.5,米,0.6,米,7,阿里巴巴研究院,https://www.aliyun.com,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,2.7,米,3.5,米,0.4,米,6,中国餐饮机器人协会,https://www.rcba.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,办公楼,4,米,5.8,米,0.3,米,8,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-23,,,,,,,,,,,
农用无人机,农田喷洒,12,米,14,米,1.2,米,11,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,危险化学品处理,6,米,7.4,米,0.5,米,14,国家环保部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,复健中心,2,米,3,米,0.2,米,7,中国医院协会,https://www.cmh.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1,米,1.5,米,0.1,米,4,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
送药机器人,医院走廊,2.5,米,3.5,米,0.3,米,5,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
调度机器人,机场行李处理区,5,米,7,米,0.6,米,10,中国民航局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外公园,7,米,9,米,0.6,米,12,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,4,米,5.5,米,0.4,米,9,中国国家旅游局,https://www.cnta.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,生产流水线,3,米,4.5,米,0.3,米,7,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急诊室,2.5,米,3.2,米,0.2,米,6,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,8,米,10,米,0.8,米,14,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,森林消防,12,米,14,米,1.2,米,18,国家林业和草原局,http://www.forestry.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,养老院,6,米,7,米,0.5,米,8,中国老龄产业协会,http://www.caca.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,校园环境,5,米,6.5,米,0.7,米,10,中国高等教育学会,http://www.china.edu.cn,2024-09-23,,,,,,,,,,,
工业机器人,物流仓库,4,米,5.5,米,0.4,米,7,国家发展和改革委员会,http://www.ndrc.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,2,米,2.5,米,0.1,米,5,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库环境,4.5,米,6,米,0.4,米,9,物流与电子商务研究中心,https://www.logisticsresearch.org,2024-09-23,,,,,,,,,,,
清扫机器人,商业大楼,2.8,米,3.5,米,0.2,米,7,智能家居研究院,https://www.smart-home.org,2024-09-23,,,,,,,,,,,
安防机器人,公共场所,6,米,8,米,0.6,米,11,安全技术与应用协会,https://www.safetytech.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,2.2,米,3,米,0.2,米,6,中国餐饮协会,https://www.cateringtimes.org,2024-09-23,,,,,,,,,,,
农业机器人,温室,15,米,18,米,1.5,米,14,现代农业技术论坛,https://www.modernagricultureforum.com,2024-09-23,,,,,,,,,,,
送货机器人,城市街道,1.8,米,2.5,米,0.3,米,5,城市交通研究所,https://www.urbantech.org,2024-09-23,,,,,,,,,,,
护理机器人,医院病房,2.5,米,3,米,0.2,米,6,中国护理学会,https://www.cna.org.cn,2024-09-23,,,,,,,,,,,
探险机器人,恶劣气候条件,7,米,9,米,0.8,米,20,极地探险技术协会,https://www.polartech.org,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,3,米,4,米,0.3,米,8,教育科技促进会,https://www.edutech.org,2024-09-23,,,,,,,,,,,
娱乐机器人,家庭娱乐空间,2,米,3,米,0.1,米,4,智能娱乐设备协会,https://www.intelligententertainment.org,2024-09-23,,,,,,,,,,,
移动机器人,室外城市街道,6,米,8,米,0.6,米,12,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.5,米,3.5,米,0.2,米,9,中国电子技术标准化研究院,https://www.ecc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,5,米,6.5,米,0.4,米,15,农机化技术推广总站,https://www.njzz.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,3,米,4.2,米,0.3,米,7,中国机械工业联合会,https://www.cmia.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,医院病房,2,米,2.8,米,0.1,米,6,中华医学会,https://www.cma.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,森林火灾救援,10,米,12.5,米,0.8,米,14,国家消防救援局,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
无人机,高空测绘,7,米,9,米,0.9,米,11,中国航空科技集团,https://www.avic.com,2024-09-23,,,,,,,,,,,
移动机器人,仓储物流,4,米,5.5,米,0.5,米,10,物流技术与管理杂志,https://www.logisticsmagazine.com,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,1.8,米,3,米,0.15,米,5,餐饮行业协会,https://www.cateringsociety.com,2024-09-23,,,,,,,,,,,
救援机器人,地震救援现场,9,米,11.5,米,1.2,米,16,应急管理部研究院,https://www.modelingemergency.cn,2024-09-23,,,,,,,,,,,
移动机器人,智能办公空间,4.8,米,6.5,米,0.4,米,12,中国互联网信息中心,http://www.cnnic.net.cn,2024-09-23,,,,,,,,,,,
服务机器人,餐饮环境,2.4,米,3.8,米,0.25,米,9,中国食品安全网,http://www.cfsn.cn,2024-09-23,,,,,,,,,,,
工业机器人,车间组装线,3.2,米,4.5,米,0.3,米,7,国家机器人工程技术研究中心,http://www.nmec.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,医院急诊室,1.2,米,1.8,米,0.15,米,6,中国医疗机器人协作网络,http://www.cmrn.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植,7.5,米,9,米,0.8,米,11,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,核污染现场,6,米,8,米,0.6,米,14,国家核安全局,http://www.nvgs.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,养老院环境,3.5,米,5,米,0.4,米,8,国家卫健委,http://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
消防机器人,火灾现场,5,米,7,米,0.5,米,15,中国消防协会,http://www.cfa.org.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,城市道路,10,米,12.5,米,1.2,米,16,中国智能交通协会,http://www.cita.org.cn,2024-09-23,,,,,,,,,,,
家务机器人,家庭日常环境,2,米,3,米,0.2,米,7,家电研究院,http://www.appliance.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外开放区域,6,米,8.5,米,0.6,米,14,IEEE Transactions on Robotics,https://www.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,商业办公环境,4,米,5.5,米,0.4,米,7,机器人技术杂志,https://www.robot-tech.com,2024-09-23,,,,,,,,,,,
工业机器人,装配生产线,3,米,4.2,米,0.3,米,9,中国智能制造网,https://www.chinasmartmanufacturing.com,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,1.2,米,1.8,米,0.15,米,4,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植空间,11,米,13,米,0.8,米,11,农业科技发展杂志,https://www.agri-tech.com,2024-09-23,,,,,,,,,,,
特种机器人,高温环境作业,7,米,10,米,0.9,米,12,中国安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,城市道路,5,米,6.5,米,0.4,米,8,自动驾驶研究中心,https://www.autonomousdriving.org,2024-09-23,,,,,,,,,,,
教育机器人,教学实验室,2.5,米,3.5,米,0.2,米,5,教育技术协会,https://www.edtech.org,2024-09-23,,,,,,,,,,,
探索机器人,未知地形,9,米,12,米,1,米,15,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
物流机器人,仓储管理,4,米,5.8,米,0.5,米,6,物流与供应链管理协会,https://www.logistics-scm.org,2024-09-23,,,,,,,,,,,
移动机器人,室外公园,7,米,9,米,0.6,米,11,中国移动互联网协会,https://www.cmia.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4,米,5.5,米,0.4,米,7,中国旅游研究院,https://www.ctaweb.org,2024-09-23,,,,,,,,,,,
工业机器人,装配线,1.8,米,2.5,米,0.3,米,5,中国机械工业联合会,http://www.cmif.org,2024-09-23,,,,,,,,,,,
医疗机器人,急救中心,1.2,米,1.8,米,0.2,米,4,中国卫生信息与健康大数据学会,http://www.cihds.org,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,6,米,8,米,0.8,米,14,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,海洋救援现场,9,米,10.8,米,0.9,米,16,中国海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,校园教学环境,3.5,米,4.5,米,0.3,米,9,教育部科学技术司,http://www.moe.gov.cn/s78/A03/,2024-09-23,,,,,,,,,,,
建筑机器人,施工现场,5,米,6.5,米,0.5,米,8,中国建筑业协会,http://www.cac.gov.cn,2024-09-23,,,,,,,,,,,
保安机器人,商场安保,4.2,米,5.6,米,0.4,米,10,中国安防行业协会,http://www.asai.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市街道,8,米,10,米,0.7,米,12,中国物流与采购联合会,http://www.clpc.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,商场购物环境,6,米,8,米,0.6,米,11,中国电子技术标准化研究院,http://www.cesi.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,餐饮环境,2.5,米,3.5,米,0.2,米,7,中国餐饮协会,http://www.cooking.org.cn,2024-09-23,,,,,,,,,,,
巡检机器人,电力设备区域,4,米,5.5,米,0.4,米,9,国家电网公司,http://www.sgcc.com.cn,2024-09-23,,,,,,,,,,,
医疗机器人,医院走廊,1米,米,1.5米,米,0.1米,米,4,卫健委,http://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,生产线,3米,米,4.2米,米,0.3米,米,8,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室环境,8米,米,10米,米,0.8米,米,14,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,建筑工地,5米,米,6.5米,米,0.5米,米,12,住房和城乡建设部,http://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库配送中心,7米,米,8.5米,米,0.7米,米,10,易果生鲜,http://www.ygsg.com,2024-09-23,,,,,,,,,,,
教育机器人,教室,2米,米,3米,米,0.2米,米,6,教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶机器人,城市道路,15米,米,17米,米,1.2米,米,20,智能网联汽车技术创新中心,http://www.china-autonomous-vehicle.org,2024-09-23,,,,,,,,,,,
移动机器人,室内医院环境,4.5,米,6,米,0.4,米,9,国际机器人及自动化协会,https://www.ifra.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.5,米,3.8,米,0.3,米,7,中国服务机器人协会,https://www.servicerobot.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,3,米,4.5,米,0.3,米,11,中国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,8,米,10,米,1.5,米,13,中国农业大学,https://www.cau.edu.cn,2024-09-23,,,,,,,,,,,
医疗机器人,重症监护室,1,米,1.7,米,0.2,米,5,中国医学科学院,https://www.cams.cn,2024-09-23,,,,,,,,,,,
特种机器人,军事演习现场,12,米,14,米,0.9,米,18,国防科技大学,https://www.nudt.edu.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库管理,6,米,8.3,米,0.6,米,14,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
无人驾驶机器人,城市街道,15,米,17.5,米,1.2,米,23,国家交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,商场环境,2,米,3.5,米,0.3,米,6,中国智能清扫机器人产业协会,https://www.cleanrobotics.org.cn,2024-09-23,,,,,,,,,,,
巡检机器人,电力设施,4,米,5.2,米,0.4,米,10,中国电力研究院,https://www.cpri.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6.5,米,8,米,0.4,米,13,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2,米,3.5,米,0.2,米,7,中国服务机器人发展报告,https://www.chinaservicebot.com,2024-09-23,,,,,,,,,,,
工业机器人,现代化制造车间,1.8,米,2.6,米,0.3,米,9,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,实验室环境,1.2,米,1.8,米,0.1,米,4,全国医院管理委员会,http://www.nhmc.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,高科技温室,15,米,17,米,1.5,米,11,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,海上救援现场,10,米,11.5,米,0.8,米,14,中国海事局,http://www.msa.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,商场环境,4,米,5.5,米,0.3,米,5,中国清洁行业协会,http://www.ccia.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,3,米,4,米,0.25,米,6,中国教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,居民小区,3.5,米,5,米,0.4,米,7,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
货运机器人,大型仓储中心,12,米,14,米,0.6,米,10,中国物流与采购联合会,http://www.cfa.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,商场复杂环境,6,米,8,米,0.6,米,12,科技日报,https://www.stdaily.com,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,4,米,5.5,米,0.4,米,9,中国旅游局,http://www.cta.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,物流中心,3,米,4.5,米,0.3,米,7,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,2,米,3,米,0.2,米,6,新华网,http://www.xinhuanet.com,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,8,米,10,米,0.8,米,11,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,消防救援现场,7,米,9,米,0.5,米,14,中国应急救援协会,http://www.cea.com.cn,2024-09-23,,,,,,,,,,,
环境监测机器人,污染区域,5,米,6.5,米,0.4,米,8,生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,主题公园,9,米,11,米,0.9,米,13,中国游乐园协会,http://www.capt.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库作业区,4,米,5,米,0.4,米,10,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,3,米,3.8,米,0.3,米,5,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,2.5,米,3.8,米,0.4,米,7,中国教育科技网,https://www.cet.com.cn,2024-09-23,,,,,,,,,,,
清洁机器人,办公楼环境,6,米,8.2,米,0.6,米,9,市场研究公司,https://www.marketresearch.com,2024-09-23,,,,,,,,,,,
探测机器人,地下矿区,1.2,米,1.8,米,0.2,米,5,中国煤炭工业协会,http://www.coalchina.org,2024-09-23,,,,,,,,,,,
物流机器人,仓储中心,3.5,米,5,米,0.3,米,8,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
搜索与救援机器人,城市救援现场,7,米,8.5,米,0.8,米,13,中国红十字会,https://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市街道,4,米,5.5,米,0.3,米,6,电子商务研究中心,http://www.100ec.cn,2024-09-23,,,,,,,,,,,
协作机器人,汽车装配线,2.2,米,3,米,0.25,米,4,中国机电产品进出口商会,http://www.ccpitt.org,2024-09-23,,,,,,,,,,,
编程教育机器人,实验室环境,1.8,米,2.5,米,0.15,米,3,国家教育部科技司,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
救护机器人,紧急医疗场所,3.3,米,5,米,0.4,米,5,中国医疗器械行业协会,http://www.camdi.org.cn,2024-09-23,,,,,,,,,,,
娱乐陪伴机器人,家庭休闲环境,1,米,1.5,米,0.1,米,2,中国玩具协会,http://www.ctia.com.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6.5,米,8,米,0.6,米,11,人工智能研究协会,https://www.aira.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4.2,米,5.6,米,0.4,米,9,中国服务机器人产业技术创新战略联盟,https://www.csria.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,7,米,9,米,0.8,米,10,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,军事演习场地,9,米,10.5,米,0.9,米,20,中国军网,http://www.81.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造工厂,2.5,米,3.5,米,0.3,米,7,中国机械工业联合会,http://www.cmtba.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复治疗中心,1.8,米,2.4,米,0.2,米,6,中国卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,校园环境,3.5,米,4.8,米,0.5,米,8,教育部科技司,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
酒店机器人,餐厅,2,米,2.7,米,0.1,米,4,中国饭店协会,http://www.chinahotel.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,公共交通站,2.8,米,3.5,米,0.3,米,5,中国智能清洁行业协会,https://www.cleansmart.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库,7.5,米,9.2,米,0.4,米,12,中国物流与采购联合会,http://www.clp.org.cn,2024-09-23,,,,,,,,,,,
