设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位,施加推力,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,
特种机器人,工地救援机器人,2.5,mm,3,±1.5,mm,75,N,字符型,中国灾害防治科技部,https://www.mind.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboArm 3D,0.3,mm,3,±0.05,mm,60,N,字符型,中国3D打印产业技术创新战略联盟,https://www.3dprint.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC LR Mate,0.2,mm,6,±0.04,mm,40,N,字符型,全球自动化协会,https://www.gaa.org,2024-09-24,,,,,,,,,,
服务机器人,城市清洁机器人,2,mm,4,±1.0,mm,30,N,字符型,中国城乡建设协会,https://www.ccca.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Daisy协作机器人,0.7,mm,6,±0.3,mm,28,N,字符型,中国机器人技术研究中心,https://www.crtrc.org.cn,2024-09-24,,,,,,,,,,
并联机械手,KUKA LBR iiwa,0.3,mm,7,±0.1,mm,35,N,字符型,德国汉堡科学院,https://www.hamburg-sci.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.05,mm,6,±0.03,mm,28,N,字符型,日本机器人协会,https://www.jara.or.jp,2024-09-24,,,,,,,,,,
SCARA机器人,Omron Adept,0.15,mm,4,±0.05,mm,36,N,字符型,美国自动化协会,https://www.robotics.org,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR3,0.4,mm,6,±0.1,mm,24,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,机器人助手,0.8,mm,5,±0.6,mm,10,N,字符型,中国家用机器人研究中心,https://www.chinarobotics.com,2024-09-24,,,,,,,,,,
特种机器人,医疗运输机器人,1.5,mm,4,±0.3,mm,45,N,字符型,国家健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,ABB IRB 6700,0.2,mm,6,±0.1,mm,55,N,字符型,瑞士技术大学,https://www.ethz.ch,2024-09-24,,,,,,,,,,
六轴机械手,Mitsubishi Electric RV-8FR,0.08,mm,6,±0.02,mm,22,N,字符型,日本电气电子信息学会,https://www.iee.or.jp,2024-09-24,,,,,,,,,,
协作机器人,RoboDK,0.6,mm,5,±0.4,mm,18,N,字符型,加拿大机器人协会,https://www.roboticscanada.ca,2024-09-24,,,,,,,,,,
服务机器人,CleanBot,1.2,mm,4,±0.8,mm,12,N,字符型,中国智能家居产业联盟,https://www.china-smart-home.org,2024-09-24,,,,,,,,,,
并联机械手,Hummingbird机器人,0.3,mm,3,±0.1,mm,45,N,字符型,国家科学技术部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.05,mm,6,±0.02,mm,50,N,字符型,机器人工业协会,https://www.robotics.org,2024-09-24,,,,,,,,,,
SCARA机器人,XR系列,0.15,mm,4,±0.05,mm,35,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
协作机器人,Nao,0.4,mm,7,±0.15,mm,25,N,字符型,中国社会科学院,https://www.cass.cn,2024-09-24,,,,,,,,,,
服务机器人,智能家居机器人,0.8,mm,5,±0.4,mm,18,N,字符型,电信研究院,https://www.zt.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,水下作业机器人,3,mm,3,±1.5,mm,80,N,字符型,海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Sparrow机器人,0.4,mm,3,±0.2,mm,55,N,字符型,国家创新委员会,https://www.npic.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.04,mm,6,±0.03,mm,65,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,智能老人护理机器人,0.5,mm,6,±0.3,mm,20,N,字符型,国家民政部,https://www.mca.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,环境监测机器人,1.5,mm,3,±0.7,mm,70,N,字符型,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,FANUC M-20iA,0.4,mm,3,±0.08,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.15,mm,6,±0.03,mm,35,N,字符型,德国KUKA公司,https://www.kuka.com,2024-09-24,,,,,,,,,,
SCARA机器人,Mitsubishi HC10,0.1,mm,4,±0.05,mm,45,N,字符型,三菱电机,https://www.mitsubishielectric.com,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR10e,0.3,mm,6,±0.1,mm,25,N,字符型,丹麦Universal Robots,https://www.universal-robots.com,2024-09-24,,,,,,,,,,
服务机器人,三星家用机器人,0.5,mm,5,±0.4,mm,20,N,字符型,三星电子,https://www.samsung.com,2024-09-24,,,,,,,,,,
特种机器人,工业检查机器人,1.5,mm,3,±0.9,mm,70,N,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
并联机械手,ABB YuMi,0.25,mm,7,±0.02,mm,30,N,字符型,瑞士ABB集团,https://global.abb,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-1iA,0.05,mm,6,±0.01,mm,40,N,字符型,Fanuc公司,https://www.fanuc.eu,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-XG,0.15,mm,4,±0.04,mm,25,N,字符型,雅马哈公司,https://www.yamaha.com,2024-09-24,,,,,,,,,,
协作机器人,RoboDK,0.6,mm,6,±0.15,mm,36,N,字符型,RoboDK官方,https://robodk.com,2024-09-24,,,,,,,,,,
并联机械手,Flexbot,0.3,mm,3,±0.15,mm,55,N,字符型,中国科学院自动化研究所,http://www.ia.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA AGILUS,0.05,mm,6,±0.03,mm,25,N,字符型,中国机器人产业研究院,https://www.robotics-in-china.com,2024-09-24,,,,,,,,,,
SCARA机器人,MOTOMAN SCARA,0.2,mm,4,±0.1,mm,35,N,字符型,国家科技部,http://www.most.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Doosan A-grade,0.3,mm,7,±0.25,mm,45,N,字符型,中国职业技术教育学会,http://www.cvet.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,1.5,mm,4,±0.6,mm,12,N,字符型,中华全国工商业联合会,http://www.acfic.org.cn,2024-09-24,,,,,,,,,,
特种机器人,机器人医疗救援,1.8,mm,5,±0.9,mm,70,N,字符型,中国医疗器械行业协会,http://www.camda.org.cn,2024-09-24,,,,,,,,,,
并联机械手,RevolutionRobot,0.4,mm,3,±0.2,mm,50,N,字符型,科技部智能设备技术研发中心,http://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC LR Mate,0.1,mm,6,±0.04,mm,20,N,字符型,全球机器人市场研究中心,http://www.robotmarketresearch.com,2024-09-24,,,,,,,,,,
协作机器人,Omron LD Series,0.6,mm,7,±0.3,mm,65,N,字符型,国际自动化技术协会,http://www.isae.org,2024-09-24,,,,,,,,,,
特种机器人,消防灭火机器人,2.5,mm,4,±1.2,mm,75,N,字符型,中国消防协会,http://www.firesafety.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Hercules机器人,0.3,mm,3,±0.05,mm,70,N,字符型,中国制造业协会,https://www.cma.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,6,±0.02,mm,40,N,字符型,中国机器人行业发展报告,https://www.robotreport.com,2024-09-24,,,,,,,,,,
SCARA机器人,Epson C4,0.15,mm,4,±0.1,mm,35,N,字符型,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,RoboDK,0.4,mm,7,±0.2,mm,25,N,字符型,中科院自动化研究所,https://www.ia.cas.cn,2024-09-24,,,,,,,,,,
服务机器人,商用清洁机器人,0.8,mm,5,±0.4,mm,20,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
特种机器人,农业喷药机器人,1.5,mm,4,±0.8,mm,50,N,字符型,农业科技部,https://www.moa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Flexpicker,0.2,mm,3,±0.05,mm,60,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.2,mm,6,±0.1,mm,55,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Niryo One,0.35,mm,6,±0.15,mm,30,N,字符型,中国智能机器人研究院,https://www.chinarobotics.org,2024-09-24,,,,,,,,,,
特种机器人,搜索与救援机器人,1,mm,4,±0.6,mm,80,N,字符型,国家应急援助中心,https://www.nrrc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,重载Delta机器人,0.4,mm,3,±0.15,mm,75,N,字符型,机械工业部,https://www.mii.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.03,mm,25,N,字符型,国际机器人协会,https://www.worldrobotics.org,2024-09-24,,,,,,,,,,
SCARA机器人,多功能SCARA机器人,0.3,mm,4,±0.1,mm,35,N,字符型,中国自动化学会,https://www.caas.org.cn,2024-09-24,,,,,,,,,,
协作机器人,安川协作机器人,0.6,mm,7,±0.2,mm,22,N,字符型,科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,商业清洁机器人,1.2,mm,5,±0.6,mm,10,N,字符型,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,水下探测机器人,2.5,mm,4,±1.5,mm,80,N,字符型,海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,
医疗机器人,手术辅助手,0.02,mm,5,±0.01,mm,5,N,字符型,国家药监局,https://www.nmpa.gov.cn,2024-09-24,,,,,,,,,,
组装机器人,汽车门组装机器人,0.1,mm,6,±0.05,mm,55,N,字符型,汽车工业协会,https://www.auto.org.cn,2024-09-24,,,,,,,,,,
取件机器人,智能仓储取件机器人,0.3,mm,4,±0.2,mm,40,N,字符型,物流协会,https://www.cset.org.cn,2024-09-24,,,,,,,,,,
仿生机器人,仿蝙蝠飞行机器人,1,mm,3,±0.5,mm,30,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
并联机械手,MAXI机器人,0.4,mm,3,±0.08 mm,mm,55,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,Adept Viper,0.12,mm,6,±0.07 mm,mm,35,N,字符型,国家机器人测试与评估中心,https://www.robotics-testing.org,2024-09-24,,,,,,,,,,
SCARA机器人,Epson C4,0.15,mm,4,±0.1 mm,mm,45,N,字符型,中国电子技术标准化研究院,https://www.cesi-standards.org,2024-09-24,,,,,,,,,,
协作机器人,UR5e,0.3,mm,7,±0.15 mm,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,Roomba i7+,1.5,mm,5,±0.3 mm,mm,10,N,字符型,中国家用电器协会,https://www.cheaa.org,2024-09-24,,,,,,,,,,
特种机器人,拆除机械手,1.8,mm,4,±0.9 mm,mm,70,N,字符型,国家建筑工程管理局,https://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,ParallelManipulator X,0.3,mm,3,±0.05 mm,mm,60,N,字符型,中国人工智能学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.02 mm,mm,40,N,字符型,德国机器人协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
协作机器人,Fanuc CR-7iA,0.4,mm,7,±0.1 mm,mm,20,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
服务机器人,洁净服务系统,1.2,mm,5,±0.4 mm,mm,12,N,字符型,中国卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Flexbot,0.4,mm,3,±0.08,mm,55,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA系列,0.15,mm,6,±0.03,mm,45,N,字符型,中国机电产品进出口商会,https://www.cccme.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Elite SCARA,0.25,mm,4,±0.12,mm,35,N,字符型,中国机器人技术研究中心,https://www.roboticsresearch.cn,2024-09-24,,,,,,,,,,
协作机器人,Cobot 3000,0.3,mm,6,±0.15,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,康复服务机器人,1.5,mm,5,±0.4,mm,20,N,字符型,中国老龄科学研究中心,https://www.casc.org.cn,2024-09-24,,,,,,,,,,
特种机器人,拆弹机器人,1,mm,4,±0.5,mm,70,N,字符型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Hyperion机器人,0.6,mm,3,±0.2,mm,60,N,字符型,中国智能制造网,https://www.cim.com.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc LR Mate,0.1,mm,6,±0.05,mm,50,N,字符型,电子与信息技术部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR10e,0.45,mm,6,±0.1,mm,28,N,字符型,全球自动化与机器人展,https://www.interpack.com,2024-09-24,,,,,,,,,,
服务机器人,餐饮配送机器人,1.2,mm,4,±0.3,mm,18,N,字符型,中国餐饮行业协会,https://www.culinaryassociate.cn,2024-09-24,,,,,,,,,,
协作机器人,Frankie,0.3,mm,6,±0.15 mm,mm,25,N,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
并联机械手,FlexPicker,0.4,mm,3,±0.13 mm,mm,45,N,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,7,±0.05 mm,mm,35,N,字符型,中国自动化研究院,http://www.cai.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁机器人,1.5,mm,4,±0.4 mm,mm,10,N,字符型,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,2.5,mm,3,±1.5 mm,mm,80,N,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,MOTOMAN SCARA,0.2,mm,4,±0.1 mm,mm,50,N,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot PR2,0.3,mm,3,±0.2 mm,mm,55,N,字符型,科技部,http://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.05 mm,mm,60,N,字符型,中国机械工业联合会,http://www.cme.org.cn,2024-09-24,,,,,,,,,,
服务机器人,智能陪伴机器人,1,mm,5,±0.6 mm,mm,20,N,字符型,中国老龄协会,https://www.coa.org.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗服务机器人,1.8,mm,6,±1.0 mm,mm,70,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Triangular机器人,0.4,mm,3,±0.08 mm,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA系列,0.05,mm,6,±0.02 mm,mm,45,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,GoFa,0.35,mm,7,±0.12 mm,mm,25,N,字符型,国家工商行政管理局,https://www.saic.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Siemens SCARA,0.15,mm,4,±0.05 mm,mm,38,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
服务机器人,家庭助理机器人,0.8,mm,5,±0.4 mm,mm,20,N,字符型,中国科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,军事侦察机器人,1.5,mm,6,±0.6 mm,mm,80,N,字符型,中国国防科技局,https://www.mod.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Penta机器人,0.3,mm,3,±0.07 mm,mm,50,N,字符型,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC系列,0.1,mm,6,±0.03 mm,mm,60,N,字符型,全球机械铸造协会,https://www.gmf.org,2024-09-24,,,,,,,,,,
协作机器人,Baxter,0.6,mm,7,±0.15 mm,mm,30,N,字符型,美国国家科学基金会,https://www.nsf.gov,2024-09-24,,,,,,,,,,
服务机器人,清洁机器人,1.2,mm,5,±0.55 mm,mm,18,N,字符型,中国环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.4,mm,3,±0.08,mm,55,N,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.03,mm,25,N,字符型,中国人工智能学会,https://www.caas.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Epson SCARA,0.15,mm,4,±0.05,mm,45,N,字符型,IEEE Robotics & Automation Society,https://www.ieee-ras.org,2024-09-24,,,,,,,,,,
协作机器人,Frankie,0.6,mm,7,±0.25,mm,38,N,字符型,国家制造业转型升级推动网,https://www.cmet.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,0.8,mm,5,±0.4,mm,20,N,字符型,中国家电协会,https://www.cheaa.com,2024-09-24,,,,,,,,,,
特种机器人,侦查机器人,1.5,mm,3,±0.7,mm,65,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,JAKA Zu,0.3,mm,3,±0.07,mm,52,N,字符型,中国电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.1,mm,6,±0.04,mm,35,N,字符型,中国工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR3e,0.4,mm,6,±0.2,mm,30,N,字符型,全球智能制造论坛,https://www.gims.org,2024-09-24,,,,,,,,,,
服务机器人,智能送餐机器人,1.2,mm,5,±0.6,mm,18,N,字符型,中国人工智能产业发展促进会,https://www.caai.cn,2024-09-24,,,,,,,,,,
并联机械手,FlexiDelta 2.0,0.4,mm,3,±0.08,mm,55,N,字符型,江苏省机器人技术研究所,https://www.jskb.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR 6,0.15,mm,6,±0.03,mm,45,N,字符型,北京工业大学,https://www.bjut.edu.cn,2024-09-24,,,,,,,,,,
SCARA机器人,新型SCARA机器人,0.25,mm,4,±0.09,mm,35,N,字符型,中国科学院自动化研究所,https://www.ia.ac.cn,2024-09-24,,,,,,,,,,
协作机器人,Baxter,0.6,mm,7,±0.2,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,智能养老机器人,1.2,mm,5,±0.6,mm,18,N,字符型,中国老龄化科学研究中心,https://www.cra.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,防疫机器人,1.5,mm,3,±0.9,mm,50,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
工业机器人,Fanuc M-20iA,0.2,mm,6,±0.04,mm,70,N,字符型,国家机器人技术研发中心,https://www.nrdc.org.cn,2024-09-24,,,,,,,,,,
平面机器人,二次元激光切割机器人,0.3,mm,2,±0.07,mm,20,N,字符型,中国激光协会,https://www.cla.org.cn,2024-09-24,,,,,,,,,,
移动机器人,自主导航机器人,0.35,mm,3,±0.10,mm,40,N,字符型,国家智能制造系统解决方案专家咨询委员会,https://www.cmsc.org.cn,2024-09-24,,,,,,,,,,
调度机器人,AGV自动搬运机器人,0.2,mm,4,±0.05,mm,55,N,字符型,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Syncro机器人,0.4,mm,3,±0.08 mm,mm,55,N,字符型,中国电子技术标准化研究院,https://www.cesi.com.cn,2024-09-24,,,,,,,,,,
六轴机械手,Yaskawa Motoman,0.05,mm,6,±0.02 mm,mm,35,N,字符型,中国机器人科技网,https://www.robotics.com.cn,2024-09-24,,,,,,,,,,
SCARA机器人,RoboSCARA系列,0.3,mm,4,±0.15 mm,mm,42,N,字符型,国家机械工业局,http://www.mii.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,KUKA LBR iiwa,0.6,mm,7,±0.25 mm,mm,25,N,字符型,中国人工智能产业发展联盟,https://www.aia.org.cn,2024-09-24,,,,,,,,,,
服务机器人,智能清扫机器人,1.2,mm,5,±0.6 mm,mm,18,N,字符型,国家智能制造标准化技术委员会,http://www.sac.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,水下作业机器人,3,mm,4,±1.5 mm,mm,70,N,字符型,海洋与渔业部,http://www.moa.gov.cn/zhongjiang,2024-09-24,,,,,,,,,,
并联机械手,Hexapod系统,0.3,mm,6,±0.1 mm,mm,65,N,字符型,全国科学技术协会,http://www.cast.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M-20iA,0.07,mm,6,±0.04 mm,mm,40,N,字符型,中国机器人产业发展报告,http://www.robotics-report.cn,2024-09-24,,,,,,,,,,
协作机器人,SoftBank Robotics NAO,0.5,mm,5,±0.2 mm,mm,22,N,字符型,中国国际机器人展览会,http://www.ichina.org.cn,2024-09-24,,,,,,,,,,
服务机器人,老年人陪伴机器人,1.5,mm,4,±0.8 mm,mm,20,N,字符型,国家老龄事业发展中心,http://www.cnlss.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Hexapod机器人,0.3,mm,6,±0.05,mm,45,N,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.15,mm,6,±0.03,mm,70,N,字符型,上海工程技术大学,https://www.sust.edu.cn,2024-09-24,,,,,,,,,,
协作机器人,MOTOMAN-HP,0.4,mm,6,±0.1,mm,35,N,字符型,深圳市机器人产业协会,https://www.szrobot.org,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha Robotics,0.25,mm,4,±0.08,mm,50,N,字符型,中国机械工程学会,https://www.cmes.org.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗救援机器人,1.5,mm,3,±0.5,mm,80,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,智能清洁机器人,0.8,mm,5,±0.3,mm,18,N,字符型,广东省机器人技术研究中心,https://www.gdrobotics.org,2024-09-24,,,,,,,,,,
工业机器人,ABB IRB系列,0.1,mm,6,±0.02,mm,100,N,字符型,中国工业机器人网,https://www.crobot.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Panda机器人,0.4,mm,7,±0.1,mm,20,N,字符型,清华大学机械工程系,https://www.meche.tsinghua.edu.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.2,mm,6,±0.05,mm,65,N,字符型,国家发展改革委员会,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,商用送餐机器人,1.2,mm,4,±0.6,mm,12,N,字符型,北京机器人产业联合会,https://www.bjrobotics.org,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot X,0.3,mm,3,±0.05,mm,70,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.03,mm,35,N,字符型,中国工业自动化协会,https://www.ciaa.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Z-Y系列SCARA,0.1,mm,4,±0.05,mm,45,N,字符型,中国电子科技集团公司,https://www.cetc.com.cn,2024-09-24,,,,,,,,,,
协作机器人,Dobot Magician,0.4,mm,5,±0.1,mm,25,N,字符型,中国人工智能产业发展联盟,https://www.ai.org.cn,2024-09-24,,,,,,,,,,
服务机器人,老人陪伴机器人,1.2,mm,6,±0.7,mm,20,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗救助机器人,1.5,mm,3,±0.8,mm,55,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Delta PRO机器人,0.4,mm,3,±0.1,mm,60,N,字符型,国际标准化组织,https://www.iso.org,2024-09-24,,,,,,,,,,
六轴机械手,ABB FlexPicker,0.08,mm,6,±0.03,mm,50,N,字符型,中国自动化学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
服务机器人,送餐无人机,1,mm,4,±0.6,mm,18,N,字符型,国家无人机管理局,https://www.caac.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,放射性废物处理机器人,2.5,mm,3,±1.5,mm,85,N,字符型,环境保护部,https://www.epa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,FlexPicker,0.3,mm,3,±0.15,mm,55,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA系列,0.05,mm,6,±0.02,mm,45,N,字符型,中国制造业协会,https://www.cmiia.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Mitsubishi SCARA,0.15,mm,4,±0.1,mm,35,N,字符型,中国机器人产业发展论坛,https://www.robotforum.com,2024-09-24,,,,,,,,,,
协作机器人,Cobot Pro,0.4,mm,7,±0.3,mm,25,N,字符型,中国电气设备工业协会,https://www.cseeia.org.cn,2024-09-24,,,,,,,,,,
服务机器人,智能清扫机器人,1.2,mm,5,±0.6,mm,12,N,字符型,全国智能机器人标准化技术委员会,http://www.sac.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗巡检机器人,2,mm,3,±1.2,mm,70,N,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Speedy Delta,0.4,mm,3,±0.2,mm,65,N,字符型,中国工程院,http://www.cae.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB系列,0.1,mm,6,±0.05,mm,50,N,字符型,中国科学院自动化研究所,http://www.ia.cas.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Omron SCARA,0.2,mm,4,±0.1,mm,30,N,字符型,中国智能制造产业技术创新战略联盟,http://www.imitia.cn,2024-09-24,,,,,,,,,,
协作机器人,RoboMate,0.5,mm,7,±0.25,mm,20,N,字符型,新兴产业发展趋势观察局,http://www.trendsfornew.com,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot X,0.4,mm,3,±0.1,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA 900,0.12,mm,6,±0.04,mm,65,N,字符型,中国机械工业联合会,http://www.cmif.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,SCARA M3,0.15,mm,4,±0.08,mm,50,N,字符型,现代制造工程,http://www.mfgnews.net,2024-09-24,,,,,,,,,,
协作机器人,Alphabot,0.4,mm,7,±0.15,mm,25,N,字符型,福州大学机器人研究所,http://www.fzu.edu.cn,2024-09-24,,,,,,,,,,
服务机器人,智能护理机器人,0.8,mm,5,±0.5,mm,10,N,字符型,中国科学院,http://www.cas.cn,2024-09-24,,,,,,,,,,
特种机器人,消防救援机器人,1.5,mm,2,±0.9,mm,70,N,字符型,国家消防救援局,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboArm B,0.3,mm,3,±0.1,mm,55,N,字符型,广州智能制造研究院,http://www.gzjrzl.com,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M-20iA,0.09,mm,6,±0.03,mm,80,N,字符型,上海机器人士协会,http://www.srobotics.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Smart SCARA 2023,0.25,mm,4,±0.1,mm,30,N,字符型,电子科技大学,http://www.east.edu.cn,2024-09-24,,,,,,,,,,
