可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
高,1.2 Gbps,17 ms,5 ms,1,80 ms,1.5%,TechCrunch,https://www.techcrunch.com,,
中,800 Mbps,35 ms,10 ms,2,150 ms,3.5%,Frontiers in Communications,https://www.frontiersin.org/journals/communications,,
高,200 Mbps,40 ms,12 ms,1,180 ms,3%,IEEE Xplore,https://ieeexplore.ieee.org/,,
低,300 Kbps,150 ms,30 ms,5,300 ms,10%,网络通信学报,http://www.journalofnetworkcommunications.com/,,
中,50 Mbps,70 ms,20 ms,3,220 ms,4%,CCS研究报告,https://www.ccs-research.org/,,
高,10 Gbps,10 ms,2 ms,0,50 ms,1%,阿里云,https://www.aliyun.com/,,
中,1.5 Gbps,15 ms,6 ms,2,100 ms,3%,华为技术有限公司,https://www.huawei.com/,,
中,200 Mbps,25 ms,5 ms,3,120 ms,5%,Cisco技术支持,https://www.cisco.com/,,
低,20 Kbps,250 ms,40 ms,10,500 ms,15%,Telecom行业报告,https://www.telecom-report.com/,,
高,800 Mbps,12 ms,4 ms,1,80 ms,2%,科技前沿杂志,https://www.frontiersintechnology.com/,,
高,5 Gbps,5 ms,1 ms,0,20 ms,1%,Next Generation Networks,https://www.ngn.com/,,
中,250 Mbps,35 ms,8 ms,2,130 ms,4%,ZTE通讯研究,https://www.zte.com.cn/,,
高,250 Mbps,15 ms,4 ms,0,180 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org,,
中,200 Mbps,30 ms,12 ms,3,150 ms,6%,通信学报,http://www.comsoc.org.cn,,
低,100 Kbps,100 ms,30 ms,5,300 ms,10%,网络技术论坛,https://www.networkforum.org,,
高,5 Gbps,8 ms,2 ms,0,90 ms,1%,互联网实验室,https://www.internetsociety.org,,
中,750 Mbps,22 ms,6 ms,1,110 ms,5%,China Communications,http://www.cjc.ustb.edu.cn,,
高,1.5 Gbps,12 ms,3 ms,1,130 ms,2%,TechCrunch,https://techcrunch.com,,
低,60 Mbps,85 ms,25 ms,4,250 ms,15%,网络安全杂志,https://www.securitymagazine.com,,
中,400 Mbps,35 ms,10 ms,2,160 ms,4%,CIO杂志,https://www.cio.com,,
高,3 Gbps,18 ms,5 ms,0,145 ms,2%,ZDNet,https://www.zdnet.com,,
中,150 Mbps,40 ms,9 ms,2,170 ms,3%,华为技术网,https://support.huawei.com,,
高,2 Gbps,15 ms,4 ms,0,80 ms,1%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,300 Mbps,35 ms,7 ms,5,150 ms,6%,华为白皮书,https://www.huawei.com/cn/whitepaper,,
低,50 Mbps,100 ms,20 ms,15,300 ms,10%,国际电信联盟,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
高,1.5 Gbps,10 ms,3 ms,0,90 ms,4%,TechCrunch,https://techcrunch.com/,,
中,800 Mbps,28 ms,6 ms,3,110 ms,3%,CNET,https://www.cnet.com/,,
高,650 Mbps,18 ms,5 ms,1,120 ms,2%,网络世界,https://www.networkworld.com/,,
中,400 Mbps,40 ms,12 ms,4,130 ms,5%,Computing Tech,https://www.computing.co.uk/,,
低,100 Mbps,60 ms,15 ms,10,200 ms,8%,ZDNet,https://www.zdnet.com/,,
高,1 Gbps,22 ms,9 ms,1,100 ms,3%,Medium,https://medium.com/,,
中,550 Mbps,26 ms,8 ms,2,115 ms,4%,Tsinghua University Journal,https://www.tsinghua.edu.cn/en/index.htm,,
