基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
5G无线接入网,200 Mbps,1.5 Gbps,中,中国移动,https://www.chinamobileltd.com,,
光纤到户（FTTH）,500 Mbps,10 Gbps,高,美国有线电视协会,https://www.ncta.com,,
DOCSIS 3.1,1 Gbps,1 Gbps,中,Cisco,https://www.cisco.com,,
微波无线接入,20 Mbps,200 Mbps,低,华为,https://www.huawei.com,,
卫星互联网,10 Mbps,100 Mbps,中,SpaceX Starlink,https://www.starlink.com,,
VDSL技术,5 Mbps,35 Mbps,中,联通,https://www.china-unicom.com,,
LPWAN技术,10 kbps,100 kbps,高,物联网协会,https://www.iotevolutionworld.com,,
数字多媒体广播（DMB）,1 Mbps,20 Mbps,中,国际电信联盟,https://www.itu.int,,
双向卫星宽带,25 Mbps,150 Mbps,低,EchoStar,https://www.echostar.com,,
光纤接入,2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
卫星互联网,1 Mbps,25 Mbps,低,北美卫星,https://www.northamericasat.com/,,
固定无线接入,10 Mbps,100 Mbps,中,光明网,https://www.gmw.cn/,,
5G网络,150 Mbps,1 Gbps,高,华为技术,https://www.huawei.com/cn/,,
数字用户线（VDSL）,30 Mbps,100 Mbps,中,搜狐网络,https://www.sohu.com/,,
光纤-到-家（FTTH）,5 Gbps,50 Gbps,高,国际电信联盟,https://www.itu.int/en/ITU-T/focusgroups/ftth/Pages/default.aspx,,
乙太网接入,100 Mbps,1 Gbps,高,IT168,https://www.it168.com/,,
宽带无线接入（WIMAX）,20 Mbps,100 Mbps,中,腾迅科技,https://tech.qq.com/,,
光纤-到-基站（FTTB）,200 Mbps,2 Gbps,高,业界观察,https://www.industryobservatory.com/,,
城市区域网络（MAN）,1 Gbps,10 Gbps,中,网信中国,https://www.wangxin.gov.cn/,,
