细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光精密制造,北京光电科技发展有限公司,600,10-4000 kHz,15-450 ns,5,≤1.6,北京市科学技术委员会,http://www.bj.gov.cn,,
激光打孔,成都锐光智能科技有限公司,350,1-6000 kHz,7-250 ns,5,≤1.5,成都市工业和信息化局,http://www.chengdu.gov.cn,,
激光清洗,上海赛尔激光工程有限公司,250,1-7000 kHz,6-350 ns,14,≤1.8,上海市科技委员会,https://www.shanghai.gov.cn,,
激光点焊,沈阳精密激光技术有限公司,400,1-3000 kHz,10-400 ns,8,<1.4,沈阳市经济和信息化局,http://www.shenyang.gov.cn,,
激光清洗,南昌未来激光有限公司,150,1-4500 kHz,12-300 ns,10,≤1.9,江西省科学技术发展战略研究院,http://www.jiangxi.gov.cn,,
激光打标,哈尔滨激光科技股份有限公司,500,1-5500 kHz,20-400 ns,7,≤1.5,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光焊接,郑州信仁激光设备有限公司,675,1-4800 kHz,9-350 ns,11,<1.3,河南省科技厅,http://www.henan.gov.cn,,
激光切割,福州华兴激光科技有限公司,700,1-5200 kHz,5-300 ns,6,≤1.2,福建省科学技术厅,http://www.fujian.gov.cn,,
激光标记,广州科光激光有限公司,400,1-8000 kHz,7-350 ns,4,≤1.7,广州市科学技术协会,https://www.gz.gov.cn,,
激光打孔,青岛激光技术研发中心,375,1-5400 kHz,10-275 ns,6,<1.6,青岛市科技局,http://www.qd.gov.cn,,
激光熔覆,西安三元激光科技有限公司,650,1-4500 kHz,15-360 ns,7,≤1.5,陕西省科技厅,http://www.shaanxi.gov.cn,,
激光精加工,南京激光工艺有限公司,500,1-6200 kHz,20-400 ns,8,≤1.2,江苏省科学技术发展战略研究院,http://www.nanjing.gov.cn,,
激光热处理,合肥科技激光有限公司,480,1-3500 kHz,18-310 ns,6,≤1.8,安徽省科技局,http://www.anhui.gov.cn,,
激光清洗,重庆激光公司,220,1-5000 kHz,12-280 ns,11,≤1.6,重庆市科技委员会,http://www.cq.gov.cn,,
激光打标,武汉激光装备有限公司,550,1-5000 kHz,12-300 ns,10,<1.4,湖北省科技厅,http://www.hubei.gov.cn,,
激光切割,唐山易激光科技有限公司,580,1-6600 kHz,6-290 ns,5,≤1.5,河北省科学技术厅,http://www.hebei.gov.cn,,
激光铣削,深圳光速激光科技有限公司,750,1-5000 kHz,8-250 ns,6,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光雕刻,北京超视激光技术有限公司,300,1-6000,6-200,4,<1.6,北京市科委,https://www.bj.gov.cn,,
激光焊接,天津瑞达激光科技有限公司,500,1-4000 kHz,10-200 ns,5,≤1.5,天津市科学技术局,https://www.tianjin.gov.cn,,
激光切割,长春华夏激光科技股份有限公司,700,1-6500,5-400,8,<1.3,吉林省科学技术厅,https://www.jl.gov.cn,,
激光打孔,厦门蓝韵激光设备有限公司,250,1-5500,7-350,5,≤1.6,厦门市科技局,https://www.xm.gov.cn,,
激光清洗,南京智造激光技术有限公司,180,1-5800,10-330,9,≤1.5,江苏省科技厅,https://www.nanjing.gov.cn,,
激光增材制造,上海梦想激光技术有限公司,900,1-7500,5-600,10,<1.2,上海市科学技术委员会,https://www.sh.gov.cn,,
激光脱脂,苏州先锋激光科技有限公司,220,1-4900,12-380,2,≤1.8,江苏省经济和信息化委员会,https://www.suzhou.gov.cn,,
激光聚焦,重庆光迅激光设备有限公司,550,1-5200,10-280,7,≤1.4,重庆市科技委员会,https://www.cq.gov.cn,,
激光整形,沈阳雷霆激光科技有限公司,400,1-4500,15-300,11,<1.6,辽宁省科学技术厅,https://www.shenyang.gov.cn,,
激光检测,青岛顺通激光有限公司,320,1-5600,8-250,4,≤1.5,山东省科技厅,https://www.qd.gov.cn,,
激光共振,义乌华光激光器有限公司,700,1-8000,5-600,15,<1.3,浙江省科技厅,https://www.yiwu.gov.cn,,
激光喷涂,温州西部激光技术有限公司,350,1-7100,10-320,3,≤1.8,浙江省经济和信息化局,https://www.wenzhou.gov.cn,,
激光转印,黄山瑞信激光科技有限公司,290,1-4400,10-240,8,<1.7,安徽省科技厅,https://www.huanshan.gov.cn,,
激光剥离,南昌豪杰激光工程有限公司,410,1-5800,9-300,5,≤1.5,江西省科技厅,https://www.nc.gov.cn,,
激光透镜,仪征光源激光器有限公司,600,1-5600,14-220,9,<1.4,江苏省科学技术厅,https://www.yz.gov.cn,,
激光焊接,深圳华焱激光科技有限公司,580,1-5000,10-400,8,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,南京蓝光激光科技有限公司,700,1-8000,8-250,5,<1.3,南京市经济和信息化局,https://www.nanjing.gov.cn,,
激光精密制造,北京豪杰激光设备有限公司,500,1-3500,15-450,6,<1.5,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光打孔,重庆中科激光科技有限公司,350,1-6000,6-280,4.5,≤1.6,重庆市科技委员会,https://www.cq.gov.cn,,
激光清洗,天津光速激光有限公司,250,1-6400,12-300,10,≤1.5,天津市经济和信息化委员会,https://www.tianjin.gov.cn,,
激光网络安全,上海光纤激光应用科技有限公司,700,1-4200,5-350,9,≤1.2,上海市科学技术委员会,https://www.shanghai.gov.cn,,
激光打标,郑州锐步激光科技有限公司,150,1-7000,10-400,3,≤1.8,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光微细加工,西安镜辉激光科技有限公司,450,1-5000,8-500,7,<1.4,西安市经济和信息化局,https://www.xianc.gov.cn,,
激光合成,苏州新元素激光有限公司,800,1-6000,16-300,11,<1.3,苏州市科技局,https://www.suzhou.gov.cn,,
激光成型,福州光影激光科技有限公司,420,1-4000,12-320,5,≤1.5,福州市科学技术局,https://www.fuzhou.gov.cn,,
激光声纳,武汉激光科技研究院,600,1-7500,10-450,6,<1.6,武汉市科技局,https://www.wuhan.gov.cn,,
激光光谱分析,长沙卓越激光仪器有限公司,300,1-5600,7-340,4,≤1.4,长沙市科技局,https://www.changsha.gov.cn,,
激光测距,宁波航标激光科技有限公司,350,1-6300,9-310,5,<1.5,宁波市科学技术委员会,https://www.ningbo.gov.cn,,
激光医疗设备,青岛安琪激光科技有限公司,220,1-4900,12-300,8,≤1.6,青岛市经济和信息化局,https://www.qd.gov.cn,,
激光照明,哈尔滨激光光电科技有限公司,500,1-7000,5-300,4,<1.7,哈尔滨市科技局,https://www.hrb.gov.cn,,
激光航天应用,南宁激光航天科技有限公司,750,1-5500,8-400,10,≤1.4,南宁市科学技术局,https://www.nanning.gov.cn,,
激光制造,台州创想激光科技有限公司,320,1-4900,10-250,7,≤1.5,台州市科技局,https://www.taizhou.gov.cn,,
激光清洗,深圳新维激光技术有限公司,280,1-4000 kHz,5-250 ns,7,≤1.5,深圳科技创新委员会,https://www.sz.gov.cn,,
激光材料加工,北京天行健科技有限公司,500,1-6000 kHz,10-400 ns,9,<1.4,中国光电技术协会,https://www.copta.org.cn,,
激光焊接,天津华龙激光科技有限公司,750,1-5000 kHz,8-300 ns,10,≤1.2,天津市科技局,https://www.tianjin.gov.cn,,
激光打孔,长沙光华激光设备有限公司,380,1-6500 kHz,6-200 ns,5,<1.6,湖南省经信委,https://www.hunan.gov.cn,,
激光切割,上海晨星激光科技有限公司,620,1-8000 kHz,4-350 ns,6,≤1.5,上海经济和信息化委员会,https://www.sh.gov.cn,,
激光精密制造,成都智造激光有限公司,450,1-3000 kHz,12-500 ns,8,<1.3,成都市科技局,https://www.chengdu.gov.cn,,
激光清洗,佛山创新激光有限公司,150,1-5800 kHz,10-280 ns,11,≤1.8,佛山市科技局,https://www.foshan.gov.cn,,
激光打孔,南京晨曦激光科技有限公司,420,1-7000 kHz,7-300 ns,4,<1.5,江苏省科学技术厅,https://www.jiangsu.gov.cn,,
激光切割,辽宁新兴激光设备有限公司,520,1-9000 kHz,6-350 ns,3,≤1.4,辽宁省科技厅,https://www.liaoning.gov.cn,,
激光焊接,烟台太极激光科技有限公司,800,1-5500 kHz,9-400 ns,10,<1.2,山东省科学技术厅,https://www.shandong.gov.cn,,
激光材料加工,郑州动力激光设备有限公司,640,1-8000 kHz,5-350 ns,6,≤1.6,河南省经济和信息化厅,https://www.henan.gov.cn,,
激光打孔,南昌安恒激光有限公司,390,1-4000 kHz,12-220 ns,5,<1.4,江西省科技厅,https://www.jiangxi.gov.cn,,
激光打标,西安聚光激光科技有限公司,300,1-7500 kHz,3-350 ns,4,≤1.5,陕西省科学技术厅,https://www.shaanxi.gov.cn,,
激光切割,哈尔滨宇航激光有限公司,720,1-10000 kHz,7-400 ns,6,≤1.3,黑龙江省科学技术厅,https://www.heilongjiang.gov.cn,,
激光焊接,大连中科激光科技有限公司,500,1-4500 kHz,8-300 ns,9,<1.5,大连市科技局,https://www.dalian.gov.cn,,
激光清洗,桂林云顶激光技术有限公司,160,1-5000 kHz,9-320 ns,12,≤1.9,广西壮族自治区科技厅,https://www.guangxi.gov.cn,,
激光精密制造,合肥华创激光设备有限公司,400,1-6000 kHz,12-450 ns,5,<1.7,安徽省经济和信息化厅,https://www.anhui.gov.cn,,
激光清洗,银川光明激光科技有限公司,210,1-6500 kHz,10-310 ns,8,≤1.8,宁夏回族自治区科技厅,https://www.nx.gov.cn,,
激光焊接,深圳华显激光科技有限公司,800,1-4500 kHz,10-400 ns,9,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京紫光激光设备公司,700,1-10000 kHz,5-250 ns,6,<1.4,北京市经信委,https://www.bjxb.gov.cn,,
激光增材制造,上海励志激光技术有限公司,900,1-5000 kHz,15-350 ns,10,≤1.5,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光打孔,南京创智激光有限公司,400,1-6000 kHz,8-300 ns,5,≤1.6,南京市科技局,https://www.nanjing.gov.cn,,
激光清洗,成都蓝灯激光科技有限公司,250,1-5800 kHz,10-200 ns,7,≤1.5,成都市科学技术局,https://www.chengdu.gov.cn,,
激光雕刻,青岛迅达激光有限公司,350,1-4000 kHz,5-350 ns,4,≤1.4,青岛市科技局,https://www.qd.gov.cn,,
激光表面处理,郑州奇点激光设备有限公司,500,1-4500 kHz,20-400 ns,8,≤1.3,郑州市经济和信息化局,https://www.zhengzhou.gov.cn,,
激光焊接,武汉华创激光科技有限公司,750,1-3000 kHz,12-450 ns,11,≤1.2,武汉市科技局,https://www.wuhan.gov.cn,,
激光切割,厦门卓越激光设备有限公司,600,1-7500 kHz,15-350 ns,7,≤1.4,厦门市市场监督管理局,https://www.xiamen.gov.cn,,
激光打孔,广州铭雕激光科技股份有限公司,480,1-5000 kHz,5-600 ns,4,≤1.6,广东省科技厅,https://www.gdstc.gov.cn,,
激光清洗,天津阳光激光设备有限公司,300,1-5500 kHz,8-300 ns,10,≤1.8,天津市科学技术委员会,https://www.tianjin.gov.cn,,
激光增材制造,哈尔滨激光工程研究中心,850,1-6000 kHz,18-400 ns,12,≤1.3,黑龙江省科技厅,https://www.hlj.gov.cn,,
激光精密制造,沈阳铭创激光科技有限公司,720,1-5000 kHz,10-420 ns,8,≤1.5,辽宁省科技厅,https://www.ln.gov.cn,,
激光激活,重庆锋锐激光有限公司,600,1-7000 kHz,5-250 ns,9,≤1.4,重庆市经济与信息化委员会,https://www.cq.gov.cn,,
激光成形,西安精鹰激光技术公司,400,1-8000 kHz,12-350 ns,6,≤1.7,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光标刻,佛山智造激光设备有限公司,300,1-4500 kHz,10-300 ns,5,≤1.8,佛山市科学技术局,https://www.foshan.gov.cn,,
激光检测,南昌飞扬激光技术有限公司,350,1-5000 kHz,15-400 ns,4,≤1.4,江西省科技厅,https://www.jx.gov.cn,,
激光标记,深圳市光辉激光设备有限公司,350,1-6000 kHz,8-200 ns,5.5,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,南京宏远激光科技股份有限公司,700,1-3000 kHz,10-450 ns,10,≤1.2,江苏省科学技术厅,https://www.jiangsu.gov.cn,,
激光切割,上海伟业激光有限公司,800,1-10000 kHz,6-400 ns,6,<1.5,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光检测,成都激光光电科技有限公司,250,1-5000 kHz,15-250 ns,4.5,<1.6,成都市市场监督管理局,https://www.chengdu.gov.cn,,
激光清洗,武汉新锐激光技术有限公司,450,1-6500 kHz,12-350 ns,8,≤1.3,武汉市科技局,https://www.wuhan.gov.cn,,
激光打孔,沈阳光控激光科技股份有限公司,300,1-7000 kHz,4-280 ns,7,≤1.5,辽宁省科学技术厅,https://www.liaoning.gov.cn,,
激光喷涂,青岛蓝海激光技术有限公司,500,1-8000 kHz,6-320 ns,9,≤1.6,青岛市科学技术局,https://www.qd.gov.cn,,
激光医疗,北京华夏激光科技有限公司,100,1-2000 kHz,20-500 ns,3.5,<1.8,北京市卫生健康委员会,https://www.beijing.gov.cn,,
激光照明,松原市激光光电研究所,400,1-4500 kHz,10-350 ns,4,≤1.4,吉林省科技厅,https://www.jilin.gov.cn,,
激光家具制造,佛山普利激光科技有限公司,250,1-6000 kHz,8-300 ns,5,<1.5,广东省家具协会,https://www.gd.gov.cn,,
激光喷墨打印,天津精诚激光科技有限公司,550,1-7200 kHz,7-310 ns,12,≤1.3,天津市科学技术局,https://www.tianjin.gov.cn,,
激光汽车制造,重庆嘉华激光有限公司,600,1-8000 kHz,9-290 ns,6.5,≤1.2,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光智能制造,郑州大地激光科技有限公司,200,1-4000 kHz,5-220 ns,4,≤1.7,河南省工信厅,https://www.henan.gov.cn,,
激光食品包装,昆明激光包装科技有限公司,350,1-3000 kHz,8-280 ns,7.5,≤1.4,昆明市市场监督管理局,https://www.kunming.gov.cn,,
激光载体制造,宁波精密激光技术有限公司,150,1-3500 kHz,10-240 ns,3.8,<1.7,浙江省经济和信息化厅,https://www.zhejiang.gov.cn,,
激光陶瓷加工,泉州激光科技有限公司,250,1-5000 kHz,9-320 ns,5,≤1.6,福建省科技厅,https://www.fujian.gov.cn,,
激光清洗,深圳博创激光科技有限公司,250,1-6500 kHz,8-280 ns,10,≤1.6,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,北京深科激光设备有限公司,550,1-3500 kHz,10-400 ns,6,≤1.2,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光切割,西安创佳激光科技有限公司,650,5-8000 kHz,5-200 ns,4.5,<1.4,西安市科学技术协会,https://www.xa.gov.cn,,
激光打孔,南京华光科技有限公司,400,1-6000 kHz,6-250 ns,5,≤1.5,南京市科技局,https://www.nanjing.gov.cn,,
激光精密制造,天津时代激光有限公司,700,1-3000 kHz,10-500 ns,9,≤1.3,天津市科技局,https://www.tianjin.gov.cn,,
激光清洗,长沙光华激光设备有限公司,220,1-5800 kHz,15-350 ns,11,≤1.5,长沙市科技厅,https://www.changsha.gov.cn,,
激光焊接,上海乐乐激光技术有限公司,600,1-4200 kHz,12-450 ns,8,<1.4,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光切割,成都锐意激光科技有限公司,500,1-7800 kHz,7-350 ns,4.2,≤1.6,成都市科技局,https://www.chengdu.gov.cn,,
激光打孔,福州易成激光设备有限公司,350,1-5500 kHz,8-280 ns,5.5,<1.8,福州市经济和信息化局,https://www.fuzhou.gov.cn,,
激光精密制造,青岛力扬科技有限公司,480,1-4300 kHz,10-400 ns,7,≤1.4,青岛市科技局,https://www.qd.gov.cn,,
激光清洗,郑州智联激光有限公司,300,1-6000 kHz,12-320 ns,13,≤1.5,郑州市科学技术局,https://www.zhengzhou.gov.cn,,
激光焊接,苏州杰辉激光公司,700,1-3700 kHz,9-480 ns,14,<1.4,苏州市科技局,https://www.suzhou.gov.cn,,
激光切割,西宁鑫磊激光有限公司,600,1-7200 kHz,5-290 ns,5.6,<1.3,西宁市经济和信息化局,https://www.xining.gov.cn,,
激光打孔,哈尔滨อ光科技有限公司,380,1-5500 kHz,8-460 ns,6.2,≤1.9,哈尔滨市科技局,https://www.harbin.gov.cn,,
激光精密制造,济南金启激光有限公司,520,1-4400 kHz,10-390 ns,15,<1.2,济南市科技局,https://www.jinan.gov.cn,,
激光清洗,合肥安泰激光有限公司,300,1-5700 kHz,10-320 ns,7.5,≤1.6,合肥市科技局,https://www.hefei.gov.cn,,
激光焊接,深圳光电科技有限公司,750,1-5000 kHz,15-450 ns,9,<1.2,深圳市经济特区科技局,https://www.sz.gov.cn,,
激光切割,北京华盾激光器材有限公司,900,1-8000 kHz,10-400 ns,5,≤1.4,中国信息产业部,https://www.miit.gov.cn,,
激光精密制造,天津光辉激光科技有限公司,500,1-3500 kHz,20-600 ns,6,<1.6,天津市科委,https://www.tj.gov.cn,,
激光打孔,南京睿智激光设备有限公司,400,1-4500 kHz,5-250 ns,4.5,≤1.5,江苏省经济和信息化委员会,https://www.jiangsu.gov.cn,,
激光清洗,苏州晨光激光科技有限公司,250,1-6200 kHz,8-280 ns,10,≤1.6,苏州市科技局,https://www.suzhou.gov.cn,,
激光焊接,成都博马光电有限公司,800,1-7000 kHz,12-500 ns,8,<1.3,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光切割,广州优德激光设备有限公司,650,1-7500 kHz,6-300 ns,7,≤1.5,广州知识产权局,https://www.gzip.gov.cn,,
激光精密制造,福建光科激光有限公司,550,1-5000 kHz,25-450 ns,8,<1.4,福建省科学技术厅,https://www.fjkjt.gov.cn,,
激光打孔,西安高科激光有限公司,360,1-5300 kHz,5-290 ns,5.5,≤1.6,西安高新区管理委员会,https://www.xa.gov.cn,,
激光清洗,长沙明光科技有限公司,180,1-6000 kHz,10-400 ns,14,≤1.8,长沙市科技局,https://www.changsha.gov.cn,,
激光焊接,深圳前海激光科技有限公司,850,1-8000 kHz,15-500 ns,11,<1.3,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,辽宁省长春激光科技有限公司,700,1-6500 kHz,5-350 ns,7.5,≤1.5,吉林省科学技术厅,https://www.jl.gov.cn,,
激光精密制造,新疆天山激光制造有限公司,480,1-4000 kHz,22-500 ns,5.5,<1.6,新疆维吾尔自治区科技厅,https://www.xinjiang.gov.cn,,
激光打孔,海南恒星激光科技有限公司,290,1-5100 kHz,6-260 ns,5,≤1.8,海南省科技厅,https://www.hainan.gov.cn,,
激光清洗,河南光明激光有限公司,220,1-6200 kHz,10-350 ns,13,≤1.7,河南省科技厅,https://www.henan.gov.cn,,
激光焊接,青岛蓝海激光设备有限公司,700,1-6000 kHz,10-440 ns,10.5,<1.4,山东省科技厅,https://www.shandong.gov.cn,,
激光切割,云南丽江激光科技有限公司,800,1-7500 kHz,7-300 ns,8.5,<1.5,云南省科技厅,https://www.yunnan.gov.cn,,
激光焊接,深圳永卓激光科技有限公司,800,1-5000 kHz,10-400 ns,9,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京卓越激光科技有限公司,750,1-6000 kHz,5-250 ns,8,<1.3,中关村科技园区管理委员会,http://www.zgdq.gov.cn,,
激光精密制造,厦门华锐光电科技有限公司,500,1-4000 kHz,15-450 ns,6,<1.6,厦门市经济和技术局,https://www.xm.gov.cn,,
激光打孔,南京现代激光设备有限公司,400,1-7000 kHz,5-350 ns,5,≤1.5,南京市科学技术局,https://www.nanjing.gov.cn,,
激光清洗,武汉知音激光科技有限公司,250,1-6400 kHz,10-270 ns,15,≤1.9,武汉市科技局,https://www.wuhan.gov.cn,,
激光焊接,成都瑞丰激光设备有限公司,700,1-4800 kHz,12-320 ns,10,≤1.3,成都市科技局,https://www.chengdu.gov.cn,,
激光切割,沈阳华晨激光技术有限公司,650,1-5500 kHz,8-300 ns,4,<1.4,沈阳市经济和信息化局,http://www.shenyang.gov.cn,,
激光精密制造,长春凌云科技有限公司,600,1-3600 kHz,15-450 ns,7,<1.5,长春市科技局,https://www.changchun.gov.cn,,
激光打孔,广州南方激光科技有限公司,350,1-5800 kHz,20-400 ns,4,≤1.6,广州市经济委员会,https://www.gz.gov.cn,,
激光清洗,福州亦能激光系统有限公司,180,1-5000 kHz,9-300 ns,12,≤1.8,福州市科技局,https://www.fuzhou.gov.cn,,
激光焊接,天津德信激光技术有限公司,720,1-4200 kHz,10-500 ns,11,≤1.2,天津市科学技术局,http://www.tianjin.gov.cn,,
激光切割,西安创新激光设备有限公司,800,1-7200 kHz,5-250 ns,6,<1.5,西安市科技局,https://www.xiancity.gov.cn,,
激光精密制造,昆明锐捷光电科技有限公司,400,1-3000 kHz,18-420 ns,6,<1.6,昆明市科技局,https://www.kunming.gov.cn,,
激光打孔,重庆山水激光有限公司,320,1-4800 kHz,5-330 ns,7,≤1.5,重庆市科技委员会,https://www.cq.gov.cn,,
激光清洗,郑州科创激光有限公司,220,1-5900 kHz,11-260 ns,15,<1.8,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光焊接,哈尔滨光华激光技术有限公司,640,1-6700 kHz,10-400 ns,8,≤1.3,哈尔滨市科技局,http://www.hrb.gov.cn,,
激光切割,舟山今声激光设备有限公司,500,1-4900 kHz,6-350 ns,5,<1.4,舟山市经济和信息化局,https://www.zhouShan.gov.cn,,
激光精密制造,南宁华光激光科技有限公司,450,1-3800 kHz,20-500 ns,7,<1.5,南宁市科技局,https://www.nanning.gov.cn,,
激光焊接,北京中科激光技术有限公司,750,1-5000 kHz,10-400 ns,6,≤1.4,北京科技大学,https://www.bjtu.edu.cn,,
激光切割,深圳众恒激光设备有限公司,500,1-6000 kHz,8-250 ns,5,<1.5,深圳市科学技术协会,https://www.sz.gov.cn,,
激光精密制造,厦门维朋激光科技有限公司,300,1-4000 kHz,15-350 ns,4,<1.6,厦门经济特区发展局,https://www.xm.gov.cn,,
激光打孔,青岛海特激光系统有限公司,350,1-7000 kHz,12-400 ns,3,≤1.8,青岛科技大学,https://www.qd.edu.cn,,
激光清洗,南京博智激光科技有限公司,250,1-5600 kHz,10-200 ns,8,≤1.6,南京市经济和信息化局,https://www.nanjing.gov.cn,,
激光焊接,上海华普激光设备有限公司,800,1-4000 kHz,20-450 ns,7,≤1.5,上海市科学技术委员会,https://www.shanghai.gov.cn,,
激光切割,成都激光科技股份有限公司,650,1-4800 kHz,6-300 ns,4.5,<1.4,成都市高新技术开发区,https://www.chengdu.gov.cn,,
激光精密制造,南昌光电技术设备有限公司,450,1-5000 kHz,18-400 ns,5.5,<1.7,南昌市科学技术局,https://www.nc.gov.cn,,
激光打孔,苏州艾迪激光技术有限公司,400,1-6500 kHz,5-350 ns,6,≤1.6,苏州市经济和信息化委员会,https://www.suzhou.gov.cn,,
激光清洗,西安蓝图激光科技有限公司,180,1-5800 kHz,12-280 ns,10,≤1.8,西安市经济与信息化局,https://www.xa.gov.cn,,
激光焊接,昆明光影激光科技有限公司,700,1-5200 kHz,15-500 ns,8,≤1.5,昆明市科技局,https://www.kunming.gov.cn,,
激光切割,长沙华杰激光机械有限公司,550,1-4200 kHz,9-260 ns,5,<1.7,长沙市科技局,https://www.changsha.gov.cn,,
激光精密制造,大连光电激光设备有限公司,520,1-5900 kHz,11-450 ns,7,<1.6,大连市科学技术局,https://www.dalian.gov.cn,,
激光打孔,温州锐德激光有限公司,370,1-4900 kHz,14-300 ns,4,≤1.7,温州市科学技术局,https://www.wenzhou.gov.cn,,
激光清洗,吉林青云激光科技有限公司,220,1-5700 kHz,8-220 ns,9,≤1.6,吉林省科学技术厅,https://www.jilin.gov.cn,,
激光焊接,郑州锋彩激光设备有限公司,850,1-6500 kHz,16-470 ns,12,≤1.3,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光切割,乌鲁木齐华光激光有限公司,650,1-6000 kHz,5-350 ns,6.5,<1.4,新疆维吾尔自治区科技厅,https://www.xinjiang.gov.cn,,
激光精密制造,哈尔滨信捷激光科技有限公司,500,1-5000 kHz,15-400 ns,6,<1.5,哈尔滨市科学技术局,https://www.harbin.gov.cn,,
激光雕刻,上海德奕激光科技有限公司,500,1-3500 kHz,10-400 ns,6,≤1.4,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光打标,北京天峰激光设备有限公司,480,10-10000 kHz,6-200 ns,9,<1.5,北京市科学技术委员会,https://www.bj.gov.cn,,
激光清洗,深圳星辰激光科技有限公司,220,1-6200 kHz,12-350 ns,15,≤1.6,深圳市市场监督管理局,https://www.sz.gov.cn,,
激光焊接,天津市强光激光设备有限公司,650,1-4500 kHz,8-480 ns,8,<1.2,天津市科技局,https://www.tianjin.gov.cn,,
激光测距,重庆瑞信激光技术有限公司,300,5-3000 kHz,10-250 ns,5,≈1.5,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光切割,南京新时空激光技术有限公司,700,1-8000 kHz,7-280 ns,10,≤1.3,南京市科学技术局,https://www.nanjing.gov.cn,,
激光显示,成都光影激光科技有限公司,400,1-10000 kHz,15-300 ns,12,<1.8,成都市文化和旅游局,https://www.chengdu.gov.cn,,
激光精密制造,苏州旭东激光设备有限公司,350,1-3500 kHz,5-220 ns,4,≤1.5,苏州市经济和信息化局,https://www.suzhou.gov.cn,,
激光打孔,福州维尔激光科技有限公司,260,1-4500 kHz,10-300 ns,2,≦1.6,福州市科技局,https://www.fuzhou.gov.cn,,
激光检测,长沙飞扬激光技术有限公司,320,1-5000 kHz,10-350 ns,6,≤1.9,长沙市科学技术局,https://www.changsha.gov.cn,,
激光美容,广州光亮激光科技有限公司,150,5-1000 kHz,20-200 ns,9,~1.4,广州市卫生健康委员会,https://www.gz.gov.cn/health,,
激光焊接,沈阳星火激光科技有限公司,600,1-6000 kHz,5-400 ns,14,<1.3,沈阳市经济和信息化局,https://www.shenyang.gov.cn,,
激光切割,郑州华威激光设备有限公司,550,1-4000 kHz,10-300 ns,6,≤1.4,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光技术研究,西安光环激光研究院,480,1-8000 kHz,15-200 ns,10,<1.2,西安市科技委员会,https://www.xian.gov.cn,,
激光装配,昆明东辉激光有限公司,370,1-4200 kHz,10-280 ns,7,≈1.6,昆明市经济和信息化委员会,https://www.kunming.gov.cn,,
激光切割,厦门晨星激光科技有限公司,640,1-5000 kHz,12-310 ns,9,<1.3,厦门市科技局,https://www.xm.gov.cn,,
激光打标,哈尔滨飞速激光有限公司,350,1-7000 kHz,8-230 ns,5,≤1.4,哈尔滨市科技局,https://www.harbin.gov.cn,,
激光超精密加工,南昌新纪元激光科技有限公司,420,1-6000 kHz,6-290 ns,11,<1.5,南昌市科学技术局,https://www.nanchang.gov.cn,,
激光焊接,深圳光辉激光科技有限公司,800,1-5000 kHz,8-400 ns,10,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,南京智能激光科技有限公司,650,1-6000 kHz,5-250 ns,5,<1.3,江苏省经济和信息化委员会,https://www.jiangsu.gov.cn,,
激光精密制造,西安航天激光技术有限公司,500,1-4500 kHz,15-400 ns,6,<1.5,陕西省科学技术厅,https://www.shaanxi.gov.cn,,
激光打孔,成都华光激光有限公司,400,1-5000 kHz,10-300 ns,7,≤1.4,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光清洗,广州超洁激光科技有限公司,300,1-5200 kHz,12-350 ns,15,≤1.6,广州市科学技术局,https://www.gz.gov.cn,,
激光中小型制造,佛山新锐激光设备有限公司,550,1-7000 kHz,8-450 ns,8,<1.4,佛山市科技与信息化局,https://www.foshan.gov.cn,,
激光焊接,沈阳智造激光设备有限公司,700,1-8000 kHz,6-350 ns,9,≤1.2,辽宁省科技厅,https://www.liaoning.gov.cn,,
激光检测,南昌激光科技有限公司,450,1-5000 kHz,5-270 ns,4,<1.5,江西省科技厅,https://www.jiangxi.gov.cn,,
