激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
生物激光器,670 nm,18-22%,350,W,1.2,优良,良好,良好,生物材料、可用组织,低,小型,每年,中等,非常便捷,18000,小时,生物技术发展研究所,https://www.biotech.org.cn,,
量子点激光器,1230 nm,30-40%,800,W,1.5,一般,中等,良好,金属、半导体,中,中型,每年,中等,便捷,21000,小时,国家纳米科技中心,https://www.nanotech.cn,,
三维激光打标机,1064 nm,25-32%,600,W,1.3,优良,优良,良好,金属、非金属,高,中型,每年,中等,稍复杂,16000,小时,激光设备技术研究所,https://www.lasertechresearch.cn,,
微波激光器,915 nm,35-45%,950,W,<1.0,优良,优秀,优秀,金属、复合材料,高,大型,每年,高,较便捷,35000,小时,新兴激光科技公司,https://www.novel-laser-tech.com,,
增量式激光器,532 nm,20-30%,300,W,1.6,优良,良好,良好,塑料、金属,中,小型,每半年,中等,便捷,22000,小时,新华社科技创新,https://www.xinhuascience.cn,,
宽谱激光器,450 nm,15-22%,1200,W,1.4,优良,较差,一般,金属、陶瓷,中,大中型,每年,较高,复杂,9000,小时,中国电子材料研究所,https://www.electronicmaterials.cn,,
声光调制激光器,808 nm,30-38%,700,W,>1.5,中等,优良,良好,塑料、金属,中,中型,每半年,中等,简便,25000,小时,声光激光器研究中心,https://www.acousticlaser.cn,,
自适应激光器,520 nm,18-27%,850,W,1.7,优良,优秀,优秀,金属、玻璃,低,小型,每年,中等,便捷,18000,小时,新型激光研究所,https://www.newlaserresearch.cn,,
蓝光激光器,450 nm,22-32%,500,W,1.5,良好,中等,佳,塑料、金属,中,中型,每年,中等,便捷,15000,小时,蓝色科技公司,https://www.blue-tech.com,,
高功率固体激光器,1064 nm,30-40%,5000,W,1.1,优秀,优良,优良,金属,高,大型,每年,较高,简单,20000,小时,国际激光技术协会,https://www.lasertechintl.org,,
光纤激光器,1070 nm,35-45%,1500,W,1.3,优良,优良,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,小时,光纤激光产业协会,https://www.fiberlaser.org,,
超高功率激光器,2000 nm,20-25%,10000,W,>2.0,中等,优良,良好,金属,高,大型,每年,较高,便捷,18000,小时,全球激光研究中心,https://www.glaser.org,,
红外激光器,1550 nm,15-25%,600,W,1.6,优秀,良好,佳,塑料、金属,中,小型,每半年,较低,便捷,12000,小时,国家激光技术研究所,https://www.nltu.edu.cn,,
调制激光器,638 nm,25-35%,400,W,1.4,优良,中等,一般,薄膜、金属,中,小型,每年,中等,便捷,10000,小时,未来激光科技公司,https://www.future-laser.com,,
大功率二氧化碳激光器,10.6 µm,15-20%,6000,W,<1.5,优良,优秀,良好,金属、塑料、木材,高,大型,每年,高,便捷,22000,小时,国家光电技术中心,https://www.optictech.gov.cn,,
可调谐激光器,780 nm,30-38%,300,W,1.1,优秀,优良,优良,金属、复合材料,中,中型,每年,中等,便捷,15000,小时,未来科技发展研究所,https://www.futurereport.org,,
紫外激光器,355 nm,20-30%,200,W,1.3,良好,良好,一般,塑料、金属,低,小型,每半年,中等,便捷,9000,小时,国际激光在线,https://www.internationallaseronline.com,,
长脉冲激光器,1064 nm,25-30%,800,W,1.4,优良,佳,优良,金属、塑料、陶瓷,中,大型,每年,中等,便捷,16000,小时,激光研究院,https://www.laserresearchinstitute.org,,
脉冲激光器,532 nm,30-40%,900,W,1.2,良好,优良,优秀,塑料、木材,低,小型,每半年,中等,便捷,11000,小时,国家材料技术中心,https://www.nmattech.org,,
增材制造激光器,1040 nm,35-45%,3000,W,1.1,优良,优良,优秀,金属、塑料,中,中型,每年,中等,非常便捷,17000,小时,先进制造技术研究院,https://www.amtechinstitute.org,,
氦氖激光器,632.8 nm,8-12%,50,W,2.0,一般,差,一般,金属、非金属,低,微型,每半年,较高,复杂,5000,小时,光学技术中心,https://www.opticaltechnology.org,,
光学频率梳激光器,780 nm,20-25%,100,W,1.5,优良,良好,良好,塑料、金属,中,小型,每年,中等,便捷,8000,小时,国家光子技术研究所,https://www.photonictech.org,,
超短脉冲激光器,780 nm,20%-25%,1000,W,1.1,优良,优秀,优秀,塑料、金属、玻璃,中,中型,每年,中等,较便捷,16000,小时,国际激光与光电子协会,https://www.i-laser.org,,
紫外激光器,355 nm,25%-30%,500,W,1.5,优良,一般,优良,塑料、薄膜、涂层,高,小型,每半年,较高,便捷,20000,小时,光学与材料科学研究院,https://www.omsri.edu.cn,,
全固态激光器,1064 nm,30%-38%,1500,W,1.3,良好,优良,良好,金属、陶瓷,中,中型,每年,中等,便捷,25000,小时,激光技术产业集团,https://www.lasertechgroup.com,,
氦氖激光器,632.8 nm,8%-12%,400,W,2.0,一般,中等,中等,非金属,低,小型,每半年,低,复杂,5000,小时,激光物理研究中心,https://www.laserphysics.org,,
电子束激光器,1 nm,40%-50%,2000,W,1.0,优良,优秀,优秀,金属、复合材料,高,大型,每年,高,较便捷,30000,小时,国家无损检测技术中心,https://www.ndt.gov.cn,,
可调谐激光器,600 nm - 700 nm,15%-25%,800,W,1.6,良好,中等,良好,颜料、染料,低,小型,每年,中等,便捷,15000,小时,中国光子技术研究院,https://www.cphotonics.edu.cn,,
长波红外激光器,10.6 µm,12%-18%,1200,W,1.4,一般,良好,良好,金属、塑料,中,中型,每年,中等,便捷,22000,小时,先进激光技术研究中心,https://www.advancedlasertech.org,,
红外激光器,1050 nm,30%-37%,700,W,1.2,优良,优良,优良,金属、复合材料,高,小型,每半年,中等,非常便捷,16000,小时,激光工程技术应用研究院,https://www.laserengineering.org,,
激光切割机,1.06 µm,25%-35%,3000,W,1.1,良好,优秀,良好,金属、木材,高,大型,每年,高,便捷,20000,小时,工业激光机械展览会,https://www.lasermachineryexpo.com,,
陶瓷激光器,490 nm,20%-30%,600,W,1.4,优良,优良,中等,陶瓷、非金属,低,小型,每半年,较高,便捷,10000,小时,陶瓷材料科学研究所,https://www.ceramicsci.org,,
面阵激光器,980 nm,45%-55%,1500,W,1.2,优良,卓越,优秀,金属、塑料、玻璃,高,大型,每年,中等,便捷,25000,小时,激光器技术信息中心,https://www.lasertechinfo.org,,
高功率激光器,10.2 µm,20%-28%,5000,W,1.3,优良,优秀,优秀,金属、塑料,中,大型,每年,高,较复杂,18000,小时,高功率激光资源中心,https://www.highpowerlaser.org,,
脉冲激光器,532 nm,18%-22%,400,W,1.7,优良,良好,普通,金属、木材、塑料,中,小型,每年,中等,便捷,12000,小时,国际激光应用展览会,https://www.laserapplications.org,,
微波激光器,2700 nm,10%-16%,500,W,1.9,一般,一般,中等,塑料、复合材料,中,中型,每半年,较高,便捷,8000,小时,国家激光行业协会,https://www.nationallaserassn.cn,,
光纤激光器,1064 nm,35-40%,1500,W,<1.1,优良,优秀,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,30000,小时,光纤激光器研究中心,https://www.fiberlaser.com,,
高功率半导体激光器,940 nm,50-60%,2000,W,1.2,良好,良好,优良,塑料、金属,高,中型,每半年,中等,便捷,12000,小时,半导体激光技术协会,https://www.slta.org,,
紫外激光器,355 nm,15-25%,500,W,>2.0,一般,中等,一般,玻璃、陶瓷,高,小型,每年,较低,较复杂,15000,小时,中国光电技术研究所,https://www.opticaltech.org,,
便携式激光器,800 nm,25-30%,200,W,1.5,良好,良好,一般,金属、塑料,中,小型,每半年,中等,便捷,10000,小时,便携式激光器研究所,https://www.portablelaser.org,,
水冷激光器,1064 nm,20-35%,2500,W,1.4,优良,优秀,优良,不锈钢、铝合金,低,大型,每年,中等,较便捷,18000,小时,中国机械工程学会,https://www.cmes.org,,
夜视激光器,850 nm,25-30%,100,W,1.1,优良,一般,一般,金属、非金属,中,小型,每年,中等,便捷,8000,小时,夜视激光技术开发公司,https://www.nightvisionlaser.com,,
医疗激光器,650 nm,10-15%,120,W,1.8,良好,优秀,优秀,皮肤、软组织,低,小型,每年,较高,较复杂,7000,小时,医学激光研究院,https://www.medlaser.org,,
激光雕刻机,1064 nm,20-30%,600,W,1.3,优良,良好,良好,木材、塑料、金属,中,中型,每年,中等,便捷,15000,小时,激光雕刻机技术研究中心,https://www.laserengraver.com,,
多波长激光器,450 nm / 532 nm / 1064 nm,30-40%,800,W,1.3,良好,优良,优良,塑料、玻璃、金属,高,大型,每年,较高,较便捷,22000,小时,多波长激光技术开发中心,https://www.multiwavelaser.com,,
经济型激光器,532 nm,15-25%,450,W,1.6,中等,中等,一般,纸张、陶瓷,低,小型,每半年,较低,较复杂,6000,小时,经济激光解决方案公司,https://www.economicalaser.com,,
空心激光器,1064 nm,40-45%,1800,W,<1.0,优良,优秀,优秀,金属、复合材料,中,中型,每年,较高,便捷,20000,小时,空心激光技术研究中心,https://www.hollowlaser.com,,
波长可调激光器,500 nm - 1200 nm,25-35%,1000,W,>2.0,优良,优良,优良,光纤、陶瓷,高,中型,每年,中等,便捷,15000,小时,波长可调激光研究所,https://www.tunablelaser.com,,
矩阵激光器,780 nm,20-30%,900,W,1.4,良好,一般,中等,塑料、合金,低,小型,每半年,较低,较便捷,12500,小时,矩阵激光技术开发中心,https://www.matrixlaser.com,,
高功率固体激光器,1064,30-40%,5000,W,<1.2,优良,优秀,优秀,金属、陶瓷,中,大型,每年,中等,较便捷,20000,小时,激光技术研究中心,https://www.lasertech.cn,,
蓝光激光器,450,25-35%,1200,W,1.5,良好,一般,一般,塑料、木材,低,中型,每半年,较高,便捷,15000,小时,光电技术研究所,https://www.optelectronics.org,,
光纤激光器,1060,40-50%,2000,W,<1.0,优良,优秀,良好,金属、合金,中,中型,每年,中等,非凡便捷,30000,小时,国际激光协会,https://www.internationallaser.org,,
紫外激光器,355,22-28%,500,W,>1.8,良好,中等,一般,陶瓷、玻璃,低,大型,每年,较高,较复杂,12000,小时,中国电子科技集团,https://www.cetc.cn,,
拉曼激光器,785,15-25%,800,W,1.3,良好,一般,优秀,生物材料、塑料,低,超小型,每半年,较高,便捷,10000,小时,国家激光技术研究院 ,https://www.nationallaser.ac.cn,,
二极管激光器,808,40-55%,1500,W,<1.4,优良,良好,一般,塑料、金属,中,小型,每年,低,非常便捷,20000,小时,东南亚激光研究所,https://www.sealasers.org,,
业界微型激光器,660,20-30%,400,W,>2.0,一般,中等,良好,电子元件、塑料,高,微型,每半年,较低,便捷,5000,小时,新兴激光技术协会,https://www.emerginglaser.org,,
高效红外激光器,980,25-35%,600,W,1.6,良好,较差,优秀,塑料、复合材料,中,中型,每年,中等,便捷,18000,小时,中国信息技术研究院,https://www.citic.org,,
短波激光器,193,19-24%,400,W,<1.5,优良,优秀,一般,玻璃、塑料,低,大型,每年,较高,简单,12000,小时,中国激光行业协会,https://www.clia.org.cn,,
气体激光器,10.6,10-20%,3000,W,>2.0,较差,良好,良好,塑料、金属,中,大型,每年,中等,较复杂,15000,小时,中国物理学会,https://www.cps.edu.cn,,
超高功率激光器,532,35-45%,10000,W,<1.3,优良,优秀,优秀,金属、塑料、复合材料,高,大型,每年,高,便捷,50000,小时,全球先进激光技术中心,https://www.galatc.org,,
黄光激光器,589,18-26%,350,W,1.7,良好,较差,一般,玻璃、晶体,低,中型,每半年,较高,便捷,8000,小时,光电材料研究院,https://www.optoelectronics.edu.cn,,
激光刀具,1064,15-20%,600,W,1.2,优良,优秀,良好,金属、木材,中,大型,每年,中等,中等,12000,小时,中国刀具工程协会,https://www.toolengineering.org.cn,,
三相激光器,450,20-30%,700,W,1.4,一般,良好,一般,金属、塑料,高,小型,每半年,较高,适中,10000,小时,中国机械工程学会,https://www.cmes.org,,
激光模组,850,45-55%,200,W,1.1,优良,一般,良好,塑料、电子元件,低,微型,每年,中等,便捷,8000,小时,中国激光产业协会,https://www.clia.org.cn,,
高功率光纤激光器,1060 nm,30-36%,5000,W,<1.2,优良,优异,优秀,金属、塑料、陶瓷,中,中型,每年,中等,非常便捷,30000,小时,国际光纤激光器协会,https://www.fiberlaser.org,,
钛宝石激光器,760 nm,20-25%,400,W,1.5,良好,中等,良好,生物组织、金属,高,中型,每年,中等,便捷,12000,小时,生物激光技术研究中心,https://www.bltc.org,,
红外激光器,1064 nm,40-48%,800,W,<1.0,优秀,良好,优秀,塑料、金属、复合材料,中,小型,每半年,中等,便捷,15000,小时,激光材料工程研究中心,https://www.laser-materials.org,,
激光二极管,780 nm,50-60%,200,W,1.2,良好,优良,良好,塑料、半导体,高,微型,每年,较低,非常便捷,25000,小时,半导体激光器技术实验室,https://www.semiconductorlaser.com,,
超高功率激光器,1040 nm,35-40%,10000,W,<1.5,优良,优秀,优秀,金属、难加工材料,中,大型,每年,较高,便捷,50000,小时,激光技术发展研究所,https://www.lasertech.org,,
二氧化碳激光器,10.6 µm,12-18%,1500,W,1.8,良好,优良,中等,木材、金属,低,大型,每年,较高,便捷,24000,小时,激光切割联盟,https://www.lasercuttingalliance.com,,
可调谐激光器,1200 nm,20-30%,500,W,1.4,优良,中等,良好,金属、塑料、玻璃,中,中型,每半年,中等,便捷,30000,小时,激光科技研究中心,https://www.lasertechcn.com,,
高重复频率激光器,532 nm,25-35%,600,W,>1.6,良好,优良,优秀,塑料、电子零件,低,中型,每年,较高,较便捷,20000,小时,国际激光协会,https://www.internationallaser.org,,
超声波激光器,450 nm,15-22%,900,W,1.9,一般,中等,一般,塑料、薄膜,中,小型,每半年,中等,复杂,10000,小时,新能源激光研究中心,https://www.cleanenergy-laser.org,,
固体激光器,532 nm,22-30%,750,W,2.0,一般,较差,一般,铝合金、塑料,高,小型,每年,较高,一般,15000,小时,国家机械制造研究院,https://www.nmri.org,,
超音速激光器,900 nm,32-38%,1200,W,<1.7,优良,优秀,良好,金属、塑料,较高,大型,每年,中等,较复杂,22000,小时,高速激光技术研究中心,https://www.highspeedlaser.org,,
脉冲激光器,1550 nm,15-25%,500,W,>2.0,良好,中等,一般,复合材料、塑料,中,小型,每半年,中等,便捷,15000,小时,遥感激光研究中心,https://www.remote-sensing-laser.org,,
脉冲绿色激光器,532 nm,30-40%,400,W,1.8,优良,优取,良好,木材、纸板,中,中型,每年,较高,非常便捷,20000,小时,环保激光科技中心,https://www.eco-laser.org,,
微型激光器,450 nm,45-55%,150,W,<1.0,优良,中等,优秀,金属、塑料,低,微型,每季度,中等,非常便捷,20000,小时,微型激光技术研究中心,https://www.microlaser.org,,
固态激光器,激光器波长,1064 nm,光电转换效率,30-35%,输出功率,2500,单位,W,金属吸收率,中,体积,中型,维护周期,每年,相对运行成本,中等,加工便捷性,便捷,,
系列光纤激光器,激光器波长,1070 nm,光电转换效率,40-55%,输出功率,5000,单位,W,金属吸收率,高,体积,大型,维护周期,每年,相对运行成本,中等,加工便捷性,较便捷,,
紫外激光器,激光器波长,355 nm,光电转换效率,20-30%,输出功率,800,单位,W,金属吸收率,中,体积,中型,维护周期,每半年,相对运行成本,较高,加工便捷性,便捷,,
钛宝石激光器,激光器波长,780 nm,光电转换效率,16-22%,输出功率,700,单位,W,金属吸收率,中,体积,小型,维护周期,每年,相对运行成本,中等,加工便捷性,较便捷,,
超快激光器,激光器波长,800 nm,光电转换效率,25-30%,输出功率,600,单位,W,金属吸收率,低,体积,中型,维护周期,每半年,相对运行成本,较高,加工便捷性,复杂,,
碳氧激光器,激光器波长,9.3 µm,光电转换效率,15-20%,输出功率,1100,单位,W,金属吸收率,高,体积,大型,维护周期,每年,相对运行成本,中等,加工便捷性,便捷,,
高功率二氧化碳激光器,激光器波长,10.6 µm,光电转换效率,25-31%,输出功率,10000,单位,W,金属吸收率,高,体积,大型,维护周期,每年,相对运行成本,中等,加工便捷性,较便捷,,
激光打标机,激光器波长,1064 nm,光电转换效率,20-26%,输出功率,500,单位,W,金属吸收率,中,体积,小型,维护周期,每半年,相对运行成本,较高,加工便捷性,非常便捷,,
多波长激光器,激光器波长,405 nm / 632 nm,光电转换效率,15-25%,输出功率,850,单位,W,金属吸收率,低,体积,小型,维护周期,每年,相对运行成本,较高,加工便捷性,便捷,,
便携式激光器,激光器波长,980 nm,光电转换效率,32-38%,输出功率,400,单位,W,金属吸收率,中,体积,小型,维护周期,每半年,相对运行成本,中等,加工便捷性,非常便捷,,
陶瓷激光器,激光器波长,442 nm,光电转换效率,22-28%,输出功率,900,单位,W,金属吸收率,中,体积,中型,维护周期,每年,相对运行成本,较高,加工便捷性,较复杂,,
纳米激光器,激光器波长,520 nm,光电转换效率,35-45%,输出功率,350,单位,W,金属吸收率,低,体积,超小型,维护周期,每年,相对运行成本,中等,加工便捷性,非常便捷,,
空间光调制激光器,激光器波长,780 nm,光电转换效率,12-20%,输出功率,500,单位,W,金属吸收率,中,体积,中型,维护周期,每半年,相对运行成本,高,加工便捷性,复杂,,
低能量激光器,激光器波长,450 nm,光电转换效率,10-15%,输出功率,200,单位,W,金属吸收率,高,体积,小型,维护周期,每年,相对运行成本,较高,加工便捷性,便捷,,
复合材料激光器,激光器波长,1064 nm / 532 nm,光电转换效率,20-30%,输出功率,1200,单位,W,金属吸收率,中,体积,中型,维护周期,每年,相对运行成本,中等,加工便捷性,便捷,,
光纤激光器,1060 nm,30%-40%,2500,W,<1.3,优良,优秀,优秀,金属、塑料、陶瓷,中,中型,每年,较低,较便捷,30000,小时,中国光纤激光技术协会,https://www.cflta.org.cn,,
蓝光激光器,445 nm,15%-20%,500,W,1.5,良好,一般,良好,塑料、木材,低,小型,每半年,中等,便捷,8000,小时,蓝光激光创新研讨会,https://www.blue-laserforum.com,,
高功率气体激光器,10.6 µm,20%-25%,6000,W,>2.5,一般,优秀,一般,金属、复合材料,高,大型,每年,较高,较复杂,15000,小时,国际激光器技术协会,https://www.international-lasertech.org,,
劈裂激光器,800 nm,10%-15%,400,W,1.6,良好,优良,中等,建筑材料、金属,中,中型,每年,中等,便捷,12000,小时,建筑与工程激光技术研究中心,https://www.constructionlasertech.org,,
拉曼激光器,532 nm,35%-45%,1000,W,1.2,优良,良好,优秀,生物材料、光纤,低,小型,每半年,中等,非常便捷,20000,小时,生物激光技术研究所,https://www.biolasertech.org,,
脉冲激光器,1064 nm,28%-32%,1200,W,1.4,良好,中等,优良,塑料、复合材料,中,中型,每年,中等,便捷,18000,小时,激光与材料研究协会,https://www.laser-materials.org,,
便携式激光器,450 nm,20%-30%,800,W,1.5,优良,优良,良好,金属、塑料,低,小型,每半年,中等,非常便捷,15000,小时,便携式激光设备开发中心,https://www.portablelasertech.com,,
超强激光器,800 nm,25%-30%,10000,W,<1.2,优良,优秀,优秀,金属、非金属,高,大型,每年,较高,较复杂,30000,小时,国际激光前沿技术研究所,https://www.laserfrontiers.org,,
多模激光器,620 nm,22%-27%,1500,W,1.8,中等,一般,中等,金属、塑料,中,中型,每年,中等,便捷,12000,小时,多模激光研究中心,https://www.multimodallaser.org,,
量子点激光器,960 nm,15%-20%,200,W,>1.5,优良,良好,优良,光纤、半导体,低,小型,每半年,较低,便捷,25000,小时,量子光电技术研究所,https://www.qdlasertech.org,,
超快激光器,800 nm,30%-38%,3500,W,1.1,优秀,优秀,优秀,生物材料、金属,低,中型,每年,中等,非常便捷,20000,小时,超快激光技术中心,https://www.ultrafastlasertech.org,,
电子束激光器,束流能量,20%-25%,7500,W,高,一般,中等,优良,金属、复合材料,高,大型,每年,较高,较复杂,15000,小时,电子束制造技术协会,https://www.electronbeamtech.org,,
脉冲氦氖激光器,632.8 nm,5%-10%,30,W,>1.8,优良,差,一般,玻璃、塑料,低,小型,每半年,低,便捷,5000,小时,激光材料科技论坛,https://www.laser-materialforum.com,,
全固态激光器,1030 nm,35%-42%,4000,W,<1.2,良好,优秀,良好,金属、木材、复合材料,中,大型,每年,中等,较复杂,30000,小时,全固态激光器技术联盟,https://www.allsolidstatelaser.org,,
光纤激光器,1060 nm,30-40%,2000,W,1.1,优秀,优良,优秀,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,30000,小时,国际激光应用协会,https://www.i-laserassn.org,,
紫外激光器,355 nm,20-25%,750,W,1.4,一般,中等,良好,塑料、玻璃、金属,高,小型,每半年,中等,便捷,15000,小时,先进制造技术研究中心,https://www.advancedmanuf.org,,
高功率二氧化碳激光器,10.6 µm,15-20%,5000,W,1.5,优良,优秀,一般,金属、塑料、木材,低,大型,每年,较高,较复杂,25000,小时,中国激光科研发展中心,https://www.chinalasercorp.org,,
多波长激光器,405 nm / 532 nm / 1064 nm,15-25%,1200,W,1.6,一般,中等,良好,金属、塑料、复合材料,中,中型,每年,中等,便捷,22000,小时,激光技术与应用杂志,https://www.lasertechjournal.com,,
同轴激光器,940 nm,40-50%,400,W,<1.0,优良,优良,优秀,金属、塑料、光纤,中,小型,每半年,中等,非常便捷,18000,小时,现代激光研究所,https://www.modernlaserresearch.com,,
小型模块激光器,460 nm,20-30%,300,W,1.2,良好,中等,良好,塑料、纸张,低,超小型,每季度,较低,便捷,10000,小时,国际微型激光器协会,https://www.microlaserassociation.org,,
高功率固态激光器,1064 nm,30-35%,4500,W,1.8,优良,优秀,优秀,金属、陶瓷、复合材料,高,大型,每年,较高,复杂,30000,小时,固态激光技术协会,https://www.solidstatelasers.org,,
纳米激光器,810 nm,25-30%,600,W,1.3,良好,优良,优良,金属、玻璃、塑料,中,小型,每半年,中等,便捷,20000,小时,中国高科技激光促进协会,https://www.htlaseradv.org,,
便携式激光器,532 nm,10-15%,150,W,2.0,一般,差,一般,木材、纺织品,低,超小型,毎年,较高,非常复杂,5000,小时,激光器便携应用研究中心,https://www.portablelasercorp.com,,
钕激光器,1064 nm,28-32%,900,W,1.1,优良,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,18000,小时,技术领先研究院,https://www.techlead.org,,
适应性激光器,808 nm,35-45%,2200,W,1.5,优良,优秀,优秀,金属、塑料、复合材料,高,大型,每年,较高,复杂,35000,小时,国家激光技术研究中心,https://www.nationallasertech.org,,
超高功率激光器,1050 nm,30-40%,6000,W,1.2,优良,优良,一般,金属、塑料、木材,中,超大型,每年,高,复杂,40000,小时,新兴激光技术研究院,https://www.emerginglasers.org,,
高精度微加工激光器,500 nm,12-18%,800,W,1.4,优良,中等,良好,金属、精密部件,中,小型,每半年,中等,便捷,15000,小时,微型制造与激光技术论坛,https://www.micromanufacturingforum.org,,
激光清洗器,1064 nm,25-30%,500,W,1.6,一般,中等,良好,金属表面、污垢,低,小型,每年,低,便捷,10000,小时,激光清洗技术研究所,https://www.lasercleaningtech.org,,
激光成像器,780 nm,10-15%,300,W,2.0,一般,差,一般,无机材料、金属,低,超小型,每年,较高,复杂,6000,小时,成像技术研究会,https://www.imagingtechacademy.org,,
光纤激光器,1064 nm,30%-35%,5000,W,<1.4,优秀,优良,极佳,金属、复合材料,中,大型,每年,较高,便捷,30000,小时,中国激光设备制造协会,https://www.clband.com,,
可调激光器,400-800 nm,20%-25%,1500,W,1.5,良好,中等,一般,塑料、玻璃,低,小型,每半年,中等,便捷,20000,小时,国际光电协会,https://www.opticalsociety.org,,
紫外激光器,355 nm,15%-22%,200,W,1.0,优良,优秀,优良,玻璃、陶瓷,中,中型,每年,中等,较便捷,10000,小时,中国激光科研中心,https://www.chinalaserresearch.org,,
高功率激光器,1064 nm,24%-30%,8000,W,1.2,卓越,优秀,优秀,金属、塑料,高,大型,每年,较高,便捷,25000,小时,全球激光与光电市场研究中心,https://www.lasertechworld.com,,
连续波激光器,532 nm,15%-25%,600,W,1.6,良好,一般,良好,木材、塑料,中,中型,每半年,中等,较便捷,12000,小时,中国激光技术发展论坛,https://www.cltd.org,,
超快激光器,800 nm,40%-50%,1000,W,<1.2,优良,优良,优秀,金属、非金属,低,小型,每年,中等,非常便捷,30000,小时,中国激光行业研究网,https://www.cliadaily.com,,
高重复频率激光器,1064 nm,20%-26%,700,W,1.4,良好,优良,良好,金属、塑料,中,中型,每半年,中等,便捷,18000,小时,亚洲激光技术研究协会,https://www.asianlasertech.org,,
大功率二氧化碳激光器,10.6 µm,15%-22%,4000,W,>2.5,一般,良好,优良,木材、塑料,低,大型,每年,中等,较便捷,15000,小时,国际激光安全标准机构,https://www.lasersecurity.org,,
半导体泵浦激光器,940 nm,40%-50%,500,W,1.2,优秀,优良,优秀,纯金属、复合材料,高,小型,每半年,中等,非常便捷,22000,小时,国际半导体激光技术研究中心,https://www.semiconductorslaser.org,,
高密度激光器,532 nm,30%-40%,3000,W,1.3,优良,优良,优秀,塑料、金属,中,大型,每年,较高,便捷,26000,小时,新能源激光武器技术院,https://www.newlaserguns.com,,
聚焦激光器,1064 nm,25%-30%,2000,W,1.1,优良,优良,良好,金属、塑料,中,中型,每年,中等,便捷,21000,小时,激光技术与应用中心,https://www.lasertechapps.com,,
高频激光器,532 nm,22%-27%,4500,W,1.4,良好,较差,优秀,塑料、木材,中,小型,每半年,高,较便捷,8000,小时,国际激光与增材制造研究协会,https://www.laseradditive.com,,
脉冲激光器,1064 nm,30%-37%,1200,W,1.5,良好,优良,良好,金属、塑料,中,中型,每年,中等,便捷,21000,小时,光学与激光技术国际会议,https://www.optical-laserconf.com,,
脉冲调制激光器,532 nm,20%-29%,700,W,1.7,一般,良好,一般,木材、塑料,中,小型,每半年,较高,较复杂,9000,小时,国家激光技术与应用研究中心,https://www.lasertechcn.org,,
高功率光纤激光器,1064 nm,30-40%,5000,W,<1.1,优良,优良,优秀,金属、非金属,中,中型,每年,中等,便捷,30000,小时,国际光电学会,https://www.osa.org,,
紫外激光器,355 nm,20-25%,150,W,>2.0,一般,中等,良好,塑料、玻璃,中,小型,每半年,较高,复杂,10000,小时,中国光电产业发展协会,https://www.copida.org.cn,,
冷冻激光器,1064 nm,25-35%,600,W,1.5,优良,优秀,良好,金属、木材,低,小型,每年,中等,非常便捷,20000,小时,先进激光科学研究所,https://www.advancedlaserscience.org,,
凝聚态激光器,1064 nm,35-45%,1200,W,1.2,良好,良好,优秀,塑料、合金,中,中型,每年,较高,便捷,25000,小时,国家激光技术中心,https://www.natls.gov.cn,,
固体激光器,532 nm,19-29%,800,W,1.6,一般,中等,一般,木材、塑料,中,大型,每年,较高,便捷,15000,小时,光电科技发展研究中心,https://www.photonic-tech.com,,
多波长激光器,405 nm / 520 nm / 780 nm,15-25%,350,W,1.4,优良,良好,较好,塑料、金属,中,超小型,每季度,中等,便捷,20000,小时,激光视觉技术实验室,https://www.laservisiontechlab.com,,
冷光增益激光器,940 nm,30-36%,2500,W,<1.1,优良,优秀,优秀,金属、合金,高,中型,每年,较高,非常便捷,27000,小时,国际激光应用中心,https://www.internationallaserapp.org,,
激光打标器,1064 nm,20-25%,60,W,1.0,优良,一般,良好,塑料、金属,中,超小型,每半年,较低,便捷,15000,小时,激光与光电研究所,https://www.laserandopto.org,,
小型激光切割机,980 nm,25-35%,400,W,1.5,良好,优良,良好,金属、木材,中,小型,每季度,中等,便捷,18000,小时,金属加工技术研究所,https://www.metalworkingtech.org,,
激光镭射设备,1280 nm,15-20%,700,W,2.0,一般,中等,一般,纸张、塑料,低,小型,每年,较高,便捷,5000,小时,中国激光产业联盟,https://www.chinalaseralliance.com,,
固体激光器阵列,532 nm,22-32%,2400,W,1.3,优良,优秀,良好,金属、合金、塑料,中,大型,每年,中等,便捷,22000,小时,国家光电设备研究中心,https://www.nationalopticalequipment.gov.cn,,
秋冬季氦氖激光器,632.8 nm,8-12%,5,W,1.7,中等,较差,一般,木材、纸张,低,小型,每半年,低,便捷,3000,小时,激光应用与安全技术研究中心,https://www.laserapplicationsafety.org,,
自适应激光束控制器,850 nm,35-45%,400,W,1.1,优良,优秀,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,小时,光电控制学会,https://www.photoniccontrol.org,,
广谱激光发射器,450 nm / 640 nm,22-30%,700,W,1.6,良好,优良,优秀,塑料、陶瓷,中,大型,每年,较高,便捷,22000,小时,全国激光技术信息网,https://www.lasertechnology.gov.cn,,
