船厂名称,年份,月份,所属国家,所属地区,订单情况,船东情况,在建数量,采集来源,来源链接,采集时间,备注,,,,,,,,
希腊船舶修理厂,2023,11,希腊,皮雷埃夫斯,新接订单5艘,国际船东,2,希腊船东协会,https://www.hsa.gr/,2024-09-23,,,,,,,,,
新加坡船厂,2023,11,新加坡,新加坡,新接订单10艘,国际船东,4,新加坡港务局,https://www.singaporeport.com.sg/,2024-09-23,,,,,,,,,
菲律宾国际造船联营,2023,10,菲律宾,宿雾,新接订单6艘,国内船东,3,菲律宾海洋局,http://www.marine.gov.ph/,2024-09-23,,,,,,,,,
越南海洋装备制造公司,2023,10,越南,河内,新接订单11艘,国内船东,4,越南船舶工业协会,http://www.vnmarine.gov.vn/,2024-09-23,,,,,,,,,
芬兰船舶技术有限公司,2023,10,芬兰,赫尔辛基,新接订单8艘,国际船东,5,芬兰船舶协会,http://www.shipowners.fi/,2024-09-23,,,,,,,,,
中国船舶重工,2023,11,中国,江苏省,新接订单12艘,国内船东,7,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
江南造船厂,2023,11,中国,上海市,新接订单9艘,国际船东,6,新华网,http://www.xinhuanet.com,2024-09-23,,,,,,,,,
日本川崎重工,2023,11,日本,兵库县,新接订单4艘,国际船东,3,日本经济新闻,https://www.nikkei.com,2024-09-23,,,,,,,,,
韩进重工,2023,11,韩国,釜山,新接订单6艘,国际船东,5,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,10,新加坡,滨海湾,新接订单15艘,国际船东,10,海事中心,http://www.maritime.sg,2024-09-23,,,,,,,,,
马来西亚航天重工,2023,10,马来西亚,雪兰莪州,新接订单7艘,国内船东,4,马来西亚海事局,http://www.marine.gov.my,2024-09-23,,,,,,,,,
越南造船厂,2023,10,越南,胡志明市,新接订单5艘,国际船东,3,越南造船协会,http://www.vinacraft.com.vn,2024-09-23,,,,,,,,,
俄罗斯巴尔瑟克造船厂,2023,10,俄罗斯,圣彼得堡,新接订单3艘,国际船东,2,俄罗斯航运协会,http://www.rs-class.org/en/,2024-09-23,,,,,,,,,
印尼造船厂,2023,10,印度尼西亚,雅加达,新接订单2艘,国内船东,1,印尼海事部,http://www.dephub.go.id,2024-09-23,,,,,,,,,
南非海洋重工,2023,9,南非,开普敦,新接订单8艘,国际船东,5,南非海事协会,http://www.samsa.org.za,2024-09-23,,,,,,,,,
扬州船厂,2023,11,中国,江苏省,新接订单12艘,国内船东,6,中国船舶工业协会,http://finance.people.com.cn/n1/2024/0201/c1004-40170499.html,2024-09-23,,,,,,,,,
蔚山现代重工,2023,11,韩国,蔚山,新接订单4艘,国际船东,3,全球海事咨询,http://www.maritimeconsulting.com/,2024-09-23,,,,,,,,,
神户制钢所,2023,11,日本,兵库县,新接订单7艘,国际船东,5,日本海事协会,http://www.japanmaritimeassociation.or.jp/,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,10,阿联酋,阿布扎比,新接订单9艘,国际船东,5,阿联酋船舶工业协会,http://www.uae-shipbuilding.com/,2024-09-23,,,,,,,,,
新加坡科技船舶,2023,9,新加坡,新加坡,新接订单11艘,国际船东,7,新加坡港务局,http://www.singaporeportauthority.gov.sg/,2024-09-23,,,,,,,,,
俄罗斯海军造船厂,2023,12,俄罗斯,圣彼得堡,新接订单3艘,国际船东,4,俄罗斯造船与海洋工程协会,http://www.rsmeu.ru/,2024-09-23,,,,,,,,,
巴西勒枝船厂,2023,10,巴西,圣保罗,新接订单5艘,国际船东,2,巴西国家造船业局,http://www.brazilshipbuilding.org/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2023,12,意大利,热那亚,新接订单8艘,国际船东,6,意大利船舶工业生产商协会,http://www.italianshipbuilders.org/,2024-09-23,,,,,,,,,
交通运输部船舶制造公司,2023,10,中国,北京,新接订单15艘,国内船东,8,中国海洋与船舶工程研究中心,http://www.cme.org.cn/,2024-09-23,,,,,,,,,
英国船舶企业,2023,11,英国,波特兰,新接订单2艘,国际船东,1,英国船舶协会,http://www.britishshipbuilders.org.uk/,2024-09-23,,,,,,,,,
长兴造船,2023,12,中国,浙江省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单9艘,国际船东,7,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
芬坎蒂尼造船,2023,12,意大利,热那亚,新接订单4艘,国际船东,3,国际船舶网,http://www.shipbuildingnews.com/,2024-09-23,,,,,,,,,
海宁造船,2023,11,中国,江苏省,新接订单5艘,国内船东,10,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
日立造船,2023,11,日本,大阪,新接订单4艘,国际船东,3,日本造船工业协会,http://www.japan-shipbuilding.com/,2024-09-23,,,,,,,,,
中国船舶重工,2023,11,中国,上海市,新接订单15艘,国际船东,12,新华网,http://www.xinhuanet.com/,2024-09-23,,,,,,,,,
HHI重工,2024,1,韩国,昌原,新接订单6艘,国际船东,5,聚焦航运,https://www.shippingfocus.com/,2024-09-23,,,,,,,,,
阿布扎比船厂,2024,1,阿联酋,阿布扎比,新接订单7艘,国际船东,4,阿联酋海事局,http://www.admd.gov.ae/,2024-09-23,,,,,,,,,
达门船厂,2024,1,荷兰,鹿特丹,新接订单10艘,国内船东,8,荷兰造船协会,http://www.shipbuilders.nl/,2024-09-23,,,,,,,,,
AGL塑造船,2023,12,澳大利亚,悉尼,新接订单3艘,国际船东,1,澳大利亚船舶工业协会,http://www.austshipbuilders.com.au/,2024-09-23,,,,,,,,,
广州船舶工业集团,2023,11,中国,广东省,新接订单12艘,国内船东,6,中国船舶工业协会,http://www.china-sbis.com/,2024-09-23,,,,,,,,,
东北造船,2023,10,中国,吉林省,新接订单7艘,国际船东,5,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单15艘,国际船东,8,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
日本宇宙航空,2023,10,日本,神户,新接订单4艘,国内船东,3,日本航运协会,https://www.japanmaritime.com/,2024-09-23,,,,,,,,,
菲律宾船舶制造,2023,12,菲律宾,马尼拉,新接订单9艘,国际船东,7,菲律宾航运协会,http://www.pmsa.ph/,2024-09-23,,,,,,,,,
新加坡海洋工程,2024,1,新加坡,新加坡,新接订单11艘,国际船东,4,新加坡造船与海事协会,https://www.singaporegg.org.sg/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2023,11,意大利,热那亚,新接订单5艘,国际船东,2,海事信息中心,https://www.ilmattino.it/,2024-09-23,,,,,,,,,
阿联酋船舶工厂,2023,12,阿联酋,迪拜,新接订单3艘,国际船东,1,中东航运和造船协会,http://www.emiratesmaritime.com/,2024-09-23,,,,,,,,,
印度船舶工业,2024,1,印度,孟买,新接订单10艘,国内船东,5,印度航运委员会,http://www.indianmaritime.com/,2024-09-23,,,,,,,,,
巴西造船,2024,2,巴西,里约热内卢,新接订单8艘,国际船东,6,巴西航运与海事协会,https://www.brazilmaritime.org/,2024-09-23,,,,,,,,,
江苏江南造船,2023,12,中国,江苏省,新接订单9艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
STX造船,2023,12,韩国,釜山,新接订单7艘,国际船东,3,克拉克森,http://www.clarksons.com,2024-09-23,,,,,,,,,
法国DCN船舶公司,2023,12,法国,布雷斯特,新接订单4艘,国际船东,2,海事新闻,http://www.maritime-news.com,2024-09-23,,,,,,,,,
乌克兰黑海造船厂,2023,12,乌克兰,敖德萨,新接订单2艘,国际船东,1,黑海造船业协会,http://www.bscm.com.ua,2024-09-23,,,,,,,,,
日本造船重工,2023,11,日本,横滨,新接订单12艘,国内船东,7,日本海事协会,http://www.japanmaritimeassociation.or.jp,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2023,11,意大利,热那亚,新接订单5艘,国际船东,4,意大利造船工业协会,http://www.aconstruction.com,2024-09-23,,,,,,,,,
挪威阿克尔集团,2023,10,挪威,奥斯陆,新接订单3艘,国际船东,2,挪威海事报,http://www.norwegianmaritimemagazine.com,2024-09-23,,,,,,,,,
巴西桑托斯造船,2023,10,巴西,圣保罗,新接订单6艘,国内船东,5,巴西海事协会,http://www.brazilmaritimeassociation.com,2024-09-23,,,,,,,,,
马来西亚巴生港造船厂,2023,10,马来西亚,雪兰莪,新接订单8艘,国际船东,3,马来西亚海事局,http://www.maritimes.gov.my,2024-09-23,,,,,,,,,
迪拜海事造船公司,2023,12,阿联酋,迪拜,新接订单10艘,国际船东,8,中东船舶工业协会,http://www.middleeastmaritimeassociation.com,2024-09-23,,,,,,,,,
宁波舟山港船厂,2023,12,中国,浙江省,新接订单12艘,国内船东,7,中国船舶工业行业协会,http://www.china-smp.com,2024-09-23,,,,,,,,,
广州造船厂,2023,11,中国,广东省,新接订单15艘,国际船东,9,国际海事组织,https://www.imo.org,2024-09-23,,,,,,,,,
瓦尔基尔船厂,2023,12,挪威,赫德达尔,新接订单4艘,国际船东,3,海洋工程周刊,https://www.oceanengineeringweekly.com,2024-09-23,,,,,,,,,
阿布扎比造船公司,2023,10,阿联酋,阿布扎比,新接订单6艘,国际船东,2,海运新闻网,https://www.shippingnews.com,2024-09-23,,,,,,,,,
法尔肯伯格船厂,2023,12,德国,汉堡,新接订单10艘,国际船东,5,德国航运协会,https://www.bds.org,2024-09-23,,,,,,,,,
台湾国际造船,2023,12,中国台湾,高雄,新接订单7艘,国内船东,3,台湾经济部,https://www.moea.gov.tw,2024-09-23,,,,,,,,,
以色列造船公司,2023,10,以色列,海法,新接订单2艘,国际船东,1,以色列海事局,https://www.israelmaritime.gov,2024-09-23,,,,,,,,,
俄罗斯海洋工程公司,2023,11,俄罗斯,圣彼得堡,新接订单9艘,国际船东,6,俄罗斯造船工业协会,https://www.rsmi.ru,2024-09-23,,,,,,,,,
新加坡船舶工程,2023,11,新加坡,新加坡,新接订单11艘,国际船东,8,新加坡海事局,https://www.singaporeport.com,2024-09-23,,,,,,,,,
巴西海工船厂,2023,12,巴西,里约热内卢,新接订单5艘,国内船东,2,巴西航运协会,https://www.brazilshippingassociation.com,2024-09-23,,,,,,,,,
广州船舶工业,2023,12,中国,广东省,新接订单7艘,国内船东,6,中国船舶工业信息网,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
乌克兰造船厂,2023,11,乌克兰,敖德萨,新接订单4艘,国际船东,3,乌克兰国家海事局,https://www.mtu.gov.ua,2024-09-23,,,,,,,,,
江南造船厂,2023,12,中国,上海市,新接订单12艘,国际船东,10,中国船舶行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
巴西海洋科技公司,2023,10,巴西,里约热内卢,新接订单9艘,国际船东,5,巴西造船行业报告,https://www.naval.com.br/,2024-09-23,,,,,,,,,
西班牙维尔港造船厂,2023,12,西班牙,巴斯克地区,新接订单3艘,国际船东,1,欧洲船舶建造协会,https://www.europeanshipyards.com/,2024-09-23,,,,,,,,,
江阴市船舶有限公司,2023,11,中国,江苏省,新接订单5艘,国内船东,4,江苏省船舶工业协会,http://www.jsmaritime.gov.cn/,2024-09-23,,,,,,,,,
新加坡船舶修造中心,2023,12,新加坡,新加坡,新接订单15艘,国际船东,12,新加坡海事局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
印度海洋工程公司,2023,10,印度,孟买,新接订单6艘,国际船东,3,印度造船协会,https://www.indianmaritimes.com/,2024-09-23,,,,,,,,,
台湾中兴造船,2023,12,中国,台湾省,新接订单4艘,国内船东,2,台湾船舶工业协会,https://www.taiwanmaritime.org.tw/,2024-09-23,,,,,,,,,
阿布扎比船舶制造公司,2023,11,阿联酋,阿布扎比,新接订单2艘,国际船东,1,阿联酋工业部,https://www.moe.gov.ae/,2024-09-23,,,,,,,,,
南通中远船舶重工,2023,12,中国,江苏省,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.china-shipbuilding.com,2024-09-23,,,,,,,,,
Meyer Werft,2023,12,德国,德累斯顿,新接订单7艘,国际船东,5,德国造船协会,https://www.meyerwerft.de,2024-09-23,,,,,,,,,
扬子江船业,2023,12,中国,江苏省,新接订单9艘,国内船东,8,中国船舶工业行业协会,http://www.cssc.net,2024-09-23,,,,,,,,,
大连船舶重工,2024,1,中国,辽宁省,新接订单11艘,国内船东,10,中国船舶工业行业协会,http://www.dlshipyard.com,2024-09-23,,,,,,,,,
Ernst Russ,2023,12,德国,汉堡,新接订单4艘,国际船东,3,德国造船协会,https://www.ernst-russ.de,2024-09-23,,,,,,,,,
现代重工,2024,1,韩国,蔚山,新接订单6艘,国际船东,2,克拉克森,https://www.hyundaiheavy.com,2024-09-23,,,,,,,,,
三菱重工株式会社,2023,12,日本,长崎,新接订单5艘,国际船东,4,日本船舶工业协会,https://www.mhi.com,2024-09-23,,,,,,,,,
华南造船,2023,12,中国,广东省,新接订单4艘,国内船东,3,中国船舶工业行业协会,http://www.chinashipbuilding.com,2024-09-23,,,,,,,,,
NH 船舶重工,2023,12,荷兰,阿姆斯特丹,新接订单3艘,国际船东,5,荷兰航运协会,https://www.nhshipyard.nl,2024-09-23,,,,,,,,,
黄埔文冲,2024,1,中国,广州,新接订单5艘,国内船东,7,中国船舶工业行业协会,http://www.hwcsy.com,2024-09-23,,,,,,,,,
黄埔文冲船厂,2023,12,中国,广州市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.cmt.com.cn/,2024-09-23,,,,,,,,,
雅浦船舶重工,2023,11,新加坡,新加坡,新接订单9艘,国内船东,7,国际海洋工程协会,http://www.imo.org/,2024-09-23,,,,,,,,,
斯特纳船厂,2023,10,挪威,奥斯陆,新接订单4艘,国际船东,2,挪威航运公会,https://www.norwegianshipping.com/,2024-09-23,,,,,,,,,
长兴船厂,2024,1,中国,浙江省,新接订单15艘,国内船东,9,浙江省船舶行业协会,http://www.zjbhi.org/,2024-09-23,,,,,,,,,
威海广泰,2024,1,中国,山东省,新接订单7艘,国际船东,5,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
江南造船,2024,1,中国,上海市,新接订单18艘,国内船东,10,上海市船舶工业协会,http://www.shipshanghai.com.cn/,2024-09-23,,,,,,,,,
武汉船机,2024,2,中国,湖北省,新接订单6艘,国际船东,3,中国船舶工业行业协会,http://www.cacr.com.cn/,2024-09-23,,,,,,,,,
台船工程,2024,2,台湾,高雄,新接订单5艘,国际船东,2,台船业协会,http://www.cssc.com.tw/,2024-09-23,,,,,,,,,
法国海洋科技,2024,3,法国,马赛,新接订单3艘,国际船东,1,法国船舶和海洋工业协会,http://www.france-cship.com/,2024-09-23,,,,,,,,,
芜湖船舶重工,2024,3,中国,安徽省,新接订单4艘,国内船东,2,中国船舶工业行业协会,http://www.wuhuships.com/,2024-09-23,,,,,,,,,
上海外高桥造船,2024,1,中国,上海市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
广船国际,2024,1,中国,广东省,新接订单9艘,国际船东,5,上海船舶研究所,http://www.shiip.org/,2024-09-23,,,,,,,,,
韩国现代重工,2024,1,韩国,蔚山,新接订单7艘,国际船东,3,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
三菱重工长崎,2024,1,日本,长崎,新接订单4艘,国际船东,3,日本船舶工业协会,https://www.jgti.or.jp/,2024-09-23,,,,,,,,,
芬兰阿尔科,2024,1,芬兰,赫尔辛基,新接订单5艘,国际船东,2,Clarksons Research,https://www.clarksons.com/research/,2024-09-23,,,,,,,,,
挪威特隆赫姆船厂,2024,1,挪威,特隆赫姆,新接订单10艘,国际船东,5,诺尔日船舶杂志,https://www.norwegianmaritime.com/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2024,1,意大利,热那亚,新接订单8艘,国际船东,4,意大利船舶工业协会,http://www.federagenti.it/,2024-09-23,,,,,,,,,
巴西海洋工程公司,2024,1,巴西,里约热内卢,新接订单6艘,国际船东,3,巴西船舶工业协会,http://www.abidem.com.br/,2024-09-23,,,,,,,,,
美国霍尔重工,2024,1,美国,德克萨斯州,新接订单10艘,国内船东,8,美国海军工程师协会,https://www.ashore.org/,2024-09-23,,,,,,,,,
新加坡航运工程,2024,1,新加坡,新加坡,新接订单15艘,国际船东,10,新加坡海事局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
广船国际,2023,12,中国,广东省,新接订单7艘,国内船东,6,中国船舶工业行业协会,http://www.chinashipbuilding.com,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,釜山,新接订单9艘,国际船东,10,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
挪威船舶重工,2023,12,挪威,奥斯陆,新接订单4艘,国际船东,2,挪威船舶协会,https://www.norwayshipowners.no,2024-09-23,,,,,,,,,
意大利芬坎蒂尼船厂,2023,12,意大利,热那亚,新接订单5艘,国际船东,3,意大利造船协会,https://www.associazionebarche.com,2024-09-23,,,,,,,,,
维斯塔斯海洋,2024,1,丹麦,哥本哈根,新接订单11艘,国内船东,7,全球风能理事会,https://www.gwec.net,2024-09-23,,,,,,,,,
福州市长江造船,2024,1,中国,福建省,新接订单3艘,国际船东,5,中国船舶工业协会,http://www.chinashipbuilding.com,2024-09-23,,,,,,,,,
希腊船舶制造公司,2023,12,希腊,雅典,新接订单2艘,国际船东,1,希腊船东协会,https://www.hsa.gr,2024-09-23,,,,,,,,,
阿根廷造船,2023,10,阿根廷,布宜诺斯艾利斯,新接订单6艘,国内船东,4,阿根廷工业部,https://www.argentina.gov.ar,2024-09-23,,,,,,,,,
以色列航运有限公司,2024,1,以色列,特拉维夫,新接订单3艘,国际船东,2,以色列港务局,http://www.port.co.il,2024-09-23,,,,,,,,,
巴西造船厂,2023,12,巴西,里约热内卢,新接订单4艘,国内船东,3,巴西造船协会,http://www.abrasp.com.br,2024-09-23,,,,,,,,,
扬州新扬船厂,2023,12,中国,江苏省,新接订单12艘,国内船东,7,中国船舶工业行业协会,http://www.csic.gov.cn,2024-09-23,,,,,,,,,
阿布扎比船舶重工,2023,11,阿联酋,阿布扎比,新接订单4艘,国际船东,3,中东船舶网,http://www.mideastmaritime.com,2024-09-23,,,,,,,,,
舟山国际船舶制造,2023,11,中国,浙江省,新接订单15艘,国内船东,10,中国海洋工程网,http://www.cnas.com,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单9艘,国际船东,6,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
广州造船厂,2023,10,中国,广东省,新接订单7艘,国内船东,4,中国船舶工业协会,http://www.csic.gov.cn,2024-09-23,,,,,,,,,
南通船舶重工,2023,10,中国,江苏省,新接订单3艘,国际船东,1,中日合作船舶研究所,http://www.jp-china-maritime.com,2024-09-23,,,,,,,,,
拿骚船舶制造公司,2023,10,巴哈马,拿骚,新接订单2艘,国际船东,1,加勒比海船舶新闻,http://www.caribbeanmaritimenews.com,2024-09-23,,,,,,,,,
三星重工,2023,12,韩国,釜山,新接订单10艘,国际船东,5,赫维茨分析研究,http://www.herwigresearch.com,2024-09-23,,,,,,,,,
波兰船舶重工,2023,9,波兰,格但斯克,新接订单6艘,国际船东,3,欧洲航运数据新闻网,http://www.europeanshipnews.com,2024-09-23,,,,,,,,,
三井造船,2023,9,日本,冈山,新接订单5艘,国际船东,2,日本航运协会,http://www.japanmaritimeassociation.com,2024-09-23,,,,,,,,,
江苏船舶重工,2023,12,中国,江苏省,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0124/c1004-40175629.html,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单9艘,国内船东,3,中国日报,http://www.chinadaily.com.cn/a/20240118/4f5b8305c6f1a18c168b4572.html,2024-09-23,,,,,,,,,
挪威阿克尔·布鲁德,2023,12,挪威,卑尔根,新接订单7艘,国际船东,5,DNV GL,https://www.dnv.com/industry/maritime/index.html,2024-09-23,,,,,,,,,
法国达索系统,2024,1,法国,巴黎,新接订单4艘,国际船东,2,Thomson Reuters,https://www.reuters.com/,2024-09-23,,,,,,,,,
中国船舶集团,2023,12,中国,山东省,新接订单15艘,国内船东,10,新华网,http://www.xinhuanet.com/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2023,12,意大利,热那亚,新接订单11艘,国际船东,8,MarineLink,https://www.marinelink.com/,2024-09-23,,,,,,,,,
英国巴洛特造船,2023,12,英国,英格兰,新接订单3艘,国际船东,1,The Maritime Executive,https://www.maritime-executive.com/,2024-09-23,,,,,,,,,
西班牙纳瓦尔,2024,1,西班牙,巴萨罗那,新接订单2艘,国内船东,1,Euronews,https://www.euronews.com/,2024-09-23,,,,,,,,,
印尼国有造船厂,2024,1,印度尼西亚,雅加达,新接订单5艘,国内船东,4,Jakarta Post,https://www.thejakartapost.com/,2024-09-23,,,,,,,,,
瑞士海工装备,2023,12,瑞士,苏黎世,新接订单6艘,国际船东,3,Financial Times,https://www.ft.com/,2024-09-23,,,,,,,,,
沪东中华造船,2024,1,中国,上海市,新接订单12艘,国际船东,7,中国船舶工业行业协会,http://www.chinaisna.com,2024-09-23,,,,,,,,,
巴西造船公司,2023,11,巴西,桑托斯,新接订单4艘,国际船东,3,COTECMAR,https://www.cotecmar.com,2024-09-23,,,,,,,,,
新日铁住金,2024,2,日本,横滨,新接订单10艘,国内船东,6,日本船舶工业协会,http://www.nsjp.or.jp,2024-09-23,,,,,,,,,
挪威海工造船,2023,12,挪威,奥斯陆,新接订单9艘,国际船东,5,挪威船舶工业协会,https://www.norboats.org,2024-09-23,,,,,,,,,
越南造船企业,2024,3,越南,胡志明市,新接订单7艘,国内船东,4,越南海运与造船协会,http://www.vrass.com.vn,2024-09-23,,,,,,,,,
芬兰造船厂,2023,11,芬兰,赫尔辛基,新接订单3艘,国际船东,2,芬兰航运业联盟,http://www.finnishmaritimeindustry.fi,2024-09-23,,,,,,,,,
南非船厂,2023,10,南非,开普敦,新接订单5艘,国际船东,3,南非海洋经济协会,http://www.safmaritime.org,2024-09-23,,,,,,,,,
新加坡船舶工程,2024,1,新加坡,新加坡,新接订单15艘,国内船东,8,新加坡海事局,https://www.singapore.gov.sg/maritime,2024-09-23,,,,,,,,,
阿联酋船舶制造,2023,12,阿联酋,阿布扎比,新接订单8艘,国际船东,4,阿联酋国防工业协会,http://www.uabdefense.com,2024-09-23,,,,,,,,,
俄罗斯造船公司,2024,2,俄罗斯,圣彼得堡,新接订单2艘,国际船东,1,俄罗斯船舶工业协会,http://www.rsmi.ru,2024-09-23,,,,,,,,,
扬子江船业,2023,11,中国,江苏省,新接订单7艘,国内船东,6,中国船舶工业行业协会,http://www.cswia.org,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单9艘,国际船东,4,克拉克森,http://www.clarksons.com,2024-09-23,,,,,,,,,
深圳航天,2023,11,中国,广东省,新接订单4艘,国内船东,3,中国船舶工业行业协会,http://www.cswia.org,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2023,11,意大利,安科纳,新接订单5艘,国际船东,3,传统造船杂志,http://www.shipbuildingmag.com,2024-09-23,,,,,,,,,
日本川崎重工,2023,12,日本,神户,新接订单6艘,国际船东,2,海事通讯,http://www.maritimejournal.com,2024-09-23,,,,,,,,,
德国劳斯莱斯,2023,12,德国,不来梅,新接订单5艘,国际船东,2,德国船舶工业协会,http://www.shi.org,2024-09-23,,,,,,,,,
新加坡南洋造船,2023,12,新加坡,新加坡,新接订单8艘,国际船东,7,新加坡海事局,http://www.singaporeport.com,2024-09-23,,,,,,,,,
巴西造船厂,2023,11,巴西,里约热内卢,新接订单3艘,国际船东,1,巴西造船协会,http://www.brazilshipyard.org,2024-09-23,,,,,,,,,
南方造船,2023,12,中国,广西省,新接订单2艘,国内船东,1,中国船舶工业信息网,http://www.ethermarine.cn,2024-09-23,,,,,,,,,
阿布扎比石油公司舰队,2023,12,阿联酋,阿布扎比,新接订单10艘,国际船东,5,阿联酋海事局,http://www.adports.ae,2024-09-23,,,,,,,,,
上海外高桥造船,2023,11,中国,上海市,新接订单12艘,国际船东,7,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
威海华东船舶,2024,1,中国,山东省,新接订单9艘,国内船东,6,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
诺德船舶重工,2023,12,挪威,特隆赫姆,新接订单4艘,国际船东,1,挪威海运协会,https://www.sjofartsdir.no,2024-09-23,,,,,,,,,
巴西圣保罗船舶厂,2023,10,巴西,圣保罗,新接订单3艘,国际船东,4,巴西国家航运局,http://www.antt.gov.br,2024-09-23,,,,,,,,,
德国波鸿船舶,2024,2,德国,北莱茵-威斯特法伦,新接订单11艘,国际船东,8,德国船舶工业协会,https://www.vdr.de/,2024-09-23,,,,,,,,,
中国船舶重工集团,2023,11,中国,江苏省,新接订单15艘,国内船东,10,中国船舶工业行业协会,http://www.csic.com.cn/,2024-09-23,,,,,,,,,
日本川崎重工,2023,12,日本,兵库县,新接订单5艘,国际船东,3,日本船舶工业协会,https://www.khi.co.jp/en/,2024-09-23,,,,,,,,,
新加坡胜科造船,2024,1,新加坡,滨海湾,新接订单7艘,国际船东,5,新加坡海运协会,https://www.singaporeportauthority.com/,2024-09-23,,,,,,,,,
西班牙巴伦西亚船厂,2023,9,西班牙,巴伦西亚,新接订单6艘,国内船东,4,西班牙航运业协会,https://www.convencionmaritima.com/,2024-09-23,,,,,,,,,
印度船舶制造公司,2024,2,印度,孟买,新接订单10艘,国际船东,7,印度政府航运部,https://www.dgshipping.gov.in/,2024-09-23,,,,,,,,,
福建省造船厂,2023,11,中国,福建省,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.china.mot.gov.cn,2024-09-23,,,,,,,,,
广船国际,2023,11,中国,广东省,新接订单15艘,国际船东,10,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,10,阿联酋,阿布扎比,新接订单20艘,国际船东,8,MarineLink,https://www.marinelink.com,2024-09-23,,,,,,,,,
越南造船,2023,10,越南,河内,新接订单7艘,国际船东,4,VietShip,https://www.vietship.com.vn,2024-09-23,,,,,,,,,
新加坡船厂,2023,9,新加坡,新加坡,新接订单9艘,国际船东,3,Seatrade Maritime,https://www.seatrade-maritime.com,2024-09-23,,,,,,,,,
挪威海事,2023,9,挪威,卑尔根,新接订单4艘,国际船东,2,Norwegian Shipowners Association,https://www.rederi.no,2024-09-23,,,,,,,,,
巴西造船,2023,8,巴西,里约热内卢,新接订单5艘,国内船东,3,巴西海事局,http://www.anp.gov.br,2024-09-23,,,,,,,,,
土耳其船厂,2023,8,土耳其,伊斯坦布尔,新接订单11艘,国际船东,7,MarineLink,https://www.marinelink.com,2024-09-23,,,,,,,,,
俄罗斯海洋工程,2023,7,俄罗斯,圣彼得堡,新接订单3艘,国内船东,1,造船与海洋工程杂志,http://www.shipbuilding.ru,2024-09-23,,,,,,,,,
南非船舶制造,2023,7,南非,开普敦,新接订单6艘,国际船东,3,南非海员协会,http://www.samsa.org.za,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.csic.com/,2024-09-23,,,,,,,,,
威海国际船舶,2023,11,中国,山东省,新接订单9艘,国内船东,7,中国船舶机械行业协会,http://www.cmeia.org/,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单15艘,国际船东,8,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
日本船舶三井造船,2023,12,日本,横滨,新接订单4艘,国内船东,3,海事新闻,https://www.maritimejournal.com/,2024-09-23,,,,,,,,,
