技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
深海探测机器人,海洋工程,实验阶段,中国深海科学与工程研究所,https://www.dsse.ac.cn/,2024-09-23,,,,,,,,,,,,,,
多功能海洋平台技术,海洋建筑,已实现产业化,南方科技大学,https://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能源收集系统,可再生能源,研发阶段,浙江大学,https://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下通信网络技术,通信技术,实验阶段,北京邮电大学,https://www.bupt.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋二氧化碳捕集技术,碳管理,已实现产业化,上海交通大学,https://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
人工智能海洋监管系统,智能技术,研发阶段,武汉大学,https://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料,水处理,已实现产业化,清华大学,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
微藻生物制药技术,生物医药,实验阶段,厦门大学,https://www.xmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料污染清理技术,环境科技,已实现产业化,国际海洋清理组织,https://www.oceancleanup.com/,2024-09-23,,,,,,,,,,,,,,
海洋能量转化系统,可再生能源,研发阶段,麻省理工学院,https://www.mit.edu/,2024-09-23,,,,,,,,,,,,,,
深海环境监测技术,监测与探测,实验阶段,中国海洋大学,https://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,自动化技术,已实现产业化,波士顿动力,https://www.bostondynamics.com/,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,技术推广中,世界自然基金会,https://www.worldwildlife.org/,2024-09-23,,,,,,,,,,,,,,
海水淡化新工艺,水处理技术,已实现产业化,以色列水务部,https://www.water.gov.il/,2024-09-23,,,,,,,,,,,,,,
海洋监测卫星系统,空间科技,研发阶段,欧洲空间局,https://www.esa.int/,2024-09-23,,,,,,,,,,,,,,
近海养殖智能管理系统,农业科技,技术推广中,上海海洋大学,https://www.shou.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候变化评估工具,气候研究,实验阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
生物海水净化技术,水处理技术,已实现产业化,清华大学,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海可再生能源开发技术,能源技术,研发阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态环境,已实现产业化,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,信息技术,实验阶段,北京大学,https://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物医药研发,生物医学,临床试验阶段,华大基因,https://www.genomics.cn/,2024-09-23,,,,,,,,,,,,,,
海洋碳捕获技术,环境技术,已实现产业化,清华大学,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,材料科技,研发阶段,中国科学技术大学,http://www.ustc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋盐水淡化技术,水处理技术,实验阶段,深圳大学,http://www.szu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量转换系统,能量技术,研发阶段,中南大学,http://www.csu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋水质监测技术,环境监测,已实现产业化,广东省环境保护厅,http://epd.gd.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人技术,机器人技术,研发阶段,哈尔滨工业大学,http://www.hit.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境保护,已实现产业化,上海交通大学,https://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿物资源开发技术,海洋资源,研发阶段,中国地质调查局,http://www.cghr.org.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,实验阶段,中山大学,https://www.sysu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能浮标技术,海洋监测,已实现产业化,清华大学,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋风能发电技术,可再生能源,示范阶段,华北电力大学,http://www.ncepu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,环境修复,研发阶段,南方科技大学,https://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,智能制造,已实现产业化,浙江大学,https://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物浮选技术,矿物处理,实验阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋监测数据分析平台,数据科学,研发阶段,武汉大学,https://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候变化预测模型,气候科学,示范阶段,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋数据分析平台,数据科学,已实现产业化,中国科学院海洋研究所,https://www.iapcm.org.cn,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,智能机器人,研发阶段,中海油,https://www.cnooc.com.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,实验阶段,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋栖息地恢复技术,生态修复,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源采集技术,能源科技,市场推广阶段,深圳海洋电力有限公司,https://www.szmoceanpower.com,2024-09-23,,,,,,,,,,,,,,
水下无人机技术,无人机,研发阶段,华南理工大学,https://www.scut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化模型,气候科学,已实现产业化,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,市场推广阶段,深圳市水务集团,http://www.szwater.com,2024-09-23,,,,,,,,,,,,,,
海洋采矿技术,矿业技术,实验阶段,中国矿业大学,http://www.cumtb.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工珊瑚礁结构,生态工程,研发阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生态监测,已实现产业化,国际海洋生物研究中心,http://www.oceanbio.org,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,推广阶段,清华大学水利学院,http://www.thuwater.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋机器人,无人系统,研发阶段,华南理工大学,http://www.scut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能源转化技术,可再生能源,实验阶段,厦门大学,http://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,矿业工程,研发阶段,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋环境保护监测系统,环境技术,已实现产业化,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
基于区块链的海洋资源管理技术,信息技术,实验阶段,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微塑料检测技术,污染监测,推广阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
渔业可持续发展技术,渔业科技,已实现产业化,中国水产科学院,http://www.caf.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋酸化监测技术,气候研究,研发阶段,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境科技,研发阶段,深圳科技大学,https://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料,水资源工程,实验阶段,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋监测系统,智能科技,已实现产业化,中科院信息工程研究所,http://www.ieeec.org.cn,2024-09-23,,,,,,,,,,,,,,
温室气体监测技术,气候科学,正在推广,国家气候中心,http://www.ncc-cma.net,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态技术,研发阶段,北京大学环境科学与工程学院,https://www.bjfu.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下无人机技术,海洋工程,已实现产业化,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源系统,能源技术,示范阶段,东北大学,https://www.neu.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海探测技术,探测技术,研发阶段,武汉大学,https://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态技术,正在推广,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候预测模型,气候科学,实验阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收新技术,环保技术,原型测试阶段,深圳海洋研究院,http://www.shenzhen-ocean.org,2024-09-23,,,,,,,,,,,,,,
水下智能传感器,传感技术,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,工程技术,研发阶段,中科院深海研究所,http://www.sio.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测系统,气象技术,商业化应用阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
藻类生物修复技术,生态工程,实验阶段,厦门大学,http://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,已实现产业化,清华大学可再生能源中心,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
区块链供应链追溯技术,信息技术,市场推广阶段,北京大学信息科学技术学院,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下建筑材料技术,材料科学,研发阶段,辽宁工程科技大学,http://www.UESTL.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋监测系统,人工智能,已实现产业化,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生物保护,市场应用阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋深层水养殖技术,海洋农业,已实现产业化,深圳大学海洋研究所,https://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智慧海洋管理系统,信息技术,已实现产业化,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研发,生物医药,研发阶段,广州药科大学,https://www.gzmc.edu.cn,2024-09-23,,,,,,,,,,,,,,
透明海洋监测平台,环境监测,实验阶段,华南理工大学,https://www.scut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态智能修复技术,生态工程,研发阶段,中国科学技术大学,https://www.ustc.edu.cn,2024-09-23,,,,,,,,,,,,,,
基于AR的海洋教育平台,教育技术,实验阶段,北京师范大学,http://www.bnu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋碳捕集与储存技术,能源技术,研发阶段,中国石油大学,http://www.cup.edu.cn,2024-09-23,,,,,,,,,,,,,,
火星海洋资源探索技术,航天科技,基础研究,中国航天科技集团,http://www.casc.cn,2024-09-23,,,,,,,,,,,,,,
海洋微塑料监测技术,环境保护,已实现产业化,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
混合动力船舶技术,船舶工程,研发阶段,武汉理工大学,http://www.whut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微塑料清理技术,环境保护,已实现产业化,深圳海洋研究所,http://www.senlianhuanbao.com,2024-09-23,,,,,,,,,,,,,,
深海探测无人潜航器,深海探索,研发阶段,国家深海基地,http://www.chinadeepsea.org,2024-09-23,,,,,,,,,,,,,,
海洋酸化监测技术,海洋监测,实验阶段,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源发电,能源技术,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海底矿产资源开发技术,资源开发,进行中,中海油科技公司,http://www.cnooc.com.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能监控系统,智能制造,已实现产业化,深圳技术大学,http://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研发,生物医药,研发阶段,海洋药物研发中心,http://www.marinemedicine.org,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态修复,实验阶段,广州大学,http://www.gzhu.edu.cn,2024-09-23,,,,,,,,,,,,,,
远洋渔业资源可持续利用技术,渔业管理,已实现产业化,中国渔业协会,http://www.cfs.org.cn,2024-09-23,,,,,,,,,,,,,,
智能化海洋船舶导航系统,航运技术,研发阶段,中国船舶重工集团,http://www.csic.com.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物制药,生物技术,已实现产业化,浙江大学,https://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,工程技术,研发阶段,北京航空航天大学,https://www.buaa.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋酸化监测技术,环境监测,实验阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,已实现产业化,中国农业科学院,http://www.caas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋清洁技术,环境保护,技术成熟,清华大学,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋铀提取技术,资源开发,研发阶段,中国科学院,http://www.cas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源,能源技术,已实现产业化,上海交通大学,https://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态保护,实验阶段,华南农业大学,https://www.hunau.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋无人机技术,工程技术,技术成熟,哈尔滨工业大学,https://www.hitu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋数据大数据分析,数据科学,已实现产业化,大连理工大学,https://www.dlut.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,废物管理,已实现产业化,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水资源管理,研发阶段,中科院海洋研究所,http://www.iam.ac.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,物联网应用,已实现产业化,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,,,,
深海矿产勘探技术,资源开发,实验阶段,中国地质大学,http://www.cug.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋监测系统,人工智能,研发阶段,腾讯科技,https://tech.qq.com,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研发,生物医药,已实现产业化,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,自动化,已实现产业化,北京航天科技集团,http://www.spacechina.com,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态修复,实验阶段,生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
气候变化监测系统,气象科技,研发阶段,国家气候中心,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
光合作用增强技术,环境科技,实验阶段,清华大学生命学院,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海自动化探测技术,海洋探测,已实现产业化,北京大学海洋研究所,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测系统,环境监测,研发阶段,中科院生态环境研究中心,http://www.iee.ac.cn,2024-09-23,,,,,,,,,,,,,,
浮体式风能发电技术,可再生能源,实验阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料清理技术,环境工程,已实现产业化,武汉大学水处理研究所,http://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生态保护,研发阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
基于AI的海洋预测系统,数据分析,实验阶段,清华大学人工智能研究院,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能水下无人潜器,自动化,已实现产业化,中科院海洋研究所,http://www.qdio.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋碳汇技术,气候调节,研发阶段,复旦大学环境科学系,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新方法,水处理,实验阶段,浙江大学水利工程研究中心,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
基于区块链的渔业管理系统,信息技术,已实现产业化,哈尔滨工业大学,http://www.hit.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环保技术,已实现产业化,深圳市环境保护研究院,https://www.szep.gov.cn,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开采技术,资源开发,商用化阶段,北京大学海洋研究所,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电系统,能源技术,实验阶段,清华大学水利学院,http://www.thu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋浮游生物监测系统,环境监测,研发阶段,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
一体化海洋温室气体监测技术,气候技术,商用化阶段,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
多功能海洋无人机,无人机技术,已实现产业化,南京理工大学,http://www.njust.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化膜技术,水处理,研发阶段,厦门大学,http://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业监控系统,智能农业,商用化阶段,杭州电子科技大学,http://www.hdu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候建模技术,气候模型,实验阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
微生物降解海洋油污技术,环保技术,已实现产业化,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,废物管理,已实现产业化,香港科技大学,http://www.ust.hk/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,物联网技术,商业推广阶段,国家农业农村部,http://www.moa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化膜技术,水处理,研发阶段,波士顿咨询公司,https://www.bcg.com/,2024-09-23,,,,,,,,,,,,,,
深海探测无人机,航天技术,实验阶段,中国科学院深海研究所,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测系统,环保科技,已实现产业化,清华大学环境学院,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
抗污染海洋涂层技术,材料科学,示范阶段,浙江大学,https://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋供应链管理,物流管理,研发阶段,阿里巴巴,https://www.alibaba.com/,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生态保护,已实现产业化,北京大学环境科学与工程学系,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
基于AI的海洋气象预测系统,人工智能,示范阶段,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候变化适应技术,气候科技,商业推广阶段,联合国环境规划署,https://www.unep.org/,2024-09-23,,,,,,,,,,,,,,
海洋微塑料清理技术,环境修复,已实现产业化,国家海洋局,http://www.nmdis.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,信息技术,研发阶段,深圳科技大学,http://www.sztu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,实验阶段,清华大学,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,机器人技术,已实现产业化,哈工大机器人研究院,http://www.hrbeu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物技术,研发阶段,中国科学院药物研究所,http://www.sioc.ac.cn/,2024-09-23,,,,,,,,,,,,,,
远程海洋数据采集,环境监测,已实现产业化,MIT海洋研究中心,http://www.mit.edu/,2024-09-23,,,,,,,,,,,,,,
人工珊瑚礁制造技术,生态工程,实验阶段,东莞理工学院,http://www.dgut.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋水质监测传感器,仪器设备,研发阶段,中科院物理研究所,http://www.iphy.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新技术,水资源技术,已实现产业化,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋再生能源电池,能源存储,研发阶段,上海交大,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋牧场智能管理系统,智能系统,已实现产业化,深圳海洋研究院,https://www.szmra.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化膜技术,水处理,研发阶段,中国水利部,http://www.mwr.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能捕捞机器人,工程技术,实验阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
新型海洋生物监测器,传感技术,已实现产业化,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
可再生海洋能源,能源技术,研发阶段,中国海洋大学,http://www.oudl.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能水下机器人,人工智能,已实现产业化,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,矿业工程,实验阶段,中国矿业大学,http://www.cumtb.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋废物回收技术,环保技术,已实现产业化,中国科学院生态环境研究中心,http://www.ceh.ac.cn,2024-09-23,,,,,,,,,,,,,,
开放式海洋生物实验室,实验室技术,研发阶段,海洋与极地研究中心,http://www.cmare.gov.cn,2024-09-23,,,,,,,,,,,,,,
无人艇调度系统,海洋交通,实验阶段,深圳大学,http://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境工程,已实现产业化,北京大学,http://www.pku.edu.cn/index.html,2024-09-23,,,,,,,,,,,,,,
海洋数据采集无人机,无人系统,生产阶段,深圳航天科技,http://www.spaceflight.com,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,水下技术,研发阶段,中国科学院海洋研究所,http://www.qdio.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,项目立项,清华大学能源与动力工程系,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海气候监测网络,气象科技,已实现产业化,国家气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能水质监测技术,水质管理,产品上市,上海科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
生态养殖技术,海洋农业,实验阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物制药开发,生物医药,研发阶段,中国医学科学院,http://www.cams.cn,2024-09-23,,,,,,,,,,,,,,
水下无线通讯技术,通讯技术,项目开发,中科院无人系统创新研究院,http://www.ucass.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋机器人协作技术,自动化技术,已实现产业化,哈尔滨工业大学,http://www.hit.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海矿物资源开发技术,深海工程,研发阶段,中科院海洋研究所,http://www.ocean.sicau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新技术,水处理,已实现产业化,深圳水务集团,http://www.szwater.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态监测系统,环境监测,实际应用中,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能渔网技术,渔业科技,示范阶段,华南农业大学,http://www.scau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物医药技术,生物技术,研发阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
生态养殖技术,水产养殖,已实现产业化,中国水产科学院,http://www.cafs.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋环境修复技术,环境修复,已实现产业化,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
可再生海洋能源技术,能源技术,示范阶段,新能源与可再生能源专业协会,http://www.china-nre.org,2024-09-23,,,,,,,,,,,,,,
海洋气候变化研究技术,气候研究,正在开发,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
区块链在海洋贸易中的应用,信息技术,研发阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境保护,已实现产业化,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海矿物开采技术,资源开发,研发阶段,中国地质科学院,http://www.cgs.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋温差发电技术,可再生能源,实验阶段,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
鱼类人工繁育技术,水产养殖,已实现产业化,中国水产科学院,http://www.cafs.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋监测传感器,智能传感,研发阶段,北京大学,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,自动化技术,试验阶段,哈尔滨工业大学,http://www.hit.edu.cn,2024-09-23,,,,,,,,,,,,,,
盐水淡化技术,水处理,已实现产业化,清华大学水利学院,https://www.thu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,研发阶段,中国科学院海洋研究所,http://www.qdio.cas.cn,2024-09-23,,,,,,,,,,,,,,
生态渔业管理系统,信息技术,试验阶段,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能养殖系统,水产智能化,已实现产业化,广东海洋大学,http://www.gdou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微生物基因组测序技术,基因组学,已实现产业化,中科院海洋研究所,http://www.ioz.cas.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,海洋工程,研发阶段,航天科技集团,http://www.spacechina.com/,2024-09-23,,,,,,,,,,,,,,
海洋气候模型预测,气候科学,实验阶段,北京大学气候变化研究中心,http://www.climate.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
微塑料检测技术,环境监测,已实现产业化,清华大学环境学院,http://www.cee.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋鱼类养殖智能系统,水产养殖,推广阶段,中国水产科学研究院,http://www.cafs.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能源转化技术,可再生能源,已实现产业化,上海交通大学能源与动力工程系,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料技术,水处理,研发阶段,浙江大学材料科学与工程学院,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能化海洋监测网络,信息技术,实验阶段,中国海洋大学,http://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋碳捕获与储存技术,环境保护,推广阶段,华东师范大学,http://www.ecnu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物基海洋药物开发,生物技术,研发阶段,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋微塑料过滤技术,环境保护,已实现产业化,中科院海洋研究所,http://www.implasticpollution.org,2024-09-23,,,,,,,,,,,,,,
智能鱼群管理系统,水产养殖,研发阶段,华南农业大学,https://www.scau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量收集系统,可再生能源,实验阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能水质监测平台,传感器技术,已实现产业化,天津理工大学,http://www.tjut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物资源自动识别技术,生物技术,研发阶段,山东大学,http://www.sdu.edu.cn,2024-09-23,,,,,,,,,,,,,,
