时间,国家,地区,装机规模,单位,同比增长率,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2024年,美国,东海岸,20.5,GW,0.3,美国可再生能源协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2023年,日本,北海道,6.2,GW,0.35,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2024年,法国,布列塔尼,8,GW,0.22,法国风能协会,https://reseau-eco.eu/,2024/9/22,,,,,,,,,,,
2023年,西班牙,加利西亚,9,GW,0.12,西班牙可再生能源协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,比利时,-,4,GW,0.28,比利时风能协会,https://www.windtime.be/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,3.5,GW,0.15,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,美国,-,20.5,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,6.8,GW,0.35,丹麦能源局,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,5.5,GW,0.28,西班牙可再生能源协会,https://www.unef.es,2024/9/22,,,,,,,,,,,
2024年,挪威,-,2.9,GW,0.4,挪威水电与风能协会,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,爱尔兰,-,3.6,GW,0.22,爱尔兰风能协会,https://www.irishwind.ie,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,7.4,GW,0.27,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,比利时,-,9.2,GW,0.19,比利时风能协会,https://www.windenergy-belgium.be,2024/9/22,,,,,,,,,,,
2024年,日本,-,1.5,GW,0.33,日本风能协会,https://www.jwpa.go.jp,2024/9/22,,,,,,,,,,,
2024年,巴西,-,2.5,GW,0.15,巴西可再生能源协会,https://www.abeeolica.org.br,2024/9/22,,,,,,,,,,,
2024年,新加坡,-,0.8,GW,0.2,新加坡可再生能源机构,https://www.ema.gov.sg,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,16,GW,0.3,美国海洋能源协会,https://www.usmoea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,12.5,GW,0.2,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.2,GW,0.1,挪威风能协会,https://www.norwegianwindassociation.no,2024/9/22,,,,,,,,,,,
2024年,比利时,-,6,GW,0.3,比利时可再生能源协会,https://www.res-belgium.be,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9.1,GW,0.22,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,法国,-,8.4,GW,0.18,法国能源监管机构,https://www.cre.fr,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5.1,GW,0.15,瑞典气候政策部门,https://www.government.se,2024/9/22,,,,,,,,,,,
2024年,中国,-,39.5,GW,0.062,中国可再生能源学会,http://www.creia.org.cn,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,10,GW,0.3,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,9,GW,0.18,丹麦气候与能源部长会,https://www.energistyrelsen.dk,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.5,GW,0.1,法国生态转型部,https://www.ecologie.gouv.fr,2024/9/22,,,,,,,,,,,
2024年,比利时,-,3.25,GW,0.22,比利时可再生能源协会,http://www.renewables-belgium.be,2024/9/22,,,,,,,,,,,
2024年,美国,东部,25,GW,0.3,美国能源部,https://www.energy.gov/eere/wind/maps/wind-power-2024,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,15.5,GW,0.22,丹麦风能协会,https://fjordkraft.dk/renewables/wind-energy-2024,2024/9/22,,,,,,,,,,,
2024年,美国,-,20.5,GW,0.3,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10,GW,0.22,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2024年,法国,-,8.2,GW,0.18,法国可再生能源协会,https://reseau-idee.fr/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,12.5,GW,0.2,西班牙风力协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,5.6,GW,0.1,挪威风能协会,https://www.norwegiansolar.no/,2024/9/22,,,,,,,,,,,
2022年,美国,-,15.5,GW,0.18,美国可再生能源协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,6.6,GW,0.22,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.2,GW,0.3,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2023年,法国,-,9,GW,0.35,法国可再生能源监管机构,https://www.rte-france.com/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.5,GW,0.28,瑞典能源局,https://www.swedishenergyagency.se/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,2.1,GW,0.2,挪威能源局,https://www.norskpetroleum.no/,2024/9/22,,,,,,,,,,,
2024年,比利时,-,7.3,GW,0.4,比利时风能协会,https://www.windenergy.be/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,4.6,GW,0.15,西班牙可再生能源合作伙伴,https://www.ewea.org/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5,GW,0.1,意大利风能协会,https://www.aneva.it/,2024/9/22,,,,,,,,,,,
2024年,美国,-,30,GW,0.3,国际可再生能源署,https://www.irena.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,16.5,GW,0.28,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,印度,-,10,GW,0.35,印度可再生能源开发局,https://www.nre.gov.in,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,6.2,GW,0.18,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.5,GW,0.22,挪威水资源与能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,7.8,GW,0.16,瑞典能源机构,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,日本,-,9.5,GW,0.4,日本可再生能源协会,https://www.renewable-energy.jp,2024/9/22,,,,,,,,,,,
2024年,法国,-,19.3,GW,0.1,法国可再生能源协会,https://reseau-ral.org,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5,GW,0.2,意大利风能协会,https://www.aneel.it,2024/9/22,,,,,,,,,,,
2024年,加拿大,-,11,GW,0.15,加拿大可再生能源协会,https://www.canwea.ca,2024/9/22,,,,,,,,,,,
2023年,美国,-,28.5,GW,0.3,美国能源信息署,https://www.eia.gov,2024/9/22,,,,,,,,,,,
2024年,法国,-,12,GW,0.22,法国可再生能源协会,https://reseau-energie.com,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,9.2,GW,0.18,丹麦能源局,https://ens.dk,2024/9/22,,,,,,,,,,,
2023年,美国,-,25,GW,0.3,美国可再生能源协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.5,GW,0.2,日本能源委员会,https://www.enecho.meti.go.jp,2024/9/22,,,,,,,,,,,
2023年,法国,-,11.5,GW,0.18,法国可再生能源联合会,https://reseau-ene.ch,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,10.5,GW,0.12,丹麦海洋能源机构,https://www.danishmarineenergy.org,2024/9/22,,,,,,,,,,,
2023年,挪威,-,4,GW,0.28,挪威水电局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,2.8,GW,0.1,瑞典可再生能源协会,https://www.renewablesweden.se,2024/9/22,,,,,,,,,,,
2023年,波兰,-,3,GW,0.15,波兰风能协会,https://www.pwea.pl,2024/9/22,,,,,,,,,,,
2024年,印度,-,2,GW,0.35,印度可再生能源发展局,https://www.godrej.com,2024/9/22,,,,,,,,,,,
2023年,意大利,-,5.2,GW,0.22,意大利电力与天然气监管局,https://www.autorita.energia.it,2024/9/22,,,,,,,,,,,
2023年,韩国,-,6.3,GW,0.19,韩国可再生能源协会,https://www.koreaenergy.or.kr,2024/9/22,,,,,,,,,,,
2024年,美国,-,20.5,GW,0.3,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3,GW,0.35,挪威能源局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,9.1,GW,0.45,丹麦风能协会,https://www.windpower.org/,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.5,GW,0.2,法国可再生能源协会,https://reseau-energies-renouvelables.org/,2024/9/22,,,,,,,,,,,
2024年,日本,-,5,GW,0.15,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4.2,GW,0.12,意大利风能协会,https://www.anev.it/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,7.8,GW,0.3,西班牙可再生能源协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,英国,-,16.5,GW,0.18,英国可再生能源协会,https://www.r-e-a.net/,2024/9/22,,,,,,,,,,,
2024年,中国,-,40,GW,0.12,中国风能协会,http://www.cwea.org.cn/,2024/9/22,,,,,,,,,,,
2024年,印度,-,2.5,GW,0.25,印度可再生能源协会,https://www.ireda.gov.in/,2024/9/22,,,,,,,,,,,
2022年,美国,-,24.5,GW,0.18,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,10.2,GW,0.22,丹麦能源管理署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,挪威,-,5.8,GW,0.35,挪威水资源和能源管理局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,6.4,GW,0.27,西班牙国家电力公司,https://www.redeia.es,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,3.1,GW,0.3,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,法国,-,7.5,GW,0.23,法国可再生能源协会,https://reseau.renouvelables.org,2024/9/22,,,,,,,,,,,
2023年,日本,-,2.9,GW,0.15,日本可再生能源机构,https://www.renw.co.jp,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4.7,GW,0.25,意大利国家能源管理局,https://www.gse.it,2024/9/22,,,,,,,,,,,
2022年,印度,-,1.5,GW,0.1,印度可再生能源部,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2022年,美国,-,40.5,GW,0.18,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,16.5,GW,0.12,丹麦能源局,https://ens.dk/,2024/9/22,,,,,,,,,,,
2023年,日本,-,11.2,GW,0.3,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2021年,瑞典,-,3.8,GW,0.22,瑞典能源局,https://energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,10.1,GW,0.28,西班牙风能协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2023年,法国,-,8.5,GW,0.2,法国可再生能源协会,https://reseau-eneores.com/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,6.3,GW,0.15,意大利风能协会,https://www.winditaly.it/,2024/9/22,,,,,,,,,,,
2022年,比利时,-,3.4,GW,0.1,比利时风能协会,https://www.belgianwindenergy.org/,2024/9/22,,,,,,,,,,,
2024年,巴西,-,5,GW,0.29,巴西可再生能源协会,https://abeeolica.org.br/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,4.2,GW,0.18,挪威能源局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2022年,美国,-,20.5,GW,0.18,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,9.2,GW,0.3,丹麦能源局,https://ens.dk,2024/9/22,,,,,,,,,,,
2021年,法国,-,8.4,GW,0.22,RTE法国电网,https://www.rte-france.com,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.5,GW,0.1,日本可再生能源协会,http://japanrenewableenergy.org,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,7.6,GW,0.28,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,挪威,-,3.1,GW,0.15,挪威水电局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2021年,比利时,-,5.6,GW,0.2,比利时能源局,https://www.cmax.be,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,4.9,GW,0.12,西班牙可再生能源协会,https://www.aerr.org,2024/9/22,,,,,,,,,,,
2023年,意大利,-,6.7,GW,0.17,意大利能源部,https://www.mise.gov.it,2024/9/22,,,,,,,,,,,
2021年,加拿大,-,2.3,GW,0.09,加拿大可再生能源协会,https://renewables.ca,2024/9/22,,,,,,,,,,,
2024年,挪威,-,5.2,GW,0.3,国际可再生能源机构,https://www.irena.org/,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,12.5,GW,0.18,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,3.6,GW,0.22,欧洲风能协会,https://www.ewea.org/,2024/9/22,,,,,,,,,,,
