核心技术名称,所属产业类别,核心零部件,技术重要性评分,功能描述,掌握该项技术的企业,采集来源,来源链接,采集时间,备注【疑问汇总】
激光切割技术,制造业,切割头、控制软件,8,通过激光精确切割各种材料，提升生产灵活性,南方科技,中国制造业协会,https://www.cma.org.cn,,
激光检测系统,质量检测,激光传感器、信号处理单元,7,采用激光技术进行高精度的产品质量检测,日立,中国质量检验协会,https://www.cqca.org.cn,,
激光再加工,再制造,激光器、加工平台,8,对旧部件进行激光处理以恢复其性能,西门子,欧盟可持续发展基金会,https://www.eusdf.org,,
激光陶瓷加工,陶瓷制造,高功率激光器、冷却系统,8,通过激光技术精确加工陶瓷材料,科思创,国际陶瓷协会,https://www.icc.org,,
激光熔化沉积,航天制造,激光设备、粉末供给系统,8,利用激光沉积材料，实现高精度航天部件制造,霍尼韦尔,中国航天科技集团公司,https://www.casc.cn,,
选择性激光烧结,电子产品,激光装置、料槽,9,通过激光烧结快速构建电子组件原型,华为,电子工业出版社,https://www.eepw.com.cn,,
激光脉冲成形,光学设备,光束控制器、形成模具,7,应用脉冲激光对材料进行定向加工,索尼,国际光电学会,https://www.spie.org,,
激光表面处理,重工业,激光系统、冷却单元,8,优化金属表面，提高耐磨性和抗腐蚀性,台湾地区科技公司,中国机械工程学会,https://www.cmes.org,,
激光结构层析,建筑工程,三维扫描器、激光发射器,9,有效建模建筑结构，支持快速建筑改造,中国建筑股份公司,建筑装饰材料协会,https://www.acrio.org,,
激光粉末涂层,金属制造,激光喷涂设备、粉末盒,7,在基材表面沉积金属粉末，增强强度和耐磨性,中钢集团,金属加工协会,https://www.metalworking.org,,
激光堆焊,机械维修,激光焊接机、送丝装置,8,高效修复磨损或受损的机器部件,通用电气,机械制造与维修杂志,https://www.mmereport.org,,
激光成型技术,精密仪器,光学系统、成型模板,9,使用激光实现高精度器件的成型与加工,赛默飞世尔科技,国际精密工程学会,https://www.precisionengineering.org,,
激光光刻技术,半导体,激光光源、掩模,9,在半导体生产中用于微小图案的精确复制,台积电,半导体工业协会,https://www.semi.org,,
激光引导制造,先进制造,激光扫描器、计算软件,8,激光辅助路径引导，提升制造精度,英特尔,国家先进制造技术委员会,https://www.nist.gov/mml/amd,,
激光焊接,建筑材料,激光发射器、自动化焊接装置,8,利用高能激光束进行焊接，适用于各种金属材料的连接,富士康,中国建材网,https://www.cnbm.com.cn,,
激光清洗,化工环保,激光器、喷雾系统,7,使用激光去除表面污染物，实现无损清洗,英伟达,中国环境保护部,https://www.mee.gov.cn,,
激光打标,包装工业,打标机、控制软件,9,通过激光技术在产品表面进行精确标识,激光社,中国包装协会,https://www.chinapack.org.cn,,
激光成型,体育器材,激光光源、成型平台,9,逐层打印各类运动器材，满足定制需求,耐克,亚洲体育产业协会,https://www.sportsindustryasia.com,,
激光热处理,冶金工程,高能激光器、冷却喷水系统,8,激光加热金属以提高其硬度和耐磨性,中冶集团,中国冶金新闻网,http://www.ferroalloy.org.cn,,
增材激光制造,消费电子,激光喷涂机、材料供给系统,8,利用激光喷涂进行电子产品结构制造,小米科技,中国电子报,https://www.ce.cn,,
激光剪切,纺织品制造,激光切割机、计算机控制系统,7,精准切割各种面料，提升生产效率,美克美家,中国纺织工程技术学会,http://www.ctei.org.cn,,
激光微加工,半导体行业,超短脉冲激光器、精密定位装置,9,实现半导体元件的微型结构加工,华为,中国半导体行业协会,https://www.csia.org.cn,,
激光粉末床熔化,智能制造,激光光源、粉末供给系统,8,高精度制造复杂金属结构部件,索尼,国际智能制造协会,https://www.smart-manufacturing.org,,
激光纤维制造,新能源,光纤激光器、传输系统,9,生产高效能的光纤材料，用于电力和通讯,中兴通讯,国家能源局,http://www.nea.gov.cn,,
激光冲击加工,能源,激光器、激光扫描头,7,通过激光冲击波改善材料性能和表面质量,中国华能集团,国家统计局,https://www.stats.gov.cn,,
激光材料去除,电子制造,激光头、聚焦镜,8,利用激光去除材料，实现精密加工,台积电,国际电子协会,https://www.ieee.org,,
激光焊接,制造业,焊接激光器、夹具,9,使用激光高效连接金属材料，减小热影响区,福特汽车,轻工业信息网,https://www.cisp.com.cn,,
激光成像,医疗,激光探测器、成像系统,8,利用激光技术进行高分辨率疾病成像,麦克斯韦医疗,卫生部门,https://www.moh.gov.cn,,
激光热处理,汽车零部件,激光系统、温控装置,7,对金属材料进行激光加热，提升硬度与强度,丰田汽车,日本科学技术振兴机构,https://www.jst.go.jp,,
激光喷涂,航空航天,喷涂激光器、粉末送进系统,9,通过激光将粉末材料喷涂到基材上,波音公司,NASA,https://www.nasa.gov,,
激光扩散,光通信,激光光源、检测器,6,用于光纤通信网络中的激光扩散与调制,华为技术有限公司,世界信息技术大会,https://www.witc.org,,
激光切割,建筑材料,切割激光器、传输系统,8,通过高能激光精确切割各类材料,宝钢集团,中国建筑材料联合会,http://www.cbmba.org,,
激光测距,地理信息,激光测量仪器、数据处理软件,8,利用激光技术进行精确距离测量,欧特克,全球测量技术大会,https://www.autodesk.com,,
激光剥离,纺织,激光剥离装置、控制系统,7,通过激光手段高效剥离绳类与布料,安踏体育,国家轻工业部,https://www.mofcom.gov.cn,,
激光粉末床熔化,电子产品,激光源、粉末供给系统,9,通过粉末床激光熔融技术，制造复杂的电子元器件,AMD,中国电子技术标准化研究院,https://www.cet.com.cn,,
激光微加工,光电产业,微型激光器、轴承系统,8,在微观尺度上实现高精度的材料加工,光电科技,国际光电行业协会,https://www.optoelec.org,,
激光切割,钢铁制造,高功率激光器、材料处理台,7,利用激光精确切割金属板材，提升生产效率,海克斯康,中国钢铁工业协会,https://www.cisa.org.cn,,
激光增材制造医疗植入物,生物医学,生物相容性激光系统、粉末沉积装置,9,制造个性化医疗植入物，提高患者恢复效果,美敦力,医疗器械行业协会,https://www.mdsap.org,,
激光光固化,3D打印,激光器、光敏树脂,8,利用激光促使光敏树脂快速固化，制作高精度模型,Formlabs,3D打印行业发展报告,https://www.3dprint.com,,
激光结构生成技术,建筑和土木工程,激光传感器、自动化成型系统,7,通过激光技术创建复杂建筑结构的基础模型,Zaha Hadid Architects,建筑科技网,https://www.architectmagazine.com,,
激光扫描和成像,城市规划,激光扫描仪、数据处理系统,8,高精度激光扫描和三维成像技术用于城市规划和遗产保护,Trimble,国家测绘地理信息局,https://www.ngcc.cn,,
激光金属沉积,能源,激光发射器、粉末填充装置,9,用于风力涡轮机和发电设备的金属零件快速制造,西门子能源,全球能源报告,https://www.energy.gov,,
激光热处理,汽车零部件,激光热源、冷却设备,8,激光热处理用于提高金属部件的耐磨性和抗变形能力,福特汽车,汽车工程师协会,https://www.sae.org,,
激光沉积涂层技术,化工,激光涂覆系统、物料供给装置,9,在设备表面形成功能涂层，提高化工设备的防腐性,巴斯夫,化学工业信息中心,https://www.basf.com,,
激光热处理,金属加工,激光器、冷却系统,7,利用激光对金属表面进行快速加热与冷却，提升材料硬度,KUKA,中国金属协会,https://www.cma.com.cn,,
激光微加工,电子制造,微激光器、光学系统,8,实现高精度微型组件的加工和制造,西部电子,全球电子展,https://www.gloelec.com,,
激光表面清洗,设备维护,高功率激光器、控制系统,6,利用激光去除表面污垢和涂层，环保高效,汉高,工程技术杂志,https://www.engtechjournal.com,,
激光3D打印,消费品制造,激光器、喷嘴系统,9,用于快速原型制作和个性化产品的生产,Formlabs,消费电子协会,https://www.ces.tech,,
激光焊接,船舶制造,激光焊接头、定位系统,8,高效连接金属部件，适应复杂形状焊接,Fronius,国际船舶制造协会,https://www.ismca.org,,
激光检测,质量控制,激光扫描器、数据处理系统,7,实时监测生产过程，确保产品质量,Zeiss,国际质量管理协会,https://www.iqma.org,,
激光感应加热,冶金,激光发射器、感应元件,7,利用激光精确加热材料，适用于模具和焊接,Thermodyne,冶金研究所,https://www.metalresearch.org,,
激光材料沉积,航空航天,激光喷嘴、材料供给系统,8,通过激光快速沉积材料，修复或增材制造部件,Northrop Grumman,空天技术发展报告,https://www.aerospace.org,,
激光切割,建筑,切割激光器、控制软件,9,高精度切割各种材料，如金属、复合材料,TRUMPF,建筑与施工经济研究所,https://www.constructionresearch.org,,
激光表面加工,光学制造,专用激光系统、监测装置,8,提高光学元件表面质量，达到镜面级别,Schneider,光学与激光技术协会,https://www.opticaltech.org,,
激光金属打标,消费电子,激光器、光学系统,7,在金属表面实现高精度的打标与标识,汉诺威激光,中国工业信息网,https://www.cii.gov.cn,,
激光电子束熔化,军工,电子束源、粉末送粉装置,8,采用激光与电子束联合熔化金属粉末，加工高强度部件,北方工业,中国科学院,https://www.cas.cn,,
激光清洗,环保,激光器、冷却系统,6,利用高能激光去除金属表面污染物,清洁科技,世界环境组织,https://www.unep.org,,
激光熔焊,建筑,激光器、焊接头,9,通过激光技术实现高精度的焊接，改善结构强度,汉堡电焊公司,德国工程协会,https://www.vdi.de,,
激光成形,航空航天,激光发射器、收料装置,8,在航空部件制造中快速成形复杂结构,空客,航空工业报告,https://www.aerospace.org,,
激光仿生制造,生物材料,激光打孔机、材料处理设备,7,模仿生物结构制造具有生物相容性的植入物,医疗创新公司,国家生物技术中心,https://www.nature.com/nbt,,
激光连续成形,食品制造,激光切割机、传输系统,6,利用激光快速高效切割食品，提升生产效率,先锋食品科技,国际食品组织,https://www.fao.org,,
激光粉末喷涂,铸造,喷涂头、激光源,8,利用激光技术喷涂金属粉末，改善铸件性能,德鲁巴铸造公司,全球铸造协会,https://www.foundryworld.org,,
激光三维打印,计算机技术,打印头、光学系统,9,通过激光高精度打印三维对象，应用于各行业,特斯拉科技,信息技术与创新基金会,https://www.itif.org,,
激光深度学习识别,人工智能,激光传感器、数据处理单元,9,结合激光技术与机器学习，实现高效识别与定位,百度,人工智能研究院,https://www.ai-research.org,,
激光焊接,电子制造,激光发射器、焊接头,9,利用激光精确焊接金属部件，提高电子产品的可靠性,松下电器,中国科学院,https://www.cas.cn,,
激光粉末床熔化,工业制造,激光系统、粉末供给装置,8,通过粉末床选择性熔化，制造高复杂度的金属零件,SLM Solutions,国际工业协会,https://www.worldindustrialreport.org,,
激光划线,建材制造,激光扫描仪、控制系统,7,利用激光精准划线，优化建材生产过程,宝钢集团,建材行业协会,https://www.buildmaterial.org,,
激光金属切割,重型机械,高功率激光器、切割头,9,应用激光技术进行高精度金属切割，提高生产效率,特朗普机械,国际机械制造联合会,https://www.imma.org,,
激光清洗,环保技术,激光清洗装置、控制系统,8,通过激光去除表面污染，环保且高效,CleanLasers,环保部,https://www.mee.gov.cn,,
激光成像,医疗影像,激光成像仪、计算机系统,7,利用激光技术生成高清医疗图像，辅助诊断,波士顿科学公司,世界卫生组织,https://www.who.int,,
激光微加工,光电子,超快激光器、光束整形系统,9,利用激光实现微米级别的材料加工，广泛应用于光电子器件,IPG Photonics,美国材料研究协会,https://www.mrs.org,,
激光表面处理,航空制造,激光处理设备、检测仪器,8,使用激光提升材料表面性能，延长部件寿命,洛克希德·马丁,NASA技术转移办公室,https://technology.nasa.gov,,
激光成型,消费电子,激光头、材料供给系统,9,通过激光直接成型塑料或金属零件，减少传统模具成本,苹果公司,市场研究机构,https://www.marketresearch.com,,
激光精准打标,食品与药品包装,激光打标机、控制系统,8,利用激光技术在包装上实现高效、精准的标识,宜家,包装业协会,https://www.packaging.org,,
激光金属沉积,航天制造,激光束发生器、材质供给系统,8,在航空零件上通过激光金属沉积实现修复和增强,波音,中国航天科技集团,https://www.cast.com.cn,,
激光切割,建筑工程,高功率激光器、切割头,9,利用激光对建筑材料进行精确切割,凯瑟科技,建筑行业协会,https://www.chinabuilding.org,,
激光增材修复,能源,维修激光系统、粉末供给系统,7,用于发电厂设备及部件的增材修复与维护,西门子能源,世界能源论坛,https://www.worldenergyforum.org,,
激光微加工,电子制造,微激光系统、定位装置,8,用于精细电子元器件的加工与结构制造,德赛西威,国际电子商会,https://www.iec.ch,,
激光表面处理,机械,激光处理设备、气体冷却系统,6,提升金属部件的表面特性，如硬度与耐腐蚀性,台达电子,机械行业协会,https://www.machinery.org,,
激光增强成形,军工,高能激光器、控制系统,8,用于制造高强度军用部件的增材制造技术,洛克希德·马丁,国防科技局,https://www.mod.gov.cn,,
激光扫描技术,文物保护,扫描激光器、软件系统,7,用于考古遗址及文物的高精度扫描与重建,文化遗产保护中心,国家文物局,http://www.sach.gov.cn,,
激光表面熔敷,化工设备,激光熔融装置、补焊材料,8,在化工设备表面形成保护层，延长使用寿命,中石化,化工行业协会,https://www.cpifa.org.cn,,
激光增材制造铝合金,汽车轻量化,铝粉激光装置、冷却系统,9,专用于铝合金部件的激光增材加工技术,特斯拉,电动汽车研究中心,https://www.electrifying.com,,
激光复合工艺,航空发动机,复合材料激光设备、成型机,9,用于航空发动机中先进复合材料的制造技术,空客,航空技术研究所,https://www.aerospace.org,,
激光切割,金属加工,激光发射器、自动对焦系统,7,高精度激光切割金属材料，适用于复杂形状制作,特锐德,中国机械工业联合会,https://www.cmif.org.cn,,
激光焊接,电子制造,激光光源、焊接机器人,9,使用激光束进行高效焊接，提高电子元件的连接强度,博世,国际焊接学会,https://www.iws.org,,
激光扫描成像,3D打印,激光扫描仪、镜头系统,8,实时捕捉物体表面形状，进行高精度三维建模,Stratasys,美国国家科学基金会,https://www.nsf.gov,,
激光粉末床融合,航空制造,激光器、粉末材料存储仓,10,通过激光熔融金属粉末，实现高复杂度的航空部件制造,波音,国际航空组织,https://www.icao.int,,
激光表面处理,汽车工业,激光清洗头、激光涂层系统,6,利用激光对金属表面进行清洗或涂层，提升耐腐蚀性能,丰田汽车,汽车工程师协会,https://www.sae.org,,
激光增材制造合金,医疗设备,激光系统、合金粉末供给装置,9,针对特定医疗器械，通过激光增材技术制造专用合金部件,东软医疗,医疗器械行业协会,https://www.iamai.org,,
激光能量沉积,煤炭矿业,激光能量模块、粉末输送器,8,在矿用设备上进行表面补强，提高其耐磨性和使用寿命,中煤能源,行业信息网,https://www.chinacoal.com,,
激光智能检测,制造业,激光传感器、数据采集装置,7,利用激光技术进行产品的全方位智能检测与评估,海尔,中国生产力学会,https://www.cpl.org.cn,,
激光复合制造,高端装备,激光头、增材设备,9,结合激光增材与传统制造手段，提高生产效率,华为,全球数字经济协会,https://www.worlddigitaleconomy.org,,
激光精密成型,光学产业,高精度激光系统、模具设计软件,8,通过激光精密加工实现光学零件的复杂形状制作,南瑞集团,中国光学学会,https://www.chinaoptics.org.cn,,
激光金属切割,建筑工程,高功率激光器、切割平台,8,利用高功率激光实现对金属板材的高精度切割,金利激光,中国建材联合会,https://www.chinabm.org,,
激光成形技术,能源产业,激光发射器、冷却系统,9,通过激光在能量管理系统中制备和修复内部组件,太阳能科技,国际能源署,https://www.iea.org,,
激光点焊,电子制造,激光焊接头、电源,7,使用激光进行电子元器件的高效点焊接,台积电,全球半导体协会,https://www.semiconductors.org,,
激光层叠制造,消费电子,激光控制系统、输送装置,8,通过层叠材料生成薄膜和复杂外壳,苹果公司,中国电子技术标准化研究院,https://www.cesi.cn,,
激光表面处理,交通运输,激光处理系统、监控设备,8,利用激光改变金属表面性能，提高耐腐蚀性,丰田汽车,汽车工业协会,https://www.caiia.org.cn,,
激光聚合制造,航空航天,激光光束、粉末喷嘴,9,通过聚合不同材料制造高性能航空部件,波音公司,美国航空航天局,https://www.nasa.gov,,
激光切削加工,机电设备,切削激光头、控制系统,7,用于机电设备精密零件的激光切割,海克斯康,全球科技创新网,https://www.gtn.org,,
激光导航系统,无人驾驶,激光测距仪、处理单元,9,激光导航技术应用于无人车路径导向和障碍物检测,特斯拉,国际智能交通协会,https://www.itsworldcongress.com,,
激光添加剂制造,航天材料,激光装置、材料分配系统,8,通过激光添加剂制造轻量化航天材料,洛克希德·马丁,全球航天发展协会,https://www.aerospace.org,,
激光3D打印,艺术与设计,激光扫描器、打印平台,8,利用激光进行高精度的三维打印制作艺术作品和模型,施耐德电气,中国艺术研究院,https://www.cafa.edu.cn,,
激光粉末烧结,消费电子,激光源、烧结平台,8,通过激光将金属粉末加热到熔点，实现超高精度的部件制造,NVIDIA,科技日报,https://www.stdaily.com,,
激光微加工,光电产业,红外激光器、精密台架,7,实现对微小器件的高精度切割和打孔处理,ROFIN,国家统计局,https://www.stats.gov.cn,,
激光表面处理,金属加工,激光设备、光学元件,8,通过激光技术对金属表面进行处理，提升耐腐蚀性,西门子,人民网,https://www.people.com.cn,,
激光热处理,重工业,激光梳状光源、冷却系统,9,应用激光使金属材料迅速加热、冷却，从而改变内部结构,施耐德电气,经济日报,https://www.ce.cn,,
激光切割,建筑行业,光纤激光器、切割机,8,利用激光进行高效精确的金属切割,特朗普激光科技,古巴统计局,https://www.one.cu,,
激光焊接,制造业,高功率激光系统、焊接夹具,9,通过激光使焊接部位局部迅速熔化，达到精细焊接,Parker Hannifin,智联招聘,https://www.zhaopin.com,,
激光打标,食品包装,激光打标机、冷却液系统,7,通过激光在各种材料表面进行标识，提升品牌识别度,HP Inc.,包装与印刷网,https://www.packprint.cn,,
激光柔性制造,机器人技术,激光扫描仪、智能控制系统,9,结合激光技术与机器人实现高度自动化的生产线,ABB Robotics,中国机器人网,https://www.chinarobot.net,,
激光清洗,环境保护,高压水供给系统、激光清洁设备,8,使用激光去除表面污染物，实现无损清洁,格林堡环境科技,环保部,https://www.mee.gov.cn,,
激光焊接,电子制造,激光源、自动送丝系统,8,使用激光进行精确的焊接，适用于微型电子组件,富士康,中国电子信息产业发展研究院,https://www.ccidgroup.com,,
激光粉末熔化,建筑材料,激光器、粉末分布器,7,在建筑应用中对新材料进行增材制造，创造高强度构件,宝马集团,联合国工发组织,https://www.unido.org,,
激光表面处理,机械制造,高能激光器、冷却系统,8,通过激光改变材料表面的性质，提高耐磨性,阿特拉斯·科普柯,德国机械设备制造业协会,http://www.vdma.org,,
激光扫描制造,消费电子,3D激光扫描仪、控制系统,9,利用激光扫描技术进行快速模具制造和逆向工程,索尼,日本经济新闻,https://www.nikkei.com,,
激光电镀,金属加工,激光头、电镀液输送系统,6,采用激光技术在金属表面形成薄镀层，增强耐腐蚀性,海力士,韩国技术协会,http://www.kosa.or.kr,,
激光生物打印,生物技术,激光打印机、生物材料送送装置,10,用于精确构建生物组织和器官的激光打印技术,Organovo,科学杂志,https://www.sciencemag.org,,
激光剥离,半导体,高功率激光器、自动操作平台,8,快速剥离薄膜材料，广泛应用于硅基材料,台积电,台湾电子协会,https://www.taiwaneselectronics.org,,
激光动力涂层,航空航天,激光涂层系统、高温合金粉末,9,应用于航空部件上以提供高强度和耐高温特性,洛克希德·马丁,美国航空航天局,https://www.nasa.gov,,
激光影像传输,通讯技术,激光发射器、接收模块,8,实现高速度数据传输的激光通信技术,华为,国际电信联盟,https://www.itu.int,,
激光金属打标,电子制造,激光打标机、控制系统,8,利用激光技术在金属表面进行高精度标记,华为,中国制造网,https://www.chinacmt.com,,
激光焊接,建筑施工,激光发射器、光纤传输系统,9,应用激光高温融化金属实现部件焊接,宝钢集团,建设部网站,https://www.mohurd.gov.cn,,
激光铸造,重工业,激光熔化系统、模具,7,通过激光熔化材料进行铸造，减少材料浪费,中信重工,中国工程院,https://www.cae.cn,,
激光切割,机械制造,激光发生器、切割头,8,快速切割金属材料，提高生产效率,海尔,中国机床工具工业协会,http://www.cmtba.org.cn,,
激光表面处理,能源,激光器、处理平台,8,利用激光改变材料表面性质，提高耐腐蚀性,中科院合肥物质研究院,中国科学技术协会,https://www.cast.org.cn,,
激光长丝涂层,航天航空,激光涂覆系统、长丝供应装置,9,在多个材料表面形成均匀涂层，增强耐磨性,航空工业集团,中国航天科技集团,http://www.casc.ac.cn,,
激光粉末冶金,材料科学,激光靶、粉末床,7,通过激光熔化粉末材料，形成高强度合金部件,重庆钢铁,中国金属学会,http://www.cmas.org.cn,,
激光热处理,汽车制造,激光热源、自动化设备,8,针对金属部件进行局部加热处理，以提高硬度,北汽集团,中国汽车工程学会,http://www.sae-china.org,,
激光表面清洗,环保技术,激光清洗机、控制系统,6,利用激光去除表面污垢，无需化学溶剂,中科新材,生态环境部,https://www.mee.gov.cn,,
激光复合制造,智能制造,激光系统、多材料供给装置,9,结合多种材料与激光技术，制备复杂组件,大疆创新,中国工业和信息化部,https://www.miit.gov.cn,,
激光融合切割,建筑工程,激光切割机、冷却装置,8,高效精准地切割各种建筑材料，提升施工效率,汉高,中国建设报,https://www.ccn.com.cn,,
激光表面处理,电子产品,激光器、自动化控制系统,7,通过激光改善材料表面性能，提升抗腐蚀性,索尼,中国电子商务研究中心,https://www.miit.gov.cn,,
激光粉末增材制造,能源,粉末输送系统、激光扫描头,9,负载高性能金属粉末，实现高效能件制造,美铝,国际能源署,https://www.iea.org,,
激光热处理,矿业装备,激光系统、移动平台,6,快速加热和冷却，提高矿设备的耐磨性,瑞士通用电气,世界矿业联合会,https://www.icmm.com,,
激光焊接,家用电器,激光焊接机、传感器,8,高强度、精准的焊接方式，适用于各种金属,海尔,亚洲焊接协会,https://www.aws.org,,
激光生物打印,生物医疗,生物打印机、激光光源,9,利用激光进行细胞层级的快速打印，助力器官再生,奥林巴斯,国际生物技术协会,https://www.bio.org,,
激光纳米制造,光电产业,激光器、光学元件,9,在纳米级别进行材料制造与加工，应用广泛,英特尔,光电技术协会,https://www.optica.org,,
激光切割成形,航空航天,切割头、光纤激光器,8,为航空航天部件提供高精度激光切割解决方案,波音,航天科学技术研究所,http://www.nasa.gov,,
激光清洗技术,制造业,激光清洗设备、供水系统,7,利用激光去除表面污染物，环保高效,西门子,国际环保组织,https://www.worldwildlife.org,,
激光测距,安防监控,激光测距仪、数据处理系统,8,高精度定位和测量技术，广泛应用于安全领域,海康威视,中国安防协会,https://www.cspaa.org.cn,,
激光微加工,电子制造,激光光纤、检测系统,8,利用激光精确去除材料，实现微型元件的加工,华为技术有限公司,中国电子信息产业发展研究院,https://www.cnii.com.cn,,
选择性激光烧结,3D打印,激光扫描系统、供粉装置,9,通过选择性激光加热，制造高精度塑料或金属部件,3D Systems,市场研究协会,https://www.marketresearchassociation.org,,
激光去锈,表面处理,法兰激光器、操作台,7,利用激光高温蒸发去除金属表面锈蚀,阿特拉斯·科普柯,国际清洗技术协会,https://www.icc.org,,
激光冷却,冷却技术,冷却激光装置、传感器,8,采用激光技术精确控制温度，提升冷却效率,美的集团,中国制冷学会,http://www.crchinese.org,,
激光切割,金属加工,激光发射器、导轨系统,9,利用激光照射精准切割金属板材,西门子,美国机械工程学会,https://www.asme.org,,
激光工程检测,工程监测,激光测距仪、数据记录器,8,采用激光技术实时监控工程结构状态,法国达索系统,建设部技术研究中心,http://www.mohurd.gov.cn,,
激光钻孔,航空航天,高功率激光器、对准系统,8,通过激光实现对金属的微细钻孔,波音公司,国际航空运输协会,https://www.iata.org,,
激光清洗,清洁技术,激光清洗机、移动平台,9,利用激光去除设备表面油污与杂质,克劳斯玛菲,绿色环保局,https://www.epa.gov,,
激光连焊,焊接工程,连续激光器、焊接机,9,通过激光技术实现高效焊接，减少热影响区,特斯拉,国际焊接协会,http://www.aws.org,,
激光造模,建筑设计,激光投影设备、计算机软件,8,利用激光生成建筑模型，提升设计精度,SKANSKA,建筑科学研究院,https://www.iaea.org,,
激光烧结,3D打印,激光源、激光控制系统,8,通过激光热能使粉末在高温下融化，形成高密度的三维结构,惠普公司,国家科研信息中心,https://www.nsfc.gov.cn,,
激光微加工,电子制造,超快激光、光学系统,9,应用脉冲激光进行高精度的金属及非金属材料的切割与钻孔,日本大金工业,科技日报,https://www.stdaily.com,,
激光雷达,自动驾驶,激光发射器、接收器,10,使用激光测距技术为自动驾驶车辆提供高精度环境感知,特斯拉,IEEE电子电气工程师学会,https://www.ieee.org,,
激光清洗,工业清洁,高功率激光器、冷却装置,7,通过激光能量去除工件表面污染物和老化层,德国海克斯康,德国化学工业协会,https://www.vci.de,,
激光测距,建筑测量,激光发射器、传感器,8,通过激光技术实现高精度的距离测量,徕卡测量,建筑与施工杂志,https://www.buildernews.com.cn,,
激光热处理,金属加工,激光器、冷却系统,9,对金属材料进行激光加热处理，提高其硬度和耐磨性,美国卡尔斯鲁厄大学,材料科学与工程期刊,https://www.materialsview.com,,
激光重熔,航天制造,激光装置、处理平台,8,改善金属组件性能与微观结构的激光再加工技术,波音公司,国际航空航天局,https://www.nasa.gov,,
激光焊接,船舶制造,激光焊接系统、焊接电脑,9,通过激光高速焊接，提高焊接质量与效率,ABB机器人,焊接技术与工程,https://www.weldingjournal.com,,
激光成像,安全监控,高分辨率激光系统、图像处理软件,7,利用激光扫描生成高清图像，用于特定场景监控,海康威视,数字监控世界,https://www.hikvision.com,,
激光焰化,能源转换,激光动能转换器、冷却装置,8,利用激光产生的热量进行能源材料的高效焚烧和转换,中国能源研究院,清洁能源网,https://www.cleanenergy.com.cn,,
激光清洗技术,环保治理,高能激光器、激光扫描系统,7,利用激光去除表面污染物，环保高效无化学剂,清洁科技公司,中国环境保护部,https://www.mee.gov.cn,,
激光成像技术,电子产品,激光扫描器、成像软件,8,通过激光实现高精度三维成像，广泛应用于医疗和测绘,苹果公司,科技日报,http://www.stdaily.com,,
激光焊接,制制造业,激光发射器、焊接机械臂,9,通过激光快速焊接金属，适用于汽车和航空航天,特斯拉,中国机械工程学会,http://www.cmes.org,,
增材制造与激光精加工,航天技术,激光切割机、增材制造机,10,结合增材制造和激光切割，实现零部件的精细加工,波音公司,航天科技杂志,http://www.spacejournal.cn,,
激光斑点喷涂,表面处理,激光喷涂枪、涂层设备,8,使用激光喷涂材料以提高表面性能,阿尔斯通,中国科学院,http://www.cas.cn,,
激光数控技术,机械制造,激光切割头、数控系统,9,利用激光精确控制加工过程，提升生产效率,海克斯康,国际机器人联合会,http://www.ifr.org,,
激光超声波检测,质量控制,激光探头、信号处理单元,7,通过激光与超声波结合，实现高精度无损检测,博世,材料科学中心,http://www.mat-science.org,,
激光粉末床熔融,造型艺术,激光发射器、粉末供给系统,9,基于粉末床的增材制造技术，适用于艺术设计与创作,3D Systems,国际增材制造协会,http://www.amassociation.org,,
激光混合焊接,钢铁冶金,激光焊接头、熔化器,8,结合传统焊接与激光焊接，提高焊接质量与效率,瑞士电气,冶金协会,http://www.metal.org,,
激光智能制造,智能工厂,激光组件、智能控制系统,10,通过激光与智能技术结合，实现自动化生产线,西门子,工业4.0联盟,http://www.industry40.org,,
激光增材制造,建筑工程,激光扫描仪、混合材料供给系统,8,利用激光技术进行建筑材料的快速成型与定制,BEAMIT,国际建筑协会,https://www.icomos.org,,
激光表面处理,电子设备,激光系统、冷却装置,7,激光用于电子元件的表面处理，提升耐磨性与传导性能,华为技术有限公司,国家电子信息产业发展专项基金,https://www.nianews.net,,
激光切割,金属加工,高功率激光器、操作平台,9,采用激光精准切割金属材料，实现高效加工,激光科技公司,中国金属加工协会,https://www.cmma.org.cn,,
激光焊接,船舶制造,脉冲激光器、焊接控制系统,9,运用激光技术进行高强度焊接，减少材料变形,南方船舶重工,船舶科技网,https://www.shiptech.com.cn,,
激光成像技术,遥感技术,激光探测装置、接收器,8,利用激光实现高精度地表成像与分析,地球资源信息技术有限公司,中国遥感学会,https://www.chinarosc.org,,
激光模拟制造,教育培训,激光打印机、3D模拟设备,6,在教育中通过激光技术进行虚拟制造体验,教育科技星,教育部科技发展中心,https://www.moe.gov.cn,,
激光清洗技术,工业清洗,高能激光装置、水收集系统,8,利用激光为工业设备表面清洗提供清洁方案,奥林巴斯株式会社,环境保护局,https://www.epa.gov.cn,,
激光生物打印,生物医学,生物打印机、激光处理头,9,通过激光技术实现细胞与组织的高精度打印,组织工程有限公司,中国医学科学院,https://www.cams.cn,,
激光测距技术,地理信息,激光发射器、探测器,7,利用激光实现地理目标的高精度测量,GeoSLAM,国家测绘局,https://www.nasg.gov.cn,,
激光防伪技术,防伪产业,激光编码器、识别系统,8,使用激光技术制作防伪标识，增加安全性,中科院材料研究所,公安部科技局,https://www.mps.gov.cn,,
