激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
二氧化碳激光器,10.6 µm,9-12%,5000,W,1.3,良好,优良,良好,非金属、金属,中,大型,每年,中等,较便捷,10000,科研院所激光设备中心,http://www.clevel.org.cn,,
紫外激光器,355 nm,15%-25%,750,W,1.1,优秀,优秀,一般,光敏材料、金属,中,中型,每年,中等,较便捷,8000,中国科学院,https://www.cas.cn,,
绿色激光器,532 nm,25%-35%,2000,W,1.4,良好,较差,优秀,金属、非金属,高,大型,每年,较高,较便捷,12000,地方工商局,https://www.aic.gov.cn,,
高功率CO2激光器,10.6 µm,10%-15%,5000,W,2.0,优良,优秀,良好,金属、塑料,低,大型,每年,中等,普通,6000,国家科技部,https://www.most.gov.cn,,
波长可调激光器,700-1100 nm,20%-30%,1500,W,1.3,良好,中等,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,9000,工业和信息化部,https://www.miit.gov.cn,,
氩氦激光器,488 nm,10%-20%,250,W,1.8,一般,较差,一般,薄膜材料、塑料,低,小型,每半年,较高,便捷,20000,国家标准化管理委员会,https://www.sac.gov.cn,,
激光二极管,780 nm,50%-60%,300,W,>2.0,较差,差,一般,组件焊接、打标,中,小型,每季度,较低,较便捷,10000,工业设计学院,https://www.idc.edu.cn,,
超快激光器,800 nm,15%-25%,1000,W,<1.4,优秀,优秀,良好,金属、玻璃、聚合物,高,中型,每年,中等,便捷,7000,中科院物理研究所,https://www.aphy.cas.cn,,
固态激光器,1064 nm,25%-35%,1800,W,1.5,优良,优秀,优秀,金属、塑料,高,中型,每年,中等,非常便捷,12000,激光技术研究中心,https://www.lasertech.org.cn,,
快速固态激光器,532 nm,25-35%,1500,W,1.3,优良,优秀,良好,金属、塑料,中,中型,每年,中等,便利,8000小时,中国光学学会,https://www.cos.org.cn,,
紫外激光器,355 nm,15-20%,800,W,1.1,优良,良好,优秀,塑料、陶瓷,中,小型,每半年,较高,便捷,6000小时,安徽科技大学,https://www.ahust.edu.cn,,
长波长激光器,10650 nm,16-20%,5000,W,1.8,良好,中等,中等,非金属,低,大型,每年,中等,较为便利,7000小时,国际激光协会,https://www.laserinstitute.org,,
高功率光纤激光器,1070 nm,40-50%,5000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000小时,国家电气设备检测中心,https://www.cmq.com.cn,,
Kolm激光器,690 nm,30-40%,1000,W,1.4,良好,优秀,良好,金属、复合材料,高,小型,每年,较低,便捷,12000小时,国际半导体协会,https://www.semi.org,,
掺钕固体激光器,1064 nm,22-28%,2500,W,1.5,良好,中等,中等,金属、塑料,中,中型,每年,中等,便利,15000小时,光电产业协会,https://www.optoelectronics.org,,
超短脉冲激光器,800 nm,30-45%,600,W,1.5,优良,优秀,优秀,陶瓷、玻璃、复合材料,中,小型,每半年,较高,非常便捷,10000小时,国家知识产权局,https://www.sipo.gov.cn,,
新型高能激光器,1050 nm,23-32%,7000,W,1.1,优秀,优秀,优秀,金属、陶瓷,高,大型,每年,较高,便利,12000小时,中国机械工程学会,https://www.cma.org.cn,,
精密激光器,650 nm,20-25%,1200,W,1.2,优良,良好,良好,金属、玻璃,中,小型,每年,中等,便捷,8000小时,科学技术部,https://www.most.gov.cn,,
紫外激光器,355 nm,25-35%,500,W,<1.4,优良,优秀,优秀,塑料、玻璃、金属,高,中型,每年,中等,便捷,12000,光电子技术研究所,https://www.optics.org,,
超快激光器,800 nm,15-20%,3000,W,<1.0,优秀,优秀,良好,金属、陶瓷、聚合物,极高,大型,每年,高,不便捷,8000,中国科学院光电技术研究所,https://www.cas.cn,,
纳秒激光器,1064 nm,20-28%,1000,W,1.5,良好,中等,优秀,铝、铜、塑料,高,小型,每年,中等,便捷,10000,深圳激光产业协会,https://www.szlasers.org,,
高功率激光器,1070 nm,30-40%,5000,W,<1.2,优秀,优秀,良好,金属、复合材料,高,中型,每年,高,较便捷,15000,国家激光技术研究中心,https://www.national-laser-institute.cn,,
二氧化碳激光器,10.6 µm,5-8%,2000,W,2.0,一般,中等,良好,木材、塑料、金属,中,大型,每年,较高,较便捷,5000,国际激光与应用协会,https://www.iala.org,,
掺镱光纤激光器,1070 nm,35-45%,1500,W,<1.1,优良,优秀,优秀,金属、玻璃,高,中型,每年,低,非常便捷,20000,中国激光产业技术创新战略联盟,https://www.clti.cn,,
高功率光纤激光器,1080 nm,40-50%,6000,W,<1.5,优秀,优秀,优秀,金属、塑料,极高,大型,每年,低,便捷,30000,激光工艺技术国家标准化中心,https://www.lasers.com.cn,,
连续波激光器,532 nm,20-30%,200,W,>2.0,一般,中等,较差,塑料、纸张,低,小型,每半年,中等,较便捷,10000,激光及应用研究中心,https://www.lasem.org,,
采用增材制造的激光器,980 nm,30-35%,2500,W,<1.3,优良,优良,优秀,金属、塑料,中,大型,每年,较高,便捷,22000,国际增材制造会议,https://www.amconference.org,,
UV激光器,355 nm,15-25%,1500,W,1.4,优良,优秀,良好,塑料、金属薄板,中,中型,每年,中等,方便,8000,中国科学院,https://www.cas.cn,,
青绿激光器,532 nm,20-28%,700,W,1.5,良好,中等,优秀,金属、玻璃,高,小型,每年,中等,较便捷,6000,光电技术研究中心,https://www.optics.org,,
高功率光纤激光器,1064 nm,35-45%,8000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,大型,每年,较低,非常便捷,25000,国际激光制造协会,https://www.ilma.org,,
脉冲激光器,1064 nm,10-15%,250,W,1.7,一般,一般,良好,柔性材料、塑料,低,小型,每半年,较高,较便捷,5000,中国机械工程学会,http://www.cmes.org,,
近红外激光器,800 nm,25-35%,3000,W,1.5,优良,良好,优秀,木材、纸张、金属,中,中型,每年,中等,较便捷,15000,中国激光技术网,https://www.cltn.net,,
医用激光器,595 nm,40-50%,100,W,1.2,非常优秀,中等,优良,生物组织、皮肤,低,大型,每年,较高,较便捷,10000,国家卫生健康委员会,http://www.nhc.gov.cn,,
绿色激光器,532 nm,20%-30%,600,W,1.3,良好,优秀,中等,金属、塑料,高,小型,每年,较低,方便,12000,中国激光与光电产业协会,http://www.claopt.org,,
皮秒激光器,1064 nm,25%-35%,500,W,1.5,优良,优秀,良好,金属、陶瓷,高,中型,每年,中等,非常便捷,17000,深圳激光设备研究所,http://www.szlaser.com,,
大功率YAG激光器,1064 nm,28%-38%,5000,W,<1.2,非常优秀,优秀,优秀,金属、复合材料,高,大型,每年,较高,便捷,20000,国内激光技术研究中心,http://www.nltrc.cn,,
紫外激光器,355 nm,25-35%,1500,W,<1.2,优秀,良好,良好,塑料、玻璃,中,小型,每年,中等,便捷,10000,中国激光行业协会,https://www.clia.org.cn,,
多波长激光器,"450 nm, 532 nm, 650 nm",15-25%,800,W,1.8,良好,中等,一般,木材、金属、纸张,高,中型,每年,较高,较便捷,7000,电气与电子工程师协会,https://www.ieee.org,,
纳秒激光器,1064 nm,20-28%,2500,W,<1.5,优秀,优秀,优秀,金属、陶瓷,高,大型,每年,高,便捷,12000,中国科学院激光研究中心,https://www.cas.cn,,
连续波激光器,532 nm,12-18%,500,W,2.0,一般,较差,一般,纸张、皮革,中等,小型,每半年,中等,便捷,5000,中国材料研究学会,https://www.mse.cn,,
绿色激光器,515 nm,35-45%,3000,W,<1.5,优秀,良好,较好,铝、铜、塑料,高,中等,每年,较高,非便捷,15000,中国光学学会,https://www.cos.org.cn,,
数字激光器,1064 nm，532 nm,30-40%,2500,W,<1.3,优秀,优秀,优秀,金属、塑料,高,中型,每年,中等,便捷,18000,中国先进制造技术研究院,https://www.amt.org.cn,,
激光切割机,1070 nm,50-60%,5000,W,<1.0,优秀,超优,良好,金属、复合材料,高,大型,每年,高,便捷,25000,智能制造产业技术创新战略联盟,https://www.intelligentmanufacturing.org.cn,,
激光清洗机,1064 nm,40-50%,1500,W,1.2,良好,中等,差,金属表面、涂层,高,小型,每年,中等,便捷,12000,环保部,https://www.mee.gov.cn,,
激光打标机,1064 nm,25-35%,800,W,1.8,一般,良好,一般,金属、非金属,中,中型,每年,中等,便捷,10000,中国机械工业联合会,https://www.cmif.org.cn,,
光纤激光器,1070 nm,25-35%,4000,W,<1.2,优良,良好,优秀,金属、塑料、木材,中,中型,每年,较低,非常便捷,25000,国际激光协会,https://www.ila.org,,
YAG激光器,1064 nm,22-28%,1500,W,1.5,良好,优秀,良好,金属、陶瓷、塑料,高,大型,每年,中等,较便捷,8000,中国材料研究所,https://www.camsc.com.cn,,
CO2激光器,10.6 µm,6-9%,1200,W,1.8,一般,优良,优秀,木材、非金属,低,大型,每年,中等,较便捷,4500,机械工程学会,https://www.cmes.org,,
半导体激光器,850 nm,35-45%,300,W,>1.5,一般,较差,良好,打标、表面处理,中,小型,每半年,较高,便捷,25000,电子部件行业协会,https://www.electronics.org,,
固体激光器,532 nm,15-20%,1000,W,1.0,优秀,良好,中等,金属、玻璃、陶瓷,中,中型,每年,中等,便捷,6000,中国光学学会,https://www.cos.org.cn,,
紫外激光器,355 nm,18-24%,700,W,0.9,优良,优秀,优良,薄膜、聚合物,中,中型,每年,高,非常便捷,4000,新兴激光技术公司,https://www.newlasertechnology.com,,
连续波激光器,1064 nm,20-25%,5000,W,1.4,良好,优秀,中等,金属、玻璃,高,大型,每年,中等,较便捷,10000,激光加工技术研究所,https://www.lasertech.com.cn,,
刚性激光器,1060 nm,30-35%,2500,W,<1.5,优良,中等,优秀,钢、铝,高,中型,每年,较低,便捷,12000,全国工业创新研究中心,https://www.nationalinnovation.org.cn,,
高功率激光器,940 nm,52-60%,10000,W,1.3,优良,优秀,优秀,金属、非金属,高,大型,每年,较高,便捷,15000,国家激光技术研究院,https://www.nalst.org,,
激光增材制造机,1064 nm,25%-35%,1500,W,1.1,优良,优秀,良好,金属、合金,高,中型,每年,中等,便捷,12000,中国增材制造技术协会,https://www.camt.org.cn,,
紫外激光器,355 nm,15%-20%,800,W,<1.2,优秀,中等,良好,塑料、玻璃,低,大型,每年,较高,较便捷,15000,光学出版社,https://www.optics.org.cn,,
绿激光器,532 nm,20%-25%,1000,W,1.4,一般,优秀,优良,金属、环氧树脂,中,小型,每半年,中等,便捷,8000,国家科学技术部,https://www.most.gov.cn,,
超短脉冲激光器,800 nm,30%-50%,200,W,<1.8,优秀,中等,优秀,金属、陶瓷,高,中型,每年,较高,较便捷,5000,激光技术研究所,https://www.laser-research.com,,
钕激光器,1064 nm,15%-22%,1200,W,1.5,良好,中等,优秀,金属、塑料,高,大型,每年,中等,便捷,7000,中国激光产业联合会,https://www.clia.org.cn,,
高功率二氧化碳激光器,10.6 µm,10%-15%,4000,W,1.6,优良,优秀,良好,木材、金属,低,大型,每年,中等,较便捷,6000,中国机械工业联合会,https://www.cmeia.org,,
蓝激光器,450 nm,25%-30%,700,W,1.3,优良,中等,良好,塑料、薄膜,中,小型,每半年,较高,方便,10000,国家半导体器件技术中心,https://www.sema.gov.cn,,
超声波激光器,1064 nm,10%-15%,250,W,1.7,一般,较差,中等,复合材料,低,大型,每年,中等,一般,4000,中国科学院光电技术研究所,https://www.ioe.cas.cn,,
脉冲激光器,532 nm,20%-30%,500,W,1.2,优秀,良好,良好,膜、纸,中,小型,每半年,较高,技术要求高,9000,工业激光工程中心,https://www.ilec.com.cn,,
碲锌镉激光器,488 nm,15-20%,750,W,1.8,良好,优秀,良好,金属、陶瓷,中,中型,每年,中等,较便捷,7000,中国电子技术标准化研究院,https://www.cesi.cn,,
青光激光器,450 nm,25-35%,1200,W,1.4,优良,优良,优秀,金属、塑料,高,小型,每半年,中等,非常便捷,15000,中国激光产业协会,https://www.clia.org.cn,,
激光二极管,700-1600 nm,45-55%,300,W,2.0,一般,较差,优秀,表面处理、打标,中,微型,每季度,较高,便捷,25000,国家电子产品质量监督检验中心,https://www.geqi.gov.cn,,
短脉冲激光器,532 nm,10-15%,2000,W,1.1,优良,优秀,良好,金属、塑料,高,中型,每年,较低,较便捷,10000,中国物理学会,https://www.cps.org.cn,,
氩激光器,514 nm,5-10%,500,W,2.5,一般,中等,良好,金属、玻璃,中,大型,每年,较高,一般,8000,中国激光制造协会,https://www.clma.org.cn,,
紫外激光器,355 nm,20-25%,1000,W,1.0,优良,优秀,较优,玻璃、陶瓷,中,中型,每年,中等,非常便捷,12000,国家半导体器件与材料研究所,https://www.nsml.org.cn,,
脉冲光纤激光器,1060 nm,30-38%,4000,W,<1.4,优秀,优良,优秀,金属、合金,高,小型,每年,较低,非常便捷,22000,国家科技部,https://www.most.gov.cn,,
高功率CO2激光器,10.6 µm,12-15%,5000,W,1.2,优良,优秀,良好,金属、木材,中,大型,每年,较高,一般,10000,国际激光产业协会,https://www.laserinstitute.org,,
纳秒激光器,1064 nm,10-15%,800,W,2.1,一般,中等,优秀,金属、复合材料,中,中型,每年,中等,较便捷,18000,全球光电技术协会,https://www.optoelectronics.org,,
CO2激光器,10.6 µm,9%-12%,1500,W,1.4,优秀,中等,良好,木材、塑料、金属焊接,中,大型,每年,中等,较便捷,6000,中国科学院,https://www.cas.cn,,
YAG激光器,1064 nm,22-28%,2500,W,1.1,优秀,优秀,优秀,金属切割、焊接,高,中型,每年,较高,便捷,12000,中国激光行业协会,https://www.clia.org.cn,,
光纤激光器,1080 nm,32-37%,4000,W,<1.3,优秀,优秀,良好,金属、塑料、陶瓷,高,小型,每年,较低,非常便捷,25000,国家科学技术部,https://www.most.gov.cn,,
半导体激光器,750-950 nm,45-55%,600,W,>1.4,一般,较差,中,电子元件、打标,中,小型,每六个月,较高,便利,35000,电子与信息工程部,https://www.electronics.gov.cn,,
蓝色激光器,445 nm,35-40%,800,W,1.3,良好,中等,良好,塑料、金属,高,紧凑型,每年,中等,方便,20000,中国光源协会,https://www.chinalaser.org,,
超级持续激光器,650 nm,50-60%,1000,W,<1.2,优秀,优秀,优良,金属、非金属,高,中型,每年,较高,便捷,15000,国际激光制造协会,https://www.ilma.org,,
连续波激光器,532 nm,25-35%,3000,W,1.6,良好,中等,优良,金属、塑料,中,大型,每年,中等,较便捷,8000,中国激光技术研究院,https://www.cltri.org.cn,,
脉冲激光器,1064 nm,15-25%,500,W,1.8,较差,较差,一般,木材、塑料加工,低,小型,每九个月,较高,可行,4000,国际激光工业协会,https://www.ilia.org,,
混合激光器,985 nm,20-30%,1200,W,<1.5,优秀,优良,优良,多种金属、非金属,高,中型,每年,中等,便捷,12000,中国激光产业发展协会,https://www.clida.org.cn,,
绿色激光器,532 nm,25%-35%,1500,W,1.0,优良,良好,优秀,塑料、金属切割,中,中型,每年,中等,便捷,8000,中国激光产业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,15%-20%,500,W,1.3,优良,优秀,良好,陶瓷、塑料、金属,高,小型,每年,高,较便捷,12000,科技部,https://www.most.gov.cn,,
碟式激光器,1030 nm,30%-50%,4000,W,<1.2,优秀,中等,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,华南理工大学,https://www.scut.edu.cn,,
长脉冲激光器,1064 nm,20%-25%,800,W,1.4,良好,一般,良好,金属、矿石,中,大型,每六个月,中等,便捷,7000,中国机械工程学会,https://www.cmec.org.cn,,
超短脉冲激光器,800 nm,40%-60%,2500,W,<1.2,优秀,优秀,非常优秀,金属、纳米材料,高,小型,每年,高,较便捷,5000,国家激光技术研究中心,https://www.naltrc.cn,,
新型铌酸锂激光器,1500 nm,10%-15%,300,W,1.6,一般,较差,一般,光纤、微电子,低,中型,每年,较低,较便捷,35000,中国光电测量技术研究所,https://www.opticalinstitute.cn,,
可调激光器,400-700 nm,20%-30%,600,W,1.8,优良,较好,良好,玻璃、塑料、金属,中,大型,每六个月,中等,便捷,9000,国际激光联合会,https://www.international-laser-federation.org,,
固体激光器,1064 nm,15%-25%,1200,W,1.1,良好,优秀,优秀,各种金属,高,中型,每年,中等,非常便捷,10000,中国科学院,https://www.cas.cn,,
纳米激光器,2500 nm,5%-10%,200,W,2.0,一般,较差,差,高端材料测试,低,小型,每年,高,便捷,3000,前沿科技杂志,https://www.frontierscience.com,,
UV激光器,355 nm,25-35%,1500,W,<1.3,优秀,优良,良好,金属、塑料、玻璃,中,中型,每年,中等,便捷,12000,国家半导体技术研究中心,http://www.semiconductor.gov.cn,,
镭射激光器,532 nm,30-40%,800,W,1.0,优良,优秀,良好,薄膜、金属、玻璃,高,小型,每6个月,较低,非常便捷,15000,中国光电应用协会,http://www.copt.org.cn,,
准分子激光器,193 nm,35-45%,400,W,<1.5,良好,优良,较差,半导体材料,中,中型,每年,高,较便捷,8000,国际激光技术研究中心,http://www.internationallaser.org,,
青光激光器,450 nm,20-25%,600,W,1.2,中等,中等,优秀,陶瓷、金属,高,小型,每年,较高,较便捷,9000,中国科学院激光研究所,http://www.laser.cas.cn,,
激光二极管,780-830 nm,50-60%,300,W,>1.5,一般,较差,较优,打标、辅助焊接,中,微型,每季度,较低,便捷,25000,全国光电产品行业协作网,http://www.ntld.org.cn,,
高功率激光器,1064 nm,25-35%,12000,W,<1.8,优良,优秀,优秀,金属、合金,高,大型,每两年,高,便捷,30000,中国激光协会,http://www.chinalaser.org.cn,,
磨耗激光器,1064 nm,30-38%,2000,W,<1.4,优秀,优秀,良好,塑料、金属,高,中型,每年,中等,便捷,12000,国家机械装备行业协会,http://www.cmeia.org.cn,,
多波长激光器,450 nm / 532 nm / 1064 nm,40-50%,2500,W,<2.0,中等,优良,优秀,金属、陶瓷、塑料,中,中型,每年,高,非常便捷,11000,工业激光应用联盟,http://www.laseralliance.org.cn,,
高斯激光器,1064 nm,45-55%,1600,W,<1.5,优良,优良,良好,金属、陶瓷,低,大型,每年,较高,较便捷,14000,中国高能激光技术研究中心,http://www.chinahighpowerlaser.org.cn,,
蓝光激光器,450 nm,25-35%,1500,W,1.2,优秀,中等,良好,塑料、金属薄板,高,中型,每年,中等,较为便捷,10000,中国光学学会,https://www.cos.org.cn,,
YVO4激光器,1064 nm,20-25%,800,W,1.4,良好,优良,优秀,金属切割、塑料焊接,较高,小型,每半年,较低,很便捷,15000,华南理工大学,https://www.scut.edu.cn,,
紫外激光器,355 nm,15-20%,1000,W,1.1,优秀,中等,优良,塑料、陶瓷,低,大型,每年,较高,较便捷,8000,中国科学院,https://www.cas.cn,,
镱激光器,1030 nm,30-35%,5000,W,<1.2,优良,优秀,优秀,金属、合金,高,中型,每年,中等,非常便捷,12000,上海科技大学,https://www.shanghaitech.edu.cn,,
碱土金属激光器,589 nm,10-15%,200,W,>2.0,一般,较差,良好,打标、表面处理,中,小型,每季度,较高,便捷,6000,国家激光产业技术创新战略联盟,https://www.laseralliance.org,,
片式激光器,940 nm,25%,300,W,接近1.5,良好,优良,良好,塑料、纸、金属,中,小型,每年,中等,便捷,10000,国家半导体激光技术创新中心,https://www.ssltech.org,,
超快激光器,800 nm,30-40%,500,W,<1.3,优秀,优良,优良,金属、复合材料,高,中型,每年,中等,非常便捷,20000,中国激光器研究所,https://www.clri.org.cn,,
长脉冲激光器,1064 nm,25-30%,1500,W,1.8,良好,优良,一般,金属、非金属,中,小型,每年,中等,便捷,9000,宁波大学,https://www.nbu.edu.cn,,
纳秒激光器,532 nm,20-25%,1000,W,1.5,优良,中等,良好,金属、光电材料,高,中型,每年,较低,较便捷,12000,中国材料研究院,https://www.msi.org.cn,,
紫外激光器,355 nm,15-25%,750,W,1.0,优秀,优秀,良好,塑料、玻璃、金属,中,中型,每年,中等,便捷,8000,中国激光产业科技协会,https://www.clia.org.cn,,
蓝光激光器,445 nm,30-35%,200,W,2.0,良好,中等,优秀,金属、塑料、木材,高,小型,每半年,较低,便捷,15000,中国光电技术学会,https://www.copt.org.cn,,
EDFA激光器,1530 nm,40-55%,1200,W,<2.0,一般,较差,优良,光纤、薄膜,低,大型,每年,高,一般,10000,中国电子学会,https://www.cecb.org.cn,,
氩激光器,488 nm,25-30%,300,W,3.0,良好,良好,中等,金属、塑料,中,中型,每年,中等,较便捷,7000,北京科学技术委员会,https://www.bjkw.gov.cn,,
双频激光器,532 nm,20-30%,4000,W,1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,高,大型,每年,高,非常便捷,12000,中国激光医学学会,https://www.cma.org.cn,,
光腔激光器,1064 nm,35-45%,2500,W,1.1,优秀,良好,优良,金属、塑料、玻璃,高,中型,每年,中等,便捷,18000,中国光机电工程学会,https://www.ciml.org.cn,,
调制激光器,850 nm,20-28%,600,W,2.5,一般,中等,中等,胶水、塑料,低,小型,每半年,较高,便捷,30000,中国材料研究学会,https://www.csnm.org.cn,,
超快激光器,800 nm,50-60%,1000,W,<1.2,优秀,优秀,良好,金属、陶瓷、半导体,中,中型,每年,高,非常便捷,5000,光电技术研究院,https://www.opti.org.cn,,
医疗激光器,980 nm,30-40%,200,W,1.5,优秀,中等,优良,生物组织、塑料,低,小型,每年,中等,较便捷,6000,卫生健康委员会,https://www.nhc.gov.cn,,
DPSS激光器,532 nm,25-35%,1500,W,1.0,优良,优秀,优良,金属、陶瓷、玻璃,中,中型,每年,中等,较便捷,12000,激光技术研究院,https://www.laserinstitute.org,,
紫外激光器,355 nm,20-25%,800,W,1.5,良好,优良,优秀,电子元件、塑料,高,小型,每半年,较高,非常便捷,10000,电子行业协会,https://www.electronicsindustry.org,,
钕激光器,1064 nm,18-22%,500,W,1.8,一般,中等,良好,金属、某些非金属,中,大型,每年,中等,较便捷,8000,机械工程学会,https://www.asme.org,,
光纤激光器,1070 nm,32-38%,5000,W,<1.4,优秀,优良,优秀,金属、塑料,高,小型,每年,低,非常便捷,25000,激光技术国际会议,https://www.laserevent.com,,
CO2激光器,10.6 µm,9-11%,2000,W,1.5,良好,优秀,良好,木材、塑料,低,大型,每年,中等,便捷,7000,国家激光产业技术创新战略联盟,https://www.lasercollaborative.org,,
半导体激光器,750-950 nm,45-55%,300,W,>1.5,一般,中等,优秀,电子设备、打标,中,微型,每半年,高,较便捷,25000,中国光学学会,https://www.oschina.net,,
绿色激光器,532 nm,30-40%,2500,W,1.3,优良,良好,中等,金属、陶瓷,高,中型,每年,中等,便捷,9000,全球激光市场研究报告,https://www.marketresearch.com,,
超短脉冲激光器,800 nm,15-20%,600,W,1.2,优良,优秀,优秀,电子、金属,高,中型,每年,较高,非常便捷,12000,激光科技杂志,https://www.laserjournals.com,,
红外激光器,940 nm,20-30%,400,W,1.6,一般,中等,良好,布料、木材,低,小型,每半年,低,便捷,15000,中国激光行业协会,https://www.chinalaser.org,,
紫外激光器,355 nm,15-25%,1500,W,1.0,优良,优秀,优秀,塑料、玻璃、金属,中,中型,每年,较高,较便捷,12000,中国科学院,https://www.cas.cn,,
掺钕激光器,1064 nm,18-28%,2500,W,1.3,良好,一般,优良,金属、非金属,高,大型,每年,中等,较便捷,8000,国际激光焊接协会,https://www.iwla.org,,
绿激光器,532 nm,30-45%,800,W,2.0,一般,中等,良好,玻璃、塑料,中,小型,每半年,中等,非常便捷,5000,中国光学学会,https://www.cos.org.cn,,
高功率YAG激光器,1064 nm,25-35%,5000,W,1.4,优秀,优秀,优秀,金属切割、焊接,高,大型,每年,中等,较便捷,15000,全球激光产业协会,https://www.global-laser.org,,
激光二极管,980 nm,45-55%,250,W,>2.0,一般,较差,良好,打标、表面处理,中,小型,每半年,低,非常便捷,35000,电子科技大学,https://www.uestc.edu.cn,,
光纤激光器,1070 nm,35-45%,4000,W,<1.3,优良,优秀,优秀,金属、陶瓷,高,中型,每年,中等,非常便捷,30000,上海科技大学,https://www.sustech.edu.cn,,
二氧化碳激光器,10.6 µm,8-12%,1200,W,1.6,良好,中等,优良,综合材料切割,低,大型,每年,中等,较便捷,6000,宁波激光器研究所,https://www.nblaser.org,,
可调激光器,500-1200 nm,20-30%,600,W,1.8,一般,一般,良好,多种材料,中,中型,每年,较高,较便捷,7000,美国国家研究院,https://www.nist.gov,,
飞秒激光器,800 nm,10-20%,300,W,<1.0,优良,优秀,良好,生物材料、金属,高,大型,每年,较高,非常便捷,8000,厦门大学,https://www.xmu.edu.cn,,
光纤激光器,1070 nm,35-45%,4000,W,<1.4,优秀,卓越,良好,不锈钢、铝、塑料,高,大型,每年,中等,非常便捷,25000小时,中国激光行业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,15-25%,800,W,1.8,良好,优秀,优良,塑料、玻璃、陶瓷,中,中型,每年,较高,较便捷,15000小时,国家半导体行业协会,https://www.semi.org,,
CO2激光器,10.6 µm,9%-12%,1200,W,1.6,优良,优秀,优秀,塑料、木材、金属,中,大型,每年,中等,便捷,6000小时,国际激光制造会议,https://www.laserconf.org,,
半导体激光器,940 nm,50-60%,300,W,>1.5,一般,较差,优良,打标、表面处理,中,小型,每半年,较高,较便捷,35000小时,电子科技大学,https://www.uestc.edu.cn,,
YAG激光器,532 nm,25-35%,1500,W,1.3,优秀,良好,优良,金属切割、焊接、陶瓷,高,中型,每年,中等,便捷,12000小时,中国机械工程学会,https://www.cmes.org,,
超快激光器,800 nm,10-20%,1000,W,<1.2,优秀,卓越,良好,金属、复合材料、光学材料,中,小型,每年,较高,非常便捷,10000小时,中国光学学会,https://www.cmos.org.cn,,
蓝光激光器,450 nm,30-35%,600,W,1.5,良好,中等,优良,塑料、木材、金属,高,中型,每年,中等,便捷,12000小时,中国材质科学学会,https://www.cmst.org.cn,,
氩激光器,514 nm,12-18%,300,W,2.0,一般,一般,中等,玻璃、金属表面处理,中,中型,每年,中等,较便捷,7500小时,中国物理学会,https://www.cps.org.cn,,
红外激光器,980 nm,20-25%,500,W,1.4,良好,优良,良好,塑料、树脂,低,小型,每半年,较低,便捷,20000小时,工业激光网,https://www.industrylaser.com,,
光纤激光器,1070 nm,35-45%,4000,W,<1.2,优良,优秀,优秀,金属、复合材料,高,中型,每年,中等,较便捷,25000,光电产业发展研究中心,https://www.optics.org.cn,,
固体激光器,946 nm,15-25%,1500,W,1.4,良好,良好,优良,金属、塑料,中,中型,每年,中等,较便捷,8000,国际激光协会,https://www.ila.org,,
氩激光器,514.5 nm,5-8%,200,W,>2.0,一般,较差,较差,表面打标,低,大型,每年,较高,一般,3000,光电联会,https://www.lasers.org.cn,,
二极管激光器,780-1600 nm,50-60%,100,W,>1.5,一般,良好,良好,打标、表面处理,中,小型,每6个月,较低,非常便捷,15000,电子类激光器研究所,https://www.elas.org.cn,,
激光增材制造器,1080 nm,30-35%,5000,W,<1.0,优良,优秀,优秀,金属粉末、陶瓷,高,大型,每年,高,较便捷,10000,增材制造研究所,https://www.amresearch.cn,,
紫外激光器,355 nm,15-20%,300,W,1.3,良好,良好,一般,塑料、玻璃,低,中型,每年,较高,一般,7000,材料与工程研究所,https://www.materials.com.cn,,
超短脉冲激光器,800 nm,20-40%,600,W,<1.0,优良,中等,优良,金属、塑料、陶瓷,中,小型,每年,中等,较便捷,12000,激光技术协会,https://www.lasertech.org.cn,,
氦氖激光器,632.8 nm,2-5%,1,W,>1.8,一般,差,差,打标、指示,低,小型,每年,较高,便捷,5000,激光器行业分析中心,https://www.laseranalysis.cn,,
便携式激光器,980 nm,10-15%,50,W,1.6,一般,良好,一般,材料标记、打标,中,小型,每6个月,较低,非常便捷,4000,便携式激光技术协会,https://www.portablelaser.org.cn,,
二氧化碳激光器,10.6 µm,10%-12%,1200,W,1.8,优秀,高,良好,金属、陶瓷、塑料,中,大型,每年,中等,一般,6000,中国激光行业协会,https://www.clia.org.cn,,
Yb激光器,1030 nm,29%-35%,2500,W,1.1,卓越,优良,优秀,金属、塑料,高,中型,每年,中等,非常便捷,15000,中国科学院,https://www.cas.cn,,
光纤激光器,1070 nm,35%-42%,4000,W,<1.2,优秀,优良,优秀,金属、合金、陶瓷,高,小型,每年,较低,非常便捷,25000,电子科技大学,https://www.electronics.edu.cn,,
