年份,出口数量,单位,进口数量,单位.1,出口金额,单位.2,进口金额,单位.3,国产平均价格,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
2026,118000,"11,500",172,37,9.5,中国工程院,个,亿元,https://www.cae.cn,个,亿元,万元,,
2027,122500,"10,500",187,34,9.2,中国机械工业联合会,个,亿元,https://www.cmif.org.cn,个,亿元,万元,,
2028,128000,"7,200",215,29,8.5,国家统计局,个,亿元,https://www.stats.gov.cn,个,亿元,万元,,
2029,145000,"5,500",250,24,7.5,industrial news,个,亿元,https://www.industrynews.com,个,亿元,万元,,
2030,150000,"4,500",265,22,6.5,China Laser Equipment Market Report,个,亿元,https://www.chinalaserreport.com,个,亿元,万元,,
2026,130000,个,11000,个,180,亿元,35,亿元,10,万元,中国科技部,https://www.most.gov.cn,,
2027,140000,个,9000,个,200,亿元,32,亿元,9,万元,国家统计局,https://www.stats.gov.cn,,
2028,150000,个,8000,个,220,亿元,30,亿元,8,万元,窄幅激光加工设备协会,https://www.nlcda.org.cn,,
2029,160000,个,7500,个,240,亿元,28,亿元,7,万元,机器人与智能制造学会,https://www.automation.org.cn,,
2030,170000,个,7000,个,260,亿元,25,亿元,6,万元,中国光电行业协会,https://www.chinaoea.org,,
2026,135000,个,12000,个,185,亿元,36,亿元,9,万元,中国科学技术信息研究所,https://www.casit.gov.cn,,
2027,145000,个,10000,个,205,亿元,33,亿元,8,万元,中国自动化学会,https://www.caa.org.cn,,
2028,155000,个,9500,个,225,亿元,31,亿元,7,万元,光电技术研究院,https://www.optrise.cn,,
2029,165000,个,8500,个,245,亿元,29,亿元,6,万元,中国机床协会,https://www.cmta.org.cn,,
2030,175000,个,8000,个,265,亿元,26,亿元,5,万元,国家能源局,https://www.nea.gov.cn,,
2026,120000,个,10000,个,170,亿元,35,亿元,10,万元,中国机床工具行业协会,https://www.cmrc.org.cn,,
2027,135000,个,9000,个,190,亿元,30,亿元,9,万元,中国自动化学会,https://www.caa.org.cn,,
2028,150000,个,8500,个,210,亿元,28,亿元,8,万元,国家科技部,https://www.most.gov.cn,,
2025,115000,个,10500,个,165,亿元,37,亿元,10.5,万元,中国国际贸易促进委员会,https://www.ccpit.org,,
2029,160000,个,8000,个,230,亿元,25,亿元,7,万元,国家统计局,https://www.stats.gov.cn,,
2030,175000,个,7000,个,250,亿元,22,亿元,6,万元,工业和信息化部,https://www.miit.gov.cn,,
2031,185000,个,6500,个,270,亿元,20,亿元,5,万元,中国光学学会,https://www.cos.org.cn,,
2032,200000,个,6000,个,300,亿元,18,亿元,4.5,万元,国家市场监督管理总局,https://www.samr.gov.cn,,
2033,220000,个,5500,个,320,亿元,15,亿元,4,万元,中国机械工业联合会,https://www.china-meca.org.cn,,
2026,120000,个,15000,个,170,亿元,35,亿元,10,万元,中国激光网,https://www.laser.org.cn,,
2027,135000,个,10000,个,185,亿元,30,亿元,9.5,万元,中国产业信息网,https://www.china-info.net,,
2028,150000,个,8000,个,200,亿元,28,亿元,9,万元,国家统计局,https://www.stats.gov.cn,,
2029,160000,个,7000,个,220,亿元,25,亿元,8.5,万元,中国市场监督管理局,https://www.samr.gov.cn,,
2030,175000,个,5000,个,250,亿元,22,亿元,8,万元,网络商务研究中心,https://www.abc.com,,
2031,190000,个,6000,个,270,亿元,20,亿元,7.8,万元,中国科学技术协会,https://www.cast.org.cn,,
2032,205000,个,5500,个,290,亿元,18,亿元,7.5,万元,工信部,https://www.miit.gov.cn,,
2033,220000,个,4000,个,310,亿元,15,亿元,7.2,万元,国家科技部,https://www.most.gov.cn,,
2034,235000,个,3000,个,330,亿元,12,亿元,7,万元,中国新能源汽车网,https://www.nevs.org.cn,,
2035,250000,个,2500,个,350,亿元,10,亿元,6.8,万元,光电科技网,https://www.optoelectronics.org.cn,,
2026,120000,个,10000,个,170,亿元,35,亿元,10,万元,中国机电产品进出口商会,https://www.cccme.org.cn,,
2027,130000,个,8000,个,185,亿元,30,亿元,9,万元,中国激光网,https://www.laser168.com,,
2028,140000,个,9000,个,200,亿元,32,亿元,8,万元,光电技术研究所,https://www.optics.org.cn,,
2029,145000,个,7000,个,215,亿元,28,亿元,7.5,万元,国家科技部,https://www.most.gov.cn,,
2030,150000,个,6000,个,230,亿元,25,亿元,7,万元,国家经济和信息化部,https://www.miit.gov.cn,,
2026,110000,个,5000,个,175,亿元,27,亿元,9.5,万元,中国材料与贸易协会,https://www.cmta.org.cn,,
2027,135000,个,5500,个,190,亿元,22,亿元,8.5,万元,中国国际经济贸易促进委员会,https://www.ccpit.org,,
2028,120000,个,4500,个,160,亿元,20,亿元,9.2,万元,中国机械工业联合会,https://www.cmif.org.cn,,
2029,125000,个,4000,个,195,亿元,19.5,亿元,8,万元,中国科技成果转化协会,https://www.cctac.org.cn,,
2026,115000,个,13000,个,170,亿元,36,亿元,10,万元,中国机械工业联合会,http://www.cmif.org.cn,,
2027,120000,个,10000,个,180,亿元,32,亿元,9,万元,国家统计局,http://www.stats.gov.cn,,
2028,125000,个,8000,个,190,亿元,30,亿元,8,万元,中国科学院,http://www.cas.cn,,
2029,130000,个,9500,个,200,亿元,29,亿元,7,万元,全球机器人报告,http://www.globalroboticsreport.com,,
2030,135000,个,9000,个,210,亿元,28,亿元,6,万元,国际激光加工协会,http://www.ilpa.org,,
2031,140000,个,8500,个,220,亿元,27,亿元,5,万元,中国激光技术发展论坛,http://www.cltdf.org,,
2032,145000,个,8000,个,230,亿元,26,亿元,4.5,万元,中国电气电子产品国际市场协会,http://www.ceepia.org.cn,,
2033,150000,个,7500,个,240,亿元,25,亿元,4,万元,中国激光制造技术研究中心,http://www.clmtrc.org,,
2034,155000,个,7000,个,250,亿元,24,亿元,3.8,万元,中国国际贸易促进委员会,http://www.ccpit.org,,
2035,160000,个,6500,个,260,亿元,23,亿元,3.5,万元,中国激光加工产业发展报告,http://www.chinalaserreport.org,,
