能源类别,年度,合作国别,发展研究方式,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
生物质能,2028,中国、巴西,联合实验室建设,南非可再生能源开发机构,https://www.sarec.org.za/,2024-09-29,,,,,,,,,,,,,
氢能,2028,中国、法国,技术赛道竞争,巴西农业研究公司,https://www.embrapa.br/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,政府间合作,法国可再生能源协会,https://reseau-energie-renouvelables.fr/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、孟加拉国,企业与科研合作,国际可再生能源机构,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,非政府组织参与,中国风能协会,http://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,国际联合研究,中国环境科学研究院,https://www.cserc.org,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、加拿大,创新项目融资,北京大学地热研究中心,http://www.earth.ustb.edu.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、日本,政府与企业合作,中国海洋研究所,http://www.cmr.org,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、阿联酋,科研机构主导,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.org,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、乌兹别克斯坦,企业与高校合作,阿布扎比可再生能源公司,https://www.adwec.ae,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、泰国,国际科研项目,中国可再生能源网,http://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、瑞士,政府资助研究,中国农业大学,http://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,行业论坛与技术交流,国家地热能委员会,http://www.geothermal.org.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,多方投资合作,中国氢能产业发展联盟,https://www.chinahydrogen.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、泰国,私人企业合作,中华人民共和国外交部,https://www.fmprc.gov.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、巴西,大学联合研究,泰国能源部,https://www.moen.go.th/en,2024-09-29,,,,,,,,,,,,,
地热能,2023,中国、美国,国际会议与学术合作,巴西国家技术研究院,http://www.institutoaeronautico.gov.br,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,科技园区合作,美国地质调查局,https://www.usgs.gov,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、日本,企业合作研发,澳大利亚可再生能源局,https://www.energy.gov.au,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、瑞典,政府间合作,日本氢能协会,https://www.hydrogen.or.jp,2024-09-29,,,,,,,,,,,,,
光热能,2023,中国、西班牙,科研院所共建,瑞典能源局,https://www.energimyndigheten.se/en,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、南非,技术转让与培训,西班牙可再生能源研究所,https://www.ree.es,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,政府与企业合作,南非能源部,http://www.energy.gov.za,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、俄罗斯,跨国企业联合研究,国际可再生能源署,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、泰国,大学与科研机构合作,中国风能协会,https://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,国际科研项目,中国农业大学,https://www.cau.edu.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,政府资助研究,国际地热协会,https://www.geothermal-energy.org,2024-09-29,,,,,,,,,,,,,
氢能源,2025,中国、日本,贸易与技术合作,中国海洋研究院,https://www.qdsoao.com,2024-09-29,,,,,,,,,,,,,
波浪能,2025,中国、新西兰,科研机构主导,中国氢能产业技术创新战略联盟,https://www.china-hydrogen.org,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、印度尼西亚,政府间合作,新西兰水资源局,https://www.water.govt.nz,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、越南,科技创新论坛,印度尼西亚国家能源委员会,https://www.esdm.go.id,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、巴西,大学合作项目,越南科技部,https://www.most.gov.vn,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,企业与高校合作,巴西农业部,https://www.gov.br/agricultura,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、孟加拉国,国际合作项目,中国可再生能源学会,http://www.creia.org.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,大学研究,国家风能中心,http://www.china-wind.org.cn,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府与科研机构合作,中国农业科学院,http://www.caas.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,多方合作研究,中国地热能协会,http://www.geothermal.cn,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,政府研究项目,中国海洋发展报告,https://www.chinaoceans.gov.cn,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、巴西,科研机构合作,国际氢能协会,http://www.ihs.org,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、菲律宾,农企合作,中国发展研究院,http://www.drc.gov.cn,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、土耳其,国际合作研究,巴西国家电力公司,http://www.aneel.gov.br,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,政府与学术联盟,亚洲生物能源协会,http://www.abea.org,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、乌兹别克斯坦,国际合作项目,地热能开发研究所,http://www.geothermalresearch.org,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、泰国,企业主导研究,中国石油和化学工业联合会,https://www.cpcia.org.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、瑞士,私营部门与科研机构合作,新能源与可再生能源国家实验室,https://www.nrel.gov/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、法国,国际研究项目,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,,,,,,,,,,
潮汐能,2025,中国、巴西,民间非营利项目,国土资源部,http://www.mlr.gov.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,政府及企业合作,中国海洋科学研究院,http://www.qdio.ac.cn/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、南非,学术与工业合作,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、土耳其,大学研究联合体,中国化学科学院,http://www.ciac.ac.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、印度尼西亚,公共与私人合作项目,南非能源部,http://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,企业联合开发,土耳其可再生能源协会,https://www.tureb.org.tr/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,国际技术交流,印尼能源与矿产资源部,http://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,政府与高校合作,瑞士国际开发与合作署,https://www.eda.admin.ch/deza/en/home.html,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,科研机构与民间合作,阿根廷风能协会,https://www.awea.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、挪威,大学与行业合作,土耳其国家地热能委员会,https://www.geothermics.org/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,国际合作研发,巴西可再生能源研究所,http://www.abc.org.br/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、印度尼西亚,政府主导研究项目,挪威海洋技术中心,http://www.marine.ac.uk/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、加拿大,企业与研发机构联合,德国能源署,https://www.dena.de/en/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、泰国,地方政府与大学合作,印尼能源与矿业部,https://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,跨国研究项目,加拿大可再生能源研究所,https://www.canrea.ca/,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、哈萨克斯坦,企业与政府合作,泰国国家可再生能源机构,https://www.dede.go.th/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿联酋,国际联合研究,意大利可再生能源协会,https://www.aer.it/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,非政府组织合作,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、新西兰,高校合作项目,国际太阳能联盟,https://www.isolaralliance.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、印度尼西亚,科研机构合作,巴西可再生能源协会,https://www.abeeolica.org.br/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、韩国,企业投资项目,新西兰地热协会,https://www.geothermal.org.nz/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,高校联合研究,东南亚海洋能源中心,http://www.seamec.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、瑞士,私营企业与科研合作,中国氢能协会,https://www.china-hydrogen.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、芬兰,科研机构与专项基金合作,南非可再生能源协会,https://www.sarec.org.za/,2024-09-29,,,,,,,,,,,,,
光伏能,2026,中国、土耳其,政府跨国合作,瑞士风能协会,https://www.swisswind.ch/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、哈萨克斯坦,政府与企业合作,芬兰生物能源研究所,http://www.bioenergy.fi/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,跨国研究合资,土耳其能源与自然资源部,https://www.energy.gov.tr/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、法国,大学共同研究,中国氢能产业协会,https://www.china-hydrogen.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、孟加拉国,国际科技合作项目,阿根廷可再生能源署,http://www.argentinarenewables.gov.ar/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、挪威,科研机构联合研究,法国可再生能源协会,https://reseau-energie-france.com/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、新西兰,项目联盟研究,国际生物质能研究中心,http://www.biomasstaskforce.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、南非,特定国家项目,挪威海洋能源协会,https://www.norwegiancoastguard.com/,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、加拿大,联合科研项目,新西兰地热研究协会,https://www.geothermal.org.nz/,2024-09-29,,,,,,,,,,,,,
氢能,2026,中国、澳大利亚,多方创新项目,南非可再生能源协会,https://www.southafricanrenewables.com/,2024-09-29,,,,,,,,,,,,,
生物质能,2027,中国、巴西,产业合作研究,加拿大可再生能源中心,https://www.canrenewables.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、阿根廷,企业主导研发,澳大利亚能源科学网,https://www.energyscience.com.au/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、印度尼西亚,高校科研合作,巴西可再生能源研究所,http://www.brazilrenewable.org/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、菲律宾,社区参与项目,国际能源署,https://www.iea.org/,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、土耳其,政府与私营部门伙伴关系,中国电力企业联合会,http://www.chinaepc.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、瑞典,国际合作研究,中国可再生能源学会,https://www.creia.org.cn/,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,科技创新合作,国家能源局,http://www.nea.gov.cn/,2024-09-29,,,,,,,,,,,,,
电池储能,2024,中国、南非,商业化应用研发,中国海洋工程咨询有限公司,http://www.moe.gov.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、巴西,产业联盟合作,中国科学院,http://www.cas.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、埃及,科研与技术合作,中国储能产业技术创新战略联盟,http://www.cbu.org.cn/,2024-09-29,,,,,,,,,,,,,
潮汐能,2024,中国、加拿大,公私合营项目,中国风能协会,https://www.cwea.org.cn/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、哈萨克斯坦,企业主导合作,中国可再生能源学会,https://www.creia.org.cn/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、孟加拉国,跨国技术交流项目,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、越南,地区联合研究计划,中国太阳能行业协会,https://www.cpvta.org,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、意大利,政府与科研机构联合,国家气候变化专家委员会,http://www.ncc2019.org,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、日本,技术创新合作,中国农业科学院,http://www.caas.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,双边研究项目,中国地热能协会,http://www.geothermal.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、南非,企业与政府合作,中国海洋开发研究中心,https://www.codc.org.cn,2024-09-29,,,,,,,,,,,,,
储能技术,2025,中国、瑞士,联合实验室研究,中国氢能应用产业技术创新战略联盟,https://www.hydrogenalliance.com,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、俄罗斯,高校合作项目,中国可再生能源开发集团,https://www.creeg.com,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、泰国,国际商贸合作,中国科学院电力研究所,http://www.cer.jp,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、菲律宾,企业与地方政府联合,中国太阳能技术研究所,https://www.cnsolar.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,多方联合研发,泰国农业部可再生能源局,http://www.rae.go.th,2024-09-29,,,,,,,,,,,,,
生物质能,2025,中国、越南,学术机构合作,中国可再生能源学会,https://www.efchina.org,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、希腊,政府与科研机构合作,阿根廷国家电力公司,http://www.abc.gov.ar,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、澳大利亚,国际科研合作,中国农业科学院,http://www.caas.gov.cn,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,政府主导项目,希腊地热能研究中心,http://www.geothermal.gr,2024-09-29,,,,,,,,,,,,,
太阳能,2026,中国、印度尼西亚,企业与高校联动,澳大利亚可再生能源协会,https://www.renewableenergy.org.au,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、沙特阿拉伯,企业联盟协作,德国能源及水务部,https://www.bmwi.de,2024-09-29,,,,,,,,,,,,,
生物质能,2027,中国、孟加拉国,NGO与地方社区合作,印尼国家可再生能源委员会,http://www.ebtke.esdm.go.id,2024-09-29,,,,,,,,,,,,,
水能,2027,中国、尼泊尔,国际合作项目,沙特可再生能源公司,https://www.renewables.gov.sa/en,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、哈萨克斯坦,国际联合实验室,孟加拉国可再生能源政策框架,http://www.renewableenergybd.org,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、越南,企业联盟项目,尼泊尔水资源部,http://www.mowss.gov.np,2024-09-29,,,,,,,,,,,,,
氢能,2024,中国、德国,技术转移合作,中国科技部,https://www.most.gov.cn/,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、日本,学术交流项目,中国可再生能源市场协会,http://www.creia.org.cn/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、意大利,政府间合作,中国燃料电池产业协会,https://www.chinafuelcell.org/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、巴西,科研合作计划,中国生物质能源协会,http://www.china-biomass.org/,2024-09-29,,,,,,,,,,,,,
核能,2023,中国、俄罗斯,双边研究项目,意大利能源部门,https://www.mise.gov.it/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、中东欧,区域合作项目,南美洲能源研究中心,https://www.southamericanenergy.org/,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、澳大利亚,跨国企业合作,国际原子能机构,https://www.iaea.org/,2024-09-29,,,,,,,,,,,,,
潮汐能,2024,中国、加拿大,创新研讨会,中东欧能源论坛,https://ceef.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、南非,企业间技术合作,澳大利亚可再生能源署,https://www.cleanenergy.gov.au/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、阿根廷,政府间合作研究,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,大学与企业联合研究,中国太阳能产业协会,https://www.chinasolar.org/,2024-09-29,,,,,,,,,,,,,
地热能,2025,中国、菲律宾,实地考察与研究,阿根廷国家能源局,https://www.argentinenergy.gov.ar/,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、挪威,科技研发合作,巴西生物能源研究中心,http://www.brazilbioenergy.org/,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、德国,跨国研究网络,菲律宾地热能源管理局,https://www.doe.gov.ph/renewable-energy/geothermal,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、越南,地方政府联合创新,挪威海洋研究所,https://www.imr.no/,2024-09-29,,,,,,,,,,,,,
风能,2026,中国、泰国,企业投资与技术共享,德国氢能与燃料电池协会,https://www.hydrogen-and-fuelcell.com/,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、印度尼西亚,国际会议与实地调研,越南可再生能源协会,http://www.vreva.org.vn/,2024-09-29,,,,,,,,,,,,,
地热能,2026,中国、意大利,政策对话与研究合作,泰国能源部,http://www.energy.go.th/,2024-09-29,,,,,,,,,,,,,
太阳能,2024,中国、非洲联盟,跨国企业联盟,印尼可再生能源联盟,https://www.ireg.org/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、德国,技术转让与培训,意大利地热能技术联盟,https://www.geothermalitaly.it/,2024-09-29,,,,,,,,,,,,,
生物质能,2024,中国、巴西,企业与地方政府合作,可再生能源国际合作平台,https://www.irena.org,2024-09-29,,,,,,,,,,,,,
地热能,2024,中国、菲律宾,教育与研究机构合作,中国风能协会,http://www.cwea.org.cn,2024-09-29,,,,,,,,,,,,,
海洋能,2025,中国、日本,国际联合研究项目,国际生物质能源网络,https://www.biomass.org,2024-09-29,,,,,,,,,,,,,
氢能,2025,中国、韩国,政府间研究协作,中国地热能工程协会,http://www.cgeia.org.cn,2024-09-29,,,,,,,,,,,,,
风能,2025,中国、加拿大,高校联合研究,亚洲海洋能协会,http://www.aoea.org,2024-09-29,,,,,,,,,,,,,
太阳能,2025,中国、阿联酋,企业与科研机构合作,国家能源局电力研究院,http://www.nerc.cn,2024-09-29,,,,,,,,,,,,,
生物质能,2026,中国、印度尼西亚,社区参与项目,国际可再生能源研究所,https://www.irri.org,2024-09-29,,,,,,,,,,,,,
海洋能,2026,中国、澳大利亚,联合开发与实验项目,阿联酋可再生能源署,http://www.reem.ae,2024-09-29,,,,,,,,,,,,,
