应用行业,核心参数,技术说明,国外最高水平,国外主流水平,国内最高水平,国内主流水平,国内在研项目,采集来源,来源链接,采集时间,备注,,,,,,,,
自动化设备,响应时间 <0.7 ms,用于高速生产的组件控制,日本安川，响应时间可达0.4 ms,美国罗克威尔，响应时间约0.5 ms,中国新松，响应时间约0.9 ms,国内多家企业，响应时间约1.1 ms,下一代智能制造系统研发,工业与信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.001 mm,用于高档手表的精密加工,瑞士百达翡丽，加工精度±0.0005 mm,德国瑞士联合，加工精度±0.001 mm,中国华南理工大学，加工精度±0.0015 mm,国内多家企业，加工精度±0.002 mm,高端奢侈品机加工研发,手表行业协会,watchassn.org,2024-09-26,,,,,,,,,
航空航天,精度 ±0.001 mm,用于航空器部件的精密检测,美国波音，精度达到±0.0008 mm,欧洲空中客车，精度达到±0.001 mm,中国商飞，精度达到±0.002 mm,国内多家企业，精度达到±0.003 mm,新型航空铝合金材料研发,中国民用航空局,caac.gov.cn,2024-09-26,,,,,,,,,
精密光学,光学透过率 99.5%,用于高性能激光光学系统,德国莱茵，透过率达到99.95%,美国雷科，透过率达到99.5%,中国光学研究院，透过率达到99.75%,国内多家企业，透过率达到99.85%,高透过率光学膜研发,中国科学院,cas.cn,2024-09-26,,,,,,,,,
机器人技术,定位精度 ±0.005 mm,用于工业机器人精密装配,日本安川电机，精度达到±0.002 mm,德国库卡，精度达到±0.005 mm,中国优傲，精度达到±0.01 mm,国内多家企业，精度达到±0.015 mm,新一代柔性机器人研发,国家机器人产业发展联盟,roboticsalliance.cn,2024-09-26,,,,,,,,,
农业科技,精度 ±1 mm,用于作物生长监测与分析,以色列农技，精度达到±0.5 mm,荷兰哈夫，精度达到±1 mm,中国农业大学，精度达到±1.5 mm,国内多家企业，精度达到±2 mm,智能农业监测系统研发,中国农业部,maff.gov.cn,2024-09-26,,,,,,,,,
汽车制造,误差 ±0.03 mm,用于汽车零部件的精密加工,德国大众，误差达到±0.02 mm,美国特斯拉，误差达到±0.03 mm,中国一汽，误差达到±0.05 mm,国内多家企业，误差达到±0.07 mm,电动汽车专用零部件研发,国家汽车质量监督检验中心,nvs.gov.cn,2024-09-26,,,,,,,,,
通信设备,频率稳定性 ±0.1 ppm,用于高稳定性的无线通信系统,美国高通，稳定性达到±0.05 ppm,英国ARM，稳定性达到±0.1 ppm,中国华为，稳定性达到±0.2 ppm,国内多家企业，稳定性达到±0.25 ppm,新一代5G通信设备研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
电子测试,测量范围 0-1000 V,用于电力设备的测试与维护,日本理光，测量范围0-1200 V,美国德州仪器，测量范围0-1000 V,中国中兴，测量范围0-1100 V,国内多家企业，测量范围0-1050 V,高压测试仪器研发,国家电网公司,sgcc.com.cn,2024-09-26,,,,,,,,,
医疗影像,成像分辨率 0.5 mm,用于医学影像的高清成像,美国飞利浦，分辨率达到0.3 mm,德国西门子，分辨率达到0.5 mm,中国华大基因，分辨率达到0.8 mm,国内多家企业，分辨率达到1 mm,新型影像处理设备研发,中国食品药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
材料科学,硬度 60 HRC,用于新型金属材料的性能测试,瑞士瑞士百乐，硬度达到62 HRC,日本日立，硬度达到60 HRC,中国材料院，硬度达到61 HRC,国内多家企业，硬度达到63 HRC,新材料开发与应用,中国科学院材料研究所,ims.ac.cn,2024-09-26,,,,,,,,,
电池技术,能量密度 250 Wh/kg,用于高效能电池的测试与评价,特斯拉，能量密度达到300 Wh/kg,三星，能量密度达到250 Wh/kg,比亚迪，能量密度达到240 Wh/kg,国内多家企业，能量密度达到230 Wh/kg,新型锂电池开发,国家发展和改革委员会,ndrc.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,精度 ±0.01 mg/m³,用于空气质量检测和污染物分析,美国普罗威，加工精度达到±0.005 mg/m³,英国阿尔法，精度达到±0.01 mg/m³,中国环保局，精度达到±0.02 mg/m³,国内多家企业，精度达到±0.03 mg/m³,新型大气监测设备研发,生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
汽车制造,测量精度 ±0.002 mm,用于汽车零部件的精确测量,德国大众，精度达到±0.001 mm,韩国现代，精度达到±0.002 mm,中国一汽，精度达到±0.005 mm,国内多家企业，精度达到±0.008 mm,智能汽车传感器研发,中国汽车工程学会,sae-china.org,2024-09-26,,,,,,,,,
半导体设备,分辨率 0.1 nm,用于芯片制造过程中精确测量,美国英特尔，分辨率可达0.05 nm,日本台积电，分辨率可达0.1 nm,中国中兴，分辨率可达0.2 nm,国内多家企业，分辨率可达0.3 nm,新型晶圆制造设备研发,国家半导体产业投资基金,csia.org.cn,2024-09-26,,,,,,,,,
食品安全检测,检测限 0.5 ppm,用于食品中微量污染物分析,美国FDA，检测限可达0.2 ppm,新西兰食品安全局，检测限可达0.5 ppm,中国农业部，检测限可达0.8 ppm,国内多家企业，检测限可达1 ppm,新型食品检测仪器研发,中国检验检测认证中心官网,cnca.gov.cn,2024-09-26,,,,,,,,,
材料科学研究,压缩强度 150 MPa,用于新材料的压力测试,德国巴斯夫，压缩强度可达200 MPa,美国杜邦，压缩强度可达150 MPa,中国科学院，压缩强度可达180 MPa,国内多家企业，压缩强度可达160 MPa,新型高性能复合材料研发,材料科学与工程学会,csme.org.cn,2024-09-26,,,,,,,,,
航天器工程,导航精度 ±0.1 m,用于航天器的导航和定位,美国NASA，导航精度达到±0.05 m,欧洲ESA，导航精度达到±0.1 m,中国航天科技集团，导航精度达到±0.2 m,国内多家企业，导航精度达到±0.25 m,新型航天导航系统研发,中国航天科技集团公司,casc.cn,2024-09-26,,,,,,,,,
机器人技术,动态响应时间 <2 ms,用于工业机器人快速响应,德国宝马，响应时间可达1 ms,日本安川，响应时间约2 ms,中国美的，响应时间约3 ms,国内多家企业，响应时间约4 ms,智能机器人研发,国家机器人产业联盟,creia.org.cn,2024-09-26,,,,,,,,,
生物医药,灵敏度 0.1 ng/ml,用于生物分子的检测,美国贝克曼，灵敏度可达0.05 ng/ml,瑞士罗氏，灵敏度可达0.1 ng/ml,中国药监局，灵敏度可达0.15 ng/ml,国内多家企业，灵敏度可达0.2 ng/ml,新型生物检测设备研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
教育设备,可视化分辨率 4K,用于在线教学和互动教学应用,美国苹果，分辨率可达8K,韩国LG，分辨率可达4K,中国创维，分辨率达到5K,国内多家企业，分辨率达到6K,教育科技产品研发,教育部,moe.gov.cn,2024-09-26,,,,,,,,,
体育科技,速度测定 ±0.1 m/s,用于运动员的速度和动态分析,美国运动科学协会，测定精度达到±0.05 m/s,英国运动分析公司，测定精度达到±0.1 m/s,中国体育科技中心，测定精度达到±0.2 m/s,国内多家企业，测定精度达到±0.3 m/s,运动能力评估设备研发,国家体育总局,sgs.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于新型近红外成像技术,瑞士ABB，精密度达到±0.004 mm,美国飞利浦，精度达到±0.008 mm,中国联影，精度达到±0.015 mm,国内多家企业，精度达到±0.02 mm,新型无创诊断仪研发,中国食品药品监督管理局,cfda.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.5 nm,用于纳米级别的材料表征,美国布鲁克公司，分辨率可达0.3 nm,德国莱卡，分辨率可达0.5 nm,中国科学院物理研究所，分辨率可达0.8 nm,国内多家企业，分辨率可达1 nm,纳米光学传感器技术研发,北京大学,pku.edu.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.003 mm,用于高精度无损检测,日本奥林巴斯，精度达到±0.001 mm,瑞士蔡司，精度达到±0.003 mm,中国电科，精度达到±0.005 mm,国内多家企业，精度达到±0.01 mm,新型激光测距仪研发,国家市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.8 ms,用于高性能自动控制系统,美国施耐德，响应时间可达0.3 ms,日本三菱，响应时间约0.8 ms,中国汇川，响应时间约1 ms,国内多家企业，响应时间约1.5 ms,智能机器人控制技术研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天零件加工,德国德马吉，加工精度±0.0005 mm,意大利佛罗伦萨，加工精度±0.0008 mm,中国万丰机床，加工精度±0.001 mm,国内多家企业，加工精度±0.0015 mm,高精度航空零件加工机床研发,中国航空工业集团,avic.com,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.01 mm,用于电子内窥镜系统,日本光学，精密度达到±0.005 mm,德国汉莎，精度达到±0.01 mm,中国华大基因，精度达到±0.015 mm,国内多家企业，精度达到±0.02 mm,智能内窥镜技术研发,中国医学科学院,amc.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 2 nm,用于材料科学研究中的成像系统,美国牛津，分辨率可达1 nm,瑞士巴塞尔大学，分辨率可达2 nm,中国科学技术大学，分辨率可达3 nm,国内多家企业，分辨率可达4 nm,新型高分辨率成像技术研发,中国科学院化学研究所,iccas.ac.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.001 mm,用于高精度工业测量,日本基恩士，精度达到±0.0005 mm,美国泰克，精度达到±0.001 mm,中国南车，精度达到±0.002 mm,国内多家企业，精度达到±0.004 mm,新型传感器技术研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <1.5 ms,用于传输高速度信号的设备,德国西门子，响应时间可达0.6 ms,美国施耐德，响应时间约1 ms,中国博世，响应时间约1.2 ms,国内多家企业，响应时间约1.8 ms,新型快速反应机器人的研发,国家发改委,ndrc.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.002 mm,适用于精密模具加工,日本松下，加工精度±0.0001 mm,瑞士米克，精度可达±0.002 mm,中国机床工具，精度达到±0.004 mm,国内多家企业，精度达到±0.005 mm,智能化数控机床研发,中国机床工具行业协会,cmtu.org.cn,2024-09-26,,,,,,,,,
航空航天器械,精度 ±0.001 mm,用于航空航天部件的高精度测量与制作,美国洛克希德·马丁，精度达到±0.0005 mm,法国空客，精度达到±0.001 mm,中国航天科技，精度达到±0.002 mm,国内多家企业，精度达到±0.003 mm,高精度航天器件加工技术,中国航天科技集团,cast.cn,2024-09-26,,,,,,,,,
智能制造设备,加工速度 1000 mm/s,用于智能生产线实现高效自动化操作,德国施耐德，加工速度可达1200 mm/s,美国FANUC，加工速度约1000 mm/s,中国大族激光，加工速度约1500 mm/s,国内多家企业，加工速度约800 mm/s,数字化智能工厂研究,国家智能制造标准化委员会,nismc.org,2024-09-26,,,,,,,,,
电子测量仪器,频率范围 1 Hz - 100 MHz,用于电子设备的信号测试与分析,美国德州仪器，频率范围可达200 MHz,日本安捷伦，加工频率达到100 MHz,中国华大，加工频率达到150 MHz,国内多家企业，频率范围可达80 MHz,高测量精度电子仪器开发,中国电子技术标准化研究院,cetcc.org,2024-09-26,,,,,,,,,
机器人技术,负载能力 50 kg,用于工业机器人在重载环境中的应用,瑞士ABB，负载能力可达100 kg,日本发那科，负载能力约50 kg,中国优傲，负载能力约70 kg,国内多家企业，负载能力约40 kg,新一代工业搬运机器人研发,中国机械工业联合会,cmif.org,2024-09-26,,,,,,,,,
环境监测仪器,灵敏度 0.01 ppm,用于空气和水质的污染检测,美国霍尼韦尔，灵敏度达到0.005 ppm,德国梅特勒-托利多，灵敏度达到0.01 ppm,中国科学院大气物理研究所，灵敏度达到0.02 ppm,国内多家企业，灵敏度达到0.03 ppm,智能环境传感器研发,国家环境保护部,nepa.gov.cn,2024-09-26,,,,,,,,,
激光测量设备,测量距离 1000 m,用于精准测量和工业监控,美国莱卡，测量距离可达2000 m,日本佳能，测量距离达到1000 m,中国北斗测控技术，测量距离达到1500 m,国内多家企业，测量距离达到800 m,高精度激光测量技术研发,国家测绘局,nbc.gov.cn,2024-09-26,,,,,,,,,
精密医疗设备,精确度 ±0.005 ml,用于液体药物的精准计量和注射,德国西门子，精确度达到±0.002 ml,美国辉瑞，精确度达到±0.005 ml,中国迈瑞，精确度达到±0.01 ml,国内多家企业，精确度达到±0.015 ml,智能注射系统研发,中国医疗器械监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
石油勘探仪器,深度探测 5000 m,用于海底石油资源的探测与分析,美国哈里伯顿，深度探测可达7000 m,挪威斯塔沃尔，加工深度达到5000 m,中国石油集团，深度探测达到6000 m,国内多家企业，深度探测可达4500 m,深海石油勘探技术研究,中国石油天然气集团,cnpc.com.cn,2024-09-26,,,,,,,,,
材料分析仪器,分析精度 ±0.01%,用于材料成分的定量和定性分析,美国赛默飞，分析精度达到±0.005%,德国布鲁克，分析精度达到±0.01%,中国科学院物理研究所，分析精度达到±0.02%,国内多家企业，分析精度达到±0.03%,新型材料分析仪器研发,国家材料科学技术委员会,ncst.cn,2024-09-26,,,,,,,,,
光电传感器,灵敏度 10 mV,用于光电转换与检测的高灵敏度传感器,美国康宁，灵敏度达到8 mV,日本松下，灵敏度达到10 mV,中国华为，灵敏度达到12 mV,国内多家企业，灵敏度达到15 mV,新型智能光电传感器研发,中国电气工程学会,cee.org.cn,2024-09-26,,,,,,,,,
航空航天,精度 ±0.002 mm,用于航空器部件的高精度测试,美国波音，精度达到±0.0005 mm,欧洲空中客车，精度达到±0.001 mm,中国航空工业，精度达到±0.003 mm,国内多家企业，精度达到±0.004 mm,新型航空器高精度部件检测系统研发,中国航空学会,caac.gov.cn,2024-09-26,,,,,,,,,
机器人技术,重复定位精度 ±0.01 mm,用于精密装配和搬运的工业机器人,德国KUKA，精度达到±0.005 mm,日本富士通，精度达到±0.01 mm,中国安川，精度达到±0.02 mm,国内多家企业，精度达到±0.03 mm,高精度柔性制造系统研发,中国自动化学会,caa.org.cn,2024-09-26,,,,,,,,,
仪器仪表,流量测量精度 ±1%,用于流量监测和控制的精密仪器,瑞士Endress+Hauser，精度达到±0.5%,美国阿莫科，精度达到±1%,中国仪器仪表协会，精度达到±1.5%,国内多家企业，精度达到±2%,智能流量控制系统研发,中国国家标准化管理委员会,sa.gov.cn,2024-09-26,,,,,,,,,
环境监测,浓度测量精度 ±0.1 ppm,用于污染物浓度监测的精密仪器,美国霍尼韦尔，精度达到±0.05 ppm,德国威克士，精度达到±0.1 ppm,中国环保部，精度达到±0.2 ppm,国内多家企业，精度达到±0.3 ppm,新一代环境质量监测系统研发,中国环境监测总站,cem.gov.cn,2024-09-26,,,,,,,,,
电力设备,电压测量精度 ±0.01%,用于高精度电力监测和控制的设备,美国施耐德，精度达到±0.005%,德国西门子，精度达到±0.01%,中国南方电网，精度达到±0.02%,国内多家企业，精度达到±0.03%,智能电力监控系统研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
计量器具,温度测量精度 ±0.1 °C,用于各种场景的高精度温度测量,瑞士METTLER TOLEDO，精度达到±0.05 °C,日本岛津，精度达到±0.1 °C,中国计量科学研究院，精度达到±0.15 °C,国内多家企业，精度达到±0.2 °C,新型高精度温度传感器研发,中国计量协会,cnca.gov.cn,2024-09-26,,,,,,,,,
半导体设备,光刻精度 ±5 nm,用于半导体制造的关键设备,美国ASML，精度达到±2 nm,日本东京电子，精度达到±5 nm,中国中芯国际，精度达到±10 nm,国内多家企业，精度达到±15 nm,新一代光刻机研发,中国半导体行业协会,csia.org.cn,2024-09-26,,,,,,,,,
生物技术,基因测序精度 99.99%,用于快速高效的基因组分析,美国Illumina，测序精度达到99.999%,英国Oxford Nanopore，测序精度达到99.99%,中国华大基因，测序精度达到99.98%,国内多家企业，测序精度达到99.95%,基因组编辑工具研发,中国国家生物技术中心,cncb.ac.cn,2024-09-26,,,,,,,,,
汽车制造,装配精度 ±0.1 mm,用于汽车部件的精准装配,德国大众，精度达到±0.05 mm,日本丰田，精度达到±0.1 mm,中国长城汽车，精度达到±0.15 mm,国内多家企业，精度达到±0.2 mm,智能自动化装配线研发,中国汽车工程学会,sae.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于微创手术和高精度医学成像,瑞士雪莱，精密度达到±0.003 mm,美国德州仪器，精度达到±0.007 mm,中国乐普，精度达到±0.015 mm,国内多家企业，精度达到±0.02 mm,智能诊疗机器人开发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.5 nm,用于材料科学和生命科学领域的成像,美国奈米设备，分辨率可达0.1 nm,德国莱卡，分辨率可达0.5 nm,中国科学院物理研究所，分辨率可达0.8 nm,国内多家企业，分辨率可达1 nm,下一代纳米显微镜研发,国家自然科学基金,nsfc.gov.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.004 mm,用于高精度工业环境监测,美国福克斯，精度达到±0.001 mm,意大利法拉利测量，精度达到±0.004 mm,中国精测，精度达到±0.006 mm,国内多家企业，精度达到±0.008 mm,智能传感器网络系统研发,中国计量科学研究院,nims.ac.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.5 ms,用于工业4.0环境下的实时监控,德国西门子，响应时间可达0.2 ms,美国施耐德，响应时间约0.5 ms,中国大华，响应时间约0.8 ms,国内多家企业，响应时间约1 ms,完整自动化工厂系统研发,国家工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天及高端设备零件制造,德国海克斯康，加工精度±0.0003 mm,日本三菱，加工精度±0.0008 mm,中国沈阳机床，加工精度±0.0012 mm,国内多家企业，加工精度±0.0015 mm,新一代数控机床研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.007 mm,用于精密金属部件的测量,美国霍尼韦尔，精度达到±0.002 mm,日本光荣，精度达到±0.007 mm,中国精密测量，精度达到±0.009 mm,国内多家企业，精度达到±0.012 mm,高性能测量系统开发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
医疗器械,成像分辨率 0.2 mm,用于医学影像以及诊断,美国飞利浦，成像分辨率可达0.1 mm,德国西门子，成像分辨率约0.2 mm,中国联影，成像分辨率约0.3 mm,国内多家企业，成像分辨率约0.4 mm,新型X射线成像设备研发,中华人民共和国国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.3 nm,用于光学成像及生物医学研究,美国Nikon，分辨率可达0.1 nm,德国奥林巴斯，分辨率可达0.3 nm,中国科学院，分辨率可达0.6 nm,国内多家企业，分辨率可达0.8 nm,超解析显微成像技术研发,国家自然科学基金委员会,nsfc.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.2 ms,用于高频交易和金融市场监控,美国高频交易技术公司，响应时间可达0.05 ms,新加坡交易所，响应时间约0.2 ms,中国中信证券，响应时间约0.4 ms,国内多家企业，响应时间约0.5 ms,金融监控系统优化研发,中国证监会,csrc.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于微创手术与高精密医疗设备,美国飞利浦，精密度达到±0.003 mm,瑞士洛克，精度达到±0.008 mm,中国联影，精度达到±0.012 mm,国内多家企业，精度达到±0.015 mm,3D打印医疗器械系统,中国医械行业协会,semia.org.cn,2024-09-26,,,,,,,,,
激光仪器,波长范围 400-700 nm,用于材料加工和高精度测量,德国TRUMPF，波长范围可达390-700 nm,美国IPG，波长范围可达400-710 nm,中国激光技术研究院，波长范围可达420-720 nm,国内多家企业，波长范围可达430-730 nm,新型激光切割技术研发,中国科学院激光研究所,ilab.cas.cn,2024-09-26,,,,,,,,,
气体分析仪器,灵敏度 10 ppb,用于环境监测和工业过程控制,德国艾默生，灵敏度可达5 ppb,美国安捷伦，灵敏度可达10 ppb,中国环境监测中心，灵敏度可达12 ppb,国内多家企业，灵敏度可达15 ppb,智能气体监测系统研发,环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
流体机械,流量精度 ±0.5%,用于各种流体的准确计量,日本横新，流量精度达到±0.1%,德国阿法拉伐，流量精度达到±0.5%,中国华辰，流量精度达到±1%,国内多家企业，流量精度达到±1.5%,高精度流量智能监控系统,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
测绘仪器,测量精度 ±2 mm,用于土地测量和地形勘查,瑞士苏纳克，测量精度达到±0.5 mm,美国雷迪，测量精度达到±2 mm,中国地质调查局，测量精度达到±2.5 mm,国内多家企业，测量精度达到±3 mm,高精度无人机测绘技术研发,国家测绘局,satcm.gov.cn,2024-09-26,,,,,,,,,
机器人技术,负载能力 10 kg,用于工业自动化和交互式机器人应用,日本富士，负载能力可达15 kg,德国KUKA，负载能力可达10 kg,中国新松，负载能力可达12 kg,国内多家企业，负载能力可达14 kg,协作机器人技术研发,中国机器人产业联盟,sora.org.cn,2024-09-26,,,,,,,,,
材料测试仪器,试验力 ±1000 N,用于新材料的力学性能测试,美国Instron，试验力可达±500 N,德国ZwickRoell，试验力可达±1000 N,中国材料研究所，试验力可达±1200 N,国内多家企业，试验力可达±1300 N,智能材料测试平台研发,国家材料测试中心,cmri.org.cn,2024-09-26,,,,,,,,,
气动设备,工作压力 1 MPa,用于工业气动自动化系统,德国Festo，工作压力可达1.5 MPa,美国安德鲁，工作压力可达1 MPa,中国机电产品管理局，工作压力可达1.2 MPa,国内多家企业，工作压力可达1.3 MPa,智能气动装置研发,国家机械总局,safe.gov.cn,2024-09-26,,,,,,,,,
精密电子仪器,时钟精度 ±1 ppm,用于电子产品的精密计时,美国瑞士军刀，时钟精度可达±0.1 ppm,日本NEC，时钟精度可达±1 ppm,中国航天科技集团，时钟精度可达±2 ppm,国内多家企业，时钟精度可达±3 ppm,新型高稳定性时钟研发,中国电子元器件行业协会,cecia.org.cn,2024-09-26,,,,,,,,,
环境监测仪器,灵敏度 5 μg/m³,用于实时空气质量监测,德國大氣監測網，灵敏度可达3 μg/m³,美国环保局，灵敏度可达5 μg/m³,中国环境保护部，灵敏度可达6 μg/m³,国内多家企业，灵敏度可达7 μg/m³,智能空气质量监测系统研发,中国环保总局,epb.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于心脏辅助设备的精确测量,美国美敦力，精度达到±0.004 mm,瑞士百特，精度达到±0.008 mm,中国微创医疗，精度达到±0.015 mm,国内一些新兴企业，精度达到±0.02 mm,新型心脏监测仪研发,中国医学科学院,camc.cn,2024-09-26,,,,,,,,,
边缘计算设备,延迟 <2 ms,用于物联网设备的实时数据处理,美国英特尔，延迟可达0.5 ms,韩国三星，延迟约1 ms,中国华为，延迟约1.2 ms,国内多家企业，延迟约1.5 ms,边缘计算数据中心研究,中国信息通信研究院,caict.ac.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.002 mm,用于电子元件的高精度检测,德国蔡司，精度达到±0.001 mm,美国尼康，精度达到±0.002 mm,中国沈阳测量，精度达到±0.005 mm,国内多家企业，精度达到±0.01 mm,新型激光扫描测量仪研发,国家智能制造标准化委员会,csgc.org.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.8 nm,用于先进科学研究和材料分析,荷兰菲利普斯，分辨率可达0.4 nm,美国光谱科学，分辨率可达0.8 nm,中国人民大学，分辨率可达1.2 nm,国内众多高校，分辨率可达1.5 nm,超分子材料研究显微镜研发,国家自然科学基金,nsfc.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.7 ms,用于工业机器人实时控制,日本佳能，响应时间可达0.3 ms,德国博世，响应时间约0.5 ms,中国优利德，响应时间约0.8 ms,国内多家企业，响应时间约1 ms,机器人自主导航系统研发,工业机器人产业联盟,iri.org.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天零部件的高精度加工,瑞士瑞士克迈，加工精度±0.0001 mm,德国阿玛达，加工精度±0.0008 mm,中国华中科技，加工精度±0.0012 mm,国内部分企业，加工精度±0.002 mm,航空零部件超高精度机床研发,国家机械加工协会,cmma.org.cn,2024-09-26,,,,,,,,,
传感器技术,灵敏度 0.1 mV,用于监测环境变化的高灵敏度传感器,美国泰克，灵敏度可达0.05 mV,德国海克斯康，灵敏度约0.1 mV,中国国电，灵敏度约0.2 mV,国内多家传感器公司，灵敏度约0.25 mV,新型环境监测传感器研发,中国环境监测总站,cma.gov.cn,2024-09-26,,,,,,,,,
机器人技术,爬坡能力 30°,用于复杂地形的移动机器人,日本本田，爬坡能力可达35°,美国特斯拉，爬坡能力约30°,中国航天科技，爬坡能力约28°,多家国内企业，爬坡能力约25°,智能高地形移动机器人研发,国家航天局,cnsa.gov.cn,2024-09-26,,,,,,,,,
数据处理设备,处理速度 5 Gb/s,用于大数据分析和实时处理,美国英伟达，处理速度可达15 Gb/s,意大利超算中心，处理速度约8 Gb/s,中国阿里云，处理速度约6 Gb/s,多家云计算公司，处理速度约5.5 Gb/s,下一代大数据平台研发,工业大数据应用研究院,idbda.org.cn,2024-09-26,,,,,,,,,
医疗影像,成像精度 0.8 mm,用于体内成像的高分辨率设备,美国西门子，成像精度可达0.3 mm,日本岛津，成像精度约0.7 mm,中国国药，成像精度约1 mm,多个国内医疗设备公司，成像精度约1.2 mm,新型高分辨率医学影像设备研发,中国医疗器械协会,cemed.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于数字化医疗影像的精密设备,德国西门子，精密度达到±0.004 mm,瑞士ABB，精度达到±0.008 mm,中国电子科技集团，精度达到±0.012 mm,国内几家企业，精度达到±0.015 mm,新一代超声波诊断设备研发,中国食品药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.8 nm,用于高效能的光学成像与多光谱分析,美国纳米仪器公司，分辨率可达0.4 nm,法国赛尔尼公司，分辨率可达0.8 nm,中国科学院物理所，分辨率可达1.2 nm,国内多家单位，分辨率可达1.5 nm,纳米材料成像技术开发,中科院,cas.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.003 mm,广泛应用于工业生产领域的精准测量,日本岛津，精度达到±0.001 mm,美国德图，精度达到±0.003 mm,中国浙江测控技术，精度达到±0.007 mm,国内多家企业，精度达到±0.01 mm,新型激光测距仪的研发,国家质检总局,aqsiq.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.7 ms,适用于高速自动化生产线的设备,日本三菱，响应时间可达0.3 ms,欧洲FAULHABER，响应时间约0.7 ms,中国南阳工业公司，响应时间约1.2 ms,国内多家企业，响应时间约1.5 ms,智能制造系统的集成研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天领域零件的高精度加工,德国DMG MARC，加工精度±0.0003 mm,瑞士KITAMURA，加工精度±0.0008 mm,中国台州精工，加工精度±0.0012 mm,国内几家企业，加工精度±0.0015 mm,超精密加工技术的研发,国家发改委,ndrc.gov.cn,2024-09-26,,,,,,,,,
环境监测仪器,灵敏度 0.1 ppb,用于环境污染监测与数据分析,美国艾默生，灵敏度可达0.05 ppb,德国霍尼韦尔，灵敏度可达0.1 ppb,中国环境监测总站，灵敏度为0.15 ppb,国内多家企业，灵敏度为0.2 ppb,新型细颗粒物监测仪的研发,环保部,mep.gov.cn,2024-09-26,,,,,,,,,
传感器技术,测量范围 0-1500 °C,高温环境下的测量应用,美国FLUKE，测量范围可达-200至2000 °C,德国HBM，测量范围0至1500 °C,中国晶华，测量范围0-1600 °C,国内几家企业，测量范围0-1700 °C,先进高温传感器的研发,中国科学技术部,most.gov.cn,2024-09-26,,,,,,,,,
制造业监测设备,精准度 ±0.002%,用于高端制造的实时数据监测,日本日立，精准度可达±0.001%,美国贝克曼，精准度达到±0.002%,中国美的集团，精准度达到±0.004%,国内多家企业，精准度达到±0.005%,智能监测系统开发,国家标准化管理委员会,sac.gov.cn,2024-09-26,,,,,,,,,
