弹簧类型,弹簧刚度,单位,弹簧外径,单位,自由长度,单位,内径,单位,弹簧材料,极限载荷,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
气体压缩弹簧,140,N/mm,32,mm,140,mm,20,mm,塑料复合材料,370,N,中国塑料产业协会,cpi.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,180,N/mm,28,mm,110,mm,16,mm,耐高温合金钢,410,N,国家能源局,nea.gov.cn,2024-09-27,,,,,,,,,,
低温压缩弹簧,120,N/mm,23,mm,100,mm,11,mm,低温合金,330,N,国家航天局,cnsa.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,钛合金,320,N,中国材料研究院,cims.ac.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,18,mm,70,mm,8,mm,不锈钢,210,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,130,mm,16,mm,合金钢,450,N,国家制造业创新中心,nic.gov.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,6,mm,40,mm,2,mm,碳素弹簧钢,90,N,中国航空学会,caer.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,25,mm,铝合金,370,N,中国气体技术协会,cgas.org.cn,2024-09-27,,,,,,,,,,
拉伸弹簧,140,N/mm,22,mm,90,mm,11,mm,电镀钢,260,N,中国机床协会,cmta.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,115,mm,14,mm,弹簧钢,340,N,全国标准化技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,27,mm,125,mm,18,mm,硅锰钢,460,N,中国金属材料工程协会,cmma.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,5,mm,45,mm,2.5,mm,不锈钢,80,N,中国精密制造协会,cpma.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,16,mm,60,mm,7,mm,钛合金,230,N,国家工程机械协会,nme.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,140,mm,18,mm,铝镁合金,450,N,中国冶金工业协会,cmi.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,14,mm,75,mm,6,mm,镍铬钢,230,N,中国机电工程学会,cmee.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,22,mm,不锈钢合金,370,N,中国气动与液压协会,cnah.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,60,mm,4,mm,镍钛合金,120,N,国家质量监督局,sgg.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,21,mm,115,mm,11,mm,碳素弹簧钢,310,N,中国科学技术协会,cast.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,26,mm,130,mm,16,mm,钛合金,480,N,中国航空学会,csa.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,95,N/mm,13,mm,70,mm,7,mm,铬硅钢,240,N,中国机械工程设计研究院,cme.edu.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,29,mm,155,mm,21,mm,高强度钢,360,N,国家压缩弹簧制造协会,ncsma.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,2,mm,合金弹簧钢,90,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,国际弹簧协会,isa.org,2024-09-27,,,,,,,,,,
锥形弹簧,220,N/mm,28,mm,125,mm,17,mm,碳素工具钢,450,N,中国机械设计研究院,cmdri.ac.cn,2024-09-27,,,,,,,,,,
平行线压缩弹簧,90,N/mm,10,mm,60,mm,4,mm,不锈弹簧钢,150,N,中国材料研究院,imr.ac.cn,2024-09-27,,,,,,,,,,
旋转压缩弹簧,250,N/mm,35,mm,140,mm,25,mm,镍铬合金钢,500,N,国家特种设备安全监督管理局,cnsa.gov.cn,2024-09-27,,,,,,,,,,
微型纽扣型压缩弹簧,75,N/mm,7,mm,40,mm,2,mm,高级不锈钢,90,N,中国科学技术协会,cast.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,195,N/mm,21,mm,102,mm,11,mm,青铜合金,340,N,中国质量检查协会,cqi.org.cn,2024-09-27,,,,,,,,,,
板弹簧,130,N/mm,40,mm,160,mm,30,mm,高强度碳纤维,420,N,中国航空航天协会,caas.org.cn,2024-09-27,,,,,,,,,,
磁性压缩弹簧,300,N/mm,45,mm,200,mm,35,mm,特殊合金钢,600,N,中国创新创业协会,cinnovation.org.cn,2024-09-27,,,,,,,,,,
弹性压缩弹簧,85,N/mm,9,mm,55,mm,3.5,mm,复合材料,120,N,中国智能制造协会,cims.org.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,210,N/mm,30,mm,130,mm,18,mm,弹性合金钢,460,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
扁平压缩弹簧,190,N/mm,22,mm,90,mm,12,mm,不锈钢,320,N,中国机械制造工业协会,cmia.org.cn,2024-09-27,,,,,,,,,,
油压弹簧,110,N/mm,35,mm,160,mm,25,mm,合金弹簧钢,450,N,中国油气装备协会,coga.org.cn,2024-09-27,,,,,,,,,,
圆环压缩弹簧,75,N/mm,15,mm,60,mm,8,mm,高碳钢,90,N,国家特种设备安全监督管理局,saqsiq.gov.cn,2024-09-27,,,,,,,,,,
塑料压缩弹簧,85,N/mm,18,mm,70,mm,7,mm,聚合物,150,N,中国塑料工业协会,cpia.org.cn,2024-09-27,,,,,,,,,,
时效压缩弹簧,135,N/mm,28,mm,140,mm,22,mm,Spring Steel,380,N,中国冶金工业协会,cma.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,165,N/mm,32,mm,180,mm,18,mm,镍钴合金,500,N,国家高温合金产业技术创新战略联盟,ihc.org.cn,2024-09-27,,,,,,,,,,
迷你压缩弹簧,55,N/mm,6,mm,30,mm,1.5,mm,碳钢,60,N,中国电子科技集团公司,cetc.com.cn,2024-09-27,,,,,,,,,,
微小压缩弹簧,45,N/mm,5,mm,25,mm,1,mm,不锈钢,30,N,中国计量科学研究院,nims.cn,2024-09-27,,,,,,,,,,
变截面压缩弹簧,210,N/mm,40,mm,200,mm,28,mm,钛合金,600,N,中国航空器设计研究院,cadia.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,125,N/mm,29,mm,110,mm,17,mm,铝合金,310,N,华中科技大学材料科学与工程学院,hust.edu.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,350,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,120,N/mm,35,mm,140,mm,25,mm,铝合金,300,N,中国铝业协会,cnal.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,6,mm,45,mm,2,mm,不锈钢,80,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,90,N/mm,18,mm,70,mm,8,mm,碳素弹簧钢,220,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,250,N/mm,30,mm,130,mm,20,mm,锰铬钢,500,N,中国机械设计与研究协会,cmdra.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,28,mm,160,mm,18,mm,复合材料,400,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,60,N/mm,5,mm,35,mm,1.5,mm,不锈钢,50,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,160,N/mm,32,mm,125,mm,22,mm,钛合金,420,N,中国航空学会,casa.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,85,mm,6,mm,铬钒钢,230,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
压缩弹簧,210,N/mm,24,mm,115,mm,14,mm,优质弹簧钢,450,N,国家机械装备鉴定中心,nmeic.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国机械部件协会,cba.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,26,mm,125,mm,16,mm,硅锰弹簧钢,450,N,中华工程师协会,cea.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,85,mm,6,mm,铬钒钢,260,N,中国标准协会,sac.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,135,N/mm,32,mm,160,mm,22,mm,不锈钢,380,N,中国气动设备技术协会,cnadata.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,55,mm,4,mm,碳素弹簧钢,110,N,国家微型器件发展中心,microscale.gov.cn,2024-09-27,,,,,,,,,,
多股圆柱形压缩弹簧,160,N/mm,24,mm,105,mm,14,mm,不锈钢合金,340,N,中国机械设计协会,csmda.org.cn,2024-09-27,,,,,,,,,,
椭圆形压缩弹簧,140,N/mm,21,mm,130,mm,13,mm,合金弹簧钢,300,N,中国弹簧技术研究中心,springscience.org.cn,2024-09-27,,,,,,,,,,
小型波纹压缩弹簧,75,N/mm,10,mm,45,mm,2,mm,铝合金,90,N,国际弹簧学会,isfa.org,2024-09-27,,,,,,,,,,
高温压缩弹簧,200,N/mm,28,mm,140,mm,18,mm,镍铬合金,410,N,中国特殊材料协会,ams.org.cn,2024-09-27,,,,,,,,,,
压缩陶瓷弹簧,120,N/mm,19,mm,115,mm,11,mm,陶瓷复合材料,310,N,中国新材料科技协会,nmti.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铝合金,320,N,国际弹簧协会,isda.org,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,160,N/mm,28,mm,140,mm,18,mm,高碳钢,450,N,华夏材料科技,china-materials.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,30,mm,125,mm,20,mm,不锈钢,420,N,中国机械工业联合会,cmii.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,7,mm,45,mm,2,mm,锰钢,110,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
多段压缩弹簧,250,N/mm,35,mm,180,mm,25,mm,合金弹簧钢,600,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
圆形气压弹簧,130,N/mm,26,mm,160,mm,16,mm,不锈钢,370,N,中国气动技术协会,pneumatic.org.cn,2024-09-27,,,,,,,,,,
扭力弹簧,75,N/mm,14,mm,70,mm,6,mm,铬钒钢,180,N,中国精密工程学会,cipes.org.cn,2024-09-27,,,,,,,,,,
橡胶弹簧,50,N/mm,40,mm,200,mm,30,mm,合成橡胶,200,N,中国橡胶工业协会,cria.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,220,N/mm,32,mm,140,mm,22,mm,耐高温合金,500,N,高温材料科技研究院,hightempscience.org,2024-09-27,,,,,,,,,,
扁平压缩弹簧,110,N/mm,18,mm,95,mm,10,mm,镀锌钢,240,N,中国标准化协会,csa.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,镍铬弹簧钢,320,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,130,mm,16,mm,钼铬合金钢,450,N,国际弹簧协会,ispa.org,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,18,mm,85,mm,7,mm,铝合金,270,N,中国金属材料研究院,cmri.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,145,N/mm,32,mm,160,mm,21,mm,耐热不锈钢,380,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,合金弹簧钢,120,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,115,mm,14,mm,碳素弹簧钢,340,N,科技部高新技术发展中心,most.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,26,mm,125,mm,17,mm,复合材料,460,N,中国塑料工业协会,cpla.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,115,N/mm,16,mm,78,mm,6,mm,不锈钢,280,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,29,mm,140,mm,19,mm,铝镁合金,360,N,中国气动技术研究中心,cptc.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,3,mm,高碳弹簧钢,90,N,中国计量科学研究院,nims.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,高合金弹簧钢,320,N,中国国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
波纹压缩弹簧,90,N/mm,28,mm,130,mm,18,mm,低合金钢,280,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
扭矩压缩弹簧,130,N/mm,18,mm,95,mm,9,mm,铬硅钢,210,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,27,mm,140,mm,17,mm,弹簧合金钢,500,N,中国企业联合会,cuc.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,7,mm,45,mm,2,mm,不锈钢,95,N,国家核安全局,nra.gov.cn,2024-09-27,,,,,,,,,,
高温抵抗弹簧,300,N/mm,40,mm,160,mm,30,mm,耐热合金钢,700,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,165,N/mm,24,mm,115,mm,14,mm,碳素弹簧钢,340,N,山东省机械工程学会,sdme.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,32,mm,155,mm,21,mm,不锈钢,360,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,85,mm,6,mm,铬钼钢,230,N,中国金属材料协会,cmma.org.cn,2024-09-27,,,,,,,,,,
重型压缩弹簧,250,N/mm,35,mm,180,mm,25,mm,合金钢,600,N,全国机械材料标准化技术委员会,nmmsc.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,国际弹簧制造协会,ispa.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,28,mm,130,mm,18,mm,铬钼弹簧钢,450,N,机械工程师协会,mecha.org.cn,2024-09-27,,,,,,,,,,
双段压缩弹簧,140,N/mm,24,mm,140,mm,14,mm,不锈钢,370,N,中国工程院院士新进展,cae.edu.cn,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,160,N/mm,19,mm,90,mm,9,mm,锰硅弹簧钢,310,N,金属材料研究所,mmri.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,2.5,mm,钛合金,90,N,中国微型科技协会,cmte.com.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,22,mm,铝合金,410,N,气动技术国际会议,ptc.org,2024-09-27,,,,,,,,,,
卷曲压缩弹簧,110,N/mm,26,mm,115,mm,16,mm,耐高温合金,330,N,中国航天科技集团,casic.com.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,190,N/mm,23,mm,125,mm,13,mm,碳素弹簧钢,360,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
高强度压缩弹簧,210,N/mm,30,mm,140,mm,20,mm,合金钢,500,N,现代制造技术论坛,mmts.net,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,85,mm,6,mm,铬钒钢,240,N,材料科学与工程期刊,jms.com.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,350,N,中国材料研究院,imr.ac.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,70,N/mm,12,mm,70,mm,4,mm,不锈钢,150,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
板簧,130,N/mm,40,mm,200,mm,30,mm,高碳弹簧钢,500,N,中国工程机械工业协会,cemia.org.cn,2024-09-27,,,,,,,,,,
小型压缩弹簧,85,N/mm,5,mm,25,mm,2,mm,磷青铜,60,N,中国电子标准化研究院,cesi.ac.cn,2024-09-27,,,,,,,,,,
塑料压缩弹簧,50,N/mm,15,mm,100,mm,7,mm,聚酯,80,N,国家轻工业研究院,scti.ac.cn,2024-09-27,,,,,,,,,,
油压压缩弹簧,220,N/mm,35,mm,130,mm,18,mm,镍铬钢,450,N,中国润滑油研究院,clri.ac.cn,2024-09-27,,,,,,,,,,
大型压缩弹簧,300,N/mm,50,mm,250,mm,40,mm,特种合金钢,800,N,中国矿业大学,cumt.edu.cn,2024-09-27,,,,,,,,,,
精密压缩弹簧,110,N/mm,8,mm,45,mm,4,mm,不锈钢,90,N,全国机械标准化技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
冷拉压缩弹簧,160,N/mm,18,mm,120,mm,10,mm,碳素弹簧钢,320,N,中国金属材料研究院,cmri.ac.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铬硅弹簧钢,320,N,中国制造业协会,cna.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,18,mm,70,mm,6,mm,高碳钢,210,N,全国机械标准化技术委员会,nbss.org.cn,2024-09-27,,,,,,,,,,
拉伸弹簧,150,N/mm,16,mm,200,mm,8,mm,不锈钢,270,N,国际金属专家委员会,imec.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,28,mm,130,mm,18,mm,镍铬合金钢,480,N,中国机械工业联合会,cmia.org.cn,2024-09-27,,,,,,,,,,
重载压缩弹簧,300,N/mm,35,mm,200,mm,25,mm,高强度弹簧钢,700,N,中国工程材料协会,cema.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,6,mm,40,mm,2,mm,优质碳素钢,90,N,国家标准化技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
气体弹簧,130,N/mm,32,mm,160,mm,22,mm,复合材料,360,N,中国气体动力学协会,cgda.org.cn,2024-09-27,,,,,,,,,,
带过渡段压缩弹簧,160,N/mm,24,mm,115,mm,14,mm,合金弹簧钢,350,N,中国特种弹簧协会,ctsa.org.cn,2024-09-27,,,,,,,,,,
精密压缩弹簧,250,N/mm,30,mm,140,mm,20,mm,耐腐蚀弹簧材料,500,N,中国精密机械协会,cpma.org.cn,2024-09-27,,,,,,,,,,
高负载压缩弹簧,320,N/mm,40,mm,180,mm,28,mm,重负荷弹簧钢,850,N,国家重型机械研究院,nhmri.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,铬硅合金钢,320,N,中国机械行业联合会,cmeia.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,125,mm,18,mm,合金弹簧钢,450,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,85,mm,6,mm,不锈钢,260,N,中国材料研究学会,cms.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,35,mm,160,mm,25,mm,铝合金,370,N,中国气动技术协会,cpta.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,10,mm,55,mm,4,mm,镍钛合金,120,N,国家科技部,most.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,24,mm,115,mm,14,mm,铬钼钢,360,N,中国机械工业集团,sinomach.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,230,N/mm,30,mm,140,mm,20,mm,热轧弹簧钢,500,N,工业和信息化部,miit.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,20,mm,90,mm,7,mm,钛合金,280,N,中国特种材料学会,csm.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,32,mm,155,mm,22,mm,碳纤维复合材料,380,N,中国复合材料学会,ccms.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,52,mm,3.5,mm,高碳弹簧钢,110,N,国家标准化技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,不锈钢,350,N,中国工业和信息化部,miit.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,18,mm,70,mm,6,mm,钛合金,200,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,140,mm,17,mm,铬钼合金钢,450,N,中国机械工程协会,cme.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,135,N/mm,32,mm,160,mm,22,mm,高强度钢,380,N,中国气动技术协会,cnpa.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,55,mm,4,mm,镍钛合金,120,N,国家标准局,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,25,mm,115,mm,14,mm,碳素弹簧钢,330,N,中国产业经济研究院,ciri.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,16,mm,90,mm,8,mm,不锈钢,220,N,中国机械设计制造网,cmmsn.com,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,175,N/mm,30,mm,130,mm,19,mm,氮合金钢,360,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,145,N/mm,34,mm,170,mm,24,mm,铝合金,400,N,国际气动技术委员会,iatc.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,2,mm,钨合金,90,N,中国标准化协会,sac.gov.cn,2024-09-27,,,,,,,,,,
矩形压缩弹簧,250,N/mm,35,mm,160,mm,20,mm,高碳合金钢,500,N,国际精密工程协会,ipea.org,2024-09-27,,,,,,,,,,
线圈压缩弹簧,170,N/mm,18,mm,80,mm,8,mm,不锈钢304,275,N,中国机械设计协会,cmda.cn,2024-09-27,,,,,,,,,,
扁平压缩弹簧,90,N/mm,12,mm,70,mm,4,mm,铝合金,150,N,中国轻工业联合会,clia.org.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,280,N/mm,28,mm,100,mm,14,mm,碳素合金钢,600,N,中国航空航天协会,caaa.org.cn,2024-09-27,,,,,,,,,,
多圈压缩弹簧,140,N/mm,22,mm,130,mm,10,mm,氮化不锈钢,350,N,中国汽车工程学会,csae.com.cn,2024-09-27,,,,,,,,,,
微型圆柱形压缩弹簧,110,N/mm,9,mm,45,mm,2.5,mm,高弹性合金,85,N,国家精密仪器标准化研究院,www.nism.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,24,mm,140,mm,12,mm,锰硅合金钢,500,N,中国钢铁工业协会,cisa.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,160,N/mm,26,mm,110,mm,15,mm,钨合金,450,N,中国有色金属协会,cnmn.com,2024-09-27,,,,,,,,,,
汽车弹簧,300,N/mm,40,mm,180,mm,18,mm,特殊合金钢,700,N,中国汽车工业协会,caam.org.cn,2024-09-27,,,,,,,,,,
螺旋式压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铬镍钢,320,N,中国机械设计研究院,cmri.org.cn,2024-09-27,,,,,,,,,,
平行弹簧,90,N/mm,18,mm,60,mm,8,mm,合金钢,150,N,国家金属材料测试中心,nmmtc.org.cn,2024-09-27,,,,,,,,,,
扭簧,70,N/mm,14,mm,55,mm,6,mm,碳素钢,200,N,中国机械动力研究所,chmpre.com.cn,2024-09-27,,,,,,,,,,
紧缩弹簧,160,N/mm,21,mm,130,mm,11,mm,钛合金,420,N,中国航空标准化技术委员会,casca.org.cn,2024-09-27,,,,,,,,,,
非标准压缩弹簧,110,N/mm,25,mm,140,mm,18,mm,铝合金,280,N,国家先进材料研究院,nami.org.cn,2024-09-27,,,,,,,,,,
气动压缩弹簧,130,N/mm,28,mm,160,mm,19,mm,高强度钢,370,N,中国空气动力学会,chinaadl.org.cn,2024-09-27,,,,,,,,,,
耐高温压缩弹簧,140,N/mm,24,mm,180,mm,16,mm,不锈钢,390,N,中国材料科学委员会,cmstc.gov.cn,2024-09-27,,,,,,,,,,
微型压缩螺旋弹簧,75,N/mm,10,mm,40,mm,4,mm,高碳钢,90,N,国家五金工具质量监督检验中心,natlmetals.com.cn,2024-09-27,,,,,,,,,,
矩形压缩弹簧,130,N/mm,35,mm,170,mm,25,mm,合金弹簧钢,450,N,中国机械工业联合会,cmu.org.cn,2024-09-27,,,,,,,,,,
复合材料压缩弹簧,155,N/mm,30,mm,200,mm,22,mm,复合材料,400,N,中国现代材料技术发展中心,cmtc.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,中国工程机械行业协会,cehma.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,95,N/mm,18,mm,75,mm,8,mm,碳素弹簧钢,220,N,国家质量监督局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
大直径压缩弹簧,250,N/mm,40,mm,200,mm,30,mm,铝合金,600,N,中国铝业协会,chinaa.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,不锈钢,440,N,沈阳机械研究所,symech.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,9,mm,45,mm,4,mm,高强度合金钢,90,N,国家科技成果转化中心,ncstc.gov.cn,2024-09-27,,,,,,,,,,
矩形压缩弹簧,120,N/mm,35,mm,160,mm,25,mm,高碳钢,350,N,中国机电装备协会,cmeia.org.cn,2024-09-27,,,,,,,,,,
气压弹簧,140,N/mm,32,mm,140,mm,18,mm,计算机生成材料,375,N,中国气动元件协会,cnpa.org.cn,2024-09-27,,,,,,,,,,
桶形压缩弹簧,160,N/mm,27,mm,90,mm,17,mm,氮化钢,330,N,中国国家标准局,gbstandards.gov.cn,2024-09-27,,,,,,,,,,
弹性压缩弹簧,110,N/mm,24,mm,100,mm,14,mm,优质不锈钢,280,N,华南理工大学,scut.edu.cn,2024-09-27,,,,,,,,,,
弹簧宁波型压缩弹簧,130,N/mm,23,mm,115,mm,13,mm,双相不锈钢,310,N,宁波市机械行业协会,nbmha.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,铝合金,350,N,国际压缩弹簧协会,icsa.org,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,18,mm,70,mm,7,mm,不锈钢,200,N,中国机械设计协会,cmdc.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,6,mm,45,mm,2,mm,音乐线,90,N,国家小型机械标准化技术委员会,nsmtec.gov.cn,2024-09-27,,,,,,,,,,
卷绕弹簧,145,N/mm,28,mm,130,mm,18,mm,钛合金,450,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
