银行名称（字符型）,海洋业务（字符型）,业务规模（数值型）,单位,业务规则（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
华夏银行,海洋工程设备贷款,150,亿元,资产评估及担保,中国工程建设协会,http://www.ceca.org.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋旅游基础设施贷款,120,亿元,项目效益评估,国家旅游局,http://www.cnta.gov.cn,2024-10-12,,,,,,,,,,,,,
招商局银行,深海捕捞贷款,90,亿元,风险管理与控制,中国渔业协会,http://www.chinafishery.net,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋文化事业融资,70,亿元,项目评审与批准,浙江省文化和旅游厅,http://www.zjwh.gov.cn,2024-10-12,,,,,,,,,,,,,
浙江农信,海洋生态安全贷款,50,亿元,生态补偿机制评估,环保部海洋生态保护司,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
江苏银行,海洋智能化港口融资,75,亿元,技术可行性研究,江苏省沿海经济发展办公,http://www.jseco.gov.cn,2024-10-12,,,,,,,,,,,,,
河北银行,海洋农产品流通贷款,30,亿元,贷款利率调控,河北省农业农村厅,http://www.hebei.gov.cn,2024-10-12,,,,,,,,,,,,,
中国建设银行,海洋可再生能源贷款,350,亿元,项目审核与环境影响评估,中国海洋经济发展论坛,http://www.cme.org.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋防灾信贷,200,亿元,风险评估与应急管理,中国气象局,http://www.cma.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋生物科技投资,120,亿元,技术和市场可行性分析,中国海洋科技发展报告,http://www.china-ocean.org/,2024-10-12,,,,,,,,,,,,,
平安银行,海洋物流信贷,90,亿元,运输风险评估,全国海洋物流协会,http://www.cmlma.org/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋旅游发展贷款,75,亿元,市场调研和风险控制,中国旅游协会,http://www.ctaweb.org/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋交通设施融资,130,亿元,基础设施合规审核,国家交通部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环保项目融资,160,亿元,环保标准认证,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋设施建设贷款,80,亿元,施工合规与项目监控,中国基础设施投资协会,http://www.ciia.org.cn/,2024-10-12,,,,,,,,,,,,,
广州银行,海洋安全装备融资,50,亿元,采购风险评估,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-10-12,,,,,,,,,,,,,
四川银行,海洋文化旅游信贷,65,亿元,文化产品评估,文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海采矿信贷,250,亿元,环境影响评估,中国海洋石油协会,https://www.cnooc.com.cn/yanggang,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋风电项目融资,400,亿元,资金使用追踪,中国可再生能源学会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋生物科学研究贷款,170,亿元,科研项目审核,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋文化推广贷款,90,亿元,项目对接与审核,文化和旅游部,http://www.mcprc.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋智能科技贷款,120,亿元,技术验证审批,国家科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋生态保护信贷,210,亿元,法规遵循审核,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋物流与运输融资,150,亿元,业务合规检查,中国交通运输协会,http://www.china-transports.org,2024-10-12,,,,,,,,,,,,,
南京银行,海洋农业信贷,80,亿元,可持续发展评估,农业农村部,http://www.moa.gov.cn,2024-10-12,,,,,,,,,,,,,
华信银行,海洋科技成果转化信贷,60,亿元,市场前景分析,中国科学技术协会,http://www.cast.org.cn,2024-10-12,,,,,,,,,,,,,
平安银行,海洋影视项目融资,45,亿元,内容质量审核,国家电影局,http://www.sarft.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋清洁能源信贷,250,亿元,项目评估与审查,中国海洋能源发展网,http://www.oceanenergy.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋水产养殖贷款,120,亿元,市场分析与监测,中国水产协会,http://www.cfsaa.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋管理项目贷款,90,亿元,风险评估与管理,环保部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋文化旅游融资,70,亿元,项目可行性研究,中国文化和旅游部,http://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环保项目贷款,160,亿元,环保合规审核,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
中信证券,海洋智能装备融资,300,亿元,技术风险评估,中国证券监督管理委员会,http://www.csrc.gov.cn,2024-10-12,,,,,,,,,,,,,
招商证券,海洋生物科技贷款,85,亿元,研发项目审核,中国生物技术协会,http://www.china-bioassociaton.com,2024-10-12,,,,,,,,,,,,,
兴业证券,海洋信息技术信贷,110,亿元,信息系统评估,中国通信产业协会,http://www.cai.gov.cn,2024-10-12,,,,,,,,,,,,,
广州银行,海洋科技转化贷款,140,亿元,科技成果评估,国家科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
北京银行,海洋物流融资,200,亿元,物流安全审核,中国物流与采购联合会,http://www.cflp.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋环境修复贷款,250,亿元,项目可行性研究,中国海洋环境保护学会,http://www.cmeps.org.cn,2024-10-12,,,,,,,,,,,,,
浦东发展银行,海洋生物资源开发融资,180,亿元,风险评估与监管,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
深圳发展银行,海洋基础设施投资贷款,220,亿元,资金分配与监控,国际海洋经济论坛,http://www.imef.org,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋风能项目贷款,300,亿元,贷款条件审查,中国可再生能源协会,http://www.creia.org.cn,2024-10-12,,,,,,,,,,,,,
中信证券,海洋要素市场融资,400,亿元,市场审核与风险控制,中国证券市场监管委员会,http://www.csrc.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋科技研发贷款,160,亿元,科技评审标准,中国科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋信息化建设信贷,90,亿元,信息保护措施,浙江省海洋经济发展研究中心,http://www.zjmarine.com,2024-10-12,,,,,,,,,,,,,
深圳农村商业银行,海洋人才培训融资,70,亿元,实施项目评估,中国教育部,http://www.moe.gov.cn,2024-10-12,,,,,,,,,,,,,
杭州银行,海洋可持续发展贷款,130,亿元,环境影响评估,中国生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
渤海银行,海洋航运融资,50,亿元,航运安全审查,国家海事局,http://www.msa.gov.cn,2024-10-12,,,,,,,,,,,,,
邮储银行,深海矿产资源融资,250,亿元,资产评估与抵押,中国海洋矿产资源开发报告,http://www.cmr.gov.cn/reports/mineral_report,2024-10-12,,,,,,,,,,,,,
光大银行,海洋可再生能源贷款,400,亿元,可行性研究与审计,国家能源局,http://www.nea.gov.cn/energy_statistics,2024-10-12,,,,,,,,,,,,,
民生银行,海洋旅游发展信贷,120,亿元,市场需求评估,中国旅游发展报告,http://www.cta.gov.cn/tourism_report,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋环境监测贷款,70,亿元,监测数据审核,海洋环境保护局,http://www.mee.gov.cn/monitoring,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋科研项目融资,300,亿元,科研价值评估,中国科技部,http://www.most.gov.cn/science_reports,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋运输基础设施信贷,90,亿元,项目可行性分析,国家交通运输部,http://www.mot.gov.cn/infrastructure_report,2024-10-12,,,,,,,,,,,,,
东北亚银行,海洋冷链物流贷款,180,亿元,物流网络评审,中国物流与采购联合会,http://www.clc.org.cn/logistics_report,2024-10-12,,,,,,,,,,,,,
招商银行,海洋创意产业融资,110,亿元,项目创意评估,国家文化和旅游部,http://www.mct.gov.cn/creative_industry,2024-10-12,,,,,,,,,,,,,
光大银行,海洋生态保护基金,200,亿元,生态影响评估,中国生态文明研究中心,http://www.cesc.org.cn/eco_research,2024-10-12,,,,,,,,,,,,,
建行银行,海洋智能装备贷款,150,亿元,技术合规性审核,中国工程院,http://www.cae.cn/equipment_report,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风能项目融资,250,亿元,可再生能源项目审查,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海矿产资源开发贷款,450,亿元,合规风险控制,中国海洋经济协会,http://www.cmei.org.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋保护项目资金,180,亿元,环保评估标准,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋塑料回收信贷,75,亿元,可持续发展评估,中国海洋大学,http://www.ouc.edu.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋生物科技贷款,120,亿元,技术评审标准,中国生物技术发展中心,http://www.biotech.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋运输设施信贷,200,亿元,基础设施合规审查,交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋文化旅游贷款,95,亿元,商业模式评估,国家旅游局,http://www.cta.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,深海探测信贷,350,亿元,科研项目审核,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋智能设备融资,140,亿元,技术验证,中国智能制造网,http://www.cimm.com/,2024-10-12,,,,,,,,,,,,,
农业银行,海洋生态修复贷款,90,亿元,环保合规审查,海洋生态保护机构,http://www.oceanprotection.org/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋新能源项目融资,250,亿元,资源可持续利用审核,绿色金融发展报告,http://www.greenfinance.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋工程建设贷款,400,亿元,项目投标合规审查,海洋工程杂志,http://www.oceanengineeringjournal.com,2024-10-12,,,,,,,,,,,,,
中国工商银行,海洋生物科技投资信贷,180,亿元,技术背景审核,中国生物科技研究院,http://www.cbrc.gov.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋数据与信息服务资金支持,110,亿元,数据安全与隐私审核,中国海洋数据中心,http://www.chinadataocean.org,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋安全监控贷款,90,亿元,安全评估报告要求,安全海洋发展基金,http://www.seafund.org,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋污染治理融资,70,亿元,项目可行性分析,生态保护与治理中心,http://www.epgc.org,2024-10-12,,,,,,,,,,,,,
深圳发展银行,海洋旅游基础设施贷款,320,亿元,收益预测与风险评估,海洋旅游局,http://www.oceanictourism.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋文化传播资金支持,40,亿元,项目社会影响评估,海洋文化与艺术协会,http://www.oceanculture.org.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋风能项目贷款,200,亿元,环境影响评估,国家能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋物流服务贷款,130,亿元,物流链管理合规,中国海洋物流协会,http://www.cml.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产开发贷款,400,亿元,环保与安全保障,中国海洋科技发展研究院,http://www.cmr.gov.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋能源开发信贷,350,亿元,能源效率审核,中国能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环境保护贷款,200,亿元,项目环保评估,中国生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋旅游业融资,120,亿元,项目经济效益评估,国家旅游局,http://www.cnta.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋生物科技贷款,90,亿元,专利与技术审核,中国海洋生物技术研究中心,http://www.cmb.edu.cn,2024-10-12,,,,,,,,,,,,,
工商银行,海洋渔业可持续贷款,250,亿元,渔业资源评估,全国渔业资源管理局,http://www.fao.org/fishery/en,2024-10-12,,,,,,,,,,,,,
农业银行,海洋文化产品融资,130,亿元,文化产业评估,中国文化和旅游部,http://www.mcprc.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋物流融资,75,亿元,物流效率评估,国家交通运输部,http://www.mot.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,深海科学研究信贷,80,亿元,科研项目审核,中国科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,海洋碳中和贷款,110,亿元,碳排放评估,国家气候变化事务局,http://www.ncc.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产开发融资,420,亿元,安全评估与审批,中国矿产资源协会,http://www.cmra.com.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋环境保护贷款,250,亿元,可持续发展审查,国际海洋新闻,https://www.maritimejournal.com/,2024-10-12,,,,,,,,,,,,,
浦发银行,蓝色经济产融结合项目贷,350,亿元,合作项目评估,中国海洋科技发展规划,https://www.cmse.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋生物科技贷款,150,亿元,技术转让审批,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋运输设备融资,90,亿元,设备评估与保障,中国船舶工业行业协会,http://www.cansi.org/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋旅游基础设施贷款,80,亿元,景区规划审核,中国旅游协会,http://www.cnta.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国光大银行,海洋风能项目融资,300,亿元,环境影响评估,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,海洋科技创新信贷,110,亿元,科技成果验证,中国科学技术协会,http://www.cast.org.cn/,2024-10-12,,,,,,,,,,,,,
建设银行,海洋信息产业贷款,200,亿元,信息系统评审,中国信息产业部,http://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
工商银行,海洋生态恢复贷款,220,亿元,生态效益评估,全国环境保护部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋绿色能源融资,120,亿元,可再生能源项目评估,中国绿色金融发展报告,http://www.greenfinance.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋污染治理贷款,90,亿元,项目计划审核,全国海洋污染防治进展报告,http://www.nmp.com/report,2024-10-12,,,,,,,,,,,,,
民生银行,海洋农业贷款,75,亿元,农产品价值链分析,海洋农业发展统计年鉴,http://www.agriculture.gov.cn/data,2024-10-12,,,,,,,,,,,,,
光大银行,海洋设施建设贷款,200,亿元,工程技术评估,中国基础设施投资中心,http://www.chinainvest.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋生物科技贷款,110,亿元,创新项目审核,海洋科技与经济观察,http://www.marineinnovation.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋文化旅游发展信贷,85,亿元,市场前景分析,国家文化和旅游部,http://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海探测项目融资,150,亿元,技术评审与风险控制,深海科技项目报告,http://www.deepseatech.org,2024-10-12,,,,,,,,,,,,,
中国光大银行,海洋保护区建设信贷,65,亿元,环保合规性审查,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
浙江泰隆银行,海上风电项目融资,140,亿元,项目投资回报评估,中国风能协会,http://www.cwea.org.cn,2024-10-12,,,,,,,,,,,,,
中信银行,海洋基础设施信贷,175,亿元,施工监管与审计,国家发展改革委,http://www.ndrc.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋风电融资,350,亿元,项目可行性研究,能源政策研究院,http://www.energyresearch.org.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋环境保护信贷,230,亿元,环境影响评估,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋渔业发展贷款,180,亿元,贷款条件透明,中国渔业协会,http://www.chinafishery.org.cn/,2024-10-12,,,,,,,,,,,,,
兴业银行,深海采矿信贷,400,亿元,风险评估与控制,海洋资源开发论坛,http://www.marine-resources-forum.cn/,2024-10-12,,,,,,,,,,,,,
中国农业银行,海洋农业信贷,150,亿元,农业项目监控,全国农业信贷研究院,http://www.agriculturalcredit.org.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,智慧海洋技术融资,120,亿元,技术创新支持,科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋气候变化信贷,90,亿元,气候适应性分析,气候变化研究中心,http://www.climatechange.org.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋旅游基础设施融资,210,亿元,项目审计与监管,中国旅游发展委员会,http://www.cta.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋绿色贷款,275,亿元,绿色融资条件,绿色信贷研究所,http://www.greenfinance.org.cn/,2024-10-12,,,,,,,,,,,,,
渤海银行,深海探测技术信贷,95,亿元,科研项目资助,海洋科技管理局,http://www.ocean-tech.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海探测设备融资,120,亿元,风险评估与合规审核,中国海洋科技发展报告,http://www.cstmp.cn/2024/0315/40276.shtml,2024-10-12,,,,,,,,,,,,,
民生银行,海洋能源贷款,400,亿元,能源项目评审,国际能源署,https://www.iea.org/reports/ocean-energy,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋环保贷款,250,亿元,生态影响评估,生态环境部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋渔业现代化信贷,175,亿元,技术创新支持,中国渔业经济研究报告,http://www.fisheryeconomics.cn/2023/publications,2024-10-12,,,,,,,,,,,,,
中信证券,深海矿产开发融资,320,亿元,项目可行性分析,香港交易所,https://www.hkex.com.hk/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋货运信贷,85,亿元,合同审核与担保,中国物流与采购联合会,http://www.cflp.org.cn/,2024-10-12,,,,,,,,,,,,,
招商证券,海洋生态旅游贷款,140,亿元,文化与环保双重审查,国家文旅部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大证券,近海风电融资,210,亿元,发电能力评估,国家能源局,https://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
农业发展银行,海洋生物技术投资贷款,90,亿元,生物技术审核,中国农业投资促进会,http://www.caiia.org/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋信息科技贷款,160,亿元,信息技术审查,中国信息产业部,http://www.miit.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋清洁技术贷款,400,亿元,环保技术验证,中国环境保护部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
邮储银行,海洋养殖提供资金,250,亿元,可持续发展审查,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海矿产开发投资,350,亿元,市场前景分析,中国矿业联合会,http://www.cmr.org.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋风能贷款,600,亿元,项目投资评估,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
深圳发展银行,海洋食品加工融资,180,亿元,产量与市场分析,全国商业联合会,http://www.acr.org.cn/,2024-10-12,,,,,,,,,,,,,
南京银行,海洋专业设备贷款,120,亿元,设备评估与认证,中国海洋学会,http://www.cos.gov.cn/,2024-10-12,,,,,,,,,,,,,
中国民生银行,海洋环保产业融资,90,亿元,投资收益分析,中国可再生能源学会,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋信息技术贷款,70,亿元,技术市场潜力评估,中国信息通信研究院,http://www.radio.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋文化旅游信贷,110,亿元,文化价值分析,国家旅游局,http://www.cnta.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信银行,深海科学研究资助,200,亿元,科研项目审核,中国科学院,http://www.cas.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,深海资源开发信贷,400,亿元,项目合规审核,中国海洋经济研究中心,http://www.coceir.com,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋可再生能源贷款,250,亿元,环境影响评估,中国发展研究院,http://www.cdri.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋文化与旅游融资,90,亿元,风险评估与管理,海洋文化发展论坛,http://www.ocdf.org,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物科技贷款,130,亿元,科技成果转化评估,中国生物技术协会,http://www.csbio.org,2024-10-12,,,,,,,,,,,,,
招商局银行,海洋运输及物流信贷,180,亿元,船舶融资审核,中国物流与采购联合会,http://www.clpc.org.cn,2024-10-12,,,,,,,,,,,,,
中信证券,海洋投资基金,220,亿元,投资项目审核与管理,中国证券市场发展报告,http://www.csmdr.org.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋气候变化适应贷款,160,亿元,项目可行性分析,国家气候变化研究中心,http://www.nccr.net,2024-10-12,,,,,,,,,,,,,
平安银行,海洋生态修复融资,110,亿元,环保合规审核,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
南京银行,海洋绿色技术贷款,70,亿元,技术风险评估,中国绿色发展报告,http://www.chinagreen.org.cn,2024-10-12,,,,,,,,,,,,,
阳光保险,海洋保险与信贷组合,50,亿元,综合风险评估,保险行业协会,http://www.ia.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源融资,450,亿元,项目环保审核,中国海洋能源协会,http://www.coceanenergy.org,2024-10-12,,,,,,,,,,,,,
光大银行,深海矿产资源开发贷款,350,亿元,风险评级与合规检查,国家海洋局,https://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋生物科技投资信贷,250,亿元,行业专家评审,中国生物科技发展报告,https://www.chinabiodata.org,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环保项目信贷,200,亿元,资金使用跟踪,环境保护部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋运输基础设施贷款,120,亿元,贷前尽职调查,中国运输与物流协会,https://www.ctla.org.cn,2024-10-12,,,,,,,,,,,,,
东亚银行,海洋科技转型贷款,90,亿元,技术转让风险管理,中华海洋科技联会,http://www.cmott.org,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋食品安全融资,70,亿元,供应链监控,农产品安全与质量中心,https://www.apqcc.org,2024-10-12,,,,,,,,,,,,,
江苏银行,海洋旅游业贷款,55,亿元,经济效益评估,中国旅游研究院,http://www.ctri.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋文化项目融资,40,亿元,文化产业评估,文化部,http://www.mcprc.gov.cn,2024-10-12,,,,,,,,,,,,,
平安银行,海洋环境恢复信贷,30,亿元,长效监控计划,可持续发展研究中心,http://www.sustdev.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源融资,400,亿元,项目实施跟踪,中国电力促进发展中心,http://www.cpd.org.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋科研项目贷款,250,亿元,科研项目审核,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
上海银行,海洋物流融资,220,亿元,运输保险要求,中国物流与采购联合会,http://www.chinapta.com,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋文化旅游贷款,130,亿元,环保审查流程,文化和旅游部,http://www.mct.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋安全监测设备融资,90,亿元,度量检测合规,国家海洋信息公共服务平台,http://www.nmh.gov.cn,2024-10-12,,,,,,,,,,,,,
招商银行,海洋生态系统修复贷款,70,亿元,生态风险评估,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋塑料治理项目融资,45,亿元,项目环境影响评估,中国海洋经济研究中心,http://www.coerc.org.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋信息技术贷款,50,亿元,技术标准认证,科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,深海资源勘探融资,75,亿元,勘探成果质审,中国海洋开发协会,http://www.codc.org.cn,2024-10-12,,,,,,,,,,,,,
中国邮政储蓄银行,海洋渔业可持续发展信贷,85,亿元,可持续性审核,中国渔业协会,http://www.chinafisheries.org,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产开发贷款,400,亿元,技术可行性分析,中国海洋矿产资源开发报告,http://www.cmrrd.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋环保项目融资,220,亿元,环境影响评估,生态环境部报告,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
北京银行,海洋加工制造信贷,180,亿元,成本控制审核,中国海洋经济研究中心,http://www.chinaoceans.org/,2024-10-12,,,,,,,,,,,,,
华夏银行,水产养殖专项信贷,140,亿元,产量保证金,国家农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋可再生能源贷款,350,亿元,风险评估与监督,中国能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,港口基础设施融资,230,亿元,工程验收管理,中国交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋旅游服务贷款,90,亿元,项目投资回报分析,国家文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋技术与创新融资,260,亿元,技术评估与审核,中国工程院,http://www.cae.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋产业链信贷支持,300,亿元,综合审查与评估,海洋产业链研究中心,http://www.maritime-industry.org.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋物流融资,70,亿元,风险控制与管理,中国物流与采购联合会,http://www.cflp.org.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可持续发展融资,350,亿元,绿色贷款政策,中国海洋经济发展报告,http://www.chinareform.org.cn,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋新能源项目贷款,220,亿元,技术审核与支持,能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
中国民生银行,海洋生物研究贷款,90,亿元,科研项目评估,中国海洋大学,https://www.ouc.edu.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,深海矿产开发信贷,400,亿元,风险控制与评估,海洋矿产管理局,http://www.mnr.gov.cn,2024-10-12,,,,,,,,,,,,,
招商轮船股份有限公司,海洋航运支持贷款,150,亿元,航运业风险评估,国际海事组织,http://www.imo.org,2024-10-12,,,,,,,,,,,,,
平安银行,海洋养殖业融资,210,亿元,利率优惠条件,农业农村部,http://www.moa.gov.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋环保项目贷款,120,亿元,环境影响评估,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
中信证券,海洋投资基金信贷,95,亿元,投资回报分析,中国证券监督管理委员会,http://www.csrc.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋文化旅游贷款,70,亿元,项目可行性研究,中国旅行社协会,http://www.ctaweb.org,2024-10-12,,,,,,,,,,,,,
中信信托,海洋科技研发贷款,200,亿元,研发成果审核,科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源融资,400,亿元,项目可行性分析,中国可再生能源学会,http://www.creia.org.cn/,2024-10-12,,,,,,,,,,,,,
上海银行,海洋航运贷款,250,亿元,航运市场分析,中国航运网,http://www.chinashipping.com.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋生物科技融资,120,亿元,研发资助评估,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
