海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
深海热泉探测技术,华南海洋科技集团,三亚深海科技产业园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,英国海洋能技术公司,苏格兰海洋再生能源区,英国政府,https://www.gov.uk/ocean-energy,2024-10-15,,,,,,,,,,,,,,
蓝色碳生态系统研究,澳大利亚蓝色生态研究所,昆士兰海洋生态园,澳大利亚环境部,https://www.environment.gov.au/,2024-10-15,,,,,,,,,,,,,,
智能海洋运输技术,新加坡海洋科技公司,新加坡智能港口,新加坡政府,https://www.singapore.gov.sg/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析,日本海洋数据中心,东京海洋科技园,日本海洋科研机构,https://www.jamstec.go.jp/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,佛罗里达海洋保护公司,迈阿密海洋保护区,美国国家海洋局,https://oceanservice.noaa.gov/,2024-10-15,,,,,,,,,,,,,,
深海航行无人机技术,德国海洋科技创新公司,汉堡海洋科技园,德国联邦经济部,https://www.bmwi.de/,2024-10-15,,,,,,,,,,,,,,
深海资源探测技术,三亚蓝海科技有限公司,海南自由贸易区海洋科技园,海南省发展改革委,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新能源开发,大连海洋新能源公司,大连海洋科技创新园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,珠海生态海洋发展中心,珠海海洋生态科技园,珠海市环保局,http://www.zhuhai.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能渔业管理系统,莆田智能海洋科技有限公司,福建省莆田海洋产业园,莆田市政府,http://www.putian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海监测网络系统,天津深海科技发展公司,天津滨海新区海洋科技园,天津市数字经济办公室,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术研究,厦门海洋生物科技研究所,厦门蓝色经济海洋科技园,厦门市科技局,http://www.xiamen.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息平台建设,上海海洋信息科技公司,上海海洋科技园区,上海市科技委员会,http://www.stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋航运数字化服务,长江航运数字科技公司,武汉海洋产业园,武汉市发展改革委,http://www.wuhan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,广州气候海洋研究中心,广州海洋科技产业园,广州市环境保护局,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋文化教育发展,宁波海洋文化传播中心,宁波海洋科学教育园,宁波市教育局,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,广州深海科技有限公司,广东深海技术创新园,广东省科技厅,https://gdstc.gd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,青岛海洋智能设备制造有限公司,青岛西海岸新区海洋科技园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
环保海洋技术,上海海洋环境保护科技有限公司,上海南汇海洋生态科技园,中国海洋发展研究中心,http://www.codar.org/,2024-10-15,,,,,,,,,,,,,,
海洋能开发,联海能源科技集团,甘肃兰州海洋能科技园区,国家能源局,http://www.nea.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据平台,北京海洋大数据科技有限公司,北京乃东海洋科技园,北京市大数据中心,http://www.bjdata.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海科研设施,大连深蓝海洋科技集团,大连海洋科研园区,辽宁省科技厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,海南海洋生物科技有限公司,海南海洋研究数据中心,海南省海洋与渔业厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可持续发展,厦门海洋保护科技有限公司,厦门海洋可持续发展园区,福建省生态环境厅,http://sepa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋巡检无人艇,威海海洋无人系统科技,山东海洋高新技术园区,山东省科技厅,http://www.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息系统,南京海洋信息科技集团,江苏海洋科技创新园,江苏省信息中心,http://www.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新能源技术,海南海洋新能源公司,海南海洋新能源产业园,国家能源局,http://www.nea.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋观测技术,宁波海洋研究所,浙江宁波海洋科学园区,宁波市政府,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物科技,大连深海生物研究院,辽宁大连深海生态科技园,中国科学院,https://www.cas.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,广州环保科技有限公司,广州海洋环保科技园,广州市环保局,http://www.gzepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析平台,青岛海洋数据科技公司,青岛蓝色科技园区,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,福州深海探测器研发公司,福建深海科技创新园,福建省科技厅,http://www.fjst.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源管理,江苏海洋管理局,江苏海洋资源管理产业园,江苏省政府,http://www.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,深圳海洋机器人技术有限公司,深圳前海海洋科技创新园,深圳市科技局,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋政策研究机构,中国海洋大学海洋政策研究中心,青岛国际海洋研究园区,教育部,http://www.moe.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,海口深海矿业公司,海南深海矿业开发区,中国地质调查局,http://www.cgs.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,浙江海洋生态技术公司,宁波海洋生态产业园,浙江省科技厅,http://www.zj.gov.cn/zhengce/20230315/,2024-10-15,,,,,,,,,,,,,,
海洋智能监测系统,深圳海洋技术开发有限公司,广东海洋智能科技园,深圳特区报,https://www.sznews.com/news/content/2023-05/22/content_27314547.htm,2024-10-15,,,,,,,,,,,,,,
高性能海洋设备,福建海洋装备制造业,泉州海洋高新技术园,泉州日报,http://www.qz.gov.cn/news/2023-03/02/c_1210591582.htm,2024-10-15,,,,,,,,,,,,,,
深海资源开发技术,攀枝花市海洋开发科技企业,西南海洋科技产业园,四川省政府,http://www.sc.gov.cn/10462/10464/20230415/0012322c570a40e20e11658f5f8d54a4.shtml,2024-10-15,,,,,,,,,,,,,,
海洋生物新材料,海南生物材料创新公司,海口海洋生物产业园,海南省海洋事务局,http://www.hainan.gov.cn/2023-06/10/c_1128363012.htm,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源利用,澳门海上清洁能源项目,澳门绿色海洋技术园,澳门特别行政区政府,https://www.gov.mo/zh-hant/news/20230715/,2024-10-15,,,,,,,,,,,,,,
深海探测与作业技术,三亚海洋探测公司,海南深海科技园,国家海洋局,http://www.soa.gov.cn/2023-07/20/c_1210543218.htm,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,大连海洋信息中心,大连海洋科技创新园,辽宁省科技厅,http://www.liaoning.gov.cn/20230526/xxgk/202305260003485.html,2024-10-15,,,,,,,,,,,,,,
海洋渔业科技,青岛海洋渔业发展有限公司,青岛海洋科技产业园,青岛市政府,http://www.qd.gov.cn/xw/20230811/20230811001334566.shtml,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流,上海海洋物流集团,上海港口经济区,上海市交通委员会,http://jtj.sh.gov.cn/2023-09/02/c_1210730928.htm,2024-10-15,,,,,,,,,,,,,,
深海探测技术,500家深海技术企业,海南深海科技园区,海南省科技厅,http://kjt.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源研究,长江海洋新能源科技有限公司,江苏南通海洋可再生能源示范园区,江苏省能源局,http://www.jse.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,大连海洋环境监测中心,辽宁省海洋科学园区,大连市政府,https://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋渔业智能化,353家智能渔业企业,浙江海洋智能科技产业园,浙江省水产局,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,深圳生物海洋科技公司,广东省海洋生物科技园,广东省科技厅,http://www.gdstc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流,280家海洋运输企业,上海国际海洋物流园区,上海交通运输管理局,http://jtyj.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋空间规划技术,青岛海洋空间规划研究所,青岛蓝色海洋空间发展区,青岛市海洋局,http://hyj.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游产业发展,240家海洋旅游相关企业,海南海洋旅游发展示范区,海南省文化和旅游厅,http://tourism.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,南方海洋气候研究中心,广州海洋气候产业园,广州市科学技术局,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,220家矿产资源企业,西南海洋矿产科技园,四川省自然资源厅,http://zrzy.sc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,青岛海洋科技有限公司,青岛海洋科技创新园,青岛市政府,https://www.qd.gov.cn/sea/technology/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,厦门蓝色环保科技公司,厦门蓝色经济区,福建省生态环境厅,http://www.fjepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据监测技术,南通海洋监测发展中心,南通海洋科技产业园,江苏省海洋局,http://www.jsmp.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新材料开发,上海海域新材料公司,上海临港新城,上海市发展和改革委员会,http://www.shdrc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋资源管理,珠海海洋资源科技研发中心,珠海蓝色产业园,珠海市政府,http://www.zh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,海南海洋可再生能源公司,海南国际海洋科技园,海南省科技厅,http://www.hain.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探索技术,大连深海科学技术发展有限公司,大连海洋科学城,大连市科技局,http://www.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,上海海洋信息科技有限公司,上海海洋科技园,上海市经济和信息化委员会,http://www.sheit.gov.cn/,2024-10-15,,,,,,,,,,,,,,
水下机器人技术,宁波水下机器人应用技术研究所,宁波海洋科技园,宁波市科技局,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,武汉海洋生物技术研发中心,武汉滨江海洋科技园,湖北省科技厅,http://www.hubei.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南生态科技有限公司,海南海洋科技生态园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能制造,大连海洋智能装备有限公司,大连海洋产业园区,大连市发改委,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,浙江省海洋可再生能源研究院,宁波海洋能源科技园,宁波市政府,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,广州深海科技有限公司,广州海洋科技园,广东省科技厅,http://www.gdstc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据监测系统,青岛海洋数据科技发展有限公司,青岛蓝色生态产业园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋安全防护技术,厦门海洋安全技术公司,厦门海洋高新技术园区,厦门市科技局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,上海海洋生物科技有限公司,上海东海科技园,上海市科技委员会,http://www.stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋养殖技术,广西智能海洋养殖股份有限公司,广西南宁海洋科技园,广西农委,http://www.gx.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气象预报系统,福州海洋气象科技研究所,福建海洋科技产业运作中心,福州市政府,http://www.fuzhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,上海海洋科学研究中心,上海蓝色科技园,中国科学院,http://www.cas.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物多样性保护技术,海南省海洋生态恢复企业,海南生态海洋产业园,海南省环保厅,http://epb.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海采矿技术研发,南极探险海洋科技公司,南海深海资源开发园,中国海洋工程研究院,http://www.cmeeri.com/,2024-10-15,,,,,,,,,,,,,,
海洋自动化监测技术,浙江智能海洋技术有限公司,温州海洋科技创新园,浙江省科技厅,http://www.zjsti.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,上海海洋能源科技公司,上海海洋风电研发中心,上海能源局,http://www.shenergy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生态系统探测,大连海洋科学研究中心,大连深海探测产业园,辽宁省科技厅,http://www.lnkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化监测技术,青岛气象科技服务中心,青岛海洋气候研究园,青岛市气象局,http://www.qdweather.com/,2024-10-15,,,,,,,,,,,,,,
智能海洋交通系统,宁波海洋智能技术公司,宁波海洋物流园区,浙江省交通厅,http://jt.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋污染防治技术,厦门海洋保洁科技公司,厦门海洋生态恢复中心,福建省生态环境厅,http://www.fjepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据共享平台,广东海洋大学数据中心,南粤海洋科技园,广东省教育厅,http://edu.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋刑事调查技术,沈阳海洋安全研究所,东北海洋安全科技园,吉林省公安厅,http://www.jlgat.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,海口蓝色能源有限公司,海南省蓝色能源产业园,海南省政府,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能监测系统,大连海洋科技公司,大连经济技术开发区海洋技术园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,浙江省海洋生态保护企业,温州海洋保护科技园,浙江省生态环境厅,http://www.zhejiang.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,深圳海洋生物科技有限公司,广东省深圳海洋科技园,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋食品安全科技,青岛海洋食品检测中心,青岛蓝色经济区,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能运输解决方案,香港海洋运输科技有限公司,香港国际港口科技园,香港运输署,http://www.td.gov.hk/,2024-10-15,,,,,,,,,,,,,,
海洋安保技术,天津海洋安保有限公司,天津滨海新区海洋安保产业园,天津市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,福建海洋气候研究所,福州海洋生态园区,福建省自然资源厅,http://www.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能渔业系统,上海智能渔业科技有限公司,上海海洋实验园区,上海市农业农村委员会,http://www.shanghai.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,澳门深海资源开发公司,澳门科技产业园区,澳门特区政府,https://www.gov.mo/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,南海深海探测科技股份有限公司,海南深海经济开发区,南海研究院,http://www.nanhai.org/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,青岛海洋生态修复有限公司,青岛蓝色经济区,中国海洋大学,http://www.ouc.edu.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术应用,厦门海洋生物科技有限公司,厦门国际海洋产业园,福建省海洋与渔业厅,http://yjt.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能化海洋监测,大连海洋科技创新中心,大连高新技术产业园区,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,浙江海洋新能源公司,温州海洋经济开发区,浙江省政府,http://www.zhejiang.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据处理与分析,宁波海洋信息科技有限公司,宁波高新技术产业园区,宁波市科技局,http://www.nbkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海污水处理技术,山东省海洋环保科技公司,烟台海洋生态产业园,山东省生态环境厅,http://sthjt.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋资源勘探与开发,海南海洋资源勘探技术有限公司,三亚海洋科研产业园,海南省科技厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物多样性保护技术,广州深海生物研究所,广州市海洋科技产业园,广州市海洋与渔业局,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋测绘与工程技术,福建海洋测绘有限公司,福州海洋科技园区,海洋测绘局,http://www.chinames.org.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,海南海洋风能科技公司,海南海洋科技创新中心,海南省政府,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源勘探技术,广州深海技术研究院,广州市海洋科技园,广州市政府,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋装备,上海深海智能科技有限公司,上海智慧海洋产业园,上海市经信委,https://www.sheit.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,厦门海洋生态环境保护公司,厦门海洋科技产业园,厦门市生态环境局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连海洋生物技术有限公司,大连海洋科技园,大连市发展和改革局,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
远洋渔业发展,福州远洋捕鱼产业协会,福州海洋产业园,福建省海洋与渔业厅,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋通信技术,深圳海洋通信技术公司,深圳海洋信息产业园区,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
蓝色经济人才培养,南方海洋大学,南方海洋科技园,教育部,http://www.moe.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息化管理,青岛海洋信息技术有限公司,青岛蓝色信息产业园区,青岛市经济和信息化局,https://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智慧监测平台,辽宁海洋监测科技有限公司,渤海海洋科技园,辽宁省科技厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,海南省生态海洋科技公司,海南海洋生态科学园,海南省政府,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,广州海洋科技开发集团,南沙深海科技园,广东省科技厅,http://www.gdstc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连海洋生物科技有限公司,大连海洋生物产业园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,宁波海洋新能源公司,浙江海洋能源产业园,浙江省发展和改革委员会,http://fgw.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能网联技术,厦门智慧海洋科技有限公司,厦门智能海洋技术园,厦门市科技局,http://kj.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海科学研究中心,上海海洋大学深海研究所,上海深海科技创新园,上海市教育局,http://jyj.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候监测技术,福州气候科技有限公司,福建海洋气候科技园,福建省气象局,http://qxj.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,青岛环境科技公司,青岛海洋环境监测中心,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋航运科技,香港海运科技有限公司,香港海运科技园,香港特别行政区政府,https://www.gov.hk/,2024-10-15,,,,,,,,,,,,,,
海洋文化交流平台,南通文化科技发展公司,南通海洋文化园区,南通市文化和旅游局,http://whj.nantong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物多样性保护,青岛海洋生物技术有限公司,青岛蓝色经济区,青岛市政府,http://www.qd.gov.cn/zhuzhan/blueeconomy/,2024-10-15,,,,,,,,,,,,,,
海洋装备制造,大连造船集团公司,大连海洋装备产业园,辽宁省政府,http://www.ln.gov.cn/zt/haishang/zhaoshang/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,南通海洋科技研究院,南通生态海洋产业园,南通市政府,http://www.nantong.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,舟山海洋能开发有限公司,舟山海洋能示范园区,浙江省政府,http://www.zj.gov.cn/hnf/haishang/,2024-10-15,,,,,,,,,,,,,,
智能水下探测技术,厦门海洋科技有限公司,厦门高新技术产业园,厦门市政府,http://www.xm.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
海洋生态系统恢复,海南蓝色生态发展有限公司,海南省海洋生态园,海南省政府,http://www.hainan.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,深圳海洋科技研究中心,深圳湾科技生态园,深圳市政府,http://www.sz.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
海洋科技创新孵化,福州海洋创新科技孵化器,福州高新技术开发区,福建省科技厅,http://www.fujian.gov.cn/technology/haishang/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,上海深海资源开发公司,上海海洋科技园区,上海市科技委员会,http://www.shtsti.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
海洋交通运输技术,天津海运集团公司,天津海事科技园,天津市发改委,http://www.tianjin.gov.cn/haishang/,2024-10-15,,,,,,,,,,,,,,
深海资源勘探技术,海底探测科技有限责任公司,海南自由贸易港海洋科技园,海南省政府,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源项目,中国海洋能源开发集团,青岛国际海洋科技创新园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋保护与治理技术,生态海洋技术有限公司,厦门海洋科技产业园,厦门市政府,https://www.xiamen.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术产业,生物海洋研究院,大连海洋科技园区,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备制造,智能海洋科技公司,宁波海洋产业集聚区,宁波市政府,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态监测系统,中国海洋监测事业发展有限公司,柳州海洋科技示范园,广西省政府,http://www.gxzf.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智慧运输技术,海运智能系统公司,广州南沙海洋经济区,广州市政府,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
串流海洋数据平台,全球海洋数据科技有限公司,上海浦东海洋创新园,上海海洋大学,http://www.shou.edu.cn/,2024-10-15,,,,,,,,,,,,,,
深海无人潜水器研发,深海科技发展团队,黄金海岸海洋科学园区,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候与环境监测,国家海洋环境研究院,天津海洋科技园,天津市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,海口海洋风电开发有限公司,海南海洋可再生能源产业园,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数字化管理技术,广州海洋科技数字服务中心,广东省海洋科技园区,广东省科技厅,http://gdstc.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保科技,青岛环保海洋科技有限公司,山东省青岛蓝色经济区,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,中海油深海技术研究院,南海深海研究中心,中海油,http://www.cnooc.com.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋设备,上海智能海洋装备科技公司,上海智能制造产业园,上海市经信委,http://www.sheit.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,厦门海洋生物技术有限公司,福建海洋科技园区,福建省科技厅,http://www.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产开发技术,大连深海矿业有限公司,辽宁省海洋技术与产业园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能监测系统,宁波海洋监测技术公司,浙江省海洋生态园区,宁波市政府,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋垃圾处理技术,港口环境科技股份公司,天津港海洋科技园区,天津市市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋灾害监测与预警,福州气象海洋科技公司,福建省海洋气象科技园,福建省气象局,http://www.fqhb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海能源开发技术,海洋能源设备有限公司,海南深海科技园区,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋保护与恢复科技,西南海洋生态发展中心,重庆海洋开发技术园,重庆市政府,http://www.cq.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据监测与分析,北京海洋数据科技公司,北京海洋科技园,北京市科技局,http://www.bj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物资源开发,青岛深海生物研究中心,山东蓝色经济区,山东省政府,http://www.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能化海洋监测系统,浙江智能海洋技术公司,宁波海洋科技园区,浙江省科技厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,宝石海洋矿业公司,广东深海资源开发区,广东省政府,http://www.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,光伏海洋能源集团,天津海洋可再生能源中心,天津市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备制造,厦门海洋高端设备公司,厦门海洋经济特区,福建省发改委,http://www.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
蓝色干线物流技术,上海航运与物流咨询有限公司,上海浦东海洋物流园,上海市交通委员会,http://www.shjt.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋技术人才培养,武汉海洋学院,湖北海洋教育产业园,湖北省教育厅,http://www.hubei.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,南海深海矿产开发有限公司,海南深海科技园,中国海洋大学,http://www.ouc.edu.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,青岛海洋生态科技有限公司,青岛海洋科技园区,环保部,http://www.mee.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新能源技术,天津海洋风能开发公司,天津滨海新区海洋新能源产业园,天津市政府,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术研发,大连海洋生物科技有限公司,大连海洋科学技术园区,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测器研发,哈尔滨深海科技研发中心,黑龙江省深海技术创新园区,黑龙江省科技厅,http://kjt.hlj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋空间数据应用,广州海洋数据技术有限公司,广州市智慧海洋产业园,广州市政府,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能水下机器人技术,宁波海洋智能装备有限公司,宁波海洋科技创新园,浙江省政府,http://www.zhejiang.gov.cn/,2024-10-15,,,,,,,,,,,,,,
水下考古技术,厦门水下文化遗产保护中心,福建省水下文化产业园,厦门市政府,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
