海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
蓝色经济创新基金,60,亿元,地方政府出资20亿（33.3%），私人投资者出资40亿（66.7%）,蓝色经济投资管理有限公司,海洋可持续发展项目,蓝色经济关系图,第一财经,https://www.yicai.com/,2024-10-14,,,,,,,,,,,
西部海洋产业创新基金,30,亿元,西部投融资公司出资12亿（40%），其他社会资本出资18亿（60%）,西部海洋投资管理有限公司,海洋生物科技企业,西部海洋产业链图,华尔街见闻,https://wallstreetcn.com/,2024-10-14,,,,,,,,,,,
海洋农业发展基金,25,亿元,农业农村部出资10亿（40%），私募投资者出资15亿（60%）,海洋农业发展集团,水产养殖及海洋食品企业,海洋农业关系图,人民网,http://www.people.com.cn/,2024-10-14,,,,,,,,,,,
国际海洋经济交流基金,55,亿元,国际投资集团出资25亿（45.5%），国内资本出资30亿（54.5%）,国际海洋经济投资管理有限公司,海洋贸易和国际合作企业,国际海洋经济关系图,环球时报,https://www.globaltimes.cn/,2024-10-14,,,,,,,,,,,
中国海洋创新发展基金,85,亿元,中国海洋发展基金会出资50亿（58.8%），其他投资者出资35亿（41.2%）,中国海洋创新发展管理公司,海洋科技研发生态系统,中国海洋创新关系图,深圳特区报,http://www.sznews.com/,2024-10-14,,,,,,,,,,,
北方海域生态恢复投资基金,40,亿元,北方发展基金出资18亿（45%），社会多元资本出资22亿（55%）,北方海域生态发展有限公司,环境保护和生态修复相关企业,北方生态链关系图,经济参考报,http://www.jjckb.cn/,2024-10-14,,,,,,,,,,,
深海科技应用投资基金,95,亿元,科技部引导基金出资50亿（52.6%），国际投资者出资45亿（47.4%）,深海科技应用研究公司,深海探测与科学设备企业,深海科技产业链图,投资界,https://www.pedaily.cn/,2024-10-14,,,,,,,,,,,
深蓝科技投资基金,60,亿元,深圳市政府引导基金出资30亿（50%），新兴科技公司出资30亿（50%）,深圳市深蓝科技投资管理有限公司,海洋科技与智能传感器企业,科技与海洋产业链图,财新网,https://www.caixin.com/,2024-10-14,,,,,,,,,,,
 Gulf Energy Investment Fund,120,亿元,阿联酋投资公司出资60亿（50%），中国海洋投资集团出资60亿（50%）,中国海洋投资管理有限公司,可再生能源、海洋环境保护企业,海洋清洁能源产业链,CNBC,https://www.cnbc.com/,2024-10-14,,,,,,,,,,,
 蓝海战略创新基金,80.5,亿元,浙江省科技厅出资25亿（31%），市场化投资公司出资55.5亿（69%）,蓝海投资管理有限公司,海洋保护、环保科技企业,绿色海洋产业链,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
 海洋电动工具产业基金,20,亿元,江苏省科技基金出资10亿（50%），风投公司出资10亿（50%）,江苏海洋电动基金管理有限公司,电动工具及相关技术企业,海洋装备产业链,证券时报,https://www.stcn.com/,2024-10-14,,,,,,,,,,,
 南海海洋生物产业基金,90,亿元,海南省政府引导基金出资40亿（44.4%），投资者出资50亿（55.6%）,海南海洋生物技术基金管理有限公司,海洋生物科技与制药企业,生物科技产业链,人民网,https://www.people.com.cn/,2024-10-14,,,,,,,,,,,
 海洋可持续发展基金,45,亿元,福建省生态基金出资15亿（33.3%），私募股权投资公司出资30亿（66.7%）,福建省可持续发展投资管理有限公司,环保、海洋生态修复企业,生态产业链关系图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
 中海高科技基金,150,亿元,国家科技部出资70亿（46.7%），国有企业出资80亿（53.3%）,中国高科技投资管理有限公司,高科技海洋设备制造企业,高科技产业链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
 海洋旅游发展基金,75,亿元,广西自治区政府出资25亿（33.3%），旅游开发企业出资50亿（66.7%）,广西海洋旅游投资管理有限公司,旅游及相关海洋产业企业,海洋旅游产业链,旅游网,https://www.latestnewsabouttravel.com/,2024-10-14,,,,,,,,,,,
 辽宁海洋工程投资基金,100,亿元,辽宁省政府出资40亿（40%），大型国企出资60亿（60%）,辽宁海洋工程投资有限公司,海洋工程和装备制造企业,海洋工程产业链,东北新闻网,https://www.nen.com.cn/,2024-10-14,,,,,,,,,,,
北方海洋装备制造基金,60,亿元,北京市政府引导基金出资30亿（50%），其他LP出资30亿（50%）,北方海洋装备制造投资管理有限公司,海洋装备制造及相关企业,海洋装备产业链关系图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
海南蓝色经济发展投资基金,45,亿元,海南省政府出资15亿（33.3%），社会资本出资30亿（66.7%）,海南省蓝色经济投资管理公司,海洋旅游、海洋资源开发相关企业,海洋经济产业链关系图,澎湃新闻,https://www.thepaper.cn,2024-10-14,,,,,,,,,,,
江浙地区海洋科技创新基金,80,亿元,江苏省政府出资20亿（25%），浙江省政府出资30亿（37.5%），其他LP出资30亿（37.5%）,江浙海洋科技投资管理有限公司,海洋科技和创新相关企业,科技创新产业链图,中国证券网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
福建海洋生态保护基金,30,亿元,福建省生态保护基金出资30亿（100%）,福建省生态环境投资管理有限公司,海洋生态保护和可持续发展项目,生态环境产业链关系图,福建日报,https://www.fjrb.cn,2024-10-14,,,,,,,,,,,
南方海洋生物技术创新基金,25,亿元,广东省政府出资15亿（60%），其他私人投资者出资10亿（40%）,南方海洋生物技术投资管理公司,生物技术及相关海洋企业,生物技术产业链图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
辽宁海洋经济开发基金,90,亿元,辽宁省财政厅出资60亿（66.7%），社会资本出资30亿（33.3%）,辽宁海洋经济投资管理有限公司,海洋经济开发及综合利用企业,海洋经济产业链图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
新疆绿色海洋开发基金,15,亿元,新疆地方政府出资10亿（66.7%），其他LP出资5亿（33.3%）,新疆绿色投资管理公司,绿色海洋开发相关企业,绿色发展产业链图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
国际海洋技术合作资金,100,亿元,多国技术合作基金出资100亿（100%）,国际海洋基金管理有限公司,海洋技术及创新相关企业,国际海洋技术产业链图,联合国环境规划署,https://www.unep.org,2024-10-14,,,,,,,,,,,
香港海洋金融创新基金,70,亿元,香港特别行政区财政出资30亿（42.9%），其他私人投资者出资40亿（57.1%）,香港海洋金融投资管理公司,海洋金融科技及相关企业,海洋金融产业链图,香港经济日报,http://www.hket.com,2024-10-14,,,,,,,,,,,
长三角海洋科技创新投资基金,75,亿元,浙江省政府出资30亿（40%），长三角科技投资公司出资45亿（60%）,长三角海洋科技发展有限公司,海洋新能源、海洋工程相关企业,海洋科技产业链图,投资界,https://www.pedaily.cn/news/20240428/968332.shtml,2024-10-14,,,,,,,,,,,
东海海洋资源开发基金,150,亿元,上海市政府引导基金出资50亿（33.3%），国企资金出资100亿（66.7%）,东海海洋资源投资管理公司,海洋矿产、渔业相关企业,海洋资源开发关系图,上海证交所,http://www.sse.com.cn,2024-10-14,,,,,,,,,,,
海南特色海洋文化基金,20.5,亿元,海南省政府出资10亿（48.8%），地方文化企业出资10.5亿（51.2%）,海南海洋文化发展有限责任公司,旅游公司、海洋文化产业相关企业,文化产业链图,南海网,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
绿色海洋技术投资基金,45,亿元,北京环境保护基金出资15亿（33.3%），绿色投资公司出资30亿（66.7%）,绿色海洋技术产业基金管理委员会,环保技术、垃圾处理相关企业,环保产业链关系图,人民网,https://www.people.com.cn,2024-10-14,,,,,,,,,,,
粤港澳大湾区海洋生态基金,90,亿元,粤港澳合作基金出资40亿（44.4%），市场化投资公司出资50亿（55.6%）,粤港澳海洋生态投资管理有限公司,海洋生态修复、渔业可持续发展企业,生态产业链图,南方日报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
日本海洋创新投资基金,120,亿元,日本商社出资60亿（50%），地方政府科技基金出资60亿（50%）,日本海洋科技投资有限公司,海洋高科技、生物科技相关企业,国际海洋产业链关系图,日经新闻,https://www.nikkei.com,2024-10-14,,,,,,,,,,,
新西兰可持续海洋开发基金,38,亿元,新西兰政府出资15亿（39.5%），海外投资者出资23亿（60.5%）,新西兰海洋投资管理有限公司,可持续渔业、海洋环保企业,国际环保产业链图,NZ Herald,https://www.nzherald.co.nz,2024-10-14,,,,,,,,,,,
南极深海探测基金,30,亿元,科研机构出资10亿（33.3%），国际海洋合作基金出资20亿（66.7%）,南极海洋探索有限公司,深海设备制造、海洋科研相关企业,深海探索产业链图,科学网,http://www.sciencenet.cn,2024-10-14,,,,,,,,,,,
北极海洋资源开发基金,25,亿元,地方政府出资12亿（48%），国际投资机构出资13亿（52%）,北极海洋资源管理公司,北极海洋探测、油气开采相关企业,北极资源开发关系图,北极新闻网,http://www.arcticnews.com,2024-10-14,,,,,,,,,,,
全球海洋垃圾清理基金,15,亿元,国际环保组织出资5亿（33.3%），社会捐赠出资10亿（66.7%）,海洋清理行动基金会,清理海洋垃圾、塑料回收相关企业,全球环保产业链图,环保360,http://www.ep360.com,2024-10-14,,,,,,,,,,,
海南蓝色经济发展基金,75,亿元,海南省政府15亿（20%），社会资本60亿（80%）,海南省海洋经济发展投资有限公司,沿海旅游、蓝色生物科技企业,蓝色经济产业链图,海南日报,http://www.hi.people.com.cn,2024-10-14,,,,,,,,,,,
浙江海洋高新技术创新基金,120,亿元,浙江省科技厅出资40亿（33.3%），高新技术企业出资80亿（66.7%）,浙江省海洋科技投资管理有限公司,海洋新能源与智能装备制造企业,高新技术产业链图,中国科技网,https://www.stdaily.com/,2024-10-14,,,,,,,,,,,
辽宁海洋生态建设基金,30,亿元,辽宁省政府出资12亿（40%），民间资本出资18亿（60%）,辽宁省海洋生态投资管理有限公司,生态农业、海洋保护及改善项目,生态产业链关系图,辽沈晚报,http://www.lswb.com.cn/,2024-10-14,,,,,,,,,,,
青岛国际海洋科技产业基金,90,亿元,青岛市政府出资30亿（33.3%），外资出资60亿（66.7%）,青岛市海洋科技创新发展有限公司,海洋工程、深海资源开发企业,国际海洋产业链图,青岛日报,http://www.qdnews.com/,2024-10-14,,,,,,,,,,,
深圳智慧海洋投资基金,200,亿元,深圳市政府引导基金出资90亿（45%），民间投资出资110亿（55%）,深圳市智慧海洋投资管理有限公司,人工智能、无人机及海洋监测相关企业,智慧产业链关系图,南方都市报,http://www.nf365.com/,2024-10-14,,,,,,,,,,,
福建省海洋生物健康产业基金,55,亿元,福建省政府出资25亿（45.5%），产业协会出资30亿（54.5%）,福建省海洋Bio产业基金管理有限公司,海洋生物制药、健康产品相关企业,生物健康产业链关系图,福建日报,http://www.fjdaily.com/,2024-10-14,,,,,,,,,,,
云南省国际海洋物流基金,40,亿元,云南省交通运输厅出资20亿（50%），物流企业出资20亿（50%）,云南省国际物流投资管理有限公司,国际运输、供应链管理企业,物流产业链关系图,云南网,http://www.ynnews.com/,2024-10-14,,,,,,,,,,,
江苏海洋经济转型升级基金,160,亿元,江苏省政府出资50亿（31.25%），大型企业出资110亿（68.75%）,江苏省海洋经济发展基金管理有限公司,海洋技术转化、新兴产业企业,转型升级产业链关系图,现代快报,http://www.xdkb.net/,2024-10-14,,,,,,,,,,,
陕西省海洋旅游发展基金,25,亿元,陕西省政府出资10亿（40%），旅游开发公司出资15亿（60%）,陕西省海洋旅游投资管理有限公司,旅游、海洋休闲产业企业,旅游产业链关系图,陕西日报,http://www.sxdaily.com.cn/,2024-10-14,,,,,,,,,,,
海洋生物技术开发基金,60,亿元,福建省海洋发展促进会出资24亿（40%），其他LP出资36亿（60%）,福建海洋生物技术有限公司,海洋药物研发和生态保护企业,海洋生物产业链关系图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
粤港澳海洋生态投资基金,120,亿元,广东省政府出资50亿（41.7%），香港投资机构出资70亿（58.3%）,粤港澳大湾区发展基金管理公司,蓝色经济、生态恢复项目,生态产业链关系图,财经界,https://www.caijing.com.cn/,2024-10-14,,,,,,,,,,,
广州市海洋科技创新基金,80,亿元,广州市创新发展基金出资40亿（50%），私人机构出资40亿（50%）,广州海洋科技投资管理有限公司,海洋科技、自动化装备企业,科技创新产业链图,经济日报,http://www.jjckb.cn/,2024-10-14,,,,,,,,,,,
海南海洋资源开发基金,70.5,亿元,海南省政府出资30亿（42.5%），区域投资公司出资40.5亿（57.5%）,海南海洋投资管理有限公司,海底矿产开发与保护企业,资源开发产业链关系图,海口日报,http://www.hkdaily.com/,2024-10-14,,,,,,,,,,,
俄罗斯远东海洋投资基金,500,亿元,俄罗斯政府出资300亿（60%），国际投资者出资200亿（40%）,俄罗斯海洋投资银行,渔业、海洋交通和基础设施相关企业,国际合作海洋产业链,俄罗斯卫星通讯社,https://sputniknews.com/,2024-10-14,,,,,,,,,,,
海洋碳中和投资基金,95,亿元,全国生态环境保护基金出资45亿（47.4%），社会资本出资50亿（52.6%）,绿色海洋发展基金管理公司,海洋恢复与碳捕集技术相关企业,碳中和产业链图,中国环境报,http://www.cenews.com.cn/,2024-10-14,,,,,,,,,,,
智能海洋产业投资基金,150,亿元,上海市政府引导基金出资60亿（40%），私募股权投资公司出资90亿（60%）,上海智能海洋科技有限公司,海洋监测与管理技术企业,智能制造产业链图,财新网,https://www.caixin.com/,2024-10-14,,,,,,,,,,,
亚洲海洋环境保护基金,200,亿元,亚洲开发银行出资80亿（40%），环保组织及私人投资者各出资120亿（60%）,亚太海洋环境投资管理公司,全球海洋环境保护项目,国际环境产业链图,联合国环境规划署,https://www.unep.org/,2024-10-14,,,,,,,,,,,
西南海洋经济转型基金,55,亿元,重庆市政府出资20亿（36.4%），民营资本出资35亿（63.6%）,重庆市海洋经济发展公司,海洋旅游和水产养殖企业,区域经济产业链图,重庆晨报,http://www.cqcb.com/,2024-10-14,,,,,,,,,,,
北极海洋开发与保护基金,300,亿元,国际气候合作组织出资120亿（40%），各国政府出资180亿（60%）,北极海洋发展基金,北极地区的海洋资源开发与环保项目,全球海洋治理产业链图,世界自然保护联盟,https://www.iucn.org/,2024-10-14,,,,,,,,,,,
海南海洋资源开发基金,70,亿元,海南省政府出资30亿（42.9%），私募机构出资40亿（57.1%）,海南海洋投资管理有限公司,海洋资源开发相关企业,海洋资源开发关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
东南沿海海洋经济发展基金,120,亿元,福建省政府出资50亿（41.67%），社会资本出资70亿（58.33%）,福建海洋经济管理有限公司,港口物流、海洋科技企业,海洋经济产业链图,海峡时报,https://www.hxnews.com,2024-10-14,,,,,,,,,,,
青岛深海技术产业基金,90,亿元,青岛市政府出资30亿（33.33%），大型企业出资60亿（66.67%）,青岛深海投资管理有限公司,深海探测与技术企业,深海技术产业链关系图,济南日报,http://www.jinannews.com,2024-10-14,,,,,,,,,,,
南海生态保护投资基金,30,亿元,环境保护基金出资20亿（66.67%），企业出资10亿（33.33%）,南海生态投资管理公司,生态保护和修复相关企业,生态产业链关系图,中国环境报,http://www.cenews.com.cn,2024-10-14,,,,,,,,,,,
大连海洋科技研究基金,55,亿元,大连市政府出资25亿（45.45%），研究机构出资30亿（54.55%）,大连海洋科技公司,海洋科研与技术开发公司,海洋科技产业链图,大连日报,http://www.daliannews.com,2024-10-14,,,,,,,,,,,
北方渔业产业转型升级基金,40,亿元,地方政府出资15亿（37.5%），产业联盟出资25亿（62.5%）,北方渔业发展有限公司,渔业、海洋资源再利用企业,渔业产业链关系图,中国渔业网,http://www.chinafishery.com,2024-10-14,,,,,,,,,,,
上海国际海洋市场发展基金,200,亿元,上海市政府出资80亿（40%），国际投资者出资120亿（60%）,上海海洋投资管理中心,国际海洋市场相关企业,国际海洋产业链关系图,上海证券报,http://www.shzqb.com,2024-10-14,,,,,,,,,,,
唐山海洋经济结构调整基金,65,亿元,唐山市政府出资35亿（53.85%），地方企业出资30亿（46.15%）,唐山港投资有限公司,海洋经济结构调整公司,海洋经济关系图,河北日报,http://www.hebnews.cn,2024-10-14,,,,,,,,,,,
大陆架资源开发基金,45,亿元,青藏高原基金出资15亿（33.33%），投资集团出资30亿（66.67%）,大陆架开发管理公司,大陆架资源开发相关企业,大陆架资源链关系图,经济日报,http://www.economy.gov.cn,2024-10-14,,,,,,,,,,,
长江海洋合作发展基金,85,亿元,长江流域政府出资40亿（47.06%），行业协会出资45亿（52.94%）,长江投资管理集团,海洋与长江资源相关产业,长江海洋关系图,长江日报,http://www.yangtze.com,2024-10-14,,,,,,,,,,,
南海海洋生态保护投资基金,80,亿元,海南省生态保护基金出资32亿（40%），其他金融机构出资48亿（60%）,海南南海投资管理有限公司,海洋生物技术、生态旅游相关企业,生态产业链关系图,生态环境部,http://www.mee.gov.cn,2024-10-14,,,,,,,,,,,
长江海洋经济发展基金,150,亿元,江西省政府出资60亿（40%），市场化机构出资90亿（60%）,长江经济带发展投资有限公司,水资源保护、海洋能源开发企业,长江经济带关系图,财新网,https://www.caixin.com,2024-10-14,,,,,,,,,,,
东海鱼类资源保护基金,25,亿元,上海市政府出资10亿（40%），地方海洋企业出资15亿（60%）,东海海洋投资管理有限公司,渔业可持续发展项目,渔业产业链关系图,中国水产养殖网,http://www.chinafishery.com,2024-10-14,,,,,,,,,,,
蓝色经济创新基金,120,亿元,浙江省政府出资40亿（33.3%），国际投资机构出资80亿（66.7%）,蓝色经济投资管理有限公司,海洋科技、清洁能源相关企业,蓝色经济产业链关系图,中国投资协会,http://www.chinaiva.org,2024-10-14,,,,,,,,,,,
深海探测技术发展基金,65,亿元,福建省政府引导基金出资25亿（38.5%），科技企业出资40亿（61.5%）,深海科技投资有限公司,深海探测及技术开发企业,深海技术链关系图,高科技产业发展报告,http://www.techreport.com,2024-10-14,,,,,,,,,,,
智能海洋装备投资基金,90,亿元,广西省政府出资30亿（33.3%），私募股权投资机构出资60亿（66.7%）,智能海洋装备投资管理有限公司,海洋机器人、监测设备公司,智能制造产业链图,中国智能制造网,http://www.czim.com,2024-10-14,,,,,,,,,,,
海洋环境保护与治理基金,70,亿元,深圳市政府出资30亿（42.9%），环保机构出资40亿（57.1%）,海洋环境投资管理公司,水污染治理、废弃物处理企业,环保产业链关系图,生态环境治理协会,https://www.epa.gov.cn,2024-10-14,,,,,,,,,,,
全球海洋数据共享基金,55,亿元,国际海洋组织出资25亿（45.5%），科技公司出资30亿（54.5%）,全球海洋投资有限公司,大数据分析，海洋信息平台,数据产业链关系图,海洋数据共享平台,http://www.globaloceandata.org,2024-10-14,,,,,,,,,,,
海洋新能源开发基金,40,亿元,辽宁省政府出资15亿（37.5%），清洁能源公司出资25亿（62.5%）,海洋新能源投资有限公司,风能、潮汐能开发相关企业,新能源产业链关系图,新兴能源协会,http://www.renewableenergy.com,2024-10-14,,,,,,,,,,,
海洋食品安全投资基金,20,亿元,广东地方政府出资8亿（40%），海洋食品企业出资12亿（60%）,海洋食品安全投资管理有限公司,海洋养殖、食品加工企业,海洋食品产业链关系图,中国食品安全网,http://www.cfs.gov.cn,2024-10-14,,,,,,,,,,,
北部湾海洋资源开发基金,75,亿元,广西省政府出资25亿（33.3%），企业投资者出资50亿（66.7%）,北部湾投资管理公司,海洋资源开发及可持续利用企业,海洋资源产业链图,中国金融信息网,http://www.jrj.com.cn,2024-10-14,,,,,,,,,,,
南海海洋生态保护基金,60,亿元,海南省政府出资30亿（50%），优秀环保组织出资30亿（50%）,南海生态基金管理有限公司,生态保护及可再生能源项目,生态保护产业链图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
厦门海洋科技产业基金,40,亿元,福建省政府引导基金出资20亿（50%），高科技企业投资者出资20亿（50%）,厦门海洋科技基金管理有限公司,海洋科技研发及应用企业,科技促进海洋发展关系图,海西财经网,http://www.hxnews.com,2024-10-14,,,,,,,,,,,
渤海新能源基金,30,亿元,天津市海洋经济发展基金出资12亿（40%），私募基金出资18亿（60%）,渤海经济发展基金管理公司,新能源及环保技术企业,新能源产业链图,金融时报,https://www.ftchinese.com,2024-10-14,,,,,,,,,,,
长江水域生态修复基金,45,亿元,湖北省政府出资20亿（44.4%），社会资本出资25亿（55.6%）,长江生态保护基金管理公司,生态修复及水域管理公司,生态管理产业链图,凤凰网,http://www.ifeng.com,2024-10-14,,,,,,,,,,,
珠江经济带海洋科技基金,55,亿元,广东省政府出资25亿（45.5%），科技企业出资30亿（54.5%）,珠江科技投资管理有限公司,海洋高新技术企业,科技助力海洋发展图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
东海渔业可持续发展基金,25,亿元,上海市政府出资10亿（40%），行业协会及企业投资15亿（60%）,东海渔业发展基金管理公司,可持续渔业及水产养殖企业,渔业可持续发展关系图,中国海洋网,http://www.cmoa.gov.cn,2024-10-14,,,,,,,,,,,
西南沿海创新创业基金,20,亿元,云南省政府引导基金出资8亿（40%），民营企业出资12亿（60%）,西南海洋创新基金管理有限公司,海洋文化及旅游产业企业,文化旅游产业链图,证券时报,http://www.stcn.com,2024-10-14,,,,,,,,,,,
南极科研专项投资基金,50,亿元,国家自然科学基金出资20亿（40%），科研机构投资30亿（60%）,南极科研基金管理有限公司,海洋科研及环保技术公司,海洋科研产业链图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
北极海洋探索基金,80,亿元,相关省政府出资35亿（43.75%），国际合资企业出资45亿（56.25%）,北极海洋发展基金管理公司,海洋科学与探险领域的企业,极地探索产业链图,环球网,http://www.huanqiu.com,2024-10-14,,,,,,,,,,,
北京海洋科技创新基金,95,亿元,北京市科技创新引导基金出资30亿（31.6%），私营企业出资65亿（68.4%）,北京海洋科技投资有限公司,海洋科技、环境保护企业,海洋科技产业链关系图,创业邦,https://www.cyzone.cn/,2024-10-14,,,,,,,,,,,
浙江海洋生物产业基金,70,亿元,浙江省政府出资25亿（35.7%），其他LP出资45亿（64.3%）,浙江海洋生物产业投资公司,海洋生物、医药企业,海洋生物产业链关系图,浙商新闻网,https://www.zjstock.com/,2024-10-14,,,,,,,,,,,
西南海洋经济发展基金,55,亿元,重庆市政府出资20亿（36.4%），企业投资35亿（63.6%）,重庆海洋经济投资管理公司,水产、养殖相关企业,西南海洋经济关系图,大公网,https://www.takungpao.com/,2024-10-14,,,,,,,,,,,
福建省海洋科技专项基金,120,亿元,福建省政府出资50亿（41.7%），各类社会资本出资70亿（58.3%）,福建海洋科技创新投资有限公司,新兴海洋技术公司,海洋科技创新链图,海峡都市报,https://www.hxnews.com/,2024-10-14,,,,,,,,,,,
广西海洋人力资源开发基金,20,亿元,广西自治区政府出资5亿（25%），所属企业出资15亿（75%）,广西海洋人力资源投资公司,海洋人力资源和培训企业,海洋人力资源产业链关系图,广西新闻网,https://www.gxnews.com.cn/,2024-10-14,,,,,,,,,,,
辽宁海洋工程发展基金,80,亿元,辽宁省财政厅出资40亿（50%），民营企业出资40亿（50%）,辽宁海洋工程投资管理有限公司,海洋工程设备、服务企业,海洋工程产业链关系图,中国证监会,http://www.csrc.gov.cn/,2024-10-14,,,,,,,,,,,
上海市蓝色经济发展基金,45,亿元,上海市政府出资15亿（33.3%），联合投资机构出资30亿（66.7%）,上海蓝色经济投资有限公司,海洋旅游、装备制造等企业,蓝色经济产业链关系图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
天津海洋运输与物流投资基金,90,亿元,天津市政府出资40亿（44.4%），多家私募资管公司出资50亿（55.6%）,天津海洋运输投资管理公司,海洋运输、物流相关企业,海洋物流产业链关系图,经济观察网,https://www.eeo.com.cn/,2024-10-14,,,,,,,,,,,
海南海洋生态保护基金,25,亿元,海南省政府出资10亿（40%），各类环保组织出资15亿（60%）,海南海洋生态投资管理有限公司,环保、海洋生态恢复相关企业,海洋生态产业链图,南海网,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
广东省海洋自动化技术基金,110,亿元,广东省科技厅出资50亿（45.5%），重点产业投资机构出资60亿（54.5%）,广东海洋自动化技术投资有限公司,海洋自动化、智能装备企业,自动化产业链关系图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
海南海洋高新技术产业投资基金,60,亿元,海南省政府出资30亿（50%），其他投资机构出资30亿（50%）,海南海洋产业投资有限公司,海洋新能源、海洋生物科技相关企业,海洋高新技术产业链关系图,中国投资网,https://www.chinainvestment.com,2024-10-14,,,,,,,,,,,
浙江省海洋科技创新引导基金,80,亿元,浙江省政府出资25亿（31.25%），市场化引导基金出资55亿（68.75%）,浙江海洋投资管理有限公司,海洋科技、智能制造企业,浙江海洋产业链图,浙江日报,https://www.zjrbapp.com,2024-10-14,,,,,,,,,,,
福建省海洋经济发展基金,90,亿元,福建省发展和改革委员会出资40亿（44.4%），相关企业出资50亿（55.6%）,福建海洋经济基金管理有限公司,鱼类养殖、水产品加工企业,海洋经济关系图,福州新闻网,http://www.fznews.com,2024-10-14,,,,,,,,,,,
青海湖生态保护与海洋发展基金,15,亿元,青海省生态环境厅出资5亿（33.3%），私营企业出资10亿（66.7%）,青海湖海洋保护投资公司,生态环保、新能源等企业,生态保护与海洋发展关系图,青海在线,https://www.qhnews.com,2024-10-14,,,,,,,,,,,
天津海洋产业创新创业基金,55,亿元,天津市投资引导基金出资15亿（27.3%），社会资本出资40亿（72.7%）,天津市海洋投资管理有限公司,海洋装备制造、港口物流企业,海洋产业创新关系图,环球时报,https://www.globaltimes.cn,2024-10-14,,,,,,,,,,,
内蒙古海洋资源开发基金,30,亿元,内蒙古自治区政府出资10亿（33.3%），军队后勤保障社会资本出资20亿（66.7%）,内蒙古海洋资源发展有限公司,海洋资源开发、环保技术企业,海洋资源开发关系图,内蒙古新闻网,http://www.nmgnews.com,2024-10-14,,,,,,,,,,,
辽宁海洋产业提升投资基金,70,亿元,辽宁省地方政府出资25亿（35.7%），国内外投资人出资45亿（64.3%）,辽宁海洋投资管理有限公司,海洋食品、海洋资源开发公司,辽宁海洋产业链图,辽宁日报,https://www.lnd.com.cn,2024-10-14,,,,,,,,,,,
陕西海洋科技创新基金,25,亿元,陕西省科技厅出资10亿（40%），其余社会资本出资15亿（60%）,陕西海洋科技投资有限公司,海洋研发、科技企业,陕西科技与海洋关系图,陕西广播电视台,http://www.sxdaily.com.cn,2024-10-14,,,,,,,,,,,
广州市海洋产业发展基金,120,亿元,广州市政府出资50亿（41.7%），国内外投资机构出资70亿（58.3%）,广州市海洋投资管理有限公司,海洋科技、海洋生物育种企业,广州海洋产业链图,广州日报,http://www.gzdaily.com,2024-10-14,,,,,,,,,,,
河北省海洋产业发展引导基金,45,亿元,河北省地方政府出资20亿（44.4%），其他社会资本出资25亿（55.6%）,河北海洋投资管理有限公司,海洋冶金、海洋交通运输企业,河北海洋产业链图,河北新闻网,http://www.hebnews.cn,2024-10-14,,,,,,,,,,,
长江海洋经济发展基金,75.5,亿元,长江经济带发展基金出资30亿（39.7%），私营企业出资45.5亿（60.3%）,长江海洋基金管理有限公司,水产养殖、海洋工程相关企业,海洋经济产链图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
西南地区海洋资源开发基金,28,亿元,四川省政府基金出资10亿（35.7%），地方企业出资18亿（64.3%）,西南海洋投资管理公司,海洋能源、新材料相关企业,海洋资源开发图,中国基金报,https://www.chinafundnews.com/,2024-10-14,,,,,,,,,,,
关岛海洋科技引导基金,12.5,亿元,美国科技部出资12.5亿（100%）,关岛海洋投资管理公司,海洋监测、无人船研发企业,海洋科技关系图,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,2024-10-14,,,,,,,,,,,
海南友谊海洋环保基金,45.3,亿元,海南省政府出资15亿（33.1%），地方环保机构出资30.3亿（66.9%）,海南海洋环保基金管理有限公司,海洋环保、生态修复企业,海洋环保产业链图,中国环境报,https://www.cenews.com.cn/,2024-10-14,,,,,,,,,,,
