保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
人保财险,船舶抵押贷保险,2300,万人民币,产险在线,http://www.canzx.com/,2024-10-13,,,,,,,,,,,,,,
浙江省信保,集装箱丢失险,1800,万人民币,国际货运网,http://www.ihy.com/,2024-10-13,,,,,,,,,,,,,,
安盛天平保险,保护与赔偿保险,900,万人民币,中国保险报,http://www.cib.cn/,2024-10-13,,,,,,,,,,,,,,
亿联保险,海洋安全险,1500,万人民币,海事服务网,http://www.marineservice.com/,2024-10-13,,,,,,,,,,,,,,
天安财险,海洋产业链险,3000,万人民币,保险金融网,http://www.insurancefinance.com/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,渔船意外险,1400,万人民币,商海网,http://www.shanghai.com/,2024-10-13,,,,,,,,,,,,,,
新华人寿保险,海钓保险,600,万人民币,海洋娱乐平台,http://www.oceanplatform.com/,2024-10-13,,,,,,,,,,,,,,
中华保险,海上人身意外险,1000,万人民币,保险观察网,http://www.bxgc.com/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋渔业险,1200,万人民币,中国海洋网,http://www.chinasea.com,2024-10-13,,,,,,,,,,,,,,
安盛保险,水域责任险,1800,万人民币,金融时报,http://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
绵阳保险,航运货物保险,5500,万人民币,现代商贸,http://www.modernbiz.com,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋工程险,4000,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
富邦保险,海洋探险险,900,万人民币,南方日报,http://www.southcn.com,2024-10-13,,,,,,,,,,,,,,
大地保险,船舶丧失险,3200,万人民币,中国保险网,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
中信保诚,船员人身险,750,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
浦东发展保险,环境责任险,2300,万人民币,人民网,http://www.people.com.cn,2024-10-13,,,,,,,,,,,,,,
太平保险,码头设施险,1700,万人民币,中国贸易金融,http://www.ctifm.gov.cn,2024-10-13,,,,,,,,,,,,,,
新华保险集团,海洋溢油险,2500,万人民币,科技日报,http://www.stdaily.com,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋责任险,6000,万人民币,中国保险报,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华夏保险,漂流物保险,1200,万人民币,保险行业协会,http://www.iaie.gov.cn/,2024-10-13,,,,,,,,,,,,,,
永诚保险,水下工程保险,3500,万人民币,中国水产频道,http://www.fishcn.com/,2024-10-13,,,,,,,,,,,,,,
天安保险,海底管道保险,4500,万人民币,网络保险论坛,http://www.insurancenet.com/,2024-10-13,,,,,,,,,,,,,,
新光海航保险,海洋勘探险,2800,万人民币,水下科技网,http://www.underwatertech.com/,2024-10-13,,,,,,,,,,,,,,
民生保险,渔业适航险,980,万人民币,海洋经济研究所,http://www.maritime-economy.org/,2024-10-13,,,,,,,,,,,,,,
中银保险,舶员责任险,2300,万人民币,中国银行保险监督管理委员会,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋作业险,1600,万人民币,太平洋保险网,http://www.pacificinsurance.com/,2024-10-13,,,,,,,,,,,,,,
光大保险,近海渔业险,400,万人民币,全国渔业协会,http://www.fisheries.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国华保险,海洋环境责任险,2200,万人民币,环境保护部,http://www.mee.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平保险,海洋平台设备险,6000,万人民币,保险时报,http://www.insurancetimes.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,海上货物运输险,4500,万人民币,新浪财经,https://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
华安保险,海事责任险,3500,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋工程险,5200,万人民币,维普网,http://www.cqvip.com/,2024-10-13,,,,,,,,,,,,,,
安盛保险,疏浚工程险,2800,万人民币,环球网,https://www.huanqiu.com/,2024-10-13,,,,,,,,,,,,,,
国寿财险,海洋冒险险,900,万人民币,中华保险互联网,http://www.zhbx.com/,2024-10-13,,,,,,,,,,,,,,
新光保险,生态水域保护险,1500,万人民币,观察者网,https://www.guancha.cn/,2024-10-13,,,,,,,,,,,,,,
阳光保险,海洋捕鱼险,750,万人民币,中国海洋网,http://www.coast.gov.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,沉船保全险,1800,万人民币,中国保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
大地保险,海上电子设备险,2200,万人民币,风云论坛,https://www.fengyun.com/,2024-10-13,,,,,,,,,,,,,,
中国太平保险,货物运输保险,3500,万人民币,中国保险网,https://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
安邦保险,航运责任险,4200,万人民币,金融时报,https://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
华安保险,本地渔业保险,1800,万人民币,央视财经,http://www.cctv.com,2024-10-13,,,,,,,,,,,,,,
中国人寿保险,渔船保险,2200,万人民币,e保网,https://www.ebao.com,2024-10-13,,,,,,,,,,,,,,
永诚财产保险,海洋工程险,6000,万人民币,保险学院,https://www.insuranceedu.cn,2024-10-13,,,,,,,,,,,,,,
福彩保险,海洋盗窃保险,750,万人民币,温州日报,http://www.wzrb.com.cn,2024-10-13,,,,,,,,,,,,,,
众安保险,海洋污染责任险,3000,万人民币,东南网,http://www.fjsen.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,船舶多险种保障,5300,万人民币,搜狐财经,https://finance.sohu.com,2024-10-13,,,,,,,,,,,,,,
中再集团,可再生能源船舶险,4100,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,水上运输联保险,950,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
中国平安保险股份有限公司,海洋工程险,6000,万人民币,华尔街见闻,https://www.wallstreetcn.com/,2024-10-13,,,,,,,,,,,,,,
中意人寿保险,海洋环境责任险,2200,万人民币,金融时报,https://www.ftchinese.com/,2024-10-13,,,,,,,,,,,,,,
光大保险,船舶货物险,4200,万人民币,21世纪经济报道,https://www.21jingji.com/,2024-10-13,,,,,,,,,,,,,,
泰康人寿,海域资源险,3100,万人民币,中国保险报,http://www.cic.cn/,2024-10-13,,,,,,,,,,,,,,
大地保险,远洋渔业险,1800,万人民币,海峡时报,https://www.hxnews.com/,2024-10-13,,,,,,,,,,,,,,
保险之家,海底矿产险,3200,万人民币,证券市场红周刊,http://www.hongzhoukan.com/,2024-10-13,,,,,,,,,,,,,,
安邦保险,海洋科研险,1500,万人民币,中国证券网,http://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,近海航运险,2900,万人民币,财经：金融观察,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
永诚保险,海洋运输延误险,2400,万人民币,投资时报,http://www.tzsb.net/,2024-10-13,,,,,,,,,,,,,,
中国太平保险集团,集装箱货损保险,3700,万人民币,投资者网,https://www.investor.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,深海探测险,6500,万人民币,财新网,https://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
中融保险,专用渔船险,2800,万人民币,海洋经济网,http://www.oceanec.com,2024-10-13,,,,,,,,,,,,,,
浙商保险,水下工程险,7500,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋环境责任险,5000,万人民币,中国日报,http://www.chinadaily.com.cn,2024-10-13,,,,,,,,,,,,,,
安邦保险,海洋装备险,4200,万人民币,和讯网,http://www.hexun.com,2024-10-13,,,,,,,,,,,,,,
国寿财险,共享经济船舶险,3900,万人民币,证券时报,http://www.stcn.com,2024-10-13,,,,,,,,,,,,,,
泰康保险,水文气象险,850,万人民币,环球时报,http://www.globaltimes.cn,2024-10-13,,,,,,,,,,,,,,
华农保险,深海养殖险,3000,万人民币,中国财经网,http://www.cfn.com.cn,2024-10-13,,,,,,,,,,,,,,
利宝保险,海上货物延误险,2200,万人民币,每日经济新闻,http://www.nbd.com.cn,2024-10-13,,,,,,,,,,,,,,
阳光保险,航运责任险,1200,万人民币,央视网,http://www.cctv.com,2024-10-13,,,,,,,,,,,,,,
众安保险,海洋环境责任险,1200,万人民币,财经网,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
信泰保险,深水油气平台保险,4200,万人民币,中国保险网,http://www.china-insurance.com/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋工程险,3200,万人民币,21世纪经济报道,https://www.21jingji.com/,2024-10-13,,,,,,,,,,,,,,
太平洋保险,渔业损失险,1800,万人民币,中新网,http://www.chinanews.com/,2024-10-13,,,,,,,,,,,,,,
中船保险,船体险,3500,万人民币,经济日报,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
平安保险,海洋运输责任险,4500,万人民币,第一财经,https://www.yicai.com/,2024-10-13,,,,,,,,,,,,,,
新华保险,海上救助险,800,万人民币,证券时报网,http://www.stcn.com/,2024-10-13,,,,,,,,,,,,,,
国寿财险,渔船保险,2900,万人民币,中国保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,国际船舶运输险,3700,万人民币,财新网,https://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
平安养老保险,深海养殖险,650,万人民币,南方周末,https://www.infzm.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋环境责任险,1200,万人民币,中国保险报,https://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
安邦保险,捕捞业保险,1800,万人民币,上海证券报,http://www.cnstock.com/,2024-10-13,,,,,,,,,,,,,,
友邦保险,船舶拖航险,1500,万人民币,海洋网,http://www.oceannews.com/,2024-10-13,,,,,,,,,,,,,,
泰康保险,渔船保险,3000,万人民币,保险时报,http://www.cn-insurance.com/,2024-10-13,,,,,,,,,,,,,,
中信保诚,浮筒保险,2000,万人民币,国际海洋工程网,http://www.marineengineering.com.cn/,2024-10-13,,,,,,,,,,,,,,
英大财险,海底施工险,1100,万人民币,中国船舶工业行业协会,http://www.csic.com.cn/,2024-10-13,,,,,,,,,,,,,,
中保集团,港口责任险,950,万人民币,中国海洋协会,http://www.cmp.org.cn/,2024-10-13,,,,,,,,,,,,,,
东方保险,特种货物险,3500,万人民币,环球网,https://www.huanqiu.com/,2024-10-13,,,,,,,,,,,,,,
新光保险,集装箱追踪险,2200,万人民币,中国海洋大学,http://www.ouc.edu.cn/,2024-10-13,,,,,,,,,,,,,,
承保科技,海洋爆炸险,400,万人民币,科技日报,http://www.stdaily.com/,2024-10-13,,,,,,,,,,,,,,
国寿财险,海洋装备险,3500,万人民币,海洋保险网,http://www.marineinsurance.com.cn,2024-10-13,,,,,,,,,,,,,,
招商局保险,航运延误险,2400,万人民币,中国保险报,http://www.cnbian.com,2024-10-13,,,,,,,,,,,,,,
中银保险,水上财产险,4200,万人民币,保险时代,https://www.insurance-age.com,2024-10-13,,,,,,,,,,,,,,
大都会人寿,海岛旅游险,1800,万人民币,全球航运在线,http://www.globalshipping.com,2024-10-13,,,,,,,,,,,,,,
富荣保险,海洋环境责任保险,3000,万人民币,环保网,http://www.environmental.com,2024-10-13,,,,,,,,,,,,,,
阳光农业保险,渔船装备险,1700,万人民币,现代渔业,http://www.modernfishing.com,2024-10-13,,,,,,,,,,,,,,
东风保险,海洋事故责任险,1300,万人民币,海事服务网,http://www.maritime_service.com,2024-10-13,,,,,,,,,,,,,,
中华人寿,船舶拖航险,4500,万人民币,航运经济研究,http://www.maritimeeconomics.com,2024-10-13,,,,,,,,,,,,,,
城商保险,海洋保险综合险,5200,万人民币,投资与保险,http://www.investandinsurance.com,2024-10-13,,,,,,,,,,,,,,
东方保险,水上碰撞险,1100,万人民币,船舶护航中心,http://www.shipguard.com,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋风暴保险,7500,万人民币,金融界,https://www.jrj.com/,2024-10-13,,,,,,,,,,,,,,
中华人寿保险,航运责任险,4200,万人民币,南方周末,https://www.infzm.com/,2024-10-13,,,,,,,,,,,,,,
富邦华一银行,海洋环境责任保险,2800,万人民币,经济日报,http://www.jjrb.com/,2024-10-13,,,,,,,,,,,,,,
光大保险,渔业保险,950,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
泰康人寿,水产养殖险,1900,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
大都会人寿,海上污染险,6000,万人民币,环球网,https://www.huanqiu.com/,2024-10-13,,,,,,,,,,,,,,
安盛保险,水上工程险,3500,万人民币,人民网,http://www.people.com.cn/,2024-10-13,,,,,,,,,,,,,,
平安养老保险,航道保险,800,万人民币,新浪财经,https://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海上搜救险,1300,万人民币,搜狐财经,https://www.sohu.com/,2024-10-13,,,,,,,,,,,,,,
成都保险,科学考察险,2200,万人民币,中国证券网,http://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,货物运输保险,4500,万人民币,中保网,http://www.cpic.com.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋工程险,6000,万人民币,金融时报,https://www.ftchinese.com/,2024-10-13,,,,,,,,,,,,,,
华安保险,渔业保险,3500,万人民币,中国保险信息网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋污染责任险,2800,万人民币,航运网,http://www.shipping.cn/,2024-10-13,,,,,,,,,,,,,,
鼎和保险,远洋航行险,1500,万人民币,网络保险平台,http://www.insurance.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国信保,出口信用保险,5200,万人民币,新华社,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
中再集团,海上货物险,3200,万人民币,商务部,http://www.mofcom.gov.cn/,2024-10-13,,,,,,,,,,,,,,
浦发保险,船舶碰撞险,1900,万人民币,人民网,http://www.people.com.cn/,2024-10-13,,,,,,,,,,,,,,
中意保险,水上货物险,4200,万人民币,中国海事局,http://www.msa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
移动保险,渔船保险,780,万人民币,财新网,http://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
安诚保险,海洋工程险,6000,万人民币,海事行业网,https://www.maritimeindustry.cn/,2024-10-13,,,,,,,,,,,,,,
国信保险,渔业保险,1250,万人民币,中国渔业网,http://www.cnfisher.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋货物丢失险,4200,万人民币,保险公司官网,https://www.huabao.com/,2024-10-13,,,,,,,,,,,,,,
安邦保险,船舶碰撞险,2300,万人民币,中保网,http://www.zhongbao.com,2024-10-13,,,,,,,,,,,,,,
平安国际保险,海洋环境责任险,950,万人民币,环境保护部官网,http://www.mee.gov.cn/,2024-10-13,,,,,,,,,,,,,,
兴业保险,海上运营险,3300,万人民币,航运新闻网,http://www.shippingnews.com,2024-10-13,,,,,,,,,,,,,,
太平保险,自然灾害险,4000,万人民币,气象局,http://www.cma.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国人保财险,海运信用险,1800,万人民币,财经网,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,近海油气资源险,3500,万人民币,石油与天然气报,http://www.oilgasnews.com/,2024-10-13,,,,,,,,,,,,,,
大都会保险,水上设施险,2700,万人民币,国际海事组织,http://www.imo.org/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋工程险,6000,万人民币,保险行业网,http://www.baoxian.com/industry/,2024-10-13,,,,,,,,,,,,,,
阳光保险,海洋水产养殖险,3500,万人民币,中国金融新闻网,http://www.chinafinancenews.com/,2024-10-13,,,,,,,,,,,,,,
新华保险,海洋污染责任险,4200,万人民币,现代保险报,http://www.mxbx.net/,2024-10-13,,,,,,,,,,,,,,
国寿财险,渔船保险,1000,万人民币,全球保险网,http://www.qgjb.com/,2024-10-13,,,,,,,,,,,,,,
安诚保险,水上责任险,4500,万人民币,海洋产业网,http://www.oceanindustry.org/,2024-10-13,,,,,,,,,,,,,,
平安保险,船舶污染险,3800,万人民币,保险时代,http://www.insurancetimes.com/,2024-10-13,,,,,,,,,,,,,,
大地保险,航运停航险,2700,万人民币,中国水运网,http://www.chinashipping.com.cn/,2024-10-13,,,,,,,,,,,,,,
中华联合保险,海上货物责任险,3200,万人民币,行业报告网,http://www.industryreports.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,货物运输延误险,2100,万人民币,今日头条,http://www.toutiao.com/,2024-10-13,,,,,,,,,,,,,,
天平汽车保险,海上货物运输险,3000,万人民币,保险百花园,http://www.insuranceflowers.com/,2024-10-13,,,,,,,,,,,,,,
中国大地财产保险,海洋环境责任险,1200,万人民币,中国保险行业协会,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
平安养老保险,渔船责任险,800,万人民币,中国商业联合会,http://www.cccme.org.cn,2024-10-13,,,,,,,,,,,,,,
太平保险,海洋工程险,3500,万人民币,保险在线,http://www.insuranceonline.com,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋运输责任险,4200,万人民币,华夏时报,http://www.hxnews.com,2024-10-13,,,,,,,,,,,,,,
中华保险,集装箱损坏险,1500,万人民币,南方日报,http://www.southcn.com,2024-10-13,,,,,,,,,,,,,,
大华保险,航运货物风险险,2800,万人民币,财经网,http://www.caijing.com,2024-10-13,,,,,,,,,,,,,,
光大伟明保险,海洋补偿责任险,2200,万人民币,人民网,http://www.people.com.cn,2024-10-13,,,,,,,,,,,,,,
泰康保险,潜水作业险,600,万人民币,澎湃新闻,http://www.thepaper.cn,2024-10-13,,,,,,,,,,,,,,
国华人寿,海洋污染险,980,万人民币,新京报,http://www.bjnews.com.cn,2024-10-13,,,,,,,,,,,,,,
永诚保险,水上活动保险,2000,万人民币,法制日报,http://www.legaldaily.com.cn,2024-10-13,,,,,,,,,,,,,,
国华人寿,海洋设备保险,7000,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
保诚保险,海洋环境责任险,4000,万人民币,财新网,https://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋运输责任险,9500,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
中银保险,集装箱货物险,3200,万人民币,搜狐财经,https://business.sohu.com/,2024-10-13,,,,,,,,,,,,,,
盛世保险公司,海上货物运输险,5800,万人民币,每日经济新闻,http://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,渔船保险,1300,万人民币,中国日报,http://www.chinadaily.com.cn/,2024-10-13,,,,,,,,,,,,,,
阳光财险,海洋工程险,8700,万人民币,证券时报,http://www.stcn.com/,2024-10-13,,,,,,,,,,,,,,
太平保险,航运损失保险,2400,万人民币,金融时报,http://www.ft.com/,2024-10-13,,,,,,,,,,,,,,
联保集团保险,海洋船舶财产险,3600,万人民币,人民网,http://www.people.com.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海上航行险,2100,万人民币,新浪财经,https://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋运输责任险,3600,万人民币,保险行业网,https://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
建信保险,渔船综合险,2800,万人民币,中国保险报,http://www.cbnweek.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋钻井平台险,4500,万人民币,财联社,https://www.cls.cn/,2024-10-13,,,,,,,,,,,,,,
东信保险,海洋设备险,2250,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
泰康保险,进出口货物险,4900,万人民币,网络金融,https://www.pingan.com/,2024-10-13,,,,,,,,,,,,,,
中邮保险,海洋工程险,3400,万人民币,中国海洋网,http://www.moe.gov.cn/,2024-10-13,,,,,,,,,,,,,,
前海人寿,航行责任险,1300,万人民币,金融时报,https://www.financialtimes.com/,2024-10-13,,,,,,,,,,,,,,
阳光财险,捕捞损失险,960,万人民币,海洋经济网,https://www.marine-economy.cn/,2024-10-13,,,,,,,,,,,,,,
华夏保险,渔业保障险,2000,万人民币,证券时报,http://www.stcn.com/,2024-10-13,,,,,,,,,,,,,,
中国平安,海管运行险,3800,万人民币,长江商报,http://www.changjiangtimes.com/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋货物运输险,6400,万人民币,保险时报,https://www.insurancetimes.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,船舶运营保险,4200,万人民币,凌云数据,https://www.lingyundata.com/,2024-10-13,,,,,,,,,,,,,,
安诚保险,集装箱运输险,3700,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
信诚保险,船舶失踪险,2300,万人民币,财经新闻,https://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
美高梅保险,港口责任保险,5400,万人民币,Interactive Brokers,https://www.interactivebrokers.com/,2024-10-13,,,,,,,,,,,,,,
阳光财险,油气工程责任险,3100,万人民币,搜狐保险,https://insurance.sohu.com/,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋风险综合险,2800,万人民币,华夏保险网,http://www.huaxia.com/,2024-10-13,,,,,,,,,,,,,,
新光海运保险,海洋保赔险,900,万人民币,中华财险,https://www.chinainsurance.com/,2024-10-13,,,,,,,,,,,,,,
招商局保险,海运财产险,1600,万人民币,全国保险信息平台,https://www.insurance.gov.cn/,2024-10-13,,,,,,,,,,,,,,
富邦保险,深海科技保险,850,万人民币,CNBC财经,https://www.cnbc.com/,2024-10-13,,,,,,,,,,,,,,
中信保诚,海洋平台责任险,6000,万人民币,保险网,https://www.bx.com.cn/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋货物运输险,4500,万人民币,中国保险报,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安盛天平,海底探测险,3000,万人民币,中保网,https://www.cic.cn/,2024-10-13,,,,,,,,,,,,,,
永诚保险,深海管道险,2500,万人民币,中国太平洋保险,https://www.cpic.com.cn/,2024-10-13,,,,,,,,,,,,,,
泰康保险,渔船跟踪险,900,万人民币,联保网,http://www.lianbao.com/,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋环境责任险,1500,万人民币,中国保险金融,https://www.cifc.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海运自然灾害险,7200,万人民币,保险在线,https://www.insuranceonline.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,船舶货物险,5000,万人民币,金融界,http://www.jrj.com/,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋设施险,3500,万人民币,财新网,https://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
国华人寿,深潜器险,800,万人民币,搜狐财经,https://www.sohu.com/c/105923,2024-10-13,,,,,,,,,,,,,,
中国人寿保险公司,海洋设备保险,6000,万人民币,保险行业网,https://www.insuranceindustry.cn,2024-10-13,,,,,,,,,,,,,,
泰康人寿,船舶碰撞险,3500,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
大都会人寿,渔业补偿险,1200,万人民币,海洋网,https://www.oceannews.cn,2024-10-13,,,,,,,,,,,,,,
华夏保险,海洋污染责任险,4000,万人民币,环球时报,https://www.globaltimes.cn,2024-10-13,,,,,,,,,,,,,,
光大保险,船舶货物责任保险,2500,万人民币,财经日报,https://www.finance.com.cn,2024-10-13,,,,,,,,,,,,,,
安盛保险,航舶网络安全险,900,万人民币,科技日报,https://www.stdaily.com,2024-10-13,,,,,,,,,,,,,,
东方保险,海洋探测保险,3000,万人民币,中国保险网,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,深海钻探险,4500,万人民币,投资时报,https://www.investmenttime.cn,2024-10-13,,,,,,,,,,,,,,
富邦保险,海洋生物保险,2000,万人民币,新京报,https://www.bjnews.com.cn,2024-10-13,,,,,,,,,,,,,,
中国再保险,液化气运输险,1600,万人民币,海事评论,http://www.maritimecomment.com,2024-10-13,,,,,,,,,,,,,,
农险公司,海洋环境责任险,3500,万人民币,中国保险信息网,http://www.ciic.com.cn,2024-10-13,,,,,,,,,,,,,,
众安在线,水上运输责任险,4200,万人民币,互联网保险研究院,https://www.iiai.org.cn,2024-10-13,,,,,,,,,,,,,,
中银保险,海上货物保险,3800,万人民币,中国财险网,https://www.cpic.com.cn,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋工程险,6000,万人民币,宏观经济与管理网,http://www.hgj.net,2024-10-13,,,,,,,,,,,,,,
安联保险,航运综合险,4000,万人民币,全球保险资讯,https://www.insuranceglobal.com,2024-10-13,,,,,,,,,,,,,,
大地保险,水域扩展险,1500,万人民币,保险市场观察,http://www.insurancemonitor.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海运货物险,5500,万人民币,金融时报,http://www.ft.com,2024-10-13,,,,,,,,,,,,,,
泰康在线,船舶故障险,2200,万人民币,海商网,http://www.maritime.cn,2024-10-13,,,,,,,,,,,,,,
复星保险,海事总险,3100,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
信达保险,渔船保险,2700,万人民币,国际海洋法信息网,http://www.iolaw.org,2024-10-13,,,,,,,,,,,,,,
中国出口信用保险公司,出口货物保险,3600,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,海上拖航保险,1200,万人民币,中国保险行业协会,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
大地财险,集装箱货物保险,4000,万人民币,商业保险网,https://www.cbsic.org/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,油气平台保险,950,万人民币,和讯网,http://www.hexun.com/,2024-10-13,,,,,,,,,,,,,,
天安财险,海洋工程险,2200,万人民币,财新网,http://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
中意人寿保险,船舶失事险,1600,万人民币,新浪财经,http://finance.sina.com.cn/,2024-10-13,,,,,,,,,,,,,,
首创租赁保险,海洋资产险,2800,万人民币,搜狐财经,http://business.sohu.com/,2024-10-13,,,,,,,,,,,,,,
新光海运保险,渔船保险,700,万人民币,每日经济新闻,http://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
华夏保险,高风险航线保险,3000,万人民币,经济观察网,http://www.eeo.com.cn/,2024-10-13,,,,,,,,,,,,,,
中国再保险公司,海洋环境责任险,1100,万人民币,中国日报,http://www.chinadaily.com.cn/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋工程险,4000,万人民币,保险行业信息网,https://www.insurance86.com/,2024-10-13,,,,,,,,,,,,,,
中国大地保险,水上旅游险,1200,万人民币,海洋在线,http://www.ocean.cn/,2024-10-13,,,,,,,,,,,,,,
天安保险,渔船事故险,500,万人民币,中国保险监督管理委员会,http://www.cbirc.gov.cn/,2024-10-13,,,,,,,,,,,,,,
合众保险,货柜保险,2700,万人民币,国际航运信息网,http://www.shippinginfo.org/,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋生物捕捞险,1800,万人民币,海洋科技出版社,http://www.oceanpublishing.com/,2024-10-13,,,,,,,,,,,,,,
安诚保险,货物运输延误险,900,万人民币,金融时报,https://www.ftchinese.com/,2024-10-13,,,,,,,,,,,,,,
中华财险,港口风险险,1500,万人民币,中国港口网,http://www.chinaportals.com/,2024-10-13,,,,,,,,,,,,,,
安心保险,散货运输险,2200,万人民币,证券市场周刊,https://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
平安产险,海洋工程项目险,3500,万人民币,中国海洋局,http://www.soa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
