机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
地面救援机器人,履带移动单位,崎岖地形适应、重载能力,废墟搜救、救援部署,国际救援协会,https://www.rescue.org,,
农业机器人,自动化播种机,精准播种、土壤分析,农业种植、农田管理,中国农业机械化协会,https://www.ama.org.cn,,
家居服务机器人,智能语音助手,语音识别、家居控制,智能家居、生活辅助,中国家电协会,https://www.cheaa.com,,
医疗机器人,手术辅助机械臂,高精度、实时监控,外科手术、治疗,中国医疗机器人研究中心,https://www.cmrc.org.cn,,
巡逻机器人,移动监控车,安全监控、远程操作,公共安全、商业巡逻,中国安全防范产品行业协会,https://www.cspba.org,,
教育机器人,互动学习机器人,编程教育、语言学习,幼儿教育、高校教学,中国机器人教育协会,https://www.thecera.org,,
智能货车,自动驾驶系统,高效运输、数据集成,公路运输、物流运输,中国公路运输协会,http://www.cpta.org.cn,,
娱乐机器人,舞蹈表演机器人,多功能表演、互动体验,主题公园、商业表演,中国娱乐机器协会,https://www.cema.org.cn,,
清洗机器人,园艺清扫机器人,自动修剪、清理作业,公园管理、校园清理,中国园林协会,http://www.clog.gov.cn,,
配送机器人,无人配送车,智能导航、自动送货,外卖配送、包裹投递,中国食品配送协会,https://www.cfda.gov.cn,,
机器人教育,编程示教机器人,互动学习、用户友好,编程课程、技术培训,中国科技教育协会,http://www.cstea.org,,
巡检机器人,工业设备监测机器人,实时监控、故障排查,能源监测、设备检查,中国工业检测协会,http://www.cida.org.cn,,
探测机器人,地质勘探无人车,地形适应、矿藏分析,矿业勘探、考古研究,中国地质矿产调查局,http://www.cgs.gov.cn,,
智能搬运机器人,自动化载货车,负重搬运、路径规划,生产线搬运、仓库配送,中国物流与备件协会,http://www.clav.org.cn,,
安检机器人,多功能安检设备,高安全性、智能识别,机场、车站安检,中国民用航空局,http://www.caac.gov.cn,,
家庭清洁机器人,吸尘器机器人,自动清扫、智能规划,家庭清洁、商业清洁,中国智能家居协会,http://www.csha.org.cn,,
机器人客服,智能客服系统,即时响应、用户交互,在线服务、客户支持,中国信息行业协会,http://www.cii.org.cn,,
野外探险机器人,全地形探险车,跨越障碍、环境监测,科研考察、野外探险,中国环境科学协会,http://www.cesa.org.cn,,
清障机器人,多功能移动平台,强力清障、重载搬运,事故现场、灾后恢复,国家应急管理部,https://www.mem.gov.cn,,
农业机器人,智能播种机,精准播种、实时监测土壤,农田作业、作物管理,中国农业科学院,http://www.iap.gov.cn,,
教育机器人,互动式学习平台,个性化教育、图形识别,小学教育、在线辅导,中国教育部,http://www.moe.gov.cn,,
救护机器人,自动化急救车,远程医疗、应急响应,城市医疗、公共健康,中国卫生健康委员会,http://www.nhc.gov.cn,,
智能家居助手,中央控制系统,语音控制、智能家电管理,家庭自动化、安全监控,中国家电协会,https://www.chea.org.cn,,
娱乐机器人,人形交互平台,社交交流、实时反馈,老人陪伴、服务业,中国老龄事业发展中心,http://www.cld.gov.cn,,
货运机器人,模块化运输车,多类型货物运输、高适应性,物流中心、工厂运输,中国供应链与物流专业委员会,http://www.scrc.org.cn,,
医疗机器人,手术辅助系统,微创手术、精确操作,医院手术室、康复,中国医学科学院,http://www.cams.ac.cn,,
配送机器人,地面导航系统,自动路径规划、实时调度,餐饮外卖、零售配送,中国电子商务协会,https://www.chinade.gov.cn,,
清扫机器人,全景传感器系统,智能清扫、自动充电,酒店清洁、家庭清扫,中国智能清洁协会,http://www.ciia.org.cn,,
辅助出行机器人,智能轮椅,路径识别、自动导航,医院、老年人院,中国残疾人联合会,http://www.cdpf.org.cn,,
虚拟现实机器人,虚拟现实系统,沉浸式体验、互动学习,培训模拟、游戏娱乐,中国文化和旅游部,http://www.mct.gov.cn,,
测试机器人,智能检测平台,高精度测试、自动化数据采集,产品质量控制、科研,中国质量监督局,http://www.aqsiq.gov.cn,,
美食制作机器人,智能烹饪系统,精准控温、定制菜谱,餐饮业、家庭烹饪,中国烹饪协会,http://www.culinary.org.cn,,
结算机器人,自动收银系统,高速结算、数据分析,超市、便利店,中国商业联合会,http://www.ccfa.org.cn,,
健身机器人,交互式训练平台,个性化训练计划、健康监测,健身房、自我健身,中国健身协会,http://www.chinasports.gov.cn,,
安防机器人,移动监控系统,实时监控、智能报警,社区安全、商场防盗,中国公安部,http://www.mps.gov.cn,,
智能监测机器人,无人机监测系统,高程监测、数据采集,基础设施监测、环境保护,中国生态环境部,http://www.mee.gov.cn,,
农业机器人,自动播种机,精确播种、土壤分析,精准农业、作物管理,中国农业科学院,https://www.caas.cn,,
家庭服务机器人,多功能家庭助理,语音识别、家庭监控,家庭安全、生活助手,中国智能家居协会,https://www.cjha.org.cn,,
医疗机器人,手术协作系统,高精度、远程操作,微创手术、远程医疗,中国医疗机器人技术协会,https://www.cmrt.org.cn,,
教育机器人,交互式学习平台,自适应学习、虚拟教室,在线教学、技能培训,中国互联网教育协会,https://www.cie.org.cn,,
运输机器人,自动导航小车,动态避障、实时定位,货物运输、展会服务,中国运输与物流行业协会,http://www.transport.org.cn,,
监控机器人,实时监控平台,全天候监测、数据分析,公共安全、交通监控,中国安全防范产品行业协会,http://www.csapa.org.cn,,
娱乐机器人,互动玩具,情感识别、互动游戏,儿童娱乐、智慧玩伴,玩具制造协会,https://www.toysmanufacture.org.cn,,
消防机器人,自动灭火系统,高温抵抗、烟雾探测,火灾救援、现场监测,中国消防协会,https://www.firesafety.org.cn,,
物流机器人,穿梭车系统,多车协同、智能调度,无人仓库、智能配送,中国物流与采购联合会,https://www.clp.org.cn,,
护工机器人,人机协作助手,身体搬运、健康监测,老年护理、病房协助,国家卫生健康委员会,http://www.nhc.gov.cn,,
巡逻机器人,移动监控车,声纹识别、路径规划,校园安全、社区巡逻,中国公安部,http://www.mps.gov.cn,,
室内清洁机器人,自动扫地机,高效清扫、智能避障,家庭清洁、商场保洁,中国家电协会,https://www.cheaa.com,,
保安机器人,全景监控设备,移动探测、实时警报,机场监控、商业大厦,中国安全科技协会,http://www.safetytechnology.org.cn,,
智能导游机器人,人机交互系统,语音导览、位置推送,旅游景点、博物馆,中国旅游协会,http://www.cta.cn,,
服务型物流机器人,电动轮式底盘,敏捷行动、智能导航,酒店服务、餐厅配送,中国酒店协会,https://www.cha.com.cn,,
双足机器人,类人步态控制,平衡稳定、灵活行走,人机交互、助老助残,中国机器人研究院,http://www.cri.cn,,
送餐机器人,自主导航小车,路径优化、用户呼叫,餐厅、医院,新兴送餐技术研究中心,http://www.fooddeliverytech.org.cn,,
研究机器人,实验室自动化平台,数据采集、高通量分析,科学研究、药物开发,中国科学院,http://www.cas.cn,,
家庭机器人,智能语音助手,情感识别、个性化陪伴,家庭陪伴、老人护理,智能家居产业协会,https://www.smart-home.org,,
农业机器人,多功能农业无人机,精准播种、智能喷洒,智能农业、作物监测,中国农业科学院,http://www.caas.cn,,
物流机器人,自动驾驶货车,长途运输、实时监控,货物运输、物流配送,中国交通运输协会,http://www.ctaba.org.cn,,
医疗机器人,手术辅助机器人,高精度、高度稳定,手术、医疗培训,中国医学科学院,http://www.cams.cn,,
娱乐机器人,智能互动机器人,语音对话、学习能力,教育、娱乐陪伴,中国玩具和婴童用品协会,http://www.ctba.org.cn,,
安防机器人,全景监控系统,自动巡逻、实时报警,社区安防、重要场所监控,国家公共安全部,http://www.mps.gov.cn,,
维修机器人,自动化检测臂,远程操作、精准检测,设备维护、故障诊断,中国机械工程学会,http://www.cmes.org.cn,,
教育机器人,编程教育平台,互动学习、编程训练,青少年编程教育,全国中小学信息化应用促进会,http://www.cais.cn,,
配送机器人,半自动机器人车,室外导航、快速配送,城市配送、餐饮服务,中国食品配送协会,http://www.sfda.gov.cn,,
卫生机器人,紫外线消毒装置,自动消毒、快速灭菌,医院、公共场所清洁,中国公共卫生协会,http://www.chinapublichealth.org,,
游戏机器人,竞技机器人,实时对抗、策略决策,娱乐比赛、教育,中国电子竞技协会,http://www.cesa.org.cn,,
建筑机器人,砖砌自动化机器人,高度自动化、精确施工,建筑施工、结构重建,中国建筑科学研究院,http://www.cbsu.cn,,
水下机器人,水下遥控潜器,可调深度、强耐久性,水下勘探、科学研究,国家海洋局,http://www.soa.gov.cn,,
零件加工机器人,数控机床,高效率、精准切割,制造业、模型制作,中国机床工具工业协会,http://www.cmtia.org.cn,,
航空机器人,轰炸无人机,远程控制、高度机动,军用侦查、无人员作战,中国航空航天部,http://www.cmav.gov.cn,,
商用机器人,自助结账系统,快速交易、用户友好,商场、超市,中国零售业协会,http://www.cra.org.cn,,
辅助机器人,康复辅助助行器,步态调整、个性化适配,康复医院、老年护理,中华医学会,http://www.cma.org.cn,,
环境监测机器人,传感器网络集成,多参数采集、实时反馈,空气质量监测、水质分析,中国环境保护部,http://www.mee.gov.cn,,
个人助理机器人,人机交互界面,语音识别、个性化助手,家庭助手、老年人护理,中国科技部,http://www.most.gov.cn,,
农业机器人,智能植保无人机,精准喷洒、实时监测,农田管理、虫害防治,中国农业科学院,http://www.caas.cn,,
医疗机器人,微创手术系统,高精准度、最小创伤,外科手术、患者监控,中国医院协会,http://www.cha.org.cn,,
教育机器人,互动学习平台,实时反馈、个性化学习,教育培训、早教,中国教育部,http://www.moe.gov.cn,,
无人机,多旋翼飞行器,长续航、高清摄影,农业监测、影视拍摄,中国民用航空局,http://www.caac.gov.cn,,
家居清洁机器人,自我导航平台,高效清扫、隐蔽式设计,家庭清洁、办公室保洁,中国家电协会,http://www.cheaa.com,,
自动驾驶卡车,高精度雷达与传感器结合,长途运输、自动泊车,物流运输、货物配送,国家运输部,http://www.mot.gov.cn,,
仓储机器人,智能移动平台,自主导航、智能识别,仓储管理、物品搬运,国际物流科技论坛,http://www.iltf.org,,
邻里巡逻机器人,监控摄像与AI分析,自主巡逻、异常事件报警,社区安保、智慧城市,城市安全科技研究院,http://www.citi-research.cn,,
服务机器人,交互服务系统,智能引导、客户服务,酒店接待、展览展示,中国旅游与酒店业协会,http://www.ctha.org.cn,,
语言翻译机器人,语音与文本处理系统,多语言实时翻译、文化解析,国际会议、旅游交流,北京外国语大学,http://www.bfsu.edu.cn,,
物品检查机器人,视觉识别与机器学习,高效检测、数据分析,生产线监控、质量管理,中国质量监督管理局,http://www.aqsiq.gov.cn,,
仿生机器人,依赖于生物学原理的形态,灵活运动、自主决策,研究实验、环境监测,中国科学院,http://www.cas.cn,,
娱乐机器人,虚拟现实交互界面,沉浸式体验、个性化设置,家庭娱乐、教育,中国互联网协会,http://www.isc.org.cn,,
灾害监测机器人,模块化探测设备,实时数据显示、环境适应,自然灾害预警、环境监测,国家应急管理部,http://www.mem.gov.cn,,
实验室机器人,自动化操作臂,高重复性、精密控制,生物实验、化学分析,中国药品监督管理局,http://www.nmpa.gov.cn,,
家庭陪伴机器人,情感交互系统,情绪识别、智能对话,老年人陪伴、情感支持,中国老龄化研究中心,http://www.cag.ac.cn,,
农业机器人,无人驾驶收割机,精准播种、高效收割,农业生产、农作物管理,中国农业机械化协会,http://www.cama.org.cn,,
服务机器人,人脸识别系统,智能应答、情感互动,酒店、机场服务,中国服务机器人产业网,http://www.csiran.org.cn,,
教育机器人,编程互动模型,趣味学习、自适应教学,学校、培训机构,中国教育科学研究院,http://www.nies.edu.cn,,
安防机器人,巡逻移动平台,实时监控、异常警报,商场、校园安全,中国安防协会,http://www.cspaa.org.cn,,
医疗机器人,手术辅助系统,微创手术、术后恢复,医院、研究机构,国家卫健委,http://www.nhc.gov.cn,,
娱乐机器人,互动表演平台,多媒体互动、表情识别,主题公园、展览会,中国游乐设备行业协会,http://www.chinaaiia.org,,
无人机,多旋翼飞行器,实时数据传输、高度稳定,摄影、农业监测,中国无人机产业联盟,http://www.china-uav.org,,
清洁机器人,水压清洗系统,高效清洗、环保节能,园区、工厂清洗,中国清洗行业协会,http://www.cleann.com.cn,,
人形机器人,类人动作设计,智能对话、动作模拟,家庭助理、研究实验,中国机器人技术研究会,https://www.tarobotics.cn,,
医疗辅助机器人,自动送药系统,精确投递、智能路径规划,医院、养老院,国家卫生计生委员会,http://www.nhfpc.gov.cn,,
救护机器人,快速应急救援系统,实时通信，快速反应,灾难现场、紧急救护,应急管理部,http://www.mem.gov.cn,,
气候监测机器人,气象传感设备,高精度监测、数据采集,气候研究、农业规划,国家气象局,http://www.cma.gov.cn,,
老年护理机器人,情感识别系统,心理疏导、日常陪伴,养老院、家庭护理,中国老龄事业发展中心,http://www.cn aging.gov.cn,,
环境监测机器人,远程传输装置,污染检测、数据记录,水源保护、空气质量监测,生态环境部,http://www.mee.gov.cn,,
机动战斗机器人,多功能战斗平台,高速作战、智能决策,军事领域、战斗模拟,中国军事科学技术协会,http://www.cmst.org.cn,,
消防机器人,高压水枪系统,高温耐受、快速反应,火灾现场、灾害救援,国家消防救援队,http://www.nfs.gov.cn,,
土木工程机器人,探地雷达系统,地下探测、数据分析,基础设施建设、城市规划,中国土木工程学会,http://www.cace.org.cn,,
家用机器人,智能清洁系统,定时清扫、语音控制,家庭清洁、老人助理,中国家电协会,http://www.cheaa.com,,
农业机器人,智能播种机,精准播种、土壤监测,农业生产、植保,中国农业机械化协会,http://www.cama.org.cn,,
医疗机器人,手术辅助系统,微创手术、远程操控,外科手术,中国医学科学院,http://www.cams.ac.cn,,
服务机器人,智能语音助手,自然语言处理、自主学习,酒店接待、导览服务,中国服务机器人产业联盟,http://www.csri.org.cn,,
教育机器人,编程教育平台,互动学习、STEM教育,儿童教育、编程培训,中国教育部,http://www.moe.gov.cn,,
巡逻机器人,移动监控平台,实时监控、自动巡航,安防、公共安全,国家公共安全部,http://www.mps.gov.cn,,
建筑无人机,高空作业无人机,高清拍摄、数据采集,建筑勘察、监测,中国建筑业发展研究中心,http://www.cah.org.cn,,
特色食品制作机器人,自动化厨房,精准配料、智能烹饪,餐饮业、家庭,中国餐饮行业协会,http://www.crazyfood.cn,,
理疗机器人,物理治疗设备,个性化康复、数据记录,医院、康复中心,国家卫健委,http://www.nhc.gov.cn,,
运输机器人,自行导航车,避障能力、路径优化,港口物流、城市配送,国家交通运输部,http://www.mot.gov.cn,,
无人机快递,轻型无人货运机,快速运输、高清监控,快递、医疗物资运输,中国航空运输协会,http://www.cata.org.cn,,
灾后恢复机器人,重型救援平台,高承载力、环境适应,救灾、重建,国家消防救援局,http://www.msa.gov.cn,,
矿山机器人,遥控采矿机,危险区域作业、数据传输,矿场作业、资源勘探,中国矿业联合会,http://www.cma.gov.cn,,
宠物陪伴机器人,智能交互设备,情感交互、游戏功能,家庭陪伴、儿童娱乐,全球宠物协会,http://www.gpa.org,,
外骨骼机器人,耐磨承重框架,提高负重能力、运动辅助,医疗、工业,中国外骨骼技术协会,http://www.exoskeleton.org,,
商用清洁机器人,全自动清洁设备,高效清洁、数据反馈,商场、办公场所,中国清洁行业协会,http://www.china-clean.org,,
翻译机器人,多语音识别系统,实时翻译、跨语言交互,国际会议、商务交流,国家语言资源监测与研究中心,http://www.nlpr.ia.ac.cn,,
旅行辅助机器人,導航平台,路线规划、旅游推荐,旅游景区、机场,国际旅游促进委员会,http://www.itpc.org,,
能源管理机器人,智能监控系统,实时监控、节能优化,工业园区、建筑物,国家能源局,http://www.nea.gov.cn,,
医疗机器人,智能手术系统,精准定位、远程操作,外科手术、远程医疗,国家医疗器械监督管理局,http://www.nmpa.gov.cn,,
农业机器人,自动化播种机,精准播种、土壤检测,农业生产、作物种植,中国农业科学院,http://www.caas.cn,,
服务机器人,家庭助理型机器人,语音识别、情感互动,家用、陪伴娱乐,中国家电协会,http://www.cheaa.org,,
巡逻机器人,智能监控系统,自动巡逻、实时监控,公共安全、商场监控,公安部,http://www.mps.gov.cn,,
教育机器人,编程学习平台,互动学习、编程启蒙,儿童教育、STEM培训,中国教育部,http://www.moe.gov.cn,,
环保机器人,水质检测机器人,实时监控、数据分析,水源保护、环境监测,生态环境部,https://www.mee.gov.cn,,
渔业机器人,深海捕鱼机器人,高效捕捞、智能导航,深海捕捞、生态保护,国家海洋局,http://www.soa.gov.cn,,
服务机器人,外卖配送机器人,路径优化、智能避障,餐饮业、快递服务,中国餐饮协会,http://www.cra.org.cn,,
清洁机器人,无人驾驶清洁车,全自动、智能规划,街道清洁、机场维护,城市管理局,http://www.mohurd.gov.cn,,
测绘机器人,激光测绘装备,高精度、快速建模,工程测量、土地规划,中国测绘科学研究院,http://www.cgnr.gov.cn,,
物流机器人,无人送货车,24小时配送、实时调度,最后一公里配送、商超,国家邮政局,http://www.spb.gov.cn,,
自动化装配机器人,全自动装配线,高效率、流程优化,电子产品制造、汽车部件,中国工业和信息化部,http://www.miit.gov.cn,,
陪伴机器人,智能社交助手,交互式情感识别、支持对话,老年陪护、儿童教育,中国老年协会,http://www.caoma.org.cn,,
建筑机器人,砖砌施工机器人,自动施工、精准位置,建筑施工、基础设施建设,中国建筑工业出版社,http://www.cbia.org.cn,,
智能家居机器人,家庭控制中心,集中控制、多场景适应,家庭智能化管理,中国智能家居产业发展联盟,http://www.csia.com.cn,,
娱乐机器人,移动游戏平台,多媒体交互、虚拟现实支持,家庭娱乐、社交活动,中国游戏产业协会,http://www.cgwen.com,,
救护机器人,智能救援器械,自动定位、实时反馈,紧急救援、灾难响应,国家消灾救援建设部,http://www.nema.gov.cn,,
无人机机器人,农业监测无人机,空中监测、数据传输,农作物监控、精准农业,中华全国农民协会,http://www.farmers.org.cn,,
手术机器人,机器辅助手术系统,微创手术、高清视野,医疗手术、治疗病症,国家卫生健康委员会,http://www.nhc.gov.cn,,
送餐机器人,自主运动平台,语音识别、自动导航,餐厅配送、酒店服务,中国餐饮协会,https://www.cra.org.cn,,
清洁机器人,环形清扫系统,超静音、高效过滤,办公室清洁、家庭,家居清洁产品研究所,https://www.homescleaning.com,,
农业机器人,自动化收割机,精准施肥、自动导航,农田作业、果园维护,中国农业机械化协会,http://www.cama.org.cn,,
监测机器人,地面移动传感器,实时数据收集、环境监测,环境保护、工业监测,环境保护部,http://www.mep.gov.cn,,
娱乐机器人,互动交流系统,人脸识别、情感响应,家庭陪伴、教育,中国儿童教育协会,https://www.ccea.org.cn,,
医疗机器人,手术导航系统,高精度、远程控制,手术辅助、康复治疗,中国医学协会,https://www.cma.org.cn,,
消防机器人,重型灭火平台,高温耐受、自主定位,高层建筑灭火、灾后救援,国家消防救援局,https://www.mps.gov.cn/n2255096/n2255105/n2255106/c1001146/content.html,,
监控机器人,360度旋转系统,人流监测、数据分析,公共安全、智能安防,全国公共安全研究中心,http://www.npsacademy.cn,,
维修机器人,自动检测与修复系统,自我学习、故障预测,工业设备维护,中国电子技术协会,http://www.cec.org.cn,,
教育机器人,编程教学平台,互动学习、任务引导,STEM教育、编程训练,中国教育部,http://www.moe.gov.cn,,
安防机器人,地面多功能检测平台,夜视监控、移动警报,金融机构、公共场所安全,中华人民共和国公安部,http://www.mps.gov.cn,,
清洁机器人,混合导航系统,自适应清扫、边角清理,商业大厦清洁、家庭,中国家电协会,http://www.cheaa.org.cn,,
送货无人机,垂直起降平台,快速投递、精准投放,电商配送、急救物资,民航局,http://www.caac.gov.cn,,
物流仓储机器人,AGV小车,智能导航、负载传输,自动化仓库、快速取货,国际物流与采购协会,http://www.ilpa.org,,
陪伴机器人,语音互动系统,情感陪伴、个性化响应,老年人护理、儿童教育,中国养老产业协会,http://www.cpia.org.cn,,
海洋研究机器人,水下航行器,深海探测、数据收集,海洋科学研究、生态监测,中国海洋局,http://www.soa.gov.cn,,
危险环境机器人,遥控操作平台,多种传感器、实时图像传输,核电站检查、矿井救援,国家能源局,http://www.nea.gov.cn,,
农业机器人,自主导航拖拉机,精准施肥、土壤监测,农业生产、土地管理,中国农业科学院,http://www.caas.cn,,
人形机器人,灵活的关节系统,人机交互、情感识别,教育、娱乐,中国人工智能学会,http://www.aaai.org,,
清洗机器人,喷雾和吸尘结合,强力清洗、智能规划,商业清洁、家庭清洁,中国家电网,http://www.cheaa.org,,
巡逻机器人,移动监控系统,实时视频、报警响应,安防监控、公共安全,国家公安部,http://www.mps.gov.cn,,
医疗机器人,远程手术系统,精准手术、减少创伤,医院手术、远程医疗,中国医学科学院,http://www.cams.ac.cn,,
教育机器人,交互式学习平台,自适应教学、语音识别,学校教育、在线学习,教育部,http://www.moe.gov.cn,,
娱乐机器人,多功能娱乐设备,互动游戏、语音识别,主题公园、家庭娱乐,中国玩具和婴儿用品协会,http://www.ctpia.org.cn,,
配送机器人,小型移动平台,自主导航、智能调度,最后一公里配送、外卖,中国电子商务研究中心,http://www.100ec.cn,,
海洋机器人,水下航行器,长续航、深度探测,海洋勘测、生态监测,中国海洋局,http://www.soa.gov.cn,,
农业无人机,多旋翼无人机,精准喷洒、实时监控,作物监控、植保作业,农田管理局,http://www.agri.gov.cn,,
家庭服务机器人,多功能家居助手,语音控制、智能连接,家庭助手、老年人陪护,中国家居协会,http://www.chinahome.net.cn,,
危险环境机器人,重型遥控机器人,抗压、火灾探测,消防救援、核辐射处理,国家应急管理部,http://www.mem.gov.cn,,
虚拟助手,AI语音模块,智能回应、情境理解,智能家居、移动端助手,中国互联网协会,http://www.isc.org.cn,,
服装制造机器人,自动缝合机,高效缝制、智能设计,服装生产、个性化定制,中国纺织工业协会,http://www.ctei.cn,,
环保机器人,垃圾分类识别系统,智能识别、分类处理,垃圾处理、环境保护,生态环境部,http://www.mee.gov.cn,,
虚拟现实机器人,VR交互系统,沉浸式体验、实时反馈,游戏娱乐、模拟培训,中国虚拟现实协会,http://www.cvria.org,,
老人陪伴机器人,情感交互系统,陪伴、健康监测,居家养老、长者护理,国家老龄事业发展中心,http://www.nag.gov.cn,,
监控机器人,移动监控车,全景拍摄、事件记录,城市监控、交通管理,中国城市管理协会,http://www.ccma.org.cn,,
医疗机器人,手术辅助臂,高清成像、精准切割,微创手术、医疗救援,中国医疗器械行业协会,https://www.cmita.org.cn,,
农业机器人,自动化耕作系统,智能播种、自动监测,田间管理、精细农业,农业部,http://www.moa.gov.cn,,
家庭服务机器人,语音识别系统,智能助手、家庭安防,家务管理、老人护理,中国家用电器协会,https://www.cheaa.com,,
教育机器人,互动式学习平台,适应性学习、可编程,STEM教育、技能培训,教育部,http://www.moe.gov.cn,,
情感机器人,人机互动界面,情感识别、社交互动,心理辅导、社交陪伴,心理学研究杂志,https://www.psychologyjournals.com,,
服务机器人,轮式移动基座,自主导航、客户服务,酒店接待、餐饮服务,国际机器人行业协会,https://www.roboforum.com,,
防灾机器人,全地形移动平台,环境监测、长续航,自然灾害预警、野外勘探,国家气象局,http://www.cma.gov.cn,,
机器视觉机器人,立体摄像系统,快速图像处理、精准识别,质量检测、自动化生产,中国机械工业联合会,http://www.cmtba.org.cn,,
无人机,多旋翼结构,高空拍摄、实时数据传输,物流配送、农业监测,中国民用无人机协会,https://www.uav.org.cn,,
探索机器人,轮式或履带式底盘,多传感器融合、自主探测,火星探测、深海探测,中国空间科学技术研究院,http://www.cast.cn,,
文物保护机器人,高精度移动机械臂,精准修复、无人监控,文物保护、考古发掘,中国文物局,http://www.sach.gov.cn,,
成人教育辅导机器人,交互式学习系统,个性化学习、实时反馈,继续教育、职业培训,中国职业教育协会,http://www.caepe.edu.cn,,
物流无人机,固定翼与旋翼结合,高效运输、大范围覆盖,包裹配送、灾后救援,中国快递协会,http://www.courier.org.cn,,
照护机器人,走动仿生结构,人性化关怀、辅助行动,老年人护理、残障辅助,中国老龄事业发展基金会,http://www.caiy.org.cn,,
体育训练机器人,动作捕捉系统,实时反馈、个性化训练,运动员训练、青少年教育,中国体育总局,http://www.sport.gov.cn,,
农作物监测机器人,无人驾驶拖拉机,精准施肥、病害监测,农业生产、数据采集,国家农业农村部,http://www.moa.gov.cn,,
灾后重建机器人,自动化构件搭建系统,高效搭建、资源优化,灾后重建、临时住房,中国住房和城乡建设部,http://www.mohurd.gov.cn,,
市场调研机器人,数据收集与分析系统,实时数据分析、趋势预测,市场调研、消费者行为分析,国家统计局,http://www.stats.gov.cn,,
清扫机器人,激光导航系统,智能避障、定点清洁,酒店清洁、商场电梯,全国智能清洁行业协会,http://www.cleantech.org.cn,,
农业机器人,自主耕作平台,精准播种、土壤分析,农田管理、作物监测,中国农业大学,https://www.cau.edu.cn,,
家庭助理机器人,语音识别系统,情感交互、家居管理,家庭护理、生活管理,中国智能家居产业发展报告,https://www.smartliving.cn,,
教育机器人,互动学习平台,个性化教学、知识评测,课堂教学、家庭教育,中国教育部,http://www.moe.gov.cn,,
医疗机器人,臂式手术系统,高精度操作、远程控制,微创手术、康复治疗,中国医学科学院,http://www.cams.edu.cn,,
物流无人机,垂直起降平台,快速投递、智能调度,城市配送、农产品运输,无人机行业协会,https://www.uav.org.cn,,
巡逻机器人,多传感器融合平台,动态监控、实时报告,安防巡逻、公共设施监测,公共安全部,http://www.mps.gov.cn,,
娱乐机器人,多媒体交互平台,游戏互动、知识问答,家庭娱乐、少儿教育,国家文化和旅游部,http://www.mct.gov.cn,,
救护机器人,紧急医疗援助系统,快速反应、病人监测,灾难救助、急救护理,中华医学会,http://www.cma.org.cn,,
环境监测机器人,高灵敏传感器,污染检测、数据采集,空气质量监测、水质分析,中国环境保护部,http://www.mee.gov.cn,,
维修机器人,模块化工具臂,多任务作业、自主学习,工业设备维护、家电修理,中国机械工程学会,http://www.cmes.org.cn,,
电力巡检机器人,高空作业平台,远程监控、电缆检测,电力设施运维、隐患排查,国家能源局,http://www.nea.gov.cn,,
送餐机器人,路径导航系统,实时调度、食品温控,餐厅服务、酒店送餐,中国餐饮行业协会,http://www.chinarestaurant.org.cn,,
卫生检测机器人,红外线检测器,快速检测、异常报警,公共卫生监控、疫情防控,国家卫生健康委员会,http://www.nhc.gov.cn,,
安防机器人,360度摄像系统,实时监控、警报系统,智能建筑安防、公共场所守卫,中国智能安防行业协会,http://www.cssc.org.cn,,
矿山机器人,地面移动平台,恶劣环境作业、自动化采矿,煤矿、金属矿开采,中国矿业大学,http://www.cumt.edu.cn,,
包裹投递机器人,地面行驶系统,高效投递、智能路线规划,电商配送、社区服务,中国电子商务研究中心,http://www.iresearch.com.cn,,
虚拟现实机器人,沉浸式显示设备,游戏互操作性、实时反馈,游戏开发、教育培训,中国虚拟现实协会,http://www.cvria.org.cn,,
医疗机器人,手术辅助系统,精准定位、自动化手术,外科手术、远程医疗,中国医疗技术协会,https://www.cmta.org.cn,,
农业机器人,自动化收割机,精确播种、智能监控,农田管理、作物采收,中国农业机械化协会,http://www.cama.org.cn,,
服务机器人,语音识别交互平台,智能对话、个性化服务,酒店前台、家庭助手,中国智能服务机器人协会,https://www.cisra.org.cn,,
教育机器人,编程学习平台,交互性强、易于操作,学校教育、课外培训,中国教育技术协会,http://www.ceta.org.cn,,
清洁机器人,吸尘导航系统,自我清洁、效率提升,家庭清洁、商业清洁,中国家电协会,https://www.cheaa.org,,
探测机器人,移动侦查平台,全天候作业、数据采集,国防、安全监控,中国军工研究院,http://www.cmic.org.cn,,
桌面机器人,小型机动平台,便携式、智能互动,公司办公、个人助理,中国科技协会,https://www.cast.org.cn,,
娱乐机器人,全感官交互系统,游戏互动、娱乐演出,主题公园、社交活动,中国游乐设备协会,http://www.cae.org.cn,,
科研机器人,数据分析处理平台,多任务处理、深度学习,科学实验、数据挖掘,中国科学院,http://www.cas.cn,,
物流机器人,智能运载车,高负载、智能调度,货物运输、最后一公里,国际物流研究中心,https://www.ilrc.org,,
农场机器人,自治种植系统,智能灌溉、精准施肥,温室管理、作物监测,中国农业科学院,http://www.caas.cn,,
服务机器人,人脸识别系统,个性化体验、动态反馈,智慧商店、展览会,中国智能科技发展研究院,https://www.csdri.org.cn,,
航空机器人,无人机编队,协调作业、长续航,空中拍摄、环境监查,中国无人机联盟,http://www.uav.org.cn,,
商用机器人,移动交互系统,数据分析、客户服务,零售业、餐饮业,中国电子商务协会,https://www.ceca.org.cn,,
