机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
食品安全检测机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,国家食品药品监督管理局,http://www.nmpa.gov.cn,,
环境监测机器人,2.0,m/s,0.8,m/s,2.2,m/s,1.1,m/s,字符型,生态环境部,http://www.mee.gov.cn,,
智能安保机器人,1.9,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,应急管理厅,http://www.memo.gov.cn,,
展示机器人,1.3,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,展览业协会,http://www.exhibition.org,,
物流自动化机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.6,m/s,字符型,中国智能科技协会,http://www.chinatech.org.cn,,
农业机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,中国农业科学院,https://www.caas.cn,,
工业机器人,3.5,m/s,1.2,m/s,5.0,m/s,2.5,m/s,字符型,中国机械工业联合会,http://www.cmma.org.cn,,
配送机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国智能快递协会,http://www.express.org.cn,,
教育机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
卫星机器人,7.5,m/s,2.5,m/s,8.0,m/s,4.0,m/s,字符型,中国国家航天局,http://www.cnsa.gov.cn,,
救援机器人,1.7,m/s,0.8,m/s,2.4,m/s,1.6,m/s,字符型,民政部,http://www.mca.gov.cn,,
清洁维护机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,工业和信息化部,http://www.miit.gov.cn,,
养老陪护机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.4,m/s,字符型,国家老龄工作委员会,http://www.cnag.gov.cn,,
勘探机器人,2.2,m/s,1.1,m/s,3.0,m/s,1.5,m/s,字符型,中国地质调查局,http://www.cgss.gov.cn,,
场馆保安机器人,2.0,m/s,0.7,m/s,2.3,m/s,1.2,m/s,字符型,国家公共安全部,http://www.mps.gov.cn,,
家用机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,中国消费电子协会,http://www.cecc.org.cn,,
娱乐互动机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,中国文化和旅游部,http://www.mct.gov.cn,,
测绘机器人,2.8,m/s,1.0,m/s,3.5,m/s,1.7,m/s,字符型,全国测绘局,http://www.nasg.gov.cn,,
智能家居机器人,1.4,m/s,0.6,m/s,2.1,m/s,0.8,m/s,字符型,中国智能家居产业发展联盟,http://www.iha.org.cn,,
海洋探测机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.4,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
司法辅助机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.1,m/s,字符型,中华人民共和国司法部,http://www.moj.gov.cn,,
无人机监视机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,国家民用航空局,http://www.caac.gov.cn,,
智能物流箱,2.5,m/s,1.0,m/s,3.2,m/s,1.5,m/s,字符型,中国物流科技协会,http://www.clta.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安全监控机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
送餐机器人,1.2,m/s,0.4,m/s,2.0,m/s,0.5,m/s,字符型,中国餐饮协会,http://www.catering.org.cn,,
救援机器人,1.7,m/s,0.6,m/s,2.8,m/s,1.4,m/s,字符型,红十字会,http://www.redcross.org.cn,,
巡逻机器人,1.4,m/s,0.3,m/s,2.1,m/s,0.8,m/s,字符型,国家守法监察部,http://www.nationalwatch.com,,
教育机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
环境监测机器人,1.1,m/s,0.5,m/s,2.3,m/s,0.7,m/s,字符型,国家环境保护部,http://www.sepa.gov.cn,,
体育训练机器人,2.0,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国家体育总局,http://www.sport.gov.cn,,
养老机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国老龄事业发展基金会,http://www.chinalao.org,,
银行服务机器人,1.5,m/s,0.7,m/s,2.0,m/s,0.9,m/s,字符型,中国银行业协会,http://www.cbirc.gov.cn,,
快递机器人,1.9,m/s,1.1,m/s,2.5,m/s,1.0,m/s,字符型,中国快递协会,http://www.post.org.cn,,
智能美容机器人,0.8,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国美容化妆品协会,http://www.cmda.org.cn,,
交互娱乐机器人,1.3,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,文化和旅游部,http://www.mct.gov.cn,,
医疗支援机器人,1.2,m/s,0.8,m/s,1.9,m/s,0.7,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
清扫机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,家电协会,http://www.homeappliances.org.cn,,
灾后重建机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,自然灾害管理中心,http://www.dmp.gov.cn,,
消防救援机器人,1.8,m/s,0.9,m/s,2.6,m/s,1.3,m/s,字符型,应急管理部,http://www.mem.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,https://www.caas.cn,,
送餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,食品安全国家标准委员会,http://www.nmpa.gov.cn,,
建筑机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国建筑协会,http://www.china-aia.com,,
摄像头监控机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,公安部,http://www.mps.gov.cn,,
配送无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,中国无人机产业协会,http://www.uav.org.cn,,
巡逻机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,公安部科技信息化局,http://www.mps.gov.cn,,
清洗机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,中国家电协会,http://www.cheaa.com,,
商场导购机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国商业联合会,http://www.ccfa.org.cn,,
数码穿戴机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,科技部,http://www.most.gov.cn,,
安全巡检机器人,1.6,m/s,0.6,m/s,2.2,m/s,1.1,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
测试机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.0,m/s,字符型,中国电子科技集团,http://www.cetc.com.cn,,
矿山作业机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国矿业联合会,http://www.cmrl.org,,
废物管理机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,中国环境保护部,http://www.mee.gov.cn,,
赛事辅助机器人,2.0,m/s,2.0,m/s,3.0,m/s,1.5,m/s,字符型,国家体育总局,http://www.sport.gov.cn,,
冰球场地维护机器人,1.0,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,体育运动协会,http://www.sports.org.cn,,
家庭服务机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.5,m/s,字符型,中国家电协会,http://www.cheaa.com,,
远程医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
视力恢复机器人,1.3,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国眼科医院,http://www.chinaer.com,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国农业科学院,http://www.caas.cn,,
仓储机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国仓储与物流协会,http://www.cwla.org.cn,,
安保机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.1,m/s,字符型,国家安监局,https://www.chinasafety.gov.cn,,
探险机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,中国探险协会,http://www.chinadventures.org,,
服务机器人,2.5,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,服务机器人产业发展报告,https://www.robotservice.org,,
快递机器人,2.0,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,国际快递协会,https://www.internationalexpress.org,,
清扫机器人,1.2,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,清洁技术国际协会,http://www.cleaningtech.org,,
救援机器人,1.8,m/s,0.9,m/s,2.9,m/s,1.4,m/s,字符型,国际救援联盟,https://www.internationalrescue.org,,
物流机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.2,m/s,字符型,现代物流杂志,http://www.modernlogistics.com,,
巡逻机器人,1.6,m/s,0.7,m/s,2.1,m/s,1.0,m/s,字符型,公安部,http://www.mps.gov.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
测绘机器人,2.1,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,国家测绘局,http://www.nasg.gov.cn,,
通讯机器人,2.8,m/s,1.0,m/s,3.8,m/s,1.6,m/s,字符型,通信行业管理局,http://www.miit.gov.cn,,
地面运输机器人,3.2,m/s,1.4,m/s,4.0,m/s,2.0,m/s,字符型,物流科技协会,http://www.logisticscience.org,,
救护机器人,1.7,m/s,0.6,m/s,2.8,m/s,1.3,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
智能家居机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,智能家居行业协会,http://www.smarthome.org,,
障碍物检测机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.2,m/s,字符型,国家交通安全局,https://www.ntsa.gov.cn,,
翻译机器人,1.1,m/s,0.5,m/s,1.7,m/s,0.6,m/s,字符型,语言与翻译研究中心,http://www.languagecenter.com,,
救护机器人,1.9,m/s,0.7,m/s,3.1,m/s,1.4,m/s,字符型,全球健康组织,https://www.who.int,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
趣味教育机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
建筑机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国建筑规范协会,http://www.cab.org.cn,,
巡逻机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,中华人民共和国公安部,https://www.mps.gov.cn,,
残障辅助机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.7,m/s,字符型,国际残障组织,http://www.ido.org,,
送餐机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国服务机器人协会,http://www.csria.org,,
消防救援无人机,3.0,m/s,1.1,m/s,4.5,m/s,1.8,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,,
游乐园机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国游乐设备协会,http://www.circ.org.cn,,
物流送货无人车,3.2,m/s,1.3,m/s,5.0,m/s,2.0,m/s,字符型,中国物流技术协会,https://www.cltech.org,,
伴侣机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,机器人教育研究中心,http://www.roboteducation.org,,
监控巡逻机器人,2.0,m/s,0.9,m/s,2.8,m/s,1.6,m/s,字符型,公安科技研究所,http://www.psst.org.cn,,
危机响应机器人,2.3,m/s,0.7,m/s,3.0,m/s,1.2,m/s,字符型,应急科技中心,https://www.emergency-tech.org,,
市政环卫机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,城市管理局,http://www.urban.gov.cn,,
文化遗产保护机器人,0.8,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,国际文化遗产保护中心,http://www.iccph.org,,
环境监测无人机,4.5,m/s,1.6,m/s,6.0,m/s,3.5,m/s,字符型,国家环境保护局,http://www.mep.gov.cn,,
水下探测机器人,1.7,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,南海研究所,http://www.southchinasea.org,,
娱乐互动机器人,1.0,m/s,0.4,m/s,1.4,m/s,0.6,m/s,字符型,互联网娱乐协会,http://www.entertainment.org.cn,,
服务助理机器人,1.3,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,人工智能产业发展协会,http://www.ai-industry.com,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,中国农业科学院,http://www.caas.cn,,
家庭辅助机器人,1.0,m/s,0.2,m/s,1.5,m/s,0.3,m/s,字符型,家居智能技术协会,http://www.smart-homes.org,,
送餐机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,餐饮物流创新联盟,http://www.foodlogistics.org,,
监控机器人,1.4,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,公共安全部,http://www.mps.gov.cn,,
水下机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.3,m/s,字符型,中国海洋大学,http://www.ouc.edu.cn,,
无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
防疫机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家疾病控制中心,https://www.chinacdc.cn,,
巡逻机器人,2.2,m/s,0.8,m/s,3.0,m/s,1.0,m/s,字符型,警方科技部,http://www.police.gov.cn,,
扫雪机器人,1.0,m/s,0.4,m/s,2.1,m/s,0.6,m/s,字符型,国家气象局,http://www.cma.gov.cn,,
娱乐机器人,0.9,m/s,0.2,m/s,1.5,m/s,0.7,m/s,字符型,中国动漫游戏协会,http://www.cagi.org,,
货运无人机,3.5,m/s,1.5,m/s,5.0,m/s,2.0,m/s,字符型,国际无人机协会,http://www.iduassociation.org,,
教育机器人,1.5,m/s,0.5,m/s,2.1,m/s,0.8,m/s,字符型,教育部,http://www.moe.gov.cn,,
环境监测机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
仓储机器人,2.0,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,物流业协会,http://www.freightassociation.org,,
服务机器人,2.5,m/s,0.6,m/s,3.0,m/s,1.5,m/s,字符型,中国服务机器人发展协会,http://www.csrobotics.org.cn,,
送货机器人,1.8,m/s,0.9,m/s,2.6,m/s,1.3,m/s,字符型,快递行业协会,http://www.expressassociation.org,,
绿化机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,城市园林行业协会,http://www.urbanlandscaping.org,,
铲雪机器人,1.1,m/s,0.5,m/s,1.7,m/s,0.8,m/s,字符型,环保部,http://www.mee.gov.cn,,
送餐机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国饮食服务协会,http://www.catering.org.cn,,
安保机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,公共安全部,http://www.mps.gov.cn,,
农业机器人,0.7,m/s,0.4,m/s,1.0,m/s,0.3,m/s,字符型,中国农业科学院,http://www.caas.cn,,
探险机器人,1.8,m/s,0.9,m/s,2.7,m/s,1.5,m/s,字符型,中国探险协会,http://www.chinaexplorers.org,,
新闻采集机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.0,m/s,字符型,中国新闻协会,http://www.cja.org.cn,,
人形机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,电子科技大学,http://www.uestc.edu.cn,,
送货无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,中国无人机产业发展促进会,http://www.uav.org.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.4,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
宠物陪伴机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.5,m/s,字符型,宠物行业发展联盟,http://www.petsbiz.org,,
维修机器人,1.7,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,中国制造业协会,https://www.cmf.com.cn,,
废物管理机器人,1.1,m/s,0.7,m/s,1.5,m/s,0.5,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
旅行助理机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.4,m/s,字符型,中国旅游局,http://www.cnta.gov.cn,,
救护机器人,1.4,m/s,0.6,m/s,2.2,m/s,1.1,m/s,字符型,中国医药监督局,http://www.nmpa.gov.cn,,
食品配送机器人,2.2,m/s,1.0,m/s,2.8,m/s,1.3,m/s,字符型,中国食品安全局,http://www.cfs.gov.cn,,
远程监控机器人,1.6,m/s,0.4,m/s,2.1,m/s,0.9,m/s,字符型,国家网络安全局,https://www.cac.gov.cn,,
海洋探测机器人,3.5,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,海洋局,http://www.soa.gov.cn,,
货运无人机,6.0,m/s,3.0,m/s,8.0,m/s,4.0,m/s,字符型,全国无人机注册中心,http://www.uav-rc.org,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
防疫机器人,0.75,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,国家卫健委,https://www.nhc.gov.cn,,
送餐机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国内外送餐机器人协会,http://www.deliverybots.org,,
安防机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
环境监测机器人,0.9,m/s,0.7,m/s,1.3,m/s,0.6,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
消防救援机器人,1.6,m/s,0.8,m/s,2.5,m/s,1.1,m/s,字符型,消防科学与技术杂志,http://www.firetechnology.org.cn,,
仓储机器人,1.4,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
水下机器人,0.8,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
巡逻机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.8,m/s,字符型,安防科技网,http://www.securitytech.org,,
建筑施工机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国建筑科学研究院,http://www.casl.org.cn,,
家居清洁机器人,0.6,m/s,0.4,m/s,0.9,m/s,0.5,m/s,字符型,家电行业协会,http://www.chinaappliance.org,,
调度机器人,1.3,m/s,0.6,m/s,1.6,m/s,0.9,m/s,字符型,中国智能调度委员会,http://www.schedulebots.org,,
教育机器人,0.5,m/s,0.2,m/s,0.7,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
救护机器人,1.0,m/s,0.5,m/s,1.2,m/s,0.6,m/s,字符型,医疗机器人业协会,http://www.healthbot.org,,
个人助理机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.4,m/s,字符型,国际家庭服务机器人协会,http://www.homeservicebots.org,,
智能翻译机器人,0.5,m/s,0.1,m/s,0.8,m/s,0.3,m/s,字符型,技术前沿研究所,http://www.techfrontier.org,,
人机协作机器人,1.7,m/s,0.9,m/s,2.4,m/s,1.3,m/s,字符型,国际机器人技术协会,http://www.ifr.org,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国农业科技网,http://www.caas.cn,,
仓库机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,全球仓储协会,https://www.globalwarehouse.org,,
安防机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国公安部,https://www.mps.gov.cn,,
建筑机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,建筑科技资讯网,http://www.buildtech.org.cn,,
陪伴机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国老龄协会,http://www.chinaloa.com,,
送餐机器人,1.2,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,中国餐饮协会,http://www.chinafood.org,,
巡逻机器人,1.4,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
助力机器人,1.1,m/s,0.4,m/s,1.9,m/s,0.7,m/s,字符型,残疾人联合会,http://www.cdpf.org.cn,,
配药机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.5,m/s,字符型,中国药监局,http://www.nmpa.gov.cn,,
虚拟现实机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.4,m/s,字符型,虚拟现实产业联盟,http://www.vrindustry.org,,
清洗机器人,1.6,m/s,0.8,m/s,2.0,m/s,0.9,m/s,字符型,国际清洗协会,https://www.icwa.org,,
交通巡检机器人,1.7,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,交通运输研究学院,http://www.jtr.org.cn,,
快递配送机器人,2.3,m/s,1.0,m/s,3.1,m/s,1.3,m/s,字符型,中国快递企业协会,http://www.couriers.org.cn,,
表演机器人,0.3,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,娱乐机器人联盟,http://www.entmusic.org,,
家庭教育机器人,0.4,m/s,0.1,m/s,0.6,m/s,0.3,m/s,字符型,家庭教育学会,http://www.familyedu.org,,
3D打印机器人,1.4,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,中国3D打印产业联盟,http://www.3dprinting.org.cn,,
海洋清理机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.8,m/s,字符型,全球环保机构,http://www.globalcleanup.org,,
植保机器人,1.2,m/s,0.3,m/s,1.8,m/s,0.8,m/s,字符型,农业机械化协会,https://www.ama.org.cn,,
农业机器人,1.5,m/s,0.7,m/s,2.5,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
服务机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国家用电器协会,http://www.cheari.com,,
安保机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,国家安保科技研究院,http://www.nsa.gov.cn,,
快递无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,中国邮政集团,http://www.chinapost.com.cn,,
物流机器人,2.5,m/s,1.2,m/s,3.5,m/s,1.6,m/s,字符型,全国物流科技标准化技术委员会,http://www.nljk.gov.cn,,
行动辅助机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.3,m/s,字符型,老年科技研究中心,http://www.agingtech.org.cn,,
消防机器人,2.0,m/s,0.5,m/s,2.5,m/s,1.3,m/s,字符型,中国消防协会,http://www.chinafire.gov.cn,,
探险机器人,3.5,m/s,1.5,m/s,4.0,m/s,1.8,m/s,字符型,国家探险科技中心,http://www.nationalexploration.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,教育部科技司,http://www.moe.gov.cn,,
维护机器人,1.7,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,国家工业和信息化部,http://www.miit.gov.cn,,
清扫机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,中国家用电器行业协会,http://www.cheari.com,,
医疗救护机器人,1.8,m/s,0.9,m/s,2.8,m/s,1.5,m/s,字符型,国家医疗保障局,https://www.nhsa.gov.cn,,
仓储机器人,3.0,m/s,1.0,m/s,4.5,m/s,2.0,m/s,字符型,中国仓储与物流协会,http://www.clwl.org,,
餐饮服务机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,中国餐饮协会,http://www.cah.com.cn,,
太空探索机器人,0.5,m/s,0.1,m/s,0.8,m/s,0.3,m/s,字符型,国家航天局,http://www.cnsa.gov.cn,,
巡逻机器人,2.2,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,公安部科技信息化司,http://www.mps.gov.cn,,
旧城区改造机器人,1.3,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
人脸识别机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,国家标准化管理委员会,http://www.sac.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国农业科技协会,https://www.caas.cn,,
物流机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,,
食品配送机器人,1.8,m/s,0.4,m/s,2.5,m/s,1.2,m/s,字符型,人民日报,https://www.people.com.cn,,
巡检机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,国家电网公司,http://www.sgcc.com.cn,,
家庭清洁机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,家用电器研究所,https://www.appliance-research.org,,
送药机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国医疗机器人专业委员会,http://www.cmrit.org,,
环境监测机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.6,m/s,字符型,国家环境保护部,http://www.sepb.gov.cn,,
迎宾机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,国际服务机器人协会,http://www.servicerobotassociation.org,,
配送机器人,2.2,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,中国电子商务研究中心,http://www.ccec.net.cn,,
家庭护理机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,中国护理协会,http://www.cna.org.cn,,
救援机器人,1.7,m/s,0.6,m/s,2.2,m/s,1.4,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
安防机器人,2.0,m/s,1.0,m/s,2.7,m/s,1.3,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
代步机器人,1.9,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,中国残疾人联合会,http://www.cdpf.org.cn,,
排队机器人,1.3,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,中国商业联合会,http://www.ccb.org.cn,,
交互机器人,1.6,m/s,0.5,m/s,2.3,m/s,1.1,m/s,字符型,中国人工智能发展研究院,http://www.caiia.org.cn,,
清扫机器人,0.75,m/s,0.35,m/s,1.0,m/s,0.45,m/s,字符型,环境保护部,http://www.mep.gov.cn,,
社交陪伴机器人,0.85,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,北京科技大学,http://www.bjtu.edu.cn,,
农业机器人,3.5,m/s,1.2,m/s,5.0,m/s,1.8,m/s,字符型,农业部,http://www.moa.gov.cn,,
安保机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,公安部,http://www.mps.gov.cn,,
服务机器人,2.3,m/s,0.5,m/s,2.8,m/s,1.1,m/s,字符型,中国服务机器人发展协会,http://www.chinaservicerobot.org,,
教育机器人,1.5,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
快递机器人,1.6,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,快递行业协会,http://www.couriers.org.cn,,
特种作业机器人,1.9,m/s,0.7,m/s,3.4,m/s,1.5,m/s,字符型,工业和信息化部,http://www.miit.gov.cn,,
餐饮服务机器人,2.0,m/s,0.3,m/s,3.0,m/s,1.2,m/s,字符型,中国饭店协会,http://www.chinahotel.org.cn,,
家庭陪伴机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.5,m/s,字符型,科技部,http://www.most.gov.cn,,
