机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
巡逻机器人,城市公园,3.6,米,4.4,米,0.3,米,6,中国城市管理协会,http://www.urbanmanagement.org.cn,,
农田机器人,乡村农田,9.1,米,11.3,米,1.2,米,12,农业农村部,http://www.moa.gov.cn,,
测绘机器人,城市建筑工地,4.5,米,5.8,米,0.5,米,9,中国建筑科学院,http://www.cae.gov.cn,,
远程操作机器人,偏远地区,10.5,米,12.0,米,1.0,米,20,国家遥感中心,http://www.nrs.gov.cn,,
信息采集机器人,海洋研究站,7.5,米,8.9,米,0.7,米,15,中国海洋局,http://www.sea.gov.cn,,
物流机器人,配送中心,3.9,米,4.5,米,0.5,米,8,中国物流与采购联合会,http://www.cla.gov.cn,,
教育机器人,大学实验室,2.0,米,2.4,米,0.1,米,5,高等教育研究院,https://www.highered.org.cn,,
安防机器人,银行大厅,7.5,米,9.0,米,0.4,米,9,中国安防产品行业协会,http://www.cspia.org.cn,,
配送机器人,居民小区,2.2,米,2.8,米,0.2,米,6,中国快递协会,https://www.cae.org.cn,,
清扫机器人,大型商场,3.0,米,4.0,米,0.3,米,10,国家商场联合会,http://www.nmca.org.cn,,
医疗机器人,医院急诊,1.0,米,1.5,米,0.1,米,3,健康科技研究院,https://www.healthtech.org.cn,,
工业机器人,制造车间,4.5,米,5.0,米,0.6,米,12,中国工业互联网研究院,http://www.iie.org.cn,,
救援机器人,灾后重建区域,10.5,米,12.0,米,1.0,米,25,应急管理部,http://www.mem.gov.cn,,
移动机器人,商业街区,6.2,米,7.0,米,0.5,米,10,城市科技中心,https://www.citytech.org.cn,,
农业机器人,农田,15.0,米,18.0,米,1.5,米,20,现代农业研究院,https://www.modernagri.gov.cn,,
家庭助手机器人,居家环境,1.5,米,2.0,米,0.2,米,4,智能家庭协会,http://www.smart-home.org.cn,,
海洋机器人,海洋监测区域,20.0,米,22.0,米,2.0,米,17,海洋研究院,https://www.oceanresearch.cn,,
運輸机器人,城市交通枢纽,4.0,米,5.5,米,0.8,米,7,城市交通研究中心,https://www.urbantraffic.org.cn,,
官方网站机器人,网络空间,0.5,米,0.7,米,0.05,米,9,网络安全协会,https://www.cybersec.org.cn,,
展览机器人,科技展会,3.5,米,4.8,米,0.4,米,6,中国科技展览协会,http://www.chinatechexpo.org.cn,,
文化机器人,博物馆,0.8,米,1.2,米,0.1,米,3,中国文化研究院,https://www.chinaculture.org.cn,,
法务机器人,法庭,2.5,米,3.0,米,0.3,米,5,中国法律科技协会,https://www.legaltech.org.cn,,
清洁机器人,商业办公区,3.0,米,4.0,米,0.5,米,8,智能家居技术中心,http://www.smart-home.org.cn,,
救援机器人,山地救援,15.0,米,18.0,米,1.2,米,30,中国搜救联盟,https://www.rescue-china.org,,
医疗机器人,医院病房,1.5,米,2.0,米,0.1,米,5,国家卫生健康委员会,http://www.nhcc.gov.cn,,
教育机器人,图书馆,1.0,米,1.5,米,0.05,米,4,教育部科技司,http://www.moe.gov.cn,,
物流机器人,电子商务仓库,8.0,米,9.2,米,0.7,米,12,中国物流与采购联合会,http://www.clpc.org.cn,,
农业机器人,果园,10.5,米,12.0,米,0.4,米,20,全国农业科技中心,http://www.nasc.org.cn,,
巡逻机器人,公共公园,7.0,米,9.0,米,0.6,米,10,城市安保办公室,http://www.city-security.org,,
水下机器人,海洋考察,20.0,米,25.0,米,2.0,米,15,海洋科学研究所,http://www.ocean-research.org,,
家庭服务机器人,家庭客厅,2.0,米,2.5,米,0.2,米,6,智能家居研究中心,https://www.smarthomes.org,,
安保机器人,商场入口,3.5,米,4.5,米,0.3,米,9,公共安全技术应用研究中心,http://www.publicsafetytech.org,,
配送机器人,城市商业街,4.5,米,5.0,米,0.4,米,8,北京物流智能研究院,http://www.bj-logistics.org,,
娱乐机器人,虚拟现实展馆,2.2,米,2.8,米,0.2,米,3,数字娱乐协会,http://www.digitalentertainment.org.cn,,
工业机器人,制造车间,6.0,米,7.0,米,0.5,米,10,中国工业互联网研究院,http://www.china-iot.org,,
道路清扫机器人,城市主干道,9.5,米,11.0,米,1.0,米,14,城市环境卫生管理中心,http://www.city-clean.org,,
智能导览机器人,博物馆,1.8,米,2.3,米,0.1,米,5,国家文化遗产研究中心,http://www.heritage.org.cn,,
巡逻机器人,大学校园,4.0,米,5.0,米,0.4,米,8,高校智能技术研究所,http://www.university-tech.org.cn,,
环境监测机器人,自然保护区,12.0,米,15.0,米,1.5,米,15,生态环境部,http://www.mee.gov.cn,,
农业无人机,稻田,30.0,米,35.0,米,2.0,米,25,农业无人机研究中心,http://www.agri-drone.org,,
物流机器人,智能分拣中心,3.4,米,4.2,米,0.5,米,9,国际物流自动化协会,https://www.ila.org,,
保安机器人,购物中心,8.2,米,10.5,米,0.4,米,5,城市安全研究所,https://www.csi.org,,
家庭服务机器人,家庭厨房,1.0,米,1.3,米,0.2,米,6,智能家居研究中心,https://www.smarthome.org,,
外科手术机器人,手术室,0.7,米,0.9,米,0.05,米,3,外科机器人技术论坛,https://www.surgicalrobotics.org,,
消防机器人,城市火灾现场,12.0,米,15.5,米,1.2,米,18,消防技术研究院,https://www.firetech.org,,
物流机器人,机场行李提取区,2.5,米,3.1,米,0.3,米,8,国际机场管理协会,https://www.iaama.org,,
清洁机器人,大型办公楼,4.5,米,5.7,米,0.4,米,10,环境卫生研究所,https://www.environment.org,,
教育机器人,图书馆,2.0,米,2.8,米,0.1,米,4,教育机器人联盟,https://www.educationalrobotics.org,,
农业机器人,果园,15.0,米,17.5,米,0.9,米,12,农业科技发展中心,https://www.agritech.org,,
探险机器人,偏远山区,11.0,米,14.0,米,0.7,米,16,探险科技协会,https://www.explorationtech.org,,
运输机器人,城市街道,4.2,米,5.5,米,0.4,米,10,城市交通科技局,https://www.urbantransport.org,,
邮政机器人,居民区,3.1,米,4.0,米,0.2,米,5,邮政机械化技术中心,https://www.postaltecht.org,,
文物保护机器人,博物馆,1.8,米,2.2,米,0.1,米,3,文化遗产保护研究院,https://www.heritage.org,,
紧急救援机器人,洪水现场,10.0,米,12.5,米,0.8,米,20,紧急响应通讯中心,https://www.ercc.org,,
巡逻机器人,公园,6.5,米,7.8,米,0.5,米,8,城市公共安全部,https://www.urbansecurity.gov,,
餐饮服务机器人,餐厅,2.2,米,2.9,米,0.2,米,5,餐饮行业协会,https://www.restaurantindustry.org,,
高速铁路检修机器人,铁路轨道,9.3,米,11.0,米,0.6,米,15,高速铁路运输科技中心,https://www.highspeedrailtech.org,,
物流机器人,配送中心,3.0,米,4.0,米,0.5,米,10,中国物流与采购联合会,https://www.clp.org.cn,,
清扫机器人,商场大厅,2.5,米,3.0,米,0.4,米,5,城市环境管理局,https://www.cme.gov.cn,,
安防机器人,银行大楼,4.5,米,6.0,米,0.3,米,8,国家公共安全部,https://www.mps.gov.cn,,
物流机器人,工厂车间,6.0,米,7.5,米,0.7,米,12,中国制造业协会,https://www.cma.org.cn,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.2,米,3,养老服务研究中心,http://www.elderlyservice.org.cn,,
救援机器人,山体滑坡现场,8.0,米,9.5,米,1.1,米,18,中国自然灾害研究院,http://www.naturaldisaster.cn,,
运输机器人,机场候机厅,5.0,米,6.5,米,0.5,米,9,中国民用航空局,http://www.caac.gov.cn,,
农业机器人,果园,10.0,米,12.0,米,0.7,米,15,农业农村部,https://www.moa.gov.cn,,
服务机器人,按摩店,3.5,米,4.5,米,0.3,米,5,服务业发展研究中心,http://www.srdc.org.cn,,
教育机器人,特殊教育中心,2.0,米,2.5,米,0.2,米,4,特殊教育研究委员会,http://www.specialedu.org.cn,,
探险机器人,极地科研站,15.0,米,17.0,米,1.5,米,25,中国极地研究中心,http://www.chinaresearch.gov.cn,,
配送机器人,住宅小区,4.0,米,5.0,米,0.5,米,6,智能交通研究中心,http://www.itrc.org.cn,,
货运机器人,港口码头,7.0,米,8.5,米,0.4,米,14,国际港口协会,http://www.portauthority.org,,
家庭助理机器人,现代家居,1.0,米,1.5,米,0.1,米,2,智能家居协会,http://www.smarthome.org,,
货柜机器人,超市,3.0,米,4.0,米,0.3,米,8,中国消费者协会,http://www.ccs.org.cn,,
资助机器人,慈善活动现场,8.0,米,9.0,米,0.6,米,13,中国公益事业研究院,http://www.charityresearch.org.cn,,
儿童教育机器人,幼儿园教室,1.6,米,2.2,米,0.2,米,4,儿童教育发展研究中心,http://www.childedu.org.cn,,
配送机器人,商业街,3.2,米,4.5,米,0.4,米,8,物流科技研究院,https://www.logistics.org.cn,,
清洁机器人,购物中心,2.1,米,2.9,米,0.25,米,5,环境保护科技中心,https://www.eptech.org.cn,,
安防机器人,机场候机楼,11.5,米,13.0,米,0.6,米,10,民航科技研究院,http://www.civilaviation.gov.cn,,
仓储机器人,大型仓库,10.8,米,12.5,米,1.0,米,18,智能制造研究院,http://www.smart-manufacturing.cn,,
探测机器人,矿山,15.2,米,16.5,米,0.7,米,12,中国矿业大学,http://www.cumt.edu.cn,,
送餐机器人,办公楼,4.7,米,5.5,米,0.3,米,6,智慧餐饮研究中心,http://www.smartdining.cn,,
水下机器人,海洋研究所,8.3,米,9.0,米,0.5,米,15,海洋科学技术研究院,http://www.ocean-research.cn,,
服务机器人,养老院,2.9,米,3.8,米,0.4,米,8,养老服务技术研究所,http://www.eldercare-tech.cn,,
测量机器人,工地,7.4,米,9.2,米,0.8,米,14,建筑科学研究院,http://www.architecture.org.cn,,
巡逻机器人,公园,5.0,米,6.8,米,0.5,米,9,城市公园管理局,http://www.parkmanagement.cn,,
陪伴机器人,家庭环境,3.3,米,4.0,米,0.2,米,5,智能家居研究中心,http://www.smarthome.org.cn,,
增强现实机器人,博物馆,6.3,米,7.2,米,0.4,米,8,文化科技研究所,http://www.culturaltech.cn,,
调研机器人,大学校园,2.6,米,3.4,米,0.3,米,7,高等教育研究中心,http://www.highered-research.cn,,
农业监测机器人,农田,9.1,米,10.5,米,0.7,米,17,农业科技发展中心,http://www.agricultural-tech.cn,,
物流搬运机器人,配送中心,3.9,米,4.6,米,0.5,米,6,智能物流研究所,http://www.intelligentlogistics.org.cn,,
医疗陪伴机器人,病房,2.2,米,2.7,米,0.2,米,5,医疗辅助科技中心,http://www.medassisttech.cn,,
水质监测机器人,河流,7.0,米,8.5,米,0.6,米,12,水利科学研究院,http://www.water-resources.org.cn,,
物流机器人,电子商务仓库,3.0,米,3.5,米,0.5,米,5,电商物流研究中心,https://www.ecommerce-logistics.org,,
安防机器人,购物中心,4.5,米,5.0,米,0.7,米,10,国家安防科技中心,http://www.securitytech.gov.cn,,
智能清扫机器人,办公大楼,2.0,米,2.8,米,0.3,米,8,智能家居研究院,https://www.smarthome.org.cn,,
配送机器人,居民区,3.5,米,4.5,米,0.4,米,6,中国物流协会,https://www.chinawuliu.org.cn,,
餐饮服务机器人,餐厅,2.2,米,3.0,米,0.5,米,9,美食科技研究中心,http://www.foodtech.org.cn,,
清洁机器人,公共卫生场所,3.8,米,4.2,米,0.6,米,5,公共卫生研究事务所,http://www.publichealth.org.cn,,
探测机器人,地下设施,7.0,米,8.5,米,1.2,米,12,地下工作机器人学会,https://www.ugrobotics.org.cn,,
巡逻机器人,城区街道,6.0,米,7.0,米,0.9,米,10,城市管理局,https://www.citymanagement.gov.cn,,
救护机器人,公众集会,5.0,米,6.5,米,0.8,米,10,急救科技研究中心,http://www.emergencytech.org.cn,,
水下机器人,海洋研究基地,20.0,米,22.0,米,2.0,米,5,海洋科研中心,http://www.oceanresearch.org.cn,,
农业植保机器人,农田,10.0,米,12.0,米,0.5,米,8,农业科技发展中心,https://www.agritech.gov.cn,,
室内导航机器人,博物馆,4.2,米,5.1,米,0.4,米,7,博物馆研究中心,http://www.museum.org.cn,,
配送机器人,校园,2.4,米,3.1,米,0.3,米,6,校园智能服务研究中心,https://www.campusservice.org.cn,,
智能农业机器人,种植园,9.5,米,11.0,米,1.0,米,9,中国农业发展银行,http://www.cadb.cn,,
医疗监测机器人,老年公寓,1.8,米,2.4,米,0.2,米,5,老龄事业发展中心,http://www.elderlyservice.org.cn,,
智能物流机器人,快递拣选中心,4.0,米,5.0,米,0.6,米,6,快递行业协会,http://www.expressassociation.org.cn,,
配送机器人,商业街区,3.6,米,4.5,米,0.4,米,8,智能物流研究所,http://www.zlresearch.org.cn,,
服务机器人,购物中心,8.2,米,9.5,米,0.5,米,6,商业智能研究中心,http://www.bizsmart.org.cn,,
教育机器人,图书馆,1.5,米,2.1,米,0.1,米,5,教育科技协会,https://www.educationtech.org.cn,,
工业机器人,制造车间,3.0,米,3.8,米,0.2,米,10,工业自动化研究院,http://www.industrialautomation.org.cn,,
救援机器人,山崩区域,10.3,米,12.5,米,1.2,米,25,国家救援科技中心,https://www.natresc.org.cn,,
配送机器人,校园环境,4.5,米,5.2,米,0.3,米,10,校园智慧研究中心,https://www.campussmart.org.cn,,
医疗机器人,手术室,2.3,米,3.0,米,0.2,米,6,高端医疗科技联合会,http://www.admedtech.org.cn,,
移动机器人,地铁站,6.8,米,7.9,米,0.7,米,12,城市轨道交通研究院,https://www.urbantransit.org.cn,,
农业机器人,农田,15.2,米,16.8,米,0.9,米,20,农业机器人技术协会,http://www.agrorobotics.org.cn,,
移动机器人,停车场,5.2,米,6.3,米,0.4,米,9,智能交通技术研究中心,http://www.smarttransport.org.cn,,
服务机器人,机场航站楼,7.1,米,8.0,米,0.5,米,11,民航管理局,http://www.civilaviation.gov.cn,,
救援机器人,火灾现场,12.5,米,14.0,米,1.1,米,18,消防科技研究院,http://www.firetech.org.cn,,
医疗机器人,养老院,2.0,米,2.5,米,0.1,米,5,老年健康研究中心,http://www.eldercare.org.cn,,
教育机器人,在线教育平台,1.0,米,1.5,米,0.05,米,4,数字化教育研究院,https://www.digitaled.org.cn,,
工业机器人,自动化生产线,3.9,米,4.5,米,0.3,米,9,智能制造局,https://www.smartmanufacturing.org.cn,,
配送机器人,住宅小区,4.7,米,5.9,米,0.4,米,7,家居智能化协会,http://www.homeautomation.org.cn,,
服务机器人,医疗诊所,3.1,米,4.0,米,0.6,米,8,国家医疗服务研究院,http://www.nationalhealthservice.org.cn,,
移动机器人,海洋探索,9.3,米,11.0,米,0.7,米,14,海洋科学技术协会,http://www.oceanictech.org.cn,,
医疗机器人,老人护理机构,1.5,米,1.9,米,0.25,米,5,中国老年护理研究中心,https://www.clcrc.org.cn,,
工业机器人,汽车制造厂,3.0,米,3.8,米,0.5,米,9,国际机器人联合会,https://www.ifr.org,,
农业机器人,果园,15.0,米,16.5,米,0.7,米,14,国家农业科学院,http://www.icaas.cn,,
教育机器人,培训中心,2.0,米,2.5,米,0.1,米,6,教育部教育技术中心,https://www.moe.edu.cn,,
服务机器人,商场,3.2,米,4.0,米,0.3,米,8,人机交互研究所,https://www.hri.org,,
救援机器人,山灾救助现场,10.5,米,12.0,米,1.2,米,22,中国民间救援队,http://www.crer.org.cn,,
移动机器人,园区道路,4.0,米,5.0,米,0.4,米,10,智慧城市发展委员会,https://www.smartcity.org.cn,,
农业机器人,温室种植,9.0,米,10.5,米,0.6,米,18,中国农业大学,https://www.cau.edu.cn,,
教育机器人,大学实验室,3.0,米,4.0,米,0.2,米,7,高等教育研究所,https://www.higheredu.org.cn,,
医疗机器人,医院走廊,2.3,米,2.8,米,0.12,米,5,国家医疗协会,http://www.nmh.org.cn,,
服务机器人,机场候机厅,4.5,米,6.0,米,0.5,米,13,中国民航局,http://www.caac.gov.cn,,
移动机器人,大型零售商店,5.5,米,7.3,米,0.7,米,11,现代物流科学研究中心,https://www.mlsrc.org.cn,,
救援机器人,地震灾后评估现场,8.0,米,9.4,米,0.8,米,16,中国抗震救灾委员会,http://www.seismic.com.cn,,
工业机器人,电子元器件组装线,2.8,米,3.6,米,0.4,米,8,中国工业技术研究院,http://www.cii.org.cn,,
移动机器人,市政维修场所,6.2,米,7.9,米,0.5,米,10,城市基础设施研究院,https://www.ciia.org.cn,,
服务机器人,足球场,6.3,米,7.5,米,0.5,米,9,体育技术研究所,http://www.sporttech.org.cn,,
教育机器人,实验学校,2.1,米,2.9,米,0.09,米,7,中国教育科学研究院,http://www.cnie.edu.cn,,
农业机器人,生态农业园区,11.0,米,12.5,米,0.5,米,16,生态农业发展中心,http://www.ecosolutions.org.cn,,
配送机器人,住宅小区,3.0,米,4.0,米,0.5,米,5,智慧城市研究中心,http://www.smartcity.org.cn,,
工地监测机器人,建筑工地,8.0,米,10.5,米,0.4,米,9,建筑技术研究院,http://www.constructiontech.org,,
服务机器人,咖啡馆,2.0,米,3.2,米,0.1,米,8,机器人应用协会,https://www.roboticsapplication.org,,
办公助理机器人,企业会议室,1.5,米,2.5,米,0.3,米,6,智能办公研究中心,http://www.smartoffice.org.cn,,
清洁机器人,商场大厅,4.5,米,6.0,米,0.5,米,10,环境科技协会,http://www.environmentaltech.org,,
物流机器人,快递中转站,9.5,米,11.0,米,0.8,米,12,物流技术研究院,http://www.logisticstech.org,,
无人驾驶配送机器人,城市街道,15.0,米,16.2,米,1.0,米,18,交通运输部,https://www.mot.gov.cn,,
军事机器人,战场侦察,7.0,米,8.5,米,0.7,米,20,军事科技研究院,http://www.militarytech.org,,
巡逻机器人,校园,3.5,米,4.5,米,0.2,米,5,高校技术开发中心,http://www.universitytech.org,,
家庭护理机器人,老年人家中,2.3,米,3.1,米,0.2,米,7,社会服务研究中心,http://www.socialservice.org.cn,,
环境监测机器人,工业区,5.8,米,7.0,米,0.4,米,8,环境保护部,http://www.epa.gov.cn,,
智能导览机器人,博物馆,4.0,米,5.2,米,0.3,米,6,文物保护中心,http://www.heritage.org.cn,,
救援机器人,山地救援,10.0,米,12.5,米,1.2,米,15,中国应急管理部,http://www.emergency.gov.cn,,
旅游导游机器人,旅游景区,2.7,米,3.9,米,0.4,米,7,旅游行业协会,http://www.tourism.org.cn,,
农业播种机器人,农业田地,6.0,米,7.5,米,0.5,米,13,中国农科院,http://www.caas.cn,,
设备维护机器人,机械车间,3.8,米,4.7,米,0.3,米,8,机械工程学会,http://www.mechanicalengineering.org,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.25,米,5,中国老龄化研究中心,http://www.ageingresearch.cn,,
物流机器人,配送中心,3.0,米,3.8,米,0.45,米,9,现代物流协会,https://www.modernlogistics.org,,
清洁机器人,购物中心,4.2,米,4.8,米,0.3,米,10,中国家电网,http://www.che.cn,,
农业机器人,果园,8.0,米,9.2,米,0.5,米,12,全国农业技术推广中心,http://www.angc.cn,,
服务机器人,餐厅,2.1,米,2.8,米,0.18,米,4,中国餐饮协会,https://www.ccca.org.cn,,
救援机器人,地震灾区,7.5,米,8.5,米,0.7,米,15,中国应急管理部,https://www.mem.gov.cn,,
清洁机器人,机场,5.5,米,6.3,米,0.4,米,8,中国民用航空局,http://www.caac.gov.cn,,
教育机器人,在线课堂,2.2,米,2.9,米,0.12,米,5,中国在线教育协会,http://www.coea.org.cn,,
巡逻机器人,大型商业综合体,6.0,米,7.0,米,0.5,米,12,中国安全监控研究院,http://www.csmra.org.cn,,
消防机器人,化工厂,10.5,米,12.0,米,0.8,米,20,国家消防协会,http://www.nfai.cn,,
娱乐机器人,主题公园,3.8,米,4.5,米,0.22,米,8,中国游乐园协会,http://www.themepark.org.cn,,
警务机器人,城市广场,5.0,米,6.0,米,0.6,米,10,公安部科技委,http://www.mps.gov.cn,,
仓储机器人,工厂仓库,4.5,米,5.2,米,0.4,米,9,中国供应链研究中心,http://www.supplychain.org.cn,,
建筑机器人,施工现场,9.3,米,10.0,米,0.75,米,17,中国建筑业协会,http://www.china-architecture.org,,
自动驾驶机器人,城市街道,7.0,米,8.2,米,0.6,米,13,中国智能网联汽车技术创新中心,http://www.caiatech.org.cn,,
医疗机器人,门诊,1.4,米,1.9,米,0.2,米,4,中国医院管理协会,http://www.cha.org.cn,,
无人机机器人,农业田地,11.0,米,12.5,米,1.0,米,18,中国无人机产业协会,http://www.uav.org.cn,,
康复机器人,治疗室,2.0,米,2.5,米,0.15,米,5,中国康复医学会,http://www.china-rehab.org.cn,,
智能家居机器人,家庭客厅,3.0,米,4.2,米,0.3,米,5,智能家居研究中心,https://www.smarthome.org.cn,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.1,米,3,中国老年医学学会,https://www.cams.org.cn,,
无人配送机器人,居民小区,4.5,米,5.7,米,0.4,米,8,城市配送协会,https://www.delivery.org.cn,,
工业机器人,汽车制造厂,3.0,米,3.8,米,0.5,米,12,中国汽车工业协会,https://www.caam.org.cn,,
物流机器人,仓储中心,6.0,米,7.2,米,0.7,米,10,中国物流与采购联合会,https://www.clc.org.cn,,
巡逻机器人,商业街区,5.0,米,6.3,米,0.4,米,9,智能安防技术协会,https://www.security.org.cn,,
救援机器人,自然灾害现场,8.0,米,9.5,米,0.8,米,25,国际红十字与红新月协会,https://www.icrc.org,,
教育机器人,图书馆,2.2,米,3.0,米,0.15,米,4,教育部科技司,https://www.moe.gov.cn,,
环卫机器人,公园,5.2,米,6.5,米,0.3,米,6,城市清洁协会,https://www.clean.city.cn,,
农业机器人,田地作业,15.0,米,17.2,米,1.0,米,20,中国农业科学院,https://www.caas.cn,,
安防机器人,大型活动现场,7.0,米,8.5,米,0.5,米,14,安全生产监督管理局,https://www.chinasafety.gov.cn,,
移动机器人,机场航站楼,6.8,米,8.2,米,0.7,米,13,中国民用航空局,https://www.caac.gov.cn,,
医疗机器人,手术室,1.0,米,1.5,米,0.2,米,3,国家卫生健康委员会,http://www.nhc.gov.cn,,
仓储机器人,电子商务仓库,4.8,米,6.0,米,0.6,米,10,电商协会,https://www.ecommerce.org.cn,,
家庭服务机器人,卧室,2.5,米,3.5,米,0.2,米,8,居家科技研究所,https://www.home-tech.org,,
教育机器人,培训中心,2.0,米,2.8,米,0.1,米,5,职业教育发展中心,https://www.vocational.edu.cn,,
救援机器人,矿井事故现场,10.0,米,12.0,米,1.0,米,22,应急管理部,https://www.mem.gov.cn,,
农业机器人,果园,12.0,米,14.5,米,0.9,米,15,农业技术推广中心,https://www.agridata.gov.cn,,
医疗机器人,老年护理中心,1.0,米,1.5,米,0.1,米,5,智能医疗协会,https://www.smartmedical.org,,
农业机器人,果园,10.5,米,12.0,米,0.4,米,18,绿色农业研究中心,http://www.greenagri.org,,
教育机器人,博物馆展厅,2.2,米,3.0,米,0.25,米,6,博物馆与科技教育协会,http://www.museumedu.org,,
服务机器人,餐厅厨房,3.0,米,4.5,米,0.3,米,8,餐饮服务技术研究所,https://www.diningtech.org,,
工业机器人,汽车制造厂,1.8,米,2.5,米,0.5,米,10,中国机械工程协会,https://www.cme.org.cn,,
救援机器人,地震灾区,8.0,米,9.5,米,0.7,米,25,国际救援机器人协会,https://www.internationalrescue.org,,
移动机器人,公园步道,4.0,米,5.0,米,0.3,米,9,城市智能交通规划局,http://www.smarttraffic.org,,
移动机器人,室内购物中心,5.5,米,7.0,米,0.4,米,11,消费者电子协会,https://www.ce.org,,
医疗机器人,急救车内部,1.5,米,2.0,米,0.2,米,5,卫生与健康科学研究所,https://www.healthtech.org,,
教育机器人,大学实验室,3.0,米,3.8,米,0.35,米,7,高等教育发展局,http://www.highereducation.org,,
工业机器人,生产线,2.0,米,2.8,米,0.4,米,8,中国工业自动化协会,http://www.chinaia.org.cn,,
服务机器人,会议室,2.5,米,3.5,米,0.1,米,8,服务行业技术创新研究中心,https://www.serviceinnovation.org,,
移动机器人,智能停车场,3.5,米,4.5,米,0.4,米,10,智能城市研究所,https://www.smartcityresearch.org,,
农业机器人,水稻田,15.0,米,16.0,米,1.0,米,20,中国农业科学院,https://www.caas.cn,,
救援机器人,火灾现场,7.0,米,8.5,米,0.5,米,15,国家灾害应急办公室,https://www.emergency.gov.cn,,
教育机器人,幼儿园,1.9,米,2.4,米,0.3,米,5,儿童教育与科学发展协会,https://www.childeducation.org,,
服务机器人,家庭环境,4.0,米,5.2,米,0.4,米,9,智能家居发展研究所,https://www.smartliving.org,,
智能家居机器人,家庭厨房,2.1,米,2.4,米,0.25,米,5,家庭智能技术研究中心,http://www.hometech.org.cn,,
物流机器人,配送中心,3.0,米,3.8,米,0.5,米,8,全球物流学会,https://www.globallogistics.org,,
保安机器人,购物商场,4.5,米,5.0,米,0.3,米,10,城市安全技术研究所,http://www.urbansecurity.cn,,
餐饮服务机器人,餐厅服务区,2.0,米,2.7,米,0.2,米,6,餐饮科技发展中心,http://www.cateringtech.org.cn,,
清洁机器人,办公楼大堂,3.3,米,4.0,米,0.4,米,9,清洁技术协会,http://www.cleaningtech.org.cn,,
探险机器人,危险地形,6.5,米,7.2,米,0.7,米,12,探险与科技研究所,http://www.explorationtech.org.cn,,
护理机器人,老年护理院,1.5,米,2.0,米,0.2,米,5,老年护理科技中心,http://www.eldercaretech.org.cn,,
巡逻机器人,校园,4.8,米,5.7,米,0.6,米,11,校园安全协会,http://www.campussafety.org.cn,,
外卖配送机器人,大学校园,2.5,米,3.2,米,0.5,米,7,在线配送服务协会,http://www.deliveryservices.org.cn,,
娱乐机器人,公园,3.6,米,4.1,米,0.3,米,8,娱乐科技联盟,http://www.entertainmenttech.org.cn,,
环境监测机器人,工业区,5.2,米,6.0,米,0.4,米,10,环保科技研究院,http://www.environmentaltech.org.cn,,
智能农业机器人,农田,20.0,米,22.0,米,1.2,米,15,现代农业研究所,http://www.modernagriculture.cn,,
无人驾驶车,城市道路,12.3,米,13.5,米,0.9,米,14,自动驾驶技术协会,http://www.autonomousdriving.org.cn,,
气象监测机器人,天气台,8.0,米,8.5,米,0.5,米,9,气象科学研究中心,http://www.meteorology.org.cn,,
地下探测机器人,探矿场,10.0,米,11.0,米,0.7,米,18,矿业工程研究所,http://www.miningengineering.org.cn,,
体育训练机器人,运动场,3.5,米,4.2,米,0.3,米,6,运动科技研究中心,http://www.sportstech.org.cn,,
气候研究机器人,极地科研站,15.0,米,17.0,米,1.0,米,22,全球气候研究机构,http://www.climateresearch.org.cn,,
智能测绘机器人,建设工地,7.5,米,8.5,米,0.4,米,14,测绘技术研究中心,http://www.surveyingtech.org.cn,,
智能家居机器人,家庭客厅,3.0,米,4.2,米,0.3,米,5,家居技术发展协会,https://www.homedecor.org,,
安全巡逻机器人,商业大厦,8.5,米,10.1,米,0.4,米,9,安保科技研究中心,https://www.safetytech.org,,
无人配送机器人,城市街区,2.8,米,3.6,米,0.25,米,8,未来物流技术研究院,https://www.futurelogistics.org,,
娱乐互动机器人,游乐场,6.0,米,7.5,米,0.5,米,10,娱乐科技创新联盟,https://www.entertainmentinnovation.org,,
消防机器人,高层建筑,4.5,米,5.8,米,0.15,米,12,消防安全科技中心,https://www.firetech.cn,,
配送机器人,校园,1.5,米,2.0,米,0.1,米,5,智慧校园研究所,https://www.smartcampus.edu.cn,,
农业灌溉机器人,农田,10.0,米,11.5,米,1.0,米,18,农业机械化协会,https://www.agri-mech.org.cn,,
运输机器人,工厂车间,5.0,米,6.2,米,0.5,米,9,智能制造研究所,https://www.smartmanufacturing.cn,,
清扫机器人,大型商场,4.0,米,4.8,米,0.7,米,6,环境卫生技术研究中心,https://www.envirotech.org,,
仿生机器人,自然环境,15.0,米,17.0,米,0.9,米,14,生物工程研究院,https://www.bioengineer.org,,
整理机器人,图书馆,3.0,米,3.8,米,0.2,米,7,图书馆研究中心,https://www.libraryresearch.org,,
快递机器人,城市公园,2.0,米,2.5,米,0.1,米,6,快递行业研究院,https://www.deliverytech.org,,
商业服务机器人,餐馆,4.5,米,5.0,米,0.3,米,8,餐饮服务行业协会,https://www.foodservice.org,,
监测机器人,环境监测站,7.0,米,8.5,米,0.5,米,9,环境保护部,https://www.epa.gov.cn,,
户外探险机器人,山地,12.0,米,14.5,米,0.7,米,15,探险科技协会,https://www.adventuretech.org,,
