设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,清洁服务机器人,1.2,mm,4,±0.6,mm,20,N,字符型,云计算与智能科技协会,https://www.cloudtech.org,,
特种机器人,农业无人机,2.5,mm,4,±1.2,mm,80,N,字符型,农业部无人机应用中心,https://www.moa.gov.cn,,
SCARA机器人,Kawasaki SCARA,0.15,mm,4,±0.08,mm,32,N,字符型,日本川崎重工,https://www.khi.co.jp,,
六轴机械手,Epson C4,0.1,mm,6,±0.05,mm,38,N,字符型,爱普生工业机器人研究所,https://www.epson.com,,
并联机械手,Festo Delta机器人,0.2,mm,3,±0.07,mm,44,N,字符型,德国Festo公司,https://www.festo.com,,
工业机器人,CNC加工机器人,0.5,mm,3,±0.1,mm,70,N,字符型,工业自动化技术中心,https://www.iatc.org,,
服务机器人,语音助手机器人,1.8,mm,2,±0.9,mm,12,N,字符型,中国语音识别协会,https://www.chinacvr.org,,
特种机器人,火灾救援机器人,0.7,mm,4,±0.3,mm,55,N,字符型,国家消防局,https://www.nfpa.org,,
六轴机械手,Universal Robots UR10,0.2,mm,6,±0.1,mm,30,N,字符型,Universal Robots公司,https://www.universal-robots.com,,
SCARA机器人,Omron SCARA,0.2,mm,4,±0.1,mm,25,N,字符型,欧姆龙公司,https://www.omron.com,,
特种机器人,提升及搬运机器人,0.6,mm,3,±0.3,mm,65,N,字符型,物流机器人研究所,https://www.logisticsrobots.org,,
并联机械手,辅助装配机器人,0.09,mm,3,±0.03,mm,20,N,字符型,自动化及控制工程师学会,https://www.aece.org,,
服务机器人,厨房机器人,0.5,mm,6,±0.2,mm,15,N,字符型,欧美家居科技协会,https://www.homeautomation.org,,
物流机器人,Automated Guided Vehicle,1.0,mm,3,±0.9,mm,200,N,字符型,国际物流与运输协会,https://www.ilta.org,,
特种机器人,水下机器人,1.8,mm,5,±1.0,mm,5,N,字符型,深海探索技术协会,https://www.deepseaexploration.org,,
三维打印机器人,工业3D打印机,0.2,mm,6,±0.05,mm,85,N,字符型,3D打印技術協會,https://www.3dprinting.org,,
人形机器人,Sophia,0.4,mm,25,±0.1,mm,30,N,字符型,机器人技术与人机交互学会,https://www.hri.org,,
并联机械手,Panda机器人,0.25,mm,7,±0.07,mm,60,N,字符型,国际机器人学会,https://www.roboticsacademy.org,,
SCARA机器人,Kawasaki SCARA,0.15,mm,4,±0.05,mm,50,N,字符型,日本机器人协会,https://www.jara.jp,,
六轴机械手,FANUC M-20iA,0.1,mm,6,±0.03,mm,45,N,字符型,日本著名制造协会,https://www.japanmanufacturing.org,,
特种机器人,消防机器人,2.0,mm,4,±1.5,mm,80,N,字符型,消防机器人技术协会,https://www.firebot.org,,
服务机器人,医疗辅助机器人,0.6,mm,5,±0.2,mm,25,N,字符型,医疗机器人技术与应用协会,https://www.medrobotics.org,,
移动机器人,无人送货车,1.2,mm,3,±1.0,mm,90,N,字符型,国际物流自动化协会,https://www.logisticsautomation.org,,
特种机器人,农业机器人,0.9,mm,4,±0.6,mm,120,N,字符型,中国农业机器人技术中心,https://www.agribot.org.cn,,
六轴机械手,ABB IRB 6700,0.09,mm,6,±0.02,mm,55,N,字符型,ABB自动化协会,https://global.abb,,
人形机器人,Atlas,0.4,mm,28,±0.3,mm,40,N,字符型,波士顿动力公司,https://www.bostondynamics.com,,
特种机器人,探月机器人,3.0,mm,6,±2.5,mm,15,N,字符型,国家航天局,https://www.space.gov,,
服务机器人,老人助手机器人,0.7,mm,4,±0.3,mm,20,N,字符型,健康老龄化技术协会,https://www.healthyagingtech.org,,
并联机械手,KUKA LBR iiwa,0.05,mm,7,±0.01,mm,35,N,字符型,德国机械工程协会,https://www.vdma.org,,
服务机器人,虚拟接待机器人,0.4,mm,5,±0.2,mm,70,N,字符型,人工智能与机器人协会,https://www.airobotics.org,,
服务机器人,清洁码头机器人,0.5,mm,6,±0.2,mm,20,N,字符型,国际机器人联合会,https://www.ifr.org,,
特种机器人,海洋探测无人艇,2.0,mm,3,±1.0,mm,80,N,字符型,全球数字海洋监测平台,https://www.oceanmonitoring.org,,
并联机械手,高精度3D打印Delta机器人,0.1,mm,5,±0.05,mm,50,N,字符型,增材制造论坛,https://www.additivemanufacturing.org,,
SCARA机器人,博世自动化SCARA,0.2,mm,4,±0.1,mm,45,N,字符型,全球自动化技术协会,https://www.automation.com,,
六轴机械手,ABB YuMi,0.15,mm,6,±0.03,mm,60,N,字符型,瑞士机器人研发中心,https://new.abb.com/robotics,,
服务机器人,外骨骼助行机器人,1.0,mm,7,±0.6,mm,15,N,字符型,聪明的健康科技协会,https://www.smarthealthtech.org,,
特种机器人,太空探测机器人,2.5,mm,4,±1.5,mm,90,N,字符型,国际太空站委员会,https://www.nasa.gov,,
并联机械手,高效农业Delta机器人,0.25,mm,3,±0.1,mm,30,N,字符型,农业机器人技术协会,https://www.agrobotics.org,,
SCARA机器人,Fanuc LR Mate,0.18,mm,4,±0.1,mm,55,N,字符型,日本自动化产业协会,https://www.jara.jp,,
六轴机械手,KUKA LBR iiwa,0.1,mm,7,±0.05,mm,65,N,字符型,欧洲工程机械协会,https://www.europeanmechanical.org,,
服务机器人,智能陪伴机器人,0.7,mm,5,±0.3,mm,25,N,字符型,人机协作未来技术中心,https://www.humanrobotcollab.org,,
特种机器人,工业喷涂机器人,0.4,mm,6,±0.09,mm,75,N,字符型,喷涂技术与应用协会,https://www.coatingtech.org,,
并联机械手,自动化装配Delta机器人,0.2,mm,4,±0.07,mm,40,N,字符型,智能制造与机器人发展协会,https://www.smartmanufacturing.org,,
SCARA机器人,Omron SCARA,0.15,mm,4,±0.05,mm,50,N,字符型,自动化技术研究院,https://www.automationresearch.org,,
六轴机械手,Yaskawa Motoman,0.2,mm,6,±0.06,mm,70,N,字符型,日本机器人制造商协会,https://www.jmra.or.jp,,
服务机器人,室内导航机器人,0.3,mm,5,±0.15,mm,10,N,字符型,国内智能导航技术协会,https://www.indoorrobotics.org,,
特种机器人,紧急救援机器人,1.8,mm,3,±0.9,mm,95,N,字符型,紧急服务与机器人技术联合会,https://www.emergencyrobotics.org,,
服务机器人,家庭清洁机器人,0.7,mm,6,±0.5,mm,12,N,字符型,中国家居智能化协会,https://www.china-homeautomation.org,,
特种机器人,热成像无人机,1.2,mm,4,±0.6,mm,65,N,字符型,无人系统技术委员会,https://www.uavtech.org,,
并联机械手,双臂协作机器人,0.2,mm,5,±0.05,mm,50,N,字符型,国际机器人协会,https://www.robotics.org,,
SCARA机器人,安川SCARA,0.15,mm,4,±0.1,mm,38,N,字符型,日本机械工程协会,https://www.jmea.or.jp,,
六轴机械手,安川Motoman,0.1,mm,6,±0.03,mm,45,N,字符型,国际自动化协会,https://www.automation.org,,
服务机器人,智能老年人陪伴机器人,1.0,mm,3,±0.7,mm,8,N,字符型,全球老龄化研究中心,https://www.globalaging.org,,
特种机器人,海洋探索机器人,1.8,mm,5,±0.4,mm,80,N,字符型,海洋研究协会,https://www.oceanresearch.org,,
并联机械手,高速度Pick & Place机器人,0.25,mm,4,±0.09,mm,60,N,字符型,工控设备评估中心,https://www.industrial-automation.org,,
SCARA机器人,AVEVA SCARA,0.2,mm,5,±0.12,mm,33,N,字符型,智能制造技术文献库,https://www.smartmanufacturinglibrary.com,,
六轴机械手,ABB IRB 6700,0.09,mm,6,±0.04,mm,42,N,字符型,瑞士机械工程与自动化协会,https://www.ord.ch,,
服务机器人,咖啡服务机器人,0.6,mm,3,±0.5,mm,9,N,字符型,全球服务机器人网络,https://www.gsrnetwork.org,,
特种机器人,障碍物清除机器人,1.1,mm,4,±0.5,mm,70,N,字符型,国际救援机器人联盟,https://www.irra.org,,
并联机械手,Pick & Place Delta机器人,0.18,mm,3,±0.07,mm,75,N,字符型,公共工程与技术中心,https://www.publictechcenter.org,,
SCARA机器人,Fanuc SR-6iW,0.12,mm,5,±0.06,mm,37,N,字符型,全球机器人职业协会,https://www.wrsa.org,,
六轴机械手,KUKA LBR iiwa,0.2,mm,7,±0.06,mm,52,N,字符型,欧洲机器人产业联盟,https://www.eria.org,,
服务机器人,智能物流机器人,0.4,mm,5,±0.3,mm,25,N,字符型,中国智能物流创新中心,https://www.smartlogistics.org,,
特种机器人,灾后评估无人机,1.5,mm,4,±0.5,mm,78,N,字符型,自然灾害研究所,https://www.naturaldisaster.org,,
并联机械手,多功能机器人手臂,0.15,mm,6,±0.08,mm,50,N,字符型,机器人技术与应用研究所,https://www.roboticstech.org,,
服务机器人,护理机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国医用机械协会,https://www.cmma.org.cn,,
自主导航机器人,商场导引机器人,0.7,mm,3,±0.6,mm,20,N,字符型,中国智能科技发展研究院,https://www.csti.org.cn,,
农业机器人,智能收割机,1.0,mm,5,±0.5,mm,80,N,字符型,中国农机协会,https://www.cama.org.cn,,
特种机器人,探测水下机器人,2.0,mm,4,±1.0,mm,60,N,字符型,中国海洋工程协会,https://www.cmeo.org.cn,,
并联机械手,精密装配机器人,0.2,mm,3,±0.05,mm,45,N,字符型,中国智能制造协会,https://www.cmi.org.cn,,
六轴机械手,FANUC M-20iA,0.1,mm,6,±0.03,mm,50,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,送餐机器人,1.0,mm,5,±0.7,mm,12,N,字符型,中国餐饮科技协会,https://www.cateringtech.org,,
清扫机器人,户外智能清扫车,1.5,mm,4,±0.6,mm,30,N,字符型,城市智能环保协会,https://www.ciep.org.cn,,
特种机器人,消防救援机器人,3.0,mm,4,±1.5,mm,90,N,字符型,国家消防局,https://www.nfsa.gov.cn,,
六轴机械手,ABB IRB 6700,0.06,mm,6,±0.02,mm,38,N,字符型,瑞士机械工程协会,https://www.swissmech.org,,
SCARA机器人,Mitsubishi RV-F系列,0.05,mm,4,±0.02,mm,25,N,字符型,日本机器人协会,https://www.jara.jp,,
医用机器人,手术辅助机器人,0.15,mm,7,±0.03,mm,10,N,字符型,中国医疗器械协会,https://www.cma.org.cn,,
农业无人机,喷洒农药无人机,2.5,mm,4,±1.0,mm,75,N,字符型,农业无人机开发公司,https://www.agdrone.com,,
清扫机器人,屋内智能清扫机,0.9,mm,5,±0.4,mm,22,N,字符型,国际清洁科技协会,https://www.icc.org,,
特种机器人,探险机器人,2.0,mm,6,±0.9,mm,50,N,字符型,中国探险技术协会,https://www.ceax.com.cn,,
六轴机械手,Yaskawa Motoman,0.09,mm,6,±0.03,mm,44,N,字符型,日本工业机器人协会,https://www.jira.org,,
服务机器人,清洗机器人,0.75,mm,5,±0.35,mm,18,N,字符型,中国服务机器人应用协会,https://www.csra.org.cn,,
医疗机器人,手术辅助机器人,0.2,mm,6,±0.05,mm,15,N,字符型,中国机器人产业联盟,https://www.rcia.org.cn,,
服务机器人,餐饮服务机器人,1.0,mm,4,±0.3,mm,20,N,字符型,亚洲机器人协会,https://www.arai.org,,
协作机器人,UR5e,0.15,mm,6,±0.07,mm,25,N,字符型,丹麦工程师协会,https://www.dtu.dk,,
特种机器人,水下探测机器人,1.0,mm,5,±0.4,mm,60,N,字符型,国家海洋局,https://www.soa.gov.cn,,
六轴机械手,Fanuc M-20iA,0.1,mm,6,±0.05,mm,45,N,字符型,日本制造协会,https://www.jma.or.jp,,
并联机械手,Gorilla机器人,0.4,mm,3,±0.1,mm,50,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,智能迎宾机器人,0.5,mm,4,±0.2,mm,12,N,字符型,美国机器人协会,https://www.robotics.org,,
绘图机器人,绘图创作机器人,1.2,mm,3,±0.6,mm,8,N,字符型,意大利艺术与设计协会,https://www.adi-design.org,,
特种机器人,消防机器人,1.0,mm,4,±0.3,mm,90,N,字符型,中国消防协会,https://www.cfr.gov.cn,,
医用机器人,康复训练机器人,0.4,mm,5,±0.2,mm,15,N,字符型,国际康复技术协会,https://www.irta.org,,
农业机器人,智能播种机器人,1.5,mm,3,±0.5,mm,80,N,字符型,中国农机协会,https://www.cmma.org.cn,,
教育机器人,编程教学机器人,0.5,mm,6,±0.2,mm,10,N,字符型,国际机器人教育学会,https://www.ire.edu,,
清洁机器人,窗户清洁机器人,0.6,mm,4,±0.15,mm,22,N,字符型,家庭清洁机器人协会,https://www.hcrc.org,,
特种机器人,探矿机器人,1.0,mm,5,±0.5,mm,75,N,字符型,中国矿业协会,https://www.cma.org,,
无人驾驶汽车,自动驾驶测试平台,0.3,mm,6,±0.1,mm,120,N,字符型,国际自动驾驶协会,https://www.idriving.org,,
特种机器人,救援机器人,0.9,mm,6,±0.4,mm,65,N,字符型,全球救援协会,https://www.grra.org,,
仿生机器人,仿蛇机器人,0.7,mm,3,±0.3,mm,30,N,字符型,国际机器人仿生学会,https://www.biorob.org,,
服务机器人,送餐机器人,0.5,mm,6,±0.3,mm,15,N,字符型,中国食品配送协会,https://www.chinafooddelivery.org,,
特种机器人,农业喷雾无人机,2.0,mm,4,±0.6,mm,60,N,字符型,农田机械化协会,https://www.agriculturalmachinery.org,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.08,mm,65,N,字符型,瑞士机械工程协会,https://www.swissmech.org,,
并联机械手,Symbio机器人,0.15,mm,3,±0.05,mm,50,N,字符型,机器人创新论坛,https://www.robotinnovationforum.com,,
SCARA机器人,Fanuc LR Mate,0.2,mm,4,±0.08,mm,45,N,字符型,日本机器人产业协会,https://www.jara.jp,,
服务机器人,清洁机器人,0.9,mm,5,±0.2,mm,20,N,字符型,国际智能清洁技术委员会,https://www.iscaworld.org,,
特种机器人,潜水检测机器人,1.0,mm,4,±0.4,mm,80,N,字符型,全球潜水科技协会,https://www.dive-tech.org,,
六轴机械手,Yaskawa Motoman,0.05,mm,6,±0.02,mm,75,N,字符型,日本电气机械工程协会,https://www.jem.org,,
并联机械手,KUKA KSC,0.1,mm,3,±0.04,mm,30,N,字符型,德国机器人协会,https://www.robotic-germany.org,,
SCARA机器人,Omron Adept,0.15,mm,4,±0.06,mm,38,N,字符型,美国自动化协会,https://www.automation.org,,
服务机器人,保安巡逻机器人,1.2,mm,5,±0.5,mm,25,N,字符型,国际安全设备协会,https://www.security-devices.org,,
特种机器人,火灾救援无人机,1.5,mm,4,±0.7,mm,90,N,字符型,消防设备技术协会,https://www.firetech.org,,
六轴机械手,Universal Robots UR3,0.2,mm,6,±0.08,mm,55,N,字符型,全球协作机器人协会,https://www.cobot.org,,
并联机械手,高精度十字架机器人,0.06,mm,3,±0.02,mm,48,N,字符型,北美工程机器人协会,https://www.namerobotics.org,,
SCARA机器人,Staubli TX2,0.12,mm,4,±0.03,mm,35,N,字符型,瑞士工业机器人研究中心,https://www.swissrobotics.org,,
服务机器人,导览机器人,0.4,mm,5,±0.15,mm,10,N,字符型,中国旅游机器人协会,https://www.chinatourrobotics.org,,
特种机器人,救援探测机器人,1.1,mm,4,±0.5,mm,85,N,字符型,国际救援机器人协会,https://www.rescue-robots.org,,
六轴机械手,KUKA LBR iiwa,0.09,mm,7,±0.03,mm,50,N,字符型,德国自动化与机器人协会,https://www.germanautomation.org,,
多臂机器人,Rolls-Royce多项智能机器人,0.11,mm,6,±0.07,mm,65,N,字符型,国际航天工业协会,https://www.aerospaceindustry.org,,
服务机器人,送餐机器人,1.0,mm,5,±0.5,mm,20,N,字符型,中国机器人产业发展联盟,https://www.cria.org.cn,,
特种机器人,水下探测机器人,2.0,mm,6,±1.0,mm,90,N,字符型,中国海洋工程协会,https://www.cmes.org.cn,,
并联机械手,3D打印机器人,0.2,mm,3,±0.1,mm,25,N,字符型,工业3D打印技术协会,https://www.a3d.org,,
SCARA机器人,FANUC SR-3iA,0.05,mm,4,±0.05,mm,50,N,字符型,国际机器人联合会,https://www.ifr.org,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,60,N,字符型,瑞士机器人技术协会,https://www.societyofrobots.org,,
协作机器人,Universal Robot UR5,0.2,mm,6,±0.1,mm,10,N,字符型,智能制造和自动化技术协会,https://www.automate.org,,
服务机器人,接待机器人,0.6,mm,5,±0.5,mm,15,N,字符型,亚洲服务机器人协会,https://www.asianrobotics.org,,
特种机器人,消防救援机器人,2.5,mm,4,±1.5,mm,80,N,字符型,国家消防救援局,https://www.nfrs.gov.cn,,
并联机械手,高速Pick and Place机器人,0.1,mm,3,±0.02,mm,33,N,字符型,国际自动化协会,https://www.automation.com,,
SCARA机器人,Mitsubishi RV-2AJ,0.2,mm,4,±0.1,mm,20,N,字符型,日本机器人学会,https://www.rsj.or.jp,,
六轴机械手,Yaskawa Motoman HP20,0.15,mm,6,±0.2,mm,70,N,字符型,东京工业大学,https://www.titech.ac.jp,,
服务机器人,智能清洁机器人,0.75,mm,5,±0.3,mm,15,N,字符型,中国清洁行业协会,https://www.cca.org.cn,,
特种机器人,空中巡逻无人机,1.3,mm,4,±0.7,mm,60,N,字符型,中国民用航空局,https://www.caac.gov.cn,,
并联机械手,Pick and Place工业机器人,0.25,mm,3,±0.05,mm,40,N,字符型,工业机器人联系人网络,https://www.robotcontact.com,,
SCARA机器人,Kawasaki RS007N,0.1,mm,4,±0.04,mm,30,N,字符型,韩国机器人产业协会,https://www.kosrobotics.org,,
六轴机械手,KUKA LBR iiwa,0.08,mm,7,±0.03,mm,35,N,字符型,德国机器人与自动化协会,https://www.robotics-germany.org,,
服务机器人,巡逻安保机器人,1.5,mm,5,±0.6,mm,25,N,字符型,国际安保协会,https://www.securityassociation.org,,
服务机器人,医疗护理机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国医疗机器人研究中心,https://www.cmrc.org.cn,,
特种机器人,消防组合机器人,2.0,mm,5,±1.0,mm,60,N,字符型,中国消防局,https://www.caf.gov.cn,,
并联机械手,医疗移动机器人,0.4,mm,4,±0.03,mm,20,N,字符型,中国医学科学院,https://www.cams.ac.cn,,
SCARA机器人,高速装配机器人,0.5,mm,4,±0.2,mm,50,N,字符型,工业机器人协会,https://www.iar.org,,
六轴机械手,焊接机器人,0.15,mm,6,±0.05,mm,45,N,字符型,中国焊接学会,https://www.cwa.org.cn,,
服务机器人,教育陪伴机器人,0.6,mm,5,±0.3,mm,25,N,字符型,中国教育科技研究院,https://www.cesta.edu.cn,,
特种机器人,探矿机器人,3.0,mm,6,±1.5,mm,80,N,字符型,中国地质科学院,https://www.cgs.gov.cn,,
并联机械手,高速抓取机器人,0.2,mm,3,±0.05,mm,30,N,字符型,中国高效制造协会,https://www.ceh.org.cn,,
SCARA机器人,医疗取样机器人,0.25,mm,4,±0.1,mm,40,N,字符型,中国卫生健康委员会,https://www.nhc.gov.cn,,
六轴机械手,喷涂机器人,0.1,mm,6,±0.02,mm,60,N,字符型,国家喷涂协会,https://www.nas.org.cn,,
服务机器人,送餐机器人,0.35,mm,4,±0.15,mm,20,N,字符型,中国餐饮服务行业协会,https://www.ccf.org.cn,,
特种机器人,水下作业机器人,4.0,mm,7,±1.2,mm,90,N,字符型,国家海洋局,https://www.soa.gov.cn,,
并联机械手,智能包装机器人,0.7,mm,3,±0.2,mm,35,N,字符型,中国包装技术协会,https://www.cpat.org.cn,,
SCARA机器人,组装机器人,0.3,mm,4,±0.1,mm,55,N,字符型,中国机械总公司,https://www.cmc.gc.cn,,
六轴机械手,整车装配机器人,0.18,mm,6,±0.06,mm,75,N,字符型,国家汽车工程协会,https://www.naea.org.cn,,
服务机器人,家居清洁机器人,0.9,mm,5,±0.5,mm,10,N,字符型,国家家居智能化协会,https://www.iha.org.cn,,
特种机器人,土木工程检测机器人,1.8,mm,4,±0.4,mm,70,N,字符型,中国土木工程协会,https://www.ceia.org.cn,,
并联机械手,精密装配机器人,0.05,mm,5,±0.01,mm,50,N,字符型,中国精密工程协会,https://www.cpeia.org.cn,,
服务机器人,自动送餐机器人,1.0,mm,6,±0.2,mm,30,N,字符型,国际机器人联合会,https://www.ifr.org,,
特种机器人,灾害救援机器人,2.5,mm,5,±0.9,mm,80,N,字符型,中国应急管理部,http://www.mem.gov.cn,,
并联机械手,并联3D打印机,0.5,mm,4,±0.15,mm,20,N,字符型,中国3D打印协会,http://www.cad.org.cn,,
SCARA机器人,安川SCARA,0.2,mm,4,±0.05,mm,50,N,字符型,日本机器人产业协会,https://www.jara.jp,,
六轴机械手,埃夫特E60,0.15,mm,6,±0.06,mm,65,N,字符型,中国工业机器人产业技术创新战略联盟,http://www.circa.org.cn,,
服务机器人,陪护机器人,1.2,mm,3,±0.4,mm,25,N,字符型,国际老龄化与机器人协会,https://www.iara.org,,
特种机器人,水下机器人,2.0,mm,6,±1.0,mm,150,N,字符型,中国海洋大学,https://www.cou.edu.cn,,
并联机械手,Delta鱼机器人,0.25,mm,3,±0.07,mm,45,N,字符型,瑞士机械技术与应用研究所,https://www.ime.ch,,
SCARA机器人,发那科SCARA,0.3,mm,4,±0.1,mm,38,N,字符型,发那科官方研究中心,https://www.fanuc.com,,
六轴机械手,雅马哈智能机器人,0.18,mm,6,±0.05,mm,55,N,字符型,国家机器人技术研究所,https://www.nist.gov,,
服务机器人,零售补货机器人,0.9,mm,5,±0.3,mm,35,N,字符型,中国人工智能产业发展研究院,https://www.ai-institute.cn,,
特种机器人,电力巡检机器人,1.8,mm,4,±0.4,mm,90,N,字符型,国家电网公司,http://www.sgcc.com.cn,,
并联机械手,双臂并联机器人,0.06,mm,6,±0.02,mm,60,N,字符型,加州理工学院机器人研究中心,https://www.caltech.edu,,
SCARA机器人,哈斯SCARA,0.25,mm,4,±0.09,mm,42,N,字符型,美国机械工程师学会,https://www.asme.org,,
六轴机械手,ABB IRB 6700,0.2,mm,6,±0.1,mm,80,N,字符型,瑞士ABB官方网站,https://global.abb,,
服务机器人,餐饮送餐机器人,1.0,mm,6,±0.5,mm,25,N,字符型,中国服务机器人研究中心,https://www.csrrc.org,,
特种机器人,火灾救援机器人,2.0,mm,3,±1.0,mm,80,N,字符型,国际机器人与自动化协会,https://www.ira.org,,
并联机械手,双臂协作机器人,0.5,mm,5,±0.2,mm,45,N,字符型,日本机器人技术协会,https://www.jara.or.jp,,
SCARA机器人,Omron SCARA,0.15,mm,4,±0.05,mm,50,N,字符型,全球自动化制造网络,https://www.gamn.org,,
六轴机械手,FANUC M-20iA,0.1,mm,6,±0.02,mm,60,N,字符型,机器人行业发展报告,https://www.roboticsreport.com,,
服务机器人,医疗巡检机器人,0.9,mm,4,±0.3,mm,20,N,字符型,国际医疗机器人协会,https://www.imra.org,,
特种机器人,海洋探测机器人,1.8,mm,6,±0.6,mm,90,N,字符型,中国海洋科学研究所,https://www.nioc.org.cn,,
并联机械手,并联运动装置,0.2,mm,7,±0.05,mm,30,N,字符型,广州机械制造协会,https://www.gzmec.org.cn,,
SCARA机器人,安川SCARA,0.2,mm,4,±0.1,mm,38,N,字符型,机器人研究与开发机构,https://www.rdi.org,,
六轴机械手,ABB IRB 6700,0.08,mm,6,±0.03,mm,70,N,字符型,美国先进制造研究所,https://www.amri.org,,
服务机器人,商用清洁机器人,0.7,mm,5,±0.4,mm,15,N,字符型,全球清洁行业协会,https://www.gcsa.org,,
特种机器人,结构检查机器人,2.5,mm,4,±1.5,mm,100,N,字符型,建筑机械工程协会,https://www.bmec.org,,
并联机械手,并联装配机器人,0.25,mm,5,±0.1,mm,52,N,字符型,上海智能制造协会,https://www.sim.org.cn,,
SCARA机器人,SED ENGINEERING SCARA,0.18,mm,4,±0.05,mm,45,N,字符型,欧洲机器人学会,https://www.eurobotics.org,,
六轴机械手,MOTOMAN MH24,0.15,mm,6,±0.05,mm,65,N,字符型,韩国机器人产业协회,https://www.kria.org,,
服务机器人,家居安全监控机器人,1.2,mm,6,±0.6,mm,22,N,字符型,智能家居科技协会,https://www.smarthome.org,,
服务机器人,自助点餐机器人,0.5,mm,6,±0.3,mm,25,N,字符型,中国餐饮机器人协会,https://www.crra.org,,
特种机器人,农业无人机,2.0,mm,5,±0.6,mm,50,N,字符型,国际农业科技发展组织,https://www.iatdo.org,,
并联机械手,速星Delta机器人,0.2,mm,3,±0.05,mm,60,N,字符型,深圳市高科技协会,https://www.shenzhen-tech.org,,
SCARA机器人,FANUC SCARA,0.15,mm,4,±0.2,mm,45,N,字符型,日本机器人产业协会,https://www.jara.or.jp,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,55,N,字符型,瑞士自动化技术协会,https://www.sat.ch,,
服务机器人,家庭清洁机器人,0.7,mm,6,±0.4,mm,20,N,字符型,机器人家居市场研究中心,https://www.rhmrc.org,,
特种机器人,海洋探测机器人,3.0,mm,5,±1.0,mm,80,N,字符型,国际海洋研究协会,https://www.imra.org,,
并联机械手,Coaxial Delta机器人,0.25,mm,3,±0.07,mm,70,N,字符型,机器人技术创新论坛,https://www.roboticforum.org,,
SCARA机器人,安川SCARA,0.08,mm,4,±0.05,mm,30,N,字符型,日本工业机械协会,https://www.jmka.or.jp,,
六轴机械手,Fanuc M-20iA,0.1,mm,6,±0.02,mm,48,N,字符型,机器人自动化技术协会,https://www.roboticsautomation.org,,
服务机器人,社区服务机器人,0.6,mm,5,±0.2,mm,22,N,字符型,社区服务机器人研发中心,https://www.ccsr.org,,
特种机器人,环境监测无人机,1.8,mm,4,±0.7,mm,90,N,字符型,美国环境保护局,https://www.epa.gov,,
并联机械手,五轴加工Delta机器人,0.15,mm,5,±0.06,mm,65,N,字符型,国际机械自动化协会,https://www.ima.org,,
SCARA机器人,KUKA SCARA,0.1,mm,4,±0.05,mm,40,N,字符型,德国自动化技术审查委员会,https://www.germantech.de,,
六轴机械手,Motoman GP-Series,0.09,mm,6,±0.03,mm,50,N,字符型,国际机器人技术研讨会,https://www.internationalrobotics.org,,
服务机器人,医疗辅助机器人,0.4,mm,6,±0.2,mm,27,N,字符型,国际医疗机器人协会,https://www.aimra.org,,
特种机器人,地下工程机器人,2.5,mm,5,±0.9,mm,85,N,字符型,国内建筑机器人开发论坛,https://www.constructionrobotforum.cn,,
服务机器人,家用陪伴机器人,0.7,mm,6,±0.3,mm,15,N,字符型,中国机器人产业联盟,https://www.robotunion.org,,
医疗机器人,手术辅助机器人,0.2,mm,8,±0.05,mm,20,N,字符型,中国科研院校联盟,https://www.casi.org.cn,,
特种机器人,矿山探测机器人,1.2,mm,3,±0.6,mm,90,N,字符型,国家自然资源部,https://www.mnr.gov.cn,,
并联机械手,高精度6轴并联机器人,0.4,mm,6,±0.2,mm,65,N,字符型,中国浮动机械协会,https://www.china-float.org,,
SCARA机器人,iKo SCARA,0.15,mm,4,±0.1,mm,38,N,字符型,日本机器人学会,https://www.rsj.or.jp,,
六轴机械手,FANUC LR Mate,0.1,mm,6,±0.03,mm,45,N,字符型,国际自动化工程学会,https://www.iaeng.org,,
服务机器人,智能家居安防机器人,0.6,mm,5,±0.4,mm,25,N,字符型,安全技术学会,https://www.safetytech.org,,
特种机器人,环境监测机器人,0.9,mm,2,±0.7,mm,80,N,字符型,中国生态环境部,https://www.mee.gov.cn,,
并联机械手,三维打印机器人,0.5,mm,6,±0.2,mm,50,N,字符型,中国制造2025,https://www.madeinchina2025.org,,
SCARA机器人,Omron SCARA,0.1,mm,4,±0.05,mm,30,N,字符型,国际机械工程协会,https://www.imew.org,,
六轴机械手,ABB IRB 6700,0.2,mm,6,±0.04,mm,60,N,字符型,瑞士机器人协会,https://www.sicrobotics.ch,,
服务机器人,老年照护机器人,0.6,mm,3,±0.3,mm,18,N,字符型,中国老龄化研究中心,https://www.chinaaging.org,,
特种机器人,灾害响应机器人,1.6,mm,4,±0.8,mm,85,N,字符型,国际灾害管理协会,https://www.idma.org,,
并联机械手,食品加工机器人,0.3,mm,5,±0.15,mm,50,N,字符型,国际食品科技协会,https://www.ift.org,,
SCARA机器人,KUKA SCARA,0.12,mm,4,±0.07,mm,37,N,字符型,德国机器人联合会,https://www.robotikdeutschland.de,,
