公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
伟信科技,地产、建筑,建筑信息建模(BIM)解决方案,远程医疗监测与数据分析,物联网技术与数据挖掘,智浩科技官网,https://www.zhih.com/solutions,2024-09-15,,,,,,,,,,,,
易信软件,教育、在线学习,在线学习平台,项目进度可视化管理,BIM技术与数据集成,伟信科技官网,https://www.weixintech.com/bim,2024-09-15,,,,,,,,,,,,
宏图软件,制造业、高科技,智能制造解决方案,课程管理与教学评估,云计算与大数据分析,易信软件官网,https://www.yixins.com/onlineeducation,2024-09-15,,,,,,,,,,,,
鼎盛咨询,金融、风险管理,金融风险控制系统,生产流程优化与智能控制,工业物联网与流程自动化,宏图软件官网,https://www.hongtu.com/smartmanufacturing,2024-09-15,,,,,,,,,,,,
赛宁科技,物流、供应链,智能物流管理系统,实时风险分析与报告生成,机器学习与实时数据处理,鼎盛咨询官网,https://www.dingsheng.com/riskcontrol,2024-09-15,,,,,,,,,,,,
蓝盾信息,安全、网络防护,网络安全解决方案,供应链追踪与数据优化,区块链技术与数据共享,赛宁科技官网,https://www.saining.com/logistics,2024-09-15,,,,,,,,,,,,
优维科技,人力资源、企业管理,人力资源管理系统,网络入侵防护与安全审计,人工智能与安全算法,蓝盾信息官网,https://www.landun.com/security,2024-09-15,,,,,,,,,,,,
网络星空,互联网、传媒,在线内容管理平台,员工考勤与绩效评估,人力资源分析与管理软件,优维科技官网,https://www.youwai.com/hr,2024-09-15,,,,,,,,,,,,
云顶科技,能源、生态,智能能源管理系统,多渠道内容发布与管理,云平台与数据分析,网络星空官网,https://www.wangluoxingkong.com/cms,2024-09-15,,,,,,,,,,,,
智联软件,交通、物流,智慧交通解决方案,能源消耗监控、优化调度,物联网与大数据分析,云顶科技官网,https://www.yundingtech.com/energy-management,2024-09-15,,,,,,,,,,,,
银科咨询,金融、咨询,信用风险评估平台,实时交通监控与分析,AI与大数据精准预测,智联软件官网,https://www.zhilian.com/traffic-solutions,2024-09-15,,,,,,,,,,,,
启迪软件,教育、在线学习,在线教育管理系统,实时信用评估与监控,机器学习模型,银科咨询官网,https://www.yinke.com/credit-risk,2024-09-15,,,,,,,,,,,,
华恩科技,制造业、企业服务,制造业数字化转型解决方案,课程管理与数据分析,教育信息化平台,启迪软件官网,https://www.qidi.com/online-education,2024-09-15,,,,,,,,,,,,
连连数据,电商、市场营销,精准营销解决方案,生产流程自动化与数据集成,工业互联网平台,华恩科技官网,https://www.huaren.com/digital-transformation,2024-09-15,,,,,,,,,,,,
云创科技,医疗、健康,远程医疗解决方案,客户画像与市场分析,大数据分析平台,连连数据官网,https://www.lianlian.com/market-analysis,2024-09-15,,,,,,,,,,,,
星际信息,智能家居、物联网,智能家居集成系统,患者管理与健康监控,云计算与物联网,云创科技官网,https://www.yunchuang.com/telemedicine,2024-09-15,,,,,,,,,,,,
信联科技,安全、通信,企业通信安全解决方案,家居设备智能控制,物联网平台开发,星际信息官网,https://www.xingji.com/smart-home,2024-09-15,,,,,,,,,,,,
宏图软件,农业、环保,智慧农业管理系统,数据加密与存储安全,网络安全技术,信联科技官网,https://www.xinlian.com/communication-security,2024-09-15,,,,,,,,,,,,
亿众科技,医疗、智能硬件,医疗数据管理系统,农作物监控与数据分析,大数据与云平台,宏图软件官网,https://www.hongtu.com/smart-agriculture,2024-09-15,,,,,,,,,,,,
云知声,语音识别、客服,智能客服系统,患者数据集中管理,数据集成与安全,亿众科技官网,https://www.ezon.com.cn/solutions/health.html,2024-09-15,,,,,,,,,,,,
宁波科技,制造业、物流,智能工厂解决方案,语音转文本与自动回复,自然语言处理技术,云知声官网,https://www.cloudspeech.com/solutions/ai-customer-service.html,2024-09-15,,,,,,,,,,,,
星辰科技,教育、培训,在线学习平台,自动化生产与物流调度,工业互联网技术,宁波科技官网,https://www.nbtiaokeji.com/solutions/smart-factory.html,2024-09-15,,,,,,,,,,,,
福达科技,金融、保险,风险管理系统,个性化学习路径推荐,大数据分析与推荐系统,星辰科技官网,https://www.starcutech.com/solutions/edtech.html,2024-09-15,,,,,,,,,,,,
信通科技,政府、公共服务,智慧城市综合平台,风险预测与评估,机器学习模型,福达科技官网,https://www.fuda.com.cn/products/risk-management.html,2024-09-15,,,,,,,,,,,,
智云科技,电商、零售,电商平台解决方案,城市管理与服务优化,物联网与大数据技术,信通科技官网,https://www.xintong.com/city/solutions.html,2024-09-15,,,,,,,,,,,,
飞昂科技,人力资源、企业管理,人力资源综合管理系统,多渠道销售与库存管理,云计算与API集成,智云科技官网,https://www.zhitianyun.com/solutions/ecommerce.html,2024-09-15,,,,,,,,,,,,
思维链科技,科技、研发,研发项目管理平台,招聘、绩效与员工管理,人力资源数据分析,飞昂科技官网,https://www.feiangtech.com/hr-solutions.html,2024-09-15,,,,,,,,,,,,
高效云科技,通讯、运维,网络监控与运维系统,项目进度监控与协同,知识管理与信息共享,思维链科技官网,https://www.siwlchain.com/solutions/project-management.html,2024-09-15,,,,,,,,,,,,
环宇科技,医疗、金融,智能健康管理系统,实时网络状态监测,人工智能与自动修复技术,高效云科技官网,https://www.gaoxiaoyun.com/network-solutions.html,2024-09-15,,,,,,,,,,,,
锐天科技,供应链、制造业,智能供应链管理平台,健康数据分析与优化,人工智能算法,环宇科技官网,https://www.huan-yu.com/solutions/health.html,2024-09-15,,,,,,,,,,,,
云帆科技,运输、物流,智能运输调度系统,全链路监控与优化,机器学习与区块链技术,锐天科技官网,https://www.rui-tian.com/supplychain/,2024-09-15,,,,,,,,,,,,
艾瑞咨询,市场研究、金融,消费者洞察分析工具,运输资源优化,云计算与数据挖掘,云帆科技官网,https://www.yunfan.com/products/logistics.html,2024-09-15,,,,,,,,,,,,
拓维科技,教育、在线学习,在线教学管理系统,市场趋势预测与分析,大数据分析平台,艾瑞咨询官网,https://www.iresearch.com.cn/,2024-09-15,,,,,,,,,,,,
博创软件,地产、智能建筑,智慧楼宇管理系统,课程管理与评估,教育数据可视化,拓维科技官网,https://www.tuowei.com/education/,2024-09-15,,,,,,,,,,,,
云慧科技,旅游、酒店,客户关系管理系统,设施管理与能源优化,物联网与数据集成,博创软件官网,https://www.bochuang.com/building/,2024-09-15,,,,,,,,,,,,
星际信息,政府、公共服务,城市管理平台,预定管理与客户反馈,大数据分析与云服务,云慧科技官网,https://www.yunhui.com/travel/,2024-09-15,,,,,,,,,,,,
汉得信息,金融、云技术,云端数据中心解决方案,数据共享与智能决策,云计算与大数据,星际信息官网,https://www.xingji.com/government/,2024-09-15,,,,,,,,,,,,
传智教育,职业教育、IT培训,在线职业发展平台,数据备份与恢复,云安全与虚拟化,汉得信息官网,https://www.hand.com/cloud/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,5G通信、智能制造,智能制造解决方案,职业规划与技能提升,在线学习管理系统,传智教育官网,https://www.chuanzhi.com/education/,2024-09-15,,,,,,,,,,,,
云创科技,物联网、智能硬件,IoT连接管理平台,生产过程实时监控、数据分析,大数据与AI技术,华为官网,https://www.huawei.com/cn/solutions/industry,2024-09-15,,,,,,,,,,,,
超图软件,地理信息系统、城市规划,智慧城市解决方案,设备连接管理、数据传输优化,云计算与IoT技术,云创科技官网,https://www.yunhuan.com/iot-solution,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、财务,云ERP管理系统,城市运营可视化,GIS应用技术,超图软件官网,http://www.supermap.com/zh/products,2024-09-15,,,,,,,,,,,,
万达信息,金融、保险,智能反欺诈系统,财务管理、供应链优化,企业云服务,用友官网,https://www.yonyou.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
亿佰科技,汽车、交通运输,车联网解决方案,实时欺诈检测,人工智能与数据挖掘,万达信息官网,http://www.wandainfo.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,云端ERP综合管理系统,车辆监控、智能调度,车联网数据平台,亿佰科技官网,https://www.eightech.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
睿信科技,教育、在线学习,智慧教育云平台,财务管理与库存优化,企业资源管理平台,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
网宿科技,网络安全、云服务,全网智能安全解决方案,在线课堂和学习分析,教育科技与服务,睿信科技官网,https://www.raintech.com.cn/education/,2024-09-15,,,,,,,,,,,,
汇桔网,知识产权、网络服务,知识产权管理系统,数据防泄露与风险监控,网络安全自研技术,网宿科技官网,https://www.wangsu.com/,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、云计算,云计算服务,专利申请与管理,知识产权大数据分析,汇桔网官网,https://www.huiyu.com/,2024-09-15,,,,,,,,,,,,
锐捷网络,网络安全,智能网络管理平台,弹性计算与安全存储,分布式计算架构,阿里云官网,https://www.aliyun.com/product/ecs/,2024-09-15,,,,,,,,,,,,
用友网络,财务、企业管理,企业资源计划（ERP）系统,网络可视化与安全防护,网络流量分析技术,锐捷网络官网,https://www.ruijie.com.cn/,2024-09-15,,,,,,,,,,,,
华为,通信、信息技术,智能城市解决方案,财务管理与报表自动化,云端ERP系统架构,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
金山云,云服务、IT基础设施,云数据处理平台,城市管理与服务优化,物联网与大数据集成,华为官网,https://www.huawei.com/cn/solutions/smart-city/,2024-09-15,,,,,,,,,,,,
腾讯云,社交媒体、云计算,社交平台分析工具,数据存储与处理,云存储架构设计,金山云官网,https://www.ksyun.com/,2024-09-15,,,,,,,,,,,,
美团点评,生活服务、电子商务,智能推荐引擎,用户行为分析与优化,用户数据挖掘技术,腾讯云官网,https://cloud.tencent.com/product,2024-09-15,,,,,,,,,,,,
云智汇,智能制造、物联网,工业互联网平台,个性化服务推荐,机器学习与AI算法,美团点评官网,https://www.meituan.com/,2024-09-15,,,,,,,,,,,,
达梦数据库,数据管理、信息技术,数据库解决方案,设备监控与数据分析,数字双胞胎技术,云智汇官网,https://www.yunzhihui.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、企业管理,财务云解决方案,数据存储与高可用性,分布式数据库管理系统,达梦官网,https://www.dameng.com/,2024-09-15,,,,,,,,,,,,
雷达科技,智能制造、物联网,智能工厂解决方案,财务会计与预算管理,云会计软件,金蝶官网,https://www.kd.com/,2024-09-15,,,,,,,,,,,,
未来科技,医疗、人工智能,AI诊断支持系统,生产流程自动化,IoT设备管理与数据分析,雷达科技官网,https://www.radartech.com.cn/solutions,2024-09-15,,,,,,,,,,,,
智信系统,教育、在线学习,数字校园管理平台,辅助医疗决策,深度学习算法,未来科技官网,https://www.futuretech.com.cn/ai-diagnosis,2024-09-15,,,,,,,,,,,,
光明信息,公共安全、监控,城市智能监控系统,课程管理与学生互动,教育资源优化,智信系统官网,https://www.zhixin.net/education,2024-09-15,,,,,,,,,,,,
华兴科技,电力、能源管理,智能电网解决方案,实时监控与数据分析,视频分析与深度学习,光明信息官网,https://www.brightinfo.com.cn/products,2024-09-15,,,,,,,,,,,,
未来云科技,信息技术、云计算,云端数据存储与运算,能源消耗实时监控,大数据与智能算法,华兴科技官网,https://www.huaxingtech.com/en/energy,2024-09-15,,,,,,,,,,,,
冠信信息,金融科技、信用评估,智能信贷风控系统,安全高效的数据管理,云安全和高可用架构,未来云科技官网,https://www.futurecloud.com.cn/services,2024-09-15,,,,,,,,,,,,
联创科技,旅游、互联网,智慧旅游管理平台,信贷申请风险评估,机器学习与信用评分模型,冠信信息官网,https://www.guanxin.net/risk-control,2024-09-15,,,,,,,,,,,,
东田科技,城市管理、智慧城市,城市环境监控和管理系统,旅客数据及体验优化,数据分析与用户体验设计,联创科技官网,https://www.lianchuangtech.com.cn/tourism,2024-09-15,,,,,,,,,,,,
安信软件,安全、网络防护,网络安全防护平台,环境数据实时监控,传感器网络与数据集成,东田科技官网,https://www.dongtian.com.cn/smart-city,2024-09-15,,,,,,,,,,,,
腾讯云,金融、云计算,腾讯云金融云解决方案,威胁探测与响应,区块链和AI技术,安信软件官网,https://www.anxinsoft.com.cn/security,2024-09-15,,,,,,,,,,,,
用友网络,制造业、服务业,用友智慧企业解决方案,智能风控、数据分析,区块链技术与大数据,腾讯云官网,https://cloud.tencent.com/solutions/financial,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电子商务、零售,阿里巴巴智能营销解决方案,数字化转型、ERP系统,云计算与人工智能,用友网络官网,https://www.yonyou.com/solutions/,2024-09-15,,,,,,,,,,,,
东软集团,医疗、教育,东软智慧医疗解决方案,数据驱动的市场分析,机器学习与数据挖掘,阿里巴巴官网,https://www.alibaba.com/solution/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、IT服务,华为5G企业数字化解决方案,电子病历管理、远程诊疗,人工智能与云平台,东软集团官网,https://www.neusoft.com/solutions/healthcare,2024-09-15,,,,,,,,,,,,
SAP中国,企业管理、财务,SAP S/4HANA实施,智能制造与网络升级,5G技术与物联网,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
三六零网络安全技术股份有限公司,安全、IT服务,网络安全解决方案,实时数据分析与报告,云计算与智能自动化,SAP官网,https://www.sap.com/china/products/s4hana-erp.html,2024-09-15,,,,,,,,,,,,
达梦数据库,大数据、IT服务,达梦数据平台,网络防护与监测,网络安全与大数据分析,360公司官网,https://www.360.cn/products/security/,2024-09-15,,,,,,,,,,,,
新松机器人,制造业、智能自动化,高精度机器人解决方案,数据仓库与分析,自主研发数据库技术,达梦官网,https://www.dameng.com/solutions/,2024-09-15,,,,,,,,,,,,
云从科技,人脸识别、安防,云从智能识别解决方案,智能工厂与自动化生产,机器人技术与人工智能,新松官网,http://www.siasun.com/solutions/,2024-09-15,,,,,,,,,,,,
腾讯云,金融、物流,云端数据资产管理系统,安全防范与身份识别,人脸识别与深度学习,云从科技官网,https://www.cloudwalk.cn/products/,2024-09-15,,,,,,,,,,,,
华为技术,制造业、能源,智能工厂解决方案,跨平台数据整合与分析,云计算与大数据,腾讯云官网,https://cloud.tencent.com/solutions,2024-09-15,,,,,,,,,,,,
阿里巴巴,电商、零售,智能营销平台,生产线自动化与优化,工业互联网与AI,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
用友网络,财务、企业管理,用友云ERP,在线客户行为分析,大数据与人工智能,阿里巴巴官网,https://www.alibaba.com/solutions/,2024-09-15,,,,,,,,,,,,
百度,教育、医疗,AI教师助手,企业资源与财务管理一体化,云计算与大数据平台,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
中兴通讯,ICT、安防,智能安防系统,个性化教学支持,人工智能与机器学习,百度官网,https://ai.baidu.com/,2024-09-15,,,,,,,,,,,,
东软集团,医疗、公共事业,智慧医疗管理平台,实时监控与预警,物联网与网络安全,中兴通讯官网,https://www.zte.com.cn/,2024-09-15,,,,,,,,,,,,
携程网,旅游、消费,在线旅游管理系统,病历信息管理与分析,健康大数据与云计算,东软集团官网,https://www.neusoft.com/,2024-09-15,,,,,,,,,,,,
京东云,零售、供应链,供应链金融解决方案,全渠道订单处理,云端数据集成与服务,携程网官网,https://www.ctrip.com/,2024-09-15,,,,,,,,,,,,
理想能源,新能源、环保,可再生能源管理系统,信贷审批与风险控制,大数据与区块链技术,京东云官网,https://www.jdcloud.com/,2024-09-15,,,,,,,,,,,,
云赛科技,云计算、物联网,智能物联网平台,高效能量调度与管理,能源云数据平台,理想能源官网,https://www.lixiang.com/,2024-09-15,,,,,,,,,,,,
博云科技,制造业、自动化,智能制造解决方案,设备远程监控与管理,云数据处理与分析,云赛科技官网,https://www.yunseikeji.com,2024-09-15,,,,,,,,,,,,
环宇信息,零售、电商,全渠道销售管理系统,生产线监控与优化,机器学习与优化算法,博云科技官网,https://www.boyun.com/solutions,2024-09-15,,,,,,,,,,,,
华云数据,金融、风险管理,风险评估与管理平台,销售数据整合与分析,人工智能与数据挖掘,环宇信息官网,https://www.huanyu.com.cn/casestudy,2024-09-15,,,,,,,,,,,,
链通科技,供应链管理,区块链供应链解决方案,财务数据分析与风险监测,大数据分析平台,华云数据官网,https://www.huayun.com.cn/riskmanagement,2024-09-15,,,,,,,,,,,,
智云科技,教育、在线学习,智慧校园管理系统,透明供应链管理,区块链技术应用,链通科技官网,https://www.liantong.com/supplychain,2024-09-15,,,,,,,,,,,,
云讯科技,通信、社交,即时通讯与社交平台,在线教学与学生管理,AI个性化学习,智云科技官网,https://www.zhiyun.com/education,2024-09-15,,,,,,,,,,,,
海达软件,环境监测,环境数据智能分析平台,实时消息传递与互动,移动互联网技术,云讯科技官网,https://www.yunxun.com/products,2024-09-15,,,,,,,,,,,,
能科创新,能源管理、可再生能源,可再生能源管理系统,实时数据采集与分析,IoT与数据可视化,海达软件官网,https://www.haida.com.cn/environment,2024-09-15,,,,,,,,,,,,
智联科技,城市规划、智慧城市,智慧城市数据平台,能源消耗监测与优化,数据分析与能效优化,能科创新官网,https://www.nengke.com.cn/renewableenergy,2024-09-15,,,,,,,,,,,,
亿迅科技,医疗、智能硬件,智能诊断系统,城市资源管理与安全监控,大数据与GIS技术,智联科技官网,https://www.zhilian.com.cn/smartcity,2024-09-15,,,,,,,,,,,,
华为云,通信、云计算,云游戏平台,实时健康监控、智能预警,人工智能与物联网,亿迅科技官网,https://www.yixun.com/products/healthcare.html,2024-09-15,,,,,,,,,,,,
用友网络,制造业、流通,数智化管理平台,高效数据处理与存储,云计算与大数据,华为云官网,https://www.huaweicloud.com/products/games.html,2024-09-15,,,,,,,,,,,,
行云科技,教育、科技,在线学习平台,实时数据分析与决策,云 ERP 与人工智能,用友网络官网,https://www.yonyou.com/cases/,2024-09-15,,,,,,,,,,,,
金蝶软件,商业、服务业,财务云服务,互动学习与评测,大数据与学习分析,行云科技官网,http://www.xingyun.com/solutions/education/,2024-09-15,,,,,,,,,,,,
深信服,网络安全、IT管理,安全防护解决方案,实时财务管理,云财务软件,金蝶软件官网,https://www.kingdee.com/cloudfinancial/,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,云供应链管理,网络监控与入侵检测,网络安全技术,深信服官网,https://www.sangfor.com/CyberSecurity/solutions/,2024-09-15,,,,,,,,,,,,
达梦数据库,金融、政府,数据库安全与管理,供应链可视化与优化,云计算与AI算法,阿里云官网,https://www.aliyun.com/product/oss,2024-09-15,,,,,,,,,,,,
大北农,农业科技、食品,智慧农业系统,数据加密与审计,数据库技术,达梦数据库官网,https://www.dameng.com/solutions/security/,2024-09-15,,,,,,,,,,,,
东软集团,医疗、信息化,医院信息管理系统,生产与质量实时监控,农业信息化,大北农官网,http://www.dabeinong.com/solutions/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,电信、云服务,企业云平台解决方案,电子病历与诊疗管理,医疗信息化解决方案,东软集团官网,https://www.neusoft.com/medical/,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、社交媒体,云游戏解决方案,云计算资源整合与管理,分布式云架构,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
用友网络,制造、商业服务,生产管理解决方案,实时游戏流媒体传输,边缘计算与流媒体技术,腾讯云官网,https://cloud.tencent.com/solutions/games,2024-09-15,,,,,,,,,,,,
阿里云,零售、金融,数据智能解决方案,智能制造与流程优化,物联网集成与大数据应用,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
云从科技,安防、公共服务,人脸识别解决方案,实时数据分析与决策支持,人工智能与机器学习,阿里云官网,https://www.aliyun.com/product/ai,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、零售,金蝶云·星空,身份验证与安全监控,计算机视觉技术,云从科技官网,https://www.cloudwalk.cn/products/,2024-09-15,,,,,,,,,,,,
港湾网络,网络、信息安全,网络安全管理系统,全面财务管理与云服务,会计智能化与平台集成,金蝶官网,https://www.kingdee.com/products ,2024-09-15,,,,,,,,,,,,
极联科技,物流、供应链,供应链管理解决方案,企业信息安全防护,网络安全技术,港湾网络官网,https://www.greatwall168.com/,2024-09-15,,,,,,,,,,,,
千方科技,交通、公共安全,智能交通系统,适时供应链优化,智能物流与动态调度,极联科技官网,http://www.jalian.cn/,2024-09-15,,,,,,,,,,,,
亿讯科技,医疗、健康管理,智慧医疗平台,交通流量监控与管理,物联网与数据融合,千方科技官网,http://www.qftech.com/,2024-09-15,,,,,,,,,,,,
云创科技,零售、物流,云端物流管理系统,远程医疗与健康监测,云计算与大数据分析,亿讯科技官网,https://www.yxtech.com/,2024-09-15,,,,,,,,,,,,
宏图软件,教育、在线学习,智慧课堂平台,订单处理与实时跟踪,云计算与大数据分析,云创科技官网,https://www.yunchn.com/solutions/logistics.html,2024-09-15,,,,,,,,,,,,
龙腾科技,能源、环保,智能电网解决方案,在线课程与学习管理,教育信息化与数据挖掘,宏图软件官网,https://www.hongtus.com/edu-solutions.html,2024-09-15,,,,,,,,,,,,
科技之树,医疗、健康,云端健康管理系统,电力监控与需求响应,物联网与智能分析,龙腾科技官网,https://www.longtengtech.com/energy-solutions.html,2024-09-15,,,,,,,,,,,,
创远科技,证券、金融,智能交易系统,患者数据管理与分析,医疗数据集成与大数据,科技之树官网,https://www.techtree.com/healthcare-solutions.html,2024-09-15,,,,,,,,,,,,
未来云,政府、公共服务,数字政府解决方案,市场分析与自动交易,人工智能与算法交易,创远科技官网,https://www.chuangyuan.com/fintech.html,2024-09-15,,,,,,,,,,,,
触点科技,电商、在线服务,全渠道营销解决方案,电子政务与数据共享,区块链与信息安全,未来云官网,https://www.未来云.com/digital-gov.html,2024-09-15,,,,,,,,,,,,
智创时代,旅游、交通,数字智旅管理系统,客户体验优化与销售提升,大数据分析与智能推荐,触点科技官网,https://www.chu-dian.com/omnichannel.html,2024-09-15,,,,,,,,,,,,
航天信息,航空、航天,智能飞行管理系统,旅游数据分析与服务优化,数据挖掘与人工智能,智创时代官网,https://www.zc-times.com/travel.html,2024-09-15,,,,,,,,,,,,
瑞创科技,制造、供应链,智能制造与供应链平台,飞行数据实时监控,实时数据处理与分析,航天信息官网,https://www.spaceinfo.com/aviation.html,2024-09-15,,,,,,,,,,,,
云天科技,医疗、保险,智能医疗信息平台,生产调度与库存管理,物联网与智能制造,瑞创科技官网,https://www.ruichuang.com/supplychain.html,2024-09-15,,,,,,,,,,,,
科大讯飞,教育、政务,智慧教育解决方案,病历管理、在线咨询,人工智能与大数据,云天科技官网,https://www.kuainiu.com/solutions/,2024-09-15,,,,,,,,,,,,
华为,制造、物流,智能制造云平台,智能评测、学习分析,语音识别与教育大数据,科大讯飞官网,https://www.iflytek.com/Products/,2024-09-15,,,,,,,,,,,,
百度,互联网、金融,智能客服与金融分析,生产调度、设备监控,物联网与云服务,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、服务行业,金蝶云ERP,在线客服、客户行为分析,自然语言处理与大数据分析,百度官网,https://www.baidu.com/,2024-09-15,,,,,,,,,,,,
ITC科技,交通、物流,智能交通调度系统,财务管理、库存管理,云计算与财务智能分析,金蝶软件官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
鼎捷软件,制造、服务业,智能制造解决方案,实时监控、数据分析,大数据与机器学习,ITC科技官网,http://www.itc.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
商汤科技,安防、零售,AI视觉监控系统,生产流程优化、质量控制,工业互联网与智能分析,鼎捷软件官网,https://www.digiwin.com/,2024-09-15,,,,,,,,,,,,
用友网络,企业应用、金融,企业财务云,视频分析、人脸识别,深度学习与计算机视觉,商汤科技官网,https://www.sensetime.com/,2024-09-15,,,,,,,,,,,,
泰克科技,冷链物流、食品安全,冷链监控系统,在线报表、财务分析,云服务与财务智能,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
云起科技,教育、在线学习,智能教育平台,温湿度监测、追溯管理,物联网与数据整合,泰克科技官网,https://www.tech.com.cn/,2024-09-15,,,,,,,,,,,,
信标科技,医疗、健康管理,远程医疗平台,个性化学习方案,AI与大数据分析,云起科技官网,https://www.yunqi.com.cn/,2024-09-15,,,,,,,,,,,,
博维云科技,制造业、物联网,智能制造解决方案,医生在线问诊,云计算与数据安全,信标科技官网,https://www.xinbiao.com.cn/,2024-09-15,,,,,,,,,,,,
海云数据,金融、商业智能,BI分析解决方案,工厂自动化与监控,物联网平台开发,博维云科技官网,https://www.bowei.com.cn/,2024-09-15,,,,,,,,,,,,
时代数据,电商、市场分析,消费者行为分析工具,实时数据分析,数据挖掘与可视化,海云数据官网,https://www.haiyun.com.cn/,2024-09-15,,,,,,,,,,,,
铭智科技,IT服务、云安全,企业云安全解决方案,市场趋势预测,大数据分析与机器学习,时代数据官网,https://www.shidai.com.cn/,2024-09-15,,,,,,,,,,,,
迅达软件,政府、非盈利组织,公共服务平台,数据加密与防泄露,安全技术与解决方案,铭智科技官网,https://www.mingzhi.com.cn/,2024-09-15,,,,,,,,,,,,
恒信科技,房地产、物业管理,智慧物业管理系统,信息共享与协作,开放平台与API集成,迅达软件官网,https://www.xunda.com.cn/,2024-09-15,,,,,,,,,,,,
天翼云计算,传媒、内容生产,媒体内容管理平台,物业在线服务与管理,物联网与服务集成,恒信科技官网,https://www.hengxin.com.cn/,2024-09-15,,,,,,,,,,,,
凌云智能,交通、城市管理,智能交通管理系统,多渠道内容分发,云存储与流媒体技术,天翼云计算官网,https://www.tianyi.com.cn/,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,云计算服务平台,交通流量监控与优化,智能算法与大数据分析,凌云智能官网,https://www.lingyun.com.cn/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、智能制造,5G智能工厂解决方案,实时数据处理与分析,云计算架构,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
用友网络科技,财务、制造业,企业云财务管理,生产线智能化升级,5G通信技术,华为官网,https://www.huawei.com/cn/solutions/5g/,2024-09-15,,,,,,,,,,,,
金蝶软件,互联网、零售,在线ERP解决方案,财务流程自动化,云财务平台,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
腾讯云,金融、社交媒体,区块链解决方案,订单管理与库存分析,ERP系统整合,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
美团点评,生活服务、O2O,智能推荐系统,数字资产管理与监管,区块链技术平台,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
引力传媒,广告、市场营销,数据驱动营销平台,个性化用户推荐,大数据算法,美团官网,https://www.meituan.com/,2024-09-15,,,,,,,,,,,,
小米科技,智能硬件、物联网,智能家居管理系统,精准广告投放,机器学习与数据分析,引力传媒官网,https://www.yinli.com/,2024-09-15,,,,,,,,,,,,
字节跳动,内容分发、社交,短视频内容平台,家庭设备联动与控制,物联网技术,小米官网,https://www.mi.com/,2024-09-15,,,,,,,,,,,,
久亿科技,电子商务、零售,智能购物推荐系统,内容创作及分发,人工智能推荐引擎,字节跳动官网,https://www.bytedance.com/,2024-09-15,,,,,,,,,,,,
数聚科技,医疗健康、保险,健康数据分析平台,风险评估与管理,大数据与AI分析,平安科技官网,https://www.pingan.com/,2024-09-15,,,,,,,,,,,,
智赢科技,制造业、能源,工业互联网监控平台,个性化商品推荐,机器学习与人工智能,久亿科技官网,https://www.9yitech.com/solutions/recommendation.html,2024-09-15,,,,,,,,,,,,
云享科技,教育、培训,在线学习管理系统,医疗数据集成与分析,大数据与云计算,数聚科技官网,https://www.shuju.tech/cases/health.html,2024-09-15,,,,,,,,,,,,
英维克科技,金融、保险,风险管理解决方案,设备状态实时监控,物联网与边缘计算,智赢科技官网,https://www.zhiying.com/solutions/iot.html,2024-09-15,,,,,,,,,,,,
方舟云科技,交通运输、物流,智能城市交通管理解决方案,课程管理与在线评估,云计算与教育信息化,云享科技官网,https://www.yunxiang.com/product/lms.html,2024-09-15,,,,,,,,,,,,
