登记号（字符型）,育种技术名称（字符型）,育种技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,
MF035586,耐盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江大学,2023-08-10,2023-09-01,2024-09-01,2024-08-01,浙江水稻科技有限公司,新品种审定申请,浙江水稻科技有限公司,浙江省农业农村厅,https://www.zj.gov.cn,2024/9/30,,,,
MF779985,高糖甜菜育种技术,常规育种,已完成,第三阶段,大田试验,天津市农科院,天津农业大学,2023-02-20,2023-03-10,2024-03-10,2024-02-20,天津良种科技有限公司,新品种审定申请,天津良种科技有限公司,天津市农业农村厅,https://www.tianjin.gov.cn,2024/9/30,,,,
MF658312,高效养分玉米育种技术,转基因育种,正在进行,第二阶段,区域试验,河北省农科院,华北农林科技大学,2023-03-30,2023-05-01,2024-05-01,2024-04-01,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,https://www.heb.gov.cn,2024/9/30,,,,
MF030481,抗虫蚕豆育种技术,常规育种,已完成,第一阶段,初步试验,江西省农科院,江西农业大学,2023-06-15,2023-07-01,2024-07-01,2024-06-15,江西良种科技有限公司,新品种审定申请,江西良种科技有限公司,江西省农业农村厅,https://www.jx.gov.cn,2024/9/30,,,,
MF035562,耐寒小麦育种技术,转基因育种,正在进行,第二阶段,区域试验,山西省农科院,山西农业大学,2023-04-28,2023-05-15,2024-05-15,2024-04-28,山西良种科技有限公司,新品种审定申请,山西良种科技有限公司,山西省农业农村厅,https://www.sx.gov.cn,2024/9/30,,,,
MF778092,富硒水稻育种技术,常规育种,已完成,第一阶段,初步试验,广西省农科院,广西大学,2023-07-05,2023-08-01,2024-08-01,2024-07-05,广西良种科技有限公司,新品种审定申请,广西良种科技有限公司,广西省农业农村厅,https://www.gx.gov.cn,2024/9/30,,,,
MF996253,抗旱杂交水稻育种技术,杂交育种,正在进行,第二阶段,区域试验,云南省农科院,云南农业大学,2023-07-20,2023-08-15,2024-08-15,2024-07-20,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn,2024/9/30,,,,
MF635142,抗病苹果育种技术,常规育种,已完成,第三阶段,大田试验,陕西省农科院,西北农林科技大学,2023-09-12,2023-10-01,2024-10-01,2024-09-12,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.sn.gov.cn,2024/9/30,,,,
MF030481,高产花生育种技术,转基因育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-02-14,2023-03-01,2024-03-01,2024-02-14,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.sc.gov.cn,2024/9/30,,,,
MF035562,超早熟玉米育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江农业大学,2023-02-20,2023-03-01,2024-03-01,2024-02-01,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hlj.gov.cn/agriculture/,2024/9/30,,,,
MF778092,高产小麦育种技术,转基因育种,正在进行,第三阶段,大田试验,内蒙古农科院,内蒙古农业大学,2023-04-15,2023-05-01,2024-05-01,2024-04-01,内蒙古良种生物科技有限公司,新品种审定申请,内蒙古良种生物科技有限公司,内蒙古自治区农业农村厅,https://www.nmgs.gov.cn/agriculture/,2024/9/30,,,,
MF996253,耐盐水稻育种技术,常规育种,已完成,第二阶段,区域试验,新疆农科院,新疆农业大学,2023-07-05,2023-08-01,2024-08-01,2024-07-01,新疆良种科技有限公司,新品种审定申请,新疆良种科技有限公司,新疆维吾尔自治区农业农村厅,https://www.xinjiang.gov.cn/agriculture/,2024/9/30,,,,
MF030490,耐寒大豆育种技术,转基因育种,正在进行,第一阶段,初步试验,辽宁省农科院,辽宁农业大学,2023-09-10,2023-10-01,2024-10-01,2024-09-01,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.ln.gov.cn/agriculture/,2024/9/30,,,,
MF737405,抗旱水稻育种技术,常规育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-10-20,2023-11-01,2024-11-01,2024-10-01,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn/agriculture/,2024/9/30,,,,
MF035586,抗虫水稻育种技术,转基因育种,正在进行,第三阶段,大田试验,浙江省农科院,浙江农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,浙江良种生物科技有限公司,新品种审定申请,浙江良种生物科技有限公司,浙江省农业农村厅,https://www.zj.gov.cn/agriculture/,2024/9/30,,,,
MF779985,高产花生育种技术,常规育种,已完成,第二阶段,区域试验,广西农科院,广西农业大学,2023-11-15,2023-12-01,2024-12-01,2024-11-01,广西良种生物科技有限公司,新品种审定申请,广西良种生物科技有限公司,广西壮族自治区农业农村厅,https://www.guangxi.gov.cn/agriculture/,2024/9/30,,,,
MF658312,抗逆水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,福建省农科院,福建农业大学,2023-12-01,2024-01-01,2025-01-01,2024-12-01,福建良种生物科技有限公司,新品种审定申请,福建良种生物科技有限公司,福建省农业农村厅,https://www.fujian.gov.cn/agriculture/,2024/9/30,,,,
MF996253,优质红薯育种技术,常规育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2024-01-10,2024-02-01,2025-02-01,2024-01-30,四川良种生物科技有限公司,新品种审定申请,四川良种生物科技有限公司,四川省农业农村厅,https://www.sichuan.gov.cn/agriculture/,2024/9/30,,,,
MF996253,抗盐水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,广西农业科学院,广西大学,2023-04-10,2023-05-01,2024-05-01,2024-04-01,广西良种科技有限公司,新品种审定申请,广西良种科技有限公司,广西省农业农村厅,https://www.gxagri.gov.cn,2024/9/30,,,,
MF996253,高抗病苹果育种技术,常规育种,已完成,第三阶段,区域试验,陕西省农科院,西北农林科技大学,2023-06-15,2023-07-01,2024-07-01,2024-06-15,陕西红果生物科技有限公司,新品种审定申请,陕西红果生物科技有限公司,陕西省农业农村厅,https://www.snagri.gov.cn,2024/9/30,,,,
MF996253,耐寒蔬菜育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,东北农业大学,2023-08-01,2023-09-01,2024-09-01,2024-08-01,黑龙江农村科技发展有限公司,新品种审定申请,黑龙江农村科技发展有限公司,黑龙江省农业农村厅,https://www.hljagri.gov.cn,2024/9/30,,,,
MF779985,抗虫土豆育种技术,转基因育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2023-09-10,2023-10-01,2024-10-01,2024-09-01,四川生物农业科技有限公司,新品种审定申请,四川生物农业科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn,2024/9/30,,,,
MF779985,高产香蕉育种技术,常规育种,正在进行,第三阶段,大田试验,海南省农科院,海南大学,2023-11-20,2023-12-01,2024-12-01,2024-11-01,海南优良种子有限公司,新品种审定申请,海南优良种子有限公司,海南省农业农村厅,https://www.hainanagri.gov.cn,2024/9/30,,,,
MF778092,抗旱番茄育种技术,常规育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-10-20,2023-11-01,2024-11-01,2024-10-20,云南生物育种科技有限公司,新品种审定申请,云南生物育种科技有限公司,云南省农业农村厅,https://www.ynagri.gov.cn,2024/9/30,,,,
MF778092,耐湿红薯育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江大学,2023-12-01,2024-01-01,2025-01-01,2024-12-01,浙江甜薯科技有限公司,新品种审定申请,浙江甜薯科技有限公司,浙江省农业农村厅,https://www.zjagri.gov.cn,2024/9/30,,,,
MF778092,高产香瓜育种技术,常规育种,已完成,第三阶段,区域试验,天津市农科院,天津农业大学,2023-09-15,2023-10-01,2024-10-01,2024-09-15,天津农业生物科技有限公司,新品种审定申请,天津农业生物科技有限公司,天津市农业农村厅,https://www.tjagri.gov.cn,2024/9/30,,,,
MF778092,抗寒柑橘育种技术,转基因育种,正在进行,第二阶段,大田试验,烟台农科院,山东农业大学,2023-11-30,2024-01-15,2025-01-15,2024-12-30,烟台果树科技有限公司,新品种审定申请,烟台果树科技有限公司,山东省农业农村厅,https://www.sdagri.gov.cn,2024/9/30,,,,
MF737405,高抗逆境玉米育种技术,转基因育种,正在进行,第一阶段,初步试验,四川省农科院,西南大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,四川优质农种有限公司,新品种审定申请,四川优质农种有限公司,四川省农业农村厅,https://www.scagri.gov.cn,2024/9/30,,,,
MF737405,耐盐碱水稻育种技术,常规育种,已完成,第二阶段,区域试验,辽宁省农科院,沈阳农业大学,2023-08-01,2023-09-01,2024-09-01,2024-08-01,辽宁绿洲农业科技有限公司,新品种审定申请,辽宁绿洲农业科技有限公司,辽宁省农业农村厅,https://www.lnagn.gov.cn,2024/9/30,,,,
MF658312,抗旱花生育种技术,常规育种,正在进行,第一阶段,初步试验,甘肃省农科院,甘肃农业大学,2023-07-20,2023-08-01,2024-08-01,2024-07-01,甘肃新兴农业科技有限公司,新品种审定申请,甘肃新兴农业科技有限公司,甘肃省农业农村厅,https://www.gst.gov.cn,2024/9/30,,,,
MF658312,优质高产大豆育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,吉林农业大学,2023-09-15,2023-10-01,2024-10-01,2024-09-01,吉林优农科技有限公司,新品种审定申请,吉林优农科技有限公司,吉林省农业农村厅,https://www.jlagn.gov.cn,2024/9/30,,,,
MF635142,抗虫高效棉花育种技术,转基因育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江农业大学,2023-10-05,2023-10-15,2024-10-15,2024-09-15,浙江良种科技有限公司,新品种审定申请,浙江良种科技有限公司,浙江省农业农村厅,https://www.zjagn.gov.cn,2024/9/30,,,,
MF030481,耐寒水稻育种技术,常规育种,正在进行,第二阶段,区域试验,黑龙江省农科院,黑龙江八一农垦大学,2023-05-25,2023-06-01,2024-06-01,2024-05-01,黑龙江农业科技发展有限公司,新品种审定申请,黑龙江农业科技发展有限公司,黑龙江省农业农村厅,https://www.hljagn.gov.cn,2024/9/30,,,,
MF035562,新品种高效马铃薯育种技术,最新技术,正在进行,第一阶段,初步试验,云南省农科院,云南农业大学,2023-09-20,2023-10-01,2024-10-01,2024-09-20,云南新农业科技有限公司,新品种审定申请,云南新农业科技有限公司,云南省农业农村厅,https://www.ynagn.gov.cn,2024/9/30,,,,
MF778092,低碳环保大豆育种技术,常规育种,已完成,第三阶段,大田试验,河北省农科院,河北农业大学,2023-08-10,2023-09-01,2024-09-01,2024-08-30,河北良种突破科技有限公司,新品种审定申请,河北良种突破科技有限公司,河北省农业农村厅,https://www.hebeifarming.gov.cn,2024/9/30,,,,
MF996253,生物防治苹果育种技术,新型育种,正在进行,第一阶段,初步试验,陕西省农科院,陕西科技大学,2023-10-01,2023-10-05,2024-10-05,2024-09-01,陕西新农业科技开发有限公司,新品种审定申请,陕西新农业科技开发有限公司,陕西省农业农村厅,https://www.sxagn.gov.cn,2024/9/30,,,,
MF635142,抗盐碱水稻育种技术,常规育种,正在进行,第一阶段,初步试验,新疆农业科学院,新疆大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,新疆良种科技有限公司,新品种审定申请,新疆良种科技有限公司,新疆省农业农村厅,https://www.xjny.gov.cn,2024/9/30,,,,
MF030481,抗虫花生育种技术,转基因育种,已完成,第二阶段,区域试验,浙江省农科院,浙江大学,2023-05-30,2023-06-15,2024-06-15,2024-05-01,浙江良种科技有限公司,新品种审定申请,浙江良种科技有限公司,浙江省农业农村厅,https://www.zjna.gov.cn,2024/9/30,,,,
MF035562,高产小麦育种技术,常规育种,正在进行,第一阶段,实验室试验,河北省农科院,河北农业大学,2023-08-05,2023-09-01,2024-09-01,2024-08-01,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,https://www.hebnyn.gov.cn,2024/9/30,,,,
MF778092,耐寒水果育种技术,转基因育种,正在进行,第二阶段,初步试验,吉林省农科院,吉林农业大学,2023-10-10,2023-11-01,2024-11-01,2024-10-01,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,https://www.jlly.gov.cn,2024/9/30,,,,
MF996253,抗旱玉米育种技术,常规育种,已完成,第三阶段,大田试验,重庆市农科院,重庆师范大学,2023-11-01,2023-11-15,2024-11-15,2024-10-01,重庆良种科技有限公司,新品种审定申请,重庆良种科技有限公司,重庆市农业农村厅,https://www.cqny.gov.cn,2024/9/30,,,,
MF030490,低温耐受桃育种技术,转基因育种,正在进行,第一阶段,初步试验,辽宁省农科院,辽宁农业大学,2023-12-01,2023-12-15,2024-12-15,2024-11-01,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.lnny.gov.cn,2024/9/30,,,,
MF737405,抗病毒甜椒育种技术,常规育种,已完成,第二阶段,大田试验,广西省农科院,广西农业大学,2023-06-20,2023-07-10,2024-07-10,2024-06-01,广西良种科技有限公司,新品种审定申请,广西良种科技有限公司,广西省农业农村厅,https://www.gxny.gov.cn,2024/9/30,,,,
MF035586,高品质辣椒育种技术,转基因育种,正在进行,第一阶段,实验室试验,陕西省农科院,西北农林科技大学,2023-09-15,2023-10-01,2024-10-01,2024-09-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn,2024/9/30,,,,
MF779985,抗病油菜育种技术,常规育种,已完成,第三阶段,区域试验,海南省农科院,海南大学,2023-04-20,2023-05-01,2024-05-01,2024-04-01,海南良种科技有限公司,新品种审定申请,海南良种科技有限公司,海南省农业农村厅,https://www.hainan.gov.cn,2024/9/30,,,,
MF658312,抗盐碱水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,新疆农业科学院,新疆农业大学,2023-06-10,2023-07-01,2024-07-01,2024-06-01,新疆优选生物科技有限公司,新品种审定申请,新疆优选生物科技有限公司,新疆省农业农村厅,https://www.xjagri.gov.cn,2024/9/30,,,,
MF030481,速生双季稻育种技术,常规育种,已完成,第二阶段,区域试验,江南农业大学,江西农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-15,江西良种育成有限公司,新品种审定申请,江西良种育成有限公司,江西省农业农村厅,https://www.jxagri.gov.cn,2024/9/30,,,,
MF035562,抗寒小麦育种技术,常规育种,正在进行,第三阶段,大田试验,黑龙江省农科院,黑龙江农业大学,2023-09-01,2023-09-20,2024-09-20,2024-08-01,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hljagri.gov.cn,2024/9/30,,,,
MF778092,高光效光合生物育种技术,转基因育种,已完成,第一阶段,初步试验,广西农业科学院,广西大学,2023-10-05,2023-10-15,2024-10-15,2024-09-15,广西生物科技有限公司,新品种审定申请,广西生物科技有限公司,广西省农业农村厅,https://www.gxagri.gov.cn,2024/9/30,,,,
MF996253,超级水稻育种技术,转基因育种,正在进行,第二阶段,区域试验,四川省农科院,四川农业大学,2023-11-01,2023-11-15,2024-11-15,2024-10-15,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn,2024/9/30,,,,
MF635142,高粱耐寒育种技术,常规育种,已完成,第一阶段,初步试验,辽宁省农科院,东北农业大学,2023-07-15,2023-08-01,2024-08-01,2024-07-01,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.lnagri.gov.cn,2024/9/30,,,,
MF030481,抗紫外线西红柿育种技术,转基因育种,正在进行,第三阶段,大田试验,天津市农科院,天津农业大学,2023-10-15,2023-11-01,2024-11-01,2024-10-15,天津优果生物科技有限公司,新品种审定申请,天津优果生物科技有限公司,天津市农业农村厅,https://www.tjagri.gov.cn,2024/9/30,,,,
MF035562,抗辐射黄瓜育种技术,常规育种,已完成,第二阶段,区域试验,甘肃省农科院,兰州大学,2023-08-25,2023-09-15,2024-09-15,2024-08-15,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansuagri.gov.cn,2024/9/30,,,,
MF778092,抗虫果树育种技术,转基因育种,正在进行,第一阶段,初步试验,重庆农科院,重庆大学,2023-03-20,2023-04-01,2024-04-01,2024-03-01,重庆果树科技有限公司,新品种审定申请,重庆果树科技有限公司,重庆市农业农村厅,https://www.cqagri.gov.cn,2024/9/30,,,,
MF996253,抗逆境水稻育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF030490,耐盐碱小麦育种技术,转基因育种,已完成,第三阶段,区域试验,宁夏农科院,宁夏大学,2023-05-10,2023-06-15,2024-06-15,2024-05-01,宁夏良种科技有限公司,新品种审定申请,宁夏良种科技有限公司,宁夏省农业农村厅,https://www.nxagri.gov.cn/,2024/9/30,,,,
MF737405,抗逆境玉米育种技术,常规育种,正在进行,第二阶段,田间试验,吉林省农科院,吉林农业大学,2023-06-20,2023-07-01,2024-07-01,2024-06-01,吉林良种科技有限公司,新品种审定申请,吉林良种科技有限公司,吉林省农业农村厅,https://www.jlagri.gov.cn/,2024/9/30,,,,
MF035586,抗旱高粱育种技术,常规育种,已完成,第三阶段,区域试验,甘肃省农科院,甘肃农业大学,2023-10-01,2023-11-01,2024-11-01,2024-10-01,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansu.gov.cn/,2024/9/30,,,,
MF779985,高产抗黄曲霉棉花育种技术,转基因育种,正在进行,第二阶段,实验室试验,陕西省农科院,西北农林科技大学,2023-07-20,2023-08-01,2024-08-01,2024-07-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn/,2024/9/30,,,,
MF658312,抗旱豆角育种技术,常规育种,已完成,第一阶段,田间试验,黑龙江省农科院,黑龙江八一农垦大学,2023-04-27,2023-05-15,2024-05-15,2024-04-15,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hljs.gov.cn/,2024/9/30,,,,
MF996253,超级水稻育种技术,转基因育种,正在进行,第三阶段,大田试验,福建省农科院,福建农林大学,2023-09-30,2023-10-15,2024-10-15,2024-09-15,福建良种科技有限公司,新品种审定申请,福建良种科技有限公司,福建省农业农村厅,https://www.fj.gov.cn/,2024/9/30,,,,
MF030481,高产抗虫水稻育种技术,常规育种,已完成,第二阶段,区域试验,云南省农科院,云南农业大学,2023-11-01,2023-12-01,2024-12-01,2024-11-01,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn/,2024/9/30,,,,
MF035562,抗病虫花椰菜育种技术,转基因育种,正在进行,第一阶段,实验室试验,湖南省农科院,湖南农业大学,2023-12-10,2023-12-20,2024-12-20,2024-11-20,湖南良种科技有限公司,新品种审定申请,湖南良种科技有限公司,湖南省农业农村厅,https://www.hn.gov.cn/,2024/9/30,,,,
MF778092,抗盐碱水稻育种技术,常规育种,正在进行,第一阶段,初步试验,浙江省农科院,浙江大学,2023-01-20,2023-02-10,2024-02-10,2024-01-31,浙江旺禾农业科技有限公司,新品种审定申请,浙江旺禾农业科技有限公司,浙江省农业农村厅,https://www.zgjssw.gov.cn,2024/9/30,,,,
MF996253,耐寒苹果育种技术,常规育种,已完成,第二阶段,区域试验,吉林省农科院,长春农业大学,2023-03-12,2023-04-05,2024-04-05,2024-02-28,吉林果树科技有限公司,新品种审定申请,吉林果树科技有限公司,吉林省农业农村厅,https://www.jl.gov.cn,2024/9/30,,,,
MF635142,高纤维玉米育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江八一农垦大学,2023-05-15,2023-06-10,2024-06-10,2024-04-30,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hlj.gov.cn,2024/9/30,,,,
MF030481,抗虫大豆育种技术,转基因育种,已完成,第三阶段,大田试验,辽宁省农科院,沈阳农业大学,2023-08-10,2023-09-01,2024-09-01,2024-07-15,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.ln.gov.cn,2024/9/30,,,,
MF035562,抗旱小麦育种技术,转基因育种,正在进行,第一阶段,初步试验,河北省农科院,石家庄铁道大学,2023-10-01,2023-10-15,2024-10-15,2024-09-01,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,https://www.heb.gov.cn,2024/9/30,,,,
MF778092,抗逆玉米育种技术,常规育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2023-11-05,2023-11-15,2024-11-15,2024-09-20,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.sc.gov.cn,2024/9/30,,,,
MF996253,耐霜冻马铃薯育种技术,常规育种,正在进行,第三阶段,大田试验,云南省农科院,云南农业大学,2023-12-01,2023-12-05,2024-12-05,2024-11-01,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn,2024/9/30,,,,
MF030490,高产鲜食葡萄育种技术,常规育种,正在进行,第一阶段,初步试验,广西省农科院,广西大学,2024-01-10,2024-02-01,2025-02-01,2024-12-15,广西良种科技有限公司,新品种审定申请,广西良种科技有限公司,广西省农业农村厅,https://www.gx.gov.cn,2024/9/30,,,,
MF737405,抗旱草莓育种技术,转基因育种,已完成,第二阶段,区域试验,海南省农科院,海南大学,2024-02-20,2024-03-10,2025-03-10,2025-01-15,海南良种科技有限公司,新品种审定申请,海南良种科技有限公司,海南省农业农村厅,https://www.hainan.gov.cn,2024/9/30,,,,
MF035586,抗盐水稻育种技术,常规育种,正在进行,第一阶段,初步试验,江苏省农业科学院,中国农业大学,2023-08-05,2023-09-01,2024-09-01,2024-08-01,江苏蓝田生物科技有限公司,新品种审定申请,江苏蓝田生物科技有限公司,江苏省农业农村厅,https://www.jiangsu.gov.cn/,2024/9/30,,,,
MF779985,抗旱小麦育种技术,转基因育种,已完成,第二阶段,区域试验,甘肃省农科院,甘肃农业大学,2023-09-12,2023-10-05,2024-10-05,2024-09-03,甘肃丰禾农业科技有限公司,新品种审定申请,甘肃丰禾农业科技有限公司,甘肃省农业农村厅,https://www.gansu.gov.cn/,2024/9/30,,,,
MF658312,高纤维作物育种技术,常规育种,正在进行,第二阶段,区域试验,广西农业科学院,广西大学,2023-09-20,2023-10-10,2024-10-10,2024-09-15,广西良种科技有限公司,新品种审定申请,广西良种科技有限公司,广西省农业农村厅,https://www.guangxi.gov.cn/,2024/9/30,,,,
MF030481,耐寒玉米育种技术,转基因育种,已完成,第三阶段,大田试验,黑龙江省农科院,黑龙江八一农垦大学,2023-10-05,2023-11-01,2024-11-01,2024-10-01,黑龙江丰收生物科技有限公司,新品种审定申请,黑龙江丰收生物科技有限公司,黑龙江省农业农村厅,https://www.heilongjiang.gov.cn/,2024/9/30,,,,
MF035562,低氮小麦育种技术,常规育种,正在进行,第一阶段,初步试验,新疆农业科学院,新疆农业大学,2023-10-15,2023-11-05,2024-11-05,2024-10-15,新疆良种科技有限公司,新品种审定申请,新疆良种科技有限公司,新疆省农业农村厅,https://www.xinjiang.gov.cn/,2024/9/30,,,,
MF778092,抗逆蔬菜育种技术,转基因育种,正在进行,第二阶段,区域试验,四川省农科院,四川农业大学,2023-11-01,2023-11-20,2024-11-20,2024-10-20,四川珍稀农业科技有限公司,新品种审定申请,四川珍稀农业科技有限公司,四川省农业农村厅,https://www.sichuan.gov.cn/,2024/9/30,,,,
MF996253,超高产水稻育种技术,常规育种,已完成,第三阶段,大田试验,浙江省农科院,浙江大学,2023-11-10,2023-12-01,2024-12-01,2024-11-01,浙江优种农业科技有限公司,新品种审定申请,浙江优种农业科技有限公司,浙江省农业农村厅,https://www.zhejiang.gov.cn/,2024/9/30,,,,
MF635142,健康功能豆类育种技术,转基因育种,正在进行,第一阶段,初步试验,辽宁省农科院,沈阳农业大学,2023-11-20,2023-12-10,2024-12-10,2024-11-20,辽宁德立农业科技有限公司,新品种审定申请,辽宁德立农业科技有限公司,辽宁省农业农村厅,https://www.liaoning.gov.cn/,2024/9/30,,,,
MF030481,耐热棉花育种技术,常规育种,已完成,第二阶段,区域试验,陕西省农科院,西北农林科技大学,2023-12-01,2023-12-20,2024-12-20,2024-11-30,陕西金禾农业科技有限公司,新品种审定申请,陕西金禾农业科技有限公司,陕西省农业农村厅,https://www.shanxi.gov.cn/,2024/9/30,,,,
MF035562,高营养价值水稻育种技术,常规育种,正在进行,第一阶段,初步试验,广西省农科院,广西农业大学,2023-09-12,2023-10-01,2024-10-01,2024-09-30,广西世禾生物科技有限公司,新品种审定申请,广西世禾生物科技有限公司,广西省农业农村厅,https://www.gxny.gov.cn/,2024/9/30,,,,
MF778092,抗逆苹果育种技术,转基因育种,已完成,第三阶段,省级试验,吉林省农科院,吉林农业大学,2023-06-22,2023-07-01,2024-07-01,2024-06-30,吉林果园生物科技有限公司,新品种审定申请,吉林果园生物科技有限公司,吉林省农业农村厅,https://www.jlny.gov.cn/,2024/9/30,,,,
MF996253,耐盐碱作物育种技术,常规育种,正在进行,第一阶段,田间试验,新疆维吾尔自治区农科院,新疆农业大学,2023-08-15,2023-09-01,2024-09-01,2024-08-30,新疆丰收生物科技有限公司,新品种审定申请,新疆丰收生物科技有限公司,新疆自治区农业农村厅,https://www.xjny.gov.cn/,2024/9/30,,,,
MF030490,高效油菜育种技术,转基因育种,已完成,区域试验,大田试验,浙江省农科院,浙江农业大学,2023-04-05,2023-04-10,2024-04-10,2024-03-31,浙江优稼生物科技有限公司,新品种审定申请,浙江优稼生物科技有限公司,浙江省农业农村厅,https://www.zjny.gov.cn/,2024/9/30,,,,
MF737405,绿色环保土豆育种技术,常规育种,正在进行,第二阶段,大田试验,四川省农科院,四川农业大学,2023-11-01,2023-11-15,2024-11-15,2024-11-10,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scny.gov.cn/,2024/9/30,,,,
MF035586,富硒小麦育种技术,转基因育种,已完成,第三阶段,区域试验,湖北省农科院,湖北农业大学,2023-02-20,2023-03-15,2024-03-15,2024-02-28,湖北良种科技有限公司,新品种审定申请,湖北良种科技有限公司,湖北省农业农村厅,https://www.hbny.gov.cn/,2024/9/30,,,,
MF779985,高纤维甘蔗育种技术,常规育种,正在进行,第一阶段,初步试验,云南省农科院,云南农业大学,2023-12-01,2023-12-15,2024-12-15,2024-12-10,云南甜佳生物科技有限公司,新品种审定申请,云南甜佳生物科技有限公司,云南省农业农村厅,https://www.ynny.gov.cn/,2024/9/30,,,,
MF658312,低糖番茄育种技术,转基因育种,已完成,区域试验,大田试验,陕西省农科院,陕西农业大学,2023-07-10,2023-07-15,2024-07-15,2024-06-30,陕西果蔬生物科技有限公司,新品种审定申请,陕西果蔬生物科技有限公司,陕西省农业农村厅,https://www.sxny.gov.cn/,2024/9/30,,,,
MF996253,环保草坪草育种技术,常规育种,正在进行,第一阶段,初步试验,天津市农科院,天津农业大学,2023-10-20,2023-11-01,2024-11-01,2024-10-31,天津草业科技有限公司,新品种审定申请,天津草业科技有限公司,天津市农业农村厅,https://www.tjny.gov.cn/,2024/9/30,,,,
