标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 29710-2022,食品原料农药残留限量标准,2022-07-15,2023-01-01,2022-004,强制性标准,食品生产、进口,食品安全标准,国家市场监督管理总局,农药管理法,食品安全局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 23457-2021,生鲜食品运输标准,2021-09-10,2021-12-01,2021-005,强制性标准,全国生鲜食品物流运输,食品安全标准,国家发展和改革委员会,物流行业标准,国家物流发展促进中心,https://www.ndrc.gov.cn/,2024-09-29,,,,,,,
DB HZ 101-2023,地方食品包装材料标准,2023-04-05,2023-09-30,DB-HZ-001,地方标准,浙江省食品生产、包装,地方食品安全标准,浙江省卫健委,地方食品安全法,省市场监管局,https://www.zj.gov.cn/,2024-09-29,,,,,,,
T/CFC 0021-2020,农产品检测方法标准,2020-05-15,2020-11-01,T-CFC-0021,团体标准,农业生产企业,检测标准,中国农业科学院,农产品质量检验管理办法,农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 5009-2021,食品中重金属检测标准,2021-11-10,2022-05-01,2021-006,强制性标准,食品生产、加工企业,食品安全标准,国家卫生健康委员会,食品安全法,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-29,,,,,,,
DB YN 008-2019,云南省稻米安全标准,2019-06-20,2020-01-01,DB-YN-008,地方标准,云南省食品生产、销售,地方食品安全标准,云南省市场监督管理局,地方食品安全法,地方卫健委,http://www.yn.gov.cn/,2024-09-29,,,,,,,
GB 27949-2023,食品卫生规范标准,2023-03-01,2023-06-01,2023-007,强制性标准,全国食品相关企业,食品安全标准,国家卫生健康委员会,食品卫生法,全国食品安全监督管理局,https://www.nhfpc.gov.cn/,2024-09-29,,,,,,,
T/CFDA 0004-2022,中秋食品安全标准,2022-08-10,2022-10-01,T-CFDA-0004,团体标准,全国糕点生产企业,特殊食品标准,中国食品工业协会,团体标准制定办法,中国质量认证中心,http://www.cqc.com.cn/,2024-09-29,,,,,,,
GB 27835-2023,食用油质检标准,2023-02-20,2023-07-01,2023-008,强制性标准,全国食用油生产、销售,食品安全标准,国家市场监督管理总局,食用油条例,市场监督管理局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB SC 005-2023,地方奶制品标准,2023-05-05,2023-10-01,DB-SC-005,地方标准,四川省奶制品生产企业,地方食品安全标准,四川省健康委员会,地方食品安全法,四川省市场监管局,http://www.sc.gov.cn/,2024-09-29,,,,,,,
GB 2763-2022,食品中重金属限量标准,2022-11-05,2023-01-15,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国疾病预防控制中心,https://www.chinacdc.cn,2024-09-29,,,,,,,
GB/T 20291-2020,植物基食品标签标准,2020-08-12,2021-03-01,2020-005,推荐性标准,植物基食品生产、标签,食品标签标准,国家市场监督管理总局,食品安全法,北京市市场监管局,https://www.beijing.gov.cn,2024-09-29,,,,,,,
NY/T 1001-2023,有机食品认证标准,2023-04-22,2023-06-10,2023-001,强制性标准,有机食品生产、销售,有机食品安全标准,农业农村部,有机产品认证管理办法,中国农业部,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB 13/003-2021,地方食品安全标准：辣椒制品,2021-07-19,2021-12-01,DB-13-003,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省卫生健康委员会,https://www.sc.gov.cn,2024-09-29,,,,,,,
T/CBMI 0001-2024,食品保鲜包装材料标准,2024-01-15,2024-06-01,T-CBMI-0001,团体标准,全国食品生产企业,食品包装标准,中国食品包装协会,团体标准制定办法,中国包装网,https://www.chinapackaging.com,2024-09-29,,,,,,,
GB 14930-2019,食品用塑料材料与制品标准,2019-05-28,2019-11-01,2019-006,强制性标准,塑料食品包装材料,食品安全标准,国家卫生健康委员会,食品安全法,上海市市场监督管理局,https://www.sh.gov.cn,2024-09-29,,,,,,,
T/NFIS 0020-2023,食品产品追溯管理标准,2023-09-10,2024-01-15,T-NFIS-0020,团体标准,全国范围内食品企业,食品安全标准,中国食品产业协会,团体标准制定办法,国家市场监管总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB J31/004-2022,地方食品安全标准：豆制品,2022-02-28,2022-09-10,DB-J31-004,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省卫健委,https://www.jiangsu.gov.cn,2024-09-29,,,,,,,
GB 24854-2023,食品中微生物限量标准,2023-07-01,2023-12-15,2023-002,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,陕西省市场监督管理局,https://www.shaanxi.gov.cn,2024-09-29,,,,,,,
GB 2763-2020,食品中重金属限量标准,2020-11-25,2021-05-01,2020-004,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,https://www.nhfpc.gov.cn,2024-09-29,,,,,,,
GB/T 18587-2021,食品安全管理体系框架标准,2021-08-10,2021-12-01,2021-005,推荐性标准,食品企业的管理和运营,食品安全管理标准,国家市场监督管理总局,食品安全法,中国食品安全网,http://www.cfsi.org.cn,2024-09-29,,,,,,,
DB T34/005-2023,地方食品安全标准：蜂蜜,2023-02-18,2023-07-01,DB-T34-005,地方标准,浙江省食品生产与销售,地方食品安全标准,浙江省市场监管局,地方食品安全法,浙江省食品药品监督管理局,http://www.zjda.gov.cn,2024-09-29,,,,,,,
T/CFDA 0010-2022,植物性食品生产标准,2022-06-05,2022-10-01,T-CFDA-0010,团体标准,全国范围内的植物性食品生产企业,食品安全标准,中国食品安全促进会,团体标准制定办法,中国农业科学院,http://www.caas.cn,2024-09-29,,,,,,,
GB 9685-2023,食品接触材料用添加剂标准,2023-01-15,2023-06-01,2023-006,强制性标准,食品接触材料的生产与使用,食品安全标准,国家市场监督管理总局,食品安全法,中国食物与营养发展研究所,http://www.cfnl.org.cn,2024-09-29,,,,,,,
DB H15/007-2019,地方食品安全标准：肉类加工,2019-09-10,2020-03-01,DB-H15-007,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省卫健委,地方食品安全法,湖南省市场监督管理局,http://www.hunan.gov.cn,2024-09-29,,,,,,,
GB/T 22391-2020,预包装食品标签标准,2020-04-30,2020-10-01,2020-007,推荐性标准,所有预包装食品,食品安全标准,国家市场监督管理总局,食品安全法,国家食品质量监督检验中心,https://www.aqsiq.gov.cn,2024-09-29,,,,,,,
T/CCFA 0005-2021,有机食品认证标准,2021-03-12,2021-09-01,T-CCFA-0005,团体标准,全国范围内有机食品认证企业,食品安全标准,中国绿色食品发展中心,团体标准制定办法,中国农业部,http://www.moa.gov.cn,2024-09-29,,,,,,,
GB 2766-2022,食品中致病微生物限量标准,2022-12-01,2023-03-01,2022-002,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,https://www.nhfpc.gov.cn,2024-09-29,,,,,,,
GB 2790-2023,食品中重金属污染限量标准,2023-04-01,2023-10-01,2023-001,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB/T 29801-2022,有机食品标识标准,2022-09-15,2023-03-01,2022-005,推荐性标准,全国范围内有机食品生产、销售,食品安全标准,中国农业部,有机产品认证实施办法,中国农业科学院,https://www.caas.cn/,2024-09-29,,,,,,,
DB H14/003-2020,地方食品安全标准：生态水产养殖,2020-05-20,2020-11-01,DB-H14-003,地方标准,湖南省水产品养殖企业,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省食品安全监测网络,http://www.hunan.gov.cn/,2024-09-29,,,,,,,
T/CSFA 0010-2022,食品基因编辑技术应用指南,2022-12-01,2023-06-01,T-CSFA-0010,团体标准,全国范围内食品研发企业,基因编辑食品安全标准,中国食品科学技术学会,食品科技标准化指导原则,农产品安全监测中心,https://www.caas.org.cn/,2024-09-29,,,,,,,
GB 28406-2021,植物性食品添加剂使用标准,2021-08-30,2022-02-01,2021-003,强制性标准,植物性食品生产与加工,食品添加剂标准,国家卫生健康委员会,食品安全法,中国食品药品监管局,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
GB 5009.41-2020,非食品类产品污染物检测标准,2020-06-01,2021-01-01,2020-002,强制性标准,各类食品及非食品类产品检测,污染物检测标准,国家市场监督管理局,相关法律法规,中国国家标准化管理委员会,http://www.sac.gov.cn/,2024-09-29,,,,,,,
DB GY61-2023,食品中农药残留限量标准,2023-01-15,2023-07-01,DB-GY-001,地方标准,广东省食品生产企业,地方食品安全标准,广东省农业农村厅,地方食品安全法,广东省食品安全监督管理局,https://www.gda.gov.cn/,2024-09-29,,,,,,,
T/CFA 0035-2022,食品行业员工健康管理标准,2022-10-01,2023-04-01,T-CFA-0035,团体标准,全国范围内食品行业,员工健康管理标准,中国食品行业协会,食品行业管理办法,全国食品安全信息平台,http://www.chinafood.org.cn/,2024-09-29,,,,,,,
GB 27860-2021,冷链物流食品安全标准,2021-07-01,2021-12-15,2021-001,强制性标准,全国冷链食品物流企业,食品物流安全标准,国家市场监督管理局,冷链物流食品安全管理办法,全国冷链物流协会,http://www.ccfa.org.cn/,2024-09-29,,,,,,,
GB 2770-2022,食品中重金属限量标准,2022-08-10,2023-01-01,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国食品药品检定研究院,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
GB 32115-2022,食品营养标签标准,2022-05-15,2023-02-01,2022-005,强制性标准,食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国营养学会,https://www.cnsoc.org/,2024-09-29,,,,,,,
DB S70/002-2023,地方食品安全标准：无添加剂食品,2023-03-20,2023-09-01,DB-S70-002,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,国家食品安全风险评估中心,https://www.cfsa.gov.cn/,2024-09-29,,,,,,,
T/CFIF 0010-2023,食品中微生物检测标准,2023-02-10,2023-07-01,T-CFIF-0010,团体标准,全国范围内食品生产企业,食品安全标准,中国食品工业协会,团体标准制定办法,烟台市市场监督管理局,https://www.cifia.org.cn/,2024-09-29,,,,,,,
GB 31211-2021,食品防腐剂使用标准,2021-11-20,2022-05-01,2021-006,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,北京食品药品监督管理局,https://www.bjda.gov.cn/,2024-09-29,,,,,,,
DB H04/001-2023,地方食品安全标准：高原农产品,2023-04-12,2023-10-01,DB-H04-001,地方标准,青海省食品生产、销售,地方食品安全标准,青海省市场监督管理局,地方食品安全法,中国青海新闻网,http://www.qhnews.com/,2024-09-29,,,,,,,
GB 12345-2020,食品溯源管理标准,2020-04-15,2020-10-01,2020-007,强制性标准,全国范围内食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,全国食品安全信息平台,https://www.foodsafety.gov.cn/,2024-09-29,,,,,,,
T/CFIA 0005-2022,食品包装材料标准,2022-07-25,2023-01-15,T-CFIA-0005,团体标准,全国范围内食品包装企业,食品安全标准,中国食品包装行业协会,团体标准制定办法,广州市市场监督管理局,https://www.chinapack.org/,2024-09-29,,,,,,,
GB 32112-2023,植物性食品安全标准,2023-03-05,2023-08-15,2023-008,强制性标准,全国范围内植物性食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,西北农林科技大学,http://www.nwsuaf.edu.cn/,2024-09-29,,,,,,,
DB N32/002-2024,地方食品安全标准：谷物类产品,2024-01-01,2024-06-01,DB-N32-002,地方标准,新疆维吾尔自治区食品生产、销售,地方食品安全标准,新疆维吾尔自治区市场监管局,地方食品安全法,新疆农业大学,http://www.xjau.edu.cn/,2024-09-29,,,,,,,
GB 2781-2022,食品中农药残留限量标准,2022-07-01,2023-01-01,2022-001,强制性标准,全国范围内食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,http://www.cfs.gov.cn,2024-09-29,,,,,,,
GB 28050-2021,营养标签标准,2021-11-20,2022-05-01,2021-002,强制性标准,食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国疾病预防控制中心,http://www.chinacdc.cn,2024-09-29,,,,,,,
DB T44/003-2023,地方食品安全标准：豆类,2023-02-15,2023-08-01,DB-T44-003,地方标准,山西省食品生产、销售,地方食品安全标准,山西省卫生健康委员会,地方食品安全法,山西省市场监督管理局,http://www.sxjkw.gov.cn,2024-09-29,,,,,,,
T/CFFA 0005-2023,功能性食品标准,2023-03-10,2023-09-01,T-CFFA-0005,团体标准,全国范围内功能性食品生产企业,功能性食品安全标准,中国健康产业协会,团体标准制定办法,食品科技与市场,http://www.foodtechmarket.com,2024-09-29,,,,,,,
GB 28171-2020,食品微生物检测标准,2020-11-15,2021-05-01,2020-003,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家食品质量监督检测中心,http://www.nfqis.gov.cn,2024-09-29,,,,,,,
DB X11/002-2023,地方食品添加剂使用标准：浙江,2023-04-20,2023-10-01,DB-X11-002,地方标准,浙江省食品生产、加工,地方食品安全标准,浙江省市场监管局,地方食品安全法,浙江省食品药品监督管理局,http://www.zjfda.gov.cn,2024-09-29,,,,,,,
T/CFFB 0001-2022,植物性饮料标准,2022-02-28,2022-08-01,T-CFFB-0001,团体标准,全国范围内植物性饮料生产企业,植物性食品标准,中国植物饮料协会,团体标准制定办法,中国食品安全网,http://www.cfsn.com.cn,2024-09-29,,,,,,,
DB R35/001-2023,肉制品质量标准,2023-05-30,2023-11-01,DB-R35-001,地方标准,江苏省肉制品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省食品检验所,http://www.jsfda.gov.cn,2024-09-29,,,,,,,
GB 18587-2018,食品包装材料与容器标准,2018-09-25,2019-03-01,2018-004,强制性标准,食品生产、包装、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全监督管理局,http://www.nmpa.gov.cn,2024-09-29,,,,,,,
T/CFN 0011-2023,过敏源标识标准,2023-06-12,2023-12-01,T-CFN-0011,团体标准,全国范围内食品生产企业,食品安全标准,中国食品学会,团体标准制定办法,中国食品科技网,http://www.foodsciencechina.com,2024-09-29,,,,,,,
GB 4789.38-2022,食品中微生物限量标准,2022-11-10,2023-05-01,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,北京市市场监督管理局,https://www.beijing.gov.cn/,2024-09-29,,,,,,,
DB S32/005-2021,地方食品安全标准：茶叶,2021-07-15,2021-12-01,DB-S32-005,地方标准,云南省食品生产及销售,地方食品安全标准,云南省卫健委,地方食品安全法,云南省市场监督管理局,https://www.yn.gov.cn/,2024-09-29,,,,,,,
T/CFFA 0005-2023,食品营养成分标示标准,2023-02-15,2023-08-01,T-CFFA-0005,团体标准,全国范围内食品生产企业,食品营养信息标准,中国食品科学技术学会,团体标准制定办法,中国食品安全信息网,https://www.cfsan.gov.cn/,2024-09-29,,,,,,,
GB 2763-2019,食品中农药残留限量标准,2019-12-25,2020-06-01,2019-003,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,江苏省市场监督管理局,https://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
GB 14881-2019,食品生产许可通则,2019-03-20,2019-09-01,2019-002,强制性标准,所有食品生产企业,食品生产安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB F42/002-2023,地方食品安全标准：鱼类,2023-04-10,2023-10-01,DB-F42-002,地方标准,广东省食品生产及销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省市场监督管理局,https://www.gd.gov.cn/,2024-09-29,,,,,,,
GB 35622-2021,食品中重金属污染控制标准,2021-09-05,2022-03-01,2021-001,强制性标准,全国范围内食品生产企业,食品安全标准,国家生态环境部,食品安全法,中国生态环境部,https://www.mee.gov.cn/,2024-09-29,,,,,,,
T/SCF 0015-2022,进口食品检验检疫标准,2022-08-30,2023-01-01,T-SCF-0015,团体标准,进口食品进境检验,食品检验安全标准,中国检验检疫协会,进口食品品质安全法,海关总署,http://www.customs.gov.cn/,2024-09-29,,,,,,,
GB/T 20784-2021,植物基食品生产标准,2021-11-11,2022-05-01,2021-003,推荐性标准,植物基食品生产企业,食品安全标准,国家卫生健康委员会,植物基食品质量法,中国植物基食品协会,https://www.plantbasedcn.com/,2024-09-29,,,,,,,
GB 4794-2023,食品生产安全标准,2023-01-20,2023-07-01,2023-005,强制性标准,全国范围内食品生产,食品安全标准,国家市场监督管理总局,食品安全法,黑龙江省市场监督管理局,https://www.hlj.gov.cn/,2024-09-29,,,,,,,
GB 2763-2019,食品中重金属限量标准,2019-05-15,2019-11-01,2019-001,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监管总局,食品安全法,中国食品安全网,http://www.cfda.gov.cn,2024-09-29,,,,,,,
GB 31000-2020,食品供应链管理标准,2020-08-20,2021-03-01,2020-002,推荐性标准,全国范围内食品企业,食品管理标准,国家卫生健康委员会,食品安全法,中国食品报,http://www.cfn.com.cn,2024-09-29,,,,,,,
NY/T 2004-2021,有机食品检测标准,2021-09-12,2022-01-01,2021-001,行业标准,全国范围内有机食品生产企业,食品安全标准,国家农产品质量安全中心,有机产品认证管理办法,新华社,http://www.xinhuanet.com,2024-09-29,,,,,,,
DB 34/T 1049-2023,地方食品安全标准：无公害蔬菜,2023-01-15,2023-06-01,DB-34-002,地方标准,陕西省食品生产、销售,地方食品安全标准,陕西省市场监督管理局,地方食品安全法,陕西日报,http://www.sxdaily.com.cn,2024-09-29,,,,,,,
AQSIQ 007-2020,进口食品检验检疫标准,2020-03-30,2020-09-01,2020-007,强制性标准,境内进口食品,食品安全标准,国家质量监督检验检疫总局,进口食品检验检疫管理办法,海关总署,http://www.customs.gov.cn,2024-09-29,,,,,,,
GB/T 33405-2021,食品过敏源标识规定,2021-11-11,2022-06-01,2021-005,推荐性标准,全国范围内食品生产厂,食品安全标准,国家市场监督管理总局,食品安全法,中国消费者协会,http://www.cca.org.cn,2024-09-29,,,,,,,
GB 4789-2022,食品微生物检验标准,2022-07-01,2023-01-01,2022-003,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,健康中国,http://www.nhc.gov.cn,2024-09-29,,,,,,,
DB 11/T 0001-2023,地方食品安全标准：牛奶,2023-04-20,2023-08-01,DB-11-001,地方标准,北京市食品生产、销售,地方食品安全标准,北京市市场监督管理局,地方食品安全法,北京日报,http://www.bjd.com.cn,2024-09-29,,,,,,,
T/SCFPA 0008-2022,食品添加剂使用管理标准,2022-10-10,2023-05-01,T-SCFPA-0008,团体标准,全国范围内食品添加剂生产企业,食品安全标准,中国食品添加剂和配料协会,团体标准制定办法,食品安全信息网,http://www.fsinfo.gov.cn,2024-09-29,,,,,,,
GB 4454-2022,食品标签营养成分表标准,2022-12-25,2023-06-15,2022-009,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国营养学会,http://www.cns.org.cn,2024-09-29,,,,,,,
GB 2763-2020,食品中农药残留限量标准,2020-07-15,2021-01-01,2020-004,强制性标准,农业生产、食品加工、销售,食品安全标准,国家市场监督管理总局,食品安全法（修订版）,中国食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
DB S65/002-2023,地方食品安全标准：大米,2023-01-10,2023-07-01,DB-S65-002,地方标准,云南省食品生产、销售,地方食品安全标准,云南省卫生健康委员会,地方食品安全法,云南省市场监督管理局,https://www.yn.gov.cn/,2024-09-29,,,,,,,
T/CFFA 0003-2022,食品标签及广告标准,2022-03-22,2022-09-15,T-CFFA-0003,团体标准,全国范围内食品生产企业,食品安全标准,中国食品与营养发展研究中心,团体标准制定办法,中国质量监督管理局,http://www.aqsiq.gov.cn/,2024-09-29,,,,,,,
GB 7718-2023,食品标签与信息要求,2023-04-18,2023-12-01,2023-005,强制性标准,食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,河北省市场监督管理局,http://hbsi.gov.cn/,2024-09-29,,,,,,,
DB N95/001-2022,地方食品安全标准：乳制品,2022-11-30,2023-04-01,DB-N95-001,地方标准,黑龙江省食品生产、销售,地方食品安全标准,黑龙江省卫生健康委员会,地方食品安全法,黑龙江省市场监督管理局,http://hlj.gov.cn/,2024-09-29,,,,,,,
GB 2764-2019,食品包装标准,2019-08-01,2020-02-15,2019-006,强制性标准,全国范围内食品包装企业,食品安全标准,国家市场监督管理总局,食品安全法,全国工商行政管理局,http://www.samr.gov.cn/,2024-09-29,,,,,,,
T/CFAA 0004-2023,食品添加剂评估标准,2023-05-15,2023-11-01,T-CFAA-0004,团体标准,全国范围内食品安全评估,食品添加剂标准,中国食品添加剂和配料协会,团体标准制定办法,中国消费者协会,http://www.cca.org.cn/,2024-09-29,,,,,,,
GB 2765-2023,食品中重金属限量标准,2023-09-10,2024-03-01,2023-007,强制性标准,全国范围内食品生产、销售,食品安全标准,国家环境保护部,环境保护法,中国环境监测总站,http://www.cnemc.cn/,2024-09-29,,,,,,,
DB E34/001-2021,地方食品安全标准：海鲜,2021-05-20,2021-12-01,DB-E34-001,地方标准,广东省海鲜生产、销售,地方食品安全标准,广东省卫生健康委员会,地方食品安全法,广东省市场监督管理局,http://www.gd.gov.cn/,2024-09-29,,,,,,,
GB 26850-2022,食品营养成分标示标准,2022-08-15,2023-01-01,2022-009,强制性标准,全国范围内食品生产企业,食品营养标准,国家市场监督管理总局,食品安全法,中国营养学会,http://www.cnsoc.org/,2024-09-29,,,,,,,
GB 34415-2022,进口食品卫生标准,2022-11-01,2023-01-01,2022-005,强制性标准,进口食品生产与销售,食品安全标准,国家市场监督管理总局,进口食品安全法,中国食品安全信息网,https://www.cfda.gov.cn,2024-09-29,,,,,,,
GB 5009.33-2022,食品中重金属限量标准,2022-05-20,2023-07-01,2022-003,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,北京市场监督管理局,https://www.bjpc.gov.cn,2024-09-29,,,,,,,
DB S12/004-2023,地方食品安全标准：野生菌,2023-02-15,2023-09-01,DB-S12-004,地方标准,云南省食品生产、销售,地方食品安全标准,云南省市场监督管理局,地方食品安全法,食品安全网,https://www.食品安全网.com,2024-09-29,,,,,,,
T/CFFA 0008-2023,天然食品标签标准,2023-04-10,2023-10-01,T-CFFA-0008,团体标准,全国范围内天然食品生产企业,食品标签标准,中国食品安全协会,团体标准制定办法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 2763-2021,食品中农药残留限量标准,2021-09-28,2022-05-01,2021-004,强制性标准,农业食品生产、加工,食品安全标准,农业农村部,食品安全法,中国农业新闻网,https://www.ican农业.com,2024-09-29,,,,,,,
GB 7719-2020,营养标签标准,2020-12-15,2021-06-01,2020-002,强制性标准,食品生产、销售,食品安全标准,国家市场监督管理委员会,食品安全法,新华网,https://www.xinhuanet.com,2024-09-29,,,,,,,
DB ZJ 29/007-2023,地方食品安全标准：茶叶,2023-02-28,2023-09-15,DB-ZJ-007,地方标准,浙江省茶叶生产、加工,地方食品安全标准,浙江省市场监管局,地方食品安全法,浙江日报,https://www.zjrb.cn,2024-09-29,,,,,,,
GB 32825-2021,食品采样标准,2021-03-18,2021-12-01,2021-001,强制性标准,食品检测和实验室,食品安全标准,国家标准化管理委员会,食品安全法,中国质量新闻网,https://www.cqn.com.cn,2024-09-29,,,,,,,
T/CFAA 0005-2022,食品添加剂标示标准,2022-07-22,2022-12-01,T-CFAA-0005,团体标准,全国范围内食品添加剂生产企业,食品添加剂标准,中国食品添加剂和配料协会,团体标准制定办法,食品添加剂信息网,https://www.fim.com.cn,2024-09-29,,,,,,,
DB JS 16/003-2023,地方食品安全标准：水产品,2023-01-20,2023-08-15,DB-JS-003,地方标准,江苏省水产品生产、加工,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏新闻,https://www.js.gov.cn,2024-09-29,,,,,,,
GB 32949-2021,食品中重金属限量标准,2021-11-01,2022-05-01,2021-004,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监管总局官网,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 2763-2022,食品中农药残留限量标准,2022-10-01,2023-04-01,2022-001,强制性标准,全国范围内农产品及食品,食品安全标准,国家卫生健康委员会,食品安全法,食品安全局,https://www.nhc.gov.cn/,2024-09-29,,,,,,,
DB S12/2023,地方食品安全标准：果蔬清洗剂,2023-01-15,2023-07-01,DB-S12-001,地方标准,北京市食品生产、销售,地方食品安全标准,北京市卫健委,地方食品安全法,北京市场监管局,https://wsjkw.beijing.gov.cn/,2024-09-29,,,,,,,
T/CFDA 1003-2023,预包装食品标签标准,2023-05-30,2023-11-01,T-CFDA-1003,团体标准,全国范围内预包装食品生产企业,食品标签标准,中国食品药品检定研究院,团体标准制定办法,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
GB 5009.11-2020,食品中微生物限量标准,2020-02-01,2020-08-01,2020-006,强制性标准,全国范围内食品生产,食品安全标准,国家卫生健康委员会,食品安全法,全国食品安全监测网络,https://www.cfs.gov.cn/,2024-09-29,,,,,,,
DB G34/2022,地方食品安全标准：乳制品,2022-04-10,2022-10-10,DB-G34-003,地方标准,广东省食品生产、销售,地方食品安全标准,广东省市场监管局,地方食品安全法,广东省卫生健康委员会,http://wsjkw.gd.gov.cn/,2024-09-29,,,,,,,
T/SFDA 0204-2023,食品安全风险评估标准,2023-03-20,2023-09-01,T-SFDA-0204,团体标准,全国范围内食品行业,食品安全标准,国家卫生健康委员会,食品安全法,食品安全法治网,http://www.fsafety.gov.cn/,2024-09-29,,,,,,,
GB 7714-2022,食品标签附加信息标准,2022-08-01,2023-01-01,2022-008,强制性标准,全国范围内食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,质量技术监督局,http://www.sac.gov.cn/,2024-09-29,,,,,,,
DB H34/001-2021,地方食品安全标准：农产品,2021-07-15,2021-12-01,DB-H34-001,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监管局,地方食品安全法,湖南省卫健委,http://wsjsw.hunan.gov.cn/,2024-09-29,,,,,,,
GB 5479-2021,食品批发市场管理标准,2021-09-30,2022-03-01,2021-005,强制性标准,全国范围内食品批发市场,食品安全标准,国家市场监管总局,食品安全法,市场监督管理局,http://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 12345-2023,生鲜食品卫生标准,2023-01-10,2023-07-01,2023-001,强制性标准,全国生鲜食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 2763-2020,农药残留限量标准,2020-05-30,2020-12-01,2020-002,强制性标准,农产品生产、加工,食品安全标准,国家农业农村部,农产品安全法,国家农业农村部,https://www.moa.gov.cn/,2024-09-29,,,,,,,
DB H65/003-2023,地方食品安全标准：山葡萄,2023-03-20,2023-09-01,DB-H65-003,地方标准,黑龙江省食品行业,地方食品安全标准,黑龙江省食品药品监督管理局,地方食品安全法,黑龙江省食品药品监督管理局,https://www.hlj.gov.cn/,2024-09-29,,,,,,,
T/CFDA 0003-2022,健康食品生产标准,2022-08-15,2022-11-01,T-CFDA-0003,团体标准,全国健康食品生产企业,食品安全标准,中国食品药品协会,团体标准制定办法,中国食品药品协会,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
