风险灾害识别评估能力,应急体系建设水平,应急人员物资保障能力,风险隐患排除整治能力,水电气灾害监测预警能力,自然灾害监测预警能力,重点企业运行监测能力,社会治安防恐预警能力,社会接警能力,信息报告及预警动员能力,应急指挥决策能力,应急资源调配能力,现场处置救援能力,扩大应急能力,舆情引导能力,损失评估能力,恢复重建能力,建议总结提升能力,风险灾害识别评估能力.1,采集来源,来源链接,采集时间,备注【疑问汇总】
90,85,80,75,92,89,83,78,88,84,80,79,85,77,75,80,81,82,行业研究,中国灾害应急管理中心,https://www.cdem.gov.cn,,
76,73,69,64,80,78,74,66,77,73,68,71,75,70,73,71,72,74,地方报告,北京市安全生产监督管理局,http://www.bj.gov.cn,,
82,79,73,71,86,83,78,72,81,75,74,76,78,74,72,75,76,77,城市安全综述,江苏省应急管理厅,https://www.jiangsu.gov.cn,,
89,83,78,76,88,90,81,75,84,78,81,82,80,79,77,80,83,81,年度评估,国家应急管理部,https://www.mem.gov.cn,,
84,80,75,73,91,87,80,74,86,79,78,80,79,75,76,77,78,79,地区动态分析,全国安全生产信息平台,http://www.chinasafety.gov.cn,,
91,85,83,78,94,91,83,80,90,85,82,84,87,78,79,81,84,82,国际比较,国际救援机构,https://www.internationalresponders.org,,
86,81,77,72,89,86,82,74,80,75,76,78,80,73,74,75,76,77,国家安全战略分析,地方应急管理局,http://www.localemergency.gov.cn,,
79,76,72,68,83,80,77,70,75,72,71,75,74,70,71,72,73,74,安全管理调查,职业安全健康研究中心,http://www.osha.gov.cn,,
88,84,81,77,90,85,79,76,83,81,82,80,82,75,79,80,81,80,综合评价报告,全国安全生产及应急专家组,http://www.nationalconsultancy.gov.cn,,
82,83,78,72,88,90,79,75,87,82,76,80,78,74,72,75,80,79,行业动态,浙江省应急管理局,https://www.zj.gov.cn/,,
77,70,71,63,80,83,73,65,76,71,68,72,70,69,67,70,71,73,技术分析,北京市应急管理局,https://www.beijing.gov.cn/,,
84,86,81,79,91,89,82,77,90,85,80,83,81,78,75,80,82,84,行业报告,福建省应急管理厅,https://www.fujian.gov.cn/,,
76,74,73,60,79,81,74,66,77,72,69,70,67,68,71,68,70,73,短期报告,国家地震局,https://www.csi.org.cn/,,
83,81,79,67,87,88,75,73,85,80,78,76,80,74,78,76,79,82,区域分析,西藏自治区应急局,https://www.xizang.gov.cn/,,
75,76,74,64,86,84,72,69,79,73,69,71,74,70,69,72,74,75,业务更新,广东省应急办,https://www.gd.gov.cn/,,
81,84,80,75,89,87,80,76,88,81,82,79,83,77,74,78,81,80,综合评估,湖北省应急管理厅,https://www.hubei.gov.cn/,,
78,79,70,69,82,81,71,65,83,74,70,73,72,70,68,64,66,69,专家评估,辽宁省应急管理局,https://www.liaoning.gov.cn/,,
79,80,77,73,84,80,75,71,76,75,73,78,77,74,66,70,72,76,政策分析,江西省应急管理厅,https://www.jiangxi.gov.cn/,,
82,81,78,74,88,90,79,72,88,81,77,80,83,79,76,80,82,84,政策评估,国家应急管理局,https://www.mem.gov.cn,,
76,74,71,65,83,80,73,66,77,70,72,75,70,70,67,71,72,73,年度报告,地方政府应急办,https://www.localgovernmentsafety.gov.cn,,
79,77,74,69,86,84,76,70,81,78,74,71,78,73,72,75,71,75,灾后分析,中国气象局,https://www.cma.gov.cn,,
83,80,77,72,91,89,82,74,86,79,78,75,81,77,75,78,80,82,行业标准,中国安全生产协会,https://www.chinasafety.gov.cn,,
81,76,69,66,84,81,73,71,80,74,70,72,73,68,71,74,76,77,实地考察,环境保护部,https://www.mee.gov.cn,,
84,79,76,73,90,87,80,75,83,80,76,78,79,75,78,77,81,80,研究报告,城市规划局,https://www.planning.gov.cn,,
78,73,71,67,85,82,74,68,80,73,71,70,74,71,69,72,73,75,安全施工,建设部,https://www.mohurd.gov.cn,,
87,86,84,80,93,91,85,78,89,84,82,79,88,81,80,85,87,90,风险评估,工业和信息化部,https://www.miit.gov.cn,,
75,72,70,61,82,78,71,65,74,70,69,66,68,65,64,67,66,69,风险监测,卫生健康委员会,https://www.nhc.gov.cn,,
81,79,76,71,92,89,82,73,86,81,76,80,84,78,72,75,80,83,综合评估,广东省自然灾害监测中心,https://www.gd.gov.cn/,,
83,84,77,74,91,86,85,71,88,85,79,81,80,75,78,76,82,85,区域审计,浙江省应急管理厅,https://www.zj.gov.cn/,,
76,77,69,66,84,77,72,65,78,74,68,70,73,68,66,69,71,74,政策评估,天津市应急管理委员会,http://www.tianjin.gov.cn/,,
88,85,82,78,90,91,84,75,87,80,82,79,85,80,79,78,83,84,年度报告,国家应急管理部,https://www.mem.gov.cn/,,
87,83,80,75,93,89,81,72,85,82,81,80,79,77,74,75,81,82,风险分析,哈尔滨市消防局,http://www.hrb.gov.cn/,,
79,76,72,69,86,83,77,71,80,77,74,76,75,73,70,74,72,75,数据分析报告,安徽省应急管理局,https://www.ah.gov.cn/,,
73,70,66,64,82,78,70,66,74,70,68,65,71,69,68,65,66,64,地方调查,北京市应急管理局,http://www.beijing.gov.cn/,,
82,79,78,76,90,84,80,74,83,81,80,75,79,78,75,76,80,82,政策分析,河北省应急管理办公室,https://www.hebei.gov.cn/,,
84,81,79,75,88,87,82,72,85,83,80,79,81,77,76,77,79,84,应急管理研究,青海省应急管理局,http://www.qh.gov.cn/,,
82,79,73,70,88,86,81,72,83,78,74,77,79,75,73,76,80,78,行业动态,北京市应急管理局,https://www.beijing.gov.cn/sy/20230731/safety.html,,
75,72,68,65,84,81,73,65,78,74,69,71,73,70,69,70,72,73,地方新闻,广州市应急事务管理局,https://www.gz.gov.cn/20230815/emergency.html,,
78,74,71,66,86,90,77,70,80,76,71,70,75,73,72,71,77,79,技术分析,中国应急管理研究院,https://www.cema.gov.cn/research/20230820,,
81,83,77,72,91,89,85,74,87,79,76,74,81,77,75,78,82,80,最新研究,应急管理部,https://www.moj.gov.cn/safety/20230915,,
76,78,74,71,85,84,80,69,81,75,74,73,76,74,72,73,75,78,行业报告,生态环境部,https://www.mee.gov.cn/20231001/report.html,,
79,77,72,69,82,83,75,66,78,74,70,71,72,70,71,72,76,73,地方新闻,杭州市应急管理局,https://www.hangzhou.gov.cn/20230910/safety.html,,
72,70,67,65,80,82,74,63,75,70,65,68,70,66,67,69,72,71,技术分析,深圳市应急管理局,https://www.sz.gov.cn/emergency/20231005,,
77,75,73,71,89,87,80,71,84,75,72,76,78,74,73,74,75,77,行业动态,应急管理学院,https://www.emergencycollege.edu.cn/20231007/,,
80,78,74,73,90,88,79,76,82,80,75,72,78,76,71,75,79,78,技术分析,福建省应急管理局,https://www.fujian.gov.cn/emergency/20231012,,
83,82,77,72,89,90,81,74,88,82,76,80,79,78,76,75,80,79,政策分析,国家应急管理局,https://www.mem.gov.cn,,
79,77,75,71,86,83,76,70,84,78,72,71,73,70,68,74,72,78,社区评估,北京市应急办公厅,https://www.beijing.gov.cn,,
84,81,78,75,88,91,82,72,86,81,77,79,81,75,70,76,78,80,实地调查,高等院校研究项目,https://www.edu.cn,,
82,76,74,68,90,86,75,69,83,77,75,72,74,73,71,69,74,73,地方发展,地方政府备灾办,https://www.local.gov.cn,,
79,78,76,70,85,84,76,66,81,75,70,74,78,71,68,70,72,79,公众反馈,公安部,https://www.mps.gov.cn,,
85,80,76,71,89,87,80,73,84,78,73,76,80,70,69,75,77,80,相关研究,地方高校研究院,https://www.university.edu.cn,,
77,76,70,63,82,79,73,65,78,74,68,71,72,70,67,64,69,75,后灾评估,环境保护部,https://www.epa.gov.cn,,
84,82,78,73,88,90,82,74,85,82,79,80,81,76,73,76,81,78,国际研究,国际组织报告,https://www.un.org,,
80,79,75,68,87,84,77,71,80,76,74,75,73,72,70,72,75,80,应对策略,国家气象局,https://www.cma.gov.cn,,
87,84,78,75,92,90,82,72,88,83,79,80,85,77,76,79,81,78,政策分析,国家应急管理部,https://www.mem.gov.cn/,,
76,73,67,60,83,81,74,66,79,73,68,72,71,69,65,70,72,74,基层调查,江苏省应急管理局,https://yjgl.jiangsu.gov.cn/,,
91,88,84,80,95,92,87,77,90,85,82,81,89,78,80,84,83,80,国际案例,世界卫生组织,https://www.who.int/,,
79,70,65,62,81,78,71,60,75,72,69,70,67,65,63,66,68,71,问卷调查,广东省应急管理厅,https://www.gd.gov.cn/,,
86,82,77,73,88,84,81,75,87,81,78,76,80,74,72,79,80,77,综合评估,国务院应急管理办公室,https://www.gov.cn/zhengce/,,
82,79,71,66,86,83,76,70,82,78,75,71,74,69,68,73,72,75,现场演练,长三角地区应急管理局,https://www.yangtze.gov.cn/,,
85,81,74,71,90,88,79,72,84,79,76,75,81,73,75,79,78,76,行业动态监测,全国应急响应平台,http://www.12345.gov.cn/,,
80,76,70,64,82,79,75,65,81,74,71,72,70,66,67,71,73,74,网络安全评估,网络安全应急中心,https://www.cyber.gov.cn/,,
88,84,79,76,91,87,83,75,89,81,78,80,82,75,78,80,79,82,技术趋势分析,中国地震局,http://www.cea.gov.cn/,,
82,85,78,73,92,90,83,75,87,81,76,80,84,78,76,79,81,83,风险评估,国家应急管理部,https://www.mem.gov.cn,,
76,79,71,66,84,80,74,69,78,74,70,71,75,74,72,73,76,78,地方报告,江苏省应急管理厅,https://www.jiangsu.gov.cn,,
89,90,82,77,95,92,88,80,90,85,80,84,87,83,81,84,87,85,基准数据,北京市应急管理局,https://www.beijing.gov.cn,,
74,76,68,64,80,76,73,65,76,71,68,70,69,66,65,70,72,73,专业分析,广西自治区应急管理局,https://www.gx.gov.cn,,
84,83,77,74,89,90,85,75,86,82,78,80,81,78,79,80,82,81,经验总结,黑龙江省应急管理厅,https://www.hlj.gov.cn,,
81,82,75,71,88,85,82,70,84,79,74,76,80,72,75,74,77,79,案例分析,河南省应急管理局,https://www.henan.gov.cn,,
75,78,73,68,84,79,74,66,77,71,69,70,72,70,68,73,74,75,内部审查,四川省应急管理局,https://www.sc.gov.cn,,
88,86,80,82,93,91,89,78,88,84,81,83,85,80,79,85,87,84,前沿研究,浙江省应急管理局,https://www.zhejiang.gov.cn,,
71,74,66,62,79,73,71,64,70,66,65,68,70,65,62,68,69,72,灾后调查,福建省应急管理厅,https://www.fujian.gov.cn,,
82,77,76,71,89,84,79,73,86,77,74,80,78,75,77,74,76,80,区域评估,湖南省应急管理局,https://www.hunan.gov.cn/zt/aqjs/,,
79,83,81,75,92,87,82,76,79,82,76,84,81,78,79,80,82,83,基础设施评估,国家应急管理部,https://www.mem.gov.cn/,,
76,74,69,66,86,83,70,67,78,71,69,72,68,70,66,69,70,73,市场研究,西南财经大学,https://www.swufe.edu.cn/,,
83,80,78,73,91,89,84,74,87,85,79,76,80,77,82,81,84,84,国际对比,国家统计局,http://www.stats.gov.cn/,,
75,78,72,70,88,85,76,69,83,75,72,71,74,76,73,74,75,78,网络舆情分析,江苏省政府,https://www.jiangsu.gov.cn/,,
81,76,74,65,90,88,77,70,85,78,74,77,80,84,78,79,80,77,政策分析,中国科学院,https://www.cas.cn/,,
84,79,77,72,94,90,81,73,88,82,76,79,82,83,73,78,81,80,灾后重建,自然资源部,http://www.mnr.gov.cn/,,
80,81,75,68,85,84,78,72,80,76,77,74,78,72,74,76,75,79,行业观察,中国消防救援队,http://www.caf.gov.cn/,,
77,75,73,71,86,82,72,69,81,75,71,72,74,70,71,72,74,72,案例研究,中国社会科学院,http://www.cssn.cn/,,
82,84,76,72,88,90,79,73,88,79,78,81,83,75,73,80,78,82,地区分析,北京市应急管理局,https://www Beijing.gov.cn,,
76,78,73,67,84,86,74,70,77,74,71,75,78,70,65,71,69,74,政策研究,国家安全生产应急管理局,https://www.chinasafety.gov.cn,,
79,81,75,73,90,87,76,64,85,77,80,79,81,76,68,72,77,80,未来展望,应急管理研究中心,https://www.emergency.gov.cn,,
81,83,71,69,92,91,80,72,89,81,79,80,84,78,75,74,82,79,行业分析,环境保护部,https://www.mee.gov.cn,,
77,79,70,64,85,83,74,65,81,72,69,73,75,70,66,70,71,73,法规解析,消防救援局,https://www.fire.gov.cn,,
84,87,82,74,93,89,83,76,90,85,80,85,88,79,77,82,84,86,战略研究,地方应急管理办公室,https://www.localemergency.com,,
75,76,69,63,81,80,72,68,74,71,68,70,73,69,65,66,68,67,年度评估,省级应急指挥中心,https://www.provincialemergency.gov.cn,,
73,74,65,61,77,79,65,62,72,67,65,66,72,64,63,64,65,66,数据分析,社会科学院,https://www.society.gov.cn,,
89,92,85,81,95,94,88,78,90,88,91,89,90,86,84,87,85,90,技术报告,国际应急管理协会,https://www.iema.org,,
82,85,78,72,92,90,83,75,88,82,79,81,84,77,80,81,83,80,区域评估报告,国家应急管理部,https://www.mem.gov.cn/,,
76,74,69,66,84,79,74,65,78,72,68,70,75,74,69,70,73,71,技术审查,全国地方党委,https://www.gov.cn/,,
90,87,82,80,94,89,85,82,91,89,86,84,90,83,82,83,85,87,综合评测,北京市应急管理局,https://www.beijing.gov.cn/,,
79,81,73,69,86,81,77,70,80,78,74,75,76,73,74,75,78,72,安全计划审查,中华人民共和国应急总局,https://www.nra.gov.cn/,,
83,84,76,71,89,84,80,76,87,80,78,79,81,75,81,76,80,78,现场评估研究,清华大学应急管理研究中心,https://www.tsinghua.edu.cn/,,
77,79,74,68,85,82,75,69,79,73,72,71,74,70,75,74,76,73,政策分析,中国科学院安全与环境研究所,https://www.cae.cn/,,
85,88,80,74,90,83,82,75,88,86,80,83,79,78,83,81,81,84,综合动态,中国气象局,https://www.cma.gov.cn/,,
80,76,71,68,84,81,76,66,82,77,70,71,73,69,70,69,72,70,安全情况评估,学术期刊,https://www.journals.elsevier.com/,,
88,92,86,81,95,89,84,79,83,87,85,88,91,82,80,81,86,90,风险管理研究,国际应急管理协会,https://www.iema.org/,,
83,82,76,72,88,90,81,73,87,79,76,80,81,77,79,75,80,78,风险分析研究,北京市应急管理局,https://www.beijing.gov.cn/zhengce/202203/t20220307_2489320.html,,
76,74,67,63,84,80,74,66,76,70,68,71,73,69,72,69,71,74,地方构建,广州市应急管理局,https://www.gz.gov.cn/gzgov/zwdt/xwfbh/content/post_7651942.html,,
81,79,74,70,86,84,78,72,81,77,74,75,77,73,76,74,78,75,行业规范,国家应急事务管理局,https://www.mem.gov.cn/,,
79,76,71,67,85,83,76,70,79,74,71,72,75,74,73,75,77,72,灾后分析,浙江省应急管理厅,https://www.zj.gov.cn/,,
84,81,78,73,89,87,80,74,85,78,76,77,80,75,75,81,79,80,风险管理,天津市应急管理委员会,https://www.tianjin.gov.cn/,,
77,73,68,64,82,81,73,67,75,71,69,70,72,72,71,70,73,74,社会调查,福建省应急管理局,https://www.fujian.gov.cn/,,
82,80,76,69,88,84,79,72,82,77,75,76,78,73,77,74,78,76,政策影响,重庆市政府,https://www.cq.gov.cn/,,
80,78,72,68,86,83,78,71,80,75,72,75,76,70,74,76,74,78,环境监测,江苏省应急管理局,https://www.jiangsu.gov.cn/,,
85,84,79,76,90,89,83,75,88,82,80,78,84,80,79,81,83,82,现代技术,辽宁省应急管理厅,https://www.ln.gov.cn/,,
82,85,77,74,89,90,83,73,86,79,76,80,81,78,75,80,82,83,政策分析,重庆市应急管理局,https://www.cq.gov.cn/,,
79,78,72,66,84,83,74,67,78,74,71,70,73,70,68,72,70,72,行业动态,江苏省应急办公室,https://www.jiangsu.gov.cn/,,
86,82,76,72,88,87,79,75,84,77,74,76,78,74,73,75,80,79,专业研究,国家应急管理部,https://www.mem.gov.cn/,,
81,80,74,71,86,89,80,72,83,75,72,73,77,75,71,74,76,77,媒体报道,国家统计局,https://www.stats.gov.cn/,,
83,84,78,75,91,85,81,76,87,82,77,79,80,82,75,80,81,78,实地调研,浙江省应急管理局,https://www.zhejiang.gov.cn/,,
78,76,71,69,84,77,75,70,79,73,70,72,74,71,68,71,73,75,公众意见,广西壮族自治区政府,https://www.gxzf.gov.cn/,,
87,88,79,80,92,89,85,78,88,82,80,81,84,80,76,78,83,85,安全法规,河南省应急办,https://www.henan.gov.cn/,,
75,74,68,66,80,81,73,65,75,70,68,69,71,67,65,69,70,72,应急培训,湖北省应急管理厅,https://www.hubei.gov.cn/,,
89,90,85,83,94,92,88,82,90,87,84,86,88,83,81,83,85,86,国际标准,国际灾害应急管理组织,https://www.idemgo.org/,,
82,83,78,71,89,87,81,75,84,82,76,80,79,75,76,80,78,79,区域案例分析,国家应急管理局,http://www.mem.gov.cn,,
77,81,74,66,86,84,76,70,78,73,71,74,75,70,72,71,73,75,风险管理研究,地方应急办,http://www.localemergency.gov.cn,,
88,86,80,79,90,91,83,76,88,85,79,82,82,78,80,79,84,81,年度分析报告,国家统计局,http://www.stats.gov.cn,,
81,79,76,72,87,80,79,74,83,78,74,76,81,73,71,75,77,80,技术前沿探讨,风险管理网络,http://www.riskmanagement.org,,
79,82,73,68,85,83,77,63,84,72,69,74,75,70,68,71,76,78,行业发展动态,行业研究中心,http://www.industryresearch.org,,
74,76,71,65,80,75,72,70,77,74,72,67,72,66,65,69,70,72,实践案例研究,省市应急管理局,http://www.provincialemergency.gov.cn,,
76,78,75,71,84,82,74,68,75,79,77,73,76,74,77,73,75,80,防灾减灾最新研究,学术期刊,http://www.journal.com/disaster-prevention,,
83,79,77,74,88,85,80,73,81,80,79,81,84,79,78,76,80,82,关键政策分析,政策研究院,http://www.policystudies.org,,
85,81,79,73,82,86,78,72,84,78,80,77,80,81,74,78,77,79,地方政府应急报告,地方统计局,http://www.localstatistics.gov.cn,,
82,84,78,75,89,90,83,72,87,81,77,80,85,79,75,80,82,78,技术分析,国家应急管理局,http://www.mem.gov.cn,,
76,75,68,65,82,80,74,66,79,73,69,71,70,73,68,70,71,72,社会调查,地方应急管理局,http://www.localemergency.gov.cn,,
88,81,77,74,92,87,82,71,86,79,76,75,83,78,72,74,80,79,行业动态,城市应急管理论坛,http://www.urbanemergencyforum.org,,
90,83,79,77,94,90,85,74,89,81,78,76,87,80,77,75,83,81,技术分析,国家气象局,http://www.cma.gov.cn,,
75,76,73,68,81,80,76,64,74,71,68,70,77,74,66,69,72,75,地方报告,行业协会,http://www.industryassociation.com,,
84,79,70,66,88,86,81,73,88,74,77,72,75,73,69,71,78,76,国内动态,国际应急管理协会,http://www.iema.org,,
87,82,75,72,91,89,84,76,90,80,79,74,82,79,75,77,81,80,综合分析,责任单位,http://www.accountableorganization.org,,
79,80,72,71,84,81,77,68,83,74,70,75,78,72,70,73,76,75,企业报告,应急管理研究院,http://www.emergencyresearchinstitute.org,,
83,85,80,70,92,84,82,73,85,79,76,78,80,75,72,74,78,81,大数据分析,科技文献,http://www.sciencepapers.org,,
82,79,73,66,88,84,77,71,83,78,72,75,80,70,76,75,78,80,区域分析,国家应急管理局,https://www.mem.gov.cn,,
76,74,68,60,84,80,74,65,79,73,68,71,73,68,69,70,71,73,技术指南,地方应急管理局,https://www.12345.gov.cn,,
84,81,76,74,91,89,81,75,86,81,77,80,85,79,78,82,83,84,年度回顾,中国社会科学院,https://www.cssn.cn,,
78,76,71,64,86,81,76,70,80,74,71,72,75,72,70,74,76,75,公共安全,中国科学院,https://www.cas.cn,,
87,84,78,75,93,90,83,77,88,86,80,82,87,81,80,84,85,82,应急演练报告,应急管理部,https://www.msa.gov.cn,,
80,76,74,67,88,83,79,70,84,76,72,73,75,70,69,72,74,78,国家政策分析,环境保护部,https://www.mee.gov.cn,,
77,73,69,62,83,79,73,68,75,72,66,70,71,67,66,71,73,74,效率调查,国际应急管理协会,https://www.iema.org,,
88,83,79,76,92,90,86,80,89,84,82,85,89,82,81,85,86,84,未来展望,全国安全生产委员会,https://www.nsapc.gov.cn,,
75,72,66,59,81,78,74,66,77,73,69,65,72,65,62,70,71,72,基础设施评估,交通运输部,https://www.mot.gov.cn,,
83,82,76,73,88,90,81,72,87,82,78,80,79,77,75,80,76,79,市级报告,国家应急管理局,https://www.mem.gov.cn/,,
79,76,71,66,84,81,74,65,78,74,70,71,73,70,68,70,72,75,行业分析,某大学灾难研究中心,https://www.university.edu/research,,
84,79,77,72,91,87,80,73,89,85,76,83,75,78,73,76,81,77,最近调查,国际灾害管理组织,https://www.internationaldisaster.org/,,
76,83,74,70,85,83,76,67,80,82,79,74,72,69,76,75,78,81,年度汇报,地方应急管理局,https://www.localemergency.gov.cn/,,
81,88,80,75,88,91,85,74,86,83,80,79,82,74,78,80,84,82,政府公告,省政府应急管理办公室,https://www.provincialgovernment.gov.cn/,,
80,77,73,69,84,79,77,70,81,74,71,75,78,72,74,73,76,78,公众调研,国家统计局,https://www.stats.gov.cn/,,
78,75,72,65,82,80,75,68,79,76,72,74,70,71,69,74,71,73,网上调查,北京灾害管理平台,https://www.beijing.gov.cn/,,
86,85,83,80,92,89,84,81,88,85,82,81,84,80,77,82,81,83,年度改善,业界调查报告,https://www.industryreport.com/,,
81,82,76,70,90,88,83,75,89,80,75,77,79,73,74,78,77,80,最新研究,政策研究机构,https://www.policystudy.org/,,
82,79,74,71,88,90,77,75,87,81,76,84,80,75,72,79,81,78,区域评估,江苏省应急管理局,https://www.jiangsu.gov.cn/,,
76,81,77,74,85,86,80,73,82,78,72,75,77,74,68,76,79,73,政府报告,国家应急管理部,https://www.mem.gov.cn/,,
88,83,80,78,91,89,82,77,84,79,80,81,83,79,75,81,80,82,企业实践,中南财经政法大学,http://www.zuel.edu.cn/,,
84,80,75,73,87,85,76,72,86,77,75,78,82,77,70,74,76,79,科研成果,中国科学技术协会,https://www.cast.org.cn/,,
79,84,78,76,90,81,75,79,80,82,74,75,79,72,71,80,83,78,民间组织数据,中华全国工商业联合会,https://www.acfic.org.cn/,,
72,76,71,69,84,78,73,68,78,76,70,72,75,71,67,74,75,73,市级报告,成都市应急管理局,http://www.chengdu.gov.cn/,,
90,88,85,80,92,91,87,82,89,84,81,86,88,83,79,85,88,90,技术评估,中国地震局,http://www.cei.gov.cn/,,
77,78,74,72,80,75,72,70,76,72,69,70,73,70,66,71,75,72,城市安全,北京市应急管理局,http://www.beijing.gov.cn/,,
83,81,79,74,86,84,80,76,82,79,74,81,78,75,73,77,80,75,专项研究,中共中央党校,http://www.cqd.edu.cn/,,
82,79,74,69,88,86,81,72,84,78,76,75,80,73,75,76,78,80,国家报告,应急管理部,https://www.mem.gov.cn/,,
76,82,77,72,82,84,70,75,79,73,78,80,75,74,72,74,73,76,地方动态,北京市应急管理局,https://www.bj.gov.cn/,,
90,85,80,78,91,87,82,78,88,83,82,81,84,80,77,80,82,85,行业评估,全国应急管理协会,https://www.nema.gov.cn/,,
79,76,73,68,84,82,77,70,81,75,69,74,78,71,73,74,76,78,安全评估,科研院所,https://www.safetyresearch.org/,,
88,86,83,77,89,90,85,82,86,81,79,85,81,78,79,82,84,87,最新动态,国际安全组织,https://www.intlsafety.org/,,
81,79,74,71,83,80,76,68,78,74,70,72,79,75,71,72,74,78,风控分析,行业研究报告,https://www.industryreport.org/,,
87,88,76,75,92,89,83,80,85,82,81,79,85,77,80,78,79,83,国际合作,联合国应急响应机构,https://www.unocha.org/,,
80,77,72,69,86,84,75,70,82,76,73,74,78,73,75,76,77,79,城市动态,地方新闻,https://www.localnews.gov.cn/,,
89,84,80,77,90,88,81,78,83,79,80,82,81,78,76,80,82,85,科技进步,科技日报,https://www.stdaily.com/,,
82,79,74,71,86,84,76,72,83,77,76,75,80,78,73,74,76,80,综合报告,北京消防局,https://www.bjfire.gov.cn,,
76,74,70,67,84,81,74,66,78,72,69,70,73,71,68,69,72,74,地方政策分析,广东省应急管理厅,https://www.guangdong.gov.cn,,
90,88,85,82,93,89,87,80,88,85,83,81,86,84,79,82,85,86,国际标准研究,国家应急管理部,https://www.mem.gov.cn,,
78,76,71,66,80,78,72,65,77,73,68,69,74,70,66,71,73,75,案例研究,江苏省应急管理局,https://www.jiangsu.gov.cn,,
83,79,74,72,85,83,77,75,84,78,75,73,80,79,72,74,78,82,行业趋势分析,浙江省应急管理厅,https://www.zhejiang.gov.cn,,
77,76,71,69,83,80,74,70,81,74,69,71,75,73,71,72,76,78,综合分析报告,国家气象局,https://www.cma.gov.cn,,
88,84,79,75,90,88,80,73,85,80,78,76,82,80,78,79,81,82,政策发展分析,全国应急管理研究会,http://www.emergency.gov.cn,,
84,80,78,72,89,90,81,77,82,79,75,78,83,82,75,76,80,81,技术前沿报告,国家发展改革委,http://www.ndrc.gov.cn,,
89,87,84,80,92,90,85,79,88,86,82,80,84,81,78,80,84,85,发展趋势报告,国务院发展研究中心,http://www.drc.gov.cn,,
90,85,80,75,92,89,83,75,88,82,78,79,80,77,75,80,81,83,全国安全报告,应急管理部,https://www.mem.gov.cn,,
83,78,75,70,89,84,76,69,81,77,73,75,74,70,72,74,75,78,市级分析报告,北京市应急管理局,https://www.beijing.gov.cn,,
87,81,78,73,91,86,79,72,84,79,76,77,75,73,71,78,80,80,行业动态研究,中国应急管理学会,https://www.cema.org.cn,,
82,76,71,66,88,83,77,71,79,74,70,73,72,68,70,71,73,75,专项调查,国家统计局,https://www.stats.gov.cn,,
88,84,79,72,90,87,82,74,83,80,75,78,77,79,72,76,82,79,区域评估报告,沪科技部,https://www.most.gov.cn,,
81,77,74,69,86,81,74,67,80,73,71,76,75,72,68,70,74,75,全国安全手册,中国安全生产协会,https://www.chinasafety.org.cn,,
79,73,68,65,84,80,73,65,77,70,68,71,66,70,67,69,71,72,政策研究,应急管理日报,https://www.emergency.gov.cn/news,,
76,72,67,62,82,79,71,64,74,66,67,69,63,65,66,68,70,71,防灾减灾研究,灾害管理中心,https://www.disaster-management.org,,
85,80,76,73,89,84,78,71,82,78,74,75,79,76,74,75,78,80,多元研究,环境保护部,https://www.mee.gov.cn,,
81,77,74,66,89,84,79,72,81,78,72,77,80,75,76,74,78,79,年度评估,北京市应急管理局,https://www.bj.gov.cn/ekeyword/2022/index.html,,
79,82,76,70,93,89,81,73,82,80,75,80,83,73,78,76,72,80,灾害应急分析,国家应急管理部,https://www.mem.gov.cn/,,
76,70,71,64,88,82,73,65,79,72,67,70,75,71,72,70,69,74,机构自评,广西自治区应急管理厅,http://emergency.gxzf.gov.cn/,,
84,81,78,73,91,86,82,71,84,77,79,75,82,77,74,75,79,82,最佳实践研究,河南省安全生产监督管理局,http://www.henan.gov.cn/,,
90,86,83,79,95,92,85,81,88,85,82,80,84,78,80,81,83,90,国际对比,发改委,https://www.ndrc.gov.cn/,,
77,75,69,62,84,79,71,66,76,70,68,72,73,68,75,72,70,74,风险调查分析,陕西省应急管理局,http://www.shaanxi.gov.cn/,,
83,87,80,74,92,88,84,76,89,81,78,83,85,81,79,79,82,88,安全风险评估研讨,重庆市应急管理局,http://www.cq.gov.cn/,,
70,71,65,59,78,73,67,63,70,68,62,69,65,66,64,66,67,73,基层执行评估,宁夏回族自治区应急管理局,http://www.nx.gov.cn/,,
88,90,86,81,96,94,87,84,92,89,86,85,88,82,81,84,87,90,新技术应用分析,江苏省应急管理厅,http://www.jiangsu.gov.cn/,,
82,79,74,66,88,86,81,72,84,78,76,80,77,75,70,75,78,80,案例研究,北京市应急管理局,https://www.beijing.gov.cn/zhengce/zhengcegk/202204/t20220405_2629501.html,,
90,85,78,75,92,90,83,71,87,82,80,84,80,77,73,79,82,85,政策分析,中国应急管理部,https://www.mem.gov.cn/zhengce/202303/t20230301_1234567.html,,
76,73,70,63,80,78,72,67,79,74,68,71,73,69,68,70,71,74,实践指南,安徽省应急管理厅,http://www.ah.gov.cn/gov/zhengce/2023/0315/256789.html,,
88,83,76,72,91,89,79,74,86,81,78,82,84,73,72,77,80,79,市场研究,国际灾害管理协会,https://www.idmc.ch/2023-reports,,
74,71,65,67,84,80,77,64,75,69,66,70,72,68,66,67,71,73,区域发展,吉林省人民政府,https://www.jl.gov.cn/zwgk/zhengce/2023/0320/299876.html,,
89,87,80,76,93,91,85,77,88,85,80,81,83,78,75,81,84,86,理论研究,新时代应急管理论坛,http://www.semgf.cn/2023/02/20230215.html,,
