考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
技术创新,技术更新频率,28,42,145,105,85,0.96,99,0.8,0.22,创新驱动模型,科技部,https://www.most.gov.cn/,,
社区参与,公众满意度,15,55,120,85,96,0.92,98,0.85,0.2,问卷调查模型,社区服务中心,https://www.communityservice.gov.cn/,,
节能降耗,能耗指标,10,38,90,60,99,0.99,100,0.9,0.33,指标评估模型,能源研究中心,https://www.energyresearch.com/,,
全面审查,评估覆盖率,20,52,135,97,90,0.94,95,0.76,0.18,全面评估模型,国家质量监督局,https://www.aqsiq.gov.cn/,,
风险管理,潜在风险评估,24,47,140,90,92,0.89,97,0.78,0.23,风险评估模型,应急管理部,https://www.mem.gov.cn/,,
安全优先,事故响应时间,45,75,190,110,91%,0.96,98%,0.88,0.28,动态评估模型,中国环境保护部,https://www.mee.gov.cn/,,
环保优先,资源循环利用率,35,65,150,130,93%,0.97,99%,0.85,0.32,综合评估模型,国家环保产业网,http://www.cnepn.gov.cn/,,
合规性优先,排污许可证合规率,15,50,130,80,95%,0.94,97%,0.8,0.18,合规审核模型,北京市生态环境局,https://epb.beijing.gov.cn/,,
持续改进,节能减排指标,20,55,170,120,92%,0.95,100%,0.82,0.22,跟踪评估模型,江苏省环保厅,http://www.jshb.gov.cn/,,
安全第一,关键安全指标达成率,28,68,165,110,90%,0.93,98%,0.77,0.24,关键性能指标模型,广州市应急管理局,http://www.gz.gov.cn/,,
绿色发展,可再生能源使用比例,25,62,140,100,94%,0.96,99%,0.89,0.3,能源效率评估模型,国家能源局,http://www.nea.gov.cn/,,
环保科技,污染物减排技术应用,38,72,175,140,89%,0.88,96%,0.76,0.26,技术应用评估模型,清华大学环境学院,https://www.tsinghua.edu.cn/,,
社会责任,环保公众参与度,35,66,180,95,87%,0.92,97%,0.83,0.2,公众参与模型,国家统计局,http://www.stats.gov.cn/,,
创新驱动,环保技术研发投入,22,58,160,85,90%,0.91,95%,0.8,0.19,研发投入评估模型,中国科技部,http://www.most.gov.cn/,,
风险防控,事故预防措施有效性,30,64,155,115,88%,0.9,97%,0.81,0.27,风险评估模型,中国安全生产监督管理局,http://www.chinasafety.gov.cn/,,
科技创新,清洁技术应用,35,75,155,110,91%,0.96,100%,0.85,0.25,技术创新评估模型,国家生态环境部,https://www.mee.gov.cn/,,
节能减排,能源消耗效率,45,90,170,130,93%,0.98,98%,0.88,0.3,能耗模型,全国节能中心,https://www.energysaving.cn/,,
透明度优先,信息公开率,55,110,210,140,94%,0.95,97%,0.9,0.2,透明度评估模型,环保信息中心,https://www.envirolaw.gov.cn/,,
社会责任,社区参与度,25,50,130,80,96%,0.97,100%,0.92,0.2,社区参与模型,地方环境监督局,https://www.localgov.cn/environment/,,
绿色商务,企业绿色认证率,40,85,165,95,89%,0.94,96%,0.87,0.18,绿色认证评估模型,中国绿色发展协会,https://www.greendevelopment.cn/,,
区域协调,重点区域治理成效,30,65,150,100,91%,0.99,99%,0.93,0.22,区域治理模型,区域环境监测中心,https://www.regionalmonitoring.cn/,,
可再生资源利用,废物回收率,20,40,120,70,96%,0.93,95%,0.85,0.2,循环经济评估模型,可再生资源协会,https://www.recycling.org.cn/,,
健康安全,职业健康事故率,25,55,140,85,92%,0.97,96%,0.86,0.17,健康安全模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
基础设施完善,环保设施完善率,15,30,100,60,97%,0.99,98%,0.9,0.15,基础设施评估模型,城市规划局,https://www.cityplanning.gov.cn/,,
企业担当,环境管理评级,10,20,90,50,99%,0.96,99%,0.95,0.12,企业责任模型,国家企业信用信息公示系统,https://www.gsxt.gov.cn/,,
生态优先,可再生资源利用率,15,55,100,80,96%,0.99,100,0.85,0.3,生态综合评估模型,生态环境部,https://www.mee.gov.cn,,
人本管理,员工安全培训覆盖率,18,50,130,70,94%,0.96,97,0.88,0.25,风险评估模型,国家安全监管总局,http://www.chinasafety.gov.cn/,,
技术创新,创新项目投资回报率,35,90,150,100,89%,0.91,98,0.8,0.2,投资回报分析模型,清华大学环境科学系,https://www.tsinghua.edu.cn,,
适应性管理,应急处理响应时间,22,65,120,90,91%,0.94,99,0.87,0.1,应急响应优化模型,国家应急管理局,https://www.mem.gov.cn/,,
透明性强,环境信息公开情况,25,75,160,95,93%,0.97,98,0.82,0.15,透明度评价模型,北京市生态环境局,http://sthj.beijing.gov.cn/,,
国际标准化,ISO14001认证通过率,20,65,140,85,90%,0.92,100,0.75,0.18,标准合规性检查模型,中国质量认证中心,http://www.cqc.com.cn/,,
数字环保,数字监测系统提升效率,12,40,110,60,97%,0.99,99,0.9,0.27,数据治理优化模型,环境监测网络,http://www.cenn.gov.cn/,,
社会责任,社区环境满意度,17,58,135,75,92%,0.95,98,0.86,0.15,社会满意度评估模型,国家统计局,http://www.stats.gov.cn/,,
绿色发展,绿色创新项目数量,27,72,125,88,89%,0.93,97,0.82,0.22,绿色项目评估模型,国家发展改革委,https://www.ndrc.gov.cn/,,
安全优先,环境影响评估,45,85,190,110,93%,0.96,100%,0.88,0.28,风险评估模型,生态环境部,https://www.mee.gov.cn/,,
合规性优先,设施安全标准,25,55,130,80,91%,0.94,97%,0.82,0.2,法律合规评估,北京市应急管理局,https://www.bj.gov.cn/,,
环保优先,废物处理效率,35,75,140,100,89%,0.92,96%,0.78,0.22,绩效改进模型,广东省生态与环境厅,https://www.gd.gov.cn/,,
持续改进,节能减排效果,15,45,120,70,95%,0.97,98%,0.85,0.24,数据分析模型,浙江省环保局,https://www.zj.gov.cn/,,
安全优先,设备故障率,20,60,150,95,90%,0.93,99%,0.8,0.18,综合评估模型,湖北省应急管理局,https://www.hubei.gov.cn/,,
合规性优先,社会责任遵循,10,50,110,85,87%,0.91,96%,0.76,0.16,合规性评估,天津市应急管理局,https://www.tianjin.gov.cn/,,
环保优先,资源回收利用率,18,40,125,60,92%,0.95,97%,0.82,0.19,绩效评估模型,重庆市环保局,https://www.cq.gov.cn/,,
安全第一,应急响应速度,22,65,155,92,94%,0.98,95%,0.79,0.23,应急管理模型,福建省应急管理厅,https://www.fujian.gov.cn/,,
持续改进,项目实施效果,28,50,135,88,96%,0.99,100%,0.86,0.21,动态调整模型,云南省环保局,https://www.yn.gov.cn/,,
绿色转型,可再生能源使用比例,35,90,155,110,91%,0.97,100%,0.85,0.3,可持续发展模型,国家能源局,https://www.nea.gov.cn/,,
创新驱动,技术升级情况,45,76,170,130,93%,0.92,97%,0.88,0.28,升级评估模型,中国科技部,https://www.most.gov.cn/,,
员工参与,环境意识培训覆盖率,25,50,145,95,89%,0.95,98%,0.8,0.2,参与评分模型,人力资源和社会保障部,https://www.mohrss.gov.cn/,,
透明度优先,信息发布频率,20,65,135,85,90%,0.96,99%,0.82,0.25,透明度评估模型,环保公益组织,https://www.cecp.org.cn/,,
政策引导,环保政策执行力,15,55,125,78,92%,0.94,96%,0.78,0.22,政策影响评估模型,环境保护部,https://www.mee.gov.cn/,,
循环经济,废物回收率,30,40,160,100,88%,0.99,100%,0.9,0.18,循环评估模型,废弃物管理协会,https://www.chinawaste.org/,,
跨界合作,区域合作项目实施情况,28,57,147,84,91%,0.91,97%,0.83,0.21,合作评估模型,地方政府官网,https://www.gov.cn/,,
社会责任,社区环境改善项目,33,67,165,103,89%,0.96,94%,0.87,0.19,社会责任模型,社区环保组织,https://www.communityep.org/,,
风险预警,环境突发事件响应时间,22,89,132,76,90%,0.94,99%,0.8,0.24,风险管理模型,事故调查委员会,https://www.accident.org.cn/,,
节能减排,单位产值能耗,35,75,150,100,91%,0.96,100%,0.85,0.28,能耗效率模型,中国环境保护部,https://www.mee.gov.cn/,,
合规性优先,排放标准遵守率,22,55,135,85,93%,0.97,98%,0.78,0.2,法规遵从性评估,成都市环保局,http://www.chengdu.gov.cn/,,
安全优先,工业事故数,28,65,145,95,90%,0.94,97%,0.82,0.26,安全评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,,
环保优先,废弃物回收率,18,50,130,75,95%,0.98,99%,0.88,0.3,回收利用模型,环境保护公益网站,https://www.epa.gov.cn/,,
持续改进,资源利用率提升,25,60,155,90,89%,0.95,96%,0.8,0.22,改进效果评估,中国工业和信息化部,http://www.miit.gov.cn/,,
遵循国际标准,温室气体排放量,15,45,125,70,92%,0.92,97%,0.76,0.29,国际标准评估模型,中国气候变化事务中心,http://www.cccma.gov.cn/,,
绿色发展,可再生资源比例,32,78,148,88,90%,0.99,95%,0.9,0.15,绿色评价模型,可再生资源研究中心,http://www.rre.org.cn/,,
透明经营,公众满意度,24,68,142,85,91%,0.98,100%,0.77,0.24,公众评估模型,社会调查研究中心,http://www.srrc.org.cn/,,
本地化发展,地方环保政策遵守,27,62,139,92,89%,0.91,96%,0.8,0.1,地方政策评估,地方政府环保部门,http://www.local.gov.cn/,,
环保优先,排放量控制,45,90,210,140,94%,0.96,100%,0.85,0.33,排放优先模型,中国生态环境部,https://www.mee.gov.cn/,,
安全第一,安全事故率,35,75,170,130,91%,0.95,98%,0.87,0.28,事故风险评估,重庆市应急管理局,https://www.cq.gov.cn/,,
持续改进,效率提升,25,65,150,100,88%,0.97,97%,0.9,0.22,绩效评价模型,研究机构,https://www.nature.com/,,
合规性优先,法律法规遵守,15,55,130,80,85%,0.92,96%,0.78,0.2,合规性数据分析,广东省环境保护厅,https://www.gdep.gov.cn/,,
资源节约,资源利用率,20,50,145,70,89%,0.99,99%,0.85,0.18,资源收益模型,中国节能协会,http://www.china-ces.com/,,
创新驱动,新技术应用,30,65,140,90,90%,0.94,98%,0.88,0.25,技术创新评估,科技部,https://www.most.gov.cn/,,
社会责任,社会影响评价,22,48,155,85,86%,0.91,94%,0.82,0.19,社会影响模型,各省市环保局,https://www.sepa.gov.cn/,,
经济效益,成本控制,28,62,165,95,87%,0.96,97%,0.76,0.27,经济建设评估,经济部,https://www.mof.gov.cn/,,
科技引领,自动化程度,29,74,175,105,83%,0.93,95%,0.89,0.21,自动化评估模型,国家统计局,https://www.stats.gov.cn/,,
节能降耗,能耗控制,45,90,175,110,93%,0.96,97%,0.88,0.28,节能评估模型,北京环境保护局,https://www.bjepb.gov.cn/,,
绿色发展,可再生资源利用,35,60,155,95,91%,0.93,98%,0.82,0.22,环境性能评估模型,中国生态环境部,https://www.mee.gov.cn/,,
安全生产,事故预防措施,25,50,145,80,85%,0.91,90%,0.76,0.3,风险管理模型,国家应急管理部,https://www.mem.gov.cn/,,
合规与透明,法规遵循,15,40,130,70,89%,0.94,96%,0.74,0.2,合规性审查模型,广州市生态环境局,https://www.gz.gov.cn/,,
技术创新,新技术应用,20,55,135,77,87%,0.92,99%,0.79,0.25,创新能力评估模型,科技部,https://www.most.gov.cn/,,
全员参与,员工安全培训,18,68,165,85,90%,0.89,92%,0.81,0.18,全面评估模型,人力资源和社会保障部,https://www.mohrss.gov.cn/,,
绿色制造,产品环保评级,12,35,125,60,86%,0.95,93%,0.77,0.33,生命周期评估模型,中国制造2025计划,http://www.chinamanufacturing2025.com/,,
行业标准适应,行业自律,32,65,150,88,88%,0.94,91%,0.83,0.2,行业自律评估模型,行业协会,https://www.industryassociation.org/,,
市场导向,顾客满意度,29,75,165,85,92%,0.96,97%,0.8,0.13,顾客反馈模型,市场研究公司,https://www.marketresearch.com/,,
绿色发展,可再生资源利用率,25,65,130,85,91%,0.96,99%,0.88,0.35,综合评分模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,防治措施落实,15,55,110,70,94%,0.98,97%,0.85,0.4,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,,
节能减排,废弃物回收率,28,75,125,80,92%,0.99,98%,0.82,0.5,循环经济评估模型,全国环保信息中心,https://www.chinaenviromonitor.com/,,
风险管控,消防安全演练频次,12,50,100,60,89%,0.95,96%,0.78,0.3,风险管理模型,广东省应急管理厅,https://www.gd.gov.cn/,,
全员参与,员工环保意识培训率,22,68,115,75,90%,0.97,94%,0.8,0.28,参与度评估模型,上海市环境保护局,https://www.sepb.gov.cn/,,
社会责任,社区参与度,18,62,140,95,87%,0.96,95%,0.76,0.32,社区影响评估模型,重庆市生态环境局,https://www.cq.gov.cn/,,
科技创新,新技术应用比例,32,88,145,110,93%,0.94,92%,0.83,0.34,创新能力评估模型,天津市科技局,https://www.tianjin.gov.cn/,,
可持续发展,能源利用效率,20,48,135,65,93%,0.99,98%,0.9,0.37,可持续性评估模型,浙江省生态环境厅,https://www.zj.gov.cn/,,
透明公正,信息公开率,10,40,90,50,95%,0.97,99%,0.87,0.25,透明度评估模型,江苏省环境质量监测中心,https://www.jiangsu.gov.cn/,,
绿色发展,能源利用效率,45,85,170,110,91%,0.96,97%,0.88,0.28,绿色评价模型,国家生态环境部,https://www.mee.gov.cn/,,
安全透明,事故隐患排查率,35,75,150,95,93%,0.94,96%,0.86,0.22,透明度评估模型,北京应急管理局,https://www.bjjem.gov.cn/,,
效率驱动,资源再利用率,27,65,130,85,89%,0.92,94%,0.79,0.18,再利用提升模型,中国环境保护产业协会,https://www.epia.org.cn/,,
法治保障,环保法律合规,15,50,120,70,87%,0.91,93%,0.73,0.13,合规合格模型,地方环保局,https://www.epb.gov.cn/,,
技术创新,技术应用率,25,62,145,90,90%,0.95,99%,0.81,0.2,创新评估模型,清华大学环境科学与工程系,https://www.tsinghua.edu.cn/,,
持续改进,设施改造率,28,68,125,80,88%,0.94,95%,0.78,0.19,设施升级模型,国家发展改革委员会,https://www.ndrc.gov.cn/,,
事件响应,应急预案执行率,18,55,110,65,92%,0.97,98%,0.82,0.14,应急评估模型,应急管理部,https://www.mem.gov.cn/,,
环境提升,生态恢复率,30,72,140,100,91%,0.92,96%,0.85,0.17,生态评估模型,中国生态环境协会,https://www.ceep.org.cn/,,
先进标准,国际标准对标率,22,58,135,75,89%,0.98,97%,0.9,0.16,国际对标模型,国际环境组织,https://www.iema.org/,,
科技创新,清洁能源使用率,15,50,130,85,96,0.97,100,0.92,0.28,基于指标的评估模型,中国环境保护部,https://www.mee.gov.cn/,,
健康优先,职工健康及安全培训覆盖率,12,40,110,70,93,0.95,98,0.85,0.23,风险评估模型,国际劳工组织,https://www.ilo.org/,,
经济效益,资源回收率,25,65,155,95,89,0.93,96,0.88,0.2,综合效益评估模型,地方经济与信息化局,http://www.miit.gov.cn/,,
社会责任,社会影响力评估,18,55,145,75,91,0.9,99,0.8,0.18,社群影响评估模型,中国社会科学院,http://www.cass.cn/,,
灵活应变,应急响应时间,20,45,135,80,90,0.88,97,0.82,0.22,实时监控评估模型,国家应急管理部,https://www.mem.gov.cn/,,
资源节约,用水效率,10,30,100,60,94,0.96,99,0.87,0.27,资源利用模型,水利部,http://www.mwr.gov.cn/,,
持续发展,系统改善能力,16,42,120,78,92,0.94,98,0.89,0.25,动态评估模型,国家污染物排放监测网,http://www.pmb.gov.cn/,,
环境友好,可再生资源利用率,11,35,125,72,95,0.99,100,0.91,0.26,绿色发展评估模型,中国可再生能源学会,http://www.creia.org.cn/,,
安全合规,安全标准执行率,14,47,115,68,91,0.92,97,0.86,0.22,合规性与安全评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
可持续发展,能源消耗效率,45,75,190,135,93%,0.96,98%,0.85,0.28,能耗与收益模型,国家发展改革委,https://www.ndrc.gov.cn/,,
环保优先,固体废物回收率,35,65,170,110,89%,0.94,97%,0.8,0.22,全生命周期评估,中国环境保护部,https://www.mee.gov.cn/,,
创新驱动,新技术采用率,25,55,150,75,90%,0.91,99%,0.88,0.35,技术创新评估模型,清华大学环境学院,https://www.ies.tsinghua.edu.cn/,,
安全第一,消防安全排查率,32,62,160,95,91%,0.92,96%,0.83,0.32,安全管理模型,江苏省应急管理厅,https://www.jiangsu.gov.cn/,,
法律合规,环境法规遵从率,22,58,145,85,86%,0.9,97%,0.77,0.18,合规风险评估模型,广东省生态环境厅,https://gdee.gd.gov.cn/,,
可持续发展,碳足迹监测,28,54,155,65,88%,0.93,96%,0.82,0.25,碳管理模型,国家气候变化平台,https://www.climate.gov.cn/,,
效率优先,资源使用效率,39,73,165,98,92%,0.89,98%,0.81,0.3,效率评估模型,国家统计局,https://www.stats.gov.cn/,,
绿色转型,绿色技术实施率,30,66,160,80,89%,0.95,95%,0.84,0.29,绿色转型评估模型,中国科学院,https://www.cas.cn/,,
效率与合规并重,生产合规性指数,27,61,140,70,87%,0.97,99%,0.79,0.26,综合合规模型,武汉市生态环境局,http://ep.wuhan.gov.cn/,,
绿色发展,可再生能源使用率,35,75,150,110,91%,0.96,98%,0.85,0.28,趋势分析模型,国家能源局,https://www.nea.gov.cn,,
创新驱动,技术改造比例,25,65,130,95,89%,0.99,97%,0.8,0.22,动态评估模型,中央环保督察,https://www.mee.gov.cn,,
社区参与,公众满意度,45,80,160,120,93%,0.92,96%,0.88,0.18,综合满意度评估模型,北京环保局,https://www.bjepb.gov.cn,,
弱碳经济,温室气体减排,28,55,140,85,90%,0.94,99%,0.82,0.2,生命周期评估模型,气候变化事务署,https://www.ccps.gov.cn,,
生产安全,设备安全隐患排查率,22,58,135,100,87%,0.91,95%,0.77,0.16,安全评估模型,东莞市安监局,https://www.dg.gov.cn,,
全生命周期管理,资源回收利用率,30,62,125,105,92%,0.95,100%,0.83,0.19,综合循环评估模型,国家资源回收协会,https://www.nrra.gov.cn,,
数字化管理,信息透明度指数,33,72,155,125,94%,0.97,96%,0.86,0.24,数据透明度模型,中国数字经济研究院,https://www.cdeia.org.cn,,
地方支持,社区环保活动参与率,48,85,165,130,88%,0.9,97%,0.89,0.18,活动参与评估模型,地方环保部门,https://www.local-epb.gov.cn,,
前瞻性规划,可持续发展目标达成度,20,50,115,95,95%,0.98,99%,0.84,0.29,目标达成率评估模型,中国可持续发展协会,https://www.csda.org.cn,,
资源节约,资源利用效率,35,90,170,110,93%,0.96,99,0.88,0.28,效率评估模型,国家环境保护部,https://www.mee.gov.cn/,,
生态优先,生态影响评估,25,65,130,85,91%,0.95,98,0.82,0.22,生态影响模型,中国生态环保研究中心,https://www.ceep.org.cn/,,
安全与环保并重,综合管理效率,28,78,150,95,90%,0.97,99,0.9,0.26,双重评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
创新驱动,技术升级率,22,55,145,75,89%,0.93,97,0.8,0.18,技术改进模型,科技部,http://www.most.gov.cn/,,
法律合规,合规审计结果,20,50,120,70,87%,0.91,95,0.76,0.2,合规性审计模型,法律法规研究中心,https://www.lawinfo.gov.cn/,,
科技创新,新技术应用推广,18,72,135,85,94%,0.98,99,0.85,0.15,科技推广模型,中国科技院,https://www.cast.org.cn/,,
全生命周期管理,环境绩效跟踪,30,88,160,95,90%,0.94,98,0.78,0.23,生命周期评估模型,环境保护在线,https://www.eh-online.cn/,,
健康优先,公众健康影响,20,65,140,80,88%,0.92,96,0.85,0.19,健康评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,,
可持续发展,可再生资源利用率,15,60,125,70,91%,0.99,100,0.9,0.25,可持续性评估模型,可持续发展中心,https://www.sustainable.org.cn/,,
环保优先,排放量控制,45,90,190,130,94%,0.97,100,0.85,0.35,加权平均法,江苏省生态环境局,https://www.jiangsu.gov.cn,,
安全第一,安全事故率,35,75,170,110,91%,0.96,99,0.88,0.25,综合评定模型,山西省应急管理局,https://www.shanxi.gov.cn,,
持续改进,效率提升,30,68,160,105,89%,0.92,98,0.8,0.2,数据驱动模型,绿色发展研究院,https://www.green-development.org,,
合规性优先,法律法规遵守,25,50,130,85,90%,0.94,96,0.78,0.15,合规评估模型,北京市环境保护局,https://www.bjepb.gov.cn,,
环保优先,排放量控制,55,110,210,140,93%,0.99,100,0.91,0.4,加权计算模型,河南省生态环境厅,https://www.henan.gov.cn,,
安全第一,安全事故率,42,85,175,115,88%,0.95,97,0.87,0.3,整体评估模型,广州市应急管理局,https://www.gz.gov.cn,,
持续改进,效率提升,28,60,155,95,92%,0.93,99,0.82,0.22,数据分析模型,长春市生态环境局,https://www.changchun.gov.cn,,
合规性优先,法律法规遵守,22,55,135,80,91%,0.91,94,0.76,0.18,法规符合性评估模型,天津市生态环境局,https://www.tianjin.gov.cn,,
环保优先,排放量控制,48,95,205,138,95%,0.98,100,0.9,0.33,综合评估模型,重庆市生态环境局,https://www.cq.gov.cn,,
绿色发展,绿色技术应用,45,75,170,110,91%,0.96,97%,0.88,0.35,绿色发展评估模型,国家环保部,https://www.mee.gov.cn/,,
社会责任,公众满意度,35,65,150,85,93%,0.92,96%,0.84,0.28,公众参与评估模型,中国社会科学院,http://www.cass.cn/,,
经济高效,成本控制,60,90,200,150,89%,0.94,99%,0.82,0.25,成本效益分析模型,中国经济研究中心,http://www.ceri.cn/,,
科技创新,智能化水平,29,58,140,95,95%,0.97,98%,0.87,0.32,智能评估模型,中国科技部,http://www.most.gov.cn/,,
可持续发展,生态环境保护,39,77,133,85,90%,0.95,97%,0.8,0.22,生态评估模型,国家林业局,http://www.forestry.gov.cn/,,
数据驱动,信息透明度,41,72,165,115,92%,0.98,99%,0.85,0.4,信息管理模型,中国信息产业部,http://www.mii.gov.cn/,,
交互式评估,参与度指标,36,69,156,105,94%,0.93,98%,0.89,0.3,互动评估模型,中国环境监测总站,http://www.zhb.gov.cn/,,
国际标准,全球一致性,22,55,130,80,85%,0.91,96%,0.78,0.18,标准化评估模型,国际标准化组织,https://www.iso.org/,,
灵活应对,危机响应能力,28,52,125,70,88%,0.89,94%,0.81,0.27,危机应对模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
综合评估,总体效益,34,74,142,91,90%,0.95,97%,0.83,0.2,综合评价体系,中国质量监督局,http://www.aqsiq.gov.cn/,,
清洁生产,资源利用效率,45,75,155,130,93%,0.96,97%,0.85,0.35,效率优化模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/2024/05/01/environmental-protection,,
低碳发展,碳排放量,25,55,130,70,95%,0.99,100%,0.92,0.4,碳足迹评估模型,国家气候变化中心,https://www.ncc.gov.cn/2024/04/15/carbon-emission-reduction,,
节约资源,废料回收率,35,65,145,85,91%,0.94,96%,0.8,0.3,资源回收评估模型,北京环保局,https://www.bjepb.gov.cn/2024/03/30/waste-recycling,,
综合治理,综合污染物控制,40,90,160,100,89%,0.95,99%,0.78,0.28,污染物综合治理模型,广东省生态环境厅,https://www.gd.gov.cn/2024/02/20/pollution-control-strategies,,
效益优先,经济效益与环境效益结合,30,85,170,110,90%,0.91,98%,0.89,0.33,经济与环境效益评估模型,浙江省生态环境厅,https://www.zj.gov.cn/2024/01/15/economic-environmental-assessment,,
前瞻性规划,绿色技术推广,22,50,125,65,96%,0.97,97%,0.91,0.25,绿色技术评估模型,四川省科技厅,https://www.sc.gov.cn/2024/06/10/green-technology-promotion,,
全面提升,管理体系完善程度,28,52,135,95,92%,0.88,96%,0.83,0.18,管理体系评估模型,山东省环保厅,https://www.shandong.gov.cn/2024/07/25/management-system-improvement,,
科技创新,新材料使用情况,15,42,120,80,97%,0.99,100%,0.95,0.24,新材料应用评估模型,国家材料科学研究院,https://www.nims.go.jp/2024/03/15 Material-innovation-report,,
国际标准,ISO认证取得情况,18,45,110,60,94%,0.97,99%,0.88,0.27,ISO合规性评估模型,国家标准化管理委员会,https://www.sac.gov.cn/2024/02/05/ISO-certification,,
可持续发展,资源利用效率,25,55,130,85,91%,0.96,97%,0.88,0.28,效率评估模型,生态环境部,https://www.mee.gov.cn/,,
安全优先,事故预防率,35,65,190,110,89%,0.94,96%,0.82,0.2,安全评估模型,国家统计局,http://www.stats.gov.cn/,,
生态优先,水质达标率,15,45,120,70,93%,0.97,99%,0.85,0.35,生态评估模型,水务部门,http://www.mwr.gov.cn/,,
合规性优先,环境法规遵守,22,58,150,95,90%,0.95,98%,0.8,0.18,合规性分析,地方环保局,http://www.epb.gov.cn/,,
经济性,成本控制,30,50,140,80,92%,0.93,97%,0.76,0.25,成本效益模型,工商行政管理局,http://www.saic.gov.cn/,,
创新驱动,技术引进,28,62,170,100,88%,0.92,96%,0.78,0.22,技术评估模型,科技部,http://www.most.gov.cn/,,
强监管,违规行为处置,18,40,160,95,87%,0.91,95%,0.73,0.16,合规性监测模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,,
透明化,数据公开率,10,30,120,60,95%,0.99,100%,0.9,0.3,公开透明模型,信息公开平台,http://www.government.gov.cn/,,
创新管理,管理体系完善度,20,50,135,75,94%,0.98,99%,0.83,0.27,管理评估模型,行业协会,http://www.caisi.org.cn/,,
绿色生产,资源利用效率,35,75,150,110,91%,0.96,99%,0.88,0.28,效率优化模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,事故隐患排查率,45,85,190,130,93%,0.98,100%,0.87,0.22,合规风险评估,广东省应急管理厅,https://www.gd.gov.cn/,,
清洁生产,可再生资源利用率,25,55,120,80,94%,0.99,98%,0.92,0.3,动态优化模型,《中国环保产业年鉴》,http://www.ceia.org.cn/,,
合规性优先,政策执行率,32,65,130,95,89%,0.95,97%,0.82,0.18,合规性评估模型,浙江省环保局,http://www.zjepb.gov.cn/,,
创新管理,新技术应用率,20,50,110,70,90%,0.94,96%,0.85,0.24,新技术影响评估,中国科学院,http://www.cas.cn/,,
持续改进,自主检测能力,30,60,125,85,96%,0.97,99%,0.9,0.29,自主检测模型,中国能源局,http://www.nea.gov.cn/,,
环境保护,空气质量监测,38,92,140,100,92%,0.99,98%,0.83,0.21,实时监测模型,北京市生态环境局,http://www.bjepb.gov.cn/,,
安全最优先,紧急应对能力,22,58,135,90,88%,0.95,97%,0.78,0.19,应急能力评估,安全生产监督管理局,http://www.chinasafety.gov.cn/,,
资源节约,能耗减少率,21,53,115,75,95%,0.97,100%,0.89,0.3,能效分析模型,地方政府环境保护局,http://www.localepb.gov.cn/,,
环保优先,清洁生产水平,45,85,175,110,94%,0.96,100%,0.88,0.32,综合考核模型,某大型环保组织,https://www.environmental.org,,
安全第一,重大事故率,35,75,190,125,91%,0.95,98%,0.82,0.28,动态安全评估模型,成都环保局,https://www.chengdu.gov.cn,,
持续改进,能源效率,28,68,158,95,89%,0.94,97%,0.79,0.2,技术改进模型,中国科学技术部,https://www.most.gov.cn,,
合规性优先,环保法规遵守性,22,58,135,85,87%,0.91,96%,0.73,0.16,合规性动态评估模型,北京市生态环境局,https://www.bjepb.gov.cn,,
资源循环利用,废弃物处理率,33,72,165,115,93%,0.97,99%,0.85,0.25,废弃物管理模型,国家发展改革委,https://www.ndrc.gov.cn,,
绿色技术,新技术采纳率,29,65,150,100,90%,0.92,96%,0.78,0.18,新技术评估模型,清华大学研究院,https://www.tsinghua.edu.cn,,
敏捷应变,应急响应时间,38,80,185,130,92%,0.98,98%,0.86,0.22,应急评估模型,中国应急管理局,https://www.mem.gov.cn,,
社区参与,公众反馈率,34,77,162,107,95%,0.93,100%,0.89,0.3,社会感知模型,地方政府社区反馈平台,https://www.localgov.gov.cn/community,,
科技驱动,数字化水平,31,74,142,98,90%,0.95,99%,0.81,0.2,数字化转型评估模型,中国数字经济研究院,https://www.cie's.org,,
环保优先,废物回收率,35,85,155,130,91%,0.96,97%,0.82,0.28,加权平均法,国家生态环境部,https://www.mee.gov.cn/,,
安全第一,火灾发生率,45,90,170,110,93%,0.95,99%,0.88,0.2,动态评估模型,应急管理部,https://www.mem.gov.cn/,,
持续改进,能效提升,25,75,165,95,89%,0.94,96%,0.78,0.18,数字化转型模型,中国科学院,https://www.cas.cn/,,
合规性优先,劳动保护措施有效性,18,50,130,80,86%,0.91,94%,0.72,0.14,合规评估模型,深圳市生态环境局,https://www.sz.gov.cn/jgxx/kfqhd/276.html,,
