品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理单元 + 通信电路,传感层、数据层、应用层,吾测科技,集成式,吾测科技,https://www.wuce.com,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + GPS模块 + 接口电路,感知层、传输层、应用层,深海科技,混合式,深海科技,https://www.deeptech.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 转换器 + 信号调理电路,传感层、处理中级、输出层,动念科技,模块式,动念科技,https://www.dongniand.com,2024-09-14,,,,,,,,,,,,
点火传感器,敏感元件 + 微处理器 + 控制接口,硬件层、软件层,汽车智能,集成式,汽车智能,https://www.auto-intelligent.com,2024-09-14,,,,,,,,,,,,
RFID传感器,射频敏感元件 + 调制解调器 + 接口电路,数据层、应用层,智维科技,模块式,智维科技,https://www.intelligenceway.com,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 光源 + 信号处理单元,感知层、传输层,吉利科技,混合式,吉利科技,https://www.geely.com,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 微处理器 + 干扰抑制电路,输入层、处理层、输出层,小米科技,集成式,小米科技,https://www.xiaomi.com,2024-09-14,,,,,,,,,,,,
环境传感器,多种敏感元件 + 处理器 + 无线模块,采集层、处理层、输出层,华为技术有限公司,模块式,华为技术有限公司,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
温室气体传感器,敏感元件 + 信号调理电路 + 数据处理单元,采集层、数据层、决策层,清华大学环境学院,模块式,清华大学,http://www.tsinghua.edu.cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 无线通信模块,物理层、处理层、传输层,阿里云智能,集成式,阿里云,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号调理电路 + 处理单元,采集层、分析层、反馈层,华为健康科技,混合式,华为官网,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 转换电路 + 数据接口,物理层、数据层、应用层,国家气象局,集成式,气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 监测模块,采集层、分析层、决策层,水利部科技司,模块式,水利部,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,,,,,
智能运动传感器,敏感元件 + 数据处理单元 + 通信模块,物理层、信号处理层、应用层,小米科技,集成式,小米官网,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
环境噪声传感器,敏感元件 + 信号调理电路 + 数据传输模块,数据采集层、分析层、输出层,深圳市声学研究院,模块式,深圳声学,http://www.szacoustics.com/,2024-09-14,,,,,,,,,,,,
运动加速度传感器,敏感元件 + 微处理器 + 信号调理电路,信号采集层、处理层、反馈层,广州智能装备研究院,混合式,智能装备,http://www.gzi.gov.cn/,2024-09-14,,,,,,,,,,,,
生理监测传感器,敏感元件 + 信号处理单元 + 输出接口,采集层、处理层、应用层,中科院生物物理研究所,集成式,中国科学院,https://www.cas.cn/,2024-09-14,,,,,,,,,,,,
智能家居传感器,敏感元件 + 无线通信模块 + 控制单元,环境层、控制层、反馈层,海尔智能家居,模块式,海尔官网,https://www.haier.com/cn/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微控制器 + 云接口,采集层、处理层、传输层,华为技术,集成式,华为云,https://cloud.huawei.com/solutions,2024-09-14,,,,,,,,,,,,
光谱传感器,敏感元件 + ADC + 信号调理电路,传感层、分析层,奔驰创新实验室,模块式,奔驰科技,https://www.mercedes-benz.com/innovation,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 通信模块,数据层、应用层,环保科技,混合式,清水科技,https://www.qingshuit.com/resources,2024-09-14,,,,,,,,,,,,
路面传感器,敏感元件 + 信号处理模块 + 远程监控,采集层、通信层,交通互联,集成式,交通行业协会,https://www.trafficassociation.org,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理器 + 无线传输,硬件层、服务层,体智能科技,模块式,健康监测机构,https://www.healthmonitor.org,2024-09-14,,,,,,,,,,,,
智能物联网传感器,多传感元件 + 云计算 + API接口,感知层、应用层,百度云计算,集成式,物联网论坛,https://www.iotforum.cn,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 数据接口,传感层、输出层,瑞萨电子,混合式,电子设计大会,https://www.edc.com/latest,2024-09-14,,,,,,,,,,,,
环境气候传感器,敏感元件 + 数据分析单元,采集层、处理层、反馈层,气象局科技部,集成式,气象数据网,https://www.weather.gov.cn,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 转换元件 + 传输电路,信号采集层、处理层,海康威视,模块式,工业安全研究,https://www.hikvision.com/en/news,2024-09-14,,,,,,,,,,,,
图像传感器,敏感元件 + 图像处理器 + 传输接口,数据采集层、处理层、输出层,索尼影像,集成式,摄影技术论坛,https://www.sonyalpha.com,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 转换电路 + 数字信号处理器,数据采集层、存储层、应用层,华为技术有限公司,模块式,华为智选,https://www.huawei.com/cn/solutions,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微控制器 + 通信接口,感知层、通信层、应用层,阿里云,集成式,阿里云,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 放大电路,采集层、分析层、控制层,中科院,混合式,中科院研究所,http://www.cas.cn,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 转换电路 + 蓝牙模块,采集层、传输层、显示层,小米科技,集成式,小米官网,http://www.mi.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号处理电路,物理层、数据层、控制层,京东方科技,模块式,京东方官网,http://www.boe.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据采集模块,检测层、传输层、分析层,施耐德电气,集成式,施耐德电气,https://www.se.com/cn,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 信号处理器 + 通信接口,感知层、执行层,博世集团,模块式,博世官网,https://www.bosch.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 接口电路 + 处理模块,感测层、处理层、反馈层,安森美半导体,集成式,安森美半导体,https://www.onsemi.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换器 + 信号调理电路,数据采集层、输出层,瑞萨电子,混合式,瑞萨电子,https://www.renesas.com,2024-09-14,,,,,,,,,,,,
光线强度传感器,敏感元件 + 模拟电路,采集层、分析层、应用层,英特尔,集成式,英特尔,https://www.intel.com,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 数据采集单元 + 处理电路,物理层、传输层、应用层,华为技术,集成式,华为智能设备,https://www.huawei.com/cn/products,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 信号处理模块 + 输出接口,传感层、执行层,博世传感器,模块式,博世官网,https://www.bosch-sensortec.com,2024-09-14,,,,,,,,,,,,
光传感器,光敏元件 + 微处理器 + 输出电路,感知层、计算层、应用层,新思科技,混合式,新思科技新闻,https://www.synopsys.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 转换器 + 信号调理电路,传感层、控制层、反馈层,意法半导体,集成式,意法半导体官网,https://www.st.com,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 处理单元 + 显示模块,采集层、处理层、展示层,振动科技,模块式,振动科技资料,https://www.vibrationtechnology.com,2024-09-14,,,,,,,,,,,,
气候传感器,多个敏感元件 + 数据汇总模块 + 系统控制单元,环境层、数据层、决策层,环境监测局,集成式,环境监测局信息,https://www.monitoring.gov,2024-09-14,,,,,,,,,,,,
流量传感器,流量敏感元件 + 信号调理电路 + 输出电路,测量层、控制层、反馈层,ABB电气,混合式,ABB官网,https://global.abb,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,湿度敏感元件 + 微控制器 + 传输模块,农业层、数据层、分析层,农大科技,模块式,农大科技网站,https://www.agritech.edu,2024-09-14,,,,,,,,,,,,
心率传感器,生物监测元件 + 数据处理单元 + 通信模块,生物层、分析层、输出层,健康科技公司,集成式,健康科技动态,https://www.healthtech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波敏感元件 + 转换模块 + 信号调理电路,感知层、处理层、输出层,超声波科技,集成式,超声波科技新闻,https://www.ultrasonic.com,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 接口电路,传感层、通信层、应用层,阿里云,模块式,阿里云,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
油气传感器,敏感元件 + 信号处理电路,物理层、数据分析层,中石油,集成式,中石油,http://www.cnpc.com.cn/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 模拟电路 + 数字信号处理,采集层、信号处理层、反馈层,上海波速科技,混合式,上海波速科技,https://www.bosu.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 激光器 + 信号解调,数据层、传输层、应用层,武汉光电,集成式,武汉光电,http://www.wuye.com/,2024-09-14,,,,,,,,,,,,
智能交通传感器,检测元件 + 数据处理单元,感知层、分析层、决策层,百度自动驾驶,模块式,百度自动驾驶,https://ai.baidu.com/,2024-09-14,,,,,,,,,,,,
电化学传感器,敏感元件 + 测量电路,感应层、响应层,华为医疗,集成式,华为医疗,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 转换电路 + 蓝牙模块,传感层、网络层、应用层,农田智能,模块式,农田智能,http://www.nongtiansmart.com/,2024-09-14,,,,,,,,,,,,
应变传感器,敏感元件 + 放大电路,硬件层、数据层,万里长征科技,集成式,万里长征科技,https://www.wlcgtech.com/,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 信号处理单元,探测层、响应层,小米智能硬件,集成式,小米公司,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 控制单元,探测层、输出层,Fitbit科技,模块式,Fitbit科技,https://www.fitbit.com/global/us/home,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 模拟信号调理 + 数字接口模块,传感层、信号处理层、应用层,华为技术有限公司,模块式,华为技术,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
距离传感器,激光发射元件 + 接收单元 + 信号处理电路,硬件层、数据层、控制层,西门子,集成式,西门子自动化,https://new.siemens.com/cn/zh.html,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 模拟信号调理 + 无线通讯模块,感知层、网络层、应用层,阿里云,模块式,阿里云智能,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号调理电路 + 输出接口,采集层、信号处理层、应用层,光电科技,集成式,光电科技,https://www.opto.com/,2024-09-14,,,,,,,,,,,,
生物特征传感器,敏感元件 + 信号调理电路 + 安全模块,生物采集层、处理层、安全层,未来科技,集成式,未来科技,https://www.futuristic.tech/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 超声波测量电路 + 数据通讯模块,测量层、处理层、输出层,博世,混合式,博世官方网站,https://www.bosch.com/,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感探测器 + 信号调理电路 + 数据分析单元,感应层、调理层、应用层,长江科学院,模块式,长江科学院官网,http://www.cjh.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微处理器 + 通讯接口,采集层、信号处理层、输出层,施耐德电气,集成式,施耐德电气,https://www.se.com/cn/zh/,2024-09-14,,,,,,,,,,,,
视频传感器,镜头模块 + 图像处理单元 + 数据存储单元,输入层、处理层、输出层,大疆科技,集成式,大疆创新,https://www.dji.com/cn/,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波发射元件 + 接收电路 + 控制单元,探测层、控制层、反馈层,美的集团,模块式,美的科技,https://www.midea.com/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 转换元件 + 处理单元,环境感知层、数据集成层、应用层,云智科技,模块式,云智科技,https://www.yunzhitech.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 光信号处理电路,感知层、数据层,光信息科技,集成式,光信息科技,https://www.lightinfo.com/,2024-09-14,,,,,,,,,,,,
生态传感器,敏感元件 + 生物识别单元 + 信号调理电路,环境层、观察层、分析层,智启生态,分布式,智启生态,https://www.smart-eco.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 放大电路 + 处理器,电力监测层、数据层,电动未来,模组化,电动未来,https://www.electricfuture.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 加速度计 + 处理电路,动态感知层、响应层,全球运动科技,集成式,全球运动科技,https://www.globalmotiontech.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 数据采集单元,环境层、报告层,风和天气,模块式,风和天气,https://www.windandweather.com/,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 逻辑电路 + 数据处理单元,识别层、分析层、应用层,智脑科技,集成式,智脑科技,https://www.smartbraintech.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 报警单元 + 通讯电路,检测层、报警层,安全卫士,集成式,安全卫士,https://www.securityguard.com/,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 测量电路 + 输出单元,监测层、控制层,智水科技,模块式,智水科技,https://www.smartwatertech.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理电路 + 蓝牙模块,生理监测层、数据传输层,健康智能,混合式,健康智能,https://www.healthsmart.com/,2024-09-14,,,,,,,,,,,,
温室气体传感器,敏感元件 + 信号调理电路 + 微处理器,环境层、处理层、决策层,环境科技有限公司,集成式,环境科技网,https://www.huanjingtech.com,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 转换元件 + 接口电路,物理层、运行层、反馈层,海洋数据系统,模块式,海洋科技资讯,https://www.oceandata.org,2024-09-14,,,,,,,,,,,,
光照强度传感器,敏感元件 + ADC + 信号调理电路,传感层、数据收集层、应用层,智能自动化,混合式,光电探测网站,https://www.photodetection.com,2024-09-14,,,,,,,,,,,,
生物监测传感器,敏感元件 + 微处理器 + 通讯模块,健康监控层、数据分析层,智慧医疗科技,集成式,智慧医疗网,https://www.smarthealthtech.com,2024-09-14,,,,,,,,,,,,
温湿度记录仪,敏感元件 + 存储器 + 显示模块,监控层、处理层、输出层,传感应用研究所,模块式,传感器技术论坛,https://www.sensortechforum.com,2024-09-14,,,,,,,,,,,,
粉尘传感器,敏感元件 + 信号处理器 + 通讯接口,检测层、处理层、报告层,空气质量监测中心,集成式,空气质量网,https://www.airqualitymonitor.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 模拟转数字转换器 + 控制电路,探测层、状态层、反馈层,农业科技创新,混合式,智慧农业网,https://www.smartagriculture.com,2024-09-14,,,,,,,,,,,,
转速传感器,敏感元件 + 处理器 + 通讯模块,数据层、分析层、监控层,工业传感器开发所,集成式,传感器杂志,https://www.sensormag.com,2024-09-14,,,,,,,,,,,,
声级传感器,敏感元件 + 信号调理单元 + 处理器,采集层、处理层、输出层,环境监测技术,模块式,环境科技平台,https://www.envitech.com,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 微处理器 + 存储器,测量层、处理层,运动分析研究所,集成式,运动科技网,https://www.movementtech.com,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,感知层、分析层、应用层,瑞萨电子,模块式,瑞萨电子,https://www.renesas.com/cn/products/sensors.html,2024-09-14,,,,,,,,,,,,
智能振动传感器,敏感元件 + 数据处理单元,监测层、数据层、应用层,华为,集成式,华为,https://www.huawei.com/cn/solutions/internet-of-things,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 模块化电路,物理层、信号处理层,北斗微电子,模块式,北斗微电子,http://www.bdsensor.com/,2024-09-14,,,,,,,,,,,,
接近传感器,敏感元件 + 稳定电路,执行层、控制层,小米科技,集成式,小米科技,https://www.mi.com/sensor/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 处理单元,光感层、输出层,大疆创新,集成式,大疆创新,https://www.dji.com/cn/sensors,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据模块,监测层、反应层,宁德时代,模块式,宁德时代,https://www.catl.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据转换单元,采集层、处理层,赛诺菲,混合式,赛诺菲,https://www.sanofi.com/en/home,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 数据分析机,数据层、控制层,英特尔,集成式,英特尔,https://www.intel.com/content/www/us/en/sensors.html,2024-09-14,,,,,,,,,,,,
多气体传感器,敏感元件 + 微控制器,监控层、决策层,浙江大学,混合式,浙江大学研究实验室,http://www.zju.edu.cn/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 通信模块,感知层、互联网层,中国气象局,模块式,中国气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、应用层、通信层,中兴通讯,模块式,中兴技术中心,https://www.zte.com.cn/,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 数据转换电路 + 接口电路,采集层、处理层、决策层,博世,集成式,博世网站,https://www.bosch.com/,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 信号调理电路,数据层、分析层,汉森技术有限公司,混合式,汉森技术官方网站,https://www.hansentechnology.com/,2024-09-14,,,,,,,,,,,,
光电传感器,敏感元件 + 微处理器 + 数据处理电路,采集层、处理层,京东方科技集团,集成式,京东方资讯,https://www.boe.com/,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 转换元件 + 软件系统,传感层、报告层,华为,模块式,华为技术论坛,https://support.huawei.com/,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 信号调理 + 转换电路,采集层、分析层、输出层,赛默飞世尔科技,集成式,赛默飞官方网站,https://www.thermofisher.com/,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 处理电路 + 通信模块,信号采集层、应用层、输出层,英特尔,混合式,英特尔研究院,https://www.intel.com/,2024-09-14,,,,,,,,,,,,
声音传感器,敏感元件 + 信号调理电路,物理层、数据层、输出层,美国国家仪器公司,集成式,NI官方网站,https://www.ni.com/,2024-09-14,,,,,,,,,,,,
气候监测传感器,敏感元件 + 微处理器 + 信号处理电路,采集层、处理层、监测层,气象科技有限公司,模块式,气象科技平台,https://www.weathertech.com/,2024-09-14,,,,,,,,,,,,
智能家居传感器,敏感元件 + 网关 + 信号传输协议,感知层、网络层、应用层,小米科技,集成式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,小米科技,集成式,小米官方网站,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 转换元件,采集层、处理层,华为技术有限公司,模块式,华为官网,https://www.huawei.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 防护电路,物理层、预警层、响应层,安防科技,混合式,安防网,https://www.security-china.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换元件 + 数据传输模块,监测层、分析层、报告层,深圳水务,集成式,深圳水务局,http://www.szwater.gov.cn/,2024-09-14,,,,,,,,,,,,
纳米传感器,敏感元件 + 微处理器 + 无线通信模块,感知层、计算层、执行层,清华大学电子工程系,模块式,清华大学官网,https://www.tsinghua.edu.cn/,2024-09-14,,,,,,,,,,,,
化学传感器,敏感元件 + 转换电路 + 输出电路,信号采集层、分析层、显示层,中科院化学所,混合式,中科院官网,http://www.cas.cn/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 无线通信模块 + 位置计算单元,监测层、数据层、应用层,阿里云智能,集成式,阿里云官网,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数据处理模块 + 传输接口,感知层、解析层、控制层,GE数字能源,模块式,GE官方网站,https://www.ge.com/,2024-09-14,,,,,,,,,,,,
振幅传感器,敏感元件 + 转换元件 + 数据处理系统,传感层、处理层、输出层,华硕科技,混合式,华硕官网,https://www.asus.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据转换模块 + 显示单元,监测层、分析层、反馈层,华大基因,集成式,华大基因官网,https://www.bgigroup.com/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 电路调节器 + 微控制器,数据采集层、应用层、管理层,新思科技,集成式,新思科技,https://www.sensortec.com/,2024-09-14,,,,,,,,,,,,
湿度传感器,灵敏元件 + 显示模块 + 数据处理单元,采集层、处理层、展现层,智能家居,模块式,智能家居,https://www.smart-home.com/,2024-09-14,,,,,,,,,,,,
光线传感器,光敏元件 + 放大电路 + 处理器,信号层、控制层、操作层,光电科技,混合式,光电科技,https://www.opticaltech.com/,2024-09-14,,,,,,,,,,,,
酒精传感器,敏感元件 + 转换电路 + 微处理器,感知层、分析层、反馈层,安全科技,集成式,安全科技,https://www.safetysensors.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,湿度探测元件 + 信号处理器 + 数据接口,感知层、处理层、输出层,农田监测,模块式,农田监测,https://www.agriculturemonitoring.com/,2024-09-14,,,,,,,,,,,,
震动传感器,震动元件 + 转换电路 + 决策模块,安全层、信息层、控制层,安防科技,混合式,安防科技,https://www.securitytech.com/,2024-09-14,,,,,,,,,,,,
距离传感器,超声波元件 + 信号处理器 + 显示模块,检测层、反馈层、控制层,机器人技术,集成式,机器人技术,https://www.robotictech.com/,2024-09-14,,,,,,,,,,,,
风速传感器,风速探头 + 数据采集模块 + 显示器,检测层、分析层、展现层,气象科技,模块式,气象科技,https://www.weathertech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,水质探测元件 + 信号调理电路 + 数据分析单元,传感器层、分析层、输出层,环境监测,混合式,环境监测,https://www.environmentmonitoring.com/,2024-09-14,,,,,,,,,,,,
电流传感器,电流传感元件 + 转换电路 + 数字接口,监测层、数据层、反馈层,电力系统,集成式,电力系统,https://www.powersystemtech.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 通信模块,环境监测层、数据层、应用层,小米科技,集成式,小米官网,https://www.mi.com/global,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 数字信号处理器,传输层、处理层、输出层,博世传感器,模块式,博世官网,https://www.bosch-sensortec.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 预处理电路 + 数据传输接口,物理层、信号层、应用层,华为技术,混合式,华为研究院,https://www.huawei.com/cn/technology/research,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 控制电路,探测层、处理层、输出层,蒂森克虏伯,集成式,蒂森克虏伯官网,https://www.thyssenkrupp.com/en/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微计算机 + 通信接口,健康监测层、数据处理层、显示层,施耐德电气,模块式,施耐德电气,https://www.se.com/cn/zh/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 信号调理电路 + 接口模块,环境层、监测层、控制层,农田科技,集成式,农田科技,https://www.agritech.com,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 逻辑电路,输入层、处理层、输出层,三星电子,集成式,三星官网,https://www.samsung.com/cn/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 处理单元 + 输出模块,监测层、分析层、控制层,西门子,模块式,西门子官网,https://new.siemens.com/global/en.html,2024-09-14,,,,,,,,,,,,
可燃气体传感器,敏感元件 + 信号调理电路 + 操作单元,探测层、警报层,霍尼韦尔,模块式,霍尼韦尔官网,https://www.honeywell.com/en-us,2024-09-14,,,,,,,,,,,,
氧气传感器,敏感元件 + 数字信号处理器,传感层、通信层,安费诺,集成式,安费诺官网,https://www.amphenol.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、数据层、显示层,海尔集团,模块式,海尔智能家居,https://www.haier.com/cn/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 接口电路,输入层、处理层、输出层,华为技术有限公司,集成式,华为物联网,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 转换元件 + 微处理器,生态层、数据层、应用层,大疆创新,混合式,大疆农业,https://www.dji.com/cn/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数据采集电路,感知层、处理层、反馈层,西门子,集成式,西门子数字化,https://new.siemens.com/cn/zh.html,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 数据处理单元,检测层、报警层,阿里巴巴云,模块式,阿里云,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 转换电路 + 信号处理单元,传感层、处理层、应用层,自动化设备有限公司,混合式,工业自动化,https://www.ia.com.cn/,2024-09-14,,,,,,,,,,,,
气候监测传感器,敏感元件 + 微处理器 + 通信模块,采集层、分析层、报告层,腾讯云,集成式,腾讯云智能,https://cloud.tencent.com/,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 信号调理电路,感知层、处理层、监控层,江河科技,模块式,江河流域监控中心,http://www.rivertech.com.cn/,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 数据处理电路,检测层、分析层、信号层,深圳国防科技,集成式,国防科技,https://www.nstc.org.cn/,2024-09-14,,,,,,,,,,,,
智能红外传感器,敏感元件 + 处理电路 + 无线模块,感知层、传输层、应用层,格力电器,混合式,智能家居,http://www.gree.com/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 数字转换器 + 信号放大电路,传感层、控制层、应用层,清华大学,模块式,清华大学研究院,https://www.tsinghua.edu.cn/,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 微控制器 + 通信接口,传感层、分析层、输出层,华为技术有限公司,集成式,华为官网,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 智能处理器 + 数据调理电路,检测层、处理层、决策层,阿里巴巴,混合式,阿里云,https://cloud.alibaba.com/,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 数字信号处理器,采集层、传输层、应用层,小米科技,集成式,小米官网,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
声音传感器,敏感元件 + 声音处理引擎,输入层、处理层、输出层,索尼电气,模块式,索尼官方网站,https://www.sony.com.cn/,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 生物识别模块,识别层、处理层、反馈层,医疗科技创新中心,集成式,医疗科技,https://www.medtechinnovation.com/,2024-09-14,,,,,,,,,,,,
光电传感器,敏感元件 + 光学转化电路 + 微控制单元,传感层、控制层、执行层,华硕科技,混合式,华硕官网,https://www.asus.com.cn/,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 压力转换电路,设备层、处理层、应用层,西门子,集成式,西门子官网,https://new.siemens.com/cn/zh.html,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 风速数据处理模块,采集层、监控层、反馈层,阳光电源,模块式,阳光电源官网,http://www.gdsolar.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 低功耗微处理器,数据层、分析层、决策层,农业科技研究所,集成式,农业科技,http://www.agritech.com/,2024-09-14,,,,,,,,,,,,
温度与湿度传感器,敏感元件 + 数据处理单元 + 接口电路,采集层、处理层、应用层,华为技术,模块式,物联网研究所,https://www.huawei.com/cn/solutions/iot,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 转换装置 + 数据存储单元,传感层、分析层、应用层,海康威视,混合式,海康威视官网,https://www.hikvision.com/cn/products/,2024-09-14,,,,,,,,,,,,
