评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子纠缠距离,公里,2023-10-05,ENTANGLE-2023-013,量子科学技术期刊,https://www.quantumtechjournal.com,2024-10-21,,,,,,,,,,,,,
量子计算能力,FLOPS,2023-10-15,QCOMPUTE-2023-014,计算机科学评论,https://www.computersciencejournal.com,2024-10-21,,,,,,,,,,,,,
随机基准测试,%,2023-04-20,RBTEST-2023-015,中国密码学会,https://cacr2024.cacrnet.org.cn,2024-10-21,,,,,,,,,,,,,
量子算法效率,个,2023-05-10,QAEFF-2023-016,量子应用技术协会,https://www.qata.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发速率,Kbps,2023-06-22,QKD-2023-017,中国国家量子实验室,http://www.qnl.edu.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠生成率,%,2023-07-15,ENTANGLE-2023-008,量子技术前沿,https://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算机错误率,%,2023-08-25,ERRRATE-2023-009,国际量子计算协会,https://www.iqca.org,2024-10-21,,,,,,,,,,,,,
量子网络覆盖范围,平方公里,2023-09-10,NETCOVER-2023-010,未来科技,https://www.futuretech.com,2024-10-21,,,,,,,,,,,,,
量子算法优化,次,2023-06-05,ALGORITHM-2023-011,量子计算研究中心,https://www.qcresearchcentre.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发安全性,年,2023-04-30,QKDSECURITY-2023-012,网络安全日报,https://www.netsafetynews.com,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,赫兹,2023-03-15,SENSOR-2023-013,科技前线,https://www.techfrontline.cn,2024-10-21,,,,,,,,,,,,,
量子计算系统能效比,GFLOPS/watt,2023-05-22,EFFICIENCY-2023-014,工程技术月刊,https://www.engineeringmonthly.com,2024-10-21,,,,,,,,,,,,,
量子模拟能力,个系统,2023-02-10,QUANTUMSIM-2023-015,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子芯片集成度,百万个量子比特,2023-01-18,CHIPINTEGRATION-2023-016,电子工程师,https://www.electronicengineer.com,2024-10-21,,,,,,,,,,,,,
量子比特保真度,%,2023-07-15,QBD-2023-008,量子技术研究中心,https://www.qtrc.org,2024-10-21,,,,,,,,,,,,,
量子算法运行效率,秒,2023-08-01,QAE-2023-009,人工智能与量子计算论坛,https://www.aiqcf.org,2024-10-21,,,,,,,,,,,,,
量子重复器数量,个,2022-12-20,QUANTUMR-2022-010,国际量子通信大会,https://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子计算能耗,千瓦时,2023-05-10,QEC-2023-011,可持续技术研究所,https://www.sti.org,2024-10-21,,,,,,,,,,,,,
量子态操纵精度,%,2023-09-08,QAP-2023-012,量子物理实验室,https://www.qpl.edu,2024-10-21,,,,,,,,,,,,,
量子纠缠强度,%,2023-06-12,QES-2023-013,量子科学技术杂志,https://www.qstj.org,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2024-01-01,QCNUM-2024-014,全球量子计算市场报告,https://www.qcmarketreport.com,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-10-20,QND-2023-015,网络通信研究院,https://www.nri.edu,2024-10-21,,,,,,,,,,,,,
量子加密强度,比特,2023-11-05,QES-2023-016,国际密码学研究中心,https://www.iprc.edu,2024-10-21,,,,,,,,,,,,,
量子模型预测准确率,%,2023-09-30,QMPA-2023-017,前沿科技杂志,https://www.frontiersci.org,2024-10-21,,,,,,,,,,,,,
量子纠缠测量,个,2023-10-05,ENTANGLE-2023-001,量子科技前沿,http://www.quantumfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算精度,%,2023-09-15,PRECISION-2023-002,高科技产业观察,http://www.techobserver.com,2024-10-21,,,,,,,,,,,,,
量子设备故障率,%,2023-06-25,FAILURE-2023-003,电子科技周刊,http://www.etweekly.com,2024-10-21,,,,,,,,,,,,,
量子网络传输速度,Gbps,2022-11-11,TRANSPEED-2022-004,新科学家,http://www.newscientist.com,2024-10-21,,,,,,,,,,,,,
量子系统稳定性,小时,2022-08-30,STABILITY-2022-005,中国量子技术研究院,http://www.cqtech.com.cn,2024-10-21,,,,,,,,,,,,,
量子态转化效率,%,2023-07-14,EFFICACY-2023-006,物理学报,http://www.appliedphysics.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发距离,公里,2023-05-22,QKD_DIST-2023-007,网络安全杂志,http://www.cybersecurityjournal.com,2024-10-21,,,,,,,,,,,,,
量子模拟速度,次/秒,2023-01-19,SIMULATE-2023-008,计算机科学前沿,http://www.csfrontier.com,2024-10-21,,,,,,,,,,,,,
量子算法性能,倍,2023-04-12,ALGO_PERF-2023-009,人工智能与量子计算期刊,http://www.aiquantumjournal.com,2024-10-21,,,,,,,,,,,,,
量子设备量产能力,台,2023-03-30,PRODUCTION-2023-010,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子安全通信,个,2023-07-15,QCSEC-2023-101,量子科技前沿,https://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子算法优化,次,2023-08-05,ALGO-2023-102,人工智能与量子技术,https://www.aiquantumtech.com,2024-10-21,,,,,,,,,,,,,
量子计算设备功耗,千瓦,2022-06-12,POWER-2022-103,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子纠缠效应,个,2023-09-22,ENTANGLE-2023-104,自然科学杂志,http://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子计算机运行周期,小时,2022-11-11,RUN-2022-105,中国信息通讯研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,,,,,
量子网络信噪比,dB,2023-10-01,SNR-2023-106,量子网络动态,https://www.quantumnetworknews.com,2024-10-21,,,,,,,,,,,,,
量子态制备时间,微秒,2022-03-20,PREP-2022-107,科学进展,http://www.sciencenews.com,2024-10-21,,,,,,,,,,,,,
量子整合度,%,2023-02-28,INTEGRATION-2023-108,中国物理学会,http://www.cps.org.cn,2024-10-21,,,,,,,,,,,,,
量子计算错误率,%,2023-01-12,ERROR-2023-109,物理评论快报,https://prd.aps.org,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-05-23,LATENCY-2023-110,量子技术研究中心,http://www.qtrc.edu.cn,2024-10-21,,,,,,,,,,,,,
量子比特操控精度,μm,2022-09-15,QBC-2022-008,量子技术与应用,https://www.quantumtechjournal.com,2024-10-21,,,,,,,,,,,,,
量子态保持时间,ms,2022-11-01,QPT-2022-009,量子研究前沿,https://www.quantumfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子计算能力,TFLOPS,2023-01-30,QCPOWER-2023-010,科学日报,http://www.sciencedaily.com,2024-10-21,,,,,,,,,,,,,
量子密钥分配有效性,%,2023-03-12,QKD-2023-011,国际信息安全杂志,https://www.intlinfosecjournal.com,2024-10-21,,,,,,,,,,,,,
推动量子技术的企业数量,个,2023-04-25,QTBI-2023-012,科技创新与应用,https://www.technologyinnovation.com,2024-10-21,,,,,,,,,,,,,
量子网络节点数目,个,2023-05-05,QNET-2023-013,互联网研究与发展,https://www.internetresearchjournal.com,2024-10-21,,,,,,,,,,,,,
量子处理器芯片面积,cm²,2023-06-15,QCHIP-2023-014,微电子学报,http://www.journalofmicroelectronics.com,2024-10-21,,,,,,,,,,,,,
量子系统综合效率,%,2023-07-20,QEFF-2023-015,量子计算网络,http://www.quantumcomputingnet.com,2024-10-21,,,,,,,,,,,,,
量子通信带宽,GHz,2023-08-30,QCBT-2023-016,未来网络技术,http://www.futurenetworktechnology.com,2024-10-21,,,,,,,,,,,,,
量子算法实现成功率,%,2023-09-12,QAS-2023-017,人工智能与量子技术,http://www.aiandquantumtech.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-05-10,ENTANGLE-2023-008,量子研究杂志,https://www.qresearchjournal.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,次,2023-07-21,ALGO-2023-009,科学进展,https://www.scienceprogress.cn,2024-10-21,,,,,,,,,,,,,
量子网络安全评级,级,2022-11-15,QSEC-2022-010,网络安全周刊,https://www.cybersecurityweekly.com,2024-10-21,,,,,,,,,,,,,
量子技术投资额,亿人民币,2023-08-30,INVEST-2023-011,科技投资平台,https://www.techinvestment.cn,2024-10-21,,,,,,,,,,,,,
可量子化材料数量,种,2023-02-05,MATERIAL-2023-012,材料科学杂志,https://www.materialssciencejournal.com,2024-10-21,,,,,,,,,,,,,
量子计算机稳定性,天,2022-09-30,STABILITY-2022-013,量子计算前沿,https://www.quantumcomputingfrontier.com,2024-10-21,,,,,,,,,,,,,
量子光源发射功率,毫瓦,2023-03-12,LIGHTSOURCE-2023-014,光电技术观察,https://www.optotechresearch.com,2024-10-21,,,,,,,,,,,,,
量子计算效率评分,分,2023-06-25,EFFICIENT-2023-015,计算机科学评论,https://www.csreview.cn,2024-10-21,,,,,,,,,,,,,
量子逻辑门数量,个,2023-01-14,LOGICGATE-2023-016,国际量子协会,https://www.internationalquantumsociety.org,2024-10-21,,,,,,,,,,,,,
量子信息通信距离,公里,2022-12-05,COMDISTANCE-2022-017,通信技术期刊,https://www.communicationjournal.com,2024-10-21,,,,,,,,,,,,,
量子纠缠性,个,2023-07-15,ENTANGLE-2023-008,量子信息科学网,http://www.qisnet.cn,2024-10-21,,,,,,,,,,,,,
量子态制备时间,毫秒,2023-01-10,STATEPREP-2023-009,国际量子工程协会,http://www.iqea.org,2024-10-21,,,,,,,,,,,,,
量子门密度,个/mm²,2022-12-05,GATEDENSITY-2022-010,科学进展,http://www.scienceprogress.com,2024-10-21,,,,,,,,,,,,,
量子计算机规模,量子比特,2023-08-20,QCSCALE-2023-011,量子技术前沿,http://www.qtechfrontier.com,2024-10-21,,,,,,,,,,,,,
错误率,%,2023-09-01,ERRORRATE-2023-012,量子计算研究所,http://www.qcresearch.org,2024-10-21,,,,,,,,,,,,,
量子传输距离,公里,2023-03-12,QCDISTANCE-2023-013,新材料周刊,http://www.newmaterialsweekly.com,2024-10-21,,,,,,,,,,,,,
量子网络节点数量,个,2023-05-30,QCNODES-2023-014,量子信息技术中心,http://www.qitc.org,2024-10-21,,,,,,,,,,,,,
量子随机数生成速率,Gbps,2022-11-25,QRNG-2022-015,网络安全日报,http://www.networksafetynews.com,2024-10-21,,,,,,,,,,,,,
量子通信延迟,微秒,2023-06-22,QCDLAY-2023-016,通信技术杂志,http://www.comtechmag.com,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,倍,2023-04-18,QCALG-2023-017,计算机科学协会,http://www.csassn.org,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2022-11-15,QBT-2022-008,国家量子中心,http://www.nqc.edu.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠测量,个,2023-03-22,ENTANGLEMENT-2023-009,量子科技论坛,http://www.quantumforum.org,2024-10-21,,,,,,,,,,,,,
量子计算速度,万次操作每秒,2023-07-10,QC-2023-010,新科学家杂志,https://www.newscientist.com,2024-10-21,,,,,,,,,,,,,
量子通信数据传输率,Gbps,2023-02-05,QCDR-2023-011,中国量子通信网络,http://www.cqcn.edu.cn,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-01-30,ALGOEF-2023-012,量子计算研究所,http://www.qcr.ac.cn,2024-10-21,,,,,,,,,,,,,
量子存储时间,分钟,2022-09-13,STORAGE_TIME-2022-013,量子信息与技术,http://www.qit.edu.cn,2024-10-21,,,,,,,,,,,,,
量子网络稳定性,小时,2023-04-12,NETSTABILITY-2023-014,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-08-19,QKD-2023-015,网络通信研究,http://www.nct.edu.cn,2024-10-21,,,,,,,,,,,,,
量子传感器精度,毫秒,2022-12-25,QPRECISION-2022-016,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子算法开发数量,个,2023-09-15,ALGOCOUNT-2023-017,计算机科学杂志,http://www.computersciencejournal.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2022-02-15,QBT-2022-008,量子计算研究中心,http://www.qcrc.org.cn,2024-10-21,,,,,,,,,,,,,
量子算法性能,%,2022-09-10,QPALGO-2022-009,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子通信安全性,级,2023-03-01,QSEC-2023-010,清华大学量子实验室,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2022-11-25,ENTANG-2022-011,量子通信网,http://www.quantumnetwork.org,2024-10-21,,,,,,,,,,,,,
量子存储能力,分,2023-08-05,QSTORAGE-2023-012,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子计算速度,每秒操作数,2023-01-18,QCSPEED-2023-013,北京量子研究所,http://www.bqi.edu.cn,2024-10-21,,,,,,,,,,,,,
门操作错误率,%,2022-12-12,GATEERR-2022-014,量子计算学会,http://www.qcsa.org,2024-10-21,,,,,,,,,,,,,
量子算法复杂性,个逻辑门,2023-04-22,QALCOMPLEX-2023-015,阿里云量子实验室,http://www.aliyun.com,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-07-30,QCDLAY-2023-016,中国信息通信研究院,http://www.catri.cn,2024-10-21,,,,,,,,,,,,,
量子网络稳定性,小时,2023-02-14,QNSTABILITY-2023-017,量子前沿,http://www.quantumfrontier.com,2024-10-21,,,,,,,,,,,,,
量子纠缠态生成,个,2022-09-15,ENTANGLE-2022-008,量子技术前沿,http://www.quantumtech.com,2024-10-21,,,,,,,,,,,,,
量子随机数生成速度,兆位每秒,2023-07-12,QRNG-2023-009,国家量子实验室,http://www.nqlab.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发率,千比特每秒,2023-08-05,QKD-2023-010,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子逻辑门的精确度,%,2023-02-14,GATE_ACC-2023-011,量子信息国际会议,http://www.qi2023.org,2024-10-21,,,,,,,,,,,,,
量子比特交换时间,微秒,2023-09-30,QBIT_SWAP-2023-012,INGLOBAL量子研究中心,http://www.iglobalqc.org,2024-10-21,,,,,,,,,,,,,
量子计算机的能效比,焦耳/计算,2023-10-01,ENERGY-2023-013,IEEE量子论坛,http://www.ieeeqforum.org,2024-10-21,,,,,,,,,,,,,
量子错误纠正能力,%,2022-12-05,ERROR_CORRECT-2022-014,量子科技在线,http://www.quantumtechnologyonline.com,2024-10-21,,,,,,,,,,,,,
量子相位干涉效果,弧度,2023-05-20,PHASE-2023-015,自然科学杂志,http://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子存储时间,小时,2023-03-25,STORAGE_TIME-2023-016,科技创新与应用,http://www.innovationtech.cn,2024-10-21,,,,,,,,,,,,,
量子网络拓扑结构,个,2023-01-10,NET_TOPOLOGY-2023-017,计算机科学学报,http://www.journalofcomputerscience.com,2024-10-21,,,,,,,,,,,,,
量子纠缠特征,个,2023-09-15,ENTANGLE-2023-008,量子科技前沿,https://www.quantumfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子态制备效率,%,2023-07-30,STATE-2023-009,国际量子信息期刊,https://www.iqjournals.org,2024-10-21,,,,,,,,,,,,,
量子计算机稳定性,小时,2022-11-05,STABILITY-2022-010,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子门有效性,%,2023-06-25,GATEEVAL-2023-011,量子技术创新中心,https://www.qtechinnovation.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发安全性,米,2023-08-12,QKDSEC-2023-012,信息安全杂志,https://www.infosecjournal.com,2024-10-21,,,,,,,,,,,,,
量子算法运行时间,秒,2023-10-01,ALGRUNTIME-2023-013,量子算法研究所,https://www.quantumalgorithms.org,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,赫兹,2022-12-16,QSENS-2022-014,前沿科学杂志,https://www.frontiersciencemag.com,2024-10-21,,,,,,,,,,,,,
量子网络拓扑构建,个,2023-08-20,QNTOP-2023-015,泰晤士报高教,https://www.timeshighereducation.com,2024-10-21,,,,,,,,,,,,,
量子模拟器效率,%,2023-09-05,QSIM-2023-016,量子计算研究中心,https://www.qcresearch.org,2024-10-21,,,,,,,,,,,,,
量子状态测量准确度,%,2022-05-10,ACCURACY-2022-017,自然电子学,https://www.nature.com/natureelectronics,2024-10-21,,,,,,,,,,,,,
量子电路设计复杂度,个门,2023-07-01,QCAD-2023-008,量子计算周刊,http://www.quantumweekly.com,2024-10-21,,,,,,,,,,,,,
纠缠对数,对,2023-09-15,ENTANGLE-2023-009,中国科学院,http://www.sciencenews.cn,2024-10-21,,,,,,,,,,,,,
量子算法复杂度,量级,2022-12-10,QAC-2022-010,量子技术展,http://www.quantumtechshow.com,2024-10-21,,,,,,,,,,,,,
量子协议覆盖范围,平方公里,2023-10-05,QPROT-2023-011,国家信息中心,http://www.nic.gov.cn,2024-10-21,,,,,,,,,,,,,
量子计算性能提升率,%,2023-05-20,QPUP-2023-012,中国计算机学会,http://www.ccf.org.cn,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-06-18,QCD-2023-013,Quantum Communication Journal,http://www.qcjournal.org,2024-10-21,,,,,,,,,,,,,
量子网络连接数,个,2023-08-14,QNET-2023-014,信息技术研究中心,http://www.itrc.com,2024-10-21,,,,,,,,,,,,,
量子计算能耗,千瓦时,2023-03-25,QPOWER-2023-015,可再生能源协会,http://www.renewableenergy.org.cn,2024-10-21,,,,,,,,,,,,,
量子位 持久性,小时,2022-11-30,QBSTATUS-2022-016,高能物理杂志,http://www.hitojournal.org,2024-10-21,,,,,,,,,,,,,
量子计算机错误率,%,2023-04-22,ERROR-2023-017,科学技术日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2022-01-15,QBT-2022-008,量子科技,http://www.quantumtech.com/research?id=165,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2022-02-22,ENTANGLE-2022-009,清华大学量子计算研究中心,https://quantum.tsinghua.edu.cn/publications,2024-10-21,,,,,,,,,,,,,
量子计算精度,%,2023-03-10,ACCURACY-2023-010,科技日报,http://www.stdaily.com/news,2024-10-21,,,,,,,,,,,,,
量子算法速度,秒,2023-04-18,ALGSPEED-2023-011,电子科技大学,http://www.uestc.edu.cn/research,2024-10-21,,,,,,,,,,,,,
量子网络拓扑,个,2023-05-05,QT-NET-2023-012,IEEE量子通信杂志,https://quantum.communication.ieee.org,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz,2023-05-20,SENSITIVITY-2023-013,Nature 量子物理,https://www.nature.com/nature/quantum-physics,2024-10-21,,,,,,,,,,,,,
量子密钥分发效率,Mbps,2023-06-15,QKD-2023-014,国际量子通信协会,http://www.iqca.org/publications,2024-10-21,,,,,,,,,,,,,
量子电路深度,层,2023-07-22,CIRCUITDEPTH-2023-015,科学家论坛,https://www.scientistsforum.com/forum/quantum,2024-10-21,,,,,,,,,,,,,
量子计算资源使用率,%,2023-08-30,RESUSE-2023-016,量子经济数据库,http://www.quantum-economy.org/db,2024-10-21,,,,,,,,,,,,,
量子模拟器性能,帧每秒,2023-09-12,SIMULATOR-2023-017,中国应用物理学会,http://www.caps.ac.cn/news,2024-10-21,,,,,,,,,,,,,
量子纠缠深度,个,2023-09-15,ENT-2023-008,量子科技前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算器数量,台,2022-12-01,QCNUM-2022-009,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子安全协议评估,个,2023-08-05,QSE-2023-010,网络安全研究中心,https://www.cybersecurityresearch.org,2024-10-21,,,,,,,,,,,,,
量子点技术成熟度,%,2023-07-20,QDTECH-2023-011,技术日报,http://www.technologydaily.com,2024-10-21,,,,,,,,,,,,,
量子整流速度,微秒,2022-11-30,RECT-2022-012,量子电子学报,http://www.quantumelectronicsjournal.com,2024-10-21,,,,,,,,,,,,,
量子计算效率,GFLOPS,2023-10-01,QCEFF-2023-013,计算机技术与发展,http://www.computertechanddevelopment.com,2024-10-21,,,,,,,,,,,,,
量子连接可靠性,%,2021-09-12,QCREL-2021-014,数据通信杂志,http://www.datacommunicationjournal.com,2024-10-21,,,,,,,,,,,,,
量子隐形传态成功率,%,2023-05-10,ITRAN-2023-015,前沿物理研究,http://www.frontiersofphysicresearch.com,2024-10-21,,,,,,,,,,,,,
量子算法优化程度,%,2022-07-23,ALGOOPT-2022-016,人工智能与量子计算,http://www.aiandquantum.com,2024-10-21,,,,,,,,,,,,,
量子系统兼容性,%,2023-03-18,QSYS-2023-017,电子技术应用,http://www.electronictechapplications.com,2024-10-21,,,,,,,,,,,,,
量子集成电路开发,个,2023-07-15,QIC-2023-008,量子科技前沿,http://www.quantumfrontier.com,2024-10-21,,,,,,,,,,,,,
量子暗物质探测能力,%,2022-11-03,DIR-2022-009,华夏物理,http://www.chinaphysics.com,2024-10-21,,,,,,,,,,,,,
量子密钥分配速率,Mbps,2023-09-02,QKD-2023-010,国际量子通讯协会,https://www.iqca.org,2024-10-21,,,,,,,,,,,,,
量子算法优化程度,次,2023-08-22,QAOPT-2023-011,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子计算机市场规模,亿美元,2023-01-30,MKT-2023-012,行业分析报告,http://www.industryreport.com,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-12-17,QNET-2023-013,中国网络研究,http://www.chinanetwork.org,2024-10-21,,,,,,,,,,,,,
量子态传输效率,%,2022-05-11,QTE-2022-014,量子通讯与网络,http://www.qcnjournal.com,2024-10-21,,,,,,,,,,,,,
量子随机数生成频率,Hz,2022-09-29,QRNG-2022-015,科技导报,http://www.sciencenews.com,2024-10-21,,,,,,,,,,,,,
量子存储时间,秒,2023-10-05,QTIME-2023-016,量子研究与技术,https://www.qrtechnology.com,2024-10-21,,,,,,,,,,,,,
基于量子技术的网络安全性,分,2023-11-18,QCSEC-2023-017,网络安全技术杂志,http://www.cybersecurityjournal.com,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2023-09-12,QBT-2023-008,量子科技前沿,http://www.qtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子纠缠速度,米/秒,2023-10-03,ENTANGLE-2023-009,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子门数量,个,2022-11-05,GATECOUNT-2022-010,量子周刊,http://www.quantweekly.com,2024-10-21,,,,,,,,,,,,,
量子计算能力,FLOPS,2023-07-21,QCAP-2023-011,计算机研究与发展,http://www.cndigital.com,2024-10-21,,,,,,,,,,,,,
测量精度,纳米,2023-08-15,PRECISION-2023-012,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,,,,,
量子网络延迟,微秒,2022-12-12,QNETLATENCY-2022-013,网络科技创新,http://www.innovativenetworks.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发的安全性,%,2023-01-09,QKDSECURITY-2023-014,网络安全与信息化,http://www.cybersecurity.org,2024-10-21,,,,,,,,,,,,,
量子光源性能,个,2023-05-20,QPHOTON-2023-015,物理学报,http://www.chinaphysics.com,2024-10-21,,,,,,,,,,,,,
量子计算机的能耗,千瓦时,2023-06-05,QPOWER-2023-016,新能源研究,http://www.energyresearch.org,2024-10-21,,,,,,,,,,,,,
量子噪声水平,dB,2024-02-01,QNOISE-2024-017,国际量子研究,http://www.internationalquantum.org,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-01-15,ENTANGLE-2023-001,量子科技前沿,https://www.quantumfrontier.cn/,2024-10-21,,,,,,,,,,,,,
量子算法优化,次,2023-07-22,ALGO-OPT-2023-002,中国信息科学学会,https://www.csiac.org.cn/,2024-10-21,,,,,,,,,,,,,
量子计算能力,FLOPS,2023-09-10,QCPOWER-2023-003,科学网,https://www.sciencenet.cn/,2024-10-21,,,,,,,,,,,,,
量子比特缺陷率,%,2023-05-30,QBIT-DEFECT-2023-004,IEEE量子电子学报,https://www.ieee.org/,2024-10-21,,,,,,,,,,,,,
量子通信安全性评估,级,2022-11-05,QSEC-2022-005,中国网络安全周,https://www.cac.gov.cn/,2024-10-21,,,,,,,,,,,,,
量子隐形传态效率,%,2023-08-19,TELEPORT-2023-006,量子研究所,https://www.q-researchinstitute.com/,2024-10-21,,,,,,,,,,,,,
量子存储持久性,小时,2022-03-12,STORAGE-DURABILITY-2022-007,中国科技论文在线,https://www.paper.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子密钥分发有效率,%,2023-10-01,QKD-EFF-2023-008,量子信息技术期刊,https://www.qitjournal.com/,2024-10-21,,,,,,,,,,,,,
量子超级计算机数量,台,2023-02-25,QCNUM-2023-009,计算机学报,https://www.cj-cc.com/,2024-10-21,,,,,,,,,,,,,
量子互联网络可用性,%,2021-12-15,QINET-2021-010,国家量子实验室,https://www.nql.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子计算功耗,瓦特,2022-10-05,POWER-2022-008,量子计算周刊,http://www.quantumweekly.com/,2024-10-21,,,,,,,,,,,,,
相干时间,微秒,2023-01-15,COH-2023-009,科学杂志,https://www.sciencemag.org/,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2022-12-22,ALGO-2022-010,计算机科学评论,https://csreview.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠距离,公里,2023-08-14,ENTANGLE-2023-011,未来科技,http://www.futuretech.com/,2024-10-21,,,,,,,,,,,,,
量子密钥分发率,kbps,2023-07-05,QKD-2023-012,信息安全,https://www.infosecuritymagazine.com/,2024-10-21,,,,,,,,,,,,,
量子态保持时间,毫秒,2023-09-10,STATE-2023-013,物理学前沿,https://www.frontiersinphysics.com/,2024-10-21,,,,,,,,,,,,,
量子传感灵敏度,分贝,2023-02-28,SENS-2023-014,传感器技术,https://www.sensortechnology.com/,2024-10-21,,,,,,,,,,,,,
量子计算机集群数量,台,2024-01-10,CLUSTER-2024-015,国家科技局,http://www.nstc.gov.cn/,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2023-03-12,SIMULATE-2023-016,物理评论,https://journals.aps.org/pr/,2024-10-21,,,,,,,,,,,,,
量子计算失败率,%,2023-04-22,FAILURE-2023-017,量子研究网络,http://www.quantumresearch.org/,2024-10-21,,,,,,,,,,,,,
量子纠缠态保持时间,微秒,2023-09-15,ENTANGLEMENT-2023-008,量子通信杂志,https://qcmjournal.com,2024-10-21,,,,,,,,,,,,,
量子计算机算力,条目,2023-08-01,QCPOWER-2023-009,人工智能时代,https://www.aiscience.com,2024-10-21,,,,,,,,,,,,,
量子速度数据传输,千米/秒,2023-07-20,QUANTUM-2023-010,物理学报,https://www.aps.org,2024-10-21,,,,,,,,,,,,,
量子测量精度,纳米,2023-06-25,MEASPREC-2023-011,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子态信道容量,比特,2023-05-10,CAPACITY-2023-012,中国科技新闻网,https://www.stdnet.com,2024-10-21,,,,,,,,,,,,,
量子保真度,%,2023-04-18,FIDELITY-2023-013,量子技术论坛,https://www.quantumtechforum.com,2024-10-21,,,,,,,,,,,,,
量子网络拓扑结构,个,2023-03-30,NETTOPO-2023-014,量子信息与计算,https://www.qics.org,2024-10-21,,,,,,,,,,,,,
量子算法复杂度,次,2023-02-22,ALGCMPX-2023-015,科研前沿,https://www.frontierresearch.com,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,分贝,2023-01-12,NOISE-2023-016,电子与通信,https://www.etcm.org.cn,2024-10-21,,,,,,,,,,,,,
可扩展性,个量子比特,2022-12-05,SCALABILITY-2022-017,自然科学前沿,https://www.frontierscience.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2023-09-15,ENTANGLE-2023-001,量子科学技术研究所,http://www.qst.edu.cn/,2024-10-21,,,,,,,,,,,,,
