产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,,,,,,,,
数控车床,苏州先进制造有限公司,8000,1200,±0.01 mm,±0.004 mm,±0.02 mm,±0.01 mm,中国数控机床行业协会,https://www.cnc.org.cn,2024-09-20,,,,,,,,,
激光切割机,青岛激光科技有限公司,18000,2000,±0.01 mm,±0.005 mm,±0.03 mm,±0.015 mm,搜狐工业网,https://www.sohu.com/industrial,2024-09-20,,,,,,,,,
水刀切割机,成都水刀科技股份有限公司,7000,1500,±0.02 mm,±0.01 mm,±0.022 mm,±0.012 mm,中国机械工业报,http://www.mm60.com,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限责任公司,750,800,±0.04 mm,±0.02 mm,±0.04 mm,±0.02 mm,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控磨床,北京磨床科技有限公司,3000,900,±0.006 mm,±0.003 mm,±0.018 mm,±0.009 mm,中国设备管理网,http://www.cdm.com.cn,2024-09-20,,,,,,,,,
数控剪切机,辽宁剪切设备股份有限公司,1200,1600,±0.05 mm,±0.025 mm,±0.05 mm,±0.025 mm,中国工程机械工业协会,http://www.cejia.com,2024-09-20,,,,,,,,,
数控激光切割机,哈尔滨激光科技有限公司,16000,2500,±0.012 mm,±0.006 mm,±0.028 mm,±0.014 mm,国家信息中心,http://www.nic.gov.cn,2024-09-20,,,,,,,,,
多功能数控机床,南京多功能机床设备有限公司,5000,1400,±0.015 mm,±0.007 mm,±0.03 mm,±0.015 mm,中国机床工具工业协会,http://www.cmmt.org,2024-09-20,,,,,,,,,
数控切割机,安徽数控设备有限公司,9000,1300,±0.02 mm,±0.01 mm,±0.02 mm,±0.01 mm,行业分析报告,https://www.industryreport.com,2024-09-20,,,,,,,,,
数控铣床,深圳超精机床制造有限公司,15000,1200,±0.008,±0.004,±0.015,±0.008,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控车床,成都机电设备有限公司,7000,900,±0.012,±0.006,±0.022,±0.011,中国机械工业信息网,https://www.cmii.org.cn,2024-09-20,,,,,,,,,
激光切割机,沈阳激光科技有限公司,11000,2000,±0.010,±0.005,±0.018,±0.009,中国激光协会,https://www.cla.org.cn,2024-09-20,,,,,,,,,
水刀切割机,青岛水刀科技有限公司,9000,1500,±0.018,±0.009,±0.021,±0.010,水处理与应用技术杂志,https://www.wattech.com,2024-09-20,,,,,,,,,
数控冲床,武汉冲压机械有限公司,600,1100,±0.025,±0.015,±0.045,±0.018,华中科技大学,https://www.hust.edu.cn,2024-09-20,,,,,,,,,
数控铣床,天津精密机床公司,13000,850,±0.009,±0.004,±0.017,±0.007,环球机械工程网,https://www.globalmachinerynews.com,2024-09-20,,,,,,,,,
激光切割机,南昌激光科技有限公司,12000,1800,±0.012,±0.006,±0.020,±0.011,南昌市科技局,https://www.ncst.gov.cn,2024-09-20,,,,,,,,,
数控车床,西安精密机床有限责任公司,5000,950,±0.015,±0.007,±0.02,±0.01,西安机电商会,https://www.xmech.org.cn,2024-09-20,,,,,,,,,
水刀切割机,合肥水刀科技有限公司,8500,1400,±0.020,±0.011,±0.019,±0.009,安徽省水利厅,https://www.ahwater.gov.cn,2024-09-20,,,,,,,,,
数控冲床,郑州冲压机械公司,400,1050,±0.04,±0.012,±0.06,±0.025,中国机械设备总公司,https://www.cmeic.com.cn,2024-09-20,,,,,,,,,
数控磨床,成都精密机械有限公司,14000,600,±0.005,±0.002,±0.015,±0.007,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
数控电火花机,深圳精密工具公司,3000,500,±0.01,±0.005,±0.022,±0.011,广东省科学技术厅,https://www.gdstc.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉激光科技有限公司,20000,1800,±0.012,±0.006,±0.018,±0.009,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控冲压机,南京机床制造有限公司,1000,800,±0.02,±0.01,±0.03,±0.015,江苏省机械工业局,https://www.jssmji.com,2024-09-20,,,,,,,,,
数控铣床,天津宏德机床有限公司,11000,750,±0.008,±0.004,±0.017,±0.008,中国机械设备网,https://www.chinamm.com,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀科技有限公司,6000,1400,±0.015,±0.007,±0.02,±0.01,国家水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
多功能数控机床,青岛精达机床有限公司,12000,1000,±0.009,±0.0045,±0.02,±0.01,青岛市经济和信息化局,https://www.qd.gov.cn,2024-09-20,,,,,,,,,
数控切割机,沈阳高科机床有限公司,8000,1500,±0.02,±0.01,±0.025,±0.012,辽宁省机器行业协会,https://www.lnjx.com,2024-09-20,,,,,,,,,
数控冲孔机,临沂数控技术有限公司,750,900,±0.04,±0.020,±0.045,±0.022,山东省经济和信息化委员会,https://www.sdjem.gov.cn,2024-09-20,,,,,,,,,
CNC立式加工中心,哈尔滨机床厂,13000,1200,±0.006,±0.003,±0.016,±0.008,东北地区制造业协会,https://www.nordicmachine.com,2024-09-20,,,,,,,,,
数控磨床,苏州精密机械厂,10000,700,±0.005,±0.002,±0.015,±0.008,中国机械工程学会,https://www.cmes.org,2024-09-20,,,,,,,,,
数控激光切割机,天津激光科技有限公司,15000,1300,±0.012,±0.006,±0.02,±0.01,中国激光网,https://www.laser168.com,2024-09-20,,,,,,,,,
数控冲压机,重庆数控设备有限公司,750,950,±0.02,±0.009,±0.03,±0.015,国家智能制造产业技术创新战略联盟,http://www.aimt.cn,2024-09-20,,,,,,,,,
高精度数控车床,沈阳机床股份有限公司,8000,1200,±0.01,±0.005,±0.018,±0.008,中国产业信息网,http://www.cnii.com.cn,2024-09-20,,,,,,,,,
数控锯床,青岛切割设备有限公司,5000,850,±0.03,±0.012,±0.025,±0.014,中国机械工业出版社,http://www.cmp.com.cn,2024-09-20,,,,,,,,,
数控车削中心,深圳数控科技有限公司,12000,1000,±0.007,±0.003,±0.01,±0.005,上海数控装备展,http://www.cmecexpo.com,2024-09-20,,,,,,,,,
水刀切割机,郑州水刀科技有限公司,8500,1350,±0.02,±0.009,±0.02,±0.012,河南工业大学,http://www.htie.edu.cn,2024-09-20,,,,,,,,,
数控雕刻机,杭州艺术科技有限公司,12000,600,±0.004,±0.002,±0.015,±0.007,中国雕刻工业协会,https://www.china-engraving.org,2024-09-20,,,,,,,,,
数控铣车复合机,南京机床有限公司,11000,950,±0.008,±0.004,±0.017,±0.009,互联网产业观察,https://www.internetsurveys.com,2024-09-20,,,,,,,,,
数控木工机械,福州木工机器有限公司,5000,1200,±0.025,±0.012,±0.03,±0.015,全国木材工业协会,http://www.woodindustry.org.cn,2024-09-20,,,,,,,,,
数控磨床,深圳精密机械有限公司,15000,600,±0.005,±0.002,±0.015,±0.007,机械工业发布,https://www.machineryindustry.com,2024-09-20,,,,,,,,,
数控激光雕刻机,武汉激光科技有限公司,20000,500,±0.01,±0.005,±0.02,±0.01,中国科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控电火花机,成都电机社,3000,800,±0.02,±0.01,±0.03,±0.015,中国机床协会,https://www.cmmt.org.cn,2024-09-20,,,,,,,,,
数控折弯机,西安机电厂,1200,1500,±0.05,±0.03,±0.04,±0.02,国防科技工业局,https://www.mod.gov.cn,2024-09-20,,,,,,,,,
数控镗床,青岛机械制造有限公司,8000,1000,±0.02,±0.01,±0.025,±0.012,国际制造业协会,https://www.imma.org,2024-09-20,,,,,,,,,
数控冲剪机,南京机床集团,1500,1100,±0.03,±0.015,±0.05,±0.025,中国科学院,https://www.cas.cn,2024-09-20,,,,,,,,,
数控切割机,沈阳机械设备有限公司,9000,1200,±0.018,±0.008,±0.022,±0.009,中国质量监督局,https://www.aqsiq.gov.cn,2024-09-20,,,,,,,,,
数控切削机,哈尔滨机电公司,2500,850,±0.02,±0.01,±0.04,±0.02,中国制造2025,https://www.china2025.com,2024-09-20,,,,,,,,,
数控焊接机,珠海焊接设备有限公司,5000,700,±0.03,±0.015,±0.03,±0.015,国家焊接学会,https://www.weld.org.cn,2024-09-20,,,,,,,,,
数控流体切割机,厦门新兴机械有限公司,7200,1300,±0.019,±0.008,±0.021,±0.011,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控磨床,武汉精雕机床有限公司,8000,600,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,全国机械设备标准化技术委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
数控冲床,深圳华南机电科技有限公司,1000,1300,±0.02 mm,±0.01 mm,±0.04 mm,±0.015 mm,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,南京天际激光科技有限公司,9000,2000,±0.008 mm,±0.004 mm,±0.015 mm,±0.007 mm,中国激光行业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
双主轴数控车床,重庆机电设备制造有限公司,5000,1200,±0.03 mm,±0.015 mm,±0.02 mm,±0.01 mm,中国机械制造业信息网,https://www.cmmm.com.cn,2024-09-20,,,,,,,,,
五轴联动数控机床,天津华北机械制造有限公司,12000,800,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,全国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控电火花机,西安精密工具有限公司,2000,500,±0.03 mm,±0.02 mm,±0.03 mm,±0.015 mm,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控折弯机,哈尔滨机床集团公司,3000,2500,±0.01 mm,±0.005 mm,±0.01 mm,±0.007 mm,中国产业经济研究院,https://www.aai.org.cn,2024-09-20,,,,,,,,,
数控火焰切割机,辽宁宝钢机器制造有限公司,9500,1800,±0.025 mm,±0.012 mm,±0.02 mm,±0.01 mm,中国钢铁工业协会,https://www.csia.org.cn,2024-09-20,,,,,,,,,
数控剪板机,郑州机床集团有限公司,4000,1200,±0.02 mm,±0.011 mm,±0.02 mm,±0.01 mm,中国机械制造业研究院,https://www.cmiia.com.cn,2024-09-20,,,,,,,,,
高精度数控磨床,苏州先进制造技术有限公司,7000,1000,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,中国机器人产业技术创新战略联盟,https://www.ricita.org,2024-09-20,,,,,,,,,
数控铣床,天津机床制造有限公司,15000,900,±0.008,±0.003,±0.018,±0.009,机械工业部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控车床,深圳先进制造技术研究院,7000,950,±0.015,±0.007,±0.022,±0.011,深圳市经济贸易和信息化委员会,https://www.sz.gov.cn,2024-09-20,,,,,,,,,
激光焊接机,东莞华工激光科技股份有限公司,11000,1600,±0.010,±0.005,±0.020,±0.008,中国激光行业协会,http://www.claas.org.cn,2024-09-20,,,,,,,,,
数控折弯机,苏州数控科技有限公司,3000,1300,±0.020,±0.012,±0.025,±0.015,《数控机床》杂志,http://www.cnc-machine.com,2024-09-20,,,,,,,,,
卧式加工中心,南京机床厂,12000,1200,±0.012,±0.006,±0.020,±0.010,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,重庆激光科技有限公司,9500,2000,±0.015,±0.007,±0.022,±0.010,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,福州水刀科技股份有限公司,8500,1500,±0.018,±0.009,±0.021,±0.014,福建省机械工程学会,http://www.fjmia.com,2024-09-20,,,,,,,,,
数控冲压机,成都冲压设备有限公司,800,1100,±0.025,±0.012,±0.045,±0.020,四川省机械工业联合会,https://www.scjia.org.cn,2024-09-20,,,,,,,,,
数控钻孔机,杭州数控设备有限公司,4000,600,±0.020,±0.008,±0.010,±0.005,浙江省经济和信息化厅,http://www.zjjx.gov.cn,2024-09-20,,,,,,,,,
电火花机,武汉电加工机床有限公司,3000,700,±0.030,±0.015,±0.035,±0.020,行业协会报告,http://www.wuhangov.com,2024-09-20,,,,,,,,,
数控铣床,深圳精密机械公司,14000,900,±0.008,±0.004,±0.015,±0.008,深圳市科技局,https://www.sz.gov.cn,2024-09-20,,,,,,,,,
数控车床,长春机床制造厂,7000,1100,±0.018,±0.009,±0.028,±0.013,吉林省经济和信息化厅,https://www.jl.gov.cn,2024-09-20,,,,,,,,,
激光切割机,兰州激光科技有限公司,13000,1600,±0.012,±0.006,±0.022,±0.011,甘肃省机械工业研究院,http://www.gsjc.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,郑州水切科技有限公司,8500,1250,±0.015,±0.008,±0.019,±0.009,河南省水利厅,http://www.henan.gov.cn,2024-09-20,,,,,,,,,
数控冲床,西安冲压科技有限公司,600,1050,±0.025,±0.012,±0.045,±0.022,陕西省技术监督局,http://www.shaanxi.gov.cn,2024-09-20,,,,,,,,,
数控铣床,广州高科机床有限公司,15000,950,±0.009,±0.002,±0.018,±0.007,广州市科学技术协会,http://www.gz.gov.cn,2024-09-20,,,,,,,,,
数控车床,成都精密器械厂,7500,1200,±0.016,±0.007,±0.020,±0.010,四川省机械工程学会,http://www.sc.gov.cn,2024-09-20,,,,,,,,,
激光切割机,杭州激光技术有限公司,12500,1700,±0.014,±0.008,±0.021,±0.010,浙江省科技厅,http://www.zj.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,南京水切科技有限公司,7800,1300,±0.017,±0.009,±0.023,±0.010,江苏省水利局,http://www.js.gov.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限公司,400,900,±0.022,±0.014,±0.038,±0.019,天津市质量技术监督局,http://www.tianjin.gov.cn,2024-09-20,,,,,,,,,
数控铣床,成都数控机床有限公司,15000,850,±0.008 mm,±0.003 mm,±0.018 mm,±0.009 mm,中国机床工具工业协会,https://www.cmti.org.cn,2024-09-20,,,,,,,,,
数控车床,天津高端机床科技有限公司,7200,1100,±0.015 mm,±0.006 mm,±0.02 mm,±0.01 mm,国际机床制造协会,https://www.imts.com,2024-09-20,,,,,,,,,
激光切割机,广州锐锋激光科技有限公司,12000,1600,±0.012 mm,±0.005 mm,±0.02 mm,±0.011 mm,中国激光协会,https://www.clas.org.cn,2024-09-20,,,,,,,,,
水刀切割机,郑州水刀科技股份有限公司,9000,1400,±0.018 mm,±0.007 mm,±0.017 mm,±0.008 mm,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控冲床,武汉冲床设备有限公司,1000,900,±0.025 mm,±0.012 mm,±0.03 mm,±0.015 mm,国家发展和改革委员会,https://www.ndrc.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳市机床科技有限公司,13000,950,±0.005 mm,±0.002 mm,±0.015 mm,±0.005 mm,中国机电产品流通协会,https://www.cmeia.org.cn,2024-09-20,,,,,,,,,
数控车床,苏州精密机床有限公司,6500,1200,±0.02 mm,±0.01 mm,±0.025 mm,±0.015 mm,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
激光切割机,西安激光科技有限公司,9500,1800,±0.014 mm,±0.006 mm,±0.022 mm,±0.012 mm,中国工程院,https://www.cae.cn,2024-09-20,,,,,,,,,
水刀切割机,南京水刀科技有限公司,8500,1300,±0.019 mm,±0.008 mm,±0.016 mm,±0.009 mm,广东质量监督局,https://www.gzqi.gov.cn,2024-09-20,,,,,,,,,
数控冲床,佛山冲压设备有限公司,750,950,±0.02 mm,±0.01 mm,±0.035 mm,±0.018 mm,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳财神机床科技有限公司,15000,1000,±0.008,±0.003,±0.015,±0.007,中国机械制造协会,https://www.cmma.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,武汉光电科技有限公司,12000,2000,±0.012,±0.005,±0.020,±0.008,行业市场研究网,https://www.idc.com.cn,2024-09-20,,,,,,,,,
数控车床,天津万森机床有限公司,7200,900,±0.02,±0.01,±0.03,±0.015,中国机床行业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控剪板机,重庆工匠机床制造有限公司,4000,3000,±0.025,±0.012,±0.035,±0.020,华南工程机械与设备展览会,https://www.china-smec.com,2024-09-20,,,,,,,,,
数控折弯机,西安天科机电设备有限公司,3500,1500,±0.018,±0.008,±0.022,±0.010,国家机械工业信息中心,https://www.mii.gov.cn,2024-09-20,,,,,,,,,
数控放电加工机,南京捷平机电科技有限公司,7800,600,±0.015,±0.007,±0.019,±0.009,中国机械通用零部件标准化技术委员会,https://www.gbt.org.cn,2024-09-20,,,,,,,,,
数控齿轮加工机,沈阳机床集团有限公司,3000,1200,±0.020,±0.010,±0.032,±0.018,中国机械工业研究院,https://www.cmri.com.cn,2024-09-20,,,,,,,,,
数控打孔机,福建省超越机床有限公司,2000,800,±0.030,±0.014,±0.045,±0.022,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-20,,,,,,,,,
数控切管机,甘肃众合机床设备有限公司,2500,1800,±0.022,±0.011,±0.027,±0.013,中国机床贸易协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控磨床,湖北长江机床制造有限公司,9000,1000,±0.011,±0.005,±0.015,±0.007,中国机械工具协会,https://www.cmta.org.cn,2024-09-20,,,,,,,,,
数控磨床,深圳精密机械厂,7000,600,±0.005 mm,±0.002 mm,±0.015 mm,±0.008 mm,机械制造协会,https://www.machineryassociation.org,2024-09-20,,,,,,,,,
数控放电加工机,南京放电加工有限公司,4000,500,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,中国机电产品进出口商会,https://www.ccpits.org.cn,2024-09-20,,,,,,,,,
五轴联动机床,成都高端机床有限公司,12000,1000,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,时间科技,https://www.znkj.com,2024-09-20,,,,,,,,,
数控剪切机,武汉剪切机械股份公司,900,1500,±0.03 mm,±0.015 mm,±0.025 mm,±0.012 mm,中国工业技术协会,https://www.caitc.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,杭州激光设备有限公司,13000,2000,±0.008 mm,±0.004 mm,±0.015 mm,±0.007 mm,IEEE焊接与切割技术杂志,https://www.ieee.org,2024-09-20,,,,,,,,,
数控冲孔机,青岛冲孔机械有限公司,1000,1200,±0.04 mm,±0.02 mm,±0.03 mm,±0.01 mm,中国机床博览会,https://www.cmechina.com,2024-09-20,,,,,,,,,
数控铣削中心,重庆雕刻机床制造厂,11000,900,±0.006 mm,±0.003 mm,±0.018 mm,±0.009 mm,中国机械行业网,https://www.cmhg.org.cn,2024-09-20,,,,,,,,,
数控滚齿机,福州机床公司,3000,700,±0.02 mm,±0.01 mm,±0.022 mm,±0.011 mm,中国数控技术联盟,https://www.cnctech.org.cn,2024-09-20,,,,,,,,,
数控整形机,唐山整形机床有限公司,1500,1300,±0.025 mm,±0.012 mm,±0.035 mm,±0.015 mm,机械工程师杂志,https://www.engineermagazine.com,2024-09-20,,,,,,,,,
数控车削中心,沈阳机床厂,8000,1200,±0.018 mm,±0.009 mm,±0.028 mm,±0.013 mm,中国机床市场调研,https://www.cnmachine.com,2024-09-20,,,,,,,,,
数控铣床,深圳数控设备有限公司,11000,900,±0.012,±0.006,±0.022,±0.011,中国机电产品进出口商会,https://www.cccme.org.cn,2024-09-20,,,,,,,,,
数控车床,武汉机床股份公司,7200,1200,±0.018,±0.009,±0.028,±0.014,国家统计局,https://www.stats.gov.cn,2024-09-20,,,,,,,,,
激光切割机,成都激光科技有限公司,9500,2000,±0.016,±0.008,±0.023,±0.009,四川省经济和信息化厅,https://www.scjjt.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,青岛水刀科技股份公司,8500,1400,±0.019,±0.010,±0.021,±0.012,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备公司,600,1100,±0.025,±0.013,±0.045,±0.018,天津市质量技术监督局,https://www.tjqa.gov.cn,2024-09-20,,,,,,,,,
数控铣床,南京精密机床有限公司,13000,1000,±0.01,±0.005,±0.02,±0.008,江苏省经济和信息化委员会,https://jseic.jiangsu.gov.cn,2024-09-20,,,,,,,,,
激光切割机,厦门激光科技有限公司,10500,1600,±0.014,±0.007,±0.026,±0.010,福建省投资促进局,https://www.fj.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,沈阳水刀科技股份公司,7800,1300,±0.022,±0.012,±0.030,±0.015,辽宁省机械工业协会,http://www.lnjx.org,2024-09-20,,,,,,,,,
数控车床,长春数控设备有限公司,6500,980,±0.022,±0.011,±0.027,±0.014,吉林省发展改革委员会,http://www.jldfg.gov.cn,2024-09-20,,,,,,,,,
数控冲床,西安冲压设备有限公司,550,950,±0.024,±0.012,±0.045,±0.019,陕西省质监局,http://www.sxszj.gov.cn,2024-09-20,,,,,,,,,
数控折弯机,成都机床制造有限公司,3000,2000,±0.02 mm,±0.01 mm,±0.025 mm,±0.012 mm,中国机电产品进出口商会,https://www.cec.org.cn,2024-09-20,,,,,,,,,
数控磨床,深圳豪威机床制造有限公司,8000,600,±0.005 mm,±0.002 mm,±0.015 mm,±0.005 mm,中国机械工业协会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控放电机,无锡放电机电气科技有限公司,4000,1000,±0.03 mm,±0.015 mm,±0.03 mm,±0.015 mm,无锡市电子科技协会,https://www.wxst.gov.cn,2024-09-20,,,,,,,,,
自动化数控激光切割机,济南激光科技有限公司,12000,1800,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,山东省经济和信息化厅,https://www.sdjxt.gov.cn,2024-09-20,,,,,,,,,
数控剪板机,天津安德机床有限公司,3200,2500,±0.02 mm,±0.01 mm,±0.025 mm,±0.012 mm,天津市机电产品协会,https://www.tjmd.gov.cn,2024-09-20,,,,,,,,,
高速数控铣床,武汉机械产业有限公司,18000,900,±0.008 mm,±0.004 mm,±0.012 mm,±0.006 mm,华中科技大学机械学院,https://www.hust.edu.cn,2024-09-20,,,,,,,,,
数控电火花机,湖南电火花制造公司,2500,750,±0.02 mm,±0.01 mm,±0.025 mm,±0.012 mm,湖南省经济和信息化厅,https://www.hunan.gov.cn,2024-09-20,,,,,,,,,
数控带锯床,安徽机床股份有限公司,6000,1100,±0.01 mm,±0.004 mm,±0.018 mm,±0.008 mm,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控切割机器人,浙江机器人科技有限公司,7000,1600,±0.005 mm,±0.002 mm,±0.015 mm,±0.005 mm,中国机器人产业发展联盟,https://www.cria.org.cn,2024-09-20,,,,,,,,,
智能数控打孔机,上海自动化设备厂,5000,1300,±0.02 mm,±0.01 mm,±0.02 mm,±0.01 mm,上海市经济和信息化委员会,https://www.shejw.gov.cn,2024-09-20,,,,,,,,,
数控铣床,深圳机床有限公司,15000,900,±0.008,±0.004,±0.018,±0.009,中国机床工具行业协会,https://www.cmta.org.cn,2024-09-20,,,,,,,,,
数控车床,成都数控机械厂,7500,1100,±0.015,±0.007,±0.022,±0.011,全国工业信息中心,http://www.industryinfo.gov.cn,2024-09-20,,,,,,,,,
增材制造机,沈阳增材科技有限公司,5000,700,±0.05,±0.02,±0.03,±0.015,中国三维打印网,https://www.3dprint.cn,2024-09-20,,,,,,,,,
数控激光切割机,广州激光科技有限公司,12000,1600,±0.012,±0.006,±0.02,±0.008,国家高技术产业开发区,https://www.nhst.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀科技有限公司,9000,1300,±0.018,±0.009,±0.021,±0.012,中国机械工业信息网,https://www.cmiit.gov.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压设备有限公司,800,900,±0.03,±0.015,±0.04,±0.02,中国质量管理协会,https://www.cqma.org.cn,2024-09-20,,,,,,,,,
数控磨床,无锡磨床制造有限公司,3000,1000,±0.02,±0.01,±0.02,±0.01,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控折弯机,成都机械制造有限公司,4500,850,±0.02,±0.007,±0.015,±0.005,中国机床工具行业协会,https://www.cmta.org.cn,2024-09-20,,,,,,,,,
数控铣床,北方机床制造厂,13500,750,±0.009,±0.004,±0.017,±0.008,中国机床市场分析网,http://www.machineanalysis.cn,2024-09-20,,,,,,,,,
数控滚齿机,青岛滚齿设备有限公司,7200,900,±0.02,±0.01,±0.025,±0.01,中国机械工业协会,https://www.cmi.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,成都激光科技有限公司,15000,2000,±0.01,±0.003,±0.015,±0.006,中国机床协会,https://www.ccmt.com.cn,2024-09-20,,,,,,,,,
数控铣床,广州数控设备有限公司,8000,1000,±0.008,±0.004,±0.018,±0.008,机械信息研究院,https://www.mei.gov.cn,2024-09-20,,,,,,,,,
数控车床,苏州先进制造科技有限公司,5000,1200,±0.02,±0.009,±0.025,±0.012,中国机械设备工程股份有限公司,https://www.cmecc.com.cn,2024-09-20,,,,,,,,,
数控冲床,天津冲压机械厂,1000,1500,±0.03,±0.015,±0.04,±0.018,行业协会,https://www.tjcma.com.cn,2024-09-20,,,,,,,,,
水刀切割机,福州水刀设备有限公司,9000,1300,±0.015,±0.007,±0.021,±0.011,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
高精度数控铣床,沈阳机床股份有限公司,12000,1500,±0.005,±0.002,±0.01,±0.005,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
数控磨床,大连磨床制造有限公司,3000,900,±0.02,±0.009,±0.03,±0.015,中国机械行业协会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控水刀机,郑州水刀科技有限公司,8500,1600,±0.013,±0.005,±0.019,±0.009,中国工程机械行业协会,https://www.cechina.com,2024-09-20,,,,,,,,,
数控激光切割机,洛阳激光制造有限公司,17000,2500,±0.008,±0.002,±0.012,±0.005,中国科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控多轴机,杭州多轴制造有限公司,7200,1400,±0.01,±0.004,±0.02,±0.007,中国加工贸易协会,https://www.ccia.com.cn,2024-09-20,,,,,,,,,
五轴数控铣床,天津机床有限公司,15000,1000,±0.008 mm,±0.004 mm,±0.03 mm,±0.01 mm,《中国机械工程》杂志,https://www.cme.com.cn,2024-09-20,,,,,,,,,
数控磨床,山东精密机床有限公司,8000,750,±0.005 mm,±0.002 mm,±0.01 mm,±0.005 mm,中国机械工业信息网,https://www.cmhc.org.cn,2024-09-20,,,,,,,,,
数控线切割机,深圳新创科技有限公司,4000,1200,±0.015 mm,±0.007 mm,±0.02 mm,±0.01 mm,《现代制造》杂志,https://www.modern-manufacturing.com.cn,2024-09-20,,,,,,,,,
等离子切割机,湖北卓越机电有限公司,11000,1600,±0.02 mm,±0.01 mm,±0.025 mm,±0.012 mm,国家科学技术部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
数控冲床,安徽精工机床科技,700,900,±0.04 mm,±0.018 mm,±0.04 mm,±0.020 mm,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
多功能数控机床,浙江省现代机床制造有限公司,13000,950,±0.009 mm,±0.003 mm,±0.015 mm,±0.006 mm,行业市场调查报告,https://www.chinamachinetool.com,2024-09-20,,,,,,,,,
复合型数控机床,江西精密机械制造有限公司,7500,1150,±0.012 mm,±0.005 mm,±0.018 mm,±0.009 mm,中国机械装备建设发展协会,https://www.cmeia.org.cn,2024-09-20,,,,,,,,,
锯床,福建超越机床制造有限公司,3000,1300,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,中国金属加工协会,https://www.cmma.org.cn,2024-09-20,,,,,,,,,
数控绞车,陕西机床制造有限公司,600,700,±0.03 mm,±0.015 mm,±0.05 mm,±0.02 mm,中国机械科学研究院,https://www.cams.org.cn,2024-09-20,,,,,,,,,
