零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
高压油泵,潍柴动力股份有限公司,潍坊,供给紧张,中国机械工业联合会,http://www.cmif.org.cn,2024-09-19,,,,,,,,,,,,,
ABS系统,博世集团,苏州,供给稳定,汽车电子行业协会,https://www.autoelec.org,2024-09-19,,,,,,,,,,,,,
汽车传感器,瑞萨电子,上海,供给不足,国家半导体行业协会,http://www.semi.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代,宁德,供给稳定,国家新能源汽车产业发展战略咨询委员会,http://www.cnca.gov.cn,2024-09-19,,,,,,,,,,,,,
车载显示屏,京东方科技集团股份有限公司,北京,供应充足,中国电子显示技术协会,https://www.cedta.org.cn,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,东风汽车公司,武汉,供给紧张,中国汽车配件行业协会,http://www.caapa.org.cn,2024-09-19,,,,,,,,,,,,,
铝合金车身,吉利汽车,杭州,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
激光雷达,速腾聚创科技有限公司,深圳,供给不足,国家智能网联汽车技术创新中心,http://www.ncaic.gov.cn,2024-09-19,,,,,,,,,,,,,
动力电池,比亚迪股份有限公司,深圳,供给充足,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给稳定,市场调研报告,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,三菱重工,东京,供给紧张,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
锂离子电池,宁德时代新能源科技股份有限公司,宁德,供给过剩,中国电池工业协会,http://www.cba.org.cn,2024-09-19,,,,,,,,,,,,,
车身结构件,广汽集团,广州,供给稳定,南方日报,https://www.southcn.com,2024-09-19,,,,,,,,,,,,,
驱动电机,美国电动车公司,加州,供给不足,美国汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
换挡器,东风汽车公司,武汉,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
机油泵,德尔福公司,美国,供给紧张,福布斯,https://www.forbes.com,2024-09-19,,,,,,,,,,,,,
汽车导航系统,百度,北京,供给稳定,中国智能汽车产业联盟,http://www.ciaia.org.cn,2024-09-19,,,,,,,,,,,,,
空气悬挂系统,迈凯伦汽车公司,英国,供给不足,英国汽车工业协会,https://www.smmt.co.uk,2024-09-19,,,,,,,,,,,,,
空气过滤器,费尔法克斯公司,加拿大,供给稳定,加拿大汽车协会,https://www.canadianvehicleassociation.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给充足,国家电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
超级电容,深圳市比克电池有限公司,深圳,供给紧张,中国电子技术标准化研究院,https://www.ces.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,美国德尔福汽车系统公司,美国密歇根,供给稳定,国际汽车工程师学会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
车载信息娱乐系统,华为科技有限公司,广东,供给不足,中国互联网信息中心,https://www.cnii.com.cn,2024-09-19,,,,,,,,,,,,,
传感器,飞思卡尔半导体有限公司,新加坡,稳定供给,全球半导体协会,https://www.sia-online.org,2024-09-19,,,,,,,,,,,,,
氢气储存罐,中石油天然气集团有限公司,北京,供给稳定,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
自动变换器,泰科电子有限公司,台湾,供给紧张,台湾电子协会,https://www.teca.org.tw,2024-09-19,,,,,,,,,,,,,
车载雷达,大疆创新科技有限公司,深圳,供给充足,中国无人机产业协会,https://www.uav.org.cn,2024-09-19,,,,,,,,,,,,,
液晶显示屏,京东方科技集团股份有限公司,北京,供给稳定,中国光电产业协会,https://www.copt.org.cn,2024-09-19,,,,,,,,,,,,,
电动电子控制单元,英飞凌科技有限公司,德国,稳定供给,德国电子工业协会,https://www.zvei.org,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给充足,中国电动汽车百人会,http://www.ev100.org.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,华为技术有限公司,深圳,供给紧张,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
动力总成,吉利汽车控股有限公司,杭州,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
智能驾驶芯片,中科院计算技术研究所,北京,供给不足,国家科技部,http://www.most.gov.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,小康汽车,重庆,供给稳定,中国汽车研究中心,http://www.catarc.ac.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向系统,德尔福科技有限公司,美国,供应链紧张,国际汽车工程师学会,http://www.sae.org,2024-09-19,,,,,,,,,,,,,
整车控制系统,北京汽车集团有限公司,北京,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
车轮胎,米其林集团,法国,供给不足,国际橡胶协会,http://www.gupta.com,2024-09-19,,,,,,,,,,,,,
车载充电机,特斯拉公司,美国,供给紧张,电动汽车国家标准化技术委员会,http://www.chinasmartgrid.com,2024-09-19,,,,,,,,,,,,,
集成电路,台积电,台湾,稳定供给,台湾工业局,http://www.moea.gov.tw,2024-09-19,,,,,,,,,,,,,
涡轮增压器,天津汽车集团有限公司,天津,供给正常,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给充足,新能源产业分析报告,http://www.catl.com,2024-09-19,,,,,,,,,,,,,
冷却系统,江铃汽车股份有限公司,江西,供给紧张,汽车零部件协会,https://www.capa.org.cn,2024-09-19,,,,,,,,,,,,,
电动助力转向,广州汽车集团股份有限公司,广州,供给稳定,汽车供应链报告,http://www.gac.com.cn,2024-09-19,,,,,,,,,,,,,
空气过滤器,美国霍尼韦尔国际公司,美国,供给正常,行业市场调研,https://www.honeywell.com,2024-09-19,,,,,,,,,,,,,
车载娱乐系统,华为技术有限公司,深圳,供给充足,科技新媒体,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给紧张,国际轮胎市场分析,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
锂电池,比亚迪股份有限公司,广东,供给正常,新能源协会,http://www.byd.com,2024-09-19,,,,,,,,,,,,,
刹车片,亚太汽车配件有限公司,新加坡,供给不足,汽车技术与市场,https://www.apacautoparts.com,2024-09-19,,,,,,,,,,,,,
发动机 ECU,大众汽车公司,德国,供给稳定,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给充足,中国电动车产业发展报告,https://www.cnev.cn,2024-09-19,,,,,,,,,,,,,
锂离子电池,比亚迪股份有限公司,广东,供给紧张,国家新能源汽车技术创新中心,https://www.nevtech.org.cn,2024-09-19,,,,,,,,,,,,,
车载导航系统,华为技术有限公司,深圳,供应稳定,华为开发者大会,https://developer.huawei.com,2024-09-19,,,,,,,,,,,,,
动力转向系统,上海波士顿动力系统有限公司,上海,供给充足,汽车动力系统研究中心,http://www.adsrc.com,2024-09-19,,,,,,,,,,,,,
防抱死刹车系统 (ABS),大陆集团,德国,供应不足,VDA - 德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
新能源汽车电动机,特斯拉（中国）有限公司,上海,供给稳定,特斯拉官网,https://www.tesla.cn,2024-09-19,,,,,,,,,,,,,
轮胎压力监测系统,米其林轮胎公司,法国,供给充足,全球橡胶市场分析报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
智能驾驶传感器,百度智能驾驶事业部,北京,供给紧张,百度自动驾驶创新论坛,https://ai.baidu.com,2024-09-19,,,,,,,,,,,,,
喷油器,德尔福科技公司,印度,供给不稳定,全球汽车零部件市场研究,https://www.delphi.com,2024-09-19,,,,,,,,,,,,,
车载信息娱乐系统,索尼公司,日本,供应稳定,索尼年度报告,https://www.sony.com,2024-09-19,,,,,,,,,,,,,
传动系统,长城汽车股份有限公司,保定,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池组,宁德时代新能源科技股份有限公司,福建,供给紧张,新能源汽车行业报告,http://www.cnbeta.com,2024-09-19,,,,,,,,,,,,,
动力总成,一汽丰田汽车有限公司,长春,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
车身结构,吉利汽车集团,杭州,供给不足,浙江省经济和信息化委员会,http://www.zjjx.gov.cn,2024-09-19,,,,,,,,,,,,,
传感器,华为技术有限公司,深圳,稳定供给,华为官网,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
气动系统,东风汽车公司,武汉,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
冷却系统,大连重工,大连,供给紧张,辽宁省经济和信息化委员会,http://www.ln.gov.cn,2024-09-19,,,,,,,,,,,,,
内饰材料,万丰奥特控股集团,浙江,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
智能控制模块,中兴通讯股份有限公司,深圳,供给不足,市场调研咨询报告,https://www.zte.com.cn,2024-09-19,,,,,,,,,,,,,
排放系统,博世（中国）投资有限公司,苏州,供给稳定,中国环境保护部,https://www.mee.gov.cn,2024-09-19,,,,,,,,,,,,,
电动转向系统,广汽本田汽车有限公司,广州,供给紧张,汽车制造业协会,https://www.auto.org.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,宁德,供给稳定,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
电子稳定程序 (ESP),博世集团,德国,供给不足,全球汽车电子行业协会,https://www.global-auto.com,2024-09-19,,,,,,,,,,,,,
发动机控制单元 (ECU),万里扬汽车电子技术有限公司,重庆,供给稳定,中国汽车电子协会,https://www.caia.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供应紧张,国际轮胎协会,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
制动片,沃尔沃汽车公司,瑞典,供给稳定,欧洲市场分析机构,https://www.volvocars.com,2024-09-19,,,,,,,,,,,,,
传动轴,陕西重型汽车制造有限公司,西安,供给紧张,中国重型汽车工业协会,http://www.camt.org.cn,2024-09-19,,,,,,,,,,,,,
喷油器,江淮汽车集团,合肥,供给不足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
车载电脑,富士通有限公司,日本,供给稳定,可靠性工程协会,https://www.fujitsu.com,2024-09-19,,,,,,,,,,,,,
汽车灯具,飞利浦公司,荷兰,供给稳定,汽车照明设备协会,https://www.lighting.philips.com,2024-09-19,,,,,,,,,,,,,
电动机,东风汽车公司,武汉,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电池组,宁德时代新能源科技股份有限公司,宁德,供给紧张,新能源汽车产业发展报告,https://www.cnbm.com.cn,2024-09-19,,,,,,,,,,,,,
喷油器,威驰汽车科技有限公司,广州,供给稳定,汽车零部件行业协会,https://www.auto.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给符合需求,全球轮胎市场趋势报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
车载计算机,华为技术有限公司,深圳,供给不足,科技与汽车融合发展论坛,https://www.huawei.com,2024-09-19,,,,,,,,,,,,,
离合器,吉利汽车集团,杭州,供给稳定,汽车零部件产业链分析,https://www.geely.com,2024-09-19,,,,,,,,,,,,,
安全气囊,塔塔汽车公司,印度,供给紧张,国际汽车安全标准协会,https://www.tatamotors.com,2024-09-19,,,,,,,,,,,,,
电动助力转向,峨眉山电气集团,四川,供给稳定,中国电力设备行业协会,https://www.cedpa.org.cn,2024-09-19,,,,,,,,,,,,,
传感器,意法半导体,义乌,供给不足,半导体行业发展报告,https://www.st.com,2024-09-19,,,,,,,,,,,,,
发动机,长城汽车股份有限公司,保定,供给稳定,中国汽车产业发展月刊,https://www.gwm.com.cn,2024-09-19,,,,,,,,,,,,,
汽车控制系统,华为技术有限公司,深圳,供给稳定,行业分析报告,https://www.huaweitech.com,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给紧张,中国电池工业协会,https://www.cbia.org.cn,2024-09-19,,,,,,,,,,,,,
转向系统,采埃孚公司,德国,供给稳定,德国机械制造与工程协会,https://www.vdma.org,2024-09-19,,,,,,,,,,,,,
车载传感器,伟创力有限公司,东莞,供给充足,电子元件行业观察,https://www.weicreative.com,2024-09-19,,,,,,,,,,,,,
电池管理系统,松下电器产业株式会社,日本,供给紧张,日本电气产业协会,https://www.jema-net.or.jp,2024-09-19,,,,,,,,,,,,,
底盘系统,中国重汽集团,济南,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
智能驾驶系统,百度智能汽车公司,北京,供给充足,人工智能产业发展报告,https://www.baidu.com,2024-09-19,,,,,,,,,,,,,
气囊系统,福特汽车公司,美国,供给稳定,美国汽车制造商协会,https://www.americanautomakers.com,2024-09-19,,,,,,,,,,,,,
机电一体化系统,西门子公司,德国,供给紧张,德国工业协会,https://www.bdi.eu,2024-09-19,,,,,,,,,,,,,
无线充电系统,特斯拉公司,美国,供给充足,电动汽车市场分析,https://www.tesla.com,2024-09-19,,,,,,,,,,,,,
传动轴,西安重型汽车有限公司,西安,供给紧张,中国机械工业联合会,https://www.cmif.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林轮胎有限公司,法国,供给稳定,国际轮胎工业协会,https://www.brg.org,2024-09-19,,,,,,,,,,,,,
车身结构件,广汽集团,广州,供给充足,中国汽车零部件协会,https://www.cpca.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,安波福国际有限公司,美国,供给不足,市场研究报告,https://www.marketresearch.com,2024-09-19,,,,,,,,,,,,,
燃油泵,大陆集团,德国,供给稳定,欧洲汽车供应链协会,https://www.clear-scc.eu,2024-09-19,,,,,,,,,,,,,
电池管理系统,比亚迪有限公司,深圳,供给充足,中国国际电子电气展览会,https://www.cihie.com,2024-09-19,,,,,,,,,,,,,
车灯,飞利浦照明,荷兰,供给稳定,全球照明产业协会,https://www.illuminatingengineering.org,2024-09-19,,,,,,,,,,,,,
冷却系统,南昌航空工业集团,南昌,供给紧张,中国航空工业集团,https://www.avic.com,2024-09-19,,,,,,,,,,,,,
气囊,德尔福汽车系统有限公司,美国,供给充足,国家公路交通安全管理局,https://www.nhtsa.gov,2024-09-19,,,,,,,,,,,,,
传感器,汇川技术股份有限公司,上海,供给稳定,中国传感器产业发展报告,https://www.csir.org.cn,2024-09-19,,,,,,,,,,,,,
电池组,宁德时代新能源科技股份有限公司,福建,供给紧张,行业报告,http://www.catl.com,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,稳定供给,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,大连重工,大连,供给充足,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给不足,全球轮胎市场报告,https://www.michelin.com,2024-09-19,,,,,,,,,,,,,
车载系统芯片,联发科技股份有限公司,台湾,供给紧张,科技新闻,https://www.mediatek.com,2024-09-19,,,,,,,,,,,,,
空气滤清器,曼牌滤清器公司,德国,稳定供给,德国汽车工业协会,https://www.mahle.com,2024-09-19,,,,,,,,,,,,,
冷却系统,潍柴动力股份有限公司,潍坊,供给不足,潍坊市经济和信息化局,http://www.weichai.com,2024-09-19,,,,,,,,,,,,,
动力系统,丰田汽车公司,日本,稳定供给,丰田官网,https://www.toyota-global.com,2024-09-19,,,,,,,,,,,,,
液压系统,凯傲集团,德国,供给紧张,德国机械工程联合会,https://www.konecranes.com,2024-09-19,,,,,,,,,,,,,
安全气囊,高田公司,日本,稳定供给,安全技术协会,http://www.takata.com,2024-09-19,,,,,,,,,,,,,
涡轮增压器,广州汽车集团股份有限公司,广州,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,稳定供给,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
车载导航系统,华为技术有限公司,深圳,供给不足,电子科技协会,https://www.electronicsassociation.org,2024-09-19,,,,,,,,,,,,,
发动机,上汽集团,上海,稳定供给,国家经济和信息化委员会,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
车身结构件,长城汽车,保定,供给紧张,汽车产业研究院,https://www.auto-research.com,2024-09-19,,,,,,,,,,,,,
LED照明灯,大同市光电科技有限公司,大同,稳定供给,中国照明电器协会,https://www.clc.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,天津智能电子公司,天津,供给不足,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
玻璃升降器,浙江万丰奥特控股集团有限公司,浙江,供给稳定,中国汽车零部件工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
排放控制系统,费加罗汽车部件公司,美国,供给紧张,美国汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
内饰件,法雷奥集团,法国,稳定供给,国际汽车部件协会,https://www.aim.eu,2024-09-19,,,,,,,,,,,,,
电池管理系统,宁德时代新能源科技股份有限公司,福建,供给稳定,能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
动力总成,吉利汽车集团,杭州,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
轮胎,米其林（中国）投资有限公司,上海,稳定供给,中国橡胶工业协会,http://www.cria.org.cn,2024-09-19,,,,,,,,,,,,,
燃油喷射系统,大陆集团,德国,供给不足,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
车载显示屏,华为技术有限公司,深圳,供给稳定,中国电子信息产业发展研究院,http://www.ccidgroup.com,2024-09-19,,,,,,,,,,,,,
自动刹车系统,博世集团,德国,供给紧张,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
电子控制单元,安波福技术公司,美国,供给稳定,美国汽车工业协会,https://www.autoalliance.org,2024-09-19,,,,,,,,,,,,,
车身结构件,上汽集团,上海,供给正常,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
智能传感器,索尼（中国）有限公司,北京,供给紧张,国家发展改革委员会,https://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
辅助驾驶系统,小鹏汽车,广州,供给稳定,中国智能汽车产业发展联盟,http://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
电子控制单元,华为技术有限公司,深圳,供给不足,中国电子信息产业发展研究院,http://www.ccidnet.com,2024-09-19,,,,,,,,,,,,,
悬挂系统,丰田汽车公司,日本,稳定供给,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,福建,供给紧张,中国电池行业协会,https://www.chinabattery.org,2024-09-19,,,,,,,,,,,,,
车载传感器,德赛西威,广州,供给稳定,中国智能汽车产业协会,http://www.caias.org,2024-09-19,,,,,,,,,,,,,
轮胎,米其林集团,法国,供给充足,国际轮胎制造商协会,https://www.britishtyreindustry.org,2024-09-19,,,,,,,,,,,,,
传动轴,吉林汽车制造厂,吉林,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
汽车电池管理系统,LG化学公司,韩国,供给稳定,韩国电池协会,https://www.kbma.or.kr,2024-09-19,,,,,,,,,,,,,
气囊,大陆集团,德国,供给不足,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
刹车片,三菱汽车工业有限公司,日本,供给稳定,日本汽车制造商协会,https://www.jama.or.jp,2024-09-19,,,,,,,,,,,,,
轮毂,中航工业,成都,供给充足,中国机械工业联合会,http://www.cmif.org.cn,2024-09-19,,,,,,,,,,,,,
