机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.002 μm,高,7,g,全球激光技术协会,https://www.laserglobal.com,2024-09-21,,,,,,,,,,,
水刀切割机,0.03,±0.04 μm,Ra < 0.009 μm,中,2,g,中国水切割技术协会,https://www.waterrjet.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.04 μm,高,5,g,中国金属加工协会,https://www.cmta.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.01,±0.008 μm,Ra < 0.022 μm,高,6,g,国际机械工程师学会,https://www.imeche.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.012,±0.015 μm,Ra < 0.020 μm,中,3,g,机械工程资讯网,https://www.machineryinfo.com,2024-09-21,,,,,,,,,,,
激光切割机,0.006,±0.009 μm,Ra < 0.003 μm,高,7,g,中国激光加工网,https://www.chinalaser.org,2024-09-21,,,,,,,,,,,
水刀切割机,0.025,±0.05 μm,Ra < 0.012 μm,中,2,g,中国高科技产业协会,https://www.chinatech.org,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.007 μm,Ra < 0.035 μm,高,6,g,机械制造创新成果展示平台,https://www.innovationmachinery.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.020 μm,中,3,g,国家工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
多功能超精密机床,0.005,±0.01 μm,Ra < 0.018 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.008 μm,Ra < 0.007 μm,高,8,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.003,±0.01 μm,Ra < 0.003 μm,高,5,g,中国轻工机械协会,https://www.clmea.org.cn,2024-09-21,,,,,,,,,,,
超精密水刀切割机,0.004,±0.02 μm,Ra < 0.006 μm,中,4,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机床,0.006,±0.015 μm,Ra < 0.009 μm,中,3,g,中国机床工具工业协会,https://www.cmtii.org.cn,2024-09-21,,,,,,,,,,,
超精密纳米加工机床,0.001,±0.005 μm,Ra < 0.002 μm,高,9,g,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣削加工机,0.008,±0.007 μm,Ra < 0.012 μm,中,4,g,中国进出口银行,https://www.cebbank.com,2024-09-21,,,,,,,,,,,
超精密钻床,0.009,±0.008 μm,Ra < 0.008 μm,高,6,g,中国汽车工业协会,https://www.caam.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.008 μm,Ra < 0.015 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.012 μm,Ra < 0.020 μm,中,4,g,中国机械工业教育协会,http://www.cmiea.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.018 μm,Ra < 0.007 μm,高,5,g,全国工业与信息化统计机构,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.010 μm,中,3,g,中国机电产品进出口商会,http://www.cccm.com.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.002 μm,高,7,g,国家技术监督局,http://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.009 μm,Ra < 0.018 μm,高,5,g,中国机械工程学会,http://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.006 μm,高,6,g,国家工业信息安全发展研究中心,http://www.ciisc.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.035 μm,Ra < 0.008 μm,中,4,g,国际机床工具协会,http://www.ima.de,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.014 μm,Ra < 0.003 μm,高,5,g,中国机械工业发展中心,http://www.cmeic.com,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.002 μm,Ra < 0.001 μm,极高,8,g,国际精密加工技术协会,http://www.ippmt.org,2024-09-21,,,,,,,,,,,
超精密加工中心,0.008,±0.005 μm,Ra < 0.012 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密激光雕刻机,0.009,±0.012 μm,Ra < 0.008 μm,中,4,g,机械工业出版社,https://www.mep.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.007,±0.006 μm,Ra < 0.015 μm,高,6,g,工程技术研究中心,https://www.cerc.org.cn,2024-09-21,,,,,,,,,,,
超精密锯床,0.006,±0.02 μm,Ra < 0.03 μm,中,3,g,电子工业出版社,https://www.eepw.com.cn,2024-09-21,,,,,,,,,,,
超精密切割机,0.005,±0.004 μm,Ra < 0.02 μm,高,8,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密针床,0.003,±0.007 μm,Ra < 0.018 μm,低,2,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密数控车床,0.004,±0.009 μm,Ra < 0.016 μm,中,5,g,国家信息中心,https://wwwnic.gov.cn,2024-09-21,,,,,,,,,,,
超精密卧式磨床,0.006,±0.015 μm,Ra < 0.022 μm,高,7,g,国家机械设备监管局,https://www.secm.gov.cn,2024-09-21,,,,,,,,,,,
超精密立式铣床,0.005,±0.008 μm,Ra < 0.01 μm,高,6,g,中国数控技术协会,https://www.cncabc.org.cn,2024-09-21,,,,,,,,,,,
超精密磨光机,0.007,±0.005 μm,Ra < 0.004 μm,中,4,g,全国工业和信息化工作协调委员会,https://www.nic.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,国际精密机械协会,https://www.ipma.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.007 μm,Ra < 0.02 μm,中,4,g,欧洲机械制造协会,https://www.emma.eu,2024-09-21,,,,,,,,,,,
激光切割机,0.012,±0.012 μm,Ra < 0.008 μm,中,5,g,亚太经济委员会,https://www.apec.org,2024-09-21,,,,,,,,,,,
水刀切割机,0.01,±0.02 μm,Ra < 0.01 μm,高,5,g,中国机床工具工业协会,https://www.cttia.org,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.01 μm,Ra < 0.03 μm,高,5,g,全球机械工程联合会,https://www.wmef.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.003 μm,Ra < 0.012 μm,高,7,g,全球制造行业协会,https://www.globalmanufacturing.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.004 μm,Ra < 0.015 μm,中,4,g,机械工程学会,https://www.asme.org,2024-09-21,,,,,,,,,,,
激光切割机,0.011,±0.008 μm,Ra < 0.009 μm,高,5,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.01 μm,Ra < 0.007 μm,高,6,g,水工业研究所,https://www.waterindustry.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.02 μm,高,8,g,国家机器人标准化技术委员会,https://www.nbsa.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.008 μm,Ra < 0.02 μm,高,6,g,机械科学研究院,http://www.imeri.com.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.02 μm,Ra < 0.01 μm,中,4,g,天津市工业和信息化局,http://guojitijian.tianjin.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.003,±0.01 μm,Ra < 0.008 μm,高,8,g,中国激光加工网,https://www.clcw.com.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.04 μm,Ra < 0.03 μm,中,5,g,中国机床工具工业协会,http://www.cmmtc.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.004,±0.006 μm,Ra < 0.012 μm,高,9,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光雕刻机,0.007,±0.005 μm,Ra < 0.009 μm,高,10,g,中国制造业协会,http://www.cmf.com.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.001,±0.007 μm,Ra < 0.005 μm,高,5,g,山东省机械工业协会,http://www.sdmia.org,2024-09-21,,,,,,,,,,,
超精密阳模机,0.006,±0.009 μm,Ra < 0.018 μm,中,4,g,广州市经济和信息化局,http://www.gz.gov.cn,2024-09-21,,,,,,,,,,,
精密电火花机,0.0025,±0.003 μm,Ra < 0.007 μm,高,6,g,国家电气产品质量监督检测中心,http://www.cqc.com.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.02,Ra < 0.022,高,6,g,中国航空工业集团,https://www.avic.com,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.015,Ra < 0.018,中,4.5,g,全国机械信息中心,https://www.cmii.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.018,Ra < 0.006,高,7,g,中国科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.03,±0.025,Ra < 0.012,中,3.5,g,中国机械设备工程股份有限公司,http://www.ceec.net.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.005,Ra < 0.02,高,5.5,g,中国智能制造科技创新战略联盟,http://www.aimt.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.02,Ra < 0.02,中,5,g,行业协会科技发展部,http://www.techassociation.org,2024-09-21,,,,,,,,,,,
激光切割机,0.012,±0.02,Ra < 0.003,高,6.5,g,国家技术标准研究院,http://www.nisl.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.025,±0.01,Ra < 0.015,中,4,g,机器人工程技术中心,http://www.robotics.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.012,Ra < 0.02,高,5.2,g,中国科学院,http://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.007,Ra < 0.001,高,8,g,智能制造研究院,http://www.aim.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,中,4,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密光刻机,0.003,±0.002 μm,Ra < 0.01 μm,高,6,g,科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.015 μm,Ra < 0.02 μm,高,5,g,广东省机械工业协会,http://www.gdmi.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.008 μm,Ra < 0.018 μm,中,4.5,g,江苏省政府,http://www.jiangsu.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.001,±0.01 μm,Ra < 0.007 μm,高,7,g,国家科技创新2030重大项目,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密水刀切割机,0.02,±0.025 μm,Ra < 0.02 μm,中,3,g,中国机械工程学会,http://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密电子束曝光机,0.0015,±0.005 μm,Ra < 0.008 μm,高,5.5,g,半导体行业协会,http://www.siaonline.org,2024-09-21,,,,,,,,,,,
超精密冲床,0.008,±0.015 μm,Ra < 0.015 μm,高,4.2,g,国家制造业转型升级促进中心,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密珩磨机,0.006,±0.010 μm,Ra < 0.022 μm,中,3.5,g,中国国际机械展览会,http://www.cimefair.com,2024-09-21,,,,,,,,,,,
超精密喷墨打印机,0.004,±0.012 μm,Ra < 0.006 μm,高,6,g,中国印刷及设备器材工业协会,http://www.cpiia.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,6,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.004 μm,Ra < 0.003 μm,高,8,g,国家新技术产业化研究基地,https://www.nst.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.007 μm,中,4,g,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.02 μm,高,5,g,杭州市经济和信息化局,https://www.hangzhou.gov.cn,2024-09-21,,,,,,,,,,,
数控铣床,0.01,±0.015 μm,Ra < 0.009 μm,高,6,g,中国工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
钻孔机,0.018,±0.020 μm,Ra < 0.01 μm,中,5,g,天津市科学技术局,https://www.tj.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光刻蚀机,0.005,±0.007 μm,Ra < 0.002 μm,高,9,g,深圳市光明区科技局,https://www.szgm.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.006,±0.003 μm,Ra < 0.004 μm,高,5,g,国家电力公司,https://www.sgcc.com.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.002,±0.002 μm,Ra < 0.001 μm,中,8,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国航空工业集团,https://www.avic.com,2024-09-21,,,,,,,,,,,
超精密磨床,0.012,±0.015 μm,Ra < 0.018 μm,中,4,g,湖南省机械工业协会,http://www.hnmech.org,2024-09-21,,,,,,,,,,,
激光切割机,0.009,±0.012 μm,Ra < 0.004 μm,高,7,g,国家科技发展局,http://www.nst.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.006 μm,中,3,g,河北省机械制造协会,http://www.hbmm.org,2024-09-21,,,,,,,,,,,
超精密车床,0.007,±0.01 μm,Ra < 0.02 μm,高,5,g,深圳市工业和信息化局,http://www.szgm.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.007 μm,Ra < 0.012 μm,高,8,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.02 μm,Ra < 0.022 μm,中,4.5,g,上海机械工业联合会,http://www.shmia.org,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.009 μm,Ra < 0.003 μm,高,7.5,g,国家能源局,http://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.035 μm,Ra < 0.009 μm,中,2,g,江苏省经济和信息化委员会,http://www.jiangsugov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.01 μm,高,5.5,g,中国创新设计产业促进会,http://www.cidi.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.008,Ra < 0.015,高,7,g,中国机械行业协会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花加工机,0.02,±0.02,Ra < 0.03,中,4,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
超精密光刻机,0.003,±0.005,Ra < 0.01,高,8,g,中国半导体产业协会,https://www.china-semi.org,2024-09-21,,,,,,,,,,,
超精密激光加工机,0.001,±0.004,Ra < 0.008,高,9,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.015,Ra < 0.02,中,5,g,中国机械设备制造业协会,https://www.cmema.org.cn,2024-09-21,,,,,,,,,,,
超精密切割机,0.006,±0.012,Ra < 0.009,高,6,g,中国自动化学会,https://www.caa.org.cn,2024-09-21,,,,,,,,,,,
超精密冲压机,0.02,±0.02,Ra < 0.025,中,4,g,中国制造业联合会,https://www.cmmi.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.007,Ra < 0.02,高,5,g,中国科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光铣床,0.003,±0.009,Ra < 0.006,高,7,g,中国光电协会,https://www.cpoa.org.cn,2024-09-21,,,,,,,,,,,
超精密超声加工机,0.02,±0.03,Ra < 0.022,中,3,g,国家质量监督局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007 nm,±0.012 μm,Ra < 0.02 μm,高,5.5,g,国际精密机床协会,https://www.ippma.org,2024-09-21,,,,,,,,,,,
微米级车床,0.008 nm,±0.008 μm,Ra < 0.015 μm,中,4.8,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.005 nm,±0.01 μm,Ra < 0.012 μm,高,6,g,日本机床制造商协会,https://www.jmtba.or.jp,2024-09-21,,,,,,,,,,,
激光切割机,0.009 nm,±0.014 μm,Ra < 0.002 μm,高,5.2,g,欧盟工业标准化组织,https://www.cen.eu,2024-09-21,,,,,,,,,,,
超精密数控铣床,0.006 nm,±0.009 μm,Ra < 0.018 μm,中,4.5,g,国际机床展组织,https://www.emo-hannover.de,2024-09-21,,,,,,,,,,,
水刀切割机,0.015 nm,±0.025 μm,Ra < 0.009 μm,中,3.8,g,美国机械工程师协会,https://www.asme.org,2024-09-21,,,,,,,,,,,
超精密电火花机,0.004 nm,±0.007 μm,Ra < 0.003 μm,高,7,g,国家智能制造产业技术创新战略联盟,https://www.caimit.org.cn,2024-09-21,,,,,,,,,,,
激光打标机,0.005 nm,±0.01 μm,Ra < 0.001 μm,高,5.6,g,国际激光协会,https://www.lia.org,2024-09-21,,,,,,,,,,,
超精密多功能机床,0.006 nm,±0.011 μm,Ra < 0.014 μm,中,4.9,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
粉末冶金设备,0.012 nm,±0.020 μm,Ra < 0.021 μm,中,5.1,g,中国材料研究学会,https://www.scmr.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.008 μm,Ra < 0.018 μm,中,4,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.01 μm,Ra < 0.020 μm,高,5,g,国际机床制造商协会,https://www.imts.com,2024-09-21,,,,,,,,,,,
激光切割机,0.002,±0.012 μm,Ra < 0.004 μm,高,7,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.008 μm,中,3,g,中国机械工业研究院,http://www.cmiia.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.007,±0.015 μm,Ra < 0.017 μm,很高,6,g,国家制造业转型升级资金管理中心,http://www.nmp.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.012 μm,Ra < 0.022 μm,中,4,g,中国机电产品进出口商会,http://www.ccap.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.009 μm,Ra < 0.019 μm,高,5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.001,±0.014 μm,Ra < 0.003 μm,高,8,g,中国自动化学会,http://www.icia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.017,±0.026 μm,Ra < 0.007 μm,低,3,g,中国国际机床展览会,http://www.cimto.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.008 μm,Ra < 0.015 μm,高,6,g,国际机器人联合会,https://www.ifr.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.018 μm,中,4,g,中国制造业协会,https://www.cmmi.org.cn,2024-09-21,,,,,,,,,,,
电子束曝光机,0.005,±0.005 μm,Ra < 0.002 μm,高,8,g,半导体行业协会,https://www.semi.org,2024-09-21,,,,,,,,,,,
纳米级打磨机,0.001,±0.003 μm,Ra < 0.001 μm,中,2,g,国家纳米技术中心,https://www.nano.gov,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.007 μm,Ra < 0.020 μm,高,5,g,中科院机械研究所,https://www.imech.cas.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.02 μm,Ra < 0.005 μm,高,7,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.012 μm,中,3,g,中国机械科学研究院,https://www.camsc.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.009 μm,Ra < 0.022 μm,高,5,g,中国先进制造技术研究院,https://www.camr.ac.cn,2024-09-21,,,,,,,,,,,
立式加工中心,0.01,±0.015 μm,Ra < 0.030 μm,高,4,g,国家工业机器人检验中心,https://www.robotinspection.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.005 μm,Ra < 0.015 μm,中,4,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.006,±0.012 μm,Ra < 0.018 μm,中,4,g,机床工具行业协会,https://www.cmta.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.02 μm,高,6,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.007 μm,高,5,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.012 μm,中,3,g,中华人民共和国内贸部,https://www.mofcom.gov.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.003,±0.005 μm,Ra < 0.004 μm,高,8,g,国家电子技术标准化委员会,https://www.semi.org.cn,2024-09-21,,,,,,,,,,,
超精密钻床,0.007,±0.006 μm,Ra < 0.011 μm,中,4,g,中国机电产品进出口商会,https://www.ccpits.org.cn,2024-09-21,,,,,,,,,,,
超精密打磨机,0.002,±0.003 μm,Ra < 0.002 μm,高,5,g,中国先进制造技术研究院,https://www.camt.ac.cn,2024-09-21,,,,,,,,,,,
超精密电铣床,0.0005,±0.004 μm,Ra < 0.001 μm,高,9,g,国家标准局,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密喷涂机,0.01,±0.02 μm,Ra < 0.03 μm,中,3,g,中国喷涂行业协会,https://www.cpia.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.0023,±0.005 μm,Ra < 0.012 μm,中,4,g,国家科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.005,±0.01 μm,Ra < 0.015 μm,高,5,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.006 μm,Ra < 0.01 μm,高,7,g,国家机械工业信息中心,https://www.mii.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.008 μm,Ra < 0.004 μm,高,6,g,中国国家标准院,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.02 μm,中,3,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.001,±0.003 μm,Ra < 0.008 μm,高,6,g,中国质量认证中心,https://www.cqc.com.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.004,±0.01 μm,Ra < 0.02 μm,中,4,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.007 μm,Ra < 0.009 μm,高,5,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.008,±0.015 μm,Ra < 0.003 μm,高,8,g,工信部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.012,±0.025 μm,Ra < 0.027 μm,低,2,g,中国科研院所,https://www.cra.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.012,Ra < 0.018,高,6,g,中国机床工具工业协会,https://www.cmtma.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.015,Ra < 0.022,中,4,g,中国制造业协会,https://www.cmf.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.009,Ra < 0.02,高,5,g,中国科学技术协会,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
电火花加工机,0.01,±0.02,Ra < 0.03,高,7,g,国家科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
多轴加工中心,0.005,±0.013,Ra < 0.015,中,5,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.003,±0.008,Ra < 0.002,高,8,g,国际切割技术协会,https://www.icta.org,2024-09-21,,,,,,,,,,,
线切割机,0.006,±0.012,Ra < 0.02,中,4,g,中国航天科技集团,https://www.casic.com,2024-09-21,,,,,,,,,,,
超精密水刀切割机,0.02,±0.02,Ra < 0.014,中,3,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超声波加工机,0.009,±0.01,Ra < 0.03,高,6,g,中国电子技术标准化研究院,https://www.cesi.ac.cn,2024-09-21,,,,,,,,,,,
组合机床,0.015,±0.018,Ra < 0.025,中,4,g,中国机械工业研究院,https://www.cami.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.008,±0.005 μm,Ra < 0.015 μm,高,4,g,中国机电产品进出口商会,https://www.cccmec.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.021 μm,中,3,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.002 μm,Ra < 0.004 μm,高,8,g,国家工业信息安全发展研究中心,https://www.iisi.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.007 μm,Ra < 0.018 μm,高,5,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.03 μm,Ra < 0.01 μm,中,3,g,机械工业出版社,https://www.mei.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.008 μm,Ra < 0.024 μm,高,6,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.005,±0.001 μm,Ra < 0.003 μm,高,7,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密组合机床,0.01,±0.009 μm,Ra < 0.02 μm,中,4,g,中国工艺美术协会,https://www.chinaart.org.cn,2024-09-21,,,,,,,,,,,
超精密陶瓷切割机,0.012,±0.006 μm,Ra < 0.006 μm,高,6,g,中国自动化学会,https://www.caas.org.cn,2024-09-21,,,,,,,,,,,
超精密激光铣削机,0.006,±0.004 μm,Ra < 0.02 μm,高,5,g,中国光电产业协会,https://www.cpiea.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.018 μm,高,7,g,中国机械制造业协会,https://www.cmma.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.01 μm,Ra < 0.02 μm,中,4,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.015 μm,Ra < 0.022 μm,高,6,g,国家质量监督管理局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.035 μm,Ra < 0.008 μm,中,3,g,国际精密机床协会,https://www.ipma.org,2024-09-21,,,,,,,,,,,
