合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
农业生物技术,转基因作物,农作物遗传多样性,基因改良品种,农业专家、技术人员,产品、过程、人员、环境、政策,温室、实验室,重度影响,应进行长期监测,北京农业科学院,http://www.baas.gov.cn/,2024-09-24,,,,,,,,
土壤修复,合成微生物,微生物多样性,土壤活性,土壤科学家,产品、过程、人员、环境、政策,实验室、土壤检测设备,中度影响,风险可控，需定期评估,中国土壤学会,http://www.cssnet.org.cn/,2024-09-24,,,,,,,,
疫苗研发,合成生物疫苗,病毒多样性,抗原变化,病毒学家,产品、过程、人员、环境、政策,实验室、生物安全三级实验室,重度影响,高风险，需要严格监管,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
新材料,生物基聚合物,生物基多样性,原料来源,材料科学家,产品、过程、人员、环境、政策,实验室、材料成型设备,轻度影响,可控风险,西安交通大学,http://www.xjtu.edu.cn/,2024-09-24,,,,,,,,
废弃物管理,生物降解技术,生态修复多样性,物种恢复,生态学家、工程师,产品、过程、人员、环境、政策,实验室、生态试验场,中度影响,风险可控，需注意生境影响,南京农业大学,http://www.njau.edu.cn/,2024-09-24,,,,,,,,
城市绿化,合成植物,植被多样性,绿色植被覆盖,园艺师、植物学家,产品、过程、人员、环境、政策,温室、育苗设施,轻度影响,需持续监控生态效果,Shanghai Jiao Tong University,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
医疗、环境修复,合成基因组,种群多样性,基因流动,生物学家、环境科学家,产品、过程、人员、环境、政策,基因合成仪、生态监测设备,中度影响,风险可控,香港中文大学,https://www.cuhk.edu.hk,2024-09-24,,,,,,,,
农业、生物防治,转基因技术,生态群落的多样性,物种竞争,农业科学家、生态学者,产品、过程、人员、环境、政策,田野试验、生态实验室,重度影响,需要长期监测,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
食品科技,合成生物学,微生物多样性,生态系统的功能,食品科学家、微生物学家,产品、过程、人员、环境、政策,发酵罐、微生物培养箱,轻度影响,风险可控,北京食品安全研究所,https://www.bfi.ac.cn,2024-09-24,,,,,,,,
新能源开发,合成酶,遗传多样性,适应性变化,工程师、研究员,产品、过程、人员、环境、政策,工程实验室、能量检测试剂盒,中度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
海洋生态,合成转基因种,生物群落的多样性,群落结构,海洋生物学家、生态工程师,产品、过程、人员、环境、政策,海洋实验室、潜水器,重度影响,需要深入研究,厦门大学,https://www.xmu.edu.cn,2024-09-24,,,,,,,,
环保技术,基因修饰微生物,生态系统抵抗力,物种丰度,环境科学学者、技术专家,产品、过程、人员、环境、政策,实验室、生物污水处理设施,轻度影响,风险可控,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
药物研发,合成疫苗,生物遗传资源,生态网络,药学研究人员、生物技术专家,产品、过程、人员、环境、政策,实验室、冷链运输设备,重度影响,需进行定期评估,南京医科大学,https://www.njmu.edu.cn,2024-09-24,,,,,,,,
气候适应技术,合成耐旱植物,植物多样性,生态适应性,植物生理学家、环境适应学者,产品、过程、人员、环境、政策,温室、干旱模拟设备,中度影响,风险需监测,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
生态修复,生态合成生物技术,系统多样性,生物相互作用,生态学家、遗传工程师,产品、过程、人员、环境、政策,生态恢复中心、环境评估系统,轻度影响,风险可控,华东师范大学,https://www.ecnu.edu.cn,2024-09-24,,,,,,,,
药物开发,合成生物学,基因多样性,抗药性基因的变迁,制药科学家,产品、过程、人员、环境、政策,药物筛选实验室、动物模型,中度影响,风险可控,复旦大学药学院,https://pharmacy.fudan.edu.cn/,2024-09-24,,,,,,,,
食品技术,合成微生物,生态农作物多样性,作物基因组的变异,食品科学研究人员,产品、过程、人员、环境、政策,食品测试实验室、种子培育区,轻度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
环境修复,转基因植物,生态系统服务,生态净化能力,环境科学专家,产品、过程、人员、环境、政策,现场实验区、土壤分析设备,重度影响,需特别关注,中科院生态环境研究中心,http://www.iee.ac.cn/,2024-09-24,,,,,,,,
能源生产,微藻技术,生物能量转化多样性,生物质的复杂性,生物工程师,产品、过程、人员、环境、政策,藻类培养设施、分析仪,中度影响,风险可控,清华大学能源与动力工程系,https://www.ep.tsinghua.edu.cn/,2024-09-24,,,,,,,,
合成蛋白质,蛋白质工程,微生物多样性,代谢途径多样性,生物科学研究人员,产品、过程、人员、环境、政策,分子生物学实验室、高通量筛选平台,轻度影响,风险可控,北京生命科学研究所,http://www.bioinfo.org.cn/,2024-09-24,,,,,,,,
保健品产业,药用植物合成,生物资源的多样性,药用成分的来源,植物药专家,产品、过程、人员、环境、政策,植物实验室、提取设备,中度影响,需进一步评估,浙江大学中药研究所,http://www.zju.edu.cn/,2024-09-24,,,,,,,,
微生物发酵,酶工程,微生物群落多样性,酵母和细菌种类,微生物学家,产品、过程、人员、环境、政策,发酵罐、分析仪器,重度影响,需特别关注,南京农业大学,http://www.njau.edu.cn/,2024-09-24,,,,,,,,
生物材料,生物可降解材料,生态材料多样性,材料性能对生态的影响,材料科学家,产品、过程、人员、环境、政策,材料测试实验室、成型设备,轻度影响,风险可控,东南大学材料科学与工程系,http://www.seu.edu.cn/,2024-09-24,,,,,,,,
人工智能与合成生物结合,生物信息学,基因组多样性,基因组数据的丰富性,数据科学家,产品、过程、人员、环境、政策,计算机实验室、数据分析平台,中度影响,风险可控,华东师范大学计算机科学系,http://www.ecnu.edu.cn/,2024-09-24,,,,,,,,
医疗、疫苗开发,合成疫苗,基因多样性,微生物适应性,公共卫生研究员、 virologists,产品、过程、环境、人员、政策,生物实验室、疫苗冷链设备,重度影响,需进一步评估,国家生物工程技术研究中心,https://www.nationalbiotech.gov.cn/,2024-09-24,,,,,,,,
食品安全、营养工程,合成食品,生态种群多样性,营养成分变异,食品科学家、营养师,过程、产品、政策、环境、人员,食品检测实验室、成分分析设备,中度影响,风险可控,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
生态恢复、环境设计,环境基因组学,生境多样性,植物种群重建,生态学家、环境科学家,环境、策略、过程、策略、人员,生态恢复园、遗传分析实验室,轻度影响,风险可控,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
农业、植物育种,转基因植物,功能多样性,作物抗逆性,作物遗传学家、农学专家,产品、人员、过程、环境、政策,温室、转基因设备,中度影响,风险可控,湖北省农业科学院,http://www.hbsy.gov.cn/,2024-09-24,,,,,,,,
医药研发、个性化治疗,合成生物途径,功能基因组多样性,代谢多样性,生物信息学家、临床研究员,政策、产品、环境、人员、过程,基因组测序实验室、生物分析仪,重度影响,需进一步评估,中国医学科学院,http://www.cams.gov.cn/,2024-09-24,,,,,,,,
环境修复、废物处理,微生物处理,生态功能的多样性,微生物群落结构,环境工程师、微生物学家,过程、环境、政策、人员、产品,污水处理厂、微生物培养室,轻度影响,风险可控,中国环境科学研究院,http://www.cerca.org.cn/,2024-09-24,,,,,,,,
人造食品、替代品开发,细胞培养技术,食品组成的多样性,蛋白质变异,生物技术研究人员、食品工程师,产品、过程、环境、政策、人员,细胞培养实验室、分析仪器,中度影响,需进一步评估,北京理工大学,http://www.bit.edu.cn/,2024-09-24,,,,,,,,
合成药物、精准医疗,化合物合成,代谢多样性,合成途径优化,医药研究人员、化学家,政策、过程、人员、环境、产品,药物研发实验室、合成设备,重度影响,需进一步评估,复旦大学,http://www.fudan.edu.cn/,2024-09-24,,,,,,,,
新材料开发、复合材料,生物基材料,物理特性多样性,材料性能变异,材料工程师、科研人员,环境、人员、过程、政策、产品,材料实验室、合成反应设备,轻度影响,风险可控,南昌大学,http://www.ncu.edu.cn/,2024-09-24,,,,,,,,
气候变化、生态适应,合成微生物,生态稳定性,群落相互作用,环境科学家、生态学家,环境、产品、政策、过程、人员,生态研究所、分析实验室,重度影响,需进一步评估,中国科学院生物物理研究所,https://www.ibp.cas.cn/,2024-09-24,,,,,,,,
医疗、食品安全,合成基因组,遗传多样性,表型多样性,分子生物学家、实验室助理,产品、过程、人员、环境、政策,基因合成仪、PCR设备,中度影响,风险可控,华中科技大学,http://www.hust.edu.cn,2024-09-24,,,,,,,,
环境修复,合成微生物,物种多样性,生态恢复能力,生态学家、环境工程师,产品、过程、人员、环境、政策,生物反应器、检测仪器,重度影响,需进一步评估,中国环境科学院,http://www.cae.cn,2024-09-24,,,,,,,,
生物安全,病毒工程,微生物多样性,致病性物种,病毒学家、实验室技术员,产品、过程、人员、环境、政策,生物安全实验室、细胞培养设备,高风险,需严格监管,复旦大学,http://www.fudan.edu.cn,2024-09-24,,,,,,,,
新能源开发,合成生物燃料,生态系统的多样性,植物多样性,可再生能源工程师,产品、过程、人员、环境、政策,发酵罐、分离设备,中度影响,风险可控,浙江大学,http://www.zju.edu.cn,2024-09-24,,,,,,,,
精准医疗,CRISPR技术,物种多样性,人类基因组差异,遗传学家、临床研究员,产品、过程、人员、环境、政策,基因组测序仪、实验室,轻度影响,风险可控,华北电力大学,http://www.ncepu.edu.cn,2024-09-24,,,,,,,,
生态保护,合成生态系统,生态多样性,生物互作网络,生态模型师,产品、过程、人员、环境、政策,生态模拟软件、数据分析工具,中度影响,需监测后评估,南京大学,http://www.nju.edu.cn,2024-09-24,,,,,,,,
食品技术,合成肉类,食物链多样性,动物种群结构,食品科技人员,产品、过程、人员、环境、政策,生物培养箱、分析仪器,高风险,需进一步评估,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
合成生物学,代谢工程,细胞多样性,代谢路径变化,代谢工程师,产品、过程、人员、环境、政策,实验室、化学分析仪器,中度影响,风险可控,中山大学,http://www.sysu.edu.cn,2024-09-24,,,,,,,,
遗传资源,种质创新,农作物多样性,遗传改良表现,农学专家,产品、过程、人员、环境、政策,温室、生物信息学软件,轻度影响,风险可控,中国科学院植物研究所,http://www.ibcas.ac.cn,2024-09-24,,,,,,,,
药物开发,合成药物,药用植物多样性,植物药效成分,药物化学家,产品、过程、人员、环境、政策,分析实验室、药物测试设备,重度影响,需严格监管,南方科技大学,http://www.sustech.edu.cn,2024-09-24,,,,,,,,
医疗、营养,合成基因组,基因多样性,种群遗传结构,分子生物学家、营养学家,产品、过程、人员、环境、政策,基因合成平台、高通量测序仪,中度影响,风险可控,华南农业大学,https://www.scau.edu.cn/,2024-09-24,,,,,,,,
生态修复,合成微生物,生态系统完整性,生物种群的相互作用,环境科学家、生态学家,产品、过程、人员、环境、政策,生态实验室、土壤培养箱,重度影响,需进一步评估,南京大学,https://www.nju.edu.cn/,2024-09-24,,,,,,,,
制药、农业,代谢工程,物种多样性,生态位多样性,药理学家、农业科学家,产品、过程、人员、环境、政策,发酵室、培养基制备区,轻度影响,风险可控,中国科学院药物研究所,https://www.bib.cas.cn/,2024-09-24,,,,,,,,
食品生产,转基因技术,食品多样性,品质营养成分,食品科学研究者,产品、过程、人员、环境、政策,食品检测实验室、质谱仪,中度影响,风险可控,农业部食品科学研究所,http://www.aas.gov.cn/,2024-09-24,,,,,,,,
水环境治理,合成生物修复,水体生物多样性,水生生物种群,水利工程师、生态学家,产品、过程、人员、环境、政策,水质实验室、流动水池,重度影响,需进一步评估,清华大学环境学院,https://www.theresi.edu.cn/,2024-09-24,,,,,,,,
生物监测,生物传感器,生态指示物种,特定环境的生物反应,生物工程师、环境监测员,产品、过程、人员、环境、政策,实验室、分析设备,轻度影响,风险可控,中科院生态环境研究中心,http://www.iees.cas.cn/,2024-09-24,,,,,,,,
合成营养,合成氨肥,土壤生物多样性,微生物种群多样性,农业科学家,产品、过程、人员、环境、政策,农业实验室、施肥设备,中度影响,风险可控,浙江大学农业与生物技术学院,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
生态农业,合成生物剂,农作物多样性,抗病性与适应性,农业工程师、科研人员,产品、过程、人员、环境、政策,生物测试中心、温室,中度影响,需进一步评估,华中农业大学,https://www.hzau.edu.cn/,2024-09-24,,,,,,,,
植物工厂,合成植物,农作物遗传多样性,种质资源,植物遗传学家、农艺师,产品、过程、人员、环境、政策,植物生长箱、灯光控制系统,轻度影响,风险可控,中国农业大学,http://www.cau.edu.cn/,2024-09-24,,,,,,,,
生物制药、农业优化,合成基因组,基因多样性,基因组变异,遗传学家、分子生物学家,产品、过程、人员、环境、政策,基因合成仪、分析软件,轻度影响,风险可控,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
生态恢复,合成微生物,生态系统功能,物种间互动,生态学家、环境科学家,产品、过程、人员、环境、政策,野外实验基地、监测设备,重大影响,需严格监测,生态环境部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
食品工程,合成代谢,粮食多样性,农作物种类,食品科学家、农业技术人员,产品、过程、人员、环境、政策,食品加工厂、分析实验室,中度影响,需要动态评估,中国农业大学,http://www.cau.edu.cn/,2024-09-24,,,,,,,,
植物改良,CRISPR技术,农作物遗传多样性,基因编辑对植物的影响,植物学家、遗传学家,产品、过程、人员、环境、政策,温室、基因编辑台,轻度影响,风险可控,中国科学院植物研究所,http://www.ibcas.ac.cn/,2024-09-24,,,,,,,,
疫苗研发,合成生物疫苗,物种相互关系,对周围生态的影响,免疫学专家、流行病学者,产品、过程、人员、环境、政策,疫苗研发中心、冷链储存设施,中度影响,需持续监测,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
污染治理,合成生物修复,污染对物种的影响,生态恢复能力,环境工程师、生态恢复专家,产品、过程、人员、环境、政策,生物修复现场、监测仪器,重大影响,需综合评估,中国科学院生态环境研究中心,http://www.eri-ed.org.cn/,2024-09-24,,,,,,,,
合成食物,细胞培养技术,生产多样性,替代性食品对生态的影响,食品技术专家、生物工程师,产品、过程、人员、环境、政策,细胞培养室、显微镜,轻度影响,风险可控,浙江大学,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
生物材料,合成聚合物,生态系统完整性,材料可降解性,材料科学家、生态设计师,产品、过程、人员、环境、政策,材料测试实验室、生态模拟器,中度影响,需要监控,南京大学,https://www.nju.edu.cn/,2024-09-24,,,,,,,,
气候变化缓解,生物炭技术,土壤生物多样性,微生物群落,土壤科学家、生态学家,产品、过程、人员、环境、政策,土壤实验室、气体分析器,中度影响,需积极推进,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
医疗、环境修复,基因合成,生态系统的多样性,基因库多样性,生物科学家、环境专家,产品、过程、人员、环境、政策,基因合成仪、生态修复设备,轻度影响,风险可控,国家自然科学基金,https://www.nsfc.gov.cn/,2024-09-24,,,,,,,,
作物改良,CRISPR技术,生物栖息地多样性,栖息地适应性,植物生物学家,产品、过程、人员、环境、政策,温室、基因编辑平台,中度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
生物医药,合成药物,微生物多样性,抗药性多样性,药物化学家、微生物学家,产品、过程、人员、环境、政策,制药厂、实验室,重度影响,需进行持续监控,药明康德,https://www.wuxiapptec.com/,2024-09-24,,,,,,,,
生态复育,合成微生物,植物物种多样性,物种栖息保护,生态学家、合成生物学家,产品、过程、人员、环境、政策,生态实验场、生物温室,反馈影响,风险可控,华南农业大学,https://www.scau.edu.cn/,2024-09-24,,,,,,,,
食品科技,功能性食品,动物多样性,种群均衡,食品科学家、营养分析师,产品、过程、人员、环境、政策,食品实验室、储存设施,中度影响,需进一步评估,中国食品科学技术学会,http://www.cifst.org.cn/,2024-09-24,,,,,,,,
水资源管理,污染物降解,水域多样性,水生态系统稳定性,水质监测专家、化学家,产品、过程、人员、环境、政策,水质分析实验室、监测站,中度影响,风险可控,生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
基因组学,基因组编辑,遗传多样性,遗传变异检测,基因组学专家、技术人员,产品、过程、人员、环境、政策,基因组测序中心、生物信息学工作站,轻度影响,风险可控,中国科学院北京基因组研究所,https://www.genomics.cn/,2024-09-24,,,,,,,,
可再生资源,生物基产品,农作物多样性,作物遗传变异,农业技术人员、环境科学家,产品、过程、人员、环境、政策,研究所、种植区,中度影响,需进一步评估,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
人造器官,生物打印,细胞多样性,细胞生长适应性,再生医学专家、材料科学家,产品、过程、人员、环境、政策,生物打印设备、细胞培养室,重度影响,需进行持续监控,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
环境治理,合成微生物,生态系统的多样性,环境修复与气候适应,环境科学家、研究助理,产品、过程、人员、环境、政策,生态实验场、监测传感器,中度影响,风险可控,中国环境科学研究院,https://www.cneri.org.cn/,2024-09-24,,,,,,,,
食品安全,生物安全技术,基因多样性,安全隐患评估,食品安全专家、监管人员,产品、过程、人员、环境、政策,食品科技实验室、检测设备,重度影响,需进一步评估,国家食品安全风险评估中心,http://www.cfsa.net.cn/,2024-09-24,,,,,,,,
生物制药,疫苗研发,物种多样性,药用植物来源,药理学家、临床试验专家,产品、过程、人员、环境、政策,制药工厂、动物实验室,轻度影响,风险可控,中山大学药学院,http://pharmacy.sysu.edu.cn/,2024-09-24,,,,,,,,
农业生物技术,转基因作物,遗传多样性,作物抗病性,农业科技人员、农场主,产品、过程、人员、环境、政策,农业实验田、基因测序平台,中度影响,需进一步评估,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
海洋生物技术,海洋基因工程,海洋生物多样性,生态链完整性,海洋科学家、生态研究员,产品、过程、人员、环境、政策,海洋研究中心、实验设施,重度影响,需进一步评估,中国海洋大学,http://www.ouc.edu.cn/,2024-09-24,,,,,,,,
生态修复,合成生物合成技术,物种丰富度,生态平衡,生态学家、环境监管机构人员,产品、过程、人员、环境、政策,生态修复实验区、分析实验室,轻度影响,风险可控,中国科学院生态环境研究中心,http://www.iec.cas.cn/,2024-09-24,,,,,,,,
合成疫苗,合成生物学,病原体多样性,流行病风险评估,生物医药研究人员、流行病学家,产品、过程、人员、环境、政策,生物实验室、疫苗生产设施,中度影响,需进一步评估,疫苗研究与开发中心,http://www.vaccine.gov.cn/,2024-09-24,,,,,,,,
饲料生产,合成氨基酸,动物群落多样性,生态适应性,动物营养专家、配方师,产品、过程、人员、环境、政策,饲料加工厂、分析实验室,重度影响,需进一步评估,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
生物塑料,生物材料合成,生态材料多样性,可再生资源开发,材料科学家、环境工程师,产品、过程、人员、环境、政策,材料实验室、加工车间,轻度影响,风险可控,复旦大学材料科学中心,http://www.fudan.edu.cn/,2024-09-24,,,,,,,,
合成生物监测,环境监测技术,微生物多样性,生态系统健康指标,环境监测员、生物学研究员,产品、过程、人员、环境、政策,监测中心、分析仪器,中度影响,风险可控,大陆环境科学研究所,http://www.cec.org.cn/,2024-09-24,,,,,,,,
食品安全,合成生物检测试剂,基因多样性,抗病性基因分布,分析化学家,产品、过程、人员、环境、政策,分析实验室、质谱仪,中度影响,风险可控,中国食品药品检定研究院,https://www.nifdc.org.cn/,2024-09-24,,,,,,,,
基因疗法,RNA干扰技术,生态群落的多样性,物种间相互作用,分子生物学研究员,产品、过程、人员、环境、政策,基因编辑实验室、冷冻柜,重度影响,需进一步评估,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
环境修复,植物合成生物技术,生态系统服务,生态平衡,生态学家、园艺师,产品、过程、人员、环境、政策,植物培养室、温室,轻度影响,风险可控,浙江大学,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
生物农业,抗性植物培育,遗传多样性,农作物的遗传变异,农学专家、植物学家,产品、过程、人员、环境、政策,温室、遗传工程实验室,中度影响,需进一步评估,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
合成疫苗,基因疫苗,微生物多样性,病原微生物的多样性,疫苗研发人员,产品、过程、人员、环境、政策,生物安全实验室、细胞培养室,重度影响,风险不可忽视,华大基因,https://www.bgi.com/,2024-09-24,,,,,,,,
生物塑料,微生物合成,生态系统组成,物种层面的多样性,材料科学专家,产品、过程、人员、环境、政策,生物反应器、合成实验室,轻度影响,风险可控,北京理工大学,http://www.bit.edu.cn/,2024-09-24,,,,,,,,
合成纤维,合成生物聚合物,物种相对丰度,生态适应性,化工工程师,产品、过程、人员、环境、政策,聚合物加工实验室、塑料回收装置,中度影响,可持续发展需慎重考量,东南大学,http://www.seu.edu.cn/,2024-09-24,,,,,,,,
合成药物,小分子药物开发,药用植物的多样性,生态健康影响,药物化学家,产品、过程、人员、环境、政策,药物研发实验室、分析设备,轻度影响,长期观察期望,中国药科大学,http://www.cpu.edu.cn/,2024-09-24,,,,,,,,
合成生物原料,生物基化学品,基因组的多样性,基因组适应性,生物化学工程师,产品、过程、人员、环境、政策,化学品合成实验室、生物反应器,中度影响,持续监测必要,华中科技大学,http://www.hust.edu.cn/,2024-09-24,,,,,,,,
食品安全,基因检测,生态基因多样性,基因型的多样性,分子生物学家,产品、过程、人员、环境、政策,基因测序实验室、分析软件,轻度影响,风险可控,国家食品安全风险评估中心,https://www.cfsa.net.cn,2024-09-24,,,,,,,,
环境修复,生物降解,微生物多样性,微生物种群的多样性,生态学家、环境科学家,产品、过程、人员、环境、政策,实验室、环境监测设备,中度影响,需进一步评估,中国环境科学研究院,http://www.cneri.org.cn,2024-09-24,,,,,,,,
医药研究,合成疫苗,生物群落多样性,不同物种间的相互关系,医生、药剂师,产品、过程、人员、环境、政策,试验室、动物实验设施,重度影响,高风险需加强管控,药品监督管理局,https://www.nmpa.gov.cn,2024-09-24,,,,,,,,
海洋生物技术,海洋营养,海洋生物多样性,物种栖息地的多样性,海洋生物学家,产品、过程、人员、环境、政策,海洋研究船、数据采集设备,轻度影响,风险可控,中国海洋大学,http://www.ouc.edu.cn,2024-09-24,,,,,,,,
农作物改良,CRISPR基因组编辑,农作物遗传多样性,遗传特征的遗传变异,作物遗传学家,产品、过程、人员、环境、政策,基因改造实验室、气候控制温室,重度影响,需进一步评估,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
生物传感器,生物监测设备,生态环境多样性,环境与生物的相互作用,生物工程师,产品、过程、人员、环境、政策,传感器实验室、校准设备,中度影响,风险可控,杭州电子科技大学,http://www.hdu.edu.cn,2024-09-24,,,,,,,,
生物塑料,可生物降解材料,生态系统的持久性,材料对生态系统的影响,材料科学家,产品、过程、人员、环境、政策,材料测试实验室、成型设备,轻度影响,风险可控,清华大学材料科学与工程系,http://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
合成微生物,微生物合成,微生物生态系统的复杂性,微生物间的互作,技术开发人员,产品、过程、人员、环境、政策,合成生物实验室、高通量筛选设备,轻度影响,风险可控,华南师范大学,http://www.scnu.edu.cn,2024-09-24,,,,,,,,
可再生能源,微藻能源,植物多样性,种群结构的多样性,新能源研究人员,产品、过程、人员、环境、政策,生物反应器、分析实验室,重度影响,高风险需加强管控,中国清洁能源研究院,http://www.cepri.cn,2024-09-24,,,,,,,,
医疗、农业,基因合成,生态系统的多样性,栖息地多样性,高校研究者,产品、过程、人员、环境、政策,基因合成器、分析仪器,中度影响,风险可控,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
环保、农业,微生物修复,基因多样性,种群基因变异,环保科学家,产品、过程、人员、环境、政策,实验室、现场试验平台,轻度影响,需进一步评估,环境保护部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
生物农业,植物基因编辑,物种多样性,农作物多样化,农业科学家,产品、过程、人员、环境、政策,农业实验场、温室,重度影响,需制定监测计划,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
食品科技,合成食品,生态系统的多样性,食物链的影响,食品科学家,产品、过程、人员、环境、政策,食品测试实验室、传感器,中度影响,后续需扩展研究,国家食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-24,,,,,,,,
生物医药,蛋白质工程,物种多样性,抗药性传播,生物医药工程师,产品、过程、人员、环境、政策,生物反应器、分析设备,重度影响,需进行全面评估,中国科学院生物物理研究所,https://www.ibp.cas.cn,2024-09-24,,,,,,,,
能源领域,合成气生物化学,生态系统的多样性,生物能利用,能源科学家,产品、过程、人员、环境、政策,能量转换实验室、发酵装置,中度影响,风险需监控,清华大学能源与动力工程系,http://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
合成生物学研究,自动化合成,生物体的多样性,合成生物体的生态效应,合成生物学研究人员,产品、过程、人员、环境、政策,合成平台、生物信息分析工具,轻度影响,风险可控,浙江大学生命科学学院,http://www.zju.edu.cn,2024-09-24,,,,,,,,
畜牧业,动物基因编辑,栖息地多样性,家畜种类繁多,兽医科学家,产品、过程、人员、环境、政策,基因编辑实验室、动物饲养场,重度影响,需建立安全监管,南京农业大学,http://www.njau.edu.cn,2024-09-24,,,,,,,,
水产养殖,水生生物基因工程,物种多样性,水域生态平衡,水产科学家,产品、过程、人员、环境、政策,水产养殖实验室、模拟水域,中度影响,进一步监测必要,中国水产科学研究院,http://www.cafs.ac.cn,2024-09-24,,,,,,,,
生物监测,生物传感器技术,生态系统的多样性,指示性物种的检测,生态监测员,产品、过程、人员、环境、政策,生物传感器室、野外监测站,轻度影响,风险可控,生态环境部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
医学研究,合成疫苗,基因多样性,适应性变化,医学研究人员,产品、过程、人员、环境、政策,临床试验室、安全柜,重度影响,需进一步评估,国家生物技术研究中心,https://www.nbt.gov.cn,2024-09-24,,,,,,,,
生态恢复,环境修复微生物,生态种群多样性,种群动态,生态学家、工程师,产品、过程、人员、环境、政策,恢复工作站、土壤分析仪,中度影响,风险可控,清华大学环境学院,https://www.tsinghua.edu.cn/environnement,2024-09-24,,,,,,,,
可持续农业,转基因作物,农作物多样性,生产率和抗逆性,农业科学研究员,产品、过程、人员、环境、政策,实验田、施肥设备,中度影响,风险可控,国际农业研究所,https://www.cgiar.org,2024-09-24,,,,,,,,
水资源管理,合成生物技术植物,植物种类多样性,水分利用效率,环境科学家,产品、过程、人员、环境、政策,水源监测平台、温室,轻度影响,风险可控,中国水利部,http://www.mwr.gov.cn,2024-09-24,,,,,,,,
食品工程,发酵技术,食物链多样性,营养成分变化,食品科学专家,产品、过程、人员、环境、政策,发酵实验室、微生物培养箱,中度影响,需监控,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
生物医学,个性化治疗,人类遗传多样性,遗传背景差异,遗传学研究员,产品、过程、人员、环境、政策,基因测序中心、临床检验实验室,重度影响,风险可控,中国医学科学院,http://www.cams.ac.cn,2024-09-24,,,,,,,,
环保技术,基因改造微生物,微生物多样性,栖息地适应性,微生物学研究者,产品、过程、人员、环境、政策,实验室、基因编辑工作站,中度影响,需进一步评估,国家环境保护局,http://www.sepa.gov.cn,2024-09-24,,,,,,,,
合成生态系统,人工生态构建,生态相互作用,生态稳定性,生态工程师,产品、过程、人员、环境、政策,合成生态实验室、控制环境室,轻度影响,风险可控,北京林业大学,http://www.bjfu.edu.cn,2024-09-24,,,,,,,,
疫苗开发,基因合成疫苗,病原体多样性,致病性变异,生物医药研发人员,产品、过程、人员、环境、政策,生物安全实验室、免疫分析室,重度影响,需监控,国药集团,http://www.sinopharm.com,2024-09-24,,,,,,,,
海洋生物技术,海洋微生物利用,海洋生态多样性,海洋生物相互作用,海洋生物学家,产品、过程、人员、环境、政策,海洋实验站、水质分析设备,中度影响,需进一步评估,中国科学院海洋研究所,http://www.qdcas.ac.cn,2024-09-24,,,,,,,,
食品安全,基因改造,物种及其生态相互作用的多样性,食物链的完整性,食品科学家、评估员,产品、过程、人员、环境、政策,实验室、检测设备,中度影响,风险需监控,中国食品科学技术学会,https://www.cfstc.org.cn/,2024-09-24,,,,,,,,
